Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akriyàpi kriyà tathà  SRtp_192b
na niùedhati ki¤cana  SRtp_209b
na pratyakùo 'kùadhãryataþ  SRtp_208b
na buddheþ pariõàmo và  SRtp_60c
namastathàvidhàyàsmad-  SRtp_320c
namaþ ÷ivàya ÷aktyai ca  SRtp_1a
na màyà ne÷varo nàõur  SRtp_39c
narasya j¤ànakarmaõoþ  SRtp_250b
narasyevoóuràñ pa÷oþ  SRtp_233d
na loùñe sàpi kasyacit  SRtp_249b
na vçttipariõàmàbhyàü  SRtp_69c
na ÷aktiþ ÷uddhavartmanaþ  SRtp_39d
na ÷rànto na vikàravàn  SRtp_79b
na ÷rotramupasarpati  SRtp_75b
na÷varàõàmayaü dharmo  SRtp_297a
naùñeti vividheti ca  SRtp_237d
naùñeti vividheti ca  SRtp_245b
na sarvasya paràpekùaü  SRtp_295a
na siddhaþ sàdhyate dharmo  SRtp_216a
na so 'sti pratyayo 'õånàü  SRtp_84c
na hi kartçbahutvasya  SRtp_262c
na hi kastårikàmodaþ  SRtp_13a
na hi cit pariõàmiõã  SRtp_199d
na hi cit pariõàmena  SRtp_142c
na hi dçùñàntamàtreõa  SRtp_231a
na hi pa÷yanti pudgalàþ  SRtp_81d
na hi saüvidvi÷eùàõàü  SRtp_248a
na hyatra ÷emuùã ÷uddhà  SRtp_17c
na hyeùa bhagavàn ÷aktyà  SRtp_305c
nàtmà nàsti ca devatà  SRtp_138d
nàdabindvarõakàraõam  SRtp_22d
nàdàdãnapi tenaiùa  SRtp_133a
nànàyoniùvani÷cità  SRtp_168d
nànumànàgamau tatra  SRtp_211a
nànyathà j¤ànakoñibhiþ  SRtp_239b
nànyena vyàpyate ÷ivaþ  SRtp_119b
nàpi jànàti ki¤cana  SRtp_306b
nàpi bhinnoktahetubhiþ  SRtp_304b
nàpi saüvitsamà rajjor  SRtp_232a
nàpyanye tadvibhåtayaþ  SRtp_29b
nàmnà te 'pi sadà÷ivàþ  SRtp_31b
nàsiddhairapi taistathà  SRtp_216b
nàsåyà paricàrake  SRtp_3d
nàstameti na codeti  SRtp_79a
nàsmatpratyakùagocaràþ  SRtp_60b
nityanaimittikaü tathà  SRtp_7d
nityanaimittikenaiùa  SRtp_317c
nityamuktàdvayànanta-  SRtp_206c
nityamuktoditàcintya-  SRtp_263a
nityà kuõóalinã tu yà  SRtp_157d
nityaiùà÷eùakàryàõàü  SRtp_200a
nityoditànavacchinna-  SRtp_293c
nityoditànavacchinnà  SRtp_183a
nityopàdànakàraõaþ  SRtp_32d
nidhaye yogaratnànàm  SRtp_321a
nindyate pa÷u÷àstravat  SRtp_12d
nibadhyante mayà tataþ  SRtp_3b
niràvaraõavirdvandva-  SRtp_183c
nirupàdànavaibhavà  SRtp_183d
nirupàdhiþ kathaü ÷ivaþ  SRtp_301b
nirgacchantyavi÷aïkitàþ  SRtp_80b
nirdhåtaghanasaüvçtiþ  SRtp_316b
nirmalànàmasaükùobhàd  SRtp_260a
nirmalànàü ÷ivàtmanàm  SRtp_274d
nirmalãkçtacetasà  SRtp_321d
nirvikalpakabodhe 'pi  SRtp_68c
nirvikalpasvaråpiõã  SRtp_183b
nirvikalpàrthasaüvittis  SRtp_260c
nirvikàre 'pi ÷ålini  SRtp_310d
nivàritavipàkayoþ  SRtp_315b
nivàryamàõamaïgaiþ svair  SRtp_222c
nivçttirabhidhãyate  SRtp_97b
nivçtti÷ca pratiùñhà ca  SRtp_86c
nivçttau pàrthivaü tattvaü  SRtp_91a
nivçttyàdikalà÷rayàt  SRtp_85d
nivçttyàdivibhedataþ  SRtp_89d
nivçttyàdyà vi÷uddhaye  SRtp_161b
niùkalaþ ÷ivasaüj¤itaþ  SRtp_266b
niùñhà kàùñhà parà såkùmà  SRtp_186a
niùpàdane kalàdãnàü  SRtp_43c
nãlà¤janasamadyutiþ  SRtp_108b
nãlotpaladalàïkità  SRtp_102b
nutiü kurvanti saüvidaþ  SRtp_225d
naikatra sthàtumarhataþ  SRtp_216d
naivamapyavinà÷i yat  SRtp_296d
naivaü vidye÷varo màyàm  SRtp_69a
naivaü heturadçùñàyàü  SRtp_224c
pa¤ca karmendriyàõi ca  SRtp_98d
pa¤cadhà bhidyate bhåyaþ  SRtp_86a
pa¤ca pa¤casu vartate  SRtp_95b
pa¤ca buddhãndriyàõyàsan  SRtp_99a
pa¤camantratanuþ ÷rãmàn  SRtp_268c
pa¤camã tu parà kalà  SRtp_114d
pa¤ca ùaóbindulà¤chità  SRtp_111b
pa¤casrotomukhaþ ÷àntaþ  SRtp_280c
pa¤càdhiùñheyagocarà  SRtp_270d
pa¤cànàü bindusaüj¤itaþ  SRtp_272b
pañasyeva kuñã tataþ  SRtp_68b
patikçtyàdhikàriõaþ  SRtp_29d
patikçtyàdhikàreùu  SRtp_279c
patyuràj¤ànuvartinaþ  SRtp_287b
patyuràviùkarotyuccaiþ  SRtp_267c
padamàsàdyate pumbhir  SRtp_89a
padàni viü÷atirmantrau  SRtp_106c
padànyekàda÷àtràsan  SRtp_110c
padàrthajàtaü saüsarga-  SRtp_221a
padairatra pratiùñhità  SRtp_94b
payaþ karaõadoùataþ  SRtp_235d
paramàtmavidhànataþ  SRtp_121d
paramàtmaiva vàgàtmà  SRtp_82a
paramàtraü prakà÷eta  SRtp_257a
paramànandasantatim  SRtp_267d
paramai÷varyaråpà ca  SRtp_290c
parasaüvitsvaråpàyàþ  SRtp_256c
parasparavirodhena  SRtp_315a
paràdhãnamasaü÷ayam  SRtp_44b
parànapekùaü råpaü yad  SRtp_291c
parànapekùànanyàtma-  SRtp_185a
paràpekùànapekùàbhyàm  SRtp_293a
paràü vyàptimakhaõóitàm  SRtp_318b
pariõàmavatã ca yat  SRtp_43b
pariõàmavatã ca yat  SRtp_158d
pariõàmasya kartàyaü  SRtp_63c
pariõàmàt tatastathà  SRtp_49b
pariõàmàparimlànaü  SRtp_199a
pariõàmi ca yadvastu  SRtp_136a
pariõàmitayà tathà  SRtp_34b
pariõàmitayà svayam  SRtp_124d
pariõàmiùvayaü dharmo  SRtp_65a
pariõàmã pradhànavat  SRtp_135d
pariõàmodayairapi  SRtp_42d
pariõàmo niràkçtaþ  SRtp_198b
pariõàmo hi dç÷yate  SRtp_198d
pariõàmo hi vastånàü  SRtp_35c
pari÷eùeõa labhyate  SRtp_40b
parãkùà kriyate tatra  SRtp_21c
pare sadà÷ivasamàþ  SRtp_29c
pa÷upårvàþ sadà÷ivàþ  SRtp_24b
pa÷ån vartayate nityaü  SRtp_168c
pa÷càttakraü tathà màyà  SRtp_38a
pa÷yantã madhyamotpàda-  SRtp_83a
pa÷yantã såkùmasaüj¤ità  SRtp_72d
pa÷yet ÷aktyà tayà vinà  SRtp_302b
pàrthivo 'pi bhavetkumbho  SRtp_33c
pà÷atvena vyavasthità  SRtp_168b
pãtaiùà catura÷rà ca  SRtp_95c
puõyàpuõyàkhyakarmaõàm  SRtp_314b
pudgala÷cetano nityo  SRtp_51c
pudgalàdhiùñhità ca yat  SRtp_154d
purabhogàdi÷obhitam  SRtp_30d
puràõi da÷a pa¤ca ca  SRtp_115b
puràõyaùñottaraü ÷atam  SRtp_91b
puràdãni svalãlayà  SRtp_319d
puruùastvadhidevatà  SRtp_114b
puruùaü gamayedeva  SRtp_44a
puruùe ùoóa÷akale  SRtp_78a
puruùaiþ pratihanyate  SRtp_13b
puruùo và kathaü buddhiü  SRtp_302a
puüsàmapratighodàra-  SRtp_5a
puüsopabhujyate tena  SRtp_252c
pårvapakùàstataþ pare  SRtp_11b
pårvamevamasàvapi  SRtp_309d
pårvaü kùãraü tato dadhi  SRtp_37d
pårvàvasthàparicyuteþ  SRtp_35d
pårvàvasthe hi te mate  SRtp_37b
pçthakkàraü pratanvatã  SRtp_170d
pçthageve÷iturmataþ  SRtp_253d
'pyanyathànavabhàsitaþ  SRtp_240b
prakà÷yà sarvatomukhã  SRtp_185b
prakçtiþ puruùasya sà  SRtp_156b
pratij¤à bhajyate teùàm  SRtp_220a
pratibhàso 'pi dç÷yate  SRtp_207b
pratiùñhà nàma sà kalà  SRtp_103d
pratiùñhàyàü tu catvàri  SRtp_98a
pratiùñhà sanivçttikà  SRtp_271b
pratiùñhito yatastena  SRtp_103c
pratisargapadakramàt  SRtp_93d
pratyakùa eva tàvarthe  SRtp_211c
pratyakùamapi gçhõàti  SRtp_226a
pratyakùasaüj¤aü vij¤ànam  SRtp_228a
pratyakùairapi yoginàm  SRtp_145b
pratyayàvavivekataþ  SRtp_236d
pratyayodayahetunà  SRtp_169d
pratyàcaùñe kathaü sudhãþ  SRtp_145d
pratyàtmaniyatà età  SRtp_81a
prapa¤cavilayàya ca  SRtp_308b
prapa¤caþ ki¤ca màyeyaþ  SRtp_241a
prabhavàþ karyayonayaþ  SRtp_276d
prabhà bhànorivàmalà  SRtp_305b
prabhàvà ÷aktisaüj¤ità  SRtp_263b
prabhu÷aktisamàkràntas  SRtp_310a
prabhuþ ÷akti÷iràþ ÷ivaþ  SRtp_280d
pramàõamanumà bhavet  SRtp_217b
pramàõaü tadabhàvataþ  SRtp_211b
pramàõaireva sàdhitaþ  SRtp_241b
pramàõairvyàvahàrikaiþ  SRtp_214b
prayukto bhedamàkhyàti  SRtp_218c
prayoktéõàmiyaü pràyaþ  SRtp_74a
prayogaþ svàïgasiddhaye  SRtp_218d
prayojyatvàccharãràdi-  SRtp_152c
prayojyaþ pa÷ubhàvena  SRtp_151a
pralapanto dayàlubhiþ  SRtp_213b
pravçtta÷ceti de÷ikaiþ  SRtp_265d
pravçttimànayaü devaþ  SRtp_282c
pravçttirupabhogàya  SRtp_146c
pravçttiþ sarvabhåtànàü  SRtp_56c
pra÷àntamalakàluùyam  SRtp_316c
prasanne parame÷vare  SRtp_30b
prasiddhànadhvanaþ ÷uddhàn  SRtp_145c
prasiddhàþ pçthagevàlaü  SRtp_215a
prasiddhoktavi÷eùaõam  SRtp_39b
pràcyàdiùu da÷asvàsann  SRtp_92a
pràõavçttinibandhanà  SRtp_74b
pràõavçttimatikramya  SRtp_75c
pràpnuvanti mahàdhãrà  SRtp_318c
pràpyate cittabhedena  SRtp_147c
prãtilàlasacetasaþ  SRtp_171b
bandhaka÷ca vicàrataþ  SRtp_206b
bandhamokùakaraþ ÷ivaþ  SRtp_314d
bandhamokùau na vastutaþ  SRtp_212d
bandhavartã vimåóhàtmà  SRtp_254a
bahudhà yadavasthànaü  SRtp_53a
bahuråpo 'dhidevatà  SRtp_107b
bahulàloka÷àlinã  SRtp_102d
bàlamåkàdivij¤àna-  SRtp_208c
bàlo 'haü kç÷a ityataþ  SRtp_246d
bindave ÷à÷vatàya ca  SRtp_1b
bindàvànandaråpiõi  SRtp_179d
bindugarbhabharàlasà  SRtp_267b
bindunà vyàpyate yo 'sau  SRtp_125c
bindumã÷o 'dhitiùñhati  SRtp_68d
binduranyo na màyordhvam  SRtp_140a
binduràkhyàyate yuktyà  SRtp_135c
binduràtmani nàdàdãn  SRtp_123a
binduràdau niråpyate  SRtp_21d
binduràpårayannàdair  SRtp_188c
bindureva pravartate  SRtp_308d
bindureva vikalpàkhyàü  SRtp_58c
bindurevaü samàkhyàto  SRtp_71c
bindurnàdàdasàvapi  SRtp_172d
binduvyàptipañãyasã  SRtp_184d
bindu÷akti÷ivàkhyàni  SRtp_2a
bindu÷akti÷ivà÷rayà  SRtp_21b
bindu÷akti÷ivà÷rayàm  SRtp_90d
bindusaüj¤à ÷iverità  SRtp_271d
binduþ pralãnakàryo 'sau  SRtp_307c
binduþ ÷aktyà ÷ivenaiùà  SRtp_119a
binduþ ÷àntiþ kalà vidyà  SRtp_271a
bindoranàhatàdeùa  SRtp_173a
bindorviveke sahasà  SRtp_175c
bindostadbandhamokùajà  SRtp_260b
bindoþ kùobhàya vartate  SRtp_177b
bindvàdyàþ ÷iva÷àsane  SRtp_5d
buddhayo bhogalampañàþ  SRtp_286b
buddhitattvàvivekataþ  SRtp_244b
buddhirna sarvà sarveùàü  SRtp_251c
buddhyavyakteùvahaïkçtau  SRtp_100d
buddhyàdibhogyajananã  SRtp_156a
buddhyàråóhaü sukhaü duþkhaü  SRtp_252a
baindavaü tattvamucyate  SRtp_48b
bodha÷akterabodhasya  SRtp_198c
brahma kuõóalinã dhruvam  SRtp_70d
brahmàtra kàraõaü mantraþ  SRtp_97c
bhagnakarmamahàrgalàþ  SRtp_23b
bhadrakàlyà÷ca bhuvane  SRtp_93a
bhavabhãtamimaü janam  SRtp_320b
bhàjàü bhogàdhikàrayoþ  SRtp_57d
bhàva evaü ca sàdhyate  SRtp_230d
bhàvaþ syàd ghañakuóyavat  SRtp_52b
bhittvà yaü bodhakhaógena  SRtp_80a
bhuvanàdivibhedataþ  SRtp_141b
bhuvanàdãnabhivyàpya  SRtp_95a
bhuvanàdãnyabhivyàpya  SRtp_111a
bhuvanàni vicitràõi  SRtp_131c
bhuvanaiþ saha bhoktçbhiþ  SRtp_31d
bhåtàni pa¤ca tanmàtràþ  SRtp_98c
bhåto bhàvi ca tat tadà  SRtp_261b
bhåyobhåyaþ samãksate  SRtp_234d
bhedayorabhyupaiti cet  SRtp_230b
bhedavàdavi÷àradàþ  SRtp_62d
bhedasaü÷oùacårõànàm  SRtp_311c
bhedaü parebhyo vyàvçtti-  SRtp_226c
bhedaþ kàryavi÷eùataþ  SRtp_143d
bhedaþ siddhyedathànanya-  SRtp_230c
bhogamokùau prayacchati  SRtp_169b
bhogasthànaniviùñànàü  SRtp_274c
bhogasthànàni pa¤caiùàü  SRtp_271c
bhogànapyaparimlànàn  SRtp_132a
bhràntipradhànasantàna-  SRtp_247c
bhråmadhyakamalodare  SRtp_112b
makuñotpàdakarmaõi  SRtp_44d
matireùàmayuktaiva  SRtp_300a
madhyamà savikalpake  SRtp_82d
madhyàþ pra÷àntakaluùà  SRtp_26c
mananatràõadharmiõã  SRtp_269d
mananàt sarvabhàvànàü  SRtp_269a
mano'haïkàrabuddhayaþ  SRtp_99b
mantavyaü copapattibhiþ  SRtp_9b
mantrayonirmahàmàyà  SRtp_166c
mantrayoniþ parà màyà  SRtp_157c
mantraråpà hi tacchaktir  SRtp_269c
mantrastatpuruùàhvayaþ  SRtp_113d
mantràdhvà vyàpakasteùàü  SRtp_88a
mantràvajàtahçdayau  SRtp_94c
mantrà vidyà÷ca nàmataþ  SRtp_24d
mantrau vaktratanucchadau  SRtp_110d
mayaivamanukurvatà  SRtp_322d
marãcinicayàtmikà  SRtp_182d
marãcinicayena ca  SRtp_5b
malaþ karma ca màyà ca  SRtp_174a
maloparuddhadçk÷akter  SRtp_233c
mahàmàyànuùaïgiõam  SRtp_176d
mahàmàyà bhavet tredhà  SRtp_155c
mahàmàyàmayàstathà  SRtp_277b
mahàmàyà samàkràntà  SRtp_274a
mahàmàyeti de÷ikaiþ  SRtp_71b
mahimà parameùñhinaþ  SRtp_186d
mahimà vyàptiråpiõã  SRtp_290d
mahe÷varo mahàneùa  SRtp_291a
màyà jaóàntaravyàptà  SRtp_43a
màyàtattvàni tatra tu  SRtp_105b
màyàto dvividhà matà  SRtp_175b
màyàdibhuvanànàü ca  SRtp_105c
màyàdyarthàvalokane  SRtp_53d
màyàpuruùaviveke tu  SRtp_176a
màyàmadhvasvana÷varãm  SRtp_164d
màyàmàkramya tejasà  SRtp_61b
màyàmàrgatayà tathà  SRtp_41d
màyàmàhurvipa÷citaþ  SRtp_154b
màyàyàþ kùobhako yena  SRtp_153a
màyàyàþ sà ca vidvadbhir  SRtp_48a
màyåràõóarasopamà  SRtp_76d
màyeyo 'pi tathà tu syàd  SRtp_144c
màyaiva kàraõaü ÷uddhà-  SRtp_174c
màyopàdànakàraõaþ  SRtp_33d
màyordhvamapi sambhavàt  SRtp_60d
màlàvibhramakàriõã  SRtp_203d
màüsalà hçdayàmbuje  SRtp_96b
mithyàpariõatiryayà  SRtp_242b
muktàõånàmanàratam  SRtp_257b
mukhyamapyapahàyàrthaü  SRtp_225c
mukhyamarthaü virodhataþ  SRtp_223b
mucyate tebhya evàyaü  SRtp_212c
mårdhani bhràjate prabhuþ  SRtp_280b
mårdhànamadhvanaþ pràptàþ  SRtp_30a
mçdavasthàntaràpattyà  SRtp_309c
mokùastadbandhamocanam  SRtp_254b
mokùàkhyàõorvicàrataþ  SRtp_8d
mokùàya ca nigadyate  SRtp_146d
mokùo vàtha catuùñayàt  SRtp_147d
mohayedavivecità  SRtp_170b
yatsiddhau jagataþ siddhir  SRtp_201c
yathà kùãraü jaóatve 'sya  SRtp_136c
yathà taimiriko hetu-  SRtp_234a
yathàpårvaü guõàdhikàþ  SRtp_28b
yathà madhåcchiùñamçdor  SRtp_313a
yathà masårastvaïguùñhàn  SRtp_304a
yathà mçtkala÷àdãnàü  SRtp_150c
yathà mçtkala÷àdãni  SRtp_124a
yathà rajjurahicchidra-  SRtp_203c
yathàrko dinaceùñànàü  SRtp_122c
yathàrthasthitiü gçþnàti  SRtp_261c
yathà và¤janasaüyukte  SRtp_236a
yathà và pittasanduùña-  SRtp_235a
yathàsvaü hetubhiþ ÷àstraiþ  SRtp_145a
yathaikà savituþ ÷aktir  SRtp_191a
yathoktakramabhàvinàm  SRtp_311b
yathodadhiruparyeva  SRtp_177c
yadasiddhau na ki¤cana  SRtp_201d
yadàghràtaþ ÷ivecchayà  SRtp_317b
yadàvçttira÷eùeõa  SRtp_83c
yadupàdhervicitrà ca  SRtp_54a
yadyadutpadyate vastu  SRtp_34c
yadyadvayeyaü saüvittiþ  SRtp_214a
yadyadvayeyaü saüvittiþ  SRtp_221c
yad yasyàþ kàryamàmnàya-  SRtp_192c
yad vi÷eùaõavij¤ànaü  SRtp_209c
yayà vyàpaka÷uddhyaiva  SRtp_166a
yayà sarve 'pi pudgalàþ  SRtp_167b
yastvenaü manyate mohàj  SRtp_138a
yasyàü dçùñasvaråpàyàm  SRtp_77c
yaþ kàle nànyathodayaþ  SRtp_297b
yaþ ÷abdànugamàdçte  SRtp_84d
yà taysa vimalà ÷aktiþ  SRtp_273a
yàni yasyendriyàõàsan  SRtp_250a
yà parigrahavartinã  SRtp_166d
yàbhirvyàptàstridhàõavaþ  SRtp_72b
yàbhivyàpto 'dhvapa¤cakam  SRtp_87b
yuktipratyakùabàdhità  SRtp_300b
yukto 'nantaþ kulàlavat  SRtp_152d
yåpa ityevamàdayaþ  SRtp_224b
yena yad vyàpyate vastu  SRtp_124c
yeùàü màyà mate 'nityà  SRtp_160a
yogà÷ca vividhàþ karma  SRtp_7c
yo yadà vartate bhàvo  SRtp_261a
rajjådàharaõaü ÷iùya-  SRtp_231c
ra¤janàtsarvatattveùu  SRtp_4a
ratnatrayaparãkùàrthaþ  SRtp_322e
ratnatrayaparãkùeyaü  SRtp_322a
ratnatrayaü samà÷ritya  SRtp_6a
ratnàni vàïmayaiþ såtrair  SRtp_3a
ratnànãùñavidhànàcca  SRtp_5c
rasanaþ svàdu tarkayan  SRtp_235b
rahità sarvabandhanaiþ  SRtp_185d
ràgàdebhyo 'dhikàrayoþ  SRtp_4b
ràgo niyatisaüyutaþ  SRtp_104d
ràmakaõñhakçtàloka-  SRtp_321c
rudràõàü ÷atasaükhyànàü  SRtp_92c
rudro 'tra kàraõaü mantro  SRtp_107a
råpamàtramasau bhavet  SRtp_295b
råpamàhurvipa÷citaþ  SRtp_292b
råpamã÷asya yujyate  SRtp_294d
råpaü yenopajàyate  SRtp_226d
råpiõãvànubhåyate  SRtp_242d
lakùayet tasya ÷àstrataþ  SRtp_17b
layabhogàdhikàravàn  SRtp_182b
layabhogàdhikàriõàm  SRtp_287d
layabhogàdhikàriõã  SRtp_181b
layabhogàdhikàreùu  SRtp_283c
layo 'tikràntabindukaþ  SRtp_180b
laharã yadi notkùipet  SRtp_15d
làbhasthitinibandhanam  SRtp_121b
lokàbhyàmavadhàritam  SRtp_192d
vakùyate ÷aktinirõaye  SRtp_143b
varõàdhvà ca padàtmakaþ  SRtp_87d
varõà visargapårvà ye  SRtp_115c
varõàþ sapta vilomataþ  SRtp_106b
varõyate parameùñhinà  SRtp_6d
vartate tattvasaühatiþ  SRtp_6b
vartate madhyamàhvayà  SRtp_75d
vartate yatra lãyate  SRtp_22b
vartamànà pa÷uùveva  SRtp_168a
vartamànà hi dç÷yante  SRtp_223c
va÷àdekaiva pa¤cadhà  SRtp_270b
vastuto 'stãti kecana  SRtp_299b
vastuni syàt tamaþkçtam  SRtp_258b
vastuno nirvikalpakam  SRtp_226b
vastumàtràtilàlasà  SRtp_186b
vastu loko vijànàti  SRtp_66a
vàgevàtmeti ca ÷ruteþ  SRtp_82b
vàcyamantràtmako mataþ  SRtp_104b
vàmadevo hyadhiùñhàtà  SRtp_104a
vàmàdãni yathottaram  SRtp_25d
vikaroti tathàkhilam  SRtp_178d
vikaroti yathà lolaiþ  SRtp_189c
vikaroti vicitràbhir  SRtp_188a
vikarotyanileraõàt  SRtp_177d
vikalpamavalokayan  SRtp_65d
vikalpaviùayàvapi  SRtp_211d
vikalpo bindusaükùobhàc  SRtp_259a
vikàrarahito mataþ  SRtp_51d
vikàrànavikàriõã  SRtp_244d
vikàritvàdyathà kumbhas  SRtp_33a
vikàritve jaóànitya-  SRtp_52a
vikàsàtmãya÷aktayaþ  SRtp_27d
vicàràllånamålatvàd  SRtp_205c
vicitrapariõàmataþ  SRtp_38b
vicitraiþ pariõàmaistair  SRtp_123c
vijànàti karoti ca  SRtp_120b
vij¤ànakevalàstredhà  SRtp_141c
vij¤ànaü ÷ivasaüj¤itam  SRtp_291d
vij¤ànàdi karoti yat  SRtp_275b
vij¤ànendukalànvitaþ  SRtp_281b
vij¤eyàþ saptaviü÷atiþ  SRtp_105d
vij¤eyo vañayakùavat  SRtp_207d
vidadhad vividhànalpa-  SRtp_135a
vidadhàti ÷ivaþ ÷akter  SRtp_132c
vidadhàti ÷iveritaþ  SRtp_123d
vidadhàtyakhilaü citiþ  SRtp_122b
viduùàmapi nãloùõa-  SRtp_236c
viddhavij¤ànapårvakam  SRtp_66d
vidyà kalà ca kàla÷ca  SRtp_105a
vidyàj¤ànàtiriktayoþ  SRtp_130d
vidyàyàü sapta puruùo  SRtp_104c
vidyàvidyàdhipatayaþ  SRtp_24a
vidyàvidye÷varàtmanàm  SRtp_158b
vidyà÷aktiþ parà nàdo  SRtp_71a
vidyà÷arãro bhagavàn  SRtp_47c
vidyà ÷ànti÷ca pa¤camã  SRtp_86d
vidye÷àþ ÷ivatejasaþ  SRtp_26d
vidye÷varaniyojyàste  SRtp_25a
vidhàtà kamalasyoùõa-  SRtp_312a
vinà÷otpattimattvàbhyàü  SRtp_34a
vipulàpi pragalbhate  SRtp_17d
vibhinnà ÷aktiriùyate  SRtp_303d
vibhåterã÷varasya yat  SRtp_293d
vimukte càõave male  SRtp_254d
vimucyerannçte bindos  SRtp_142a
virodhenàtha paryàyàn  SRtp_296c
vilãnà cittasaü÷rayà  SRtp_83d
vivartabhidurodayà  SRtp_184b
vivartabhedo yujyerann  SRtp_248c
vivartamànà jàteti  SRtp_237c
vivartamànà tairbhàvair  SRtp_232c
vivartaþ khalu cicchakter  SRtp_242a
vivartaþ syàt kathaü citeþ  SRtp_240d
vivartollàsa÷àlinãm  SRtp_203b
vividhopàdhisambandha-  SRtp_184a
vi÷iùñaü kathayet katham  SRtp_221b
vi÷iùñe paramodàra-  SRtp_146a
vi÷iùñairjaóavastubhiþ  SRtp_248b
vi÷iùñaiva vivartàya  SRtp_251a
vi÷uddhatvàdataþ siddhaþ  SRtp_149a
vi÷uddhamanumãyate  SRtp_174b
vi÷uddhasyàdhvanaþ siddhir  SRtp_159c
vi÷uddhaþ ÷ivakartçkaþ  SRtp_32b
vi÷uddhaþ ÷iva÷àsane  SRtp_153d
vi÷uddhiritarà÷rayà  SRtp_166b
vi÷eùasmçtipårvakam  SRtp_227b
vi÷eùasyaiva sannidhau  SRtp_187b
vi÷eùànupalabdhitaþ  SRtp_232b
vi÷eùànnityaråpayà  SRtp_187d
vi÷eùaikasvaråpiõã  SRtp_194d
viùayaü sà tu dar÷ayet  SRtp_256b
viùõuþ kàraõamucyate  SRtp_101d
vistaro 'traiva vakùyate  SRtp_49d
viü÷atistatra saükhyayà  SRtp_101b
vãrabhadrasya copari  SRtp_92d
vçttayo bandhanàtmikàþ  SRtp_81b
vçttibhiþ sthagayanniva  SRtp_188b
vçttimatsvanyathà bhavet  SRtp_65b
vçttireva matà bindoþ  SRtp_68a
vedàntai÷ca kulàmnàyais  SRtp_14a
vaikharã madhyamàbhikhyà  SRtp_72c
vaikharã ÷rotraje bodhe  SRtp_82c
vaikharyàdivibhedataþ  SRtp_46d
vaicitryamapi bhogasya  SRtp_55a
vaicitryaü candanàdayaþ  SRtp_55d
vyabhicàravivarjitam  SRtp_227d
vyavahàrastu bhedàtmà  SRtp_207c
vyàpako bhuvanàdãnàm  SRtp_118c
vyàptatvànnàdabinduvat  SRtp_126b
vyàptigrahaõasambandhe  SRtp_229c
vyàptiràptapadàrthàtma-  SRtp_121a
vyàptiü tasyàbhidhàsyàmi  SRtp_90a
vyàptau sàdhyaü na sàdhayet  SRtp_224d
vyàpnoti kàryamàtmãyaü  SRtp_179a
vyomànàhatamityapi  SRtp_71d
÷aktayo 'nye vi÷erate  SRtp_285b
÷aktipàtapavitritaiþ  SRtp_12b
÷aktipàtoditàtmabhiþ  SRtp_9d
÷aktimànàhitodyogaþ  SRtp_265c
÷aktimàniti cenmatam  SRtp_144b
÷aktirapratighodàra-  SRtp_182c
÷aktirà÷ayataþ ÷ambhoþ  SRtp_298a
÷aktirekà hi ÷ålinaþ  SRtp_276b
÷aktireva kriyàtmikà  SRtp_133d
÷aktireùà mahãyasã  SRtp_255d
÷akterasati bandhane  SRtp_256d
÷aktervyàpnoti càkhilam  SRtp_178b
÷abdatattvamaghoùà vàg  SRtp_70c
÷abdabrahmàtmako raviþ  SRtp_79d
÷abdarà÷i÷ca bindåttho  SRtp_172c
÷abdarà÷erabhådasau  SRtp_172b
÷abdasaüskàrapårvakam  SRtp_209d
÷abdànuvedhena sadà  SRtp_170a
÷ambhoþ sà samavàyinã  SRtp_304d
÷arãràdi tathà nàsau  SRtp_197c
