Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akÃraæ hyÃtmasambhavam  Stk_2.6d
tejasvÅ ca bubhuk«Ã pÅ¬Ã vÃ jÃyate 'gnidikpatre  Stk_10.25/b
tena cakraæ prakÅrtitam  Stk_10.17b
tena cÃpÆritamidaæ  Stk_13.20c
te na budhyanti ÓaÇkaram  Stk_15.4d
tenÃtmani na yojayet  Stk_3.8b
tenÃplÃvitamÃtmÃnaæ  Stk_2.8c
trayo dvÃveka eva ca  Stk_2.4b
tripa¤calak«aæ japato  Stk_16.12a
trimÃtraÓca dvimÃtraÓca  Stk_23.8c
trimÃrgÃvasthito deva÷  Stk_20.3a
triÓÆnyaæ yo vijÃnÃti  Stk_20.8a
triæÓallak«ajapÃdasya  Stk_16.14c
trÅïyabdÃni sa jÅvati  Stk_18.2b
tryahorÃtrapracÃreïa  Stk_18.2a
dak«iïasthaæ hi yadbÅjaæ  Stk_13.16c
dak«iïaæ brahmayonistham  Stk_13.13a
dadyÃtpÆrïÃhutiæ tata÷  Stk_8.18d
dadhno gh­tamivoddh­tam  Stk_1.4d
darÓanaæ Ó­ïu «aïmukha  Stk_11.2b
daÓakoÂi÷ sahasrÃïÃæ  Stk_22.10a
daÓagrÃmanivÃsina÷  Stk_16.12b
daÓa prÃïavahÃ hyetÃ  Stk_10.5a
daÓalak«Ãïi japato  Stk_16.11a
daÓa sapta ca ye ÓodhyÃ÷  Stk_8.14c
daÓasÃhasriko bhavet  Stk_16.9d
daÓasthÃne«vanukramÃt  Stk_10.16b
daÓÃraæ cakramettattu  Stk_10.15c
dÃtÃsya narakaæ yÃti  Stk_23.21c
divyarÆpamanaupamam  Stk_12.4b
divyasiddhipradÃyakam  Stk_1.5d
divyena yogamÃrgeïa  Stk_8.35c
diÓÃæ bandhaæ tu kÃrayet  Stk_3.4b
dÅk«Ãkarma samÃcaret  Stk_7.11d
dÅk«Ãprakaraïe hyetad  Stk_8.23c
dÅk«ÃyÃæ tu yathÃ vatsa  Stk_2.5a
dÅk«itÃnÃæ gatibhraæÓaæ  Stk_14.1c
dÅpÃdiva mahattejo  Stk_13.8c
dÅrghastÆccÃÂayetk«ipraæ  Stk_16.4a
dÅrghÃ hyaÇgÃni «aïmukha  Stk_1.9d
dÅrgho mok«aprado bhavet  Stk_16.2b
du÷khak«apaïamityuktaæ  Stk_19.8c
devadatto dhanaæjaya÷  Stk_10.6b
devadatto vij­mbhaïe  Stk_10.13d
devadeva÷ sadÃÓiva÷  Stk_2.11b
devadeva÷ sadÃÓiva÷  Stk_13.10d
devasya dak«iïe bhÃge  Stk_16.9a
deÓadeÓÃdhipÃnmantrÅ  Stk_16.13c
deÓika÷ pÃÓahÃ bhavet  Stk_1.6b
dehastha÷ sakalo j¤eyo  Stk_23.2a
dehaæ tyaktvÃ samÃruta÷  Stk_19.4b
dehÃtÅtaæ tu tadvidyÃn  Stk_23.14c
dehÃtÅtaæ tu taæ vidyÃd  Stk_11.9c
dravyamÃlokya tÃæ tyajet  Stk_23.5b
dra«ÂavyÃni tu sÃdhakai÷  Stk_8.2d
dvÃdaÓÃnte tu te cchedyÃ÷  Stk_8.28c
dvÃdaÓÃnte nirÃlambaæ  Stk_2.4c
dvÃsaptatisahasrÃïi  Stk_10.2a
dvitÅyasyÃnucÃreïa  Stk_18.4c
dvitÅyaæ brahmabhirvatsa  Stk_3.3c
dvitÅyÃtpa¤camÃccaiva  Stk_1.12c
dvitÅyÃvaraïe Ó­ïu  Stk_7.9b
dvirabhyÃsapaderitam  Stk_12.2b
dvyahorÃtrapracÃreïa  Stk_18.2c
dhanaæjaya÷ sthito gho«e  Stk_10.13e
dhanyo 'bhi«eka indu÷ saura÷ khalu vahnisaædhÃne  Stk_10.24/b
dharmaæ j¤ÃnÃdimeva ca  Stk_5.2d
dhaæso deva÷ sadÃÓiva÷  Stk_23.3b
dhÃraïaæ cÃpyapaÓcimam  Stk_8.13d
dh­dayena tu bhÃvayet  Stk_19.5d
dhyÃnÃdyo vi«uvati ca prÃgdalasaæstho n­pÃvalepÅ syÃt  Stk_10.25/a
dhyÃne snÃne tathaiva ca  Stk_2.14b
dhyÃyanti paramaæ haæsaæ  Stk_22.7a
nak«atre guruïÃnvite  Stk_7.2b
na jahÃti paraæ sthÃnaæ  Stk_13.11c
na tasya garbhasambhÆtir  Stk_20.5a
na tasya jÃyate m­tyur  Stk_2.9c
na punarjanmatÃæ vrajet  Stk_8.41b
na bhÆyo janma cÃpnuyÃt  Stk_11.19b
namo 'ntaæ praïavaæ puna÷  Stk_21.12d
nayatyatra na saæÓaya÷  Stk_22.3d
nayettaæ suvicak«aïa÷  Stk_8.27b
navÃnÃmapi sa prabhu÷  Stk_10.6d
nÃkhyeyaæ kathayÃmi tat  Stk_23.1d
nÃga÷ kÆrmo 'tha k­karo  Stk_10.6a
nÃ¬aya÷ parikÅrtitÃ÷  Stk_10.5b
nÃ¬Åcakramiti proktaæ  Stk_10.17c
nÃ¬Åcakraæ paraæ sÆk«maæ  Stk_10.1a
nÃ¬Åcakraæ yathÃvasthaæ  Stk_10.15a
nÃ¬ÅvivarasambandhÃ  Stk_8.38c
nÃta÷ parataraæ ki¤cin  Stk_23.17a
nÃta÷ parataraæ j¤Ãnam  Stk_23.17c
nÃta÷ parataraæ Óivam  Stk_23.17b
nÃdabinduritÅritam  Stk_13.11b
nÃdÃkhyaæ yatparaæ bÅjaæ  Stk_1.5a
nÃnyasya tu kadÃcana  Stk_11.19d
nÃputrÃya kadÃcana  Stk_23.20b
nÃbhimadhye vyavasthitÃ÷  Stk_10.2b
nÃbheradhastÃdyatkandam  Stk_10.1c
nÃbhau homaæ prakalpayet  Stk_2.13b
nÃma vij¤Ãya tattvata÷  Stk_16.6b
nÃmnÃ tu vÃtulÃttantrÃd  Stk_1.4c
nÃÓi«yÃya pradÃtavyaæ  Stk_23.20a
nÃsÃgre tu Óivaæ vidyÃt  Stk_23.11c
nÃsÃgre dvÃdaÓÃÇgulam  Stk_23.14d
nÃsÃvÃcÃrya ucyate  Stk_22.2d
nik«epaæ tadanantaram  Stk_8.16d
nigÆ¬hatvÃnna paÓyanti  Stk_13.19a
nityamÃpÆrayatye«a  Stk_10.7c
nityasaæskÃrakarmasu  Stk_8.24b
nityaæ nityÃlpajanmÃ vyasanayati paÓuæ yauvane bÃlabhÃve  Stk_10.14c
nityaæ muktiratÃya ca  Stk_23.20d
nipatantÅ tridhÃ yÃti  Stk_13.9a
niyataæ vaÓamÃnayet  Stk_16.13d
nirgato vyÃpayettiryag-  Stk_20.2c
nirbÅjakaraïaæ tathÃ  Stk_21.2d
nirbÅjakaraïe tathÃ  Stk_21.18d
nirvÃïaæ tattvavij¤Ãnaæ  Stk_13.22e
niv­ttirnÃma sÃ kalÃ  Stk_13.5d
niv­ttiÓceti tÃ÷ kalÃ÷  Stk_13.9d
niv­ttiæ h­dayenaiva  Stk_8.8a
niv­tti÷ p­thivÅ j¤eyÃ  Stk_8.6a
niÓvÃsayogayuktastu  Stk_11.14c
niÓvÃsocchvasane hitvÃ  Stk_19.5a
niÓvÃsocchvÃsakÃsaistu  Stk_10.8a
niÓvÃsocchvÃsakai÷ Óvasanapuramadha÷ kampitÃghÆrïitaiÓca  Stk_10.14b
niÓvÃsocchvÃsavarjita÷  Stk_11.13b
niÓvÃso dhanamucyate  Stk_11.4d
ni«kalaæ taæ vijÃnÅyÃt  Stk_19.4c
ni«kalena samanvita÷  Stk_13.1d
ni«kale ni«kalastathÃ  Stk_23.8b
ni«kale sakale sthitÃ  Stk_13.7b
ni«kalo dehavarjita÷  Stk_23.2b
ni«k­tiæ cÃpyapaÓcimÃm  Stk_6.3b
ni«krÃmati svayaæ devo  Stk_19.4a
ni÷sattve kalahapriye  Stk_14.2b
n­ttagÅtasamanvitai÷  Stk_9.5d
netarebhya÷ pradÃpayet  Stk_23.21b
netragÃtraprakopana÷  Stk_10.11b
netraæ dattvÃ tadÃvÃhyo  Stk_2.11a
netraæ pÃÓupataæ ca yat  Stk_1.14b
nair­tyÃæ tu ÓikhÃ j¤eyÃ  Stk_7.8a
naiva tatphalamÃpnuyÃt  Stk_8.5d
naiva siddhyate sarvadÃ  Stk_16.7d
nyasedastraæ ca mantraj¤o  Stk_2.12c
nyÆnÃ sÃdhyasya kÅrtitÃ  Stk_16.6d
pa¤catattvavyavasthitÃm  Stk_8.1b
pa¤catriæÓacca lak«Ãïi  Stk_16.15a
pa¤cadhÃ pa¤cadaivatya÷  Stk_23.10a
pa¤cadhÃ bindudÅpita÷  Stk_21.9b
pa¤capÆrïÃhutÅrdadyÃt  Stk_8.10a
pa¤camantramahÃtanum  Stk_22.2b
pa¤camastu para÷ sÆk«mo  Stk_22.14c
pa¤came viniyojayet  Stk_1.11b
pa¤calak«aæ sthito japet  Stk_16.9b
pa¤casaæsthÃnagÃminÅm  Stk_22.17d
pa¤cÃk«araprayogeïa  Stk_21.5c
pa¤caitÃni ca tattvÃni  Stk_8.2a
pa¤codghÃtÃÓca catvÃras  Stk_2.4a
patatyeva na saæÓaya÷  Stk_21.11b
patitÃ bindunÃ saha  Stk_13.10b
patrÃntarÃlayogÃcchÆnyamivÃtmÃ tato bhÃti  Stk_10.28/a
padÃrthÃnÅkasaækulam  Stk_1.3b
padmapatramathÃpi vÃ  Stk_9.2d
paramÃk«aranirïaya÷  Stk_23.18d
paramÃk«aravit sadÃ  Stk_23.23d
parameÓena bhÃ«itam  Stk_9.1d
parasmÃttu paraæ nÃsti  Stk_23.12a
paripÆrïaæ vicintayet  Stk_2.8d
pavitrÃïi purÃ nyasya  Stk_7.7a
paÓÆnÃæ caiva nirdeÓaæ  Stk_8.26a
paÓÆnmocayate k«aïÃt  Stk_8.34b
paÓorgrahaïamok«aæ tu  Stk_8.24c
paÓcÃtpadmavidhÃnaæ tu  Stk_6.4a
paÓcÃdÃdheyameva ca  Stk_17.2b
paÓcÃdÃnantamÃsanam  Stk_5.1d
paÓcÃdguro÷ sÃdhakÃnÃæ  Stk_2.10a
paÓcÃdbÃhyaæ tu «aïmukha  Stk_2.15b
paÓcÃdyajanamÃrabhet  Stk_2.15d
pÃrthivÅæ dhÃrayetkramÃt  Stk_2.2b
pÃrÓvabindudvayopetÃ  Stk_13.13c
pÃÓacchedaæ tathÃstreïa  Stk_8.18c
pÃÓÃ ÃbhyantarÃ bÃhyÃ÷  Stk_8.25a
pÃÓÃnÃæ stobhakÃraka÷  Stk_21.10d
pÃÓÃnÃæ stobhanaæ caiva  Stk_21.2a
piÇgalÃ dak«iïe hyaÇge  Stk_11.7c
pit­devÃæÓca tarpayet  Stk_3.9b
pidhÃya sarvadvÃrÃïi  Stk_11.13a
pÅtaæ bhak«itamÃghrÃtaæ  Stk_10.10a
puÂadvayavini÷s­tam  Stk_11.5d
puïyapÃpairna lipyate  Stk_23.25b
putrasnehÃdviÓe«ata÷  Stk_11.2d
putrasnehÃdviÓe«ata÷  Stk_18.5d
punaÓcotthÃpanaæ tasya  Stk_21.11c
puru«astu ÓarÅre 'smin  Stk_23.4c
purya«ÂakamudÃh­tam  Stk_17.5b
purya«ÂakasamÃyukto  Stk_17.4a
purya«Âakaæ ca tanmÃtraæ  Stk_2.7c
pu«paæ tu sakalaæ vidyÃd  Stk_23.6a
pu«pe gandha iva sthita÷  Stk_23.4b
pÆrakeïa tu pÆritam  Stk_11.16b
pÆrako dehapÆraka÷  Stk_11.12d
pÆrïÃhutipradÃnaæ ca  Stk_8.22c
pÆrvamevaæ pratij¤Ãtaæ  Stk_19.1a
pÆrvavatsamprayukto 'yaæ  Stk_21.6c
pÆrvavanmadhyasaæsthaæ ca  Stk_21.14c
pÆrvavanmanasÃlokya  Stk_14.3c
pÆrvÃdÃrabhya vaktrÃdÅn  Stk_7.6c
pÆ«Ã caiva yaÓÃstathÃ  Stk_10.4b
p­thivyÃdyabjanÃ¬Årvai  Stk_8.37c
p­thivyÃpastathÃ tejo  Stk_8.1c
p­«ÂÃÓcÃtra tvayÃ guha  Stk_8.14d
prakriyÃntasthamam­taæ  Stk_2.5c
prak«ipejjÃtavedasam  Stk_6.2d
prajÃpatistathÃditya÷  Stk_22.5c
praïavÃdi tato huæ phaÂ  Stk_21.21a
praïavenÃgnimadhyastho  Stk_21.4a
praïavenÃntadÅpita÷  Stk_21.9d
prati«ÂhÃ Ãpa ucyate  Stk_8.6b
prati«ÂhÃ nÃma sÃ j¤eyÃ  Stk_13.4c
prati«ÂhÃæ ÓirasÃ guru÷  Stk_8.8b
pratyak«aæ sarvatomukha÷  Stk_23.3d
pratyayo '«Âavidha÷ sm­ta÷  Stk_21.3b
prathamaæ tasya tadbÅjaæ  Stk_13.11a
pradÃtavyamidaæ ÓÃstraæ  Stk_23.21a
pradhÃnÃ daÓa tÃsu yÃ÷  Stk_10.3b
prayÃïaæ kurute yasmÃt  Stk_10.8c
prayogeïÃtisÆk«meïa  Stk_8.35a
prayoge vÃruïe mÃrge  Stk_21.20c
prayogo bhuvi durlabha÷  Stk_21.6d
prayogo vi«uvatkÃle  Stk_21.10c
pravak«yÃmyanupÆrvaÓa÷  Stk_10.1b
pravak«yÃmyanupÆrvaÓa÷  Stk_10.15b
pravak«yÃmyanupÆrvaÓa÷  Stk_18.1b
prasÃdÃrthaæ mama prabho  Stk_1.3d
prasÃdÅbhava ÓÆladh­k  Stk_11.1d
prÃk­tairguïasambhavai÷  Stk_22.17b
prÃguktaæ parikalpayet  Stk_6.4b
prÃïasaæÓayakÃraka÷  Stk_11.15b
prÃïastu prathamo vÃyur  Stk_10.6c
prÃïa÷ prÃïamaya÷ prÃïo  Stk_10.7a
prÃïÃnusvÃrasandÅptaæ  Stk_21.12c
prÃïÃyÃmaæ samÃsena  Stk_11.11a
prÃïÃyÃma÷ sa kumbhaka÷  Stk_11.13d
prÃïÃyÃmo bhavede«a  Stk_11.12c
prÃïinÃmurasi sthita÷  Stk_10.7d
prÃïo jÅvasamÃÓrita÷  Stk_10.8b
prÃïo 'pÃna÷ samÃnaÓca  Stk_10.5c
prÃyaÓcittaviÓuddhyartham  Stk_8.10c
prÃsÃdasya tu lak«aïam  Stk_16.1b
prÃsÃdasya «a¬Ãnana  Stk_16.13b
prÃsÃdaæ nÃdamutthÃpya  Stk_15.1a
prÃsÃdaæ nÃmarÆpata÷  Stk_22.7b
prÃsÃdaæ ye na budhyanti  Stk_15.4c
prÃsÃdaæ yo na jÃnÃti  Stk_22.2a
prÃsÃdaæ vinyasetpaÓcÃd  Stk_1.18c
prÃsÃdaæ «a«Âhasaæyuktaæ  Stk_19.3a
prÃsÃdaæ samyagaj¤ÃtvÃ  Stk_22.3a
prÃsÃdaæ sarvatomukham  Stk_9.3d
prÃsÃda÷ kathito mayÃ  Stk_15.4b
prÃsÃda÷ kÅd­Óo j¤eyo  Stk_22.1a
prÃsÃdÃtsambhavanti ye  Stk_22.9d
prÃsÃdÃbjaÓikhÃntastho  Stk_22.4a
prÃsÃdÃbjasamutpannÃ÷  Stk_22.11c
prÃsÃdena tu «aïmukha  Stk_8.10b
prÃsÃdena tu homayet  Stk_8.9b
prÃsÃdenaiva kÃrayet  Stk_3.9d
prÅtervinÃÓakaraïo  Stk_10.12c
plutena tu sadÃ vaÓyaæ  Stk_16.3c
phaÂkÃreïa na saæÓaya÷  Stk_16.4b
phaÂkÃro mÃraïe sm­ta÷  Stk_16.4d
phaÂ phaÂ phaÂ phaÂ pha¬evaæ syÃd  Stk_21.21c
bahumaÇgalanirgho«ai÷  Stk_9.5a
binduja÷ puru«o j¤eya  Stk_22.9a
bindunÃ mÆrdhni bhÆ«ita÷  Stk_16.2d
bindunÃ sahitÃ matÃ  Stk_13.8b
binduæ tadudare k«iptvÃ  Stk_13.12a
bÅjÃÇkuraæ purÃ ÓaktyÃ  Stk_5.1c
buddhirmanastvahaÇkÃra÷  Stk_17.5a
buddhyahaÇkÃramÅÓvare  Stk_17.6d
budhyante naiva mohitÃ÷  Stk_10.16d
bodhaka÷ sthÃnamÃdiÓet  Stk_23.26d
brahmagho«aiÓca vividhair  Stk_9.5c
brahmajaptena vigraham  Stk_3.4d
brahmaïi sparÓaÓabdau tu  Stk_17.6a
brahmaïo h­dayaæ sthÃnaæ  Stk_23.10c
brahmapatrapuÂaæ vÃtha  Stk_9.2c
brahmahatyÃÓvamedhÃdyai÷  Stk_23.25a
brahmÃïi ca Óivaæ sÃÇgaæ  Stk_1.14a
brahmÃïi vinyasettatra  Stk_1.18a
brahmÃïi hrasvÃ÷ proktÃni  Stk_1.9c
brahmÃï¬e tu niv­ttirvai  Stk_8.3a
brahmÃdyÃ¤ÓrÃvayedvatsa  Stk_8.41a
brahmÃdyÃste ÓivÃntakÃ÷  Stk_8.27d
brahmÃ vi«ïuÓca rudraÓca  Stk_22.5a
brahmÃ vi«ïuÓca rudraÓca  Stk_23.9c
brÆyadevaæ jagadgurum  Stk_19.8b
bhagavandevadeveÓa  Stk_1.1a
bhasmasnÃnaæ pravak«yÃmi  Stk_4.1a
bhÃgatrayaæ tata÷ k­tvÃ  Stk_3.3a
bhittvÃ kapÃladvÃraæ tu  Stk_11.18c
bhittvÃ cordhvaæ viÓe«ata÷  Stk_2.3d
bhittvÃrgalÃæ nyasedyoniæ  Stk_8.42c
bhÆtaÓuddhistathaiva ca  Stk_2.1b
bhÆtaÓuddhiæ purÃ k­tvÃ  Stk_2.1c
bhÆmiÓodhanaæ k­tvÃ  Stk_7.1c
bhÆya eva pravak«yÃmi  Stk_21.15c
bhÆyasÓcÃpyÃyanaæ tasya  Stk_21.7c
bhogaæ caiva layaæ tathÃ  Stk_8.17d
bhrÃmyati paÇkajamadhye kalÃcatu«kÃtmapÃÓasaæruddha÷  Stk_10.21/a
makÃro hyabhavattatra  Stk_13.5c
maï¬alaæ sÃrvakÃmikam  Stk_7.1b
madhyamÃ ca tathaiva ca  Stk_18.5b
madhye tu vi«uvatproktaæ  Stk_11.5c
madhye padmaæ prati«ÂhÃpyam  Stk_7.3c
manasÃ manasi cchinne  Stk_8.33a
manasi grathitÃ÷ pÃÓÃ÷  Stk_8.31c
manastantuvitÃnitam  Stk_8.32b
mano 'pyanyatra nik«iptaæ  Stk_23.15c
mano binduæ Óive tyaktvÃ  Stk_17.6e
manov­ttyÃ manaÓcchidÃ  Stk_8.32d
mantratantraæ carÃcaram  Stk_13.15b
mantratantraæ tvayÃ proktaæ  Stk_1.1c
mantramÆrtiæ sadÃÓivam  Stk_1.11d
mantrasyÃrghyaæ ca dÃpayet  Stk_16.8b
mantrÃïÃmamitaujasÃm  Stk_22.10b
mantrai÷ sarvai÷ sak­dbhasma  Stk_4.1c
mantrai÷ sarvai÷ sak­dvatsa  Stk_3.6c
mantroddhÃrastvayaæ Óubha÷  Stk_1.14d
mayÃ prokta÷ samÃsata÷  Stk_11.19f
malasnÃnaæ purÃ k­tvÃ  Stk_3.2a
mahÃpÃtakanÃÓanam  Stk_21.2b
mÃt­kÃyÃæ Óataæ hutvÃ  Stk_14.4c
mÃt­vatparirak«ati  Stk_13.12b
mÃtrÃdvÃdaÓake sthitam  Stk_1.9b
mÃyÃvini ÓaÂhe krÆre  Stk_14.2a
mÃrutÃ nava ÓaktyÃdyÃ  Stk_22.11a
muktidaæ paramaæ kiæ ca  Stk_1.5c
muktvÃ h­dayapadmaæ tu  Stk_11.17c
mukhaæ tatpuru«eïa tu  Stk_4.3b
mucyate nÃtra saæÓaya÷  Stk_15.3b
mucyate nÃtra saæÓaya÷  Stk_20.6b
mucyate sa dhruvaæ guha  Stk_20.8b
mu¤cedvÃyuæ tataÓcordhvaæ  Stk_11.14a
mudrÃbandhaæ tu kÃrayet  Stk_1.16d
munaya÷ saæÓitavratÃ÷  Stk_22.6d
mu«ÂinÃ yÃvatsthÃnaæ tan  Stk_8.27a
muhÆrte karaïÃnvite  Stk_9.4d
mÆtraÓuklamalÃnvÃyur  Stk_10.9c
mÆrtestu grahaïaæ bhavet  Stk_2.10b
mÆrdhanyÃkrÃna oækÃre  Stk_13.7c
mÆrdhna Ãrabhya mantravit  Stk_4.2d
mÆrdhna Ãrabhya vinyaset  Stk_2.10d
mÆrdhni tasya bhavedyÃsau  Stk_13.5a
m­ïmayaæ kalaÓaæ hyekaæ  Stk_9.2a
m­tasyÃpi na mu¤cati  Stk_10.13f
m­dÃ astreïa mantravit  Stk_3.1d
mok«a ityabhidhÅyate  Stk_19.12d
mok«adaÓca para÷ sm­ta÷  Stk_23.25d
mok«adastu paraæ tattvaæ  Stk_23.26e
mok«adaæ tanna saæÓaya÷  Stk_8.30b
mlecchÃ÷ prÃk­tabhÃ«iïa÷  Stk_1.6d
yakÃreïa ca dÅpita÷  Stk_21.17b
yajanaæ saæpravak«yÃmi  Stk_5.1a
yajj¤ÃtvÃm­tamaÓnute  Stk_23.26f
yaj¤akarmavidhiæ kuryÃt  Stk_7.6a
yata÷ pravartate sarvaæ  Stk_13.15a
yatk­taæ tadv­thÃ bhavet  Stk_8.29d
yattattvaæ parikÅrtitam  Stk_19.6b
yattaddh­di sadÃ padmam  Stk_11.15c
yattvayoktaæ purÃnagha  Stk_8.24d
yatra gÆ¬ha÷ sa ti«Âhati  Stk_13.17b
yatra yatra sthito j¤ÃnÅ  Stk_23.23c
yathÃgnijvalane d­«Âo  Stk_21.18c
yathÃ cÃdyÃ tathÃ vÃmÃ  Stk_18.5a
yathÃ tu sakalo devo  Stk_13.1c
yathÃ t­ïajalÆkÃ nu  Stk_20.6c
yathÃ deva÷ prabhÃ«ate  Stk_20.5b
yathÃ deve tathÃ dehe  Stk_2.14c
yathÃpÆrvaæ tathaiva sa÷  Stk_21.8b
yathÃ bhavati tacch­ïu  Stk_21.11d
yathÃrcane tathÃgnau ca  Stk_2.14a
yathÃvidhyanupÆrvaÓa÷  Stk_5.1b
yathÃsthÃne«vanukramÃt  Stk_2.12d
yadantaæ parikÅrtitam  Stk_19.7b
yadantaæ parikÅrtitam  Stk_19.9b
yadasyÃrohaïe proktaæ  Stk_21.15a
yadÃ j¤Ãtaæ hi tatpadam  Stk_22.18d
yadyapyetallayo bhavet  Stk_20.3d
yanna kasyacidÃkhyÃtaæ  Stk_23.1c
yastu dÅk«Ãæ karoti sa÷  Stk_22.4b
yasya yatkarma coddi«Âaæ  Stk_12.4c
yasya yadbÅjamuktaæ tu  Stk_8.15a
yaæ dhyÃtvÃm­tamaÓnute  Stk_22.7d
yaæ buddhvÃ nÃbhijÃyate  Stk_13.16b
yÃ kalÃ rekhinÅ tatra  Stk_13.10a
yÃgaæ k­tvÃ tu pÆrvoktam  Stk_9.4a
yÃgaæ k­tvÃ tu pÆrvoktaæ  Stk_16.8a
yÃti dehÃntake Óivam  Stk_23.24b
yÃmye yÃmyo bhÃvo nair­tye nair­to vinirdi«Âa÷  Stk_10.26/a
yÃvadavyaktagocaram  Stk_8.3d
yÃvadÃbhÆtasamplavam  Stk_16.16d
yÃvadÆrdhvaæ sa recayet  Stk_11.14d
yÃvadetairna nirmukta÷  Stk_17.5c
yÃvaddehe sthito jantor  Stk_20.2a
yÃvadvidyeÓvarÃntikam  Stk_8.4b
yÃvadvyÃptiæ na vindati  Stk_20.5d
yÃæ yÃæ diÓamabhigacchati tadbhÃvaæ nikhilamÃyÃti  Stk_10.27/b
ye cÃnye prÃïino devÃ÷  Stk_22.6a
yena kÃla÷ prabudhyate  Stk_18.1d
yena mok«o dhruvaæ bhavet  Stk_8.34d
yena vij¤ÃtamÃtreïa  Stk_8.34a
yena saækrÃmati hyasau  Stk_10.17d
yena s­«Âaæ carÃcaram  Stk_13.19b
ye mantrÃ÷ parikÅrtitÃ÷  Stk_22.11b
yairvyÃptamakhilaæ jagat  Stk_8.2b
yoga Ãkar«aïe sm­ta÷  Stk_16.5b
yogad­«Âena mantravit  Stk_8.35b
yogapÅÂhaæ tadÃ bhavet  Stk_2.6b
yogayukto na saæÓaya÷  Stk_15.1d
yogaæ tu vi«uvaæ prÃpya  Stk_8.37a
yojanÃnÃæ Óate sthitam  Stk_16.5d
yojanÅya÷ prayatnata÷  Stk_21.13d
yojayecchÃÓvate pade  Stk_8.36d
yojyaæ sarvatra sarvadÃ  Stk_8.23d
yo dÅk«Ãæ kartumicchati  Stk_8.5b
yo dÅk«Ãæ kurute guru÷  Stk_22.3b
yoninyÃsÃdikaæ karmod-  Stk_8.13c
yonibÅjaæ tu h­daye  Stk_8.15c
yo 'bhasedÅd­Óaæ martya÷  Stk_2.9a
yo vettyevamimÃæ vyÃptiæ  Stk_20.4c
yo vettyevaæ sa vedavit  Stk_11.8d
raktapittakaphÃdikam  Stk_10.10b
rasaæ vai keÓave tyajet  Stk_17.6b
raso gandhaÓca pa¤cakam  Stk_17.4d
rahasyaæ sarvatantrÃïÃm  Stk_8.13a
rÃtrimekÃæ tathaiva ca  Stk_18.3d
rÆpagandhau tyajedrudre  Stk_17.6c
rekhÃ yÃ samprad­Óyate  Stk_13.4b
rekheyaæ vyomni nirvÃïÃ  Stk_13.6c
recakastve«a vikhyÃta÷  Stk_11.15a
recakena tathÃ k«iptaæ  Stk_11.17a
recito gacchati hyÆrdhvaæ  Stk_11.18a
rephastasyordhvata÷ sthita÷  Stk_21.6b
lak«ayenmantravitsadÃ  Stk_16.1d
lak«ÃïÃæ pa¤caviæÓatyÃ  Stk_16.14a
lak«Ãïi japtvÃ pa¤cÃÓad-  Stk_16.16a
laghutvaæ jÃyate yathÃ  Stk_21.15d
labÅjaæ jÅvasaævi«Âaæ  Stk_21.14a
laya oækÃramÆrdhani  Stk_13.6b
lalÃÂastho maheÓvara÷  Stk_23.11b
lalÃÂe tvÅÓvaraæ dhyÃyed  Stk_2.13c
likhedÃvaraïatrayam  Stk_7.4d
liÇgoddhÃravidhÃne ca  Stk_8.24a
lokanÃtha jagatpate  Stk_1.1b
lokapÃlÃnprapÆjayet  Stk_7.9d
lobhamohÃsamanvitÃ÷  Stk_1.2d
vaktumarhasi devai«Ãæ  Stk_1.3c
varadaæ sarvatomukham  Stk_2.13d
vargÃtÅtaæ «a¬antaæ ca  Stk_19.10c
varïe varïe vyavasthitÃ  Stk_13.3d
varmaïÃbhyuk«aïaæ tata÷  Stk_6.1d
vaÓamÃyÃnti te k«ipram  Stk_16.11c
