Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akriyÃpi kriyÃ tathÃ  SRtp_192b
trividhopÃdhisambhedÃl  SRtp_181a
trÅïi ratnÃni ko vetti  SRtp_18c
trÅïi siddhÃntasÃgarÃt  SRtp_2b
dadhnaÓca takravat tatra  SRtp_36c
daÓadigbÃhumaï¬ala÷  SRtp_281d
daÓÃ«Âau bhuvanÃni ca  SRtp_109d
dÃtarÅÓe yathÃgamam  SRtp_146b
dÃnÃdÃnÃdikarmabhi÷  SRtp_191b
du÷khÃnu«aÇgÃnmÃyeya-  SRtp_42a
d­kkriyecchÃviÓÃlÃk«o  SRtp_281a
d­kÓaktivat kriyÃÓaktir  SRtp_127a
d­Óyante pudgalÃ÷ kecid  SRtp_50c
deva÷ sakalani«kala÷  SRtp_268d
deva÷ sadÃÓivastatra  SRtp_118a
deÓakÃlanarÃnyatve  SRtp_240a
deÓakÃlÃdyapek«Ãk«air  SRtp_210a
deÓÃdinÃ sa siddho 'dhvÃ  SRtp_153c
dehendriyÃdaya÷ ÓuddhÃ÷  SRtp_277c
dravatÃÓu«katÃhetur  SRtp_313c
dvidhÃ sÃ sannidhÃvekÃ  SRtp_121c
dve ÓaktÅ samavÃyinyau  SRtp_127c
dve«arÃgÃdyabhÃvata÷  SRtp_112d
dvaitabhÃvastato 'nyatra  SRtp_219c
dhanyÃ hi Óivayogina÷  SRtp_318d
dhanyairÃghrÃyate sadÃ  SRtp_13d
dharmÃdharmatu«ak«aya÷  SRtp_176b
dharmÃvÃha maheÓvara÷  SRtp_35b
dharmid­«ÂÃntahetava÷  SRtp_215b
dhÃraïÅyatayÃ dhiyÃ  SRtp_4d
dhyÃtavyÃ galapadmÃntar-  SRtp_102c
dhyÃtavyÃ tÃlupadmÃntar-  SRtp_108a
dhyÃtavyÃ sÃ parÃ Óaktir  SRtp_112a
dhyÃtavyodyadanekÃrcir  SRtp_96a
dhyeyaæ ca yogamÃrgeïa  SRtp_9c
na karmaïÃïorvaicitryam  SRtp_54c
na cÃyaæ bhÃvanÃsaæj¤a÷  SRtp_59c
na jÃyate na mriyate  SRtp_195c
na j¤Ãnaæ syÃt phalapradam  SRtp_129b
na tatra mÃyopÃdÃnaæ  SRtp_148c
na tasya yukti÷ ÓÃstraæ vÃ  SRtp_138c
na tÃni punaranyasya  SRtp_250c
na tÃnutpÃdayatyarthÃn  SRtp_204a
na tÃbhyÃæ sad­Óa÷ kaÓcic  SRtp_10c
na tu cinmÃtravedina÷  SRtp_257d
na tu nirvi«ayaæ j¤Ãnaæ  SRtp_296a
na tu v­ttestatastathÃ  SRtp_63d
na tu vyÃpakamÃtrÃïÃæ  SRtp_162a
na tu Óakti÷ parÃpek«Ã  SRtp_299a
na tu hetvÃdikaæ param  SRtp_294b
na te muktÃ bhavanti ca  SRtp_258d
na te viÓvasya kartÃra÷  SRtp_262a
na te«Ãmasito mÃrga÷  SRtp_160c
na dadhno nÃpi dugdhasya  SRtp_37a
nadÅjanapadodyÃna-  SRtp_319c
na ni«edhati ki¤cana  SRtp_209b
na pratyak«o 'k«adhÅryata÷  SRtp_208b
na buddhe÷ pariïÃmo vÃ  SRtp_60c
namastathÃvidhÃyÃsmad-  SRtp_320c
nama÷ ÓivÃya Óaktyai ca  SRtp_1a
na mÃyÃ neÓvaro nÃïur  SRtp_39c
narasya j¤Ãnakarmaïo÷  SRtp_250b
narasyevo¬urÃÂ paÓo÷  SRtp_233d
na lo«Âe sÃpi kasyacit  SRtp_249b
na v­ttipariïÃmÃbhyÃæ  SRtp_69c
na Óakti÷ Óuddhavartmana÷  SRtp_39d
na ÓrÃnto na vikÃravÃn  SRtp_79b
na Órotramupasarpati  SRtp_75b
naÓvarÃïÃmayaæ dharmo  SRtp_297a
na«Âeti vividheti ca  SRtp_237d
na«Âeti vividheti ca  SRtp_245b
na sarvasya parÃpek«aæ  SRtp_295a
na siddha÷ sÃdhyate dharmo  SRtp_216a
na so 'sti pratyayo 'ïÆnÃæ  SRtp_84c
na hi kart­bahutvasya  SRtp_262c
na hi kastÆrikÃmoda÷  SRtp_13a
na hi cit pariïÃmiïÅ  SRtp_199d
na hi cit pariïÃmena  SRtp_142c
na hi d­«ÂÃntamÃtreïa  SRtp_231a
na hi paÓyanti pudgalÃ÷  SRtp_81d
na hi saævidviÓe«ÃïÃæ  SRtp_248a
na hyatra Óemu«Å ÓuddhÃ  SRtp_17c
na hye«a bhagavÃn ÓaktyÃ  SRtp_305c
nÃtmÃ nÃsti ca devatÃ  SRtp_138d
nÃdabindvarïakÃraïam  SRtp_22d
nÃdÃdÅnapi tenai«a  SRtp_133a
nÃnÃyoni«vaniÓcitÃ  SRtp_168d
nÃnumÃnÃgamau tatra  SRtp_211a
nÃnyathÃ j¤ÃnakoÂibhi÷  SRtp_239b
nÃnyena vyÃpyate Óiva÷  SRtp_119b
nÃpi jÃnÃti ki¤cana  SRtp_306b
nÃpi bhinnoktahetubhi÷  SRtp_304b
nÃpi saævitsamÃ rajjor  SRtp_232a
nÃpyanye tadvibhÆtaya÷  SRtp_29b
nÃmnÃ te 'pi sadÃÓivÃ÷  SRtp_31b
nÃsiddhairapi taistathÃ  SRtp_216b
nÃsÆyÃ paricÃrake  SRtp_3d
nÃstameti na codeti  SRtp_79a
nÃsmatpratyak«agocarÃ÷  SRtp_60b
nityanaimittikaæ tathÃ  SRtp_7d
nityanaimittikenai«a  SRtp_317c
nityamuktÃdvayÃnanta-  SRtp_206c
nityamuktoditÃcintya-  SRtp_263a
nityÃ kuï¬alinÅ tu yÃ  SRtp_157d
nityai«ÃÓe«akÃryÃïÃæ  SRtp_200a
nityoditÃnavacchinna-  SRtp_293c
nityoditÃnavacchinnÃ  SRtp_183a
nityopÃdÃnakÃraïa÷  SRtp_32d
nidhaye yogaratnÃnÃm  SRtp_321a
nindyate paÓuÓÃstravat  SRtp_12d
nibadhyante mayÃ tata÷  SRtp_3b
nirÃvaraïavirdvandva-  SRtp_183c
nirupÃdÃnavaibhavÃ  SRtp_183d
nirupÃdhi÷ kathaæ Óiva÷  SRtp_301b
nirgacchantyaviÓaÇkitÃ÷  SRtp_80b
nirdhÆtaghanasaæv­ti÷  SRtp_316b
nirmalÃnÃmasaæk«obhÃd  SRtp_260a
nirmalÃnÃæ ÓivÃtmanÃm  SRtp_274d
nirmalÅk­tacetasÃ  SRtp_321d
nirvikalpakabodhe 'pi  SRtp_68c
nirvikalpasvarÆpiïÅ  SRtp_183b
nirvikalpÃrthasaævittis  SRtp_260c
nirvikÃre 'pi ÓÆlini  SRtp_310d
nivÃritavipÃkayo÷  SRtp_315b
nivÃryamÃïamaÇgai÷ svair  SRtp_222c
niv­ttirabhidhÅyate  SRtp_97b
niv­ttiÓca prati«ÂhÃ ca  SRtp_86c
niv­ttau pÃrthivaæ tattvaæ  SRtp_91a
niv­ttyÃdikalÃÓrayÃt  SRtp_85d
niv­ttyÃdivibhedata÷  SRtp_89d
niv­ttyÃdyÃ viÓuddhaye  SRtp_161b
ni«kala÷ Óivasaæj¤ita÷  SRtp_266b
ni«ÂhÃ kÃ«ÂhÃ parÃ sÆk«mÃ  SRtp_186a
ni«pÃdane kalÃdÅnÃæ  SRtp_43c
nÅlÃ¤janasamadyuti÷  SRtp_108b
nÅlotpaladalÃÇkitÃ  SRtp_102b
nutiæ kurvanti saævida÷  SRtp_225d
naikatra sthÃtumarhata÷  SRtp_216d
naivamapyavinÃÓi yat  SRtp_296d
naivaæ vidyeÓvaro mÃyÃm  SRtp_69a
naivaæ heturad­«ÂÃyÃæ  SRtp_224c
pa¤ca karmendriyÃïi ca  SRtp_98d
pa¤cadhÃ bhidyate bhÆya÷  SRtp_86a
pa¤ca pa¤casu vartate  SRtp_95b
pa¤ca buddhÅndriyÃïyÃsan  SRtp_99a
pa¤camantratanu÷ ÓrÅmÃn  SRtp_268c
pa¤camÅ tu parÃ kalÃ  SRtp_114d
pa¤ca «a¬bindulÃ¤chitÃ  SRtp_111b
pa¤casrotomukha÷ ÓÃnta÷  SRtp_280c
pa¤cÃdhi«ÂheyagocarÃ  SRtp_270d
pa¤cÃnÃæ bindusaæj¤ita÷  SRtp_272b
paÂasyeva kuÂÅ tata÷  SRtp_68b
patik­tyÃdhikÃriïa÷  SRtp_29d
patik­tyÃdhikÃre«u  SRtp_279c
patyurÃj¤Ãnuvartina÷  SRtp_287b
patyurÃvi«karotyuccai÷  SRtp_267c
padamÃsÃdyate pumbhir  SRtp_89a
padÃni viæÓatirmantrau  SRtp_106c
padÃnyekÃdaÓÃtrÃsan  SRtp_110c
padÃrthajÃtaæ saæsarga-  SRtp_221a
padairatra prati«ÂhitÃ  SRtp_94b
paya÷ karaïado«ata÷  SRtp_235d
paramÃtmavidhÃnata÷  SRtp_121d
paramÃtmaiva vÃgÃtmÃ  SRtp_82a
paramÃtraæ prakÃÓeta  SRtp_257a
paramÃnandasantatim  SRtp_267d
paramaiÓvaryarÆpÃ ca  SRtp_290c
parasaævitsvarÆpÃyÃ÷  SRtp_256c
parasparavirodhena  SRtp_315a
parÃdhÅnamasaæÓayam  SRtp_44b
parÃnapek«aæ rÆpaæ yad  SRtp_291c
parÃnapek«ÃnanyÃtma-  SRtp_185a
parÃpek«Ãnapek«ÃbhyÃm  SRtp_293a
parÃæ vyÃptimakhaï¬itÃm  SRtp_318b
pariïÃmavatÅ ca yat  SRtp_43b
pariïÃmavatÅ ca yat  SRtp_158d
pariïÃmasya kartÃyaæ  SRtp_63c
pariïÃmÃt tatastathÃ  SRtp_49b
pariïÃmÃparimlÃnaæ  SRtp_199a
pariïÃmi ca yadvastu  SRtp_136a
pariïÃmitayÃ tathÃ  SRtp_34b
pariïÃmitayÃ svayam  SRtp_124d
pariïÃmi«vayaæ dharmo  SRtp_65a
pariïÃmÅ pradhÃnavat  SRtp_135d
pariïÃmodayairapi  SRtp_42d
pariïÃmo nirÃk­ta÷  SRtp_198b
pariïÃmo hi d­Óyate  SRtp_198d
pariïÃmo hi vastÆnÃæ  SRtp_35c
pariÓe«eïa labhyate  SRtp_40b
parÅk«Ã kriyate tatra  SRtp_21c
pare sadÃÓivasamÃ÷  SRtp_29c
paÓupÆrvÃ÷ sadÃÓivÃ÷  SRtp_24b
paÓÆn vartayate nityaæ  SRtp_168c
paÓcÃttakraæ tathÃ mÃyÃ  SRtp_38a
paÓyantÅ madhyamotpÃda-  SRtp_83a
paÓyantÅ sÆk«masaæj¤itÃ  SRtp_72d
paÓyet ÓaktyÃ tayÃ vinÃ  SRtp_302b
pÃrthivo 'pi bhavetkumbho  SRtp_33c
pÃÓatvena vyavasthitÃ  SRtp_168b
pÅtai«Ã caturaÓrÃ ca  SRtp_95c
puïyÃpuïyÃkhyakarmaïÃm  SRtp_314b
pudgalaÓcetano nityo  SRtp_51c
pudgalÃdhi«ÂhitÃ ca yat  SRtp_154d
purabhogÃdiÓobhitam  SRtp_30d
purÃïi daÓa pa¤ca ca  SRtp_115b
purÃïya«Âottaraæ Óatam  SRtp_91b
purÃdÅni svalÅlayÃ  SRtp_319d
puru«astvadhidevatÃ  SRtp_114b
puru«aæ gamayedeva  SRtp_44a
puru«e «o¬aÓakale  SRtp_78a
puru«ai÷ pratihanyate  SRtp_13b
puru«o vÃ kathaæ buddhiæ  SRtp_302a
puæsÃmapratighodÃra-  SRtp_5a
puæsopabhujyate tena  SRtp_252c
pÆrvapak«Ãstata÷ pare  SRtp_11b
pÆrvamevamasÃvapi  SRtp_309d
pÆrvaæ k«Åraæ tato dadhi  SRtp_37d
pÆrvÃvasthÃparicyute÷  SRtp_35d
pÆrvÃvasthe hi te mate  SRtp_37b
p­thakkÃraæ pratanvatÅ  SRtp_170d
p­thageveÓiturmata÷  SRtp_253d
'pyanyathÃnavabhÃsita÷  SRtp_240b
prakÃÓyÃ sarvatomukhÅ  SRtp_185b
prak­ti÷ puru«asya sÃ  SRtp_156b
pratij¤Ã bhajyate te«Ãm  SRtp_220a
pratibhÃso 'pi d­Óyate  SRtp_207b
prati«ÂhÃ nÃma sÃ kalÃ  SRtp_103d
prati«ÂhÃyÃæ tu catvÃri  SRtp_98a
prati«ÂhÃ saniv­ttikÃ  SRtp_271b
prati«Âhito yatastena  SRtp_103c
pratisargapadakramÃt  SRtp_93d
pratyak«a eva tÃvarthe  SRtp_211c
pratyak«amapi g­hïÃti  SRtp_226a
pratyak«asaæj¤aæ vij¤Ãnam  SRtp_228a
pratyak«airapi yoginÃm  SRtp_145b
pratyayÃvavivekata÷  SRtp_236d
pratyayodayahetunÃ  SRtp_169d
pratyÃca«Âe kathaæ sudhÅ÷  SRtp_145d
pratyÃtmaniyatÃ etÃ  SRtp_81a
prapa¤cavilayÃya ca  SRtp_308b
prapa¤ca÷ ki¤ca mÃyeya÷  SRtp_241a
prabhavÃ÷ karyayonaya÷  SRtp_276d
prabhÃ bhÃnorivÃmalÃ  SRtp_305b
prabhÃvÃ Óaktisaæj¤itÃ  SRtp_263b
prabhuÓaktisamÃkrÃntas  SRtp_310a
prabhu÷ ÓaktiÓirÃ÷ Óiva÷  SRtp_280d
pramÃïamanumÃ bhavet  SRtp_217b
pramÃïaæ tadabhÃvata÷  SRtp_211b
pramÃïaireva sÃdhita÷  SRtp_241b
pramÃïairvyÃvahÃrikai÷  SRtp_214b
prayukto bhedamÃkhyÃti  SRtp_218c
prayoktÌïÃmiyaæ prÃya÷  SRtp_74a
prayoga÷ svÃÇgasiddhaye  SRtp_218d
prayojyatvÃccharÅrÃdi-  SRtp_152c
prayojya÷ paÓubhÃvena  SRtp_151a
pralapanto dayÃlubhi÷  SRtp_213b
prav­ttaÓceti deÓikai÷  SRtp_265d
prav­ttimÃnayaæ deva÷  SRtp_282c
prav­ttirupabhogÃya  SRtp_146c
prav­tti÷ sarvabhÆtÃnÃæ  SRtp_56c
praÓÃntamalakÃlu«yam  SRtp_316c
prasanne parameÓvare  SRtp_30b
prasiddhÃnadhvana÷ ÓuddhÃn  SRtp_145c
prasiddhÃ÷ p­thagevÃlaæ  SRtp_215a
prasiddhoktaviÓe«aïam  SRtp_39b
prÃcyÃdi«u daÓasvÃsann  SRtp_92a
prÃïav­ttinibandhanÃ  SRtp_74b
prÃïav­ttimatikramya  SRtp_75c
prÃpnuvanti mahÃdhÅrÃ  SRtp_318c
prÃpyate cittabhedena  SRtp_147c
prÅtilÃlasacetasa÷  SRtp_171b
bandhakaÓca vicÃrata÷  SRtp_206b
bandhamok«akara÷ Óiva÷  SRtp_314d
bandhamok«au na vastuta÷  SRtp_212d
bandhavartÅ vimÆ¬hÃtmÃ  SRtp_254a
bahudhÃ yadavasthÃnaæ  SRtp_53a
bahurÆpo 'dhidevatÃ  SRtp_107b
bahulÃlokaÓÃlinÅ  SRtp_102d
bÃlamÆkÃdivij¤Ãna-  SRtp_208c
bÃlo 'haæ k­Óa ityata÷  SRtp_246d
bindave ÓÃÓvatÃya ca  SRtp_1b
bindÃvÃnandarÆpiïi  SRtp_179d
bindugarbhabharÃlasÃ  SRtp_267b
bindunÃ vyÃpyate yo 'sau  SRtp_125c
bindumÅÓo 'dhiti«Âhati  SRtp_68d
binduranyo na mÃyordhvam  SRtp_140a
bindurÃkhyÃyate yuktyÃ  SRtp_135c
bindurÃtmani nÃdÃdÅn  SRtp_123a
bindurÃdau nirÆpyate  SRtp_21d
bindurÃpÆrayannÃdair  SRtp_188c
bindureva pravartate  SRtp_308d
bindureva vikalpÃkhyÃæ  SRtp_58c
bindurevaæ samÃkhyÃto  SRtp_71c
bindurnÃdÃdasÃvapi  SRtp_172d
binduvyÃptipaÂÅyasÅ  SRtp_184d
binduÓaktiÓivÃkhyÃni  SRtp_2a
binduÓaktiÓivÃÓrayÃ  SRtp_21b
binduÓaktiÓivÃÓrayÃm  SRtp_90d
bindusaæj¤Ã ÓiveritÃ  SRtp_271d
bindu÷ pralÅnakÃryo 'sau  SRtp_307c
bindu÷ ÓaktyÃ Óivenai«Ã  SRtp_119a
bindu÷ ÓÃnti÷ kalÃ vidyÃ  SRtp_271a
bindoranÃhatÃde«a  SRtp_173a
bindorviveke sahasÃ  SRtp_175c
bindostadbandhamok«ajÃ  SRtp_260b
bindo÷ k«obhÃya vartate  SRtp_177b
bindvÃdyÃ÷ ÓivaÓÃsane  SRtp_5d
buddhayo bhogalampaÂÃ÷  SRtp_286b
buddhitattvÃvivekata÷  SRtp_244b
buddhirna sarvÃ sarve«Ãæ  SRtp_251c
buddhyavyakte«vahaÇk­tau  SRtp_100d
buddhyÃdibhogyajananÅ  SRtp_156a
buddhyÃrÆ¬haæ sukhaæ du÷khaæ  SRtp_252a
baindavaæ tattvamucyate  SRtp_48b
bodhaÓakterabodhasya  SRtp_198c
brahma kuï¬alinÅ dhruvam  SRtp_70d
brahmÃtra kÃraïaæ mantra÷  SRtp_97c
bhagnakarmamahÃrgalÃ÷  SRtp_23b
bhadrakÃlyÃÓca bhuvane  SRtp_93a
bhavabhÅtamimaæ janam  SRtp_320b
bhÃjÃæ bhogÃdhikÃrayo÷  SRtp_57d
bhÃva evaæ ca sÃdhyate  SRtp_230d
bhÃva÷ syÃd ghaÂaku¬yavat  SRtp_52b
bhittvÃ yaæ bodhakha¬gena  SRtp_80a
bhuvanÃdivibhedata÷  SRtp_141b
bhuvanÃdÅnabhivyÃpya  SRtp_95a
bhuvanÃdÅnyabhivyÃpya  SRtp_111a
bhuvanÃni vicitrÃïi  SRtp_131c
bhuvanai÷ saha bhokt­bhi÷  SRtp_31d
bhÆtÃni pa¤ca tanmÃtrÃ÷  SRtp_98c
bhÆto bhÃvi ca tat tadÃ  SRtp_261b
bhÆyobhÆya÷ samÅksate  SRtp_234d
bhedayorabhyupaiti cet  SRtp_230b
bhedavÃdaviÓÃradÃ÷  SRtp_62d
bhedasaæÓo«acÆrïÃnÃm  SRtp_311c
bhedaæ parebhyo vyÃv­tti-  SRtp_226c
bheda÷ kÃryaviÓe«ata÷  SRtp_143d
bheda÷ siddhyedathÃnanya-  SRtp_230c
bhogamok«au prayacchati  SRtp_169b
bhogasthÃnanivi«ÂÃnÃæ  SRtp_274c
bhogasthÃnÃni pa¤cai«Ãæ  SRtp_271c
bhogÃnapyaparimlÃnÃn  SRtp_132a
bhrÃntipradhÃnasantÃna-  SRtp_247c
bhrÆmadhyakamalodare  SRtp_112b
makuÂotpÃdakarmaïi  SRtp_44d
matire«Ãmayuktaiva  SRtp_300a
madhyamÃ savikalpake  SRtp_82d
madhyÃ÷ praÓÃntakalu«Ã  SRtp_26c
mananatrÃïadharmiïÅ  SRtp_269d
mananÃt sarvabhÃvÃnÃæ  SRtp_269a
mano'haÇkÃrabuddhaya÷  SRtp_99b
mantavyaæ copapattibhi÷  SRtp_9b
mantrayonirmahÃmÃyÃ  SRtp_166c
mantrayoni÷ parÃ mÃyÃ  SRtp_157c
mantrarÆpÃ hi tacchaktir  SRtp_269c
mantrastatpuru«Ãhvaya÷  SRtp_113d
mantrÃdhvÃ vyÃpakaste«Ãæ  SRtp_88a
mantrÃvajÃtah­dayau  SRtp_94c
mantrÃ vidyÃÓca nÃmata÷  SRtp_24d
mantrau vaktratanucchadau  SRtp_110d
mayaivamanukurvatÃ  SRtp_322d
marÅcinicayÃtmikÃ  SRtp_182d
marÅcinicayena ca  SRtp_5b
mala÷ karma ca mÃyÃ ca  SRtp_174a
maloparuddhad­kÓakter  SRtp_233c
mahÃmÃyÃnu«aÇgiïam  SRtp_176d
mahÃmÃyÃ bhavet tredhÃ  SRtp_155c
mahÃmÃyÃmayÃstathÃ  SRtp_277b
mahÃmÃyÃ samÃkrÃntÃ  SRtp_274a
mahÃmÃyeti deÓikai÷  SRtp_71b
mahimÃ parame«Âhina÷  SRtp_186d
mahimÃ vyÃptirÆpiïÅ  SRtp_290d
maheÓvaro mahÃne«a  SRtp_291a
mÃyÃ ja¬ÃntaravyÃptÃ  SRtp_43a
mÃyÃtattvÃni tatra tu  SRtp_105b
mÃyÃto dvividhÃ matÃ  SRtp_175b
mÃyÃdibhuvanÃnÃæ ca  SRtp_105c
mÃyÃdyarthÃvalokane  SRtp_53d
mÃyÃpuru«aviveke tu  SRtp_176a
mÃyÃmadhvasvanaÓvarÅm  SRtp_164d
mÃyÃmÃkramya tejasÃ  SRtp_61b
mÃyÃmÃrgatayÃ tathÃ  SRtp_41d
mÃyÃmÃhurvipaÓcita÷  SRtp_154b
mÃyÃyÃ÷ k«obhako yena  SRtp_153a
mÃyÃyÃ÷ sÃ ca vidvadbhir  SRtp_48a
mÃyÆrÃï¬arasopamÃ  SRtp_76d
mÃyeyo 'pi tathÃ tu syÃd  SRtp_144c
mÃyaiva kÃraïaæ ÓuddhÃ-  SRtp_174c
mÃyopÃdÃnakÃraïa÷  SRtp_33d
mÃyordhvamapi sambhavÃt  SRtp_60d
mÃlÃvibhramakÃriïÅ  SRtp_203d
mÃæsalÃ h­dayÃmbuje  SRtp_96b
mithyÃpariïatiryayÃ  SRtp_242b
muktÃïÆnÃmanÃratam  SRtp_257b
mukhyamapyapahÃyÃrthaæ  SRtp_225c
mukhyamarthaæ virodhata÷  SRtp_223b
mucyate tebhya evÃyaæ  SRtp_212c
mÆrdhani bhrÃjate prabhu÷  SRtp_280b
mÆrdhÃnamadhvana÷ prÃptÃ÷  SRtp_30a
m­davasthÃntarÃpattyÃ  SRtp_309c
mok«astadbandhamocanam  SRtp_254b
mok«ÃkhyÃïorvicÃrata÷  SRtp_8d
mok«Ãya ca nigadyate  SRtp_146d
mok«o vÃtha catu«ÂayÃt  SRtp_147d
mohayedavivecitÃ  SRtp_170b
yatsiddhau jagata÷ siddhir  SRtp_201c
yathÃ k«Åraæ ja¬atve 'sya  SRtp_136c
yathÃ taimiriko hetu-  SRtp_234a
yathÃpÆrvaæ guïÃdhikÃ÷  SRtp_28b
yathÃ madhÆcchi«Âam­dor  SRtp_313a
yathÃ masÆrastvaÇgu«ÂhÃn  SRtp_304a
yathÃ m­tkalaÓÃdÅnÃæ  SRtp_150c
yathÃ m­tkalaÓÃdÅni  SRtp_124a
yathÃ rajjurahicchidra-  SRtp_203c
yathÃrko dinace«ÂÃnÃæ  SRtp_122c
yathÃrthasthitiæ g­÷nÃti  SRtp_261c
yathÃ vÃ¤janasaæyukte  SRtp_236a
yathÃ vÃ pittasandu«Âa-  SRtp_235a
yathÃsvaæ hetubhi÷ ÓÃstrai÷  SRtp_145a
yathaikÃ savitu÷ Óaktir  SRtp_191a
yathoktakramabhÃvinÃm  SRtp_311b
yathodadhiruparyeva  SRtp_177c
yadasiddhau na ki¤cana  SRtp_201d
yadÃghrÃta÷ ÓivecchayÃ  SRtp_317b
yadÃv­ttiraÓe«eïa  SRtp_83c
yadupÃdhervicitrÃ ca  SRtp_54a
yadyadutpadyate vastu  SRtp_34c
yadyadvayeyaæ saævitti÷  SRtp_214a
yadyadvayeyaæ saævitti÷  SRtp_221c
yad yasyÃ÷ kÃryamÃmnÃya-  SRtp_192c
yad viÓe«aïavij¤Ãnaæ  SRtp_209c
yayÃ vyÃpakaÓuddhyaiva  SRtp_166a
yayÃ sarve 'pi pudgalÃ÷  SRtp_167b
yastvenaæ manyate mohÃj  SRtp_138a
yasyÃæ d­«ÂasvarÆpÃyÃm  SRtp_77c
ya÷ kÃle nÃnyathodaya÷  SRtp_297b
ya÷ ÓabdÃnugamÃd­te  SRtp_84d
yÃ taysa vimalÃ Óakti÷  SRtp_273a
yÃni yasyendriyÃïÃsan  SRtp_250a
yÃ parigrahavartinÅ  SRtp_166d
yÃbhirvyÃptÃstridhÃïava÷  SRtp_72b
yÃbhivyÃpto 'dhvapa¤cakam  SRtp_87b
yuktipratyak«abÃdhitÃ  SRtp_300b
yukto 'nanta÷ kulÃlavat  SRtp_152d
yÆpa ityevamÃdaya÷  SRtp_224b
yena yad vyÃpyate vastu  SRtp_124c
ye«Ãæ mÃyÃ mate 'nityÃ  SRtp_160a
yogÃÓca vividhÃ÷ karma  SRtp_7c
yo yadÃ vartate bhÃvo  SRtp_261a
rajjÆdÃharaïaæ Ói«ya-  SRtp_231c
ra¤janÃtsarvatattve«u  SRtp_4a
ratnatrayaparÅk«Ãrtha÷  SRtp_322e
ratnatrayaparÅk«eyaæ  SRtp_322a
ratnatrayaæ samÃÓritya  SRtp_6a
ratnÃni vÃÇmayai÷ sÆtrair  SRtp_3a
ratnÃnÅ«ÂavidhÃnÃcca  SRtp_5c
rasana÷ svÃdu tarkayan  SRtp_235b
rahitÃ sarvabandhanai÷  SRtp_185d
rÃgÃdebhyo 'dhikÃrayo÷  SRtp_4b
rÃgo niyatisaæyuta÷  SRtp_104d
rÃmakaïÂhak­tÃloka-  SRtp_321c
rudrÃïÃæ ÓatasaækhyÃnÃæ  SRtp_92c
rudro 'tra kÃraïaæ mantro  SRtp_107a
rÆpamÃtramasau bhavet  SRtp_295b
rÆpamÃhurvipaÓcita÷  SRtp_292b
rÆpamÅÓasya yujyate  SRtp_294d
rÆpaæ yenopajÃyate  SRtp_226d
rÆpiïÅvÃnubhÆyate  SRtp_242d
lak«ayet tasya ÓÃstrata÷  SRtp_17b
layabhogÃdhikÃravÃn  SRtp_182b
layabhogÃdhikÃriïÃm  SRtp_287d
layabhogÃdhikÃriïÅ  SRtp_181b
layabhogÃdhikÃre«u  SRtp_283c
layo 'tikrÃntabinduka÷  SRtp_180b
laharÅ yadi notk«ipet  SRtp_15d
lÃbhasthitinibandhanam  SRtp_121b
lokÃbhyÃmavadhÃritam  SRtp_192d
vak«yate Óaktinirïaye  SRtp_143b
varïÃdhvÃ ca padÃtmaka÷  SRtp_87d
varïÃ visargapÆrvÃ ye  SRtp_115c
varïÃ÷ sapta vilomata÷  SRtp_106b
varïyate parame«ÂhinÃ  SRtp_6d
vartate tattvasaæhati÷  SRtp_6b
vartate madhyamÃhvayÃ  SRtp_75d
vartate yatra lÅyate  SRtp_22b
vartamÃnÃ paÓu«veva  SRtp_168a
vartamÃnÃ hi d­Óyante  SRtp_223c
vaÓÃdekaiva pa¤cadhÃ  SRtp_270b
vastuto 'stÅti kecana  SRtp_299b
vastuni syÃt tama÷k­tam  SRtp_258b
vastuno nirvikalpakam  SRtp_226b
vastumÃtrÃtilÃlasÃ  SRtp_186b
vastu loko vijÃnÃti  SRtp_66a
vÃgevÃtmeti ca Órute÷  SRtp_82b
