Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akàraü hyàtmasambhavam  Stk_2.6d
dehàtãtaü tu tadvidyàn  Stk_23.14c
dehàtãtaü tu taü vidyàd  Stk_11.9c
dravyamàlokya tàü tyajet  Stk_23.5b
draùñavyàni tu sàdhakaiþ  Stk_8.2d
dvàda÷ànte tu te cchedyàþ  Stk_8.28c
dvàda÷ànte niràlambaü  Stk_2.4c
dvàsaptatisahasràõi  Stk_10.2a
dvitãyasyànucàreõa  Stk_18.4c
dvitãyaü brahmabhirvatsa  Stk_3.3c
dvitãyàtpa¤camàccaiva  Stk_1.12c
dvitãyàvaraõe ÷çõu  Stk_7.9b
dvirabhyàsapaderitam  Stk_12.2b
dvyahoràtrapracàreõa  Stk_18.2c
dhanaüjayaþ sthito ghoùe  Stk_10.13e
dhanyo 'bhiùeka induþ sauraþ khalu vahnisaüdhàne  Stk_10.24/b
dharmaü j¤ànàdimeva ca  Stk_5.2d
dhaüso devaþ sadà÷ivaþ  Stk_23.3b
dhàraõaü càpyapa÷cimam  Stk_8.13d
dhçdayena tu bhàvayet  Stk_19.5d
dhyànàdyo viùuvati ca pràgdalasaüstho nçpàvalepã syàt  Stk_10.25/a
dhyàne snàne tathaiva ca  Stk_2.14b
dhyàyanti paramaü haüsaü  Stk_22.7a
nakùatre guruõànvite  Stk_7.2b
na jahàti paraü sthànaü  Stk_13.11c
na tasya garbhasambhåtir  Stk_20.5a
na tasya jàyate mçtyur  Stk_2.9c
na punarjanmatàü vrajet  Stk_8.41b
na bhåyo janma càpnuyàt  Stk_11.19b
namo 'ntaü praõavaü punaþ  Stk_21.12d
nayatyatra na saü÷ayaþ  Stk_22.3d
nayettaü suvicakùaõaþ  Stk_8.27b
navànàmapi sa prabhuþ  Stk_10.6d
nàkhyeyaü kathayàmi tat  Stk_23.1d
nàgaþ kårmo 'tha kçkaro  Stk_10.6a
nàóayaþ parikãrtitàþ  Stk_10.5b
nàóãcakramiti proktaü  Stk_10.17c
nàóãcakraü paraü såkùmaü  Stk_10.1a
nàóãcakraü yathàvasthaü  Stk_10.15a
nàóãvivarasambandhà  Stk_8.38c
nàtaþ parataraü ki¤cin  Stk_23.17a
nàtaþ parataraü j¤ànam  Stk_23.17c
nàtaþ parataraü ÷ivam  Stk_23.17b
nàdabinduritãritam  Stk_13.11b
nàdàkhyaü yatparaü bãjaü  Stk_1.5a
nànyasya tu kadàcana  Stk_11.19d
nàputràya kadàcana  Stk_23.20b
nàbhimadhye vyavasthitàþ  Stk_10.2b
nàbheradhastàdyatkandam  Stk_10.1c
nàbhau homaü prakalpayet  Stk_2.13b
nàma vij¤àya tattvataþ  Stk_16.6b
nàmnà tu vàtulàttantràd  Stk_1.4c
nà÷iùyàya pradàtavyaü  Stk_23.20a
nàsàgre tu ÷ivaü vidyàt  Stk_23.11c
nàsàgre dvàda÷àïgulam  Stk_23.14d
nàsàvàcàrya ucyate  Stk_22.2d
nikùepaü tadanantaram  Stk_8.16d
nigåóhatvànna pa÷yanti  Stk_13.19a
nityamàpårayatyeùa  Stk_10.7c
nityasaüskàrakarmasu  Stk_8.24b
nityaü nityàlpajanmà vyasanayati pa÷uü yauvane bàlabhàve  Stk_10.14c
nityaü muktiratàya ca  Stk_23.20d
nipatantã tridhà yàti  Stk_13.9a
niyataü va÷amànayet  Stk_16.13d
nirgato vyàpayettiryag-  Stk_20.2c
nirbãjakaraõaü tathà  Stk_21.2d
nirbãjakaraõe tathà  Stk_21.18d
nirvàõaü tattvavij¤ànaü  Stk_13.22e
nivçttirnàma sà kalà  Stk_13.5d
nivçtti÷ceti tàþ kalàþ  Stk_13.9d
nivçttiü hçdayenaiva  Stk_8.8a
nivçttiþ pçthivã j¤eyà  Stk_8.6a
ni÷vàsayogayuktastu  Stk_11.14c
ni÷vàsocchvasane hitvà  Stk_19.5a
ni÷vàsocchvàsakàsaistu  Stk_10.8a
ni÷vàsocchvàsakaiþ ÷vasanapuramadhaþ kampitàghårõitai÷ca  Stk_10.14b
ni÷vàsocchvàsavarjitaþ  Stk_11.13b
ni÷vàso dhanamucyate  Stk_11.4d
niùkalaü taü vijànãyàt  Stk_19.4c
niùkalena samanvitaþ  Stk_13.1d
niùkale niùkalastathà  Stk_23.8b
niùkale sakale sthità  Stk_13.7b
niùkalo dehavarjitaþ  Stk_23.2b
niùkçtiü càpyapa÷cimàm  Stk_6.3b
niùkràmati svayaü devo  Stk_19.4a
niþsattve kalahapriye  Stk_14.2b
nçttagãtasamanvitaiþ  Stk_9.5d
netarebhyaþ pradàpayet  Stk_23.21b
netragàtraprakopanaþ  Stk_10.11b
netraü dattvà tadàvàhyo  Stk_2.11a
netraü pà÷upataü ca yat  Stk_1.14b
nairçtyàü tu ÷ikhà j¤eyà  Stk_7.8a
naiva tatphalamàpnuyàt  Stk_8.5d
naiva siddhyate sarvadà  Stk_16.7d
nyasedastraü ca mantraj¤o  Stk_2.12c
nyånà sàdhyasya kãrtità  Stk_16.6d
pa¤catattvavyavasthitàm  Stk_8.1b
pa¤catriü÷acca lakùàõi  Stk_16.15a
pa¤cadhà pa¤cadaivatyaþ  Stk_23.10a
pa¤cadhà bindudãpitaþ  Stk_21.9b
pa¤capårõàhutãrdadyàt  Stk_8.10a
pa¤camantramahàtanum  Stk_22.2b
pa¤camastu paraþ såkùmo  Stk_22.14c
pa¤came viniyojayet  Stk_1.11b
pa¤calakùaü sthito japet  Stk_16.9b
pa¤casaüsthànagàminãm  Stk_22.17d
pa¤càkùaraprayogeõa  Stk_21.5c
pa¤caitàni ca tattvàni  Stk_8.2a
pa¤codghàtà÷ca catvàras  Stk_2.4a
patatyeva na saü÷ayaþ  Stk_21.11b
patità bindunà saha  Stk_13.10b
patràntaràlayogàcchånyamivàtmà tato bhàti  Stk_10.28/a
padàrthànãkasaükulam  Stk_1.3b
padmapatramathàpi và  Stk_9.2d
paramàkùaranirõayaþ  Stk_23.18d
paramàkùaravit sadà  Stk_23.23d
parame÷ena bhàùitam  Stk_9.1d
parasmàttu paraü nàsti  Stk_23.12a
paripårõaü vicintayet  Stk_2.8d
pavitràõi purà nyasya  Stk_7.7a
pa÷ånàü caiva nirde÷aü  Stk_8.26a
pa÷ånmocayate kùaõàt  Stk_8.34b
pa÷orgrahaõamokùaü tu  Stk_8.24c
pa÷càtpadmavidhànaü tu  Stk_6.4a
pa÷càdàdheyameva ca  Stk_17.2b
pa÷càdànantamàsanam  Stk_5.1d
pa÷càdguroþ sàdhakànàü  Stk_2.10a
pa÷càdbàhyaü tu ùaõmukha  Stk_2.15b
pa÷càdyajanamàrabhet  Stk_2.15d
pàrthivãü dhàrayetkramàt  Stk_2.2b
pàr÷vabindudvayopetà  Stk_13.13c
pà÷acchedaü tathàstreõa  Stk_8.18c
pà÷à àbhyantarà bàhyàþ  Stk_8.25a
pà÷ànàü stobhakàrakaþ  Stk_21.10d
pà÷ànàü stobhanaü caiva  Stk_21.2a
piïgalà dakùiõe hyaïge  Stk_11.7c
pitçdevàü÷ca tarpayet  Stk_3.9b
pidhàya sarvadvàràõi  Stk_11.13a
pãtaü bhakùitamàghràtaü  Stk_10.10a
puñadvayaviniþsçtam  Stk_11.5d
puõyapàpairna lipyate  Stk_23.25b
putrasnehàdvi÷eùataþ  Stk_11.2d
putrasnehàdvi÷eùataþ  Stk_18.5d
puna÷cotthàpanaü tasya  Stk_21.11c
puruùastu ÷arãre 'smin  Stk_23.4c
puryaùñakamudàhçtam  Stk_17.5b
puryaùñakasamàyukto  Stk_17.4a
puryaùñakaü ca tanmàtraü  Stk_2.7c
puùpaü tu sakalaü vidyàd  Stk_23.6a
puùpe gandha iva sthitaþ  Stk_23.4b
pårakeõa tu påritam  Stk_11.16b
pårako dehapårakaþ  Stk_11.12d
pårõàhutipradànaü ca  Stk_8.22c
pårvamevaü pratij¤àtaü  Stk_19.1a
pårvavatsamprayukto 'yaü  Stk_21.6c
pårvavanmadhyasaüsthaü ca  Stk_21.14c
pårvavanmanasàlokya  Stk_14.3c
pårvàdàrabhya vaktràdãn  Stk_7.6c
påùà caiva ya÷àstathà  Stk_10.4b
pçthivyàdyabjanàóãrvai  Stk_8.37c
pçthivyàpastathà tejo  Stk_8.1c
pçùñà÷càtra tvayà guha  Stk_8.14d
prakriyàntasthamamçtaü  Stk_2.5c
prakùipejjàtavedasam  Stk_6.2d
prajàpatistathàdityaþ  Stk_22.5c
praõavàdi tato huü phañ  Stk_21.21a
praõavenàgnimadhyastho  Stk_21.4a
praõavenàntadãpitaþ  Stk_21.9d
pratiùñhà àpa ucyate  Stk_8.6b
pratiùñhà nàma sà j¤eyà  Stk_13.4c
pratiùñhàü ÷irasà guruþ  Stk_8.8b
pratyakùaü sarvatomukhaþ  Stk_23.3d
pratyayo 'ùñavidhaþ smçtaþ  Stk_21.3b
prathamaü tasya tadbãjaü  Stk_13.11a
pradàtavyamidaü ÷àstraü  Stk_23.21a
pradhànà da÷a tàsu yàþ  Stk_10.3b
prayàõaü kurute yasmàt  Stk_10.8c
prayogeõàtisåkùmeõa  Stk_8.35a
prayoge vàruõe màrge  Stk_21.20c
prayogo bhuvi durlabhaþ  Stk_21.6d
prayogo viùuvatkàle  Stk_21.10c
pravakùyàmyanupårva÷aþ  Stk_10.1b
pravakùyàmyanupårva÷aþ  Stk_10.15b
pravakùyàmyanupårva÷aþ  Stk_18.1b
prasàdàrthaü mama prabho  Stk_1.3d
prasàdãbhava ÷åladhçk  Stk_11.1d
pràkçtairguõasambhavaiþ  Stk_22.17b
pràguktaü parikalpayet  Stk_6.4b
pràõasaü÷ayakàrakaþ  Stk_11.15b
pràõastu prathamo vàyur  Stk_10.6c
pràõaþ pràõamayaþ pràõo  Stk_10.7a
pràõànusvàrasandãptaü  Stk_21.12c
pràõàyàmaü samàsena  Stk_11.11a
pràõàyàmaþ sa kumbhakaþ  Stk_11.13d
pràõàyàmo bhavedeùa  Stk_11.12c
pràõinàmurasi sthitaþ  Stk_10.7d
pràõo jãvasamà÷ritaþ  Stk_10.8b
pràõo 'pànaþ samàna÷ca  Stk_10.5c
pràya÷cittavi÷uddhyartham  Stk_8.10c
pràsàdasya tu lakùaõam  Stk_16.1b
pràsàdasya ùaóànana  Stk_16.13b
pràsàdaü nàdamutthàpya  Stk_15.1a
pràsàdaü nàmaråpataþ  Stk_22.7b
pràsàdaü ye na budhyanti  Stk_15.4c
pràsàdaü yo na jànàti  Stk_22.2a
pràsàdaü vinyasetpa÷càd  Stk_1.18c
pràsàdaü ùaùñhasaüyuktaü  Stk_19.3a
pràsàdaü samyagaj¤àtvà  Stk_22.3a
pràsàdaü sarvatomukham  Stk_9.3d
pràsàdaþ kathito mayà  Stk_15.4b
pràsàdaþ kãdç÷o j¤eyo  Stk_22.1a
pràsàdàtsambhavanti ye  Stk_22.9d
pràsàdàbja÷ikhàntastho  Stk_22.4a
pràsàdàbjasamutpannàþ  Stk_22.11c
pràsàdena tu ùaõmukha  Stk_8.10b
pràsàdena tu homayet  Stk_8.9b
pràsàdenaiva kàrayet  Stk_3.9d
prãtervinà÷akaraõo  Stk_10.12c
plutena tu sadà va÷yaü  Stk_16.3c
phañkàreõa na saü÷ayaþ  Stk_16.4b
phañkàro màraõe smçtaþ  Stk_16.4d
phañ phañ phañ phañ phaóevaü syàd  Stk_21.21c
bahumaïgalanirghoùaiþ  Stk_9.5a
bindujaþ puruùo j¤eya  Stk_22.9a
bindunà mårdhni bhåùitaþ  Stk_16.2d
bindunà sahità matà  Stk_13.8b
binduü tadudare kùiptvà  Stk_13.12a
bãjàïkuraü purà ÷aktyà  Stk_5.1c
buddhirmanastvahaïkàraþ  Stk_17.5a
buddhyahaïkàramã÷vare  Stk_17.6d
budhyante naiva mohitàþ  Stk_10.16d
bodhakaþ sthànamàdi÷et  Stk_23.26d
brahmaghoùai÷ca vividhair  Stk_9.5c
brahmajaptena vigraham  Stk_3.4d
brahmaõi spar÷a÷abdau tu  Stk_17.6a
brahmaõo hçdayaü sthànaü  Stk_23.10c
brahmapatrapuñaü vàtha  Stk_9.2c
brahmahatyà÷vamedhàdyaiþ  Stk_23.25a
brahmàõi ca ÷ivaü sàïgaü  Stk_1.14a
brahmàõi vinyasettatra  Stk_1.18a
brahmàõi hrasvàþ proktàni  Stk_1.9c
brahmàõóe tu nivçttirvai  Stk_8.3a
brahmàdyà¤÷ràvayedvatsa  Stk_8.41a
brahmàdyàste ÷ivàntakàþ  Stk_8.27d
brahmà viùõu÷ca rudra÷ca  Stk_22.5a
brahmà viùõu÷ca rudra÷ca  Stk_23.9c
bråyadevaü jagadgurum  Stk_19.8b
bhagavandevadeve÷a  Stk_1.1a
bhasmasnànaü pravakùyàmi  Stk_4.1a
bhàgatrayaü tataþ kçtvà  Stk_3.3a
bhittvà kapàladvàraü tu  Stk_11.18c
bhittvà cordhvaü vi÷eùataþ  Stk_2.3d
bhittvàrgalàü nyasedyoniü  Stk_8.42c
bhåta÷uddhistathaiva ca  Stk_2.1b
bhåta÷uddhiü purà kçtvà  Stk_2.1c
bhåmi÷odhanaü kçtvà  Stk_7.1c
bhåya eva pravakùyàmi  Stk_21.15c
bhåyas÷càpyàyanaü tasya  Stk_21.7c
bhogaü caiva layaü tathà  Stk_8.17d
bhràmyati païkajamadhye kalàcatuùkàtmapà÷asaüruddhaþ  Stk_10.21/a
makàro hyabhavattatra  Stk_13.5c
maõóalaü sàrvakàmikam  Stk_7.1b
madhyamà ca tathaiva ca  Stk_18.5b
madhye tu viùuvatproktaü  Stk_11.5c
madhye padmaü pratiùñhàpyam  Stk_7.3c
manasà manasi cchinne  Stk_8.33a
manasi grathitàþ pà÷àþ  Stk_8.31c
manastantuvitànitam  Stk_8.32b
mano 'pyanyatra nikùiptaü  Stk_23.15c
mano binduü ÷ive tyaktvà  Stk_17.6e
manovçttyà mana÷cchidà  Stk_8.32d
mantratantraü caràcaram  Stk_13.15b
mantratantraü tvayà proktaü  Stk_1.1c
mantramårtiü sadà÷ivam  Stk_1.11d
mantrasyàrghyaü ca dàpayet  Stk_16.8b
mantràõàmamitaujasàm  Stk_22.10b
mantraiþ sarvaiþ sakçdbhasma  Stk_4.1c
mantraiþ sarvaiþ sakçdvatsa  Stk_3.6c
mantroddhàrastvayaü ÷ubhaþ  Stk_1.14d
mayà proktaþ samàsataþ  Stk_11.19f
malasnànaü purà kçtvà  Stk_3.2a
mahàpàtakanà÷anam  Stk_21.2b
màtçkàyàü ÷ataü hutvà  Stk_14.4c
màtçvatparirakùati  Stk_13.12b
màtràdvàda÷ake sthitam  Stk_1.9b
màyàvini ÷añhe kråre  Stk_14.2a
màrutà nava ÷aktyàdyà  Stk_22.11a
muktidaü paramaü kiü ca  Stk_1.5c
muktvà hçdayapadmaü tu  Stk_11.17c
mukhaü tatpuruùeõa tu  Stk_4.3b
mucyate nàtra saü÷ayaþ  Stk_15.3b
mucyate nàtra saü÷ayaþ  Stk_20.6b
mucyate sa dhruvaü guha  Stk_20.8b
mu¤cedvàyuü tata÷cordhvaü  Stk_11.14a
mudràbandhaü tu kàrayet  Stk_1.16d
munayaþ saü÷itavratàþ  Stk_22.6d
muùñinà yàvatsthànaü tan  Stk_8.27a
muhårte karaõànvite  Stk_9.4d
måtra÷uklamalànvàyur  Stk_10.9c
mårtestu grahaõaü bhavet  Stk_2.10b
mårdhanyàkràna oükàre  Stk_13.7c
mårdhna àrabhya mantravit  Stk_4.2d
mårdhna àrabhya vinyaset  Stk_2.10d
mårdhni tasya bhavedyàsau  Stk_13.5a
mçõmayaü kala÷aü hyekaü  Stk_9.2a
mçtasyàpi na mu¤cati  Stk_10.13f
mçdà astreõa mantravit  Stk_3.1d
mokùa ityabhidhãyate  Stk_19.12d
mokùada÷ca paraþ smçtaþ  Stk_23.25d
mokùadastu paraü tattvaü  Stk_23.26e
mokùadaü tanna saü÷ayaþ  Stk_8.30b
mlecchàþ pràkçtabhàùiõaþ  Stk_1.6d
yakàreõa ca dãpitaþ  Stk_21.17b
yajanaü saüpravakùyàmi  Stk_5.1a
yajj¤àtvàmçtama÷nute  Stk_23.26f
yaj¤akarmavidhiü kuryàt  Stk_7.6a
yataþ pravartate sarvaü  Stk_13.15a
yatkçtaü tadvçthà bhavet  Stk_8.29d
yattattvaü parikãrtitam  Stk_19.6b
yattaddhçdi sadà padmam  Stk_11.15c
yattvayoktaü purànagha  Stk_8.24d
yatra gåóhaþ sa tiùñhati  Stk_13.17b
yatra yatra sthito j¤ànã  Stk_23.23c
yathàgnijvalane dçùño  Stk_21.18c
yathà càdyà tathà vàmà  Stk_18.5a
yathà tu sakalo devo  Stk_13.1c
yathà tçõajalåkà nu  Stk_20.6c
yathà devaþ prabhàùate  Stk_20.5b
yathà deve tathà dehe  Stk_2.14c
yathàpårvaü tathaiva saþ  Stk_21.8b
yathà bhavati tacchçõu  Stk_21.11d
yathàrcane tathàgnau ca  Stk_2.14a
yathàvidhyanupårva÷aþ  Stk_5.1b
yathàsthàneùvanukramàt  Stk_2.12d
yadantaü parikãrtitam  Stk_19.7b
yadantaü parikãrtitam  Stk_19.9b
yadasyàrohaõe proktaü  Stk_21.15a
yadà j¤àtaü hi tatpadam  Stk_22.18d
yadyapyetallayo bhavet  Stk_20.3d
yanna kasyacidàkhyàtaü  Stk_23.1c
yastu dãkùàü karoti saþ  Stk_22.4b
yasya yatkarma coddiùñaü  Stk_12.4c
yasya yadbãjamuktaü tu  Stk_8.15a
yaü dhyàtvàmçtama÷nute  Stk_22.7d
yaü buddhvà nàbhijàyate  Stk_13.16b
yà kalà rekhinã tatra  Stk_13.10a
yàgaü kçtvà tu pårvoktam  Stk_9.4a
yàgaü kçtvà tu pårvoktaü  Stk_16.8a
yàti dehàntake ÷ivam  Stk_23.24b
yàmye yàmyo bhàvo nairçtye nairçto vinirdiùñaþ  Stk_10.26/a
yàvadavyaktagocaram  Stk_8.3d
yàvadàbhåtasamplavam  Stk_16.16d
yàvadårdhvaü sa recayet  Stk_11.14d
yàvadetairna nirmuktaþ  Stk_17.5c
yàvaddehe sthito jantor  Stk_20.2a
yàvadvidye÷varàntikam  Stk_8.4b
yàvadvyàptiü na vindati  Stk_20.5d
yàü yàü di÷amabhigacchati tadbhàvaü nikhilamàyàti  Stk_10.27/b
ye cànye pràõino devàþ  Stk_22.6a
yena kàlaþ prabudhyate  Stk_18.1d
yena mokùo dhruvaü bhavet  Stk_8.34d
yena vij¤àtamàtreõa  Stk_8.34a
yena saükràmati hyasau  Stk_10.17d
yena sçùñaü caràcaram  Stk_13.19b
ye mantràþ parikãrtitàþ  Stk_22.11b
yairvyàptamakhilaü jagat  Stk_8.2b
yoga àkarùaõe smçtaþ  Stk_16.5b
yogadçùñena mantravit  Stk_8.35b
yogapãñhaü tadà bhavet  Stk_2.6b
yogayukto na saü÷ayaþ  Stk_15.1d
yogaü tu viùuvaü pràpya  Stk_8.37a
yojanànàü ÷ate sthitam  Stk_16.5d
yojanãyaþ prayatnataþ  Stk_21.13d
yojayecchà÷vate pade  Stk_8.36d
yojyaü sarvatra sarvadà  Stk_8.23d
yo dãkùàü kartumicchati  Stk_8.5b
yo dãkùàü kurute guruþ  Stk_22.3b
yoninyàsàdikaü karmod-  Stk_8.13c
yonibãjaü tu hçdaye  Stk_8.15c
yo 'bhasedãdç÷aü martyaþ  Stk_2.9a
yo vettyevamimàü vyàptiü  Stk_20.4c
yo vettyevaü sa vedavit  Stk_11.8d
raktapittakaphàdikam  Stk_10.10b
rasaü vai ke÷ave tyajet  Stk_17.6b
raso gandha÷ca pa¤cakam  Stk_17.4d
rahasyaü sarvatantràõàm  Stk_8.13a
ràtrimekàü tathaiva ca  Stk_18.3d
råpagandhau tyajedrudre  Stk_17.6c
rekhà yà sampradç÷yate  Stk_13.4b
rekheyaü vyomni nirvàõà  Stk_13.6c
recakastveùa vikhyàtaþ  Stk_11.15a
recakena tathà kùiptaü  Stk_11.17a
recito gacchati hyårdhvaü  Stk_11.18a
rephastasyordhvataþ sthitaþ  Stk_21.6b
lakùayenmantravitsadà  Stk_16.1d
lakùàõàü pa¤caviü÷atyà  Stk_16.14a
lakùàõi japtvà pa¤cà÷ad-  Stk_16.16a
laghutvaü jàyate yathà  Stk_21.15d
labãjaü jãvasaüviùñaü  Stk_21.14a
laya oükàramårdhani  Stk_13.6b
lalàñastho mahe÷varaþ  Stk_23.11b
lalàñe tvã÷varaü dhyàyed  Stk_2.13c
likhedàvaraõatrayam  Stk_7.4d
liïgoddhàravidhàne ca  Stk_8.24a
lokanàtha jagatpate  Stk_1.1b
lokapàlànprapåjayet  Stk_7.9d
lobhamohàsamanvitàþ  Stk_1.2d
vaktumarhasi devaiùàü  Stk_1.3c
varadaü sarvatomukham  Stk_2.13d
vargàtãtaü ùaóantaü ca  Stk_19.10c
varõe varõe vyavasthità  Stk_13.3d
varmaõàbhyukùaõaü tataþ  Stk_6.1d
va÷amàyànti te kùipram  Stk_16.11c
va÷o vai maõóalã bhavet  Stk_16.14d
va÷yoccàñanamàraõe  Stk_16.3b
vahnimadhyaü tataþ param  Stk_21.10b
vànaprastho 'tha bhaikùukaþ  Stk_23.23b
vàmago 'tha paro binduþ  Stk_13.17c
vàmadakùiõasaüsthitam  Stk_11.5b
vàmadevo yajuþ smçtaþ  Stk_22.13d
vàmo viùõuþ prakãrtitaþ  Stk_22.15b
vàmo hyàpaþ prakãrtitaþ  Stk_22.12b
vàyunà yàvadãpsitam  Stk_11.12b
vàyubindusamanvitam  Stk_21.14d
vàyuràkà÷ameva ca  Stk_8.1d
vàyustatpuruùaþ smçtaþ  Stk_22.12d
vàyuþ ÷àntiþ prakãrtitaþ  Stk_8.6d
vàruõapatre vàruõo màrutpatre gato marudbhàvam  Stk_10.26/b
vàruõena tu buddhimat  Stk_21.17d
vàruõena tu buddhimàn  Stk_21.21d
vàruõe srotasi sthitam  Stk_21.7d
vàhayetpa÷cimadvàram  Stk_7.5a
vikasatyetadårdhvaü tu  Stk_11.16a
vighneùu pà÷ajàleùu  Stk_3.8c
vicarettu yathàsukham  Stk_23.22d
vij¤ànaü kevalaü sthitam  Stk_2.4d
vij¤àya pårvamàdhàraü  Stk_17.2a
viditvà vyàpinaü jãvaü  Stk_20.6a
vidyàtattvamukàraü tu  Stk_2.7a
vidyàdukàrajaü vàmam  Stk_22.8c
vidyàdharasamo bhavet  Stk_16.16b
vidyà nàma kalà sà tu  Stk_13.3c
vidyàü tejo vijànãyàd  Stk_8.6c
vidhànaü parikãrtitam  Stk_7.10b
vidhàya mårdhni kùiptasya  Stk_14.3a
vidhisnànaü tataþ kuryàn  Stk_4.2c
vidhihãnàþ ùaóànana  Stk_8.22b
vidhiü pràpnoti puùkalam  Stk_8.21d
vinyasedanupårva÷aþ  Stk_7.6d
vibhàgaü càsya vakùyàmi  Stk_22.7c
vibhàgà da÷a pràõasya  Stk_11.8c
vibhàgo jàyate yathà  Stk_10.15d
viyuktà nirahaükçtà  Stk_8.40d
vi÷eùo 'tra vidhãyate  Stk_21.19b
viùayaü va÷amànayet  Stk_16.14b
viùayã viùayàsakto  Stk_23.24a
viùasaüharaõaü caiva  Stk_21.2c
viùaü saüharati dhruvam  Stk_21.18b
viùuvatsamprayogeõa  Stk_8.27c
viùuvatsamprayogeõa  Stk_8.36c
viùuvadyogasaüyutam  Stk_8.30d
viùõubãjaü pratiùñhitam  Stk_13.12d
visargastena cocyate  Stk_13.20b
visargaþ påraõaü prati  Stk_10.7b
visargàcca bhavetsçùñiþ  Stk_13.22c
visargàjjàyate sçùñir  Stk_13.19c
visçùñaü yena tadbãjaü  Stk_13.20a
visçùño yaþ sa ÷ambhunà  Stk_13.18d
vistaraü tyaja deve÷a  Stk_8.33c
vistaràdvastusàdhanam  Stk_1.1d
vistçtaü tu tadeva tat  Stk_22.18b
visphuliïga÷ikhànvitam  Stk_13.8d
vçkùasyàlabhanaü tathà  Stk_21.1d
vçkùaü tu sakalaü vidyàc  Stk_23.6c
vçthà pari÷ramastasya  Stk_8.5c
vairàgyaü ca tathai÷varyam  Stk_5.3a
vauùaóantena nikùipet  Stk_8.42f
vyàno vinàmayatyaïgaü  Stk_10.12a
vyàno vyàdhiprakopanaþ  Stk_10.12b
vyàpakaü vyàpakasya tu  Stk_20.8f
vyàpanàdvyàna ucyate  Stk_10.12d
vyàpinaü sarvatomukham  Stk_1.18d
vyàptaü nàbheþ samantataþ  Stk_10.2d
vyàpti÷càsya mayà proktà  Stk_20.8c
vyàptistasya ca kãdç÷ã  Stk_22.1b
vyàvçtenaiva vaktreõa  Stk_19.8a
vyomavyàpã sadà÷ivaþ  Stk_22.14d
÷aktigarbho mahe÷varaþ  Stk_13.14d
÷akticatuùñayapaïkajamadhye puruùo 'liriva sa lãnaþ  Stk_10.19/b
÷aktidehaü nira¤janam  Stk_13.15d
÷aktinyàsaü tato darbhair  Stk_6.2a
÷aktibhiþ kesaravyåhaü  Stk_5.3c
÷aktibhiþ sampuñãkçtya  Stk_8.42e
÷aktira÷misamåhena  Stk_13.21a
÷aktireva ÷ive pade  Stk_8.4d
÷aktiü yaþ prerayettu tàm  Stk_8.35d
÷aktyà tu nãyate jãvas  Stk_23.13c
÷aïkhavàditraniþsvanaiþ  Stk_9.5b
÷aïkhinã da÷amã smçtà  Stk_10.4d
÷atamaùñottaraü japtvà  Stk_9.3c
÷atarudràvadhistathà  Stk_8.3b
÷ata÷o 'tha sahasra÷aþ  Stk_13.21b
÷ataiþ pa¤cabhirudghàtair  Stk_21.19a
÷ataiþ pa¤cabhirudghàtaiþ  Stk_21.11a
÷ataiþ saptabhirudghàtair  Stk_21.7a
÷abdastatra tu jàyate  Stk_13.7d
÷abdaþ spar÷a÷ca råpaü ca  Stk_17.4c
÷abdàdiguõavàyubhiþ  Stk_8.37d
÷arãraü kãdç÷aü tasya  Stk_22.1c
÷arãraü ÷oùayedvatsa  Stk_3.8a
÷areõàstreõa saüyutàþ  Stk_8.28d
÷àntirvidyà pratiùñhà ca  Stk_13.9c
÷àntistadårdhvamadhvànte  Stk_8.4c
÷àntiü vai kavacena tu  Stk_8.8d
÷àntyatãtaü paraü vyoma  Stk_8.9a
