CUMULATIVE PADA INDEX OF METRIC SAIVA TEXTS


Contributors:
Dominic Goodall, Reinhold Gruenendahl, Oliver Hellwig, 
Harunaga Isaacson, Nibedita Rout, S.A.S. Sarma,R. Sathyanarayanan, 
Peter Schreiner, Somadeva Vasudeva, Mei Yang
(For details see the files of the individual texts.)

         


Currently comprising the GRETIL versions of:

BhStc_ = Bhatta Narayana: Stavacintamani
CakBhst_ = Cakrapaninatha: Bhavopaharastotra 
Dka_ = Devikalottara-Agama (Devikalottaragama)
GorS(1)_ / GorS(2)_ = Goraksanatha (=Gorakhnath): Goraksasataka (2 versions)
JsSpst_ = Jnanasambhu: Sivapujastava
KubjT_ = Kubjikamatatantra
MrgT_ = Mrgendragama [or Mrgendratantra]
Saul_ = Saundaryalahari (attrib. to Samkara)
SUp_ = Siva-Upanisad
SvaT_ = Svacchandatantra [or Svacchandabhairavatantra]
ToT_ = Todalatantra
VT_ = Vinasikhatantra



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




a-u-ma-kàrasaüyuktaü  KubjT_8.59c
catuþsiddhànvitaikaikaü  KubjT_16.39c
catuþsçùñipravartakam  KubjT_20.11b
ca tçtãyaü tu locanam  KubjT_17.96b
catvarodyànamaõóitaþ  SvaT_10.547d
catvàra ete ÷aivàþ syur  MrgT_3.2c
catvàra÷ càrthanà÷akàþ  SUp_4.22d
catvàraste varàrohe  SvaT_11.178c
catvàraþ kçùõapuùpakaiþ  KubjT_24.111d
catvàraþ pa¤cako 'nyaþ punar api caturas tattvato maõóaledaü  KubjT_1.1c
catvàraþ pa÷cime devi  KubjT_24.112c
catvàraþ pãñhadevatàþ  KubjT_24.66d
catvàraþ ÷obhanàþ smçtàþ  SUp_4.22b
catvàriü÷acchataü ÷uddhaü  SvaT_10.78a
catvàriü÷acchataühyetat  SvaT_10.76c
catvàriü÷ajjapàddevam  Stk_16.15c
catvàriü÷atameva ca  SvaT_10.386b
catvàriü÷attathà ùaùñiþ  SvaT_11.229a
catvàriü÷atpadà j¤eyà  KubjT_18.3a
catvàriü÷atsamopetaü  SvaT_10.32c
catvàriü÷atsahasràõi  SvaT_10.207c
catvàriü÷atsahasràõi  SvaT_10.341c
catvàriü÷atsahasràõi  MrgT_1,13.113a
catvàriü÷adathàùñau tu  SvaT_10.411c
catvàriü÷adguõaü caiva  SvaT_11.163a
catvàriü÷addvayo varõà  KubjT_18.24a
catvàriü÷ad dvijatvàya  SvaT_4.123c
catvàriü÷ad dhi màlinã  KubjT_7.24b
catvàriü÷àùñamànena  KubjT_25.6a
catvàrodyànamaõóità  SvaT_10.260b
catvàro vai varànane  SvaT_11.142d
catvàryeva varànane  SvaT_10.229b
catvàry eva sabãjàni  KubjT_20.14c
catvàry evaü paràõi ca  KubjT_20.17b
catvàry evaü vyavasthitàþ  KubjT_14.10d
candanaü ca lalàñake  ToT_4.43d
candanaü tu lalàñake  ToT_3.71b
candanàkùatadãpànàü  KubjT_3.119c
candanàgurucarcitaþ  SvaT_1.30b
candanàgurucarcitaþ  SvaT_3.4b
candanàdyairvilimpettàü  SvaT_3.101c
candanena vilepitam  Stk_9.2b
candanair dhåpanaivedyair  KubjT_19.116a
candrakàntamaye padme  SvaT_10.812a
candrakàntasamàþ sarve  SvaT_10.296c
candrakàntasavarõàni  SvaT_10.695c
candrakàntimayaü divyaü  KubjT_20.10c
candrakoñinibhàni ca  SvaT_10.698b
candrakoñipratãkà÷àü  SvaT_2.89a
candrakoñi÷ataprakhyaiþ  SvaT_10.1210c
candrakoñisamacchàyaü  SvaT_10.916a
candrakoñisamaprabham  SvaT_10.1214d
candrakoñisamaprabham  KubjT_20.10b
candrakoñisamaprabhaþ  SvaT_10.602b
candrakoñisamaprabhàm  KubjT_6.32d
candrakoñisamaprabhaiþ  SvaT_10.1211d
candrakoñisahasràõàü  SvaT_10.809c
candrakoñisahasràõàü  SvaT_10.913c
candrakoñyayutaprabham  SvaT_10.1202b
candrakoñyayutaprabhaþ  SvaT_10.1230b
candragarbhasamanvità  KubjT_19.63d
candragarbhasya caryeyaü  KubjT_19.63a
candragauryaþ sayauvanàþ  SvaT_10.721d
candraj¤ànàkhyameva ca  MrgT_3.46b
candradvãpaguõàvçtam  KubjT_20.11d
candradvãpaguõàspadam  KubjT_20.13d
candradvãpaü janadvãpaü  KubjT_21.12a
candradvãpaü paraü tebhyo  KubjT_20.17c
candradvãpaü prakãrtitam  SvaT_10.228b
candradvãpaü manoramyaü  KubjT_2.21a
candradvãpe suvàsinyo  KubjT_21.73a
candraprabhàni cànyàni  SvaT_10.698a
candrabimbadyutirnãlà-  MrgT_1,13.83a
candrabimbanakhàbhàbhir  SvaT_10.600a
candrabimbapratãkà÷am  KubjT_23.28a
candrabimbaprabhaü saumye  SvaT_2.122c
candrabimbasamaprabhaiþ  SvaT_10.970d
candrabimbasya dar÷anam  SvaT_4.9b
candrabimbaü tadà bhavet  SvaT_7.70d
candrabãjajapàdeva  ToT_9.3c
candrabãjaü samuccàrya  ToT_3.23c
candrabhadràkarau dvãpau  MrgT_1,13.86a
candramaõóalakaü vàme  KubjT_16.73c
candramaõóalamadhyasthaü  KubjT_8.104a
candramaõóalasaïkà÷aü  SvaT_12.156a
candramaõóalasaïkà÷o  SvaT_10.957a
candramaõóalasannibham  SvaT_10.926b
candramaõóalasaünibhaiþ  SvaT_10.803b
candramadhye sadà sthitaþ  KubjT_9.77d
candramàþ paramaþ sthitaþ  SvaT_10.962b
candramàþ saumyatejasà  SvaT_10.929d
candramårdhordhvaliïgaü ca  SvaT_12.137a
candram ekàda÷aü vidhuþ  KubjT_19.8d
candramauleþ ÷rayantåccair  CakBhst_44c
candraraktàbjarugjanau  MrgT_1,13.86b
candraråpaü yadà pa÷yet  KubjT_12.25a
candraråpeõa tapati  SvaT_10.502a
candrarkàbhyàü viràjate  SvaT_10.713d
candra÷abdo na ràjate  MrgT_1,1.12d
candra÷àlàsu÷obhanaiþ  SvaT_10.583b
candra÷àlàü kvacit kvacit  SUp_6.115b
candra÷ candrakirãñinaþ  CakBhst_25b
candra÷caikakalo bhavet  SvaT_7.79d
candrasåryakaraiþ kçtvà  KubjT_23.13c
candrasåryakçtàlokaü  KubjT_1.3c
candrasåryapathenaiva  SvaT_7.156a
candrasåryavibhàgena  KubjT_17.65c
candrasåryasamanvitam  VT_373b
candrasåryaü tatodare  KubjT_11.93b
candrasåryàgninayanaü  SvaT_9.4a
candrasåryàgniråpaü ca  ToT_6.8c
candrasåryàtmakaü rephaü  ToT_6.33a
candrasåryodayo hyeùa  SvaT_7.41c
candrasåryoparàgaü tu  SvaT_7.60c
candrasåryoparàge ca  SvaT_7.139c
candraþ kaïkastathà droõaþ  SvaT_10.271a
candràkhye 'pyayutaü càyur  SvaT_10.231a
candràgniriva saüyuktà  Stk_12.1a
candràïgena samabhyasya  GorS(2)_60 (=HYP 3.15)a
candràtapasamaprabhaiþ  SvaT_10.102d
candràtreyas tathàtri÷ ca  SUp_7.135c
candràdikaü yathà devi  ToT_10.7a
candrànandaþ patis tava  KubjT_2.90d
candràbbhenàtapatreõa  SvaT_10.817a
candràbhaü candravarcasam  KubjT_11.54b
candràmçta-mayãü dhàràü  GorS(1)_55a
candràyutapratãkà÷àþ  SvaT_10.568a
candràråóhena satataü  KubjT_9.78a
candràrkamaõóalàkàra-  SvaT_10.767c
candràrdhakçta÷ekharam  SvaT_2.89b
candràrdhakçta÷ekharaþ  SvaT_10.1191b
candràrdhamaulayaþ sarve  SvaT_10.893c
candràrdha÷ekharaþ ÷ànto  SvaT_10.1228a
candràrbudapratãkà÷aü  SvaT_2.96c
candràrbudapratãkà÷aþ  SvaT_10.1227c
candràvadàtadãptaujà  SvaT_10.778c
candrà ÷uklà ca locanã  SvaT_10.300b
candràü÷aþ priyadar÷anaþ  SvaT_8.4d
candriõã candragarbheõa  KubjT_25.176c
candreõàpyàyanaü smçtam  VT_372b
candreõeva vibhàvarã  SvaT_10.719d
candrodayàmçtàntasthaü  KubjT_23.82a
candrodayàmçtodbhavà  KubjT_21.49b
candro bimbaþ pragãtavàn  SvaT_10.1198d
candro vai càrulocane  SvaT_7.82b
capale capalàþ ÷riyaþ  SvaT_1.22b
camatkàra÷làghàcalita÷irasaþ kuõóalagaõo  Saul_60c
camasaü vàripåritam  SvaT_2.259d
campakaistu samacchavi  SvaT_10.950b
caraõànniþsçte toye  ToT_3.40a
caraõena kareõa ca  SRtp_319b
carate carmagà yena  KubjT_25.163a
carate dvàda÷àntagam  KubjT_25.42d
carate dvàda÷ànte tu  KubjT_25.139a
carate sarvajantånàü  KubjT_6.82a
carantas te khelaü bhavanakalahaüsà na jahati  Saul_91b
caranti pravibhàga÷aþ  SvaT_7.42b
caranti pravibhàgena  SvaT_7.132a
caranvà siddhisaü÷rayam  MrgT_3.77d
caranvai sarvajantuùu  SvaT_4.260d
caramàrõaü sarandhraü ca  ToT_9.17c
caràcararavasthitàþ  SvaT_12.17d
caritraü peùaõã j¤eyà  KubjT_25.111c
caritraü rajakãgçham  KubjT_25.108d
caritràyàü kara¤jasthàü  KubjT_22.24a
caritrekàmrakaü caiva  KubjT_25.49c
caritrekàmrake caiva  KubjT_24.138a
caritre ca mahàkùetre  KubjT_24.75c
caritvà årdhvagodayaþ  SvaT_7.118d
carukaü dantadhàvanam  SvaT_3.213b
carukaü prà÷ayannityaü  SvaT_5.49a
carukaü prà÷ayetpa÷càc  SvaT_4.538a
carukaü prà÷ayedbudhaþ  SvaT_3.193b
carukaü sàdhane pa÷càt  VT_20a
carukaþ sàrvakàmikaþ  SvaT_15.10d
caruõà phalamålairvà  MrgT_3.15a
carusthàlãü srucaü sruvam  SvaT_3.43d
caruü dadyànna kasyacit  MrgT_3.92b
caruü pàtre tu saügçhya  SvaT_3.115c
caruü prà÷ya visarjayet  SvaT_3.198d
caruü và pà÷avãü vidhim  KubjT_25.99d
caruü sthàlyàü tu saüsthitam  SvaT_3.114b
cared vidyàvrataü mantrã  KubjT_25.29c
carmakàrã tu sà caikà  KubjT_25.163c
carmaõà và sukalpitam  SUp_6.212b
carmamuõóe bhayàvahe  KubjT_24.139b
caryayàpyatha suvrate  SvaT_11.122b
caryàkàle tu dhàrayet  KubjT_25.52d
caryàto vàtha dãkùayà  SRtp_147b
caryàdhàrã niràcàro  KubjT_8.79a
caryàdhyànavi÷uddhàtmà  SvaT_4.79a
caryàpàde vivçtiracanàü kurmahe sampraõamya  MrgT_3.0d
caryàyogakriyàpàdair  MrgT_1,2.8c
caryàyogair anekadhà  KubjT_3.79b
caryàvratadharasya ca  SvaT_15.1b
caryàvratàni bodhyàni  SvaT_10.392c
calacakravibhàgena  KubjT_5.81c
calacakravibhàgena  KubjT_5.106c
calacakraü yadà devi  KubjT_5.107a
calacittavatã matã  KubjT_21.91b
calajihvàgraõetrà ca  KubjT_21.62a
calajihvà cale÷varã  KubjT_21.35d
caladvàyusamaü cittaü  Dka_7c
caladvàyusamaü cittaü  Dka_37c
calasaumye catuùkaü tu  KubjT_20.32c
calàdãnàm adhiùñhànaü  KubjT_8.29a
calà ÷aktiþ samàkhyàtà  KubjT_5.99a
calito'pi yadà binduþ  GorS(2)_71 (=HYP 3.43)a
calitvà yàsyate kutra  SvaT_4.313c
cale vàte calaü sarvaü  GorS(1)_39a
cale vàte calo bindur  GorS(2)_90 (=1|39, HYP 2.2)a
cavarge ca kramã÷varã  KubjT_21.47d
cavarge tu mahe÷ànã  SvaT_1.35a
càkramya maõipårakam  GorS(1)_61b
càkùasåtrakaràbhayà  KubjT_16.85d
càkùuùasya manoþ kalpe  SvaT_10.998a
càgra÷çïge vyavasthitam  KubjT_11.67d
càj¤àcakre sure÷vari  ToT_7.29d
càõóàlàgnàvathàpi và  SvaT_13.32b
càõóàlyucchiùñapårvikàm  ToT_3.70d
càõóàlyucchiùñapårvikàm  ToT_3.79d
càturmàsyaü tathaiva ca  SvaT_10.401b
càturmàsyaü varànane  KubjT_24.163d
càturvarõyamakutsitam  MrgT_3.13d
càtmànaü ca samarpayet  ToT_3.69b
càdhvàtmasthaþ ÷i÷o÷ca yaþ  SvaT_4.92d
càntardhànam abhåt kùaõàt  KubjT_2.123d
cànyat sarvaü samàpayet  ToT_10.5d
cànyasmin punaràgate  SvaT_11.223b
càpalàni na kurvãta  SUp_7.58c
càpodyatakaràü ghoràü  VT_103a
càbhibhåyanty anekadhà  KubjT_10.110d
càmaravyajanokùepai  SvaT_10.601c
càmareõa su÷ubhreõa  SvaT_3.66c
càmarotkùepavãjitaþ  SvaT_10.1251d
càmãkaramayã ÷ubhrà  SvaT_10.260a
càmuõóàkàlikà parà  ToT_3.19b
càmuõóà kàlikà smçtà  ToT_3.15d
càmuõóàcakramadhyagàþ  KubjT_15.28d
càmuõóà ca lalàñasthà  KubjT_24.34a
càmuõóà tu bhruvottare  KubjT_20.63b
càmuõóà tu ÷avargikà  SvaT_1.36b
càmuõóà tv abhayànanà  KubjT_24.135d
càmuõóà parame÷ànã  KubjT_17.96c
càmuõóàm puõóravardhane  KubjT_22.38d
càmuõóà yàdinà påjyà  KubjT_24.77a
càmuõóà sapta-m-uddiùñà  KubjT_6.90c
càmçtaü saptadhà japet  ToT_4.29b
càradehà cale÷varã  KubjT_19.62d
càravã caõóacaõóikà  KubjT_19.63b
càravçttiprabhedena  SvaT_7.12c
càrasthà càramadhyasthà  KubjT_19.62c
càrasthà càravàhinã  KubjT_19.61b
càràdhyo guravaþ sadà  KubjT_3.70b
càrucandràrdha÷ekharàþ  SvaT_10.1167b
càrucàmaravan mayà  CakBhst_35d
càrucàmara÷obhità  SvaT_10.540d
càrubimboùñhavadanàm  KubjT_16.52a
càruhya pàdukaiþ saha  KubjT_3.128d
càroccàravicàrai÷ ca  KubjT_11.102c
càroccàravinirmuktas tv  SvaT_7.256c
càroccàravibhàgena  KubjT_5.112a
càroccàravivarjitam  KubjT_4.17b
càrgalaü kårmasaüyutam  KubjT_6.63b
càrdhaü caiva dvisaptatiþ  ToT_7.25d
càrvàkã lampañã caiva  KubjT_21.43c
càlanaü candra-såryayoþ  GorS(2)_58b
càlanodghàñanàdãni  SvaT_3.108a
càlayanna kathaücana  Dka_34b
càvi÷anti ca yasya vai  KubjT_10.76d
càùajãmåtavarõa÷ca  SvaT_10.740a
càùapakùanibhaü priye  SvaT_10.900b
càùñamårtiü prapåjayet  ToT_5.23b
càùñàïgaü praõamet sudhãþ  ToT_3.69d
càùñàïgaü praõamet sudhãþ  ToT_3.78b
càùñàïgaü praõamet sudhãþ  ToT_4.40b
càùñàïgaü praõamet sudhãþ  ToT_5.29d
càùñottara÷ataü japet  ToT_3.33d
càùñottara÷ataü japet  ToT_3.56b
càùñau màtryo di÷àtmikàþ  KubjT_15.10b
càsane vàpy alambuùà  GorS(1)_21d
càsane vàpy alambuùà  GorS(2)_30 (=1|21)d
càhaïkàraguõànvitaþ  KubjT_12.14b
ciccandràmçtaniþùyandam  CakBhst_29c
cic cinoti vida j¤àne  KubjT_25.37c
ciccetàhçdayàtmakam  KubjT_11.27b
cicchaktipratibodhakam  KubjT_25.37d
cicchaktipratibodhitaþ  KubjT_4.64d
cicchaktibodhanaü yasmàd  KubjT_25.39c
cicchaktirahitàdhiùñhà  KubjT_25.35c
cicchaktyà yà paràparà  KubjT_6.77b
ci¤cinã tu dvitãyakam  KubjT_11.22d
ciõãti prathamaü ÷abdaü  KubjT_11.22c
citàgnau juhuyàccårõaü  SvaT_13.32a
citàbhåtivibhåùitàt  CakBhst_6b
citikàùñhaü samindhayet  VT_167b
citibhiþ prajvalantãbhiþ  SvaT_2.178a
citi yujyeta tanmate(?)  SRtp_219b
citireva matàmlàna-  SRtp_186c
citivastre nçcarmaje  KubjT_7.100b
citiü sadasadàkàra-  SRtp_203a
citiþ ÷aktiþ prakà÷atvàd  SRtp_196a
citeþ ÷abdànuvedhataþ  SRtp_46b
citeþ saüvedanaü hi yat  SvaT_4.242b
cito yàbhirvimucyataþ  MrgT_1,13.171b
cittacintàmaõir mama  CakBhst_42d
cittavikùepakarmaõi  SvaT_3.196b
cittasye÷a tamaþspar÷o  BhStc_104c
cittaü carati khe yasmàj  GorS(2)_67 (=HYP 3.41)a
cittaü ceto mana÷ceti  SvaT_10.929a
cittàd buddherahaïkçteþ  Dka_32b
cittànande rame bhç÷am  BhStc_38d
citte calati saüsàro  Dka_10a
citprayojyamacetanam  MrgT_1,7.17d
cityaïgàrais tadudbhavaiþ  VT_178d
cityàtivàhike ÷aktau  MrgT_1,11.23c
citrakarmàõi kàrayet  SvaT_12.90b
citrançtyàpanaü yuddhaü  KubjT_17.46a
citrapaññaistu saüchannaü  SvaT_10.584a
citrapuùpai÷ ca påjayet  SUp_6.148b
citrapràkàraracità  SvaT_10.260c
citrabhànoþ prakãrtità  SvaT_10.133b
citrabhànvàditaþ priye  KubjT_19.6b
citramayã sumàyinà  MrgT_1,13.100b
citramàlyànulepanaþ  SvaT_10.877d
citramàlyànulepanàþ  SvaT_10.953d
citraratnayutàni ca  SvaT_10.894b
citravarõaparicchannaü  SUp_6.136c
citravastràõi tadbhaktyà  SUp_6.259a
citraseno mahàvãraþ  KubjT_21.44c
citraü yac citradçùño 'pi  BhStc_96a
citràkùã citraråpà ca  KubjT_21.22a
citràïgaþ kùetrapàla÷ ca  KubjT_21.108c
citràïgã citrarekhà ca  KubjT_21.21c
citrà citrarathà tathà  KubjT_21.21b
citràbharaõabhåùitàþ  SvaT_10.954b
citràmbaradharaþ ÷rãmàn  SvaT_10.878a
citràmbaradharàþ sarve  SvaT_10.954a
citritaü bhuvanàjiram  SvaT_10.577d
citrã citradharastathà  SvaT_10.44d
citsaïgacidgahanagarbhavivarti le÷àt  MrgT_1,12.34b
citsvaråpa÷ca sarveùu  SvaT_12.105c
cidacidgocarastayoþ  SRtp_243b
cidacidvyaktilakùitaþ  MrgT_1,2.12b
cidacintyà vibhoþ ÷aktir  SRtp_195a
cidànandàkàraü ÷ivayuvati bhàvena bibhçùe  Saul_35d
cidànandàyate tanuþ  GorS(2)_1d
cidàbhàtyavivekataþ  SRtp_84b
cidghanaikasvaråpiõaþ  SRtp_137d
cidyogasyànumãyate  MrgT_1,8.1b
cidråpamàtmànamananyasiddhim  Dka_54d
cidråpaü yannirantaram  Dka_47b
cidråpaü vyàpakaü vinà  Dka_67d
cidråpà ca parà kalà  KubjT_6.4b
cidvi÷eùasya vàryate  SRtp_251b
cidvihãnàþ pañàdayaþ  MrgT_1,6.5b
cidvya¤jakasya karmàdeþ  MrgT_1,2.24a
cinotyapacinoti ca  SRtp_196d
cintanãyaü vipa÷cità  MrgT_4.39d
cintanãyà mahàkà÷a-  SRtp_117a
cintayantaþ kule÷varãm  KubjT_7.47d
cintayantaþ svabhàvena  KubjT_19.13a
cintayanto ni÷àbhàge  KubjT_10.26c
cintayantopade÷ataþ  KubjT_11.110b
cintayan labhate citam  Dka_32d
cintayà rahitaü yattu  Stk_1.8c
cintayitvà tu sàdhakaþ  KubjT_8.68d
cintayitvà tu sàdhakaþ  KubjT_10.18b
cintayitvàpi kartavya-  BhStc_38a
cintayecchattram uttamam  ToT_4.20d
cintayettu manonmanãm  SvaT_2.72b
cintayettu vicakùaõaþ  Stk_2.11d
cintayettu vicakùaõaþ  Stk_2.14d
cintayetparamaü tattvaü  SvaT_7.227a
cintayetparamaü dhàma  Stk_2.8a
cintayet parame÷àni  ToT_4.11a
cintayed aparàjitàm  VT_108b
cintayed deham àtmànam  KubjT_22.10c
cintayed yonimadhyagàm  KubjT_8.16b
cintayedviparãtaü tu  Stk_12.3c
cintayedvai punaþ punaþ  SvaT_11.119d
cintà tadviùayà dhyànaü  MrgT_4.7a
cintàtãtam ihocyate  KubjT_23.164d
cintàtãtaü tu kathyate  KubjT_23.166d
cintàtãtaü pracakùyate  KubjT_23.163d
cintàmaõirasàyanaiþ  SvaT_10.118d
cintàmaõi÷ca vividhàn  SRtp_194a
cintàratnam idaü guhyaü  VT_314a
cintàratnam ivàparam  VT_10b
cintàratnam ivàparam  VT_358d
cintitavyaü tu yogibhiþ  SvaT_5.62b
cinmahodadhigàmbhãryam  SRtp_15a
cinmàtraþ puruùaþ smçtaþ  SvaT_12.75d
cinmàtràlokamadvayam  Dka_15b
cipiñaþ kha¤jarãña÷ca  SvaT_10.50a
cibuke kaõñhade÷e tu  KubjT_15.57c
cirajãvã tathà bhavet  ToT_10.7b
cirajãvã yathà bhavet  ToT_9.35d
cirasthàpitavi÷vo hi  SRtp_308c
ciraü jãvann eùa kùapitapa÷upà÷avyatikaraþ  Saul_99c
ciraü te madhyasya truñitatañinãtãrataruõà  Saul_79c
ciràd antaþ÷alyaü dahanakçtam unmålitavatà  Saul_86c
ciriyugmaü tathà bhadre  KubjT_5.23c
cihnedaü sampravartate  KubjT_10.98d
cãtkçtaü karõade÷e tu  KubjT_25.180c
cãnade÷am ataþ param  KubjT_21.11d
cãnade÷e suvàsitàþ  KubjT_21.69d
cãnadvãpe vyavasthitàþ  KubjT_21.54d
cãravalkaladhàrã và  KubjT_25.32a
cãravàkã tçtãyaü tu  KubjT_11.23a
cãravàkci¤cinãravam  SvaT_7.188b
cãrõacaryà jagat sarvaü  KubjT_25.36c
cãrõavidyàvrato hi saþ  KubjT_25.44d
cãrõavidyà sa ucyate  KubjT_25.38d
cumbakaþ sàdhakaiþ saha  SvaT_4.538b
cumbakànàü bhavedekà  SvaT_4.542c
cumbàkàreõa vaktreõa  Stk_19.6a
cullã caivàññahàsakam  KubjT_25.111b
cullãü samprokùya càstreõa  SvaT_3.105c
cåóàdyà ye tu saüskàrà  SvaT_2.257a
cåtapallavadarbhàüstu  SvaT_3.42a
cåtapallavasaüyutaiþ  SvaT_4.457b
cåtapallavasaüvãtaiþ  VT_36a
cåtà÷vatthàdipallavaiþ  SvaT_3.73d
cårõamànena bhakùayet  SUp_6.49d
cårõalepà¤janàdãni  KubjT_9.42a
cetanatvàdavçttitvàt  SRtp_49a
cetana÷cenna bhogyatvàd  MrgT_1,6.4c
cetanàcetanasthitam  SvaT_4.310d
cetanyonmãlinãü tu tàm  SvaT_12.117d
ceta÷cittavihãnànàü  KubjT_13.91c
cetasà tv amçtaü gçhya  KubjT_9.19a
ceùñante vividhàkàràþ  SvaT_10.336a
ceùñante surapåjitàþ  SvaT_10.639d
caitaddinamiha smçtam  SvaT_11.288d
caitanyatritayasthitam  KubjT_12.56d
caitanyatritayaü càtra  KubjT_12.56a
caitanyabhàvàdityagre  SRtp_143a
caitanyarahitàni tu  SvaT_2.44d
caitanyarodhakàstvete  SvaT_3.175c
caitanyasya vidhànataþ  SvaT_4.70d
caitanyasyàpi saüskàram  SvaT_4.76c
caitanyaü kanakaprabham  SvaT_4.133b
caitanyaü kanakàgnivat  SvaT_3.136b
caitanyaü jàyate priye  ToT_6.28d
caitanyaü dçkkriyàråpaü  MrgT_1,2.5a
caitanyaü praõavena tu  SvaT_2.198b
caitanyaü bhàvayecchiùoþ  SvaT_3.170b
caitanyaü mantrasaüyutam  KubjT_5.88b
caitanyaü malasaüyutam  SvaT_4.134b
caitanyaü mudrayàtmani  SvaT_4.111d
caitanyaü ÷aktirucyate  Dka_13d
caitanyaü sakalaü smçtam  Dka_13b
caitanyaü sarvatomukham  Dka_28d
caitanyaü sarvayoniùu  SvaT_4.177d
caitanyena vinà sarvam  KubjT_21.4c
caitanye ÷à÷vate dhruve  KubjT_24.126d
caitanye heturåpiõã  SvaT_4.435d
caitrakacchanivàsàü tu  KubjT_22.37c
caitramàsàdvarànane  SvaT_7.124b
caitrasaüvatsare yasmàn  SvaT_7.123a
caitrã cà÷vayujã ceti  SvaT_10.399c
caivàmahimà mahe÷vari  SvaT_11.157b
cottamà parikãrtità  KubjT_10.73d
cottarasyàü ca ÷obhanam  SvaT_3.194d
cotpaten nipated vadet  KubjT_10.83b
codako dar÷ayenmàrgaü  Stk_23.26c
codako bodhaka÷caiva  Stk_23.25c
codanàvihito mune  MrgT_1,1.5b
codayed api kaccin naþ  BhStc_77c
coditastu yadà tena  SvaT_6.8c
codyamànà÷ca màyayà  SvaT_10.973d
coradaüùñrãbhayàvaham  VT_92b
caurà gçhõanti tatpathe  KubjT_25.13b
caurikànçtadambhavàn  SvaT_12.58d
cauryaü cànçtahiüsanam  SvaT_12.57b
ccaredasvava÷o vratã  MrgT_3.125d
ccevi ti prathamaü padaü  KubjT_7.34c
ccevãti padaü prathamaü  KubjT_7.21a
cchalàd àcakùàõaü caraõakamalaü càrucarite  Saul_91d
cchidyate malakambukaþ  SRtp_175d
cyutànàmanuvartinàm  MrgT_3.27b
cyutisiddhivilakùitaþ  MrgT_1,5.7d
cha ekàkùas tu kakùagaþ  KubjT_24.13b
chakàre devatàþ smçtàþ  KubjT_21.38d
chaktirapyavikàriõã  SRtp_283b
chaktir àdyà manonmanã  KubjT_25.165d
chaktirnàcetanà citaþ  MrgT_1,3.4d
chaktau kuryàccaturthakam  SvaT_4.297d
chagalaõóaü tu vaü÷asthaü  KubjT_17.91a
chagalaõóàditaþ kramàt  KubjT_13.7b
chagalaõóottaraü vaktraü  KubjT_12.82c
chagalastu kaniùñhakaþ  SvaT_15.20b
chagalàõóaü duraõóaü ca  SvaT_10.889a
chagalàõóàdayo devi  SvaT_10.934a
chagalã påtanà caiva  KubjT_17.104c
chaïkarasya tu mandiram  SvaT_10.589d
chaïkàpà÷airvimåóhadhãþ  SRtp_212b
chattrotkùepitacàmaram  KubjT_25.18d
chatradhvajapatàkàbhir  SvaT_10.169a
chatradhvajasamàkulaiþ  SvaT_10.100b
chatraü pàdukamàsanam  SvaT_4.470b
chatràkàràõi sarvàõi  SvaT_10.99a
chatràkàràstu teùàü vai  SvaT_10.1122a
chatråõàü baladarpitàm  VT_165b
chandaþ sàmàni coïkàro  SvaT_11.290a
chabdavedhena saüvidàm  SRtp_259b
charãrotpattikàraõam  SvaT_2.42d
charditaü vikçtãkçtam  SvaT_15.19b
chàgagandhaü bhaved gàtraü  KubjT_23.40a
chàgameùa tathànyàni  KubjT_5.48a
chàgasya dakùiõe karõe  SUp_4.64c
chàgasya pi÷itena và  VT_189d
chàgasya pi÷itair hutaiþ  KubjT_8.41d
chàgaü meùaü mayåraü ca  SUp_6.208a
chàdayantã samastàü tu  KubjT_7.16a
chàdyaiva tu makhàlayam  SvaT_3.8b
chàntipuùñiparaü vrajet  KubjT_13.45d
chàntireùà nigadyate  SRtp_113b
