Astavakragita


Input by John Richards
with corrections by Robert Drecogna



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akartçtvam abhoktçtvaü  Avg_18.51a
da÷àü kàm api saüpràpto  Avg_17.20c
dàra-dàyàdi-sampadaþ  Avg_10.2d
dinàni trãõi pa¤ca và  Avg_10.2b
duþkham àyàsadaü karma  Avg_10.8c
dç÷ya-bhàvam apa÷yataþ  Avg_18.71b
dç÷yamànàpi saïgati  Avg_4.3d
dç÷yam etan na kiücana  Avg_3.13b
dç÷yam etan mçùà sarvaü  Avg_2.16c
dçùñir måóhasya sarvadà  Avg_18.63b
dçùño yenàtma-vikùepo  Avg_18.17a
dçùñvà nirvedam àpannaþ  Avg_9.5c
dçùñvà sampåjya dhãrasya  Avg_18.54c
deham enaü tathà jagat  Avg_2.2b
dehas tiùñhatu kalpàntaü  Avg_15.10a
dehàbhimàna-pà÷ena  Avg_1.14a
dehe 'pi mamatà tathà  Avg_16.10b
dehe vigalità÷asya  Avg_18.62c
daivàd eveti ni÷cayã  Avg_11.3b
daivàd eveti ni÷cayã  Avg_11.4b
dauhitrai÷ càpi gotrajaiþ  Avg_18.55b
draùñàraü pa÷yasãtaram  Avg_1.7d
dvandvair muktasya yoginaþ  Avg_18.12d
dvandvair muktaü yadà manaþ  Avg_16.5b
dvitãyaü yo na pa÷yati  Avg_18.16d
dvaita-målam aho duþkhaü  Avg_2.16a
dhanya àste yathà sukhaü  Avg_17.7d
dhanyaþ pràpnoti nirvçtim  Avg_16.3d
dhanyo vij¤àna-màtreõa  Avg_18.36c
dharmam apy etayor hetuü  Avg_10.1c
dharmàdharmau sukhaü duþkhaü  Avg_1.6a
dharmàrtha-kàma-mokùeùu  Avg_16.5c
dharmàrtha-kàma-mokùeùu  Avg_17.6a
dhàràsàram çte sukham  Avg_18.3d
dhãras tattvaü vini÷citya  Avg_18.39c
dhãras tu bhojyamàno 'pi  Avg_3.9a
dhãras tçptaþ pade pade  Avg_18.94d
dhãrasya ÷ãtalaü cittam  Avg_18.81c
dhãràs taü taü na pa÷yanti  Avg_18.40c
dhãràþ kçtyaü na pa÷yanti  Avg_18.33c
dhãro na dveùñi saüsàram  Avg_18.83a
dhãro loka-viparyasto  Avg_18.18a
dhãro vi÷ràntim àgataþ  Avg_18.27b
na kadàcij jagaty asmiüs  Avg_17.2a
na karoti karoti saþ  Avg_18.29b
na kartàsi na bhoktàsi  Avg_1.6c
na kalpate na jànàti  Avg_18.27c
na kàpi hçdi ra¤janà  Avg_18.13b
na kàpi hçdi vàsanà  Avg_18.54d
na kiücit param-arthataþ  Avg_18.4b
na kiücid akçtaü kçtam  Avg_18.29d
na kiücid iti ni÷cayã  Avg_11.8b
na kiücid iti ni÷cayã  Avg_15.17b
na kiücid iti ni÷citam  Avg_2.19b
na kiücid iti ni÷citaþ  Avg_17.19b
na kiücid iva ÷àmyati  Avg_11.8d
na kiücid iva ÷àmyati  Avg_15.17d
na kiücid bhàvako 'paraþ  Avg_18.42b
na kiücid vàsanà hçdi  Avg_18.89b
na kiücin na ca kiücana  Avg_18.96d
na ca j¤ànã na và yogã  Avg_16.10c
na cintà muktaye mama  Avg_14.3d
na jagarti na nidràti  Avg_17.10a
na jahàti vimåóhatàm  Avg_18.76b
na jàtu viùayàþ ke 'pi  Avg_17.3a
na tàü pa÷yanti sårayaþ  Avg_18.57b
na tu jànanti saümohàd  Avg_18.43c
na tuùyati na kupyati  Avg_3.9d
na tu saspçha-cittasya  Avg_18.52c
na te bandho 'sti mokùo và  Avg_15.18c
na te bhinnam idaü jagat  Avg_15.12b
na te vçddhir na và kùatiþ  Avg_15.11d
na te saïgo 'sti kenàpi  Avg_5.1a
na tyàgo na graho layaþ  Avg_6.1d
na tyàgo na graho layaþ  Avg_6.2d
na tyàgo na graho layaþ  Avg_6.3d
na tyàgo na graho layaþ  Avg_6.4d
na tvaü deho na te deho  Avg_15.4a
na tvaü vipràdiko varõo  Avg_1.5a
na dadàti na gçhõàti  Avg_17.13c
na duùñam api nindati  Avg_18.82b
na duþkhàya na tuùñaye  Avg_3.14d
na dåraü na ca saïkocàl  Avg_18.5a
na dveùas tasya ca sthitau  Avg_17.7b
na dvaitaü pa÷yato mama  Avg_2.21b
na dhàvati janàkãrõaü  Avg_18.100a
na nindati na ca stauti  Avg_17.13a
na punar-bhava-sambhavaþ  Avg_1.18d
na pçthvã na jalaü nàgnir  Avg_1.3a
na prãyate vandyamàno  Avg_18.99a
na bhayaü tasya kutracit  Avg_4.6d
na bhavaty adhivàsitaþ  Avg_17.4b
na bhaved api bàli÷aþ  Avg_18.26b
na manas te kadàcana  Avg_15.5b
na mamàsty asahiùõutà  Avg_7.1d
na mayà ÷uddha-råpiõà  Avg_18.25b
namaþ ÷àntàya tejase  Avg_18.1d
na màno nàvamànatà  Avg_18.24d
na mukti-kàrikàü dhatte  Avg_18.47a
na mukto viùaya-dveùñà  Avg_17.17a
na mu¤cati na gçhõàti  Avg_8.2c
na mumukùur na cetaraþ  Avg_18.28b
na mumukùur na và mukto  Avg_18.96c
na mçto na ca jãvati  Avg_18.83d
na me bandho 'sti mokùo và  Avg_2.18a
na me vçddhir na ca kùatiþ  Avg_7.2d
na yàti vikçtiü manàk  Avg_18.55d
na lepas tasya ÷uddhasya  Avg_18.64c
na lepaü svasya pa÷yati  Avg_18.18d
na và¤chati na ÷ocati  Avg_8.2b
na và¤chati na ÷ocati  Avg_11.3d
na vàyur dyaur na và bhavàn  Avg_1.3b
na và viùaya-lolupaþ  Avg_17.17b
na vikùepo na caikàgryaü  Avg_18.10a
na virakto na ràgavàn  Avg_16.6d
na virakto na saïgavàn  Avg_18.96b
na vi÷ràntam abhån manaþ  Avg_10.7d
na viùeso 'sti yoginaþ  Avg_18.11d
na ÷àntaü stauti niùkàmo  Avg_18.82a
na ÷àntiü labhate måóho  Avg_18.39a
na ÷çõoti na pa÷yati  Avg_18.27d
na samàdhiü na vikùepaü  Avg_18.18c
na sukhaü na ca và duþkham  Avg_18.10c
na sukhã na ca và duþkhã  Avg_18.96a
na spçhà na viraktir và  Avg_17.9c
na smaraty akçtaü kçtam  Avg_11.6d
na smaraty akçtaü kçtam  Avg_18.98d
na svargo naiva narako  Avg_18.80a
na harùam upagacchati  Avg_4.2d
na harùo na viùàdità  Avg_18.22b
na hi sarva-parityàgam  Avg_18.2c
na hi saüsàra-vàhãkair  Avg_4.1c
na hiüsà naiva kàruõyaü  Avg_17.16a
na hçùyati na kupyati  Avg_8.2d
na hçùyati na kupyati  Avg_17.13b
na hy àkà÷asya dhåmena  Avg_4.3c
nàtibodho na måóhatà  Avg_18.10b
nàtirikto 'smy ahaü tataþ  Avg_2.8b
nàtmà bhàveùu no bhàvas  Avg_7.4a
nàtra mohaü kuruùva bhoþ  Avg_15.8b
nànà mataü maharùãùàü  Avg_9.5a
nànà-vicàra-su÷rànto  Avg_18.27a
nànà-vidha-paràmar÷a-  Avg_19.1c
nànà-÷àstràõy-aneka÷aþ  Avg_16.1b
nànà÷caryam idaü vi÷vaü  Avg_11.8a
nànyat tasyàsti bheùajam  Avg_2.16b
nànyatheheti ni÷cayã  Avg_11.5b
nàpnoti karmaõà mokùaü  Avg_18.36a
nàpnoty avasaraü kartuü  Avg_18.77c
nàma-màtra-vijçmbhitam  Avg_18.69b
nàraõyam upa÷ànta-dhãþ  Avg_18.100b
nàlàbhenànu÷ocati  Avg_18.81b
nà÷ollàsau vihàyàsmàd  Avg_13.6c
nà÷o vàpi na kutracit  Avg_18.23b
nà÷caryaü naiva ca kùobhaþ  Avg_17.16c
nà÷ramã nàkùa-gocaraþ  Avg_1.5b
nàsaüsàrã ca ka÷cana  Avg_15.16d
nàsty abhàvaþ sva-bhàvanàü  Avg_18.4c
nàsya cintà mahàtmanaþ  Avg_18.86b
nàham deho na me deho  Avg_2.22a
nàhaü karteti vi÷vàsà-  Avg_1.8c
nàhaü deho na me deho  Avg_11.6a
nityaü nirantaraü brahma  Avg_1.20c
nityànitya-vivekinaþ  Avg_3.8b
nidrito bodhita iva  Avg_14.1c
nindyamàno na kupyati  Avg_18.99b
nimeùonmeùayor api  Avg_16.4b
nirapekùaü tadà bhavet  Avg_16.5d
nirapekùaþ sukhaü cara  Avg_15.4d
nirapekùo nirvikàro  Avg_1.17a
nirasta-kalpanà dhãrà  Avg_18.53c
nirahaïkàra-dhãreõa  Avg_18.29c
niràkàraü tu ni÷calam  Avg_1.18b
niràtaïkasya sarvadà  Avg_18.78d
niràdhàrà grahavya-grà  Avg_18.38a
niràlambaiva niùkàmà  Avg_18.44c
niràvaraõa-dçùñayaþ  Avg_18.6 d
nirà÷aü gata-sandehaü  Avg_18.30c
nirà÷aþ ÷obhate budhaþ  Avg_18.84d
nirà÷ena gatàrtinà  Avg_18.93b
nirupàdheþ ÷ivasya me  Avg_20.13d
nirodhaü kurute tv asau  Avg_18.17b
nirodhàdãni karmàõi  Avg_18.75a
nirodhaikàgrya-siddhaye  Avg_18.45d
nirdvandva÷ chinna-saü÷ayaþ  Avg_18.87b
nirdvandvasya nirà÷iùaþ  Avg_3.14b
nirdvandvo bàlavad dhãmàn  Avg_16.8c
nirdhyàtuü ceùñituü vàpi  Avg_18.31a
nirdhyàyati viceùñate  Avg_18.31d
nirnimittam idaü kin tu  Avg_18.31c
nirbharaþ ÷ãtalà÷ayaþ  Avg_1.17b
nirmamas tvaü sukhã bhava  Avg_15.6d
nirmamaþ ÷obhate dhãraþ  Avg_18.88a
nirmamo nirahaïkàro  Avg_18.73c
nirmamo nirahaükàro  Avg_17.19a
nirvàsanaü hariü dçùñvà  Avg_18.46a
nirvàsanaþ kiü kurute  Avg_18.15c
nirvàsanaþ sphårti-màtro  Avg_11.8c
nirvàsanaþ sphårti-màtro  Avg_15.17c
nirvàsano niràlambaþ  Avg_18.21a
nirvikalpasya sarvadà  Avg_18.66d
nirvikalpa-svabhàvasya  Avg_18.11c
nirvikalpaü niràyàsaü  Avg_18.5c
nirvikalpaþ ÷uciþ ÷àntaþ  Avg_11.7c
nirvikalpe sthitir mama  Avg_2.17d
nirvikalpo bahir-yatnàd  Avg_18.76c
nirvikalpo 'si bodhàtmà  Avg_15.5c
nirvikàrasya dhãrasya  Avg_18.78c
nirvikàraü nira¤janam  Avg_18.5d
nirvikàraþ sukhaü cara  Avg_15.5d
nirvikàrà niràmayàþ  Avg_18.57d
nirvikàro gata-kle÷aþ  Avg_11.1c
nirvicàrada÷àspadam  Avg_16.7d
nirvimar÷asya me sadà  Avg_20.10d
nirvi÷eùasya sarvadà  Avg_20.4d
nirvçttau dveùa eva hi  Avg_16.8b
nirveda-samatàyuktyà  Avg_9.6c
nirvyàjàrjava-bhåtasya  Avg_18.92c
nivçtti-phalabhàginã  Avg_18.61d
nivçttir api måóhasya  Avg_18.61a
ni÷citya kalpitaü pa÷yan  Avg_18.28c
ni÷cintaþ sva÷arãre 'pi  Avg_18.84c
niùkàmaþ kiü vijànàti  Avg_18.8c
niùkàmaþ ÷obhate budhaþ  Avg_18.73d
niùkàmo viùayeùu ca  Avg_18.84b
niùkriyaü sphuraõaü kva và  Avg_20.5b
niùprapa¤caü niràmayam  Avg_18.35b
niþ÷aïko yukta-mànasaþ  Avg_18.47b
niþsaïkalpaþ sukhã bhava  Avg_15.15d
niþsaïgo niùkriyo 'si tvaü  Avg_1.15a
niþsnehaþ putra-dàràdau  Avg_18.84a
niþspçhaü mànasaü yasya  Avg_3.12a
niþsvabhàvasya me sadà  Avg_20.5d
niþsvabhàvasya yoginaþ  Avg_18.79d
nehànya iti ni÷cayã  Avg_11.2b
nainaü jànàti ka÷cana  Avg_16.3b
nairà÷ye 'pi mahàtmanaþ  Avg_3.12b
nairà÷ye bandha-mokùe ca  Avg_14.3c
naiva kiücit kçtaü tena  Avg_18.19c
naiva dhãrasya durgrahaþ  Avg_18.20b
naiva pràrthayate làbhaü  Avg_18.81a
naivàcàram-anàcàram  Avg_18.48c
naivodvijati maraõe  Avg_18.99c
nodvignaü na ca santuùñam  Avg_18.30a
nonmãlati na mãlati  Avg_17.10b
nauddhatyaü na ca dãnatà  Avg_17.16b
paño yadvad vicàritaþ  Avg_2.5b
patatådetu và deho  Avg_18.86a
para-brahma-svaråpa-bhàk  Avg_18.37d
paramàtmani ce÷vare  Avg_14.3b
paramàtmà vilokyate  Avg_2.3d
paras tatra vimuhyati  Avg_15.1d
parigraheùu vairàgyaü  Avg_18.62a
paritaþ parame÷varaþ  Avg_1.19d
parityajya mayàdhunà  Avg_2.3b
palàyante na ÷aktàs te  Avg_18.46c
pa÷ya¤ chçõvan spç÷a¤ jighrann  Avg_18.47c
pa÷yaty anya-÷arãravat  Avg_3.10b
pa÷yanty àtmànam avyayam  Avg_18.40d
pa÷yann api na pa÷yati  Avg_18.15d
pa÷yann api na pa÷yati  Avg_18.90b
pa÷yan vigata-kautukaþ  Avg_3.11b
pa÷yan ÷çõvan spç÷an jighrann  Avg_17.8c
pa÷yan ÷çõvan spç÷an jighrann  Avg_17.12a
pa÷yan ÷çõvan spç÷an jighrann  Avg_18.65c
pa÷ya bhåta-vikàràüs tvaü  Avg_9.7a
pàõóitye 'pi na paõóitaþ  Avg_18.97d
pãóyamàno 'pi sarvadà  Avg_3.9b
puruùàrthe sthitaþ sukham  Avg_13.2d
pårõa-svarasa-vigrahaþ  Avg_18.67b
pårõaü brahmàõóa-maõóalam  Avg_17.2d
prakà÷o me nijaü råpaü  Avg_2.8a
prakçtiü ca na pa÷yataþ  Avg_18.72b
prakçtyà ÷ånya-cittasya  Avg_18.24a
prakçtyà ÷ånya-citto yaþ  Avg_14.1a
prajvàlyàj¤àna-gahanaü  Avg_1.9c
pratyakùam apy avastutvàd  Avg_5.3a
prapa¤co vãci-saünibhaþ  Avg_6.2b
pramàdàd bhàva-bhàvanaþ  Avg_14.1b
pravi÷anti svabhàvataþ  Avg_2.25d
pravçttir api dhãrasya  Avg_18.61c
pravçttir upajàyate  Avg_18.61b
pravçttau jàyate ràgo  Avg_16.8a
pravçttau và nirvçttau và  Avg_18.20a
pràkçtasyeva dhãrasya  Avg_18.24c
pràj¤o bhavati nirvçtaþ  Avg_18.34d
pràptàpràptam upà÷nute  Avg_17.17d
pràptàpràpta-vinirvçtaþ  Avg_11.7d
pràpti-tuùñir muhur-muhuþ  Avg_10.4d
pràyo måóhasya dç÷yate  Avg_18.62b
prãty-abhàvena ÷abdàder  Avg_12.2a
prauóha-vairàgyam à÷ritya  Avg_10.3c
baddho baddhàbhimàny api  Avg_1.11b
bandha-mukto bhaviùyasi  Avg_1.4d
bandha-mokùau bhayaü tathà  Avg_2.20b
bandho vaiùayiko rasaþ  Avg_15.2b
bahir antar yathà ghañe  Avg_1.20b
bahiþ sva-cchanda-càriõaþ  Avg_14.4b
bahunàtra kim uktena  Avg_18.68a
bahunàtra kim uktena  Avg_18.80c
bahunàtra kim uktena  Avg_20.14c
bahyaü kvàbhyantaraü kva và  Avg_19.6b
buddhi-paryanta-saüsàre  Avg_18.73a
buddhir muktasya sarvadà  Avg_18.44d
buddhvà saüyag idaü tattvam  Avg_12.6c
bubhukùur iha saüsàre  Avg_17.5a
bubhutsopa÷amaþ gatàþ  Avg_9.2d
bodha-màtro 'ham aj¤ànàd  Avg_2.17a
bodho 'ham iti ni÷cayã  Avg_11.6b
bodho 'haü j¤àna-khaógena  Avg_1.14c
bodho 'haü prakçteþ paraþ  Avg_2.1b
brahmàdi-stamba-paryantaü  Avg_2.11c
brahmaivàste mahà÷ayaþ  Avg_18.28d
bruvann api na ca bråte  Avg_18.90c
bhava cin-màtra-vàsanaþ  Avg_1.17d
bhava tyàga-paro 'vratã  Avg_9.1d
bhavàsaüsakti-màtreõa  Avg_10.4c
bhaved galita-mànasaþ  Avg_17.20d
bhavo 'yaü bhàvanà-màtro  Avg_18.4a
bhàvanàbhàvanà-saktà  Avg_18.63a
bhàvayanti ku-buddhayaþ  Avg_18.43b
bhàvasya bhàvakaþ ka÷cin  Avg_18.42a
bhàvaü bàhyam athàntaraü  Avg_1.13d
bhàvà deha-stha-yoginaþ  Avg_13.4b
bhàvàbhàva-vikàra÷ ca  Avg_11.1a
bhàvàbhàva-vibhàvinàm  Avg_18.4d
bhàvàbhàva-vihãno yas  Avg_18.19a
bhàvàbhàvau ca kalpitau  Avg_18.8b
bhàveùu galità yasya  Avg_18.91c
bhàveùv àlokya bhåri÷aþ  Avg_13.7b
bhàvya-bhàvanayà sà tu  Avg_18.63c
bhikùur và bhåpatir vàpi  Avg_18.91a
bhåta-gràme catur-vidhe  Avg_4.5b
bhåta-màtràn yathàrthataþ  Avg_9.7b
bhçtyaiþ putraiþ kalatrai÷ ca  Avg_18.55a
bhoktà kartà na và bhavàn  Avg_15.4b
bhoga-mokùa-niràkàïkùã  Avg_17.5c
bhoga-mokùa-niràkàïkùã  Avg_18.68c
bhogaü karma samàdhiü và  Avg_16.2a
bhogàn àpnoti puùkalàn  Avg_18.2b
bhramati svànta-vàtena  Avg_7.1c
bhrama-bhåtam idaü sarvaü  Avg_18.70a
bhramàt saüsàravàn iva  Avg_1.12d
bhràntasyeva da÷às tàs tàs  Avg_14.4c
bhrànti-màtram idaü vi÷vaü  Avg_15.17a
bhràntiþ ÷àntà nirà÷rayà  Avg_2.18b
matto vinirgataü vi÷vaü  Avg_2.10a
matveti helayà kiücit  Avg_8.4c
mat-svaråpe nira¤jane  Avg_20.1d
manaþ kutràpi tat tyaktvà  Avg_13.2c
manaþ-prakà÷a-sammoha-  Avg_17.20a
mano-rathàn pralàpàü÷ ca  Avg_18.75c
mandaþ pràpnoti måóhatàm  Avg_18.32b
mandaþ ÷rutvàpi tad-vastu  Avg_18.76a
mamatvam anuvartate  Avg_3.5d
mayà vyàptaü nirantaram  Avg_2.6d
mayy ananta-mahàmbhodhav  Avg_2.25a
mayy ananta-mahàmbhodhau  Avg_2.23c
mayy ananta-mahàmbhodhau  Avg_2.24a
mayy ananta-mahàmbhodhau  Avg_7.1a
mayy ananta-mahàmbhodhau  Avg_7.2a
mayy ananta-mahàmbhodhau  Avg_7.3a
mayy eva layam eùyati  Avg_2.10b
mahad-àdi jagad-dvaitaü  Avg_18.69a
mahà-kçùõàhi-daü÷itaþ  Avg_1.8b
mahà-hrada ivàkùobhyo  Avg_18.60c
mahodadhir ivàhaü sa  Avg_6.2a
mà kiücid dhçdi dhàraya  Avg_15.20b
mà gamaþ kùudra-cittatàm  Avg_1.16d
mà gçhàõa vimu¤ca mà  Avg_8.4d
mànasàni na te vibho  Avg_1.6b
màyà-màtram idaü vi÷vaü  Avg_3.11a
màyà-màtraü vivartate  Avg_18.73b
màlinyam adhigacchati  Avg_3.4d
mà saïkalpa-vikalpàbhyàü  Avg_15.19a
mitra-kùetra-dhanàgàra-  Avg_10.2c
mukta eva mahà÷ayaþ  Avg_17.12d
mukta eva mahà÷ayaþ  Avg_17.14d
mukta evàsi sarvadà  Avg_1.6d
mukta-pràyo 'si sarvadà  Avg_1.7b
muktas tiùñhaty avikriyaþ  Avg_18.36d
muktaþ sarvatra nãrasaþ  Avg_17.13d
muktaþ sarvatra ràjate  Avg_17.11d
muktàtmano vitçptasya  Avg_18.89c
muktàbhimànã mukto hi  Avg_1.11a
muktim icchasi cet tàta  Avg_1.2a
mukto yathà-sthiti-svasthaþ  Avg_18.98a
muner jànata à÷caryaü  Avg_3.5c
mumukùur api dç÷yate  Avg_17.5b
mumukùor buddhir àlambam  Avg_18.44a
måóaiþ saha samànatà  Avg_4.1d
måóhàþ saüsàra-poùakàþ  Avg_18.38b
måóhair abhyasyate bhç÷am  Avg_18.33b
måóho nàpnoti tad brahma  Avg_18.37a
måóho nàpnoti nirvçtim  Avg_18.34b
måla-cchedaþ kçto budhaiþ  Avg_18.38d
mçtaü pãtvà sukhã bhava  Avg_1.8d
mçtyuü và samupasthitam  Avg_17.14b
mçdi kumbho jale vãciþ  Avg_2.10c
mokùàd eva vibhãùikà  Avg_3.8d
mokùàrthe 'pi vyavasthitaþ  Avg_3.6b
mokùo viùaya-vairasyaü  Avg_15.2a
mohenaiva vióambitaþ  Avg_2.1d
yac cittaü na pravarttate  Avg_18.31b
yata ekena tenedaü  Avg_17.2c
yataþ ÷amitum icchati  Avg_18.39b
yato bhavitum icchati  Avg_18.37b
yat tvaü pa÷yasi tatraikas  Avg_15.14a
yat padaü prepsavo dãnàþ  Avg_4.2a
yatra dvandvàni no nçõàm  Avg_9.4b
yatra yatra bhavet tçùõà,  Avg_10.3a
yatra vi÷vam idaü bhàti  Avg_1.10a
yatràstamita-÷àyinaþ  Avg_18.85d
yathà-jãvanam eveha  Avg_18.13c
yathà jãvikayà tasmàd  Avg_17.7c
yathà-tathà yatra-tatra  Avg_18.100c
yathà-tathopade÷ena  Avg_15.1a
yathà na toyato bhinnàs  Avg_2.4a
yathà-patita-vartinaþ  Avg_18.85b
yathà prakà÷ayàmy eko  Avg_2.2a
yathà rajata-vibhrame  Avg_3.2d
yathecchasi tathà kuru  Avg_15.2d
yathaivàdar÷am adhyasthe  Avg_1.19a
yathaivekùu-rase këptà  Avg_2.6a
yathaivoparamas tathà  Avg_12.6b
yadà nàhaü tadà mokùo  Avg_8.4a
yadà prakà÷ate vi÷vaü  Avg_2.8c
yadà me galità spçhà  Avg_14.2d
yadà yat kartum àyàti  Avg_13.3c
yadà yat kartum àyàti  Avg_18.20c
yadà yat kartum àyàti  Avg_18.49a
yadàhaü bandhanaü tadà  Avg_8.4b
yadi dehaü pçthak kçtya  Avg_1.4a
yad-çcchay-àgato bhogo  Avg_3.14c
yad-çcchayà varttamànaü  Avg_4.4c
yad dçùñam avalambate  Avg_18.40b
yad vàï-manasa-gocaram  Avg_2.14d
yad vetti tat sa kurute  Avg_4.6c
ya÷ cared bàlavan muniþ  Avg_18.64b
yas tàrayati saüsçteþ  Avg_9.6d
yas tu bhogeùu bhukteùu  Avg_17.4a
yasya bodhodaye tàvat  Avg_18.1a
yasya me nàsti kiücana  Avg_2.14b
yasyàntaþ syàd ahaïkàro  Avg_18.29a
yasyàbhimàno mokùe 'pi  Avg_16.10a
yà matiþ sà gatir bhavet  Avg_1.11d
yàvaj-jãvam anirvçtàþ  Avg_18.43d
yena dçùñaü paraü brahma  Avg_18.16a
yena vi÷vam idaü dçùñaü  Avg_18.15a
yena vi÷vaü ciraü dhçtam  Avg_2.13d
yoga-dçùñyà na kiücana  Avg_18.80d
yogasya kathayàpy alam  Avg_19.8b
yogàbhyàsa-phalaü tathà  Avg_17.1b
yo nirbandhaü karoti vai  Avg_18.41b
yo niùkàmaþ sa ÷obhate  Avg_18.91b
rajju-sarpa iva vyaktam  Avg_5.3c
rajjvaj¤ànàd ahir bhàti  Avg_2.7c
ràga-dveùau mano-dharmau  Avg_15.5a
ràgã duþkha-jihàsayà  Avg_16.9b
ràgã viùaya-lolupaþ  Avg_16.6b
ràjyaü sutàþ kalatràõi  Avg_10.6a
råpe 'ntaþ paritas tu saþ  Avg_1.19b
råpyavad vi÷va-kalpanà  Avg_6.3b
råpyaü ÷uktau phaõã rajjau  Avg_2.9c
labdham evàtmanaþ padam  Avg_18.5b
làbhàlàbhe jane vane  Avg_18.11b
loka-ceùñàvalokanàt  Avg_9.2b
loka-dçùñyàpi karma-kçt  Avg_18.77b
loka-dçùñyà vikurvatà  Avg_18.19d
lokavad vyavahàriõaþ  Avg_18.60b
lokàþ kvàsya kva laukikam  Avg_19.7b
vaktum eva na kiücana  Avg_18.77d
vartate mukta-cetasaþ  Avg_17.10d
vartamànam api kva và  Avg_19.3b
vartã siddhim avàpnuyàt  Avg_9.4d
varttamàno 'pi lokavat  Avg_18.18b
vastuto na mayi sthitam  Avg_2.18d
vastu-÷ravaõa-màtreõa  Avg_18.48a
vàgmi-pràj¤a-mahodyogaü  Avg_15.3a
và¤chà na vi÷va-vilaye  Avg_17.7a
vàridher iva budbudaþ  Avg_5.2b
vàri såryakare yathà  Avg_2.9d
vàsanà eva saüsàra  Avg_9.8a
vikalaþ keli-÷ikùayà  Avg_3.6d
vikalànãndriyàõi ca  Avg_17.9b
vikalpaü mama vãkùyaitair  Avg_12.5c
vikùepe 'pi na vikùiptaþ  Avg_18.97a
vikùepaikàgra-hçdaya  Avg_12.2c
vicitrair dràk samutthitam  Avg_2.23b
vij¤asyaiva hi sàmarthyam  Avg_4.5c
vij¤àte sàkùi-puruùe  Avg_14.3a
vij¤àya nirahaü-kàro  Avg_15.6c
videha iva ràjate  Avg_18.22d
vinà÷o yasya nàsti me  Avg_2.11b
vinirdhåta-rajas-tamaþ  Avg_18.88d
vibhàgam iti santyaja  Avg_15.15b
vimåóho 'bhyàsa-råpiõà  Avg_18.36b
virakto viùaya-dveùñà  Avg_16.6a
viralo hi mahà÷àyaþ  Avg_17.5d
vilasanti mahàbhogair  Avg_18.53a
vi÷anti giri-gahvaràn  Avg_18.53b
vi÷anti jhañiti kroóaü  Avg_18.45c
vi÷eùo naiva dhãrasya  Avg_17.15c
vi÷ràntasya mamàtmani  Avg_19.8d
vi÷ràntasya mahàtmanaþ  Avg_18.14d
vi÷va-pota itas-tataþ  Avg_7.1b
vi÷vam àtma-vinirgatam  Avg_2.4d
vi÷va-vãciþ sva-bhàvataþ  Avg_15.11b
vi÷va-sàkùã sukhã bhava  Avg_1.5d
vi÷vaü nàma vikalpanà  Avg_7.3b
vi÷vaü nàsty amale tvayi  Avg_5.3b
vi÷vaü sphurati yatredaü  Avg_3.3a
viùaya-dvãpino vãkùya  Avg_18.45a
viùaya-bhrama-gocare  Avg_3.2b
viùayàn viùavat tyaja  Avg_1.2b
viùvaü sphurati yatredaü  Avg_15.7a
vismçtà÷eùa-saüsçteþ  Avg_18.86d
vihasya dhik-kçto yogã  Avg_18.55c
vihàya vairiõaü kàmam  Avg_10.1a
vihàya ÷uddha-bodhasya  Avg_18.69c
vãta-tçùõaþ sukhã bhava  Avg_10.3d
vãta-ràgo hi nirduþkhas  Avg_16.9c
vãta÷okà viràjante  Avg_18.6 c
vãta-sokaþ sukhã bhava  Avg_1.9d
vairàgyaü ca kathaü pràptam  Avg_1.1c
vyagraþ sarvatra måóhadhãþ  Avg_18.58b
vyavahàraþ samàdhaye  Avg_12.3 ???b
vyavahàre 'pi ÷àntadhãþ  Avg_18.59d
vyàpàre khidyate yas tu  Avg_16.4a
vyàpya vi÷vam avasthitaþ  Avg_2.12d
vyàmoha-màtra-viratau  Avg_18.6 a
