Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
ka÷ cit prativivakùitaş  BVaky_3,9.109b
ka÷ cit saüpratipadyate  BVaky_2.39b
ka÷ cid anyo 'vasãyate  BVaky_3,3.84d
ka÷ cid artho 'bhidhãyate  BVaky_1.89d
ka÷ cid artho 'bhidhãyate  BVaky_1.180d
ka÷cid eva guõo dravye  BVaky_3,1.73a
ka÷ cid eva vi÷iùño 'rthaş  BVaky_2.36c
ka÷ cid evàrthavàüs tatra  BVaky_2.245c
ka÷ cid gaurakharàdiùu  BVaky_2.216b
ka÷ cid dharmo nivartitaş  BVaky_3,14.269d
ka÷ cid bràhmaõakambale  BVaky_2.14b
ka÷ cid bhedo 'sti tattvataş  BVaky_3,3.84b
ka÷ cid vedàprakà÷e 'pi  BVaky_3,8.33c
kaùàye vyapadi÷yate  BVaky_3,1.7b
kasya cic chabdasaüskàre  BVaky_3,13.19c
kasya cit kena cid yasyàü  BVaky_3,3.7c
kasya cit pratibadhyate  BVaky_3,3.86d
kasya cit pratibadhyate  BVaky_3,12.17b
kasya cid vinivartate  BVaky_3,14.573d
kasyaikasyopapadyate  BVaky_2.269d
kàkatàlãyam ity atra  BVaky_3,14.607c
kàkasya tàlena yathà  BVaky_3,14.615a
kàkasyàgamanaü yathà  BVaky_3,14.610b
kàkebhyo rakùyatàü sarpir  BVaky_2.312a
kà cit pralãyate kà cit  BVaky_3,13.15c
kà cit pravartate kà cin  BVaky_2.370c
kà cid eva hi sàvasthà  BVaky_3,3.7a
kàõóe tçtãye nyakùena  BVaky_2.488c
kà tasya pràgavastheti  BVaky_3,3.79a
kàmacàre ca saty evam  BVaky_3,14.259a
kàmaü vimar÷as tatràyaü  BVaky_2.412c
kàmyasya và pravçttasya  BVaky_2.70c
kàm÷ cid àhur gavàdayaş  BVaky_2.165d
kàyavàgbuddhiviùayà  BVaky_1.174a
kàrakaü niyatakriyam  BVaky_3,7.25b
kàrakaü pratyudàhçtam  BVaky_2.198d
kàraõajyotiùaikatvaü  BVaky_1.147c
kàraõasya na vidyate  BVaky_3,3.78b
kàraõaü kàryabhàvena  BVaky_3,7.106a
kàraõaü kiü kari÷yati  BVaky_3,3.62d
kàraõaü na prasàdhakam  BVaky_3,3.62b
kàraõàkhyà pravartate  BVaky_3,14.407b
kàraõànàü prayojikà  BVaky_3,1.25d
kàraõànuvidhàyitvàd  BVaky_3,9.20a
kàraõebhyaş pravartate  BVaky_3,7.108b
kàraõeùu padaü kçtvà  BVaky_3,1.26a
kàraõe sati dçùyate  BVaky_3,3.78d
kàryakàraõabhàvena  BVaky_1.25a
kàryakàraõabhàvena  BVaky_3,8.2a
kàryakàraõayoş kramaş  BVaky_3,7.113d
kàryakàraõaråpatà  BVaky_2.32b
kàryatvenàvatiùñhate  BVaky_1.139d
kàryatve nityatàyàü và  BVaky_1.71a
kàryatve nityatàyàü và  BVaky_1.71c
kàryatvenopajàyate  BVaky_3,7.106d
kàryaprasavasåcità  BVaky_3,3.7b
kàryavat pratipàdane  BVaky_2.383b
kàrya÷abdaü tadà labdhvà  BVaky_3,7.106c
kàryas tatra svaràdivat  BVaky_3,14.522b
kàryaü tadvat pravartate  BVaky_2.290d
kàryaü sattà÷rayaü ÷àstràd  BVaky_3,14.130a
kàryàõàm antaraïgatvam  BVaky_2.182a
kàryàõàm iva saübhavaş  BVaky_3,14.223d
kàryànumeyaş saübandho  BVaky_2.46a
kàryàntaranibandhanàş  BVaky_2.318b
kàryàrthaü vyapadi÷yate  BVaky_3,9.103d
kàryotpattau samarthaü và  BVaky_3,9.89a
kàla ity abhidhãyate  BVaky_3,9.77d
kàla eva hi vi÷vàtmà  BVaky_3,9.12c
kàla evopapadyate  BVaky_3,9.40d
kàlatattvaü vikalpate  BVaky_3,9.73d
kàlabhàvàdhvade÷ànàm  BVaky_3,7.67a
kàlabhinnà÷ ca ye bhedà  BVaky_2.463a
kàlabheda÷ cagçhyate  BVaky_3,2.8d
kàlabhedasya saübhavaş  BVaky_3,8.5d
kàlabhedàd çte yathà  BVaky_2.23b
kàlabhede gatiş katham  BVaky_3,9.94b
kàlam eke pracakùate  BVaky_3,9.1b
kàlam evàvalambate  BVaky_3,7.154d
kàlavicchedaråpeõa  BVaky_3,7.42a
kàlavçttyanupàtinaş  BVaky_3,9.44b
kàla÷aktim upà÷ritàş  BVaky_1.3b
kàlasya vçttir àtmàpi  BVaky_3,9.71c
kàlasya samavasthitàş  BVaky_3,9.49b
kàlasyàpy aparaü kàlaü  BVaky_3,3.85a
kàlasyàvyatipàte 'pi  BVaky_3,9.75c
kàlaü kàlavido viduş  BVaky_3,9.76d
kàlaş kàlavatàm ekaş  BVaky_3,9.68c
kàlàkhyàü labhate vibhuş  BVaky_3,9.14d
kàlàt kriyà vibhajyanta  BVaky_3,7.153a
kàlàtmànam anà÷ritya  BVaky_3,9.58c
kàlàdayo bhinnakakùyaü  BVaky_3,7.68c
kàlàd evaü kriyàgatiş  BVaky_3,9.28d
kàlàdhikaraõaü tathà  BVaky_3,9.47d
kàlànupàti yad råpaü  BVaky_3,8.12a
kàlàntareõa caiko 'pi  BVaky_2.136c
kàluùyam iva tat tasya  BVaky_3,3.57c
kàle kàlyàs tarab bhavet  BVaky_3,14.161b
kàlena dàkùiõàtyeùu  BVaky_2.485c
kàle nidhàya svaü råpaü  BVaky_3,9.39a
kàlo bhedam ihàrhati  BVaky_2.24b
kàlo bhedàya kalpate  BVaky_3,9.8d
kàlo vyaktiş svaràdayaş  BVaky_2.316b
kàlyàü kàlàd dvitãyàntàt  BVaky_3,14.161a
kà÷yapasyeti tenàyaü  BVaky_3,14.605c
kà÷yapà iti lopaş syàt  BVaky_3,14.593c
kàü cid eva kriyàü prati  BVaky_2.384b
kim anyad vyapadi÷yatàm  BVaky_2.29d
kimartham atathàbhåte  BVaky_3,14.278a
kim àhety abhidhãyate  BVaky_1.58b
kim cit sàmànyam à÷ritya  BVaky_3,10.8c
kiyad và ÷akyam unnetuü  BVaky_2.489c
kiü cit kàùñhàdibhasmavat  BVaky_3,7.50b
kiü cit sarvatra vartate  BVaky_3,14.371b
kiü cid asti prayojanam  BVaky_3,14.467d
kiü cid ekaü pravartate  BVaky_3,14.595b
kiü cid eva kva cid råpaü  BVaky_2.129c
kiü cid eva pravartakam  BVaky_3,13.20b
kiü cid guõàntarotpattyà  BVaky_3,7.50c
kiü cid dar÷anam anyena  BVaky_3,14.17c
kiü cid yatràsti sàmànyaü  BVaky_3,14.397a
kiü tat kratugataü nayet  BVaky_1.154d
kiü padàrthasya sattayà  BVaky_2.395d
kuñãràdinidar÷anàt  BVaky_2.107d
kuñyàş prasavayogità  BVaky_3,13.25d
kuóyasyàvaraõe ÷aktir  BVaky_3,7.29a
kuta÷ cid àhçtya padam  BVaky_3,7.65a
kuto 'py adbhutayà vçttyà  BVaky_3,9.17c
kuto 'rthasya bhaviùyati  BVaky_2.13b
kutsanopàdhaya÷ ca ye  BVaky_3,14.432b
kutsàpra÷aüsàti÷ayaiş  BVaky_3,14.1a
kutsitatvena kutsyo và  BVaky_3,14.4a
kutsitasthà tu yà kutsà  BVaky_3,14.2c
kumàrya iti tena syàt  BVaky_3,14.180c
kumàryagàre na hy asti  BVaky_3,14.122c
kumàryàü bhedasaübhavàt  BVaky_3,14.180d
kumàryàş svàrthike ïãp syàt  BVaky_3,14.162c
ku÷alaş pratipattà tàm  BVaky_2.319c
ku÷alair anumàtçbhiş  BVaky_1.34b
kçta itv abhidhãyate  BVaky_3,14.266b
kçtakatvàd anityatvaü  BVaky_2.367a
kçtaõatvà÷ ca ye ÷abdà  BVaky_2.364a
kçtapårvyàdiùu sthità  BVaky_3,14.68d
kçtavarõaparigrahà  BVaky_1.165b
kçta÷abdaş pravartate  BVaky_3,14.66d
kçtahastavad ity etat  BVaky_3,14.558a
kçtaü dvandvaikavadbhàve  BVaky_3,14.43c
kçtà ca na nivartate  BVaky_2.354d
kçtàrthatvàn nivartate  BVaky_3,8.18b
kçtàrthaikena pa÷unà  BVaky_3,1.83c
kçtàü bhedo na ka÷ cana  BVaky_3,8.43d
kçte 'tha pàta¤jalinà  BVaky_2.482a
kçte buddhyaiva bhedànàm  BVaky_3,14.189c
kçttaddhitànàm artha÷ ca  BVaky_2.211a
kçttaddhitàbhidheyànàü  BVaky_3,14.328a
kçtrimà vyavatiùñhate  BVaky_2.373b
kçtvasujviùayà yàpi  BVaky_3,14.439a
kçtvà tàü chinnabandhanàm  BVaky_1.146d
kçtvopaiti tadà÷rayam  BVaky_3,14.406b
kçtvo 'rthapratyaye yathà  BVaky_3,14.437d
kçtsnàrthavçtteş sàdhutvam  BVaky_3,14.226c
kçùõa÷abdaş prayujyate  BVaky_3,14.9b
kçùõàdivyapade÷a÷ ca  BVaky_3,14.487a
këpi saüpadyamàne yà  BVaky_3,7.115a
ke cic chabdasvaråpàõàü  BVaky_2.356c
ke cit kalpita÷aktayaş  BVaky_2.209d
ke cit tatsamavàyinaş  BVaky_3,3.15b
ke cit padàrthà vakùyante  BVaky_3,4.2c
ke cit pumàüso bhàùante  BVaky_3,14.576a
ke cit saükhyàntaraü viduş  BVaky_3,14.113b
ke cit saüyogino daõóàd  BVaky_3,14.234a
ke cit sàmarthyalakùaõam  BVaky_2.375b
ke cit svà÷rayasaüyuktàş  BVaky_3,3.15a
ke cid àhur anarthakàn  BVaky_2.407b
ke cid àhuh katham ca na  BVaky_3,7.34d
ke cid icchanti na tv atra  BVaky_3,1.65c
ke cid icchanti vçttiùu  BVaky_3,14.26b
ke cid ekatvavàdinaş  BVaky_1.71b
ke cid eva yathàgamam  BVaky_1.26d
ke cid evopakàrinaş  BVaky_3,8.40b
ke cid dhi yutasiddhàrthà  BVaky_2.209a
ke cid buddhyanusaühàra-  BVaky_3,9.57c
ke cid bhedàş prakà÷yante  BVaky_2.121a
ke cid vçttau dvayos tathà  BVaky_3,14.37b
ke cid vyàvçttiråpàü tu  BVaky_3,1.19c
ke cin nànàtvavàdinaş  BVaky_1.71d
kevalasya vimi÷ratvaü  BVaky_3,9.97c
kevalaü nàtitiùñhati  BVaky_1.151d
kevalaü buddhyupàdàna-  BVaky_1.166a
kevalaü labhate yadi  BVaky_3,14.345b
kevalaş pratyaye yataş  BVaky_3,14.519b
kevalànàm alaukikaş  BVaky_2.211b
kevalànàü tu bhàvànàü  BVaky_3,14.475a
kevalàm anupasyati  BVaky_1.17b
kevalena padenàrtho  BVaky_2.41a
kevale na prayujyate  BVaky_3,8.10d
kevalair anidar÷itàş  BVaky_2.187b
kevalo na prayujyate  BVaky_2.194d
kevalo 'pi prayujyate  BVaky_2.201d
keùàü cic chaktivartmanã  BVaky_3,9.56b
keùàü cij jàtiguõayor  BVaky_3,14.22a
keùàü cij jàyate smçtiş  BVaky_2.359b
keùàü cit tadabhivyakti-  BVaky_3,7.52c
keùàü cit råóhi÷abdatvaü  BVaky_2.37c
keùàü cit sàhacaryeõa  BVaky_3,1.3a
keùàü cid avivakùitam  BVaky_3,1.52b
keùàü cid devadattàder  BVaky_3,7.62a
keùàü cid bhàva÷aktayaş  BVaky_3,9.59b
keùàü cid vartamànatvàc  BVaky_3,9.54c
keùàü cid vyaktayo vinà  BVaky_3,1.31b
keùàü cin na vyapekùate  BVaky_3,7.85b
kesàü cit kartrabhipràye  BVaky_3,12.6a
kesàü cit tyaktabhedeùu  BVaky_3,14.184a
kesàü cit samavasthitàş  BVaky_3,13.4b
kesàü cid anye tu kçtàş  BVaky_3,12.11c
kai÷ cic cobhayatheùyate  BVaky_2.175d
kai÷ cit kathaü cid àkhyàtà  BVaky_2.171c
kai÷ cit kathaü cid uddiùñau  BVaky_2.178c
kai÷ cit tv avayavair dçùñair  BVaky_2.156c
kai÷ cit dhvanir asaüvedyaş  BVaky_1.83c
kai÷ cit vyaktaya evàsya  BVaky_1.96c
kai÷ cit sarvatra varõyate  BVaky_3,13.30d
kai÷ cit svàrthaparàrthatà  BVaky_3,12.5b
kai÷ cid atrànuvarõyate  BVaky_3,12.23d
kai÷ cid atreùyate kçùiş  BVaky_3,12.26b
kai÷ cid abhyupagamyate  BVaky_3,14.619d
kai÷ cid ekas tathà÷rayaş  BVaky_3,14.53b
kai÷ cid guõapradhànatvaü  BVaky_3,14.338a
kai÷ cid dar÷anabhedo hi  BVaky_1.110c
kai÷ cin nirvacanaü bhinnaü  BVaky_2.174a
ko 'nyathà sthàpayiùyati  BVaky_3,6.18d
kauñilye yaïvidhau yathà  BVaky_3,14.41d
ktàntaü bhàvàbhidhàyi tat  BVaky_3,14.67b
ktvànte ca tumunante ca  BVaky_3,14.255a
ktvànte 'dhikaraõatve 'pi  BVaky_3,7.86c
ktvànte bhàvàbhidhàyini  BVaky_3,7.83b
kyaïante suduràdayaş  BVaky_3,14.535b
kramapratyavamar÷inã  BVaky_2.25d
kramamàtranive÷inã  BVaky_2.52b
kramaråpasya saühàre  BVaky_3,1.35c
kramaråpaü kathaü bhavet  BVaky_3,9.86d
kramaråpaü ca dar÷itam  BVaky_3,7.8b
kramaråpànupàtinã  BVaky_1.166b
kramaråpànupàtinã  BVaky_2.468d
kramaråpeõa lakùyate  BVaky_3,7.42d
kramaråpe tu kàlataş  BVaky_3,6.4d
kramavadbhyo 'padakramam  BVaky_2.419b
kramavanta ivàkramàş  BVaky_3,8.14d
kramavàn akramo vàpi  BVaky_3,3.67c
kramavàn akramo vàpi  BVaky_3,3.68c
kramavàn iva dç÷yate  BVaky_3,9.46b
kramasaühàrayogena  BVaky_1.145c
kramasàmarthyam akramam  BVaky_2.27b
kramas tàs tadabhedàc ca  BVaky_3,9.60c
kramaü tu yadi bàdhitvà  BVaky_3,14.510a
kramaş samupalabhyate  BVaky_3,9.52d
kramàt sadasatàü teùàm  BVaky_3,8.6a
kramàn na yaugapadyasya  BVaky_3,3.84a
krameõa ÷aktibhiş svàbhir  BVaky_3,1.36c
krameõoccaritàny àhur  BVaky_2.55c
krame vibhajyate råpaü  BVaky_2.468a
kramopasçùñaråpà vàg  BVaky_1.88c
kramo buddhyanusaühçtiş  BVaky_2.1d
kramo 'yam atra balavàn  BVaky_2.80c
kramollekhànuùaïgeõa  BVaky_2.26a
kramo và yaugapadyaü và  BVaky_2.467c
kramo hi dharmaş kàlasya  BVaky_2.50c
kràntàdyarthaş pratãyate  BVaky_2.331d
kràntàdyartheùv asaübhavaş  BVaky_3,14.40b
kriyate kiü÷ukàdãnàm  BVaky_2.173c
kriyate gamikarmaõaş  BVaky_3,7.84d
kriyate te nivartante  BVaky_2.240c
kriyate dhvanibhir vàdàs  BVaky_1.80c
kriyate parikalpanà  BVaky_3,7.6d
kriyate pratipattaye  BVaky_3,14.56d
kriyate bhinnalakùaõaiş  BVaky_2.8d
kriyate so 'bhisaübandham  BVaky_3,3.35c
kriyate stutinindayoş  BVaky_2.324b
kriyamàõàm avasthitam  BVaky_1.171b
kriyayà yasya saübandho  BVaky_3,14.252c
kriyayà yo 'bhisaübandhaş  BVaky_3,1.75a
kriyayeti tçtãyà ca  BVaky_3,14.463a
kriyayor apavargiõyor  BVaky_3,9.27a
kriyàkàrakapårvakaş  BVaky_3,7.156b
kriyàkàlàdayo yathà  BVaky_3,14.408b
kriyàkàle tv abhivyakter  BVaky_3,7.28c
kriyàkàle niråpyate  BVaky_3,7.29d
kriyàkçtà vi÷eùàõàü  BVaky_3,7.51a
kriyà kriyàntaràd bhinnà  BVaky_2.418a
kriyàkhyàte 'bhidhãyate  BVaky_2.454b
kriyà cet seti gamyate  BVaky_3,14.464d
kriyà caivà÷raye sarvà  BVaky_3,8.56c
kriyàõàm abhiniùpattau  BVaky_3,7.1c
kriyàõàm eva sadç÷ve  BVaky_3,14.537c
kriyàõàm eva sàdhyatvàt  BVaky_3,7.79c
kriyàõàü jàtibhinnànàü  BVaky_3,8.58a
kriyàõàü parikalpyate  BVaky_3,8.8d
kriyàõàü pratijànate  BVaky_2.375d
kriyàõàü vidyamànatvàd  BVaky_3,14.451c
kriyàõàü samudàye tu  BVaky_3,7.132a
kriyà tatra vyavasthità  BVaky_3,7.66b
kriyà tatropajàyate  BVaky_3,14.611b
kriyàtipattir atyantaü  BVaky_3,9.91a
kriyà tu yaugapadye 'pi  BVaky_2.468c
kriyàtulye prasajyate  BVaky_3,14.511b
kriyàtmà vyapadi÷yate  BVaky_3,7.113b
kriyàtra ÷råyate punaş  BVaky_3,14.534d
kriyà tv à÷rãyate yasmin  BVaky_3,14.502a
kriyàdiparikalpanà  BVaky_2.131d
kriyà dravyeõa lakùyate  BVaky_3,14.294b
kriyàdharmasamanvitàş  BVaky_3,14.438b
kriyàdhi÷rayaõàdikà  BVaky_3,12.8d
kriyà niyatasàdhanà  BVaky_2.47b
kriyànutpattilakùaõà  BVaky_3,9.91b
kriyànuùaïgeõa vinà  BVaky_2.428a
kriyà naivopajàyate  BVaky_2.183d
kriyàntaranibandhanàş  BVaky_2.453b
kriyàntarapariccheda-  BVaky_3,9.77a
kriyàntare na caiteùàü  BVaky_2.276a
kriyàntareùu sàpekùàş  BVaky_3,14.453a
kriyànyà bràhmaõàdivat  BVaky_3,14.498b
kriyànyaiş pårvam iùyate  BVaky_3,7.32d
kriyàpadam apekùate  BVaky_2.48d
kriyàpadànuùaktas tu  BVaky_2.114c
kriyàpradhànam àkhyàtaü  BVaky_2.343a
kriyàprabandharåpaü yad  BVaky_3,9.90a
kriyàpravçttàv àkhyàtà  BVaky_3,12.5a
kriyàpravçttau yo hetus  BVaky_3,8.16a
kriyàprasaïgàt sarveùu  BVaky_3,14.290a
kriyàbhidhànasaübandham  BVaky_2.429c
kriyàbhir yujyate bhedair  BVaky_3,14.185c
kriyàbhivyajyate nityà  BVaky_3,9.16c
kriyàbhedàt tathaikasminn  BVaky_3,9.32c
kriyàbhedàd yathaikasmiüs  BVaky_3,9.32a
kriyàbhedànupàtibhiş  BVaky_3,7.21b
kriyàbhedàya kàlas tu  BVaky_3,9.2c
kriyàbhedena dçùñànàm  BVaky_3,14.17a
kriyàbhedo nidar÷yate  BVaky_3,12.10d
kriyàbhedopalakùaõam  BVaky_3,12.9b
kriyàm anye tu manyante  BVaky_3,8.37a
kriyàmàtràbhidhàyitvàd  BVaky_3,14.495a
kriyàmàtre na kalpate  BVaky_3,14.494d
kriyàmàtrena tulyatve  BVaky_3,14.520c
kriyàyà dyotako nàyaü  BVaky_2.204a
kriyàyà na ÷rutàd yasmàd  BVaky_3,14.449c
kriyàyà bràhmaõàdiùu  BVaky_3,14.448d
kriyàyà bhedakaü yathà  BVaky_3,14.340b
kriyàyàm aïgabhàva÷ ca  BVaky_3,1.57c
kriyàyàm àtmasàdhyàyàü  BVaky_3,7.122c
kriyàyàs tu ÷rutir yasmàt  BVaky_3,14.496c
kriyàyàü yadi saübhavàt  BVaky_3,1.63b
kriyàyàü và vidhãyate  BVaky_3,14.163d
kriyàyàü samavetàyàü  BVaky_3,14.612a
kriyàyàü sàdhane dravye  BVaky_3,14.584a
kriyàyàü so 'bhidhãyate  BVaky_3,7.156d
kriyàyàü hetur iùyate  BVaky_3,7.25d
kriyàyàş kai÷ cid iùyate  BVaky_3,7.32b
kriyàyàş pariniùpattir  BVaky_3,7.90a
kriyàyàş prerakaü karma  BVaky_3,7.128a
kriyàyàş ÷ravaõe sàpi  BVaky_3,14.517c
kriyàyàş sàdhanàdhàra-  BVaky_3,14.256a
kriyàyai karaõaü tasya  BVaky_3,7.26a
kriyàyoga÷ ca kalpate  BVaky_3,14.182d
kriyàyoge 'pi tasyàsau  BVaky_3,7.166c
kriyàyoge vidhãyate  BVaky_2.202b
kriyàyogo na kalpate  BVaky_3,14.205d
kriyàyogo na kalpate  BVaky_3,14.220d
kriyàyogo na kalpate  BVaky_3,14.310b
kriyàrthopapade÷v evaü  BVaky_2.331a
kriyà loke vivakùitàş  BVaky_3,14.508b
kriyàvatas tu grahaõàt  BVaky_3,14.520a
kriyàvati kriyàyàü tu  BVaky_3,14.506c
kriyàvato 'pi sàdç÷ye  BVaky_3,14.505a
kriyàvato 'bhidheyatvàt  BVaky_3,14.521c
kriyàvato÷ ca sàdç÷ye  BVaky_3,14.524a
kriyàvattà pratãyate  BVaky_3,14.517d
kriyàvad api kàryàõàü  BVaky_3,14.446c
kriyàvadvacanàc chabdàt  BVaky_3,14.504c
kriyàvadher avaccheda-  BVaky_3,7.100c
kriyàvàcy upapadyate  BVaky_3,14.435d
kriyàvàn nopamãyate  BVaky_3,14.442d
kriyà vinà prayogeõa  BVaky_2.124a
kriyàvi÷eùavacane  BVaky_3,12.11a
kriyàvi÷eùàn manyante  BVaky_2.225c
kriyàvi÷eùàş samghàte  BVaky_2.181c
kriyà viùayabhedena  BVaky_3,12.3a
kriyàvçttes tçtãyàntasy-  BVaky_3,14.456a
kriyàvyavasthà tv anyeùàü  BVaky_3,7.66c
kriyàvyavetaş saübandho  BVaky_2.405a
kriyà vyàpàrabhedeùu  BVaky_3,8.23c
kriyà÷abda÷rutau bhedo  BVaky_3,14.533c
kriyà÷abdaş pratãyate  BVaky_3,14.497d
kriyà÷abdàş kriyàntare  BVaky_3,14.453b
kriyà÷abdena lakùitàş  BVaky_2.68b
kriyà÷ruti÷ ca prakrànte  BVaky_3,14.291a
kriyà samànajàtiyà  BVaky_3,14.443a
kriyàsamåho bhujyàdir  BVaky_3,9.82c
kriyàsaübandhino 'sataş  BVaky_3,14.306b
kriyàsaüsiddhaye 'rtheùu  BVaky_3,7.35c
kriyàsiddheş pratãyate  BVaky_3,7.98d
kriyàsiddhau prakarùo 'yaü  BVaky_3,7.95a
kriyàsiddhau vyavasthitàş  BVaky_3,7.53d
kriyàsu viniyujyate  BVaky_3,7.163d
kriyà saivàbhidhãyate  BVaky_3,1.35b
kriyàs tu sahacàriõyo  BVaky_3,14.509c
kriyàü praty upadi÷yate  BVaky_3,1.77b
kriyàü và kàlam eva và  BVaky_3,7.34b
kriyàş sa samavasthitàş  BVaky_3,9.29b
kriye tatra vivakùite  BVaky_3,7.140d
kriyeti pratijànate  BVaky_3,8.25d
kriyeti prathamàntà sà  BVaky_3,14.462c
kriyeti vyapadi÷yate  BVaky_3,8.4d
kriyety upàdhiş pràthamyàt  BVaky_3,14.435a
kriyaivaü dvandvavàcye 'rthe  BVaky_2.222c
kriyaivàdhyetari sthità  BVaky_3,14.492d
kriyopalakùite tasmàt  BVaky_3,14.497c
kriyopàdhi÷ ca san bhåta-  BVaky_3,9.37a
kriyopàdhiş prasidhyati  BVaky_3,14.553b
krãóàyà, jãvikàyà÷ ca  BVaky_3,14.41a
krãóàyàm iti dç÷yate  BVaky_3,14.468d
krãõãùva vapate dhatte  BVaky_3,12.7a
krãte càpi na gamyate  BVaky_3,14.127b
kva cic chàstrà÷rayàn vidhãn  BVaky_3,7.55d
kva cit kàryeùv abhivyaktim  BVaky_3,1.26c
kva cit kiü cid vivakùyate  BVaky_3,7.2d
kva cit kriyà vyaktibhàgair  BVaky_2.462a
kva cit tattvasamàkhyànaü  BVaky_2.324a
kva cit tasya vi÷eùaõam  BVaky_3,12.2b
kva cit tu ÷abdasaüskàro  BVaky_3,14.327c
kva cit pradhànam evàrtho  BVaky_2.305c
kva cit saübhavino bhedàş  BVaky_2.187a
kva cit saühanyate punaş  BVaky_3,8.34b
kva cit sàdhanam evàsau  BVaky_3,12.2a
kva cit sàünidhyam apy eùàü  BVaky_2.304c
kvacit saiva pravartate  BVaky_3,1.81d
kva cit svasvàmiyogàkhyo  BVaky_3,3.18c
kva cid anyatra sà sthità  BVaky_3,11.3b
kva cid apy anapà÷rità  BVaky_3,7.33b
kva cid apy anapà÷ritàm  BVaky_3,8.37b
kva cid arthasya gamyate  BVaky_3,12.1b
kva cid arthasya sàdhakaş  BVaky_2.462d
kva cid arthaş pratãyate  BVaky_3,12.8b
kva cid arthe nive÷itaş  BVaky_1.48b
kva cid àha pacantãti  BVaky_2.230c
kvacid ekatvam à÷ritam  BVaky_2.98b
kva cid ekàctvam ucyate  BVaky_3,14.18d
kva cid eti nimittatàm  BVaky_3,14.114d
kva cid eva vyavasthitam  BVaky_3,14.386b
kva cid eva vyavasthitàş  BVaky_3,14.400b
kva cid guõapradhànatvam  BVaky_2.304a
kva cid dharmaş pratãyate  BVaky_3,7.119b
kva cid dharmo na vidyate  BVaky_3,14.270b
kva cid vàkye prayujyate  BVaky_3,14.52b
kva cid viùayabhedena  BVaky_2.373a
kva cin ma¤càdivat sthitah  BVaky_3,14.151b
kvathitodakavac caiùàm  BVaky_3,13.16a
kùaõamàsartubhedabhàk  BVaky_3,9.68d
kùatriyà iti dç÷yate  BVaky_3,14.385b
kùatriyàdau na vidyate  BVaky_3,14.279b
kùatriyàdau padaü kçtvà  BVaky_3,14.263a
kùatriyàdy apadi÷yate  BVaky_3,14.297d
kùatriyàdhyayanàdibhiş  BVaky_3,14.490d
khadiraü jàtibhedena  BVaky_3,14.300c
khadiràdiùv a÷akteùu  BVaky_3,1.3c
khadyota upamãyate  BVaky_3,14.617b
khadyoto havyavàó iva  BVaky_2.140b
khande ÷abdaş pratãyate  BVaky_3,14.479d
kharjåràt pratipadyate  BVaky_3,14.300d
gacchatãty avadhàrayan  BVaky_3,8.16d
gacchantãva tadàtmatàm  BVaky_3,14.380b
gata÷abda÷ ca vçttiùu  BVaky_3,14.52d
gatir vinà tv avadhinà  BVaky_3,7.143a
gatã÷ ca jyotiùàü dhruvà  BVaky_3,9.43b
gantavyaü dç÷yatàü sårya  BVaky_2.310a
gantçvac cen na janmàrtho,  BVaky_3,3.44c
gandharvanagareùv api  BVaky_2.292d
gandhàdãnàü prakà÷akam  BVaky_1.101b
gandhànàü sati bhede tu  BVaky_3,14.372c
gandhena sahacàriõàm  BVaky_2.157b
gamakatvàn nivartate  BVaky_3,14.47d
gamanaü kàrakasyeti  BVaky_3,14.447c
gamanàdi na gamyate  BVaky_2.189b
gamir eva bhramir yathà  BVaky_3,7.137b
gamyate bhedahetubhiş  BVaky_3,14.273d
gamyeta sàdhanaü hy atra  BVaky_3,7.120c
gargà ity eka evàyaü  BVaky_2.221a
gargàdayo lukà teùàü  BVaky_3,14.82c
gargebhyaş pratyayo bhavet  BVaky_3,14.161d
garbhàdhànàm anarthakam  BVaky_3,1.64b
gavater gadater vàpi  BVaky_2.174c
gavaye narasiühe vàpy  BVaky_2.90a
