Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
gandharvanagare«v api  BVaky_2.292d
gandhÃdÅnÃæ prakÃÓakam  BVaky_1.101b
gandhÃnÃæ sati bhede tu  BVaky_3,14.372c
gandhena sahacÃriïÃm  BVaky_2.157b
gamakatvÃn nivartate  BVaky_3,14.47d
gamanaæ kÃrakasyeti  BVaky_3,14.447c
gamanÃdi na gamyate  BVaky_2.189b
gamir eva bhramir yathÃ  BVaky_3,7.137b
gamyate bhedahetubhi÷  BVaky_3,14.273d
gamyeta sÃdhanaæ hy atra  BVaky_3,7.120c
gargÃ ity eka evÃyaæ  BVaky_2.221a
gargÃdayo lukÃ te«Ãæ  BVaky_3,14.82c
gargebhya÷ pratyayo bhavet  BVaky_3,14.161d
garbhÃdhÃnÃm anarthakam  BVaky_3,1.64b
gavater gadater vÃpi  BVaky_2.174c
gavaye narasiæhe vÃpy  BVaky_2.90a
gavayena samo 'nadvÃn  BVaky_3,14.545a
gavayo vyapadiÓyate  BVaky_3,14.299b
gavÃæ yathÃ vajrapÃïis  BVaky_3,14.213c
gavÃæ viÓe«aïatvena  BVaky_3,14.238a
gÃrgÅputre na sa krama÷  BVaky_3,14.134d
gÃrgyÃt syÃt tac ca ne«yate  BVaky_3,14.162b
gÃvedhuke carau d­«ÂÃ  BVaky_3,14.592a
girater garjater game÷  BVaky_2.174b
gÅtibhedÃt tu g­hyante  BVaky_2.107c
guïakriyÃïÃæ kartÃra÷  BVaky_3,7.20a
guïakriyÃyÃæ svÃtantryÃt  BVaky_3,7.127a
guïaguïyabhidhÃyino÷  BVaky_3,14.8b
guïajÃtes tathaikatÃ  BVaky_3,14.364b
guïatulye vatir bhavet  BVaky_3,14.508d
guïatvam itare«Ãæ ca  BVaky_3,14.259c
guïatvaæ paratantratvÃt  BVaky_3,5.1c
guïatvÃd vopasarjanam  BVaky_3,14.411b
guïadharma guïÃvi«Âaæ  BVaky_3,14.25c
guïadharmasya kasya cit  BVaky_3,13.24b
guïapradhÃnatÃbheda÷  BVaky_3,10.7a
guïapradhÃnabhÃvasya  BVaky_2.306c
guïapradhÃnabhÃvena  BVaky_3,14.205c
guïabhÃvaviparyaya÷  BVaky_3,14.120b
guïabhÃvaviparyaya÷  BVaky_3,14.187d
guïabhÃvas tu varïyate  BVaky_3,14.338d
guïabhÃvena sÃkÃÇk«aæ  BVaky_2.48a
guïabhÃvo 'bhidheyatvaæ  BVaky_3,14.336a
guïabhÆtasamuccaya÷  BVaky_3,14.199b
guïabhÆtasamuccita÷  BVaky_3,14.199d
guïabhÆtasya nÃnÃtvÃd  BVaky_3,14.339a
guïabhÆtair avayavai÷  BVaky_3,8.4a
guïabhedasya saæbhavÃt  BVaky_3,14.431b
guïamÃtrÃbhidhÃyitvaæ  BVaky_3,14.26a
guïamÃtrÃbhidhÃyitvaæ  BVaky_3,14.175a
guïamÃtre prayujyeta  BVaky_3,14.170c
guïayor niyato bhedo  BVaky_3,14.364a
guïaÓabdasya darÓanÃt  BVaky_3,14.580b
guïas tasmÃd vikalpate  BVaky_3,1.79d
guïas tasmÃd viÓe«aïam  BVaky_3,14.27d
guïasya cÃtmanÃ dravyaæ  BVaky_3,14.351c
guïasya bhedakÃle tu  BVaky_3,14.352a
guïasyÃviÓyate tathÃ  BVaky_3,5.9d
guïasyÃsya yadi Óruti÷  BVaky_3,14.424b
guïa÷ kÃryair na yujyate  BVaky_1.63b
guïa÷ prakar«ahetur ya÷  BVaky_1.65a
guïÃ ity eva buddher vÃ  BVaky_3,13.18a
guïÃ dvitvÃdayaÓ ca ye  BVaky_3,3.14d
guïÃnÃm apy asau guïa÷  BVaky_3,3.5d
guïÃnÃm avadhÃraïam  BVaky_2.157d
guïÃnÃm ÃÓrayÃd bheda÷  BVaky_3,14.373a
guïÃnÃm ÃÓrayai÷ saha  BVaky_3,14.147b
guïÃnÃæ paratantrÃïÃæ  BVaky_3,1.87c
guïÃvasthÃ guïÃs tathÃ  BVaky_3,13.1d
guïÃs tatropajÃyante  BVaky_3,9.20c
guïÃ÷ pratinidhÅyante  BVaky_3,1.78c
guïÃ÷ svÃdhÃra eva ye  BVaky_3,3.13d
guïe na copamÃnasthe  BVaky_3,14.413a
guïe 'pi nÃÇgÅkriyate  BVaky_3,1.88a
guïe«u vyatiricyate  BVaky_3,7.157b
guïe svÃÓrayavartini  BVaky_3,14.163b
guïair na vyavakÅryate  BVaky_1.170d
guïair padÃnÃæ saæbandha÷  BVaky_2.196c
guïais te 'py ekadeÓasthÃ÷  BVaky_3,14.487c
guïo dvi«Âho 'bhidhÅyate  BVaky_3,14.387b
guïo nopaplavÃdaya÷  BVaky_3,14.416d
guïo 'nye«Ãæ nivartaka÷  BVaky_3,14.489d
guïo bhede 'py abhedena  BVaky_3,14.427c
guïo viÓe«aïatvena  BVaky_3,14.136c
guïo 'sÃv ÃÓritaikatvo  BVaky_3,14.363c
gunas tenÃrthitÃ tasya  BVaky_3,1.72c
gurugiÓyapitÃputra-  BVaky_3,14.408a
guruïÃ tÅrthadarÓinÃ  BVaky_2.482b
gurutvaæ parimÅyeta  BVaky_3,9.28c
g­hÅtaæ g­haÓabdena  BVaky_3,2.3c
g­hyante samavasthitÃ÷  BVaky_3,14.176d
g­hyeta yadi sÃdhanam  BVaky_3,14.168b
gotrÃïy eva tu tÃny Ãhu÷  BVaky_2.365a
gotvaæ go«v asti sÃmÃnyaæ  BVaky_3,14.397c
gotvÃnu«aÇgo vÃhÅke  BVaky_2.255a
godÃv iti ca d­Óyate  BVaky_3,14.115b
godau tatra na sidhyati  BVaky_3,14.111d
gobhis tadÃbhisaæbandho  BVaky_3,14.239c
gobhis tÃvat pratÅyate  BVaky_3,14.212d
gomahi«yÃdijÃtibhi÷  BVaky_3,13.4d
goyu«manmahatÃæ cvyarthe  BVaky_2.279a
gorathÃdi«v adarÓanÃt  BVaky_3,14.51b
govikartÃk«avÃpayo÷  BVaky_3,14.592b
goÓabdenÃbhidhÅyate  BVaky_2.252b
goÓabdo go«u vartate  BVaky_2.175b
goÓabdo na tathÃ jÃter  BVaky_2.162c
goÓabdo na tv asau te«Ãæ  BVaky_2.153c
gauïa ity ucyate kva cit  BVaky_2.274d
gauïatvasya prasÃdhikÃ  BVaky_2.280d
gauïatvaæ parikalpyate  BVaky_3,1.18b
gauïatvaæ pratipadyate  BVaky_2.282d
gauïamukhyaprakalpanÃ  BVaky_2.263d
gauïaæ yatnopapÃditam  BVaky_2.278d
gauïÃrthÃbhiniveÓinam  BVaky_2.266d
gaur aÓva iti cocyate  BVaky_2.271b
gaur iti prayuyuk«yate  BVaky_1.175b
gaur iti vyapadiÓyate  BVaky_3,14.148b
gaur ity atrÃnudarÓitam  BVaky_2.174d
gaur ity eva svarÆpÃd vÃ  BVaky_2.175a
gaur iva prak«araty ekÃ  BVaky_1.160a
gauryamÃtrÃbhidhÃyinÃ  BVaky_3,14.493b
gaur vÃhÅka iti dvitve  BVaky_3,14.625a
granthamÃtro vyavasthita÷  BVaky_2.485d
granthe pÆrvatra bhedas tu  BVaky_3,14.245c
grahaïagrÃhyayo÷ siddhÃ  BVaky_1.100a
grahaïagrÃhyayo÷ sthita÷  BVaky_2.98d
grahaïasyÃsti saæbhava÷  BVaky_2.100d
grahaïaæ vinivartate  BVaky_3,1.17d
grahaïaæ sa krama÷ Órutau  BVaky_2.105d
grahaïÃnuguïais tathÃ  BVaky_1.85b
grahaïe bhedamÃtrasya  BVaky_3,14.624c
grahaïopÃdhibhedena  BVaky_1.76c
grahaïopÃya eva sa÷  BVaky_1.87d
grahÃs tv anyatra vihitÃ  BVaky_3,1.58a
grahe yatra kriyÃÓruti÷  BVaky_3,1.85b
grÃme yo lo vidhÅyate  BVaky_3,7.84b
grÃhyatvaæ grÃhakatvaæ ca  BVaky_1.56a
grÃhyaæ vÃ na tathÃ sthitam  BVaky_3,14.92d
grÃhyÃbhyÃæ parikalpita÷  BVaky_2.99d
grutyÃ hy artho 'nusajyate  BVaky_3,14.280d
ghaÂa ity api yaj j¤Ãnaæ  BVaky_3,1.109c
ghaÂaj¤Ãnam iti j¤Ãnaæ  BVaky_3,1.109a
ghaÂaj¤Ãnavilak«aïam  BVaky_3,1.109b
ghaÂasya d­Óikarmatve  BVaky_3,7.10a
ghaÂÃdidarÓanÃl loka÷  BVaky_2.237a
ghaÂÃdibhyo na d­Óyate  BVaky_3,14.128d
ghaÂÃdi«u yathÃ dÅpo  BVaky_2.298a
ghaÂÃdÅnÃæ na cÃkÃrÃn  BVaky_2.123a
ghaÂÅnÃæ maï¬alaæ mahat  BVaky_1.154b
ghaïÂÃdÆnÃæ ca Óabde«u  BVaky_1.107c
ghavidhau yac ca saæj¤ÃyÃm  BVaky_3,14.469a
gh­tapÃke vivak«ite  BVaky_3,14.446b
gho«iïÅ jÃtanirgho«Ã  BVaky_1.164a
cak«u«a÷ prÃpyakÃritve  BVaky_1.82a
ca¤catprakÃraÓ ca¤catko  BVaky_3,14.616a
catasro hi yathÃvasthÃ  BVaky_3,3.66a
caturthÅ sÃ vikÃrata÷  BVaky_3,7.115b
caturdhÃnyat tu kalpitam  BVaky_3,7.45d
caturdhÃ pa¤cadhÃpi vÃ  BVaky_3,1.1b
catvÃri padajÃtÃni  BVaky_2.343c
candravaktre 'nugamyate  BVaky_3,14.416b
caritÃrthÃn parÃrthatvÃn  BVaky_1.55c
caritÃstikriyaæ kva cit  BVaky_2.270b
caÓabdo vinivartate  BVaky_3,14.193b
casya cÃsattvabhÆto 'rtha÷  BVaky_3,14.194a
cÃdayo na prayujyante  BVaky_2.194a
cÃdi«v arthak­taæ hi tat  BVaky_3,14.194d
cÃndrÃcÃryÃdibhi÷ puna÷  BVaky_2.486d
cÃrthasyÃnyapadÃrthatÃ  BVaky_3,14.196b
cÃrthasyÃpagame 'pi vÃ  BVaky_3,14.203b
cÃrtha÷ Óabde kva cid bhedÃt  BVaky_3,14.195a
cÃrthe dvandvapadÃnÃæ ca  BVaky_3,14.39c
cÃrtho dvandvanibandhana÷  BVaky_3,14.202d
cikitsÃlak«aïÃdhyÃtma-  BVaky_1.174c
ciÇkramyamÃïo 'dhÅ«vÃtra  BVaky_2.452a
citikÃlaÓ ca bhidyate  BVaky_3,14.325b
citirÆpeïa g­hyate  BVaky_3,14.324b
citrasyaikasya rÆpasya  BVaky_2.8a
citraæ hi pratipÃdanam  BVaky_2.178d
citrÃïÃæ na ca vidyate  BVaky_3,14.213b
citrÃdi«v apy abhivyaktir  BVaky_3,1.45a
citrÃ viÓvasya v­ttaya÷  BVaky_3,9.15b
cinoti cinute 'pi ca  BVaky_3,12.7b
cirak«ipravyavasthÃnaæ  BVaky_3,9.47c
ciraæ k«ipram iti j¤Ãne  BVaky_2.23a
cihnamÃtraæ tu tÃrakÃ÷  BVaky_3,9.44d
cihnÃnÅvÃk«arasm­te÷  BVaky_1.20b
caitanyabhÃge prathama÷  BVaky_3,10.2c
caitanyam iva yaÓ cÃyam  BVaky_1.41a
caitanyavat sthitÃ loke  BVaky_3,6.18a
caitanyaæ sarvajÃti«u  BVaky_1.134d
caiti tadvad atÅtatÃm  BVaky_3,9.54d
caitram Åd­Óam ity Ãha  BVaky_3,14.569c
caitraÓabdo bahuvrihÃv  BVaky_3,14.211c
caitrasya tatrÃgamanaæ  BVaky_3,14.610a
caitrÃt «a«ÂhÅ prasajyeta  BVaky_3,14.493c
caitrÃdiÓravanaæ bhavet  BVaky_3,14.230b
caitrÃrthe na prayujyate  BVaky_3,14.211b
cobhayo 'nyatra d­Óyate  BVaky_3,14.121b
cchattriïo 'tra nidarÓanam  BVaky_3,14.32b
cchinnagranthiparigraha÷  BVaky_1.147b
chaktyavacchedalak«aïa÷  BVaky_2.369b
chattrÃdyarthe tu vacane  BVaky_3,14.561c
chattriïÃ cÃbhisaæbandhÃc  BVaky_3,12.22c
chattriÓabdÃbhidheyatÃ  BVaky_3,12.22d
chandasyas chandasÃæ yonim  BVaky_1.17c
chandobhya eva prathamam  BVaky_1.124c
chandomayÅbhir mÃtrÃbhir  BVaky_1.125c
chabda eva nibandhanam  BVaky_2.437d
chabdayor gauïamukhyayo÷  BVaky_2.257b
chabdÃt tac ca na bhidyate  BVaky_3,2.11d
chabdÃn astÅti manyate  BVaky_1.87b
chabdÃnÃæ pratipÃdane  BVaky_3,14.341b
chabdÃrthÃn iti manyate  BVaky_2.121d
chabde jÃtir avasthitÃ  BVaky_3,1.8b
chabde«v avik­te«v api  BVaky_2.106b
chabdo 'rthasyÃbhidhÃyaka÷  BVaky_2.360d
chÃgÃdÅnÃæ na jÃtaya÷  BVaky_3,1.78d
chÃpek«Ã tadvi«ayatÃ  BVaky_3,14.607a
chÃyÃtapatama÷Óabda-  BVaky_1.113c
chÃyÃdipariïÃmaiÓ ca  BVaky_3,9.45c
chÃyÃbhÃbhyÃæ nagÃdÅnÃm  BVaky_3,6.12a
chÃyÃyÃÓ calanaæ yathÃ  BVaky_3,7.111b
chÃlÅmæ tÃn iti d­Óyate  BVaky_3,14.392b
chÃstrÃc ca vacane sati  BVaky_3,14.333b
chÃstre 'Çgatvena g­hyate  BVaky_3,14.104d
chÃstre liÇgasya darÓanÃt  BVaky_2.381b
chittvÃ granthÅn pravartate  BVaky_1.147d
chinnagrathitakalpatvÃt  BVaky_2.249c
chedyaæ prati vyÃpriyate  BVaky_3,7.31c
cheÓabhÃva÷ pratÅyate  BVaky_3,1.69d
chyÃme bhedo vyavasthita÷  BVaky_3,14.371d
chrutirÆpai÷ p­thagvidhai÷  BVaky_1.118b
chvetatvena prakÃÓate  BVaky_3,8.3b
janayaty ekasÃdhanam  BVaky_2.300d
janayitvÃ kriyÃ kÃ cit  BVaky_2.197a
jantvÃdaya÷ kulÃyÃdi-  BVaky_2.149c
janmanÃ tu virodhitvÃn  BVaky_3,3.46c
janmanÃ yat prakÃÓyate  BVaky_3,7.49b
janmanÃÓÃv abhede 'pi  BVaky_3,7.111c
janmanÃÓau tathÃparai÷  BVaky_3,8.26b
janmÃdayo vikÃrÃ÷ «a¬  BVaky_1.3c
janmÃbhivyaktiniyamÃ÷  BVaky_3,9.10a
janmaivÃÓritasÃrÆpyaæ  BVaky_3,8.27c
janyanta iva ÓabdÃnÃm  BVaky_3,14.571c
janyante sahacÃribhi÷  BVaky_3,14.473b
janyamÃnasya karmaïa÷  BVaky_3,7.7b
japaæÓ caÇkramaïaæ kuru  BVaky_2.452b
jarÃkhyÃ kÃlaÓaktir yÃ  BVaky_3,9.24a
jalayantrabhramÃveÓa-  BVaky_3,9.14a
jalopalabdhyanuguïÃd  BVaky_3,13.8c
jahatsvÃrthavikalpe ca  BVaky_2.228a
jahÃti jÃtiæ dravyaæ vÃ  BVaky_3,14.496a
jahÃti sahav­ttÃÓ ca  BVaky_3,9.29a
jÃtayo na tathÃ guïÃ÷  BVaky_3,1.79b
jÃtayo yÃ÷ prayojikÃ÷  BVaky_3,9.19b
jÃtÃv ekena cet kriyÃ  BVaky_3,1.62b
jÃtikÃryÃya kalpate  BVaky_3,1.8d
jÃtidravyÃbhidhÃyino÷  BVaky_3,14.358b
jÃtidharmopacaryate  BVaky_3,14.347b
jÃtiparyÃyavÃcitvam  BVaky_3,1.92c
jÃtipratyÃyitÃ vyakti÷  BVaky_1.70c
jÃtiprayuktÃ tasyÃæ tu  BVaky_3,9.17a
jÃtiprayoge jÃtyÃ cet  BVaky_3,14.157a
jÃtibhÃgÃÓrayÃ prakhyÃ  BVaky_3,14.404a
jÃtibhede 'pi pÃkena  BVaky_3,14.443c
jÃtim anye kriyÃm Ãhur  BVaky_3,8.21a
jÃtimÃtravyapek«ÃyÃm  BVaky_3,14.365a
jÃtimÃtre vivak«ite  BVaky_3,14.369b
jÃtir ÃÓrÅyate yadÃ  BVaky_3,14.355b
jÃtir ity atra laukikam  BVaky_3,14.321b
jÃtir ity ucyate tasyÃæ  BVaky_3,1.33c
jÃtir uts­«ÂasaækhyÃ tu  BVaky_3,14.349c
jÃtir evÃbhidhÅyate  BVaky_3,1.29d
jÃtir na parikalpyate  BVaky_3,13.10d
jÃtir vÃ dravyam eva vÃ  BVaky_3,1.2b
jÃtivat tena gamyate  BVaky_3,1.66d
jÃtivat samavasthitÃ÷  BVaky_3,7.35d
jÃtivat samudÃye 'pi  BVaky_2.43c
jÃtiÓabdatvam ucyate  BVaky_3,14.488d
jÃtiÓabde 'nuvarïitam  BVaky_3,14.359d
jÃtiÓabdaikaÓe«e sÃ  BVaky_3,1.9a
jÃtiÓabdo 'ntareïÃpi  BVaky_2.273a
jÃtiÓabdo 'valambate  BVaky_2.122d
jÃtiÓ cet strÅtvam evÃsau  BVaky_3,14.179a
jÃtisaækhyÃsamÃhÃra-  BVaky_3,14.223c
jÃtisaækhyÃsamÃhÃrair  BVaky_3,14.181a
jÃtisaæbandhabhedÃc ca  BVaky_3,14.12c
jÃtis tatrÃpi sÃdhanam  BVaky_3,1.27b
jÃtis tu pratipadyate  BVaky_1.69d
jÃtiæ yatra prayujyate  BVaky_2.273b
jÃti÷ Óaktyupalak«aïam  BVaky_3,1.3b
jÃti÷ saæghÃtavartinÅ  BVaky_2.1b
jÃti÷ sÃ ÓabdajÃtitvam  BVaky_3,1.10c
jÃti÷ saiva kriyÃ sm­tÃ  BVaky_3,8.22b
jÃti÷ sphoÂa iti sm­tÃ  BVaky_1.96b
jÃti÷ syÃt sarvajÃti«u  BVaky_3,1.14b
jÃtÅnÃæ kaiÓcid i«yate  BVaky_3,1.45b
jÃtÅnÃæ ca guïÃnÃæ ca  BVaky_3,1.78a
jÃtÅnÃæ jÃtir i«yate  BVaky_3,1.9b
jÃtÅnÃæ vyaktir i«yate  BVaky_1.98d
jÃte tad api d­Óyate  BVaky_3,3.33d
jÃter anyad viÓe«aïam  BVaky_3,14.158b
jÃter abhede bhede vÃ  BVaky_3,14.401a
jÃter ÃÓritasaækhyÃyÃ÷  BVaky_3,1.81a
jÃter eva padÃrthatvaæ  BVaky_3,14.353c
jÃter dravyaæ tathocyate  BVaky_3,14.340d
jÃter yÃ cÃviÓi«ÂatÃ  BVaky_3,14.367b
jÃter vÃ parikalpane  BVaky_2.56b
jÃter vÃ lak«aïÃya syÃt  BVaky_2.309c
jÃteÓ cÃbhyupagamyate  BVaky_3,14.347d
jÃtes tat pratipadyate  BVaky_3,14.157d
jÃte÷ kÃryÃïi saæs­«ÂÃ  BVaky_1.69c
jÃte÷ pratyÃyake Óabde  BVaky_2.122a
jÃtau dvivacanÃbhÃvÃt  BVaky_3,14.108a
jÃtau padÃrthe jÃtir vÃ  BVaky_3,1.12a
jÃtau pÆrvaæ prav­ttÃnÃæ  BVaky_3,14.346a
jÃtau v­tto yadÃ dravye  BVaky_3,14.353a
jÃtyantaraniv­ttaye  BVaky_3,14.479b
jÃtyantaravad anyasya  BVaky_2.176c
jÃtyantaraæ na gor eva  BVaky_3,14.299c
jÃtyanvayaprasiddhÃsu  BVaky_2.150c
jÃtyabhedÃt sa evÃyam  BVaky_3,14.392c
jÃtyavasthÃparicchede  BVaky_3,1.49a
jÃtyÃkhyÃyÃæ na vidyate  BVaky_3,14.109d
jÃtyÃdivad avasthitam  BVaky_3,13.28b
jÃtyÃ bhinnÃæ tata÷ sattÃæ  BVaky_3,14.263c
jÃtyutpalÃdigandhÃdau  BVaky_3,1.47a
jÃyate pratyayo 'rthebhyas  BVaky_3,3.53c
jÃyate 'rthasya vÃcaka÷  BVaky_1.45b
jÃyate hi tata÷ prÃïo  BVaky_1.162c
jÃyante ca virodhina÷  BVaky_3,9.24d
jÃyamÃnÃn na janrnÃnyad  BVaky_3,8.28a
jÃyamÃneva gamyate  BVaky_3,8.22d
jÃyamÃno 'bhidhÅyate  BVaky_3,7.118d
jitvarÅvad upÃcaret  BVaky_2.179b
jÅvatis tu kriyÃntaram  BVaky_3,14.71d
jÅvatau prÃïakarmaka÷  BVaky_3,14.71b
jÅvatau prÃïakarmavat  BVaky_3,14.457d
jÅvikÃdi«u bhidyate  BVaky_3,12.3b
jÅvitasyÃvadhÃraïe  BVaky_3,6.11d
j¤ÃtasyÃnyasya vastuna÷  BVaky_3,1.107d
j¤ÃnabhedÃya kalpate  BVaky_3,1.30d
j¤ÃnarÆpaæ na g­hyate  BVaky_3,1.110b
j¤ÃnaÓakti÷ samarthÃ syÃj  BVaky_3,1.107c
j¤ÃnaÓabdÃrthavi«ayÃ  BVaky_3,1.103a
j¤Ãnasya ca viparyaye  BVaky_3,3.59b
j¤Ãnasya nirupÃÓrayÃ  BVaky_3,3.56b
j¤Ãnaæ j¤eyavyapÃÓrayam  BVaky_1.88d
j¤Ãnaæ tv asmad viÓi«ÂÃnÃæ  BVaky_3,1.46a
j¤Ãnaæ praty abhilÃpaæ ca  BVaky_3,3.55c
j¤Ãnaæ prayoktur bÃhyo 'rtha÷  BVaky_3,3.1a
j¤ÃnÃkÃras tathÃnyena  BVaky_3,1.106c
j¤ÃnÃdyekatvadarÓanam  BVaky_3,1.103d
j¤ÃnÃnÃm upakÃrakam  BVaky_3,1.105b
j¤ÃnÃnugataÓaktiæ vÃ  BVaky_3,9.58a
j¤Ãne 'tyantam asaæbhava÷  BVaky_3,2.9b
j¤ÃnenaivÃnusaæh­ti÷  BVaky_3,9.78b
j¤Ãne rÆpasya saækrÃntir  BVaky_3,9.78a
j¤Ãne vÃ saæÓaya÷ kvacit  BVaky_3,3.2b
j¤Ãne«v api yathÃrthe«u  BVaky_3,1.104a
j¤Ãne svÃbhÃvike nÃrtha÷  BVaky_1.150a
j¤ÃpakÃrthÃ tu sÃ k­tÃ  BVaky_3,14.548b
j¤ÃyatÃæ kÃla ity etat  BVaky_2.310c
j¤eyarÆpaæ ca d­Óyate  BVaky_1.51b
j¤eyastham eva sÃmÃnyaæ  BVaky_3,1.105a
j¤eyÃ bhÃgÃs tathÃpare  BVaky_3,8.9d
j¤eyena na vinÃ j¤Ãnaæ  BVaky_1.89a
j¤eyo 'rthas tena mÅyate  BVaky_3,14.375d
jnÃnasaæskÃrahetava÷  BVaky_1.10d
jyÃyastvam abhidhÅyate  BVaky_3,14.518b
jye-drÃ-ghÃ ity asÃdhava÷  BVaky_2.363b
jyotir Ãntaram ÃsÃdya  BVaky_1.147a
jyoti«Ãæ lokasiddhayÃ  BVaky_3,9.75b
jyoti÷ suddhaæ vivartate  BVaky_1.18d
jvÃlÃ jvÃlÃntarÃd iva  BVaky_1.109d
ÂÃbanta eva caitrÃdau  BVaky_3,14.410a
¬ayatiÓ ca paciÓ caiva  BVaky_3,14.78c
¬itthÃdi«u gavÃdivat  BVaky_2.366d
ïatvaæ na prati«idhyate  BVaky_2.387d
ïicÃ saha vikalpate  BVaky_3,12.6b
ïijantaniyamas tathÃ  BVaky_3,7.73d
ïijante ca yathÃ kartÃ  BVaky_3,7.76a
ïyante tÃæ karmakartari  BVaky_3,7.60b
ïyante 'pi pratipadyate  BVaky_3,7.59d
ïyante lenÃbhidhÅyate  BVaky_3,7.63d
ïyarthopÃdÃyitÃ tasmÃn  BVaky_3,12.14c
ïyarthopÃdÃyinas tasmÃn  BVaky_3,12.13c
ïvuly anyasmin na saæbhavet  BVaky_3,14.447d
ta ÃÓraye 'pi vidyanta  BVaky_3,14.154c
tak«ÃdyÃkhyÃ pravartate  BVaky_3,9.32b
tac ca nityam iti sm­tam  BVaky_3,2.1d
tac cÃrthenÃpadiÓyate  BVaky_3,14.193d
tacchabdasya sak­c chrutau  BVaky_2.464d
tacchabdena vyapek«aïam  BVaky_2.223b
tacchabdo 'nuprayujyate  BVaky_3,14.218d
tacche«am alukaæ vidu÷  BVaky_2.351d
taj janmety apadiÓyate  BVaky_3,8.29b
tajjÃti÷ ÓabdajÃti«u  BVaky_3,1.9d
tata eva prakalpete  BVaky_3,6.4c
tataÓ ca tadabhÃve 'pi  BVaky_3,3.76c
tatas tatreti na kriyÃ  BVaky_3,14.221b
tatas tad dvyartham ucyate  BVaky_3,14.36d
tatas tu samavÃyÃkhyÃ  BVaky_3,9.18a
tatas te dvandvabhÃvina÷  BVaky_3,14.23d
tata÷ kriyÃvatÃ kartrÃ  BVaky_3,14.67c
tata÷ satyaæ samÅhate  BVaky_2.238d
tato dravyÃbhidhÃyinÃ  BVaky_3,14.139b
tato nÃsti prayojanam  BVaky_3,14.42d
tato 'nyasya na sidhyata÷  BVaky_3,14.246d
tato 'nyasyÃpi sÃænidhyÃt  BVaky_2.298c
tato 'py asya parÃæ Óuddhim  BVaky_3,3.56c
tato 'rthajÃtirÆpe«u  BVaky_3,1.6c
tato viÓi«Âair ÃdhÃrair  BVaky_3,14.256c
tato vyÃpÃrarÆpeïa  BVaky_3,8.38c
tatkartÃ phalabhÃg yata÷  BVaky_3,12.9d
tat karma na punar bhavet  BVaky_3,7.167b
tat kasmiæÓ cit pratÅyate  BVaky_2.305b
tat kÃlasya vice«Âitam  BVaky_3,9.46d
tat kÃlasyaiva ce«Âitam  BVaky_3,9.70d
tatkÃlaæ tat pratÅyate  BVaky_3,9.108d
tatkÃlaæ nÃnurudhyate  BVaky_3,9.104d
tat kÃle 'nyatra Ói«yate  BVaky_3,9.93d
tatkÃle vyavati«Âhate  BVaky_3,9.99d
tat kim ity anuyujyate  BVaky_2.72d
tat kriyÃyÃ viÓe«akam  BVaky_2.5b
tat kriyeti pratiyate  BVaky_3,8.1d
tat tathaivÃvati«Âhate  BVaky_3,9.36d
tat tadÃ tatra sÃdhanam  BVaky_3,7.12d
tat tad utprek«amÃïÃnÃæ  BVaky_2.490a
tat taddharma prakÃÓate  BVaky_3,7.83d
tat tasyÃsaænidhÃv api  BVaky_2.308b
tat tilÃdau na vidyate  BVaky_3,14.24d
tattvanÃnÃtvayos tasya  BVaky_2.26c
tattvam apracayÃtmakam  BVaky_3,9.65d
tattvam eva prakÃÓate  BVaky_3,7.39d
tattvam evÃvikalpitam  BVaky_3,2.8b
tattvam evÃvicÃritam  BVaky_3,2.7d
tattvaæ nÃdhyavasÅyate  BVaky_3,3.9d
tattvÃtmakatvÃt tenÃpi  BVaky_3,2.6c
tattvÃnyatvaparityÃge  BVaky_3,3.71c
tattvÃnvÃkhyÃnamÃtre tu  BVaky_2.451a
tattvÃvabodja÷ ÓabdÃnaæ  BVaky_1.13c
tattvÃsaÇgavivak«ÃyÃæ  BVaky_3,14.381a
tattve kiæ cid avasthitam  BVaky_2.139b
tattve janmÃdirÆpatvaæ  BVaky_3,2.18c
