Utpaladeva: Isvarapratyabhijnakarika with vrtti.

Based on the edition by Madhusudan Kaul Shastri, Srinagar 1921.
(Kashmir Series of Texts and Studies ; 34)

Revised according to the edition by Raffaele Torella, Roma 1994
(Serie Orientale Roma ; 71)


Input by Somadeva Vasudeva

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akramÃnantacidrÆpa÷  Ipk_1,7.1c
puna atyantabhedavat  Ipk_4.13d
pÆrvÃnubhavarÆpas tu  Ipk_1,6.9c
pÆrvÃnubhavasadbhÃve  Ipk_1,7.5c
pÆrvÃnubhavasaækÃrÃ-  Ipk_1,3.4c
pÆrvÃnubhavasaæsk­te÷  Ipk_1,3.1b
pÆrvÃbhÃsÃdiyojanÃ  Ipk_1,6.6b
pÆrvÃbhÃsitam Ãm­Óan  Ipk_1,4.2b
pÆrve naive«Âam indriyam  Ipk_1,5.8b
p­thagdÅpaprakÃÓÃnÃæ  Ipk_2,3.7a
prakalpyÃ÷ pratyagÃtmana÷  Ipk_4.8b
prakÃÓasyeva nÃnyasya  Ipk_1,6.2c
prakÃÓÃtmatayÃ vinÃ  Ipk_1,5.2b
prakÃÓÃtmÃpi vÃgvapu÷  Ipk_1,6.1b
prakÃÓÃtmÃ prakÃÓyo 'rtho  Ipk_1,5.3c
prakÃÓaikyÃt tad ekatvaæ  Ipk_1,8.10c
prakÃÓo bahir ÃtmanÃ  Ipk_1,8.9b
prakÃÓo 'rthoparakto 'pi  Ipk_1,5.11c
pratiti«Âhatsu bhÃve«u  Ipk_1,7.2c
pratibhÃsÃd abhedinÃm  Ipk_2,3.6d
pratiyogy avabhÃsaja÷  Ipk_1,6.5d
prati«ÂhÃ jÅvadÃÓrayÃ  Ipk_1,1.4b
pratisaædhÃnavarjitam  Ipk_1,5.19d
pratyak«ÃnupalambhÃnÃæ  Ipk_1,7.4a
pratyabhij¤opadarÓyate  Ipk_1,1.3d
pratyekaæ suptajÃgrato÷  Ipk_3,2.19b
pradhÃnaæ mÆlakÃraïam  Ipk_3,1.10d
prabhur ÅÓÃdisaækalpair  Ipk_1,5.16c
prabhur dehÃdim ÃviÓan  Ipk_1,6.7b
pramÃïaæ svÃtmasaæbhave  Ipk_1,7.5b
pramÃïÃd ekato mata÷  Ipk_2,3.8d
pramÃïÃntaraniÓcite  Ipk_2,4.11b
pramÃtari purÃïe tu  Ipk_2,3.16a
pramÃtary upapadyate  Ipk_2,3.14d
pramÃtÃ kathyate pati÷  Ipk_3,2.3b
pramÃtÃ sa maheÓvara÷  Ipk_1,7.1d
pramÃt­tvenÃham iti  Ipk_1,6.5a
pramÃt­parini«Âhite÷  Ipk_1,7.6d
pramÃtÌïÃæ sa jÃgara÷  Ipk_3,2.17d
pramÃtrapek«ayÃ coktÃ  Ipk_2,4.6c
pramÃtrekasamÃÓraya÷  Ipk_2,4.16b
pramÃtraikÃtmyam Ãntaryaæ  Ipk_1,8.8c
prameye vyatirekiïi  Ipk_3,1.9b
prasare 'pi maheÓatÃ  Ipk_4.12d
prÃg anvabhÆvam aham ity  Ipk_1,4.4c
prÃgivÃrtho 'prakÃÓa÷ syÃt  Ipk_1,5.2a
prÃïÃdiprerikÃ matÃ  Ipk_3,2.14b
prÃïÃpÃnamaya÷ prÃïa÷  Ipk_3,2.19a
prÃdhÃnyÃt kart­tÃguïe  Ipk_3,2.18b
prÃbhavyÃ÷ syÃt prabhor iva  Ipk_2,1.2d
bahir apy ekarÆpatÃm  Ipk_2,2.5b
bahirÃbhÃsanÃtmani  Ipk_1,6.9b
bahirbhÃvaparatve tu  Ipk_3,1.2c
bahis tasyaiva tatkÃryaæ  Ipk_2,4.6a
bahudhÃ nÃpi tad dvayam  Ipk_1,2.1d
bÃdhÃ naivÃnumÃnata÷  Ipk_1,7.13b
bÃdhyabÃdhakabhÃvo 'pi  Ipk_1,7.6a
bÃhyatopÃdhir i«yate  Ipk_1,8.5b
bÃhyatvÃd bahir apy asau  Ipk_1,8.7d
bÃhyasyÃsÅt kathaæ cana  Ipk_1,5.9b
bÃhyaæ ced anumÃpayet  Ipk_1,5.4b
bÃhyÃntaratayÃ do«air  Ipk_2,3.10c
bÃhyÃnta÷karaïÃvalÅ  Ipk_3,1.11b
bÃhyenÃnupapattinÃ  Ipk_1,5.6d
buddhyÃdigrÃhakÃtmanÃ  Ipk_4.2b
bodhasya ca cidÃtmana÷  Ipk_3,2.12b
bodhÃnÃm api kart­tva-  Ipk_3,2.9a
bodhaikalak«aïaikye 'pi  Ipk_3,2.7a
brahmavi«ïÆ vyavasthitau  Ipk_3,2.1d
bhartrÃ te kart­tÃtyayÃt  Ipk_3,2.6d
bhavatÅty eva d­Óyate  Ipk_1,2.10b
bhavadbhÆtÃrthagÃmi«u  Ipk_1,8.2d
bhavinÃæ trividhaæ malam  Ipk_3,2.10b
bhavet kÃlakramÃkara÷  Ipk_2,1.6b
bhÃti mÃtur mitÃtmana÷  Ipk_2,1.7b
bhÃntam evÃnta arthaugham  Ipk_1,6.7c
bhÃnti meyapade 'pi vÃ  Ipk_1,4.5d
bhÃvajÃtasya bhÃsanam  Ipk_1,5.10b
bhÃvÃ ekapramÃtari  Ipk_2,2.4b
bhÃvÃnÃm avabhÃsanam  Ipk_1,5.1b
bhÃvÃnÃm ittham ekatra  Ipk_2,3.14c
bhÃvÃnÃæ bodhasÃratvÃd  Ipk_3,1.4c
bhÃvÃnÃæ svÃtmani«Âhite÷  Ipk_1,7.9b
bhÃvÃn icchÃvaÓÃd e«Ã  Ipk_2,4.1c
bhÃvÃ bhÃnty amitasya tu  Ipk_2,1.7d
bhÃvÃbhÃvÃvabhÃsÃnÃæ  Ipk_1,8.5a
bhÃsate na tv idantayÃ  Ipk_1,5.20d
bhÃsayec ca svakÃle 'rthÃt  Ipk_1,4.2a
bhinna evÃvabhÃti ya÷  Ipk_1,6.4b
bhinnaprameyaprasare  Ipk_3,2.1c
bhinnayor avabhÃso hi  Ipk_1,6.2a
bhinnavedyaju«Ãæ mÃyÃ-  Ipk_3,2.9c
bhinnavedyaprathÃtraiva  Ipk_3,2.5a
bhinnasaævedyagocarÃ  Ipk_1,5.18b
bhinnasyÃbhÃvasÃdhanam  Ipk_1,7.9d
bhinnÃvabhÃsacchÃyÃnÃm  Ipk_2,3.11a
bhinne prakÃÓe cÃbhinne  Ipk_1,5.3a
bhÆyas tattatpramÃtreka-  Ipk_2,4.12a
bhedadhÅr eva bhÃve«u  Ipk_3,1.6a
bhedasthita÷ ÓÃktimata÷  Ipk_4.5a
bhedÃd asyÃnayatÃtmana÷  Ipk_1,5.17b
bhedÃbhedavatÃrthena  Ipk_2,2.7c
bhedÃbhedavirodhata÷  Ipk_2,4.19b
bhedinas tv avabhÃsanam  Ipk_1,6.2d
bhede tv ekarase bhÃte  Ipk_3,1.8a
bhedo yad avabhÃsyate  Ipk_2,1.8d
bhogo du÷khasukhÃtmaka÷  Ipk_4.3d
bhrÃntitve cÃvasÃyasya  Ipk_1,3.5a
bhrÃnteÓ cÃrthasthiti÷ katham  Ipk_1,3.4b
madhyordhvagÃmyudÃnÃkhyas  Ipk_3,2.20a
mano 'nuvyavasÃyi sat  Ipk_2,2.3b
manomÃtrapathe 'py ak«a-  Ipk_3,2.16a
manyate samavetaæ sÃpy  Ipk_1,4.7c
mayÃ d­«Âam iti sm­te÷  Ipk_1,4.6d
mayÅ÷ karmÃdikalpanÃ÷  Ipk_2,2.3d
mayo 'neka÷ pumÃn mata÷  Ipk_4.3b
malo vidyeÓvarÃÓ ca te  Ipk_3,2.9d
mahÃgurubhir ucyate sma Óivad­«ÂiÓÃstre yathÃ  Ipk_4.16b
maheÓvaro yathÃ baddha÷  Ipk_4.13c
mÃtÃ sa meya÷ san kÃlÃ-  Ipk_3,1.9c
mÃtur arthakriyÃrthina÷  Ipk_2,2.7b
mÃtur eva tadanyonyÃ-  Ipk_3,1.1c
mÃtur bhÃtasya no sak­t  Ipk_2,1.6d
mÃtaika÷ sa iti sthitam  Ipk_1,8.10d
mÃtaiva kÃraïaæ tena  Ipk_2,4.7a
mÃtriïi j¤eyaÓÆnyatÃ  Ipk_3,2.13d
mÃtreïÃthÃkhilÃtmanÃ  Ipk_1,4.2d
mÃtraivÃtadvyapohanÃt  Ipk_1,6.3b
mÃyayÃ bhÃsamÃnÃnÃæ  Ipk_1,8.7c
mÃyÃkhyaæ janmabhogadam  Ipk_3,2.5b
mÃyÃt­tÅye te eva  Ipk_4.4c
mÃyÃto bhedi«u kleÓa-  Ipk_3,2.3c
mÃyÃmalayutÃyutam  Ipk_3,2.15d
mÃyÃÓaktir vij­mbhate  Ipk_3,1.8d
mÃyÃÓaktyÃ vibho÷ saiva  Ipk_1,5.18a
mÃyÃÓakty eva sÃ vidyety  Ipk_3,1.6c
mÃyÃÓaktyaiva tat trayam  Ipk_3,2.5d
mÃyÅyas tu vikalpita÷  Ipk_3,2.8d
mitaæ guïatayÃ sthitam  Ipk_3,2.11d
mitir vastuny abÃdhitÃ  Ipk_2,3.2d
mukhair ekapramÃtari  Ipk_1,7.2b
mukhyatvaæ kart­tÃyÃÓ ca  Ipk_3,2.12a
mukhyaæ saæsÃrakÃraïam  Ipk_3,2.10d
mÆrtivaicitryato deÓa-  Ipk_2,1.5a
meyaæ sÃdhÃraïaæ mukta÷  Ipk_4.13a
yato hi pÆrvÃnubhava-  Ipk_1,2.5a
yat kÃryakaraïÃtmakam  Ipk_3,1.10b
yathÃbhÃsÃ vibhidyante  Ipk_2,3.4c
yathÃbhimatasaæsthÃnÃ-  Ipk_1,6.10c
yathÃruci yathÃrthitvaæ  Ipk_2,3.3a
yathÃvastvavalokanÃt  Ipk_3,1.4d
yathÃvyutpatti bhidyate  Ipk_2,3.3b
yad anta yad apek«ayÃ  Ipk_2,4.6b
yad asat tad asadyuktÃ  Ipk_2,4.3a
yady evam antarga¬unÃ  Ipk_1,2.5c
yad vaÓÃd vyavati«Âhate  Ipk_2,3.1b
yaÓ ca pramÃtÃ ÓÆnyÃdi÷  Ipk_3,1.9a
'yaæ sa ity Ãm­Óaty api  Ipk_1,4.8b
yÃ ca paÓyÃmy aham imaæ  Ipk_1,4.7a
yÃ cai«Ã pratibhÃ tattat-  Ipk_1,7.1a
yÃ tu bÃhyatayÃ sthirÃ  Ipk_3,2.17b
yuktÃ saikapramÃt­jÃ  Ipk_1,7.13d
yukto bhÃvasamanvaya÷  Ipk_2,4.16d
yuja÷ saæbandhadhÅpadam  Ipk_2,2.4d
ye 'py asÃmayikedantÃ-  Ipk_4.7a
ye«Ãæ nottamakart­tÃ  Ipk_3,2.6b
yoginÃm api bhÃsante  Ipk_1,4.5a
yoginÃm api m­dbÅje  Ipk_2,4.10a
yoginirmÃïatÃbhÃve  Ipk_2,4.11a
yogÅva nirupÃdÃnam  Ipk_1,5.7c
rajataikavimarÓe 'pi  Ipk_2,3.13a
rase saæskÃrajatvaæ tu  Ipk_1,3.2c
rÆpÃ Óuktimatir bhavet  Ipk_1,7.12b
rÆpo 'k«ÃdibhuvÃæ yathÃ  Ipk_1,8.9d
rÆpyaj¤ÃnÃpramÃtvavit  Ipk_1,7.7d
liÇgam anyapramÃt­gÃt  Ipk_2,4.13b
lokasyai«a tathÃnavek«itaguïa÷ svÃtmÃpi viÓveÓvaro  Ipk_4.17c
varïavaicitryarÆpayÃ  Ipk_4.10d
vartamÃnÃvabhÃsÃnÃæ  Ipk_1,5.1a
vastu pramÃïaæ tat so 'pi  Ipk_2,3.1c
vahnyÃbhÃsÃdito bhavet  Ipk_2,4.12b
vÃstave 'pi cidekatve  Ipk_2,4.20a
vikalpa eva sa para-  Ipk_1,6.5c
vikalpakriyayÃ tattad-  Ipk_4.10c
vikalpahÃnaikÃgryÃt  Ipk_4.11c
vikalpena sukhÃdike  Ipk_1,8.4b
vikalpe yo 'yam ullekha÷  Ipk_1,8.8a
vikalpe«u bhaved bhÃvi-  Ipk_1,8.2c
vikalpe svairacÃriïi  Ipk_1,6.10b
vikalpo ghaÂa ity ayam  Ipk_1,6.3d
vicitrÃbhÃsahetutÃ  Ipk_1,5.4d
vicitro hetutÃm iyÃt  Ipk_1,5.5b
vicchinnabhÃsa÷ ÓÆnyÃder  Ipk_2,1.6c
vij¤ÃnÃkalamantreÓo  Ipk_3,2.20c
vidyÃbhij¤ÃpitaiÓvaryaÓ  Ipk_3,2.2c
vidyÃÓakti÷ tirodhÃna-  Ipk_3,1.7c
vinaivecchÃvaÓena tat  Ipk_2,4.10b
vibhÃvya ÓivatÃmayÅm aniÓam ÃviÓan siddhyati  Ipk_4.16d
vimarÓa eva devasya  Ipk_1,8.11c
vimarÓaæ vidur anyathÃ  Ipk_1,5.11b
vimarÓa÷ katham anyathÃ  Ipk_1,5.19b
vimarÓo 'nyavyapohanÃt  Ipk_1,6.5b
vim­Óan sa iti svairÅ  Ipk_1,4.1c
viruddhÃbhÃvasaæsparÓe  Ipk_2,3.15c
viviktabhÆtalaj¤Ãnaæ  Ipk_1,7.7a
viviktaæ bhÆtalaæ ÓaÓvad  Ipk_1,7.9a
viÓe«o 'rthÃvabhÃsasya  Ipk_1,8.2a
viÓvarÆpo maheÓvara÷  Ipk_1,3.7b
viÓvarÆpo 'ham idam ity  Ipk_4.1c
viÓvavaicitryacitrasya  Ipk_2,3.15a
viÓvÃtmano vikalpÃnÃæ  Ipk_4.12c
vi«ayatvena vibhramÃt  Ipk_3,2.16b
vedyabhÆmim upeyu«Ãm  Ipk_3,1.4b
vedyÃ rÆpad­Óeva d­k  Ipk_1,3.2b
vaicitrye kim nibandhanam  Ipk_1,5.5d
vyaktyekadeÓabhedaæ cÃpy  Ipk_2,2.5c
vya¤jakasyÃnyathÃpi vÃ  Ipk_2,3.10d
vyavahÃra÷ pravartyate  Ipk_2,3.17d
vyavahÃre kim anyena  Ipk_1,5.6c
vyavahÃro 'nubhÆyate  Ipk_1,7.14d
vyÃno viÓvÃtmaka÷ para÷  Ipk_3,2.20d
Óaktitvaæ nÃpadiÓyate  Ipk_4.5b
ÓaktiprakÃÓeneÓÃdi-  Ipk_2,3.17c
ÓaktyÃvi«karaïeneyaæ  Ipk_1,1.3c
ÓarÅrÃdyavasÃyinÅ  Ipk_1,2.2d
Óiva÷ cidÃnandaghana÷  Ipk_4.14c
ÓÅto«ïe vÃtha tallak«ya÷  Ipk_2,1.3c
Óuktau na rajatasthiti÷  Ipk_2,3.13b
ÓuddhabodhÃtmakatve 'pi  Ipk_3,2.6a
Óuddhe j¤Ãnakriye yata÷  Ipk_1,8.11d
ÓÆnyÃdau tadguïe j¤Ãnaæ  Ipk_3,2.12c
ÓÆnyÃdyabodharÆpÃs tu  Ipk_3,2.8a
ÓÆnye buddhe ÓarÅre vÃ  Ipk_3,1.8c
ÓÆnye buddhyÃdyabhÃvÃtmany  Ipk_3,2.13a
Óle«i sattvatamomayam  Ipk_4.6d
sa eva vim­Óattvena  Ipk_1,8.11a
sak­dÃbhÃsasÃdhyo 'sÃv  Ipk_1,7.3c
sakramatvaæ ca laukikyÃ÷  Ipk_2,1.2a
sakramaæ pratibhÃsate  Ipk_1,5.21d
sakramÃntarbahi÷sthiti÷  Ipk_2,4.5b
sa cÃbhÃsadvayasthitau  Ipk_2,4.7b
sato 'pi na puna÷ sattÃ-  Ipk_2,4.3c
sattÃnanda÷ kriyÃ patyus  Ipk_4.6a
sattÃ yad asata÷ sata÷  Ipk_2,4.2b
sattÃyÃæ na puna÷ kva cit  Ipk_1,8.2b
satyaæ kiæ tu sm­tij¤Ãnaæ  Ipk_1,3.1a
satyÃpy Ãtmani d­ÇnÃÓÃt  Ipk_1,2.4a
satyÃ÷ sthairyopayogÃbhyÃm  Ipk_2,2.1c
sadasattÃpade 'py e«a  Ipk_2,4.15c
sadvidyÃhamidaædhiyo÷  Ipk_3,1.3d
sa naisargika evÃsti  Ipk_1,6.10a
saptamyartha÷ prakalpyate  Ipk_2,4.15d
samabhittitalopame  Ipk_2,3.15b
samalo vimalo vÃpi  Ipk_1,7.14c
samastasaæpatsamavÃptihetuæ  Ipk_1,1.1c
samullekhÃvabhÃsanÃt  Ipk_1,6.11b
samyagj¤Ãnakriye tathÃ  Ipk_4.15b
sarga÷ spa«ÂÃvabhÃsanÃt  Ipk_4.11b
sarvatrÃbhÃsabhedo 'pi  Ipk_2,1.6a
sarvathÃ tv antarÃlÅnÃ-  Ipk_4.14a
sarvadÃ bhÃtavigrahe  Ipk_2,3.16b
sarvapramitibhÃgini  Ipk_2,3.16d
sarvÃk«agocaratvena  Ipk_3,2.17a
sarvo mamÃyaæ vibhava  Ipk_4.12a
savedyam apavedyaæ ca  Ipk_3,2.15c
sa hi pÆrvÃnubhÆtÃrtho-  Ipk_1,4.1a
sahi«ïor apapÃditÃ  Ipk_2,4.5d
saækaro vi«ayasya tat  Ipk_1,5.3b
saæprÃpyÃnekatÃæ yÃti  Ipk_2,2.2c
saævidÃæ lokapaddhati÷  Ipk_1,8.10b
saævidÃæ veditai«a sa÷  Ipk_1,4.3d
saæsÃrÅ karmabandhana÷  Ipk_3,2.2b
saæskÃrÃt kalpanÃ proktÃ  Ipk_1,6.6c
saæskÃrÃt sm­itisiddhau syÃt  Ipk_1,2.6c
saæskÃrÃt sm­tisaæbhava÷  Ipk_1,2.5b
sÃk«ÃïÃm ÃntarÅ v­tti÷  Ipk_3,2.14a
sÃk«ÃtkÃrak«aïe 'py asti  Ipk_1,5.19a
sÃ tu deÓÃdikÃdhyak«a-  Ipk_2,3.9a
sÃdÃkhyaæ tattvam Ãdita÷  Ipk_3,1.2b
sÃdhanaæ saiva nÃparam  Ipk_1,7.5d
sÃdhÃraïo 'nyathÃ caiÓa÷  Ipk_4.11a
sÃntarviparivartina÷  Ipk_2,4.4b
sÃpi bhinnÃvabhÃsini  Ipk_1,6.6d
sÃpek«Ã÷ kevalaæ kva cit  Ipk_1,8.1b
sÃpy apek«ÃvihÅnÃnÃæ  Ipk_2,4.14c
sÃ bhinnÃbhÃsabhedata÷  Ipk_1,8.6d
sÃbhilÃpaæ vikalpÃkhyaæ  Ipk_1,2.1c
sÃmÃnÃdhikaraïyaæ ca  Ipk_3,1.3c
sÃmÃnÃdhikaraïyena  Ipk_2,3.6c
sÃ sphurattÃ mahÃsattÃ  Ipk_1,5.14a
siddhasyÃnyÃnapek«aïÃt  Ipk_1,2.11b
siddhir nÃpy anumÃnata÷  Ipk_1,5.9d
siddhiæ vÃ vidadhÅta ka÷  Ipk_1,1.2d
siddhe sarvasya jÅvata÷  Ipk_1,6.11d
siddhyet tasyÃghaÂÃtmanÃ  Ipk_1,7.8b
sukhadu÷khÃdiyogata÷  Ipk_3,2.18d
sukhÃdi«u ca saukhyÃdi-  Ipk_1,8.3a
s­«Âi÷ sÃdhÃraïÅ sarva-  Ipk_3,2.17c
s­«Âi÷ svapnapadaæ matam  Ipk_3,2.16d
s­«tes tiÇvÃcyakarmavat  Ipk_1,5.17d
saivam ity api bhedata÷  Ipk_1,4.6b
sai«Ãpy aj¤atayÃ satyai-  Ipk_4.9c
sai«Ã sÃratayÃ proktÃ  Ipk_1,5.14c
so 'ntas tathÃvimarÓÃtmÃ  Ipk_2,3.2a
so 'pi bÃhya÷ p­thakpratha÷  Ipk_1,8.8b
sau«upta[æ] pralayopamam  Ipk_3,2.15b
sau«upte vi«uvatsv iva  Ipk_3,2.19d
sthita eveti niÓcitam  Ipk_1,6.8d
sthitam icchÃvaÓÃd bahi÷  Ipk_1,5.7b
sthita÷ sa smaraïÃdi«u  Ipk_1,6.9d
sthitau rudro 'dhidaivatam  Ipk_3,2.1b
sthirasvÃrthakriyÃkaram  Ipk_2,4.10d
sthÆlasÆk«matvabhedata÷  Ipk_3,1.11d
sparÓo vo«ïÃdiko m­du÷  Ipk_1,7.10b
spa«ÂÃvabhÃsÃ bhÃvÃnÃæ  Ipk_3,2.16c
sphaÂikÃdija¬opama÷  Ipk_1,5.11d
sphuÂam asyopalak«aïÃt  Ipk_1,8.4d
smaratÅty apadiÓyate  Ipk_1,4.1d
smartÃ dra«Âeva kalpita÷  Ipk_1,2.6d
smaryate yad d­g ÃsÅn me  Ipk_1,4.6a
smaryamÃïasya bhÃsanam  Ipk_1,4.3b
sm­titaiva kathaæ tÃvad  Ipk_1,3.4a
sm­tis tadanurodhinÅ  Ipk_1,2.3b
sm­ti÷ kenÃtha yatraivÃ-  Ipk_1,2.4c
sm­tes tadavasÃyata÷  Ipk_1,3.3b
sm­tau pÆrvo 'rthavat p­thak  Ipk_1,4.4b
sm­tau yaiva svasaævitti÷  Ipk_1,7.5a
sm­tyapohanaÓaktimÃn  Ipk_1,3.7d
sm­tyutprek«Ãdigocare  Ipk_4.8d
syÃd aprÃmÃïyavedikÃ  Ipk_1,7.12d
syÃd ekaÓ cidvapur j¤Ãna-  Ipk_1,3.7c
syÃd etad avabhÃse«u  Ipk_1,5.6a
syÃd ghaÂÃghaÂayor dvayo÷  Ipk_1,6.2b
srotasÃæ sÃgare yathÃ  Ipk_2,3.7b
svaj¤Ãnam aghaÂÃtmatÃm  Ipk_1,7.10d
svabhÃvam avabhÃsasya  Ipk_1,5.11a
svalak«aïaæ ghaÂÃbhÃsa-  Ipk_1,4.2c
svaviÓrÃntyuparodhÃyÃ-  Ipk_4.10a
svasaævidekamÃnÃs tÃ  Ipk_1,4.5c
svasaævedanasiddhÃ tu  Ipk_1,7.13c
svasvarÆpÃparij¤Ãna-  Ipk_4.3a
svasvarÆpÃpahÃnita÷  Ipk_3,2.4d
svÃÇgarÆpe«u bhÃve«u  Ipk_3,2.3a
svÃÇgarÆpe«u bhÃve«u  Ipk_4.4a
svÃtantryam etan mukhyaæ  Ipk_1,5.13c
svÃtantryasyÃpy abodhatÃ  Ipk_3,2.4b
svÃtantryahÃnir bodhasya  Ipk_3,2.4a
svÃtantryÃd advayÃtmana÷  Ipk_1,5.16b
svÃtantryÃmuktÃtmÃnaæ  Ipk_1,5.16a
svÃtmani«ÂhÃvirodhinÃm  Ipk_1,7.6b
svÃtmani«ÂhÃ viviktÃbhÃ  Ipk_2,2.4a
svÃtmÃbhedena manyate  Ipk_4.13b
svÃtmeva svÃtmanÃ pÆrïÃ  Ipk_2,1.7c
svÃtmaiva sarvajantÆnÃm  Ipk_4.1a
svÃbhÃso 'bhinavodaya÷  Ipk_2,3.1d
svÃminaÓ cÃtmasaæsthasya  Ipk_1,5.10a
'hantÃ purya«ÂakÃtmikÃ  Ipk_3,2.14d
'haætayÃnÃtmanÅk«ite  Ipk_3,1.8b
h­dayaæ parame«Âhina÷  Ipk_1,5.14d
hetutÃ kart­tÃ kriyÃ  Ipk_2,4.21d
hetutÃ nopapadyate  Ipk_2,4.8d
hetutaikapramÃt­jÃ  Ipk_1,7.4d
hetu«v api ca vastu«u  Ipk_1,8.3b
heyÃ trayÅyaæ prÃïÃde÷  Ipk_3,2.18a
