Yamuna: Samvitsiddhi

Input by Sadanori ISHITOBI


PADA INDEX

___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





acidaæÓavyapohena  YSsi_64a
prakÃÓamÃno nÅlÃdi÷  YSsi_95c
pratij¤Ãæ dÆratas tyaja  YSsi_106d
pratipadyeta tatkatham  YSsi_19b
pratipramÃt­vi«ayaæ  YSsi_88a
pratiprasÆtaæ vyastena  YSsi_120c
pratibhÃsaparÃhatam  YSsi_147b
pratiyogini d­Óye tu  YSsi_171a
pratiyogivyapek«ayÃ  YSsi_179d
pratÅti÷ ÓakyanihnavÃ  YSsi_194b
pratÅter eva sat kiæ na  YSsi_183c
pratyak cit pariÓi«yate  YSsi_65b
pratyaktvenÃÓrayo brahma-  YSsi_115a
pratyak«a iti yo bhrama÷  YSsi_178b
pratyak«apratipak«aæ ca  YSsi_203a
pratyak«asya prapa¤casya  YSsi_181c
pratyak«aæ te (k«yante) tathÃnyebhyo  YSsi_150c
pratyak«ÃdÅni mÃnÃni  YSsi_173a
pratyak«Ãder iti mataæ  YSsi_35c
pratyak«Ãder utÃgamÃt  YSsi_172d
pratyak«ÃnubhavÃpÃrataæ  YSsi_69c
pratyak«eïa pariÓurat  YSsi_179b
pratyak«eïa balÅyasÃ  YSsi_201b
pratyayÃdhÅnatÃ na te  YSsi_109d
prathamaæ yanni«idhyate  YSsi_120b
pradhÃnyena vivak«yate  YSsi_3b
prapa¤caÓ cidacinmaya÷  YSsi_33b
prapa¤casya ca hÅyate  YSsi_191b
prapa¤caæ kecid Æcire  YSsi_41f
prapa¤caæ sÃdhayaty anya÷  YSsi_127c
prapa¤ca÷ saævidÃtmaka÷  YSsi_97d
prapa¤ca÷ sphuÂam a¤cati  YSsi_200d
pralapann iva lak«yase  YSsi_129d
prav­ttibhedÃnumitÃ  YSsi_149c
prasaktaæ pÆrvavat sarvaæ  YSsi_12a
prasÆtivyasanÃd api  YSsi_154b
prÃgatyantÃsator iha  YSsi_50d
prÃgabhÃvÃdisiddhi÷ syÃt,  YSsi_83c
prÃg eva samadÆdu«am  YSsi_35d
prÃtibhÃsikam ekatvaæ  YSsi_147a
prÃmÃïyaæ vyÃvahÃrikam  YSsi_113b
prÃmÃïye 'py anvayÃyogya-  YSsi_182c
prÃyaïÃm narakakleÓÃt  YSsi_154a
phale ca phalino 'bhÃvÃn  YSsi_74c
phenabudbudavipru«a÷  YSsi_23d
bandhe sati nirarthaka÷  YSsi_66d
bahuvrÅhir athocyatÃm  YSsi_2d
bahuvrÅhau samasyati  YSsi_12b
(bÃdhanaæ) tena vÃgabÃdhÃ  YSsi_68c
bÃdhÃn nÃsat kuto jagat ?  YSsi_183d
brahmaïaÓ cetyavasthitam  YSsi_36d
brahmaïaÓ cen na sarvaj¤aæ  YSsi_109a
brahmaïa÷ prathamÃ ye ca  YSsi_12c
brahmaïa÷ sadvitÅyatÃ  YSsi_164d
brahmaïo na viÓe«aïam  YSsi_11b
brahmaïo 'nyasya sadbhÃvaæ  YSsi_1c
brahmaïo 'py atathÃbhÃvas  YSsi_190c
brahma praty advitÅyatvÃt  YSsi_13a
brahma prÃpnoti yasmÃt tad  YSsi_5c
brahmabrahmÃï¬akoÂaya÷  YSsi_21b
brahmavidyÃrjanaÓrama÷  YSsi_134d
brahmasarvaj¤abhÃvasya,  YSsi_109e
brahmasvarÆpam eve«Âaæ,  YSsi_161c
brahmÃï¬am akhilaæ jagat  YSsi_28b
brahmÃtmanÃtmalÃbho 'yaæ  YSsi_33a
brahmÃdvaitadhiyÃ jagat  YSsi_36b
brahmÃnandahradÃnta÷stho÷  YSsi_74a
brahmÃpi na viÓi«yate  YSsi_169d
brahmÃstÅtÅti kÅd­ÓÅ  YSsi_139b
brahmeti yÃvan nirdi«Âaæ  YSsi_162a
brahmety upani«advaca÷  YSsi_1b
brahmaupani«adaæ matam  YSsi_189b
bhavet saraj¤asiddhivat  YSsi_128d
bhaven nÃpi viÓe«aïam  YSsi_15d
bhÃti (ta)smÃd ­te 'pi tat  YSsi_207b
bhÃvÃnÃm evam etayo÷  YSsi_67d
bhÃvinÅty apadiÓyatÃm  YSsi_132b
bhinnÃbhinnatvasambandha-  YSsi_69a
bhinnÃv evÃrkavartinau  YSsi_166b
bhÆtabhautikabhedÃnÃæ  YSsi_172a
bhedavyÃhÃrahetu÷ syÃt  YSsi_179c
bheda÷ parasparÃnÃtmyaæ  YSsi_67c
bheda÷ syÃt tvaætadarthayo÷  YSsi_54f
bhedÃbhedavikalpayo÷  YSsi_68b
bhedÃbhedavikalpas tu  YSsi_66a
bhedÃbhedÃdidustarka-  YSsi_71c
bhedÃbhedÃnirÆpaïÃ  YSsi_98b
bhedÃvabhÃsagabhatvÃd  YSsi_110a
bhedÃvabhÃsagarbhÃÓ ca  YSsi_111c
bhedetaretarÃbhÃva-  YSsi_178c
(bhedo) na kaÓ cakÃstÅti  YSsi_121c
bhogÃ na sm­tigocarÃ÷  YSsi_154d
mataæ prÃg eva dÆ«itam  YSsi_60d
mÃyÃvidyÃdyupÃdhaya÷  YSsi_61b
mÃyÃvidyÃdyupÃdhibhi÷  YSsi_62d
mÃ(yopÃdhau pare) 'dhyastÃ÷  YSsi_59c
mithyÃtvÃl lokavedayo÷  YSsi_34b
mithyÃ vÃ paramÃrtho vÃ  YSsi_184c
mithyendur iva candrata÷  YSsi_199d
mÅmaæsakamatena tu  YSsi_43d
muktasyÃpi bhayaæ bhavet  YSsi_141d
muktÃtmÃ sukham edhate  YSsi_74b
muktÃmuktÃdibhedo hi  YSsi_125a
muktir bhÆtocyate tadvat  YSsi_131c
mukham astÅti yat ki¤cit  YSsi_129c
mÆlakÃraïam eva sat  YSsi_29d
mÆlaæ nÃstÅti cen na tat  YSsi_176b
m­ttikÃlohabÅjÃdi-  YSsi_30c
m­«Ãtve 'py aviruddhatÃ  YSsi_35b
meyamÃt­vibhÃgadhÅ÷  YSsi_152b
meror ivÃïur yasyedaæ  YSsi_28a
(maivaæ smÃrthÃn paribhava÷)  YSsi_201a
mok«asyÃpuru«ÃrthatÃ  YSsi_74d
yata÷ padapadÃrthÃdi  YSsi_96c
yata÷ sÃ kÃraïÃbhÃvÃd  YSsi_145a
yato 'khilaæ jagadvyÃptaæ  YSsi_105c
yato na÷ pratibhÃsante  YSsi_147c
yato nÃnÃ prasajyate  YSsi_97f
yato 'sya vibhavavyÆha-  YSsi_18c
yat tvayÃ paricodita÷  YSsi_66b
yat punar brahmavidyÃtas  YSsi_126a
yatrÃnyan na vijÃnÃti  YSsi_27c
yathÃgrata÷ sthite nÅle  YSsi_174a
yathÃ ca svÃpnamuktyukti-  YSsi_130a
yathÃ colan­pa÷ samrÃ¬-  YSsi_19c
yathÃ tatra Óira÷pÃïi-  YSsi_153a
yathÃ tad eva hastastham  YSsi_136c
yathÃ tanmÃtradhÅr nÃnÃ-  YSsi_180a
yathÃ te«Ãm abhÆtaiva  YSsi_131a
yathÃnumeyÃd vahnyÃder  YSsi_150a
yathÃ pradhÃnasaÇkhyeya-  YSsi_25a
yathÃrthÃ÷, tÃd­ÓÅ na kim  YSsi_111d
(yathÃvasthÃyibhir bÃhyai)r  YSsi_196c
yathÃ viditasaæyoga-  YSsi_71a
yathÃ ÓabdÃntarÃbhyÃsa-  YSsi_111a
yathaika eva savitÃ  YSsi_24a
yathaikatra «a¬aÇgule  YSsi_180d
yadabhÃvÃdirÆpiïÅ  YSsi_103b
yadÃ, tadÃ tadÃyato  YSsi_82a
yadi sarvagatÃ nityÃ  YSsi_90a
yadi svarÆpasaævit sÃ,  YSsi_139c
yad etad aparÃdhÅna-  YSsi_198c
yady aj¤Ãnasya sambhava÷  YSsi_112b
yad yathÃ ki¤cid ucyeta  YSsi_191c
yady ayaæ vividhÃkÃra-  YSsi_97c
yady avidyÃprasÃdaja÷  YSsi_115d
yady ekatraiva vartitÃ  YSsi_167b
yady evam asti brahmeti  YSsi_189a
yadvidyayÃ nirastatvÃn  YSsi_124c
yadvilak«aïÃdijalpitam  YSsi_86b
yan muktir na bhavi«yati  YSsi_133b
yasmÃd ­te yad ÃbhÃti  YSsi_207a
yasminn abhÃsamÃne 'pi  YSsi_199a
yÃ bhÃvÃntaramÃtradhÅ÷  YSsi_171b
yÃ vidyÃphalam i«yate  YSsi_138b
yÃ svarÆpapade sthitÃ  YSsi_138d
yuktyÃ pratyÆhyatÃm iti  YSsi_126d
yugapajjÃyamÃne«u  YSsi_155a
yenÃdvaitÃvirodhina÷  YSsi_160b
yenaivaæ sati hÅyate  YSsi_206d
yenaivaæ sutarÃæ vyartho  YSsi_134c
yeyaæ dhÅr upajÃyate  YSsi_187b
ye yuktiæ prÃrthayÃmahe  YSsi_87d
yo dvitÅyas tu guïyate  YSsi_18b
yo nÃmÃrtho na bhÃsate  YSsi_199b
yo hetus te vivak«ita÷  YSsi_128b
yaugapadyakramÃyogÃdy-  YSsi_177c
rÆpabheda÷ k­tasya 'yaæ  YSsi_115c
rÆpÃdivat, ata÷ saævid-  YSsi_85c
rÆpeïa pratiyogi cet  YSsi_115b
lokayÃtropapadyate  YSsi_156d
vayam aÓraddadhÃnÃ÷ so  YSsi_87c
vastutvaæ sidhyati dhruvam)  YSsi_119b
vastuno dÆ«aïatvena  YSsi_116c
vastusthityÃ na yujyate  YSsi_146b
vÃkyajanyÃ bhavan mate  YSsi_141b
vÃkyasiddhÃ hi te guïÃ÷  YSsi_160d
vÃkyaæ tatsvÃpnamuktyukti-  YSsi_126c
vÃcÃrambhaïamÃtraæ tu  YSsi_29a
vÃcyaikadeÓabhaÇgena  YSsi_55a
vÃdasyeha na sambhava÷  YSsi_46d
vÃmadevaÓukÃdaya÷  YSsi_124b
vikalpabhramavÃraïam  YSsi_72d
vikalpÃdhÃnavibhrama÷  YSsi_71d
vikalpo 'syÃ na yujyate  YSsi_100d
vikÃrajÃtaæ, kÆÂasthaæ  YSsi_29c
vij¤Ãtam akhilaæ bhavet  YSsi_32b
vidyayaivÃdvitÅyayÃ  YSsi_105d
vidyÃto 'rthÃntaraæ cÃsÃv  YSsi_100e
vidyÃphalam upeyate  YSsi_135d
vidyÃbhÃvÃtmike«yate  YSsi_99b
vidyÃ syÃt paramÃrthata÷  YSsi_101d
vinÃÓe neti yan matam  YSsi_60b
vibhÃgo 'sti nidarÓanam  YSsi_166d
vibhinnam iva vibhrÃntaæ  YSsi_62e
vibhutvaikatvanityatÃ÷  YSsi_158b
vibhÆtir na ni«idhyate  YSsi_33d
viruddhaguïasaÇkrÃnter  YSsi_54e
viruddhatvÃd asambhavi  YSsi_38b
viruddhatve dvitÅyena  YSsi_5a
viruddhadvandvasaÇkaÂe  YSsi_41b
viruddhadvandvasaÇkrÃnte÷  YSsi_56c
viruddhadvandvasaÇgatau  YSsi_57b
viruddhadvandvasaÇgame  YSsi_38d
viruddhamitiv­ttaya÷  YSsi_149d
viruddhÃrthÃsÃmarpaïe  YSsi_170b
virodhaparihÃrÃrthaæ  YSsi_41c
virodhena nig­hyase  YSsi_68d
(vivak«År mÃ) sma jÃtucit  YSsi_121d
vivÃdadarÓanÃt te«u;  YSsi_159c
vivÃdÃs te«u vadinÃm  YSsi_164b
vivekÃgrahaïena sa÷  YSsi_178d
viÓi«Âam api cid yadi  YSsi_62b
viÓi«Âaæ ca ... (mataæ tava)  YSsi_62f
viÓe«aïe vÃ ciddhÃtor  YSsi_54c
viÓe«aïe vÃ tad brahama  YSsi_11c
vi«ïor vibhÆtimahima-  YSsi_22c
vism­taæ m­gyate yathÃ  YSsi_136b
v­ttyarthasya na¤arthasya  YSsi_14a
vetÃlavÃhanaæ bhavet  YSsi_134b
vedyatve vedit­tve ca  YSsi_104a
vedyaæ vÃ veditÃtha vÃ  YSsi_103d
vaiyarthyaæ vedalokayo÷  YSsi_163b
vyajyate brahmavidyayÃ  YSsi_137d
vyarthas te muktaye Órama÷  YSsi_123d
vyartho mok«Ãya te Órama÷  YSsi_130d
vyavacchindanti jÃyanta  YSsi_173c
vyavacchindanti bhÃnti na÷  YSsi_183d
vyavacchedanibandhanai÷  YSsi_193b
vyavasthÃ ghaÂate, vitter  YSsi_91c
vyavasthÃm apare jagu÷  YSsi_42d
vyavasthitaæ nirastatvÃd  YSsi_46c
vyavaharyaæ kathaæ bhavet)  YSsi_118b
vyavahÃravad i«yate  YSsi_118d
vyavahÃrÃÓ ca tatk­tÃ÷  YSsi_148b
vyavahÃrÃÓ ca niyata÷  YSsi_175c
vyavahÃrÃs tu lupyeran  YSsi_34c
vyavahÃro 'valupyeta  YSsi_151c
vyÃvahÃrikasatyatvÃn  YSsi_35a
vyÃhate bhavatÃæ mate  YSsi_129b
vyÃhanyeta samÅhitam  YSsi_97b
vyomavad vaibhavÃÓrayÃt  YSsi_91d
ÓabdÃdigrahaïaæ bhavet  YSsi_93b
Óira÷pÃïyÃdibhedata÷  YSsi_152d
Óukasya brahmavidyayÃ  YSsi_123b
ÓokamohÃdaya÷ puna÷  YSsi_59d
ÓraddadhÃne«u Óobhate  YSsi_87b
Órutidaï¬ena dustarka-  YSsi_72c
Órutipratyak«amÆlake  YSsi_72b
Órutir atyartham ÃdarÃt  YSsi_73b
Óruter artho 'yam ucyate  YSsi_17b
ÓrutyÃ cÃpy anumodita÷  YSsi_16d
Óvetaketum upÃdÃya  YSsi_51a
«a«ÂhaprapÃÂake tasya  YSsi_51c
«a«ÂhÅ yasyeti yujyate  YSsi_14d
sa eva hetus tasyÃpi  YSsi_128c
saÇkhyÃ p­thaksatÅ tatra  YSsi_25c
saÇkhyÃyÃæ naiva gaïyate  YSsi_25b
saÇkhyeyÃnyapadÃrthavat  YSsi_25d
saÇgÃdyekanibandhanÃm  YSsi_157d
sajÃtÅyavijÃtÅya-  YSsi_193a
sa¤khyÃdyÃ÷ ÓÃstrabhedakÃ÷  YSsi_111b
sata evopapadyate  YSsi_47b
sata÷ sattvaæ sadÃ bhavet  YSsi_48b
sati pu«kalakÃreïa  YSsi_142b
satkak«ÃntarniveÓyate  YSsi_49b
sattvaprÃptiæ purask­tya  YSsi_40a
sattvÃsattvÃæÓabhaÇgata÷  YSsi_41d
sattvÃsattve vibhÃgena  YSsi_42a
sattve sat sadvitÅyaæ syÃj  YSsi_168c
satyatvaæ durapahnavam  YSsi_185b
saty arthÃntarasambandhe  YSsi_14c
satyaæ pratÅtir asaty asyÃ  YSsi_176a
satyÃdilak«aïoktÅnÃm  YSsi_9c
sadadvaitaæ prasajyate  YSsi_188d
sadasattvavikalpanam  YSsi_69b
sadasattvaæ ghaÂÃdi«u  YSsi_46b
sadasattvaæ tathaikasya  YSsi_38a
sadasattvaæ prapa¤casya  YSsi_39c
sadasatpratyayaprÃpta-  YSsi_38c
sadasatpratyayaprÃpta-  YSsi_41a
sadasadbhyÃm anirvÃcyaæ  YSsi_41e
sadasadbhyÃæ vilak«aïam  YSsi_188f
sadasadvyatirekokti÷  YSsi_169a
sadasadvyatirekokti÷  YSsi_191a
sadasadvyatirrekitÃ  YSsi_172b
sadÃ sattvaæ prapa¤casya  YSsi_40c
sadÃ sann abhyupeyatÃm  YSsi_49f
sad iti pratipadyate  YSsi_114d
sad­Óaæ vÃtra vakti sa÷  YSsi_8d
sad­ÓÅ tadvimuktibhÅ÷  YSsi_130b
sadbhis te sadvitÅyatÃ  YSsi_171d
santi ca svapnad­«ÂÃni  YSsi_132c
santo vÃ, nobhaye 'pi vÃ  YSsi_168b
sannnidhÅtarakÃritÃ  YSsi_91b
sa bhÆmod aram antaram  YSsi_27d
samaye nÃvabhÃti cet  YSsi_78b
samastena na¤Ã vastu  YSsi_120a
samÃsa÷ ko vivak«ita÷  YSsi_2b
samÃse saæÓrite sati  YSsi_13d
samudradrapsavipra«a÷  YSsi_22d
samudrÃn saptasaÇkhyayÃ  YSsi_23b
samo vÃbhyadhiko vÃsya  YSsi_18a
sambandhivyaÇgyabhedasya  YSsi_89a
sambandhe 'py ak«agocare  YSsi_71b
sambandho dvyÃÓrayas tasmÃt  YSsi_48a
sarvaj¤atvÃdivacana-  YSsi_113a
sarvaj¤as satyasaÇkalpo  YSsi_52c
sarvaj¤e nityamukte 'pi  YSsi_112a
sarvasyaiva ni«edhakam  YSsi_7b
sarvasyaivopalak«aïam  YSsi_7d
sarvaæ nÃma na ki¤cana  YSsi_94b
sarvaæ saævedanÃspadam  YSsi_197d
sarvÃïy eva pramÃïÃni  YSsi_183a
sarve laukikavaidikÃ÷  YSsi_175d
sarve«Ãm atmasÃk«ikam  YSsi_202d
sarvo laukikavaidika÷  YSsi_151d
sahabhÃvo dvayor yata÷  YSsi_204b
sahopalambhaniyamÃn  YSsi_198a
sahopalambhaniyamo  YSsi_197a
saæyogecchÃdikasya na÷  YSsi_89b
saærak«yamÃïabhedÃs te  YSsi_201c
saævit kiæ saiva kiæ vÃhaæ  YSsi_139a
saævittir vyaktir i«yate  YSsi_140b
saævitpu«kalakÃraïam  YSsi_144d
saævidas te 'dvitÅyatÃm  YSsi_158d
saævid eva na te dharmÃ÷,  YSsi_159a
saævid evÃbhyupeyate  YSsi_90b
saævid eveti cet tasyÃ  YSsi_104e
saævido 'pi yad Å«yate  YSsi_106b
saævido vÃ na bhidyate  YSsi_95d
saævido 'sti na vÃ tvayÃ  YSsi_195b
saæÓaye samupasthite  YSsi_43b
saæsaranta÷ sahasraÓa÷  YSsi_147d
saæsÃriïas tathÃbhÃvo  YSsi_137c
saæsÃriïas tadÃstÅti  YSsi_144e
sÃÇkhyÃs tu pratipÃdire  YSsi_40d
sÃ ced asti tasyÃ mÆlaæ  YSsi_176c
sÃ ced ekÃ, tatas saikÃ  YSsi_123a
sÃ tadÃ tasya nÃbhÃvaæ  YSsi_187c
sÃdhvÅ bhedÃnirÆpaïÃ  YSsi_100b
sÃ na ki¤cin niyacchati  YSsi_99d
sÃpi saævit tad Ãtmeti  YSsi_97e
sÃ vidyÃ kiæ nu saævittir  YSsi_103c
sÃ sattÃ na svatantrÃnyÃ  YSsi_193e
sÃ sphuraty eva tu sphuÂam  YSsi_78d
sÃ hi nyÃyÃnalasp­«ÂÃ  YSsi_98c
siddhÃyÃm api saævidi  YSsi_159b
sukhadu÷khÃdivad dhiya÷  YSsi_88d
(sukhadu÷khÃdi«u sphuÂa÷)  YSsi_155b
saiva ced bhÃsate 'nyac cen  YSsi_79e
saiva tasyÃ÷ phalaæ katham  YSsi_140d
saivÃbhÃva itÅhÃpi  YSsi_171c
so 'yaæ gaur iti yujyate  YSsi_56d
so 'yaæ gaur itivat tattvaæ  YSsi_55c
sphaÂike dhavale mati÷  YSsi_174d
syÃd eva yugapatsattvam  YSsi_44c
syÃn mataæ naiva te santi  YSsi_124a
svacchacinmÃtrasantati÷  YSsi_205b
svatas tÃvan na yujyate  YSsi_83d
svato vÃ parato 'pi vÃ  YSsi_83b
svanimittaprakÃÓasya  YSsi_84c
svani«ÂhatvÃn na¤arthasya  YSsi_10c
svapnav­ttivilak«aïÃ÷  YSsi_148d
svaprakÃÓasya cidchÃtor  YSsi_138c
svaprakÃÓasya ciddhÃtor  YSsi_57a
svaprakÃÓaæ tad eva hi  YSsi_198d
svaprakÃÓe cidÃtmani  YSsi_58b
svapramÃïabalÃt siddha÷  YSsi_16c
svayamprakÃÓatÃÓabdam  YSsi_198e
svarÆpam abhyupetyaiva  YSsi_68a
svarÆpam eva bhÃvÃbÃæ  YSsi_179a
svarÆpaæ na sp­Óanti kim  YSsi_63b
svarÆpÃnavabodhata÷  YSsi_137b
svavÃgbÃdhasya jalpitam  YSsi_206b
svaÓarÅre 'pi tatprÃpte÷  YSsi_152c
(svasÃdhyasya puraskÃrÃd)  YSsi_117a
svasthÃs ti«Âhanty abÃdhitÃ÷  YSsi_13b
svasmin sati viruddhatvÃd  YSsi_84a
svasyÃbhÃve 'py asambhavÃt  YSsi_84d
svasvasvapnaikadarÓina÷  YSsi_157b
svaæ svam arthaæ yathÃyatham  YSsi_173b
svaæ svam arthaæ yathoditam  YSsi_183b
svÃtmanÃ saha bhÃsate  YSsi_204d
svÃpÃdau bhÃsate, naivam  YSsi_205c
svÃrthÃs ti«Âhanty abÃdhitÃ÷  YSsi_6d
svÃvidyÃparikalpitam  YSsi_127b
svÃÓrayÅbhÆtavastuno÷  YSsi_67b
svai÷ svair vyavasthitai rÆpai÷  YSsi_193c
hanta keyam abhivyaktir  YSsi_138a
hanta brahmopadeÓo 'yaæ  YSsi_87a
hantaivaæ saty avidyaiva  YSsi_101c
hastastham eva hemÃdi  YSsi_136a
hlasvadÅrghatvabhedÃ vÃ  YSsi_180c
