Yamuna: Samvitsiddhi

Input by Sadanori ISHITOBI


PADA INDEX

___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




acidaü÷avyapohena  YSsi_64a
brahmaõa÷ cetyavasthitam  YSsi_36d
brahmaõa÷ cen na sarvaj¤aü  YSsi_109a
brahmaõaþ prathamà ye ca  YSsi_12c
brahmaõaþ sadvitãyatà  YSsi_164d
brahmaõo na vi÷eùaõam  YSsi_11b
brahmaõo 'nyasya sadbhàvaü  YSsi_1c
brahmaõo 'py atathàbhàvas  YSsi_190c
brahma praty advitãyatvàt  YSsi_13a
brahma pràpnoti yasmàt tad  YSsi_5c
brahmabrahmàõóakoñayaþ  YSsi_21b
brahmavidyàrjana÷ramaþ  YSsi_134d
brahmasarvaj¤abhàvasya,  YSsi_109e
brahmasvaråpam eveùñaü,  YSsi_161c
brahmàõóam akhilaü jagat  YSsi_28b
brahmàtmanàtmalàbho 'yaü  YSsi_33a
brahmàdvaitadhiyà jagat  YSsi_36b
brahmànandahradàntaþsthoþ  YSsi_74a
brahmàpi na vi÷iùyate  YSsi_169d
brahmàstãtãti kãdç÷ã  YSsi_139b
brahmeti yàvan nirdiùñaü  YSsi_162a
brahmety upaniùadvacaþ  YSsi_1b
brahmaupaniùadaü matam  YSsi_189b
bhavet saraj¤asiddhivat  YSsi_128d
bhaven nàpi vi÷eùaõam  YSsi_15d
bhàti (ta)smàd çte 'pi tat  YSsi_207b
bhàvànàm evam etayoþ  YSsi_67d
bhàvinãty apadi÷yatàm  YSsi_132b
bhinnàbhinnatvasambandha-  YSsi_69a
bhinnàv evàrkavartinau  YSsi_166b
bhåtabhautikabhedànàü  YSsi_172a
bhedavyàhàrahetuþ syàt  YSsi_179c
bhedaþ parasparànàtmyaü  YSsi_67c
bhedaþ syàt tvaütadarthayoþ  YSsi_54f
bhedàbhedavikalpayoþ  YSsi_68b
bhedàbhedavikalpas tu  YSsi_66a
bhedàbhedàdidustarka-  YSsi_71c
bhedàbhedàniråpaõà  YSsi_98b
bhedàvabhàsagabhatvàd  YSsi_110a
bhedàvabhàsagarbhà÷ ca  YSsi_111c
bhedetaretaràbhàva-  YSsi_178c
(bhedo) na ka÷ cakàstãti  YSsi_121c
bhogà na smçtigocaràþ  YSsi_154d
mataü pràg eva dåùitam  YSsi_60d
màyàvidyàdyupàdhayaþ  YSsi_61b
màyàvidyàdyupàdhibhiþ  YSsi_62d
mà(yopàdhau pare) 'dhyastàþ  YSsi_59c
mithyàtvàl lokavedayoþ  YSsi_34b
mithyà và paramàrtho và  YSsi_184c
mithyendur iva candrataþ  YSsi_199d
mãmaüsakamatena tu  YSsi_43d
muktasyàpi bhayaü bhavet  YSsi_141d
muktàtmà sukham edhate  YSsi_74b
muktàmuktàdibhedo hi  YSsi_125a
muktir bhåtocyate tadvat  YSsi_131c
mukham astãti yat ki¤cit  YSsi_129c
målakàraõam eva sat  YSsi_29d
målaü nàstãti cen na tat  YSsi_176b
mçttikàlohabãjàdi-  YSsi_30c
mçùàtve 'py aviruddhatà  YSsi_35b
meyamàtçvibhàgadhãþ  YSsi_152b
meror ivàõur yasyedaü  YSsi_28a
(maivaü smàrthàn paribhavaþ)  YSsi_201a
mokùasyàpuruùàrthatà  YSsi_74d
yataþ padapadàrthàdi  YSsi_96c
yataþ sà kàraõàbhàvàd  YSsi_145a
yato 'khilaü jagadvyàptaü  YSsi_105c
yato naþ pratibhàsante  YSsi_147c
yato nànà prasajyate  YSsi_97f
yato 'sya vibhavavyåha-  YSsi_18c
yat tvayà paricoditaþ  YSsi_66b
yat punar brahmavidyàtas  YSsi_126a
yatrànyan na vijànàti  YSsi_27c
yathàgrataþ sthite nãle  YSsi_174a
yathà ca svàpnamuktyukti-  YSsi_130a
yathà colançpaþ samràó-  YSsi_19c
yathà tatra ÷iraþpàõi-  YSsi_153a
yathà tad eva hastastham  YSsi_136c
yathà tanmàtradhãr nànà-  YSsi_180a
yathà teùàm abhåtaiva  YSsi_131a
yathànumeyàd vahnyàder  YSsi_150a
yathà pradhànasaïkhyeya-  YSsi_25a
yathàrthàþ, tàdç÷ã na kim  YSsi_111d
(yathàvasthàyibhir bàhyai)r  YSsi_196c
yathà viditasaüyoga-  YSsi_71a
yathà ÷abdàntaràbhyàsa-  YSsi_111a
yathaika eva savità  YSsi_24a
yathaikatra ùaóaïgule  YSsi_180d
yadabhàvàdiråpiõã  YSsi_103b
yadà, tadà tadàyato  YSsi_82a
yadi sarvagatà nityà  YSsi_90a
yadi svaråpasaüvit sà,  YSsi_139c
yad etad aparàdhãna-  YSsi_198c
yady aj¤ànasya sambhavaþ  YSsi_112b
yad yathà ki¤cid ucyeta  YSsi_191c
yady ayaü vividhàkàra-  YSsi_97c
yady avidyàprasàdajaþ  YSsi_115d
yady ekatraiva vartità  YSsi_167b
yady evam asti brahmeti  YSsi_189a
yadvidyayà nirastatvàn  YSsi_124c
yadvilakùaõàdijalpitam  YSsi_86b
yan muktir na bhaviùyati  YSsi_133b
yasmàd çte yad àbhàti  YSsi_207a
yasminn abhàsamàne 'pi  YSsi_199a
yà bhàvàntaramàtradhãþ  YSsi_171b
yà vidyàphalam iùyate  YSsi_138b
yà svaråpapade sthità  YSsi_138d
yuktyà pratyåhyatàm iti  YSsi_126d
yugapajjàyamàneùu  YSsi_155a
yenàdvaitàvirodhinaþ  YSsi_160b
yenaivaü sati hãyate  YSsi_206d
yenaivaü sutaràü vyartho  YSsi_134c
yeyaü dhãr upajàyate  YSsi_187b
ye yuktiü pràrthayàmahe  YSsi_87d
yo dvitãyas tu guõyate  YSsi_18b
yo nàmàrtho na bhàsate  YSsi_199b
yo hetus te vivakùitaþ  YSsi_128b
yaugapadyakramàyogàdy-  YSsi_177c
råpabhedaþ kçtasya 'yaü  YSsi_115c
råpàdivat, ataþ saüvid-  YSsi_85c
råpeõa pratiyogi cet  YSsi_115b
lokayàtropapadyate  YSsi_156d
vayam a÷raddadhànàþ so  YSsi_87c
vastutvaü sidhyati dhruvam)  YSsi_119b
vastuno dåùaõatvena  YSsi_116c
vastusthityà na yujyate  YSsi_146b
vàkyajanyà bhavan mate  YSsi_141b
vàkyasiddhà hi te guõàþ  YSsi_160d
vàkyaü tatsvàpnamuktyukti-  YSsi_126c
vàcàrambhaõamàtraü tu  YSsi_29a
vàcyaikade÷abhaïgena  YSsi_55a
vàdasyeha na sambhavaþ  YSsi_46d
vàmadeva÷ukàdayaþ  YSsi_124b
vikalpabhramavàraõam  YSsi_72d
vikalpàdhànavibhramaþ  YSsi_71d
vikalpo 'syà na yujyate  YSsi_100d
vikàrajàtaü, kåñasthaü  YSsi_29c
vij¤àtam akhilaü bhavet  YSsi_32b
vidyayaivàdvitãyayà  YSsi_105d
vidyàto 'rthàntaraü càsàv  YSsi_100e
vidyàphalam upeyate  YSsi_135d
vidyàbhàvàtmikeùyate  YSsi_99b
vidyà syàt paramàrthataþ  YSsi_101d
vinà÷e neti yan matam  YSsi_60b
vibhàgo 'sti nidar÷anam  YSsi_166d
vibhinnam iva vibhràntaü  YSsi_62e
vibhutvaikatvanityatàþ  YSsi_158b
vibhåtir na niùidhyate  YSsi_33d
viruddhaguõasaïkrànter  YSsi_54e
viruddhatvàd asambhavi  YSsi_38b
viruddhatve dvitãyena  YSsi_5a
viruddhadvandvasaïkañe  YSsi_41b
viruddhadvandvasaïkrànteþ  YSsi_56c
viruddhadvandvasaïgatau  YSsi_57b
viruddhadvandvasaïgame  YSsi_38d
viruddhamitivçttayaþ  YSsi_149d
viruddhàrthàsàmarpaõe  YSsi_170b
virodhaparihàràrthaü  YSsi_41c
virodhena nigçhyase  YSsi_68d
(vivakùãr mà) sma jàtucit  YSsi_121d
vivàdadar÷anàt teùu;  YSsi_159c
vivàdàs teùu vadinàm  YSsi_164b
vivekàgrahaõena saþ  YSsi_178d
vi÷iùñam api cid yadi  YSsi_62b
vi÷iùñaü ca ... (mataü tava)  YSsi_62f
vi÷eùaõe và ciddhàtor  YSsi_54c
vi÷eùaõe và tad brahama  YSsi_11c
viùõor vibhåtimahima-  YSsi_22c
vismçtaü mçgyate yathà  YSsi_136b
vçttyarthasya na¤arthasya  YSsi_14a
vetàlavàhanaü bhavet  YSsi_134b
vedyatve veditçtve ca  YSsi_104a
vedyaü và veditàtha và  YSsi_103d
vaiyarthyaü vedalokayoþ  YSsi_163b
vyajyate brahmavidyayà  YSsi_137d
vyarthas te muktaye ÷ramaþ  YSsi_123d
vyartho mokùàya te ÷ramaþ  YSsi_130d
vyavacchindanti jàyanta  YSsi_173c
vyavacchindanti bhànti naþ  YSsi_183d
vyavacchedanibandhanaiþ  YSsi_193b
vyavasthà ghañate, vitter  YSsi_91c
vyavasthàm apare jaguþ  YSsi_42d
vyavasthitaü nirastatvàd  YSsi_46c
vyavaharyaü kathaü bhavet)  YSsi_118b
vyavahàravad iùyate  YSsi_118d
vyavahàrà÷ ca tatkçtàþ  YSsi_148b
vyavahàrà÷ ca niyataþ  YSsi_175c
vyavahàràs tu lupyeran  YSsi_34c
vyavahàro 'valupyeta  YSsi_151c
vyàvahàrikasatyatvàn  YSsi_35a
vyàhate bhavatàü mate  YSsi_129b
vyàhanyeta samãhitam  YSsi_97b
vyomavad vaibhavà÷rayàt  YSsi_91d
÷abdàdigrahaõaü bhavet  YSsi_93b
÷iraþpàõyàdibhedataþ  YSsi_152d
÷ukasya brahmavidyayà  YSsi_123b
÷okamohàdayaþ punaþ  YSsi_59d
÷raddadhàneùu ÷obhate  YSsi_87b
÷rutidaõóena dustarka-  YSsi_72c
÷rutipratyakùamålake  YSsi_72b
÷rutir atyartham àdaràt  YSsi_73b
÷ruter artho 'yam ucyate  YSsi_17b
÷rutyà càpy anumoditaþ  YSsi_16d
÷vetaketum upàdàya  YSsi_51a
ùaùñhaprapàñake tasya  YSsi_51c
ùaùñhã yasyeti yujyate  YSsi_14d
sa eva hetus tasyàpi  YSsi_128c
saïkhyà pçthaksatã tatra  YSsi_25c
saïkhyàyàü naiva gaõyate  YSsi_25b
saïkhyeyànyapadàrthavat  YSsi_25d
saïgàdyekanibandhanàm  YSsi_157d
sajàtãyavijàtãya-  YSsi_193a
sa¤khyàdyàþ ÷àstrabhedakàþ  YSsi_111b
sata evopapadyate  YSsi_47b
sataþ sattvaü sadà bhavet  YSsi_48b
sati puùkalakàreõa  YSsi_142b
satkakùàntarnive÷yate  YSsi_49b
sattvapràptiü puraskçtya  YSsi_40a
sattvàsattvàü÷abhaïgataþ  YSsi_41d
sattvàsattve vibhàgena  YSsi_42a
sattve sat sadvitãyaü syàj  YSsi_168c
satyatvaü durapahnavam  YSsi_185b
saty arthàntarasambandhe  YSsi_14c
satyaü pratãtir asaty asyà  YSsi_176a
satyàdilakùaõoktãnàm  YSsi_9c
sadadvaitaü prasajyate  YSsi_188d
sadasattvavikalpanam  YSsi_69b
sadasattvaü ghañàdiùu  YSsi_46b
sadasattvaü tathaikasya  YSsi_38a
sadasattvaü prapa¤casya  YSsi_39c
sadasatpratyayapràpta-  YSsi_38c
sadasatpratyayapràpta-  YSsi_41a
sadasadbhyàm anirvàcyaü  YSsi_41e
sadasadbhyàü vilakùaõam  YSsi_188f
sadasadvyatirekoktiþ  YSsi_169a
sadasadvyatirekoktiþ  YSsi_191a
sadasadvyatirrekità  YSsi_172b
sadà sattvaü prapa¤casya  YSsi_40c
sadà sann abhyupeyatàm  YSsi_49f
sad iti pratipadyate  YSsi_114d
sadç÷aü vàtra vakti saþ  YSsi_8d
sadç÷ã tadvimuktibhãþ  YSsi_130b
sadbhis te sadvitãyatà  YSsi_171d
santi ca svapnadçùñàni  YSsi_132c
santo và, nobhaye 'pi và  YSsi_168b
sannnidhãtarakàrità  YSsi_91b
sa bhåmod aram antaram  YSsi_27d
samaye nàvabhàti cet  YSsi_78b
samastena na¤à vastu  YSsi_120a
samàsaþ ko vivakùitaþ  YSsi_2b
samàse saü÷rite sati  YSsi_13d
samudradrapsavipraùaþ  YSsi_22d
samudràn saptasaïkhyayà  YSsi_23b
samo vàbhyadhiko vàsya  YSsi_18a
sambandhivyaïgyabhedasya  YSsi_89a
sambandhe 'py akùagocare  YSsi_71b
sambandho dvyà÷rayas tasmàt  YSsi_48a
sarvaj¤atvàdivacana-  YSsi_113a
sarvaj¤as satyasaïkalpo  YSsi_52c
sarvaj¤e nityamukte 'pi  YSsi_112a
sarvasyaiva niùedhakam  YSsi_7b
sarvasyaivopalakùaõam  YSsi_7d
sarvaü nàma na ki¤cana  YSsi_94b
sarvaü saüvedanàspadam  YSsi_197d
sarvàõy eva pramàõàni  YSsi_183a
sarve laukikavaidikàþ  YSsi_175d
sarveùàm atmasàkùikam  YSsi_202d
sarvo laukikavaidikaþ  YSsi_151d
sahabhàvo dvayor yataþ  YSsi_204b
sahopalambhaniyamàn  YSsi_198a
sahopalambhaniyamo  YSsi_197a
saüyogecchàdikasya naþ  YSsi_89b
saürakùyamàõabhedàs te  YSsi_201c
saüvit kiü saiva kiü vàhaü  YSsi_139a
saüvittir vyaktir iùyate  YSsi_140b
saüvitpuùkalakàraõam  YSsi_144d
saüvidas te 'dvitãyatàm  YSsi_158d
saüvid eva na te dharmàþ,  YSsi_159a
saüvid evàbhyupeyate  YSsi_90b
saüvid eveti cet tasyà  YSsi_104e
saüvido 'pi yad ãùyate  YSsi_106b
saüvido và na bhidyate  YSsi_95d
saüvido 'sti na và tvayà  YSsi_195b
saü÷aye samupasthite  YSsi_43b
saüsarantaþ sahasra÷aþ  YSsi_147d
saüsàriõas tathàbhàvo  YSsi_137c
saüsàriõas tadàstãti  YSsi_144e
sàïkhyàs tu pratipàdire  YSsi_40d
sà ced asti tasyà målaü  YSsi_176c
sà ced ekà, tatas saikà  YSsi_123a
sà tadà tasya nàbhàvaü  YSsi_187c
sàdhvã bhedàniråpaõà  YSsi_100b
sà na ki¤cin niyacchati  YSsi_99d
sàpi saüvit tad àtmeti  YSsi_97e
sà vidyà kiü nu saüvittir  YSsi_103c
sà sattà na svatantrànyà  YSsi_193e
sà sphuraty eva tu sphuñam  YSsi_78d
sà hi nyàyànalaspçùñà  YSsi_98c
siddhàyàm api saüvidi  YSsi_159b
sukhaduþkhàdivad dhiyaþ  YSsi_88d
(sukhaduþkhàdiùu sphuñaþ)  YSsi_155b
saiva ced bhàsate 'nyac cen  YSsi_79e
saiva tasyàþ phalaü katham  YSsi_140d
saivàbhàva itãhàpi  YSsi_171c
so 'yaü gaur iti yujyate  YSsi_56d
so 'yaü gaur itivat tattvaü  YSsi_55c
sphañike dhavale matiþ  YSsi_174d
syàd eva yugapatsattvam  YSsi_44c
syàn mataü naiva te santi  YSsi_124a
svacchacinmàtrasantatiþ  YSsi_205b
svatas tàvan na yujyate  YSsi_83d
svato và parato 'pi và  YSsi_83b
svanimittaprakà÷asya  YSsi_84c
svaniùñhatvàn na¤arthasya  YSsi_10c
svapnavçttivilakùaõàþ  YSsi_148d
svaprakà÷asya cidchàtor  YSsi_138c
svaprakà÷asya ciddhàtor  YSsi_57a
svaprakà÷aü tad eva hi  YSsi_198d
svaprakà÷e cidàtmani  YSsi_58b
svapramàõabalàt siddhaþ  YSsi_16c
svayamprakà÷atà÷abdam  YSsi_198e
svaråpam abhyupetyaiva  YSsi_68a
svaråpam eva bhàvàbàü  YSsi_179a
svaråpaü na spç÷anti kim  YSsi_63b
svaråpànavabodhataþ  YSsi_137b
svavàgbàdhasya jalpitam  YSsi_206b
sva÷arãre 'pi tatpràpteþ  YSsi_152c
(svasàdhyasya puraskàràd)  YSsi_117a
svasthàs tiùñhanty abàdhitàþ  YSsi_13b
svasmin sati viruddhatvàd  YSsi_84a
svasyàbhàve 'py asambhavàt  YSsi_84d
svasvasvapnaikadar÷inaþ  YSsi_157b
svaü svam arthaü yathàyatham  YSsi_173b
svaü svam arthaü yathoditam  YSsi_183b
svàtmanà saha bhàsate  YSsi_204d
svàpàdau bhàsate, naivam  YSsi_205c
svàrthàs tiùñhanty abàdhitàþ  YSsi_6d
svàvidyàparikalpitam  YSsi_127b
svà÷rayãbhåtavastunoþ  YSsi_67b
svaiþ svair vyavasthitai råpaiþ  YSsi_193c
hanta keyam abhivyaktir  YSsi_138a
hanta brahmopade÷o 'yaü  YSsi_87a
hantaivaü saty avidyaiva  YSsi_101c
hastastham eva hemàdi  YSsi_136a
hlasvadãrghatvabhedà và  YSsi_180c
