Vahata:
Astanganighantu
Based on the edition by Priya Vat Sharma,
Madras: The Kuppuswamy Sastri Research Institute, 1973


Input by Oliver Hellwig


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



Vàhaña: Aùñàïganighaõñu

akçùñapacyo nãvàraþ  VAnigh_334a
jàmbånadaü hiraõyaü ca  VAnigh_306a
jàlavçkùo duùpradharùaþ  VAnigh_97c
jàlàrir meha÷atru÷ ca  VAnigh_244a
jàlinã kçtavedhanaþ  VAnigh_241b
jiïgiõã jhiïgiõã j¤eyà  VAnigh_116a
jiïgiõãsaralakañphalayuktàþ  VAnigh_113b
jihmagaþ pavanà÷anaþ  VAnigh_361d
jihvà làïgalikà smçtà  VAnigh_124d
jãrakahiïguvióaïgaü pa÷ugandhà pa¤cakolakaü hanti  VAnigh_144/a
jãraõà kàrabhã yoni-  VAnigh_34c
jãvakaþ kårcanibhas tu  VAnigh_16c
jãvanaü bhuvanaü vanam  VAnigh_323d
jãvantiko rakta÷àkaþ  VAnigh_261c
jãvantã jãvanã jãvà  VAnigh_15c
jãvantã tintióã smçtà  VAnigh_260b
jãvavçkùas tu pà÷ikaþ  VAnigh_204b
juùño 'sau dhanasaüyutaþ  VAnigh_407b
joïgakaþ ÷ãta÷amano  VAnigh_87a
j¤eyaü vàriprasàdanam  VAnigh_53d
j¤eyaþ kaõñakãkiü÷ukaþ  VAnigh_212b
j¤eyaþ kukkuñapàdikaþ  VAnigh_242d
j¤eyà karkaña÷çïgikà  VAnigh_45b
j¤eyà pàùàõabhedikà  VAnigh_107b
j¤eyà badarikàparõã  VAnigh_229a
j¤eyo nàgahanus tathà  VAnigh_187b
j¤eyo madhålasaüj¤o 'pi  VAnigh_27a
j¤eyo meùavilocanaþ  VAnigh_234b
j¤eyo yamalapattrakaþ  VAnigh_215b
jyotiùmatã kaïguõikà  VAnigh_225c
jyotiùmatã pãtatailà  VAnigh_126c
jhillikà ghargharasvanà  VAnigh_370b
óolàphalas tãkùõasàro  VAnigh_26a
takkàrã vaijayantikà  VAnigh_94b
tagaraü råpya÷atrukaþ  VAnigh_307d
taõóulãyo meghanàdaþ  VAnigh_262a
tat kiññaü syàd ayomalam  VAnigh_309d
tathà gandhotkaño muniþ  VAnigh_322d
tathà cà÷vagavedhukà  VAnigh_11b
tathà puùpàvarodhikà  VAnigh_161d
tathà bhåmipari÷rayà  VAnigh_134b
tathàraõyakulatthikà  VAnigh_230b
tathekùukusuma÷ ca saþ  VAnigh_237d
tathaivà¤jalikàrikà  VAnigh_161b
tapanãyaü ca kà¤canam  VAnigh_306b
tamastu ràhuþ svarbhànuþ  VAnigh_389c
tamàlaü roma÷ãphalam  VAnigh_185b
taruõã puùpavaty api  VAnigh_235d
talàñà sthåladantikà  VAnigh_363d
tavakùãrã tuùà ÷ubhrà  VAnigh_44c
tàóapattrã musaly api  VAnigh_236d
tàóas tàlo dãrghatarus  VAnigh_86a
tàny uktàny abhidhãyante  VAnigh_202c
tàpãsamudbhavaü tàpyaü  VAnigh_295c
tàmrapuùpo yugacchadaþ  VAnigh_220b
tàmramaudumbaraü ÷ulbaü  VAnigh_306c
tàmravarõo 'nilàpahà  VAnigh_338d
tàmràbho hariõaþ kçùõas  VAnigh_348a
tàmrà yojanavally api  VAnigh_159b
tàlamàmalakãdalam  VAnigh_285b
tàlã÷apattraü tàlã÷aü  VAnigh_285a
tiktà ca kañukà j¤eyà  VAnigh_167c
tintióãkas tu vçkùàmlo  VAnigh_221a
tindukã viralà smçtà  VAnigh_177b
tirãñaþ paññikàhvayaþ  VAnigh_115b
tilakaþ pårõakaþ ÷rãmàn  VAnigh_319c
tilajaü tilasambhavam  VAnigh_328b
tilaparõã ca sà smçtà  VAnigh_264d
tilaþ snehaphalaþ sneha-  VAnigh_340c
tilà kañvã matsyapittà  VAnigh_38c
tilàkhyà phalanàbhikà  VAnigh_256b
tilvakaþ ÷ikharã ÷veta-  VAnigh_199c
tãkùõagandhaþ sugandhikaþ  VAnigh_132b
tãkùõapattraþ kutumburuþ  VAnigh_249b
tãkùõapattrà marudbhavà  VAnigh_165d
tãkùõavçkùaþ ÷aõaþ pãluþ  VAnigh_201c
tãkùõàkhyaü såkùmalohakam  VAnigh_311b
tuïgadruþ kårca÷ekharaþ  VAnigh_269b
tuïgàkhyo raktakesaraþ  VAnigh_162b
tumbikà tiktabãjakà  VAnigh_259d
tumburus tãkùõavalka÷ ca  VAnigh_249a
turyatuõóã ÷ilàcchedã  VAnigh_277a
tulyas tu rasavãryataþ  VAnigh_27d
tuùodaü tu tuùodakam  VAnigh_331d
tçõaràjas tribãjakaþ  VAnigh_86b
tçõmåtràmayavàtajit  VAnigh_48d
tçtãyaü varõakçddhimam  VAnigh_85d
tçtãyà kçùõakàmbhojã  VAnigh_225a
tçtãyo madhuraþ siü÷a-  VAnigh_95c
tçùõàghnaþ såkùmapattrakaþ  VAnigh_209b
teùàü phalaü tu kumbhãkaü  VAnigh_316a
tailapàtraü kutåþ smçtà  VAnigh_379b
tailam abhya¤janavaraü  VAnigh_328a
toyakùobhakaraþ kumbhã  VAnigh_268a
toyacchadà vàriparõã  VAnigh_313a
toyavallã sukàõóakà  VAnigh_276b
toyaü codakavàriõã  VAnigh_323b
trapusaü trapusaüj¤aü ca  VAnigh_307c
tràyantã tràyamàõà ca  VAnigh_209c
trikañu tryåùaõaü vyoùaü  VAnigh_342a
triparõy atiguhà saumyà  VAnigh_18c
tripàdã kãñamàrikà  VAnigh_22b
tripuùpaþ kçùõadhuttåraþ  VAnigh_239c
triyàmà coravallabhà  VAnigh_390d
trilohaü pa¤calohakam  VAnigh_308d
trisugandhi trijàtakam  VAnigh_342d
trihimatalapalà÷àþ joïgakaþ ÷àka÷àlau  VAnigh_79c
tryambakastripuràntakaþ  VAnigh_395b
tvak carma valkalaü proktaü  VAnigh_401c
tvak tirãño bçhacchadaþ  VAnigh_199d
tviùàüpatir aharpatiþ  VAnigh_385d
tv eõas tvakkomalaþ smçtaþ  VAnigh_348b
dadrughna÷ cakramardakaþ  VAnigh_253b
dadhinàmà ca kãrtitaþ  VAnigh_188b
dadhipuùpã tu khañvàïgã  VAnigh_255c
dadhi màïgalyakaü caiva  VAnigh_324c
dantã syàd upacitrakà  VAnigh_193d
damanaþ pàõóuràgaþ syàt  VAnigh_322c
darbhaþ ku÷o lavaþ sthålaþ  VAnigh_96c
darvãkaro dãrghapçùñho  VAnigh_361c
dalottho dalajo rasaþ  VAnigh_404d
da÷amålaü da÷àïghrikam  VAnigh_341d
da÷ànàü jãvanãyànàü  VAnigh_47c
dahanamorañabilvaviùàõikàþ  VAnigh_90b
daü÷astu vanamakùikà  VAnigh_369d
daüùñrã ghoõã ca roma÷aþ  VAnigh_349b
dàmodaro hçùãke÷aþ  VAnigh_398c
dàrvã kañaükañerã ca  VAnigh_153c
dàvàgnidamanã màtà  VAnigh_223c
dàsã kàntà pracãbalà  VAnigh_283d
dàhatçùõàghnam agnikçt  VAnigh_66d
dàhapittàsratçójvaràn  VAnigh_23d
dinàhanã vàsara÷ ca  VAnigh_391a
dãpyakaü tv ajamodas tu  VAnigh_147c
dãrghamålaü jalàvàsaü  VAnigh_313c
dãrghalohitayaùñikà  VAnigh_107d
dãrghavçnto mahànimbaþ  VAnigh_147a
duràrohà kharaskandhà  VAnigh_281a
duràlabhà dhanvayàso  VAnigh_210a
durdharùà kuõóalã smçtà  VAnigh_178d
durmadaþ surabhicchadaþ  VAnigh_267d
duùñavraõavi÷odhanaþ  VAnigh_69d
devagandhà balàhvayà  VAnigh_10b
devadàlã ca karkoñã  VAnigh_240a
devaparyàyavàcakaþ  VAnigh_117b
devàhvà bhadramustakam  VAnigh_151d
dehasaüdhànadhàraõam  VAnigh_375b
daityàriþ puruùottamaþ  VAnigh_397d
doùà naktaü ni÷à kùapà  VAnigh_390b
dravanty undurukarõikà  VAnigh_194b
dravàhvam amçtàsaïga-  VAnigh_61c
dravyàõàü gåóhavàcinàm  VAnigh_1b
dràkùà mçduphalà tathà  VAnigh_52b
dràvaõã kaõñakàrikà  VAnigh_19b
droõakàkastu kçùñalaþ  VAnigh_355b
droõapuùpã kutumbikà  VAnigh_251b
dvàda÷àtmà divàkaraþ  VAnigh_384b
dvijayaùñiþ sugandhikà  VAnigh_125b
dvijaràjaþ ÷a÷adharo  VAnigh_387c
dvijihva÷ ca bile÷ayaþ  VAnigh_362b
dvitãyam amladàóimam  VAnigh_55b
dvitãyaü puùpasaüj¤akam  VAnigh_101b
dvitãyaþ kàkatindukaþ  VAnigh_177d
dvitãyaþ ÷àbaraþ ÷veto  VAnigh_115c
dvitãyà tu prativiùà  VAnigh_146c
dvipaü ca målaü da÷akaü  VAnigh_341c
dvipuùpã puùpañã tathà  VAnigh_320d
dvibçhatãdvikara¤jajayàdvayaü  VAnigh_90c
dvirephaþ puùpalió bhçïgaþ  VAnigh_368a
dve pa¤cake gopasutà tripàdã  VAnigh_2d
dveùã kàsarasairibhau  VAnigh_371b
dhanikà dhànyakaü tathà  VAnigh_67d
dharà dharitrã dharaõã  VAnigh_380c
dhavo dçóhatarur gauraþ  VAnigh_88a
dhàtakã madayantikà  VAnigh_163b
dhàtrã càmalakã ÷ivà  VAnigh_51d
dhànakàraktacandanam  VAnigh_66b
dhànyakaü rakta÷åkaraþ  VAnigh_333b
dhànyà kustumburuþ dhànyaü  VAnigh_67c
dhàmàrgavaþ ko÷aphalo  VAnigh_240c
dhàvanã kala÷ã guhà  VAnigh_17b
dhãra÷auryakagho÷varàþ  VAnigh_74b
dhuttåro hemanàmakaþ  VAnigh_239b
dhårjañir nãlalohitaþ  VAnigh_394d
dhåsaro gardabhaþ kharaþ  VAnigh_345b
dhçtaràùñrapadã caiva  VAnigh_22c
dhyàmakaü ÷abalaü gandhaü  VAnigh_183c
dhvàïkùolã kùãra÷uklikà  VAnigh_15b
nakulaþ sarpabhakùakaþ  VAnigh_363b
nakràhidaüùñrikà kolã  VAnigh_7c
nakùatre÷aþ kùapàkaraþ  VAnigh_387d
nataü kàlànusàri ca  VAnigh_185d
nadãstho nalako nalaþ  VAnigh_109d
nandãvçkùapalà÷akacchurà  VAnigh_155b
nandãvçkùaþ prarohã ca  VAnigh_165a
'napàyã jalanåpuraþ  VAnigh_211b
namaskàrã raktamålà  VAnigh_161c
namerur devapuünàgaþ  VAnigh_162c
nalikà suùirà ÷ånyà  VAnigh_274c
nalinaü puùkaraü padmam  VAnigh_59a
navanãtaü ghçtàlayaþ  VAnigh_325d
navanãtà prakãrtità  VAnigh_228d
nàkulã nakulapriyà  VAnigh_205d
nàgajihvà ÷vetaphalà  VAnigh_227c
nàgadantã ÷vetaghaõñà  VAnigh_124a
nàgaraü vi÷vabheùajam  VAnigh_33b
nàgaràtiviùàmayàþ  VAnigh_149b
nàginã pårvapuùpikà  VAnigh_124b
nàginã ÷ålinã nàga-  VAnigh_254a
nàdeyaü lavaõottamam  VAnigh_101d
nàdeyo jalajambukaþ  VAnigh_210d
nàdeyo va¤julaþ prokto  VAnigh_175c
nàmnà sà ÷aïkhayåthikà  VAnigh_321d
nàraïgas tvaksugandhàkhya  VAnigh_272c
nàlinã nàlahålãkà  VAnigh_363c
nàsatyàv a÷vinau dasràv  VAnigh_408a
nàsàsaüvedanaþ kañuþ  VAnigh_37d
nikumbhaþ ÷ambaras tathà  VAnigh_193b
nighaõñur abhidhãyate  VAnigh_1d
nimbacchadendravallã ca  VAnigh_228a
nimbàmçtàmadhurasàsruvavçkùapàñhàþ  VAnigh_68b
nimbo 'riùño guóåcyàdau  VAnigh_67a
nirguõóã tinduvàrakaþ  VAnigh_139b
nirjharà jharapattrikà  VAnigh_135d
niryàso yas tu ÷àlmalyàþ  VAnigh_160c
ni÷à kùapà ca ràtri÷ ca  VAnigh_152c
ni÷àhvà rajanã tathà  VAnigh_153b
niùpattraü ca mahàpuùpaü  VAnigh_302a
niùpàvà ÷imbikà smçtà  VAnigh_340b
nihanti kaphapittakuùñhajvaràn  VAnigh_63c
nãrapårõaphalaþ ÷çïgã  VAnigh_269c
nãlakaõñho bhujaügabhuk  VAnigh_352d
nãlapattrã kàlanãlã  VAnigh_283a
nãlasyandà nãlapuùpã  VAnigh_199a
nãlaü nãlotpalaü tathà  VAnigh_60d
nãlàkhyà girikarõikà  VAnigh_199b
nãlinã càrañã j¤eyà  VAnigh_242a
nãlinã nãlapuùpikà  VAnigh_242b
nãlinã nãlapuùpikà  VAnigh_283b
netraü pàdaþ ÷iphà càïghriþ  VAnigh_401a
nyagrodhàdir gaõo vraõyaþ  VAnigh_170a
nyagrodhàdau yakùavàso  VAnigh_171a
nyagrodhàhvà sutatreõã  VAnigh_194a
nyagrodho bahupàd vañaþ  VAnigh_171b
nyàgrodhapappalasadàphalarodhrayugmaü  VAnigh_169a
pakvaü phalamudàhçtam  VAnigh_404b
pakvàtãsàranà÷anau  VAnigh_156b
païkajaü puõóarãkaü ca  VAnigh_314a
païkeruhaü tàmarasaü  VAnigh_59c
pa¤cakolaü pa¤cakañu  VAnigh_342c
pa¤càïgulã liïgabãjà  VAnigh_276c
pa¤càïgulo vardhamàna÷  VAnigh_6a
pa¤càsyo mçgaràñ siüho  VAnigh_346c
pañolakañurohiõãcandanaü  VAnigh_63a
pañolàdis tu ràjãmat  VAnigh_64a
pañvamlàdityanàmikà  VAnigh_222d
pataügaþ ÷alabho j¤eyaþ  VAnigh_370c
pataügikà puttikà syàt  VAnigh_369c
pataügo 'rko divàkaraþ  VAnigh_382d
pattåraþ priyasaty api  VAnigh_263b
pattrabhaïgo mahà÷yàmà  VAnigh_223a
pattraü dalaü chadaþ parõaü  VAnigh_402a
patra÷ ca yugmakaõñakaþ  VAnigh_142d
pathyàmçtà haimavatã  VAnigh_50c
padmakapuõórau vçddhitugarddhayaþ ÷çïgy amçtà da÷a jãvanasaüj¤àþ  VAnigh_42/a
padmakàdigaõaü vakùye  VAnigh_43a
padmakã markañàhvayà  VAnigh_78d
padmàdrajo yojanavallyanantà  VAnigh_154b
padmà bràhmaõayaùñikà  VAnigh_41d
padmàsitàravindà ca  VAnigh_157c
[padmottaras] tàlakumbho  VAnigh_297c
padmotpalarasà¤janam  VAnigh_56b
panasaþ kaõñakiphalaþ  VAnigh_274a
payasyà payasã poña-  VAnigh_16a
payaþ kãlàlamamçtaü  VAnigh_323c
parabhår balibhug dhvàïkùa÷  VAnigh_354c
parà dãpanivàraõã  VAnigh_369b
parisvinnà ca sà smçtà  VAnigh_328d
paruùakaü varà dràkùà  VAnigh_48a
paruùako mçduphalo  VAnigh_29c
paruùàdigaõaü vakùye  VAnigh_49a
parjanyà ca pacampacà  VAnigh_153d
parõakaþ påtikarõakaþ  VAnigh_229b
parõã màrjàragandhikà  VAnigh_11d
parvaõã vaü÷apatrikà  VAnigh_106d
parvama¤jarikà kãña-  VAnigh_277c
palaükaùà målakaü ca  VAnigh_255a
palaü màüsaü ÷oõitotthaü  VAnigh_374a
palàõóur mukhadåùaõaþ  VAnigh_265d
palà÷adhava÷iü÷apàþ  VAnigh_140b
palà÷a÷ chadanaü tathà  VAnigh_402b
palà÷aþ kiü÷uko vàta-  VAnigh_86c
-palà÷mànaþ ÷ilà dçùat  VAnigh_379d
pallavastu pravàlaþ syàt  VAnigh_402c
pavana÷ ca sadàgatiþ  VAnigh_377d
pavitrapattrà maïgalyà  VAnigh_203a
pavitraþ putrasiddhikçt  VAnigh_247b
pàkalaü vàri bhàvyaü ca  VAnigh_168c
pàñalã dãrghavçttà ca  VAnigh_71c
pàñhàràmañhareõukàgajakaõàsiddhàrthacitroùaõaiþ  VAnigh_30b
pàõóurogaü pramehaü ca  VAnigh_80c
pànãyam ambu salilaü  VAnigh_323a
pànãyavallã suùavã  VAnigh_77a
pànãyo bãjavçkùas tu  VAnigh_204a
pàyàd dhanvantaristathà  VAnigh_407d
pàrado rasadhàtu÷ ca  VAnigh_289c
pàràvatapadã ca sà  VAnigh_225d
pàràvataü raivatakaü  VAnigh_273c
pàràvataþ kalaravo  VAnigh_351c
pàrijàta÷ ca rohãtaþ  VAnigh_212c
pàrtho 'rjunaþ ÷vetavàhaþ  VAnigh_82c
pàrvako vçkadhåmakaþ  VAnigh_278d
pàrvataü ÷ailaniryàsaþ  VAnigh_102c
pàrvatã caõóikàmbikà  VAnigh_397b
pàlinã bhayanà÷inã  VAnigh_209d
pàùàõaprastaragràvo-  VAnigh_379c
piïgadçùñir mçgàdanaþ  VAnigh_347b
picukaþ ÷itivàrakaþ  VAnigh_111b
picumàndaþ ÷ukapriyaþ  VAnigh_67b
picchà màüsodbhavaü medo  VAnigh_374c
piñikàkoñhanà÷anaþ  VAnigh_180d
piõóãtaþ karahàñakaþ  VAnigh_77d
piõóã turuùkajaü tailaü  VAnigh_182c
pitta÷leùmajvaracchardi-  VAnigh_66c
pinàkã pramathàdhipaþ  VAnigh_393b
pippalã màgadhã kçùõà  VAnigh_31a
piràyàkaü kçtrimaü kapiþ  VAnigh_182d
pi÷àcã naladaü màüsã  VAnigh_58c
pi÷àcã siühavinnà ca  VAnigh_12c
pi÷itaü kravyam àmiùam  VAnigh_374b
pi÷unà ca latà satã  VAnigh_39d
pãtadàrur haridrumaþ  VAnigh_230d
pãtalohaü ca saiühalam  VAnigh_307b
pãtasàro nikocakaþ  VAnigh_243d
pãtàmbaro 'cyutaþ ÷àrïgã  VAnigh_399a
pãlukas tàpasadrumaþ  VAnigh_128d
pãluparõã madhurasà  VAnigh_65a
pãvarãndãvarã varã  VAnigh_14b
puõóràhvaü målasàdhanam  VAnigh_43d
putradàtrã vçttapattrà  VAnigh_284c
putrà¤jaliþ bhåtake÷ã  VAnigh_138c
punarnavà varùaketuþ  VAnigh_8c
punnàga÷ãtaü madanãyahetuþ  VAnigh_154d
puràõã raktapuùpikà  VAnigh_160b
purà proktaü paruùakam  VAnigh_49b
purà proktà tu sàrivà  VAnigh_24b
purohità kuóyamatsyà  VAnigh_365a
puùpaketu÷ ca rãtijam  VAnigh_303b
puùpako dohakàhvayaþ  VAnigh_244d
puùpaü ca kusumaü smçtam  VAnigh_403d
puùpà¤janaü rãtipuùpaü  VAnigh_303a
puùpà mastakama¤jarã  VAnigh_111d
puùpo madhura÷igrukaþ  VAnigh_95b
puünàgaþ puruùàhva÷ ca  VAnigh_162a
påtikara¤jaþ kaióaryaþ  VAnigh_74c
påtikà nityapuùpikà  VAnigh_277b
påtikàùñhaü devavçkùaþ  VAnigh_116c
påtivàto mahàphalaþ  VAnigh_92d
påtiþ påtyaõóajaþ smçtaþ  VAnigh_299d
pårõa÷ ca kçùõatailakaþ  VAnigh_340d
pårvam eva prakãrtità  VAnigh_167b
pçthvãkà vàripattrà tu  VAnigh_267a
pçthvã vasuüdharàkhyà ca  VAnigh_380a
pçthvãsambhavam audbhidam  VAnigh_293d
pç÷niparõã pçthakparõã  VAnigh_17a
paiùñakaü piùñasambhavam  VAnigh_330d
prakãrya÷ cirabilvakaþ  VAnigh_74d
pragrahaþ kçtamàlakaþ  VAnigh_70d
prati÷yàyàruci÷vàsa-  VAnigh_130c
pratyakpuùpã pãtatailodakãryà  VAnigh_121c
pratyakpuùpã mayårakaþ  VAnigh_125d
pradyotano dinamaõiþ  VAnigh_383a
prapunnàñas tv eóagajo  VAnigh_253a
prapauõóarãkaü ÷rãpuùpaü  VAnigh_43c
pravàlaü vallijaü raktaü  VAnigh_304c
prasannà vàruõã j¤eyà  VAnigh_328c
prasàraõã suprasarà  VAnigh_248a
prasånaü sumanaþ sånaü  VAnigh_403c
pràgbàhur yugmajihvakaþ  VAnigh_365d
pràcãnà bodhakã kàntà  VAnigh_136a
pràcãnà vçttaparõikà  VAnigh_35b
pràõadà påtanàmoghà  VAnigh_50a
pràya÷ cittaü samàhitam  VAnigh_405d
priyako bãjako 'sanaþ  VAnigh_81b
priyaïgupuùpà¤janayugmapadmàþ  VAnigh_154a
priyaïguþ pãtataõóulaþ  VAnigh_335d
priyaïguþ samudàhçtà  VAnigh_157b
priyaïgvàdigaõe pårvaü  VAnigh_157a
priyàlas tu kharaskandha÷  VAnigh_176a
prokto 'nyaþ sthàõukas tathà  VAnigh_201d
plakùaþ kupippalaþ plàvo  VAnigh_173c
plakùaþ syàd guóabãjakaþ  VAnigh_275b
plakùàmrava¤julapiyàlapalà÷anandã-  VAnigh_169c
plãhaghno raktapuùpakaþ  VAnigh_212d
phaõijihvàparõy abhãruþ  VAnigh_14a
phaõijjako ma¤jarãkas  VAnigh_132a
phaõã khadiravally api  VAnigh_218b
phalatrayaü tu triphalà  VAnigh_341a
phala÷reõã varaþ proktaþ  VAnigh_173a
phalasneho guóà÷rayaþ  VAnigh_249d
phalaü dvãpamarãcaü ca  VAnigh_301a
phalàïkura iti smçtaþ  VAnigh_216b
phalà cottamakanyakà  VAnigh_112b
phalinã kolagirikà  VAnigh_58a
phenaü vàridhijaü malam  VAnigh_303d
phenilo hastikarkoñaþ  VAnigh_219a
bakulaü madyakesaram  VAnigh_317d
bakulã talapoñakaþ  VAnigh_244b
badarã kolasaüj¤akaþ  VAnigh_221b
badarãpattrakaü caiva  VAnigh_187a
badarã yugmakaõñakaþ  VAnigh_176d
bandhåko bandhujãva÷ ca  VAnigh_278c
barhi÷ikhàhvayà gu¤jà  VAnigh_224a
balipuùñaþ sakçtprajaþ  VAnigh_354b
balyà gandhà÷vagandhikà  VAnigh_220d
baùkayaõy ekahàyanã  VAnigh_372d
bastakarõo 'jakarõakaþ  VAnigh_89b
bastamodà ca markañã  VAnigh_40d
bastàntrã meùa÷çïgã ca  VAnigh_85a
bastàntrã vçùagandhàkhyà  VAnigh_200c
bastàntrã vyàdhighàto bahalabahurasas tãkùõavçkùàt phalàni  VAnigh_191c
bahalapallavadarbharujàkaràþ  VAnigh_90d
bahiùñhaü tagaraü vakraü  VAnigh_185c
bahumålaü raõapriyà  VAnigh_25b
bahulà truñisaüj¤akà  VAnigh_62b
bahuskandhà mçtyuphalà  VAnigh_282a
bàõaþ smçto nãlapuùpaþ  VAnigh_74a
bàlagranthiþ prakãrtità  VAnigh_252b
bàleyaü harivàlukam  VAnigh_119d
bàleyo ràsabho j¤eyo  VAnigh_345a
bàùpikà kavarã smçtà  VAnigh_248d
bàùpikà ca sthalodbhavà  VAnigh_267b
bimbã go hà tuõóikerã  VAnigh_256a
bisaprasånaràjãva-  VAnigh_60a
bisaprasånaràjãva-  VAnigh_314c
buka÷ ce÷varamallikà  VAnigh_105d
bçhacchadas tathà ÷àko  VAnigh_55c
bçhatã bahuputrikà  VAnigh_19d
bçhatphalà ràjajambåþ  VAnigh_172c
bçhadvally utpalacchadà  VAnigh_77b
bçühaõo vàtapittahà  VAnigh_3b
bodhakã ca kucelikà  VAnigh_35d
bradhnaþ prabhàkaro bhàsvàn  VAnigh_384a
brahmanàmà tu kãrtità  VAnigh_196d
brahmàmbu gombu gomåtraü  VAnigh_332c
bhaïguràtiviùà màdrã  VAnigh_146a
bhaõóã ÷ukadruþ plavaügaþ  VAnigh_84a
bhadravçkùa÷ ca kãrtitaþ  VAnigh_53b
bhadra÷riyaü malayajaü  VAnigh_28a
bhadrailà bçhadelà tu  VAnigh_181c
bhadrodumbaravàyasã  VAnigh_217d
bharadvàjo dvijo bràhmo  VAnigh_356c
bhallàtakam aruùkaram  VAnigh_168b
bhallàtapàñhàtriphalãviùàkhyàþ  VAnigh_166b
bhallåkamorañakuraõñakarambhapàrthàþ  VAnigh_103d
bhallåko bhåtavçkùa÷ ca  VAnigh_110c
bhavaü romaphalaü matam  VAnigh_273b
bhavyaü bhaviùyaü càmlaü ca  VAnigh_273a
bhàõñàkã duùpradharùiõã  VAnigh_20b
bhàradvàjã suparõikà  VAnigh_207d
bhàrïgã gardabha÷àkaü ca  VAnigh_41c
bhàrïgã pha¤jã ca pàlindã  VAnigh_125a
bhàrïgã ràsnà vç÷cikàlã prakãryà  VAnigh_121b
bhikùuþ ÷ravaõa÷ãrùakà  VAnigh_264b
bhiùag vaidya÷ cikitsakaþ  VAnigh_406b
bhujaügo 'hir bhujaügamaþ  VAnigh_360b
bhåtaghnaü vastihiüsakaþ  VAnigh_36b
bhåtàve÷ã bhåtake÷ã  VAnigh_139a
bhåte÷aþ khaõóapara÷ur  VAnigh_392c
bhådhàtrã tàmalaky api  VAnigh_208d
bhånàgo varùajàlakaþ  VAnigh_367b
bhånimbasairyakapañolakara¤jayugma-  VAnigh_68c
bhårjo bhurjo bahupuño  VAnigh_82a
bhå÷àko bhåmikandakaþ  VAnigh_265b
bhåùaõaü nàgasambhavam  VAnigh_292d
bhåstçõo guhyabãjakaþ  VAnigh_138d
bhçïgaràó bhçïgareõukaþ  VAnigh_235b
bhçïgàrã cãrukà cãrã  VAnigh_370a
bhçïgàhvo màrkavaþ smçtaþ  VAnigh_234d
bhçïgeùñà kokilapriyà  VAnigh_174d
makarandaþ puùparasaþ  VAnigh_404c
makuùñho vanamudga÷ ca  VAnigh_337c
ma¤jiùñhà vijayà raktà  VAnigh_158c
ma¤jukà raktayaùñã ca  VAnigh_159a
maõikà cekùupuïkhikà  VAnigh_284b
maõóalã tantrikà smçtà  VAnigh_46b
maõóåkaparõã vikràntà  VAnigh_246c
maõóåko darduro bhekaþ  VAnigh_359c
matsyàkùikas tu matsãraþ  VAnigh_263a
madavãryà madapriyà  VAnigh_163d
madahetuþ sindhupuùpã  VAnigh_163a
madhukaü klãtakàhvayam  VAnigh_29b
madhuparõã keki÷ikhà  VAnigh_164c
madhuparõã vayaþsthà ca  VAnigh_46a
madhu puùparasodbhavam  VAnigh_327b
madhupuùpo lodhrapuùpo  VAnigh_26c
madhuyuto madhukaro  VAnigh_367c
madhuliñ madhupastathà  VAnigh_367d
madhusravaguóåcãpàñhànvitam  VAnigh_63b
madhusravà pãlupattrà  VAnigh_65c
madhåka÷i÷iradvayam  VAnigh_23b
madhåko guóapuùpakaþ  VAnigh_26b
madhåko vàrisaüsthitaþ  VAnigh_27b
madhåcchiùñaü ca madanaü  VAnigh_327c
manaþ÷ilà manoguptà  VAnigh_288c
manohvà kunañã ÷ilà  VAnigh_288d
mandarotthaü ÷ilàjatu  VAnigh_102b
mandàgnitvaü niyacchati  VAnigh_91b
mandàraþ pàribhadràhvo  VAnigh_212a
mandàraþ ÷vetakusumo  VAnigh_123c
mayåragrãvikaü tu syàt  VAnigh_291a
mayåràhvà ÷ikhã tathà  VAnigh_164d
mayåro barhiõo barhã  VAnigh_352c
