Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
gurau tuùñe marãcayaş  Ras_1.54d
gulikàcårõabhedataş  Ras_7.85b
gulikà vajravadbhavet  Ras_12.330f
guhyasthàne nidhàpayet  Ras_12.349b
guhyàdguhyataraü tvayà  Ras_1.33b
gçdhrako lakùajanmàni  Ras_1.51c
gçhakanyàrasànvitam  Ras_10.46b
gçhãtvà cårõayet tataş  Ras_12.315d
gçhãtvà codakaü tena  Ras_3.15c
gçhãtvà tatprayatnena  Ras_12.244c
gçhãtvà triphalàü tatra  Ras_12.315a
gçhãtvà devi dhànyàmlam  Ras_11.29a
gçhãtvà pårvavat pattraiş  Ras_12.220c
gçhãtvà bãjamuttamam  Ras_12.145b
gçhãtvà mardayed rasam  Ras_12.107b
gçhãtvà ÷uùkavaü÷aü tu  Ras_12.240a
gçhõãyàt kà¤jikàü devi  Ras_3.17a
gçhõãyàttàmrabhàjane  Ras_12.59f
gçhõãyàt sàdhake÷varaş  Ras_3.6b
gçhõãyàt sàdhakottamaş  Ras_6.129d
gçhõãyàt sàdhakottamaş  Ras_12.4b
gçhõãyàdamçtaü param  Ras_12.292d
gçhyate ko 'tra saüdeho  Ras_11.130c
gairikaü trividhaü rakta-  Ras_7.83a
gairikaü vimalaü dhamet  Ras_7.84b
gairikeõa ca mukhyena  Ras_8.49c
gokarõarasamårchitaş  Ras_10.51b
gokarõe tu dinatrayam  Ras_12.282f
goghçtena vimi÷ritam  Ras_7.86d
gojihvà kàkajaïghà ca  Ras_5.16a
gojihvà kùãraka¤cukaş  Ras_10.55b
godhåmabaddhà tatpiõóã  Ras_6.15c
gopàlakã gorasànàü  Ras_7.109a
gopittaü ÷ikhipittaü ca  Ras_12.160a
gopittena ÷ataü vàràn  Ras_7.80a
gopendramaõóalã caiva  Ras_7.139c
gopyaü guruprasàdena  Ras_1.58a
gobhaddo rasakastutthaü  Ras_7.37a
gobhir nàghràtamã÷vari  Ras_12.135b
gomayaü tena gçhõãyàl  Ras_3.14c
gomayaü sàramindhanam  Ras_4.3b
gomayàgnau tryahaü dravet  Ras_6.32d
gomàüsasaindhavàrkaistu  Ras_6.32a
gomàüsaü bhakùayedyastu  Ras_1.26a
gomàüse màhiùe måtre  Ras_7.48a
gomåtre kadalãrase  Ras_7.6b
gomåtreõa ghçtena ca  Ras_7.10b
gomåtrai÷ca snuhikùãraiş  Ras_7.13a
gorocanànibhaü dhàma  Ras_8.61c
golakaü kàrayitvà tu  Ras_12.319c
golakaü nihitamiïgudãphale  Ras_12.369b
golakaü varaõakàùñhayantritam  Ras_12.371b
golako bhavati kùipraü  Ras_11.28a
go÷akçdrasamåtreùu  Ras_7.54a
go÷çïge tu varànane  Ras_12.68d
goùñhãråpeõa yàcake  Ras_2.126b
gostanàkàrasaünibhà  Ras_4.40b
gauraş ÷veto 'ruõaş kçùõa÷  Ras_7.23a
gauràbhàm indravàruõãm  Ras_6.107b
gaurãphalàni kùurako  Ras_7.113a
granthàntare 'pi kãrtyo 'sau  Ras_7.18c
granthiyuktà ca pàrvati  Ras_12.97b
grasate duùñamàmayam  Ras_11.216d
grasate sarvamàdaràt  Ras_11.149d
grahanakùatramaõóalam  Ras_12.124d
gràmastasyàsti saünidhau  Ras_12.238d
gràsamànamataş param  Ras_11.210b
gràsayoge sure÷vari  Ras_11.52d
gràsaü gçhõa mama prabho  Ras_11.12d
gràsaş påjà vidhãyate  Ras_11.4d
gràsaş såte vidhãyate  Ras_11.123b
gràsàrthã jàyate rasaş  Ras_10.60f
gràse gràse punaş punaş  Ras_11.68b
gràsena tu caturthena  Ras_11.53c
gràsena tu tçtãyena  Ras_11.53a
gràso rasasya dàtavyaş  Ras_11.51c
gràhayet parame÷vari  Ras_3.8b
gràhayedabhrapatràõi  Ras_6.38a
gràhyameva subuddhinà  Ras_11.13b
gràhyaü tatphalatailaü và  Ras_12.21a
ghaõñàñaïkàrasaüyuktaiş  Ras_2.74c
ghanaghàtasahaü snigdhaü  Ras_7.105c
ghananibióasumadhyo mattamàtaügadarpaş  Ras_12.366b
ghanaü màkùikacårõena  Ras_8.42a
gharùayettacca suvrate  Ras_11.35b
ghàtayettadrasàyanam  Ras_12.39b
ghçtakùaudravasàsu ca  Ras_7.54b
ghçtamadhusitayàóhyaü vyoùacitraü da÷àü÷aü  Ras_12.364c
ghçtavacca ghçtodakam  Ras_12.213b
ghçta÷ailàmbumadhyasthaü  Ras_12.374c
ghçtaü caiva visarpati  Ras_12.215b
ghçtàktakarpañopari  Ras_7.70d
ghçtàkte lohabhàjane  Ras_7.70b
ghçtena madhunàloóya  Ras_12.17a
ghçùñamabhrakacårõaü tu  Ras_6.26a
ghçùñamabhrakajaü rajaş  Ras_6.24b
ghçùñaü tu gairikacchàyaü  Ras_7.53c
ghora÷aktir vyavasthità  Ras_12.207b
cakratulyaü bhramatyetad  Ras_12.204c
cakramardaş kuruïgiõã  Ras_5.4d
cakramardena mardayet  Ras_12.159d
cakravàkopa÷obhite  Ras_2.42b
cakràïkã sthalapadminã  Ras_5.19d
cakrikà kùãrakukkuñã  Ras_5.18b
caõakasyeva pattràõi  Ras_12.151c
caõakàmlàmlavetasam  Ras_6.118b
caõakàmlena kà¤jikam  Ras_11.36b
caõakàmlena saüyutam  Ras_11.33d
caõóakàpàlinã devã  Ras_3.15a
caõóaghaõñà vyavasthità  Ras_3.13d
caõóaghaõñàü tu kàrayet  Ras_3.13b
caõóabhairavikà devã  Ras_3.14a
caõóayonã÷varaü tathà  Ras_12.241d
caõóàlã ràkùasã vyàghrã  Ras_5.8a
caõóikàyà mahàmantraü  Ras_3.24a
catasro gatayo dç÷yà  Ras_10.16c
caturakùarasaüyutam  Ras_3.19b
caturaïgulakocchrayaş  Ras_4.60b
caturaïguladãrghàü tu  Ras_4.16c
catura÷ãticaõóikàş  Ras_3.26d
caturasre tu dikpàlàn  Ras_2.53c
caturguõaü và dviguõaü  Ras_11.45e
caturguõena tenàjyaü  Ras_12.296c
caturguõena vastreõa  Ras_11.64a
caturguõe 'yutaü devi  Ras_11.156a
caturguõe lakùavedhã  Ras_11.71c
caturõàü lakùaõàdikam  Ras_6.139b
caturthaü nopalabhyate  Ras_7.99d
caturthàü÷akùayo bhavet  Ras_4.26d
caturthàü÷apramàõena  Ras_11.167c
caturthàü÷ena rasakaü  Ras_12.266c
caturthãü sàraõàü pràpya  Ras_12.334a
caturthe caiva saptàhe  Ras_12.31c
caturtho mårtibandhas tu  Ras_11.198c
caturtho 'ùñàü÷a eva ca  Ras_11.50d
caturda÷yàü ca tatkùetraü  Ras_12.193c
caturda÷yàü vi÷eùataş  Ras_2.127d
caturbindån puñe pràgvad  Ras_11.174c
caturvarõavidhaü tatra  Ras_12.166c
catuùkoõaü punaş kçtvà  Ras_2.94a
catuùñayã gatistasya  Ras_10.16a
catuşpa¤camukhaü ÷reùñham  Ras_6.47c
catuşpa¤casahasrakam  Ras_12.375d
catuşùaùñiguõaü devi  Ras_11.45a
catuşùaùñitame bhàge  Ras_12.15a
catuşùaùñitamo bhavet  Ras_12.14d
catuşùaùñyaü÷akaş pårvaş  Ras_11.50a
catuşùaùñyaü÷ake gràse  Ras_11.52a
catuşùaùñyaü÷ataş piõóe  Ras_12.199c
catuşùaùñyàdibhàgena  Ras_11.172c
catvàraş pradhànagçhàş  Ras_3.3a
candanàgurukarpåra-  Ras_1.39a
candratàràbalànvite  Ras_2.47d
candratoyànyanekadhà  Ras_12.190d
candravannirmalo bhavet  Ras_12.195f
candravçddhyàbhivardheran  Ras_12.191e
candravçddhyà vivardhate  Ras_12.192d
candrahema varàrohe  Ras_12.57a
candràrkapattralepena  Ras_8.63c
candràrkapattraü deve÷i  Ras_12.140c
candràrkaü kà¤canaü bhavet  Ras_12.141d
candràrdhakçta÷ikharam  Ras_2.65b
candràrdhakçta÷ekharàm  Ras_2.71b
candràrdha÷obhimukuñà  Ras_2.60c
candrodakaü tu saügçhya  Ras_12.194c
candrodakena gaganaü  Ras_12.197a
candrodakena deve÷i  Ras_12.189a
candrodaye tato dçùñe  Ras_12.195c
capalatvaü yadà naùñaü  Ras_11.205c
capala÷capalàvedhaü  Ras_7.27a
capalastu pra÷asyate  Ras_7.23b
capalastena kãrtitaş  Ras_7.24d
capalaü girimastake  Ras_7.26b
capalo rasakastathà  Ras_2.59b
capalo rasakastathà  Ras_7.2b
capalo lekhanaş snigdho  Ras_7.27c
carate jarate såta  Ras_11.150a
carejjaredvà puñitaü  Ras_11.23c
carmàraş ÷ukatuõóakaş  Ras_7.46b
càïgeryamlagaõottamàş  Ras_5.31d
cànyo marakataprabhaş  Ras_6.127d
càmãkarakaraş kùaõàt  Ras_11.82b
càraõaü jàraõaü caiva  Ras_11.1c
càraõaü jàraõaü tathà  Ras_10.11b
càraõàvastu bhàvayet  Ras_11.22b
càraõàü trividhàmevaü  Ras_11.60a
càraõena balaü kuryàt  Ras_10.12c
càrayitvà sure÷vari  Ras_11.190b
càrayet såtaràjaü tu  Ras_12.127c
càrayedrasaràjasya  Ras_11.193c
càryaü gràsacatuùñayam  Ras_11.69b
ci¤càkùàraistathà trapuş  Ras_8.60b
ci¤càphalàmlanirguõóã-  Ras_8.20c
ci¤càsthi meùa÷çïgaü ca  Ras_6.90c
citàgnibhasma tenaiva  Ras_3.8a
citrakastu malaü hanyàt  Ras_10.43c
citrakastrividho j¤eyo  Ras_12.133a
citrakasya yathà gràhyaü  Ras_12.132a
citrakàrdrakamålakaiş  Ras_10.42b
citrakàrdrakamålànàm  Ras_11.43a
citrite bhavanodyàne  Ras_2.43c
cintàmaõimahàvidyàü  Ras_3.23c
cãramaïgàrakaş kiññaü  Ras_4.35c
cãramaïgàrakaş kiññaü  Ras_4.36c
cumbakaü madhyamaü priye  Ras_6.44b
cumbayeccumbakaü kàntaü  Ras_6.45c
cullikàgnisahastathà  Ras_10.22d
cårõakhaõóàtmikà ca sà  Ras_7.79b
cårõapàradabhedena  Ras_7.47a
cårõayitvà manaş÷ilàm  Ras_11.181d
cårõaü narakapàlasya  Ras_8.28a
cårõaü narakapàlaü ca  Ras_8.25c
cårõitaü devi kårmàsthi  Ras_7.132a
cårõitaü hemni vàhayet  Ras_8.58f
cålikàgandhakàsiktau  Ras_9.15c
cålikà gandhapàùàõaş  Ras_9.7a
cålikàlavaõaü tathà  Ras_5.32b
cålãñaïkaõabhåkhagam  Ras_9.8b
cordhvaü naiva tu dç÷yate  Ras_11.142b
cauùadhyà lepanaü kuru  Ras_12.231b
chàgakùãreõa saüyuktaü  Ras_7.93c
chàgacarmaparãveùñya  Ras_6.51c
chàgamåtreõa saüsiktaü  Ras_6.23a
chàgaraktapraliptena  Ras_6.51a
chàgaraktena bhàvayet  Ras_6.50d
chàdanaü tu pratãvàpaş  Ras_4.53c
chàntyai ca vañuke÷varam  Ras_2.120d
chàyà÷uùkaü tataş kuryàd  Ras_6.131c
chàyà÷uùkaü tataş kçtvà  Ras_11.33c
chàyà÷uùkaü tu kàrayet  Ras_6.133d
chittvà sukçtasaücayam  Ras_1.45d
chuklavarõo 'dhamaş priye  Ras_7.67d
chedanàni kaùopalam  Ras_4.4d
jagadutpàñitaü tena  Ras_11.159c
jañàmukuñasaüyuktaü  Ras_2.65a
jatvadrijaü giriş ÷ailaş  Ras_7.20c
janà màhe÷varà yatra  Ras_2.39c
janmakoñi÷atairapi  Ras_1.48d
janmakoñi÷atairapi  Ras_1.49d
janma ca tripuràntakàt  Ras_2.34b
janma yaccaõóikodare  Ras_2.31d
japànte påjayedrasam  Ras_4.23d
japettaü darpavarjità  Ras_2.32d
japettu hçdayàntare  Ras_3.29b
japet pheñkàrabhairavãm  Ras_2.33d
jambãraphalamadhyasthaü  Ras_6.113a
jambãrarasasaüyutam  Ras_12.162:1d
jambãràmlena pacanaü  Ras_9.15a
jambãre trisahasrakam  Ras_12.375b
jambãrodaramadhyasthaü  Ras_6.122c
jarate grasate tataş  Ras_11.119d
jaràvastho raso ya÷ca  Ras_11.80a
jaràvairåpyavarjitaş  Ras_12.361d
jaladalavavapuùmàn ku¤citànãlake÷aş  Ras_12.367a
jalabhàõóe tu tat svinnaü  Ras_6.117c
jalaü tasmàt parisrutam  Ras_9.12b
jalaü sravenmadhåcchiùñaü  Ras_12.114a
jalåkàbandha eva ca  Ras_11.198b
jalåkàbandhalakùaõam  Ras_11.201d
jale kùiptàni lohàni  Ras_12.311c
jale gatirmalagatiş  Ras_10.19c
jalaukàvaddvitãye ca  Ras_11.52c
jalpanti ca vayaü muktà  Ras_1.29c
jàgaraü tatra kàrayet  Ras_2.83b
jàtaü ÷ailodakaü param  Ras_12.290d
jàtà vai màkùikopalàş  Ras_7.4d
jànãyàt oùadhãrapi  Ras_4.64d
jànumadhye sthitaü yàmaü  Ras_6.114c
jàmbånadasamaprabham  Ras_12.118d
jàyate kanakaprabham  Ras_12.24d
jàyate kanakaü divyaü  Ras_12.96a
jàyate kanakaü dhruvam  Ras_12.131d
jàyate kanakottamam  Ras_12.165b
jàyate kà¤canaü divyaü  Ras_12.43c
jàyate khecaro rasaş  Ras_2.89b
jàyate jalasannibham  Ras_6.23d
jàyate jalasannibhaş  Ras_6.29d
jàyate doùavarjitam  Ras_6.13d
jàyate naùñacetanaş  Ras_12.82d
jàyate nàtra saü÷ayaş  Ras_7.49d
jàyate nàtra saü÷ayaş  Ras_11.105b
jàyate ni÷citaü bhadre  Ras_10.23c
jàyate piùñikà ÷ãghraü  Ras_11.40c
jàyate mçtasåtake  Ras_1.23d
jàyate mçdu ni÷citam  Ras_6.112b
jàyate rasavad yathà  Ras_6.119d
jàyate rasasannibham  Ras_6.22d
jàyate lakùavedhinã  Ras_12.333b
jàyate salilaü yathà  Ras_6.122f
jàyate sà sulakùaõà  Ras_2.33b
jàyate haritaü snigdham  Ras_12.240c
jàyate hema ÷obhanam  Ras_12.140d
jàyate hema ÷obhanam  Ras_12.169d
jàyate hema ÷obhanam  Ras_12.188f
jàyante girigahvare  Ras_12.74b
jàraõaü kartumicchàmi  Ras_11.12c
jàraõaü ceti taddvidhà  Ras_11.14d
jàraõaü tu bhavedyadi  Ras_8.6d
jàraõaü parikãrtitam  Ras_10.26d
jàraõaü puùparàgasya  Ras_11.136c
jàraõaü vyomasattvasya  Ras_11.210c
jàraõaü ÷çõu pàrvati  Ras_11.46b
jàraõaü sàdhakasya tu  Ras_11.3b
jàraõàkramamuttamam  Ras_11.113b
jàraõà cànusàraõà  Ras_11.212b
jàraõà tatsamàkhyàtà  Ras_10.27a
jàraõàtriguõàt såto  Ras_11.175a
jàraõàdbandhanaü bhavet  Ras_10.12d
jàraõà dvividhà bàla-  Ras_11.7a
jàraõà baddhajàraõà  Ras_11.7b
jàraõàya bhavatvayam  Ras_7.65b
jàraõàyàü sure÷vari  Ras_8.53b
jàraõàyogamuttamam  Ras_11.108b
jàraõàrthaü ca bãjànàü  Ras_11.20c
jàraõàü bàlabaddhayoş  Ras_2.6b
jàraõàü sukaràü ÷çõu  Ras_11.163d
jàraõe màraõe caiva  Ras_4.20a
jàraõe sàraõàsu ca  Ras_10.6d
jàrayet kanakànvitaiş  Ras_11.193d
jàrayet kà¤jikà÷aye  Ras_10.23b
jàrayettattvasaükhyayà  Ras_11.162d
jàrayet tatra pannagam  Ras_11.156d
jàrayet tat sukhena tu  Ras_11.118d
jàrayet sarvaratnàni  Ras_11.151a
jàrayetsarvalohàni  Ras_12.68a
jàrayet sàpi tàlakam  Ras_12.66d
jàrayet svedayet piõóaü  Ras_11.60c
jàrayedgaganàdikam  Ras_4.15d
jàrayedgandhakaü sà tu  Ras_12.66c
jàrayedvàlukàyantre  Ras_12.91c
jàrayedvióayogataş  Ras_8.88b
jàritaü dvàda÷aguõaü  Ras_11.158c
jàritaü pannage såtaü  Ras_11.160c
jàritaş sàrita÷caiva  Ras_11.97a
jàritaş sàrito 'thavà  Ras_11.78d
jàryate divasais tribhiş  Ras_11.62b
jàryate dhàryate rasaş  Ras_11.5b
jàryante tàni yaiş såte  Ras_9.1c
jitendriyàş kle÷asahà  Ras_2.13a
jãrõagràsastathà rasaş  Ras_11.65d
jãrõavastre vinikùipya  Ras_6.60a
jãrõaü jãrõaü tu saüraktaü  Ras_10.28a
jãrõànte ra¤janaü kàryaü  Ras_10.27c
jãrõàbhro jãrõabãjo 'pi  Ras_11.68c
jãrõe gràsaü tu dàpayet  Ras_11.66d
jãrõena nà÷amàyànti  Ras_11.73c
jãrõe pa¤caguõe devi  Ras_11.72a
jãrõe vedhaü karoti saş  Ras_11.179b
jãrõe ùaóguõapannage  Ras_12.38b
jãrõe ùaóguõapannage  Ras_12.40b
jãrõe syàdrasabandhanam  Ras_11.151d
jãryate gaganaü devi  Ras_12.42a
jãryate tat samaü same  Ras_12.7b
jãvadehe prave÷e ca  Ras_6.55c
jãvanmuktiriyaü nàtha  Ras_1.6c
jãvanmuktirmahàdevi  Ras_1.8c
jãvanmuktisvaråpaü tu  Ras_1.17a
jãveccandràrkatàrakam  Ras_12.265b
jãveccandràrkatàrakam  Ras_12.305d
jãveccandràrkatàrakam  Ras_12.317d
jãvet kalpàyutaü sàgraü  Ras_12.246c
jãvettadbindusaükhyayà  Ras_12.222d
jãvedayutapa¤cakam  Ras_12.326b
jãvedàcandratàrakam  Ras_11.144b
jãvedbrahmadinatrayam  Ras_12.196b
jãvedbrahmadinàyutam  Ras_12.250d
jãvedvaktre vidhàraõàt  Ras_12.353f
jãvedvarùa÷atatrayam  Ras_12.270d
jãved varùa÷atàùñakam  Ras_12.263d
jãvedvarùasahasrakam  Ras_12.309d
jãvedvarùasahasrakam  Ras_12.310d
jãvedvarùasahasrakam  Ras_12.312d
jãved varùasahasraü tu  Ras_12.294c
jãvedvarùasahasràõi  Ras_12.357a
jãvedvarùàyutaü sukhã  Ras_12.264b
jãvo 'õóàdiva niùkramet  Ras_10.15b
j¤àtavyà tu kulauùadhã  Ras_12.72b
j¤àtvà kàlapramàõena  Ras_12.323c
j¤àtvà devi balàbalam  Ras_11.172d
j¤àtvà devi balàbalam  Ras_12.297d
j¤àtvà bãjàni sàdhayet  Ras_7.154b
j¤ànaü pavanadhàraõàt  Ras_1.20b
j¤ànaü vij¤ànapårvakam  Ras_1.22b
j¤ànànmokùaş sure÷àni  Ras_1.20a
jyotiùmatãkara¤jàkhya-  Ras_8.83a
jyotiùmatãtailavidhiü  Ras_12.143a
jyotiùmatã nàma latà  Ras_12.144a
jvarasaünipàtadàridryàõyapi yannàmakathanamàtreõa  Ras_7.15*a
jvalajjihvànanaü tathà  Ras_2.64b
jvalatpiïgogranetraü ca  Ras_2.64a
jvaladbhruvaü jvalatke÷aü  Ras_2.64c
jvàlanaü bandhanaü kramàt  Ras_11.69d
jvàlayecca hutà÷anam  Ras_4.57f
jvàlinã padmacàriõã  Ras_5.5b
jvàlinãbãjacårõena  Ras_7.69a
jvàlinãbhasma gàlitam  Ras_7.122b
ñaïkakaïkuùñhamoditam  Ras_7.8d
ñaïkaõakùàrasaüyutaş  Ras_11.27b
ñaïkaõaü ca yutairhyetaiş  Ras_7.75e
ñaïkaõaü ÷ata÷o devi  Ras_9.6a
ñaïkaõà÷ugapuïkhataş  Ras_11.178d
ñaïkaõena samanvitam  Ras_7.36b
ñaïkaõorõàgirijatu-  Ras_8.36a
ñaïkàrdhaü viùapàdaü ca  Ras_11.191a
óàmaràkhyaü mahàmantraü  Ras_3.23a
takràntaü dràvakaü bhavet  Ras_6.46b
taccaturvidhamabhrakam  Ras_6.8d
tacca devi rasottamam  Ras_12.213d
tacca sattvamayaü priye  Ras_7.88b
taccårõavàpamàtrataş  Ras_12.322b
taccårõaü tu ÷atàü÷ena  Ras_12.226c
taccårõaü devadeve÷i  Ras_7.86a
taccårõaü yavamàtraü tu  Ras_12.274c
taccårõitaü sure÷àni  Ras_7.87a
tacchilàjatu kãrtitam  Ras_7.19d
tacchulvaü hemasaükà÷aü  Ras_12.46a
tacchulvaü hemasaükà÷aü  Ras_12.49a
tacchailodakamadhyagam  Ras_12.313d
tajjalena tu mardayet  Ras_12.313b
tajjalena niùiktaü ca  Ras_12.269a
tajjàtaü ÷ubhamabhrakam  Ras_6.2d
taõóulairvimalairlikhet  Ras_2.94d
tatastriguõavastrasthaü  Ras_10.45c
tataş kacchapayantreõa  Ras_11.69c
tataş karma samàcaret  Ras_2.106d
tataş kenaiva gràhayet  Ras_3.7d
tataş kùãrà÷ano bhavet  Ras_12.316d
tataş pàtanayantrake  Ras_7.77b
tataş ÷alàkayà gràsàn  Ras_11.124c
tataş ùaóguõabãjena  Ras_11.196a
tataş saümçditaü devi  Ras_8.23c
tataş siddhaü vijànãyàt  Ras_11.112a
tataş siddhà÷ca catvàraş  Ras_3.10a
tato garbhe patatyà÷u  Ras_11.118c
tato dadyàt puñatrayam  Ras_12.107d
tato devagaõairuktaü  Ras_7.64a
tato devãü samarcayet  Ras_12.241b
tato nàgadalaü tathà  Ras_11.168d
tato nirãkùya taddãpaü  Ras_2.102a
tato 'pi sarvasattvàni  Ras_11.84c
tato bàhyadrutiü dravet  Ras_11.9b
tato màkùika÷uddhaü ca  Ras_11.8c
tato yantraü vimocayet  Ras_4.13b
tato yantre vinikùipya  Ras_11.117a
tato ratnàni jàryàõi  Ras_11.125a
tato vedhaü prayojayet  Ras_11.10b
tato vaidyairupàcaret  Ras_11.217b
tatkandaü kuùñhasaüsthànaü  Ras_12.113e
tatkalkapuñitaü dhmàtaü  Ras_6.93c
tatkalkam aùñamàü÷ena  Ras_7.128c
tatkalkena yutaü kuru  Ras_12.131b
tatkàntaü bhràmakaü priye  Ras_6.45b
tatkàlaü cittajàtànàm  Ras_12.325c
tatkvàthasthaü dhamet punaş  Ras_7.144b
tatkùaõàjjàyate devi  Ras_12.22a
tatkùaõàjjàyate bandho  Ras_12.50:2c
tatkùaõàt kà¤canaü divyaü  Ras_12.45a
tatkùaõàdguñikà bhavet  Ras_12.197d
tatkùaõàdvedhayeddevi  Ras_12.344a
tatkùaõànmilati dvaüdvaü  Ras_12.56e
tatkùaõànmriyate vajraü  Ras_6.112c
tattàraü kà¤canaü bhavet  Ras_12.15d
tattàraü jàyate ÷reùñhaü  Ras_12.15e
tattàraü mriyate devi  Ras_12.95a
tattàreõa samaü bàhyaü  Ras_12.25a
tattãkùõacårõaü deve÷i  Ras_7.125c
tattu stambhen niyàmake  Ras_10.20b
tattailaü sthàpayet priye  Ras_11.171d
tatpattràõi ca deve÷i  Ras_12.113c
tatpattreõaiva veùñitam  Ras_6.114b
tatpiõóaü lepayet tataş  Ras_12.93b
tat puñena ca deve÷i  Ras_12.217c
tatpuõyaü rasadar÷anàt  Ras_1.38d
tatpratyupàyaü me bråhi  Ras_1.17c
tatprayatnena bhåyasà  Ras_6.49d
tatpràptau pràptameva syàd  Ras_11.2c
tatphalaü koñiguõitaü  Ras_1.43c
tatra kampe÷varo devas  Ras_12.262a
tatra gatvà vanodde÷e  Ras_12.214a
tatra gandhakasaüyutàm  Ras_4.8d
tatra tatra tu vaikrànto  Ras_6.125c
tatra tyaktvà tu tadvàsaş  Ras_7.61c
tatra devi sthiraü piõóaü  Ras_1.20c
tatra mayà kùaõaü dhyàtvà  Ras_11.160a
tatra màtàpuraü nàma  Ras_12.261a
tatra ÷uddhirbhavetpriye  Ras_6.60d
tatra saükhyàkrameõa tu  Ras_11.157b
tatrasthaü kùaõavedhi syàt  Ras_12.282c
tatra sthàne tu kàrayet  Ras_2.39d
tatràjyatilasaüyuktaü  Ras_2.78a
tatràditaş sure÷àni  Ras_7.98a
tatràdau parame÷àni  Ras_11.7c
tatràpyudakamàlokya  Ras_12.239a
tatràùñàda÷avidyàbhir  Ras_2.79c
tatràstyuùõodakaü dhruvam  Ras_12.262b
tatredaü kàrayet karma  Ras_2.39a
tatreùñikàbhiş racite  Ras_2.50c
tat sattvaü hemabhàsuram  Ras_11.186b
tatsamàdàya pàrvati  Ras_12.114b
tat sarvaü payasà kùãrair  Ras_12.306c
tatsiddhatailenàbhyaïgaü  Ras_12.299a
tatsåtaü bandhanaü vrajet  Ras_12.14b
tathà kaïkàlakhecarã  Ras_5.28b
tathà kà¤canasåtayoş  Ras_11.85b
tathà ca malayodbhavam  Ras_7.153b
tathàca ÷atavedhi syàd  Ras_12.148a
tathà tàpatrayaü hanti  Ras_1.40c
tathà dhåmagatiü ÷ive  Ras_10.21b
tathànyà ÷abdakartarã  Ras_12.205d
tathà marakataprabhaş  Ras_6.128d
tathà rasàïku÷àbhij¤o  Ras_2.90c
tathà ÷ulvasya pattràõi  Ras_12.119:1c
tathàùñaguõameva và  Ras_11.45d
tathà hema ÷arãraü ca  Ras_10.8:2c
tathaiva kà¤cikàcinã  Ras_2.17b
tathaiva mriyate såtaş  Ras_12.155a
tathaivàpsarasàü gaõaiş  Ras_7.58d
tadagràhyaü nirarthakam  Ras_12.281f
tadà kàsãsasauràùñrã-  Ras_9.13c
tadà grasati lohàni  Ras_11.74c
tadà tasya gatitrayam  Ras_10.23d
tadà tu sidhyate tasya  Ras_3.28c
tadà baddho bhavedrasaş  Ras_11.93d
tadà bhavati pàrvati  Ras_12.80d
tadàlãnaü samàcaret  Ras_2.92d
tadà vi÷uddhaü pravadanti loham  Ras_4.52d
tadà ÷ailodakaü bhavet  Ras_12.281d
tadàsau khecaro rasaş  Ras_11.154b
tadetajjàyate yena  Ras_2.30c
tadetadviùñikàstambhe  Ras_8.53a
tadeva ÷ata÷o rakta-  Ras_8.54a
tadevaü copalabhyate  Ras_10.27b
tadde÷aü tu parityajet  Ras_2.122b
taddravet pakùamàtreõa  Ras_6.27e
taddrutaü kà¤canaü divyaü  Ras_12.176c
taddrutaü rasagarbhe tu  Ras_10.26c
taddvayaü ÷odhitaü bhavet  Ras_7.7d
taddhemapakvabãjaü tu  Ras_12.56a
tadbaddhaü pàradaü caiva  Ras_12.338c
tadbãjaü jàrayet samam  Ras_8.63b
tadbhavet salilaü yathà  Ras_6.25d
tadbhasma jàrayate såte  Ras_12.342a
tadbhasma tàmrapiùñaü tu  Ras_12.48a
tadbhasma såtake jàryaü  Ras_12.340c
tadrajo 'tãva su÷roõi  Ras_7.60c
tadrasena yutaü pràj¤aş  Ras_12.177c
