Yasodhara: Rasaprakasasudhakara 
Based on the ed. by Jivram Kalidas Sastri
Gondal : Rasasala Ausadhasram, 1940


Input by Oliver Hellwig



PADA INDEX


The transliteration emulates Devanagari script.
Therefore, word boundaries are usually not marked by blanks


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akùarà kuñajà tathà  YRps_9.7b
kàrpàsàsthiùu svedayet  YRps_11.139d
kàryaü yàmacatuùñayam  YRps_1.53b
kàryà golã vallamàtrà jalena  YRps_8.32d
kàryà càtimanoramà  YRps_4.38b
kàryàõyevaü pralepayet  YRps_11.28b
kàryà tataþ kajjalikà vimardya  YRps_3.56a
kà÷maryativiùà proktà  YRps_9.14a
kàùñhagodhàmatã deva-  YRps_9.35c
kàsamardaprasånakaiþ  YRps_11.47d
kàsamardarasapårõalohaje matkuõasya rudhirair vilepitam  YRps_7.32/a
kàsamardarasenaiva  YRps_5.20a
kàsamardasya taõóulaiþ  YRps_5.38d
kàsaü ÷vàsaü vahnimàüdyaü kùayaü ca  YRps_7.10a
kàsaü ÷vàsaü sannipàtàgnimàüdyam  YRps_7.15d
kàsaü ÷vàsaü hanti gulmapramehàn  YRps_4.53d
kàsãsasaüyutà kàükùã  YRps_1.67c
kàsãsasindhulavaõa-  YRps_1.92a
kàsãsaü prathamaü hi saikatamidaü puùpàkhyamanyattathà  YRps_6.62a
kàsãsaü bhasma kàütasya  YRps_6.65a
kàse'r÷aþsu viógrahe càtisàre  YRps_8.29d
kàüjike càpi nirdoùam  YRps_5.15a
kàüjike divasatrayam  YRps_11.8b
kàüjikena tathàbhrakam  YRps_5.13b
kàüjikena tu tàü piùñãü  YRps_11.92a
kàüjikena dinaü dinam  YRps_1.110b
kàüjikena pramardayet  YRps_4.8d
kàüjikena samanvitam  YRps_11.95d
kàüjikena samanvitaiþ  YRps_1.67d
kàüjikenàtha gandhakaiþ  YRps_5.49d
kàüjike vàtha takre và  YRps_5.122a
kàüjike svedanaü kuryàn  YRps_2.9a
kàütaü caturdhà kila kathyate'tra  YRps_4.58a
kàütaü tathà tãkùõavaraü hi muõóaü  YRps_4.57c
kàütàdisarvalohaü hi  YRps_4.66c
kàüsyabhàjanamadhye tu  YRps_2.62a
kàüsyavarõasamo hi saþ  YRps_5.92b
kàüsyavarõàn vi÷eùataþ  YRps_5.41b
kiññaguggulunàtha và  YRps_6.19d
kimanyair bahubhàùitaiþ  YRps_2.53b
ki÷oraþ kathyate mayà  YRps_1.116d
kiüciccaivaü cippañaü karka÷aü ca  YRps_7.24b
kiücitkàryakaro bhavet  YRps_1.115d
kiücittiktaü ca madhuraü  YRps_5.105a
kiücitpãtà ca susnigdhà  YRps_6.12c
kiücit ÷àstrànusàrataþ  YRps_4.1d
kiücitsatvaü tathàguru  YRps_6.3d
kiüciddhãnaü procyate tattçtãyam  YRps_7.24d
kiücidrakto'tha nãla÷ca  YRps_5.53a
kiünaraü bhairavàbhidham  YRps_10.5d
kiü÷upatrarasenaiva  YRps_11.39c
kãrtitaü rasavedibhiþ  YRps_1.55d
kukkuñàkhyaü puñaü vidyàd  YRps_10.46e
kukkuñàkhye puñe samyak  YRps_4.37c
kukkuñàhvaiþ saptapuñair  YRps_5.71c
kuïkumaü svarõabãjaü ca  YRps_13.6c
kuïkumàbhaü suvarõaü hi  YRps_11.30a
kuntavedhena vedhayet  YRps_11.99b
kupathyaü cà÷matàlakam  YRps_6.4b
kuberàkùã gçdhranakhã  YRps_9.32a
kumàrikàråpaguõena yuktà  YRps_1.14a
kumàrã meghanàdà ca  YRps_2.105a
kumàrãsvarasena ca  YRps_11.12d
kumàryàþ svarasena ca  YRps_11.15b
kumàryàþ svarasenaiva  YRps_2.95c
kumàryàþ svarasenaiva  YRps_11.16c
kumudakundasitàmbaradhàriõãü  YRps_1.2a
kuru bhiùagvara yantrasurodhanam  YRps_3.3d
kuru bhiùagvara vahnim adhastataþ  YRps_3.11c
kuru viùaü vinive÷aya tatra vai  YRps_3.7d
kuru samànakañutrayasaüyutàü  YRps_3.42a
kuryàcchãtaü samàharet  YRps_11.67d
kuryàdevaü gàlitaü óhàlitaü hi  YRps_11.123b
kuryàdevaü pçthak pçthak  YRps_12.3d
kuryàddaradakhaõóena  YRps_11.112c
kurvanti ye tattvavido bhiùagvarà  YRps_2.108c
kurvantu kàmukajanàþ pratiruddhapàtà÷cetàüsi tàni cakitàni kalàvatãnàm  YRps_13.10d
kulatthakvàthasaubhàgya-  YRps_6.5a
kulatthe vàsaratrayam  YRps_11.22b
kuùñhakùayàdirogaghnaü  YRps_5.22c
kuùñhapàmàvicarcikàþ  YRps_6.45f
kuùñharogaharà sà tu  YRps_6.14c
kuùñhaü chardiü ÷leùmavàtau nihanti  YRps_7.19a
kuùñhànyeva nihantyà÷u  YRps_6.41c
kuùmàõóakhaõóamadhye tu  YRps_6.78c
kuùmàõóatoyasaüsvinnaü  YRps_6.4c
kuükumaü kesaraü caiva  YRps_12.2c
kuütavedhastathaiva ca  YRps_1.143b
kåpàdviniþsçtaþ såta÷  YRps_1.18a
kåpãtalasthitaü sattvaü  YRps_11.104a
kåpãmukhe tu yallagnaü  YRps_11.117a
kåpãyantraü pàlikàkhyaü  YRps_10.7a
kåpãü vàlukàyantrake  YRps_11.67b
kåpe dvàtriü÷ayàmakam  YRps_11.19d
kåpyàmàropayetsarvaü  YRps_11.116a
kårmavallã ca màdhavã  YRps_9.8d
kçtaü nàgàrjunàdibhiþ  YRps_2.22d
kçtaü samyak ÷rutaü nahi  YRps_1.132b
kçtànyevaü mayà khalu  YRps_11.133b
kçte samyak prajàyate  YRps_1.69d
kçtau yenàgnisahanau  YRps_5.120a
kçtrimaü ca trayo bhedàþ  YRps_4.21c
kçtvà cårõaü kàrayedgolakaü tat  YRps_8.22b
kçtvà cårõaü gàlitaü vastrakhaõóe  YRps_4.53b
kçtvà cårõaü ÷oùayetsåryatàpe  YRps_8.15b
kçtvà cårõaü sarvametatsamàü÷aü  YRps_8.30c
kçtvà chagaõakai÷càrdhaü  YRps_4.86a
kçtvà tàmrasya patràõi  YRps_4.37a
kçtvà dadyàdvallakaü hãnavaye  YRps_11.32d
kçtvàndhamåùàü teùàü tu  YRps_1.33a
kçtvà måùàü samàü ÷uddhàü  YRps_2.60c
kçtvà måùopari nyaset  YRps_1.127b
kçmighnã rãtikà matà  YRps_4.110b
kçmimedàmayaghnaü hi  YRps_4.94c
kçmirogaharaþ samyak  YRps_6.38a
kçmiü kuùñhaü karotyalam  YRps_5.8d
kçùõavarõaü ghanaü guru  YRps_5.107b
kçùõavarõaü bahiþ ÷uddhaü  YRps_4.95c
kçùõa÷ceti caturvidhaþ  YRps_6.28d
kçùõaü paramasuüdaram  YRps_5.3d
kçùõàgarusamanvitam  YRps_2.51b
kçùõàbhraü sarvarogàõàü  YRps_5.4c
kçùõàyuktaü ÷uddhamàkallakaü syàt  YRps_8.31c
kçùõo dehakarastathà  YRps_1.20b
kekicåóàjagandhà ca  YRps_9.29a
kekimàhiùavaràhapittakaiþ  YRps_3.64c
kesaraü ca lavaügakam  YRps_13.1b
kailàsa÷ikharàjjàtaü  YRps_4.22c
kokilàdhamanadravyam  YRps_10.34c
koñisaükhyàguõaü proktaü  YRps_4.65c
koõàgraü vai kuõñhitaü vartulaü ca  YRps_7.24c
kovikà karahàñikà  YRps_10.9d
ko÷àtakã kùãrakando  YRps_5.57a
koùñharoganibarhiõã  YRps_6.21f
koùñhikà nàtivistçtà  YRps_4.9d
kautukàni samàsataþ  YRps_1.11d
kautukàrthe na saü÷ayaþ  YRps_2.33d
kauberyàü ca di÷i kramàt  YRps_1.19d
kaulatthe vai kvàthyamànaü hi vajram  YRps_7.55d
kramate ca na saü÷ayaþ  YRps_1.138d
kramapràptamahaü vakùye  YRps_5.3a
kramapràptamidaü vakùye  YRps_2.7a
kramavçddhyà ÷ataü puñet  YRps_2.15b
kramàdagniþ prakartavyo  YRps_1.84c
krameõa gaganaü tàpyaü  YRps_5.2a
krameõa såtaü hi dinai÷caturbhiþ  YRps_3.54c
krameõànena mardayet  YRps_2.39b
krameõaiva yathàtatham  YRps_2.35b
kràmaõaü raüjanaü caiva  YRps_1.9a
kràmitaþ sàritaþ ÷ubhaþ  YRps_1.22d
kvàthe kulatthaje svinno  YRps_5.61a
kvàthe tu vañamålaje  YRps_5.32b
kùaõaü càgnau na tiùñheta  YRps_5.11c
kùaõàdàmajvaraü hanti  YRps_6.59a
kùatriyo vai÷ya÷ådrau ca  YRps_1.18c
kùayapàõóuvinà÷anam  YRps_6.50b
kùayarogasamudbhavam  YRps_5.9d
kùayaü pàõóuü grahaõikàü  YRps_5.50c
kùayaü pàõóuü tathànilam  YRps_5.131d
kùavajàngudajànapi  YRps_4.33d
kùàradvayaü ràmañhaü ca  YRps_1.50a
kùàrabhasmaprapårità  YRps_11.128b
kùàramamlaü ca varjayet  YRps_12.7b
kùàrayugmamapi cetsupeùitam  YRps_7.58b
kùàràdyair bhàõóamadhyataþ  YRps_5.109b
kùàràbhàsaü vaikañaü yugmakaü ca  YRps_7.9c
kùàràmlaü guru dhåmravarõaviùahçt vãryoùõakaü ràgadam  YRps_6.62b
kùàreõa caõakasya hi  YRps_1.74b
kùàreõa sarveõa hi vidrumaü ca  YRps_7.55a
kùàreõàmlena ca vinà  YRps_4.117c
kùàrairamlai÷ca mçdità  YRps_6.15c
kùàrairamlai÷ca vartitam  YRps_5.124d
kùàrai÷ca lavaõai ramyaiþ  YRps_1.72a
kùàraistribhi÷càpi vimardayecca  YRps_3.60b
kùàrau càmlena sahitau  YRps_1.31a
kùàlayitvà rasaü tataþ  YRps_1.111b
kùàlayet tadanantaram  YRps_1.41b
kùàlayed bahu÷o bhiùak  YRps_2.87d
kùàlite kàüjikenaiva  YRps_1.72c
kùiptvà caikatra mardayet  YRps_6.7b
kùiptvàdhaþ pãóanàdrasaþ  YRps_1.111d
kùiptvà nirundhyàpi ca måùikàyàü puñànyathàùñau ca vanopalairdadet  YRps_7.30/a
kùiptvà lohasya kharpare  YRps_4.68b
kùãraü pibati nànyathà  YRps_2.84d
kùãraü ÷oùayate nityaü  YRps_2.33c
kùãreõa pàcyaü da÷abhàgakena  YRps_12.14d
kùãreõa sahitaü vàpi  YRps_1.106a
kùutkàrã dugdhikà bhçügã  YRps_9.32c
kùudhito jàyate rasaþ  YRps_1.90d
kùetraü dvàda÷ayojanam  YRps_1.16b
kùepavedhaþ sa kathyate  YRps_1.146b
kùeptavyaü jalayantrake  YRps_11.107d
kùaudrasya ca pçthak pçthak  YRps_12.20b
kùaudrairyuktaü bhakùitaü saügrahaõyàm  YRps_8.29b
khañikàpañucårõaü ca  YRps_4.8c
khañikàü ca tathopari  YRps_11.63b
khañãpañu÷ivàbhaktaü  YRps_2.97a
khaõóaü karùapramàõaü hi  YRps_11.74a
khadirasya tu càügàraiþ  YRps_5.40c
khanijaü sahajaü tathà  YRps_4.21b
khanijà tuvarã matà  YRps_6.11b
khanitvà vasudhàü kùipet  YRps_1.128d
khanyamàne ca khanijam  YRps_4.22b
khanyamàneùu kutracit  YRps_4.6b
khanyàü saükhanyamànàyàü  YRps_4.59a
kharaspar÷à ca pàõóurà  YRps_4.107b
kharàõàü sattvapàtanã  YRps_10.35b
kharparaü retitaü ÷uddhaü  YRps_5.123a
kharparaü sthàpayettatra  YRps_10.37a
kharparaþ pari÷udhyati  YRps_5.122d
kharparopari vinyaset  YRps_2.73d
khalagodhåmayo÷cårõaiþ  YRps_5.39c
khalvaü óamarukàkhyaü ca  YRps_10.3c
khalve kùiptvà ca tattàlaü  YRps_6.5c
khalve ca vipacettadvat  YRps_4.69a
khalve trinemyàþ svarase  YRps_11.5c
khalve dinatrayaü tàvad  YRps_1.44a
khalve dçóhataraü piùñvà  YRps_4.90a
khalve piùñvà tu matimàn  YRps_5.30a
khalve vimardayettàvad  YRps_11.105c
khalve vimardayetsåtaü  YRps_1.37a
khalve vimardya nitaràü  YRps_4.72a
khalve sarvaü marditaü caikayàmaü  YRps_8.32c
khalve såkùmaü pracårõayet  YRps_4.43d
khàtapramàõaü kathitaü  YRps_2.68c
khàtaü trihastamàtraü syàl  YRps_2.97c
khàdedàrdraü cànupàne jvaràrtaþ  YRps_8.18c
khuraü tadabhidhãyate  YRps_4.79d
khuraü mi÷raü tathaiva ca  YRps_4.79b
khuraü ÷udhyati óhàlitam  YRps_4.80b
khuràsànyahãphenakam  YRps_13.1d
khoñakà ÷çïgarãñikà  YRps_9.34b
khoñaü nakùatrasannibham  YRps_2.49b
khoñaü baddhvà tu vipacet  YRps_2.81a
khyàtaü sadbhiþ saptadhà vidrumaü ca  YRps_7.11c
gaganaü kunañã samam  YRps_11.2b
gaganaü tu caturvidham  YRps_5.3b
gaïgeñã ÷arapuïkhikà  YRps_9.32d
gacchecca pramadà÷atam  YRps_12.7d
gajapater balavad balado nçõàü  YRps_3.9a
gajapippalikà bhçüga-  YRps_9.37c
gajavaügau mahàghoràv  YRps_1.103c
gajàhvaü chagaõena ca  YRps_2.69b
gaõapatiü prathamaü praõamàmyaham  YRps_1.3d
gaõitarasa÷atànàü saügrahaþ procyate vai  YRps_8.1d
gatabalena nareõa susevito  YRps_3.17a
gadaharo balado'pi hi varõado  YRps_3.13c
gadyàõake bhavettàraü  YRps_11.72c
gadyàõaü vai jàyate ÷uddhahema  YRps_11.34d
gadyàõe caturo vallàn  YRps_11.76c
gadyàõe vallamàtrakam  YRps_11.27b
gadyàõe vedhakçdbhavet  YRps_1.162b
gadyàõaikasya mudrikà  YRps_11.46b
gandhatàlena puñitaü  YRps_4.115c
gandhanimbårasairmardyaþ  YRps_5.61c
gandhapiùñakayantrakam  YRps_10.6d
gandharàgeõa kartavyaü  YRps_1.152a
gandharàgeõa ra¤jayet  YRps_1.153d
gandhàccårõaü tàpyatàmràva÷eùaü  YRps_11.32c
gandhà såtendrasiddhidàþ  YRps_9.38d
garadoùavinà÷inã  YRps_6.12d
gartake navasàdaram  YRps_11.63d
gartamadhyaü ca påritam  YRps_10.44d
gartamadhye nidhàyàtha  YRps_10.45c
gartamàpårya càügàraiþ  YRps_10.39a
gartaü khaned dçóhaü bhåmau  YRps_10.36a
gartaü ceccaturasrakam  YRps_10.46d
gartaü hastapramàõakam  YRps_4.85d
garte tu vàlukàpårõe  YRps_10.50a
garte tu sthàpitàü bhåmau  YRps_1.54e
garbhadrutirbàhyadrutiþ  YRps_1.24c
garbhadruterjàraõaü hi  YRps_1.96c
garbhamåùà tu sà j¤eyà  YRps_10.28c
garbhayantrodaràntare  YRps_4.43b
galaroganibarhaõam  YRps_4.116d
galitanimbuphalodbhavakena vai  YRps_3.24b
gavàü måtre tathaiva ca  YRps_5.15d
gavàü måtrairnarasya và  YRps_5.70b
gavyaü da÷aguõaü payaþ  YRps_12.18d
gaügodakasamudbhåtaü  YRps_7.5a
gaüdhakasya guõànvaktuü  YRps_6.51c
gaüdhakasya caturbhedà  YRps_6.28a
gaüdhakena samaü kçtvà  YRps_1.92c
gaüdhako'timanoharaþ  YRps_6.39b
gaüdhacårõaü satailakam  YRps_6.46d
gaüdhà÷mañaükaõàbhyàü ca  YRps_5.71a
gaüdhà÷maniübukadràvair  YRps_5.93c
gaüdhà÷mabãjapåràbhyàü  YRps_5.81c
gaüdhà÷mà vai pippalã vatsanàbham  YRps_8.34b
gàtraiþ ÷uddhaü bhàravadra÷miyuktam  YRps_7.14b
gàndharvã vyàghrapàdã ca  YRps_9.5a
gàndhàrã rajanãïgudã  YRps_9.35d
gàragoùñhã samuddiùñà  YRps_10.39c
gàrabhånàgasattvàbhyàü  YRps_10.18a
gàrabhånàgasatvàbhyàü  YRps_10.11c
gàramåùeti kathyate  YRps_10.12d
gàlayenmåùikàmadhye  YRps_11.113a
gàlitaü måùikàmukhe  YRps_11.121b
gàlitaü vajramåùayà  YRps_11.71d
gàlitaü vastrakhaõóena  YRps_5.30c
girijaü kaphavàtaghnaü  YRps_5.107c
giriõóàni ca nikùipet  YRps_10.45d
giri÷adhàma sadà mahadadbhutaü  YRps_1.4a
girisindåra ãritaþ  YRps_6.86d
girisindårasaüj¤itaþ  YRps_6.85d
girãndranàmà ruciro 'sti bhådharaþ  YRps_1.13b
guggulutriphalàsàrdhaü  YRps_3.46a
guñikà kolamàtrà hi  YRps_13.4c
guñyo hanyuþ sannipàtàtisàràn  YRps_8.30f
guóagaüdhau samàü÷akau  YRps_4.71d
guõàguõànyeva mayoditàni  YRps_4.118b
guõàdhikaü tayormadhye  YRps_5.102c
guõàdhikyànmahàrasàn  YRps_5.1b
guõàlpakaü bhavatyetat  YRps_5.80c
guõàþ ÷odhanamàraõam  YRps_1.7d
guõena kàùñhakhaõóe vai  YRps_1.34a
guõairevaüvidho bhavet  YRps_6.78b
gudàrtigulmavraõa÷ålahçtparaü  YRps_6.57c
guruõà kathitaü samyak  YRps_4.13a
gurumàrgeõa ca sphuñam  YRps_2.68d
guru÷ca ÷leùmapittahà  YRps_6.74b
guru snigdhaü ca bhàsuram  YRps_6.2d
guru snigdhaü tridoùahà  YRps_6.26b
guru snigdhaü su÷ãtalam  YRps_5.104b
guruþ snigdhà ca khaõóikà  YRps_6.17d
guråõàü hi prasàdataþ  YRps_2.1d
guråpade÷ato dçùñaü  YRps_1.131c
guroþ prasàdàtsatataü  YRps_1.100a
gulmaplãhayakçtkùayàn  YRps_4.54b
gulmaplãhàmayàpaham  YRps_6.69b
gulmàni càùñàvudaràõi hanyàt  YRps_3.58c
gulmànpa¤cavidhànapi  YRps_5.51b
guüjàmàtrà nirmità bhakùità hi  YRps_8.30e
guüjàmàtro bhakùita÷cejjvaràriþ  YRps_8.19d
gçhadhåmaiþ sasaiüdhavaiþ  YRps_5.124b
gçhõãyàtàü ca måùikàm  YRps_2.41b
gçüjanasya rasenaiva  YRps_11.78c
gairikaü tu gavàü dugdhair  YRps_6.82a
gairikaü navasàdaram  YRps_11.42d
gairikaü navasàdaram  YRps_11.46d
gairikaü satvaråpaü hi  YRps_6.82c
gairikaü sthàpayetpårvaü  YRps_11.63a
gairikeõa samaü kçtvà  YRps_11.29a
gokùurekùurabãjàni  YRps_12.3a
gojihvà kàkamàcã ca  YRps_2.104c
gojihvà musalã tathà  YRps_9.15b
gojihvàrasasaümi÷raü  YRps_11.77c
gojihvikàrasenaiva  YRps_2.46c
godugdhatas tàrkùyamupaiti ÷uddhim  YRps_7.55b
godugdhaü cànu sampibet  YRps_6.49d
godugdhe ÷odhanãyaü ca  YRps_13.7c
gomayairveùñitaü tacca  YRps_2.14c
gomàrã ca tri÷ålinã  YRps_9.5b
gomåtre kà¤jike càtha  YRps_11.22a
gomåtreõàtha kùàrai÷ca  YRps_5.54a
gomåtreõànupànena  YRps_3.49a
gomåtreõàmlavargeõa  YRps_1.110a
gomåtreõaiva svedayet  YRps_11.9b
gomedakaü pittaharaü pradiùñaü  YRps_7.48a
gomedakaü ratnavaraü pra÷astaü  YRps_7.45a
gomedakaü ÷uddhamihocyate khalu  YRps_7.45d
gomedavad ràgayutaü pracakùate  YRps_7.45b
gomedaü cedãdç÷aü no variùñham  YRps_7.47d
gomedaü vai rocanàyà rasena  YRps_7.56b
golakopari niveùñya måtrataþ  YRps_7.60d
golamasya ca vidhàya nikùiped  YRps_7.60a
golamasya ca vidhàya saüpuñe  YRps_8.11a
golasya svedanaü kàryam  YRps_2.94c
golaü kçtvà dhamettataþ  YRps_11.70b
golaü kçtvà maüdavahnau vipàcya  YRps_8.23d
golaü kçtvà vi÷oùitam  YRps_11.83b
golaü garbhe nive÷ayet  YRps_2.104b
govaraü puñamucyate  YRps_10.48d
govare puñake nyaset  YRps_11.130b
govarairvà tuùairvàpi  YRps_10.52a
govaraiþ pàcayetsvalpam  YRps_11.111c
gostanàkàramåùà yà  YRps_10.23a
granthakàreõa nirmitam  YRps_10.43b
granthavistarabhãtyàtra  YRps_9.11c
granthibheda÷ca jàyate  YRps_1.44f
grantho'yaü grathitaþ karotu satataü saukhyaü satàü mànase  YRps_13.15d
grastayantraü tathaiva ca  YRps_10.4d
grahaõãkàmalà÷åla-  YRps_5.99c
grahaõãkùayarogaghnã  YRps_6.72c
grahaõãü nà÷ayed duùñàü  YRps_6.50c
graüthe 'smin parikalpitàþ  YRps_1.12d
gràsa evaü pradãyate  YRps_1.89d
gràsamàne punardeyaü  YRps_1.113a
gràsenaiva ca sàdhayet  YRps_1.90b
gràhayettàü bhiùagvaraþ  YRps_11.25b
gràhyaü cetpravaraü sadà  YRps_11.104b
gràhyaü satvaü tad årdhvagam  YRps_11.81b
grãùmavarùà tu yåthikà  YRps_9.28d
ghañastho hi rasottamaþ  YRps_1.65d
ghañikàturyamàtraü hi  YRps_11.45a
ghañikàdvayamànena  YRps_2.40c
ghañikàdvayamànena  YRps_11.126a
ghañãmadhye payaþ kùiptvà  YRps_6.33a
ghañãyantraü garbhayantram  YRps_10.3a
ghanaghàtàkùamà råkùà  YRps_4.107c
ghanarase samabhàgaviloóitaþ  YRps_3.2d
ghanasatvaü hi sàdhayet  YRps_1.102d
ghanasàreõa saüyuktaü  YRps_13.11c
ghanaü raktaü su÷obhanam  YRps_7.3d
ghanãbhåtaü ca saüjàtaü  YRps_5.69a
gharùaõaü tu prakàrayet  YRps_4.99d
gharùayet triguõaü såtaü  YRps_5.84a
gharùayedvañikàyugmaü  YRps_11.70a
gharùayellohadaõóena  YRps_5.129c
gharùa÷ca biüdu÷ca tathaiva reùà  YRps_7.52a
ghàõikàyantramuddiùñaü  YRps_10.8a
ghçtakùaudraplutaü prage  YRps_6.65d
ghçtagandhà nimbuvallã  YRps_9.8a
ghçtaprasthatrayeõaiva  YRps_12.5a
ghçta÷àkàdivarjitam  YRps_4.113f
ghçtàktaü ñaükaõopetaü  YRps_11.121a
ghçtena ca pariplutam  YRps_5.30d
ghçùñaü kanyàrasena vai  YRps_11.51d
ghoràn vyàdhãn sçjanti hi  YRps_5.6d
ghoùàkçùñaü ca tàmrakam  YRps_1.94b
ghoùàkçùñaü tu yattàmraü  YRps_11.51a
cakravallã sarpadaüùñrà  YRps_9.36c
cakràkàramathàbhrakam  YRps_5.21d
cakràkàraü kçtaü ÷uùkaü  YRps_5.16c
cakrãbaddharase hità  YRps_10.29d
cakrãü caturguõenaiva  YRps_4.82a
catura eva bhàgàü÷ca  YRps_11.36c
caturaïgulakaü dçóham  YRps_10.36d
caturasramatho nimnaü  YRps_4.85c
caturasraü hi gartakam  YRps_10.44b
caturasrà ca nimnakà  YRps_10.27b
caturasrà prakãrtità  YRps_10.30d
caturaügulasaümità  YRps_1.121d
caturgu¤jàpramàõaü hi  YRps_11.87a
caturguõe 'bhrake jãrõe  YRps_1.116c
caturõàü jàyate khalu  YRps_1.18d
caturthakaïkuùñhamihaiva vàjinàü  YRps_6.55a
caturthàü÷aü vi÷eùataþ  YRps_11.23d
caturthàü÷ena råpyakam  YRps_11.107b
caturthenàtha bhàgena  YRps_1.89c
caturdikùu gatàni ca  YRps_2.62d
caturdikùu gatàni ca  YRps_11.136d
caturdikùu gato dvijaþ  YRps_1.18b
caturdhà baüdhavij¤ànaü  YRps_1.6a
caturbhàgena raviõà  YRps_4.111a
caturyàmaü dhmàpità hi  YRps_10.20a
caturyàmaü prayatnena  YRps_4.100a
caturyàmàvadhiü tathà  YRps_13.5b
caturvàram idaü khalu  YRps_4.69d
caturvidhànyeva tu bandhanàni  YRps_2.108a
caturviü÷atiyàmakam  YRps_11.3b
catuùñaükamità kàryà  YRps_11.61c
catuþùaùñimitàþ samyag-  YRps_9.1c
catuþùaùñiriti proktà  YRps_9.9c
catuþùaùñyaü÷akaü càbhra-  YRps_1.82c
catuþùaùñyaü÷ato bãjaü  YRps_1.87c
catuþùaùñyaü÷amànena  YRps_11.126c
catvàra ete såtasya  YRps_2.4c
catvàri kàüsyabhàõóàni  YRps_11.136c
candrikàrahitaü samyak  YRps_5.19e
candrodakà sàrivà ca  YRps_9.18a
caràcaraviùaü jayet  YRps_5.77b
carmaraïgyà rasenaiva  YRps_11.8c
carmàraþ prathamaþ prokto  YRps_6.75c
caüdranakùatrasannibham  YRps_11.94b
càõóàlã tàmravallikà  YRps_9.3d
càtiprayatnena tu vaidyavaryaiþ  YRps_7.64d
càndhamåùàgataü dhamet  YRps_1.136d
càndhayed anyamåùayà  YRps_2.20b
càraõaü guõavardhanam  YRps_1.93b
càraõaü ca krameõa hi  YRps_1.24b
càrayetsamabhàgikam  YRps_1.95d
càrdhaü ÷ubhraü graüthilaü mauktikaü ca  YRps_7.9b
càr÷orogavinà÷inã  YRps_3.49b
càùñamàü÷aü tu kàrayet  YRps_6.6d
càügulàrdhamapi mànameva hi  YRps_8.7b
càügerãsvarasenaiva  YRps_2.80c
citrakasya rasena vai  YRps_2.37d
citrakeõa samanvità  YRps_1.31d
citrako bhçïgaràjakaþ  YRps_3.49d
citramålakarudantike ÷ubhà  YRps_7.59a
citraü gharmaprasaügena  YRps_2.63a
citràgharme dviyàmakam  YRps_11.136b
citronmattair mardayedvàsaraikam  YRps_8.27b
cipiñàkhyaü tulàbhidham  YRps_10.3d
ciücàtvakcårõakaü kùipet  YRps_4.81b
culyàmàropaõaü kàryaü  YRps_2.74a
culyàü nive÷ya taü yaütraü  YRps_1.84a
culyàü sthàlãü nive÷yàtha  YRps_1.52c
cullyàü ca kuryàdatha vahnimeva  YRps_4.52c
cuübakaü dràvakaü tathà  YRps_4.65d
cårõatoyena và svinnaü  YRps_6.4e
cårõayenmatimàüstataþ  YRps_11.138d
cårõaü kajjalasaükà÷aü  YRps_4.41a
cårõaü kçtvà nikùipet kàcakåpyàm  YRps_11.33c
cårõaü kçtvà marditaü daütitoyair  YRps_8.19c
cårõaü càtidravãkçtam  YRps_4.47d
cårõaü caitad bhàvayettadrasena  YRps_8.15c
cårõitaþ ÷ukapicchena  YRps_5.55a
cårõità ca ni÷à tathà  YRps_4.85b
cårõità yàti raktàïgã  YRps_6.17c
cårõãkçtaü gàlitameva vastràd  YRps_12.12c
cårõãkçtaü tu madhvàjyaiþ  YRps_4.49c
cårõãkçtàni satataü  YRps_2.28a
cårõãkçtya ca tatsarvaü  YRps_3.51a
cårõenàcchàdya yatnena  YRps_4.88a
cårõairetaiþ ÷aükhamàpåritaü vai  YRps_8.27c
cålikàlavaõamamlavetasaü  YRps_7.58c
caikaviü÷ativàrakam  YRps_11.75b
caiteùàü kalkamàdi÷et  YRps_1.125d
