Nagnajit: Citralaksana (= NCit)
Based on the ed. by Asoke Chatterjee Sastri: The Citralakùaõa : An Old Text of Indian Art, 
Sanskrit, Tibetan and English Version. Calcutta 1987 (Bibliotheca Indica Series, 315)



Input by members of the Sanskrit Buddhist Input Project.
With kind permission of the Digital Sanskrit Buddhist Canon Project
of Nagarjuna Institute, Nepal
and University of the West, Rosemead, California, USA
(www.uwest.edu/sanskritcanon)
Version: 2009-03-19 13:29:40
Proof Reader: Milan Shakya



The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod bhayajid ràjà  NCit_1.39c
dakùiõàvartino nàbhiþ  NCit_3.133c
dadau pratyuttaraü mçdu  NCit_1.30c
dadhimuktàbjavacchuklàþ  NCit_3.105c
dantamålaü tathà tàlu  NCit_3.107a
danta÷irasya lobhànàü  NCit_3.104a
dayàü yadi na kuryàstvaü  NCit_1.24a
darpaõaspar÷akomalaþ  NCit_3.124b
dar÷anãyaü manuùyebhyo  NCit_1.108c
dar÷ane sumanoharau  NCit_3.64d
da÷àïgulaü bhaved dhruvam  NCit_3.97b
dãyatàü tanayaþ priyaþ  NCit_1.29b
dãrghaü khartaü ca vartulam  NCit_3.45b
dãrghà aïgulayastathà  NCit_3.66b
dãrghàgrasundaraü pakùma  NCit_3.29c
dãrghàïguliyutau karau  NCit_3.137b
dãrdhottama ca pakùma hi  NCit_3.129a
dãrdhau såkùrmau ca sundarau  NCit_3.92b
duþkhitàü sakalàü pçthvãü  NCit_1.47a
dç÷yavannàñakasyeva  NCit_3.123c
dçùño 'sau vi÷vakarmà ca  NCit_1.98a
dçùñvà taü tu paràjitam  NCit_1.44b
dçsñvà brahmà tathà suraiþ  NCit_1.47b
dediùyate ca deho 'sya  NCit_3.119c
devatànà¤ca vipràõàü  NCit_1.64a
devabhåtamanuùyàõàü  NCit_3.116a
devamukhe na dãyate  NCit_3.104d
devaràkùasagandharva  NCit_3.2a
devavipravirodhinàü  NCit_1.67a
devàllokapitàmahàt  NCit_1.15d
devàstrairapi durjayaþ  NCit_1.16b
devàþ prasannamànasàþ  NCit_2.18b
devena padmayoninà  NCit_1.103b
devai÷citraü vivarddhitaü  NCit_1.106c
de÷asturandhrayormadhye  NCit_3.35a
de÷e 'kàlamçtiyataþ  NCit_1.20d
dehi dehi sutaü deva  NCit_1.36c
dehi svàmin kçpànvitaþ  NCit_1.23d
dehe jaïghopajaïghà ca  NCit_3.140a
deho mànànvito bhavet  NCit_3.141d
dehyasmai putramuttamam  NCit_1.35d
daighrye tvaùñàïgulo j¤eyo  NCit_3.48e
daurmanasyaü yamo gataþ  NCit_1.58d
dvàtriü÷at tasya maõdalam  NCit_3.14c
dvàda÷àïgulimànakaþ  NCit_3.12f
dvàda÷eùu sahasreùu  NCit_3.154c
dvijaputraü mahopatiþ  NCit_1.54d
dvijaputro balãyasà  NCit_1.33d
dviyavaparimàõakaþ  NCit_3.35b
dveùagrastebhya eva ca  NCit_2.14b
dveùiõo 'pi budhàþ svargàd  NCit_1.62a
dvau yavau caturaüguliþ  NCit_3.17d
dvyaïgulaþ sàdhuni÷citaþ  NCit_3.65d
dvyaïguliparimàõakaþ  NCit_3.15b
dvyaïguliparimàõakaþ  NCit_3.33d
dvyaïgulordvyaïgulaü mànam  NCit_3.6a
dvyaïgulau hyakùikoùaþ syàn  NCit_3.21c
dvyuïgulaü bhåpade÷agam  NCit_3.62d
dharàpçùñe samàyàta  NCit_3.127c
dharmaj¤aþ satyaniùñha÷ca  NCit_1.9c
dharmanãtiþ suvij¤àya  NCit_1.60a
dharmaràjaü jagadbandyaü  NCit_1.27a
dharma÷ca sadç÷o bhàvyaþ  NCit_2.15a
dhàrmikasya pra÷àsane  NCit_1.10b
dhãman ÷çõu vadàni te  NCit_3.87d
dhålimalena nirliptaþ  NCit_3.124c
na kàryaü viùamaü kvacit  NCit_3.58d
na kuñilaþ prade÷akaþ  NCit_3.50b
nakùatrai÷cà÷ritaþ såryo  NCit_1.93c
nakhaprabhàsamujjvalau  NCit_3.137c
nakhà raktàstathà svacchàþ  NCit_3.78c
nakhà÷càrdha÷a÷àïkavat  NCit_3.69a
nakhàþ såkùmàü nakhàgrakàþ  NCit_3.81b
nakhodarastanuþ snigdha  NCit_3.86c
nageùu sakaleùu ca  NCit_1.94b
nagnajitaü namaskçtya  NCit_1.5c
nagnajid gaccha tasmàt tvaü  NCit_1.96a
nagnaü pretaü nivàraya  NCit_1.70b
na cyutà dharmatatparàþ  NCit_1.13b
na jàto 'sau pravartate  NCit_1.21d
na doùo bhavatàü nàtha  NCit_1.50a
naddhà jàlakramàdanu  NCit_3.78b
na nindet kàmapi prajàm  NCit_1.60b
na pàtayed bhavàn khalu  NCit_1.70d
na bhåto na bhaviùyati  NCit_3.160b
namaskaromyahaü caiva  NCit_1.5a
namaskçtya yamasvàrthe  NCit_1.68c
na mukhaü syàt kadàcana  NCit_3.43d
namo namo mayà samyag  NCit_1.3c
nayanaü càpasannibham  NCit_3.23b
nara iha ca sarvadà  NCit_3.44d
nararàjo mahodharaþ  NCit_1.9b
naralakùaõayukteùu  NCit_3.155a
narttane rodane krodhe  NCit_3.18c
navayavakasammatam  NCit_3.77d
navayavaiþ susaünitam  NCit_3.25b
navàrdhaparõavaccàruþ  NCit_3.109e
na ÷akyate na ÷akyate  NCit_1.36a
naùñaþ senàpati÷caiva  NCit_1.43c
nàçiparva tvadç÷yakam  NCit_3.91d
nàçã dç÷yà kadàpi na  NCit_3.85b
nàgendràbhogasannibhaþ  NCit_3.86b
nàóyaviùamasaüpuùñà  NCit_3.68c
nàtiprasàrito bhavet  NCit_3.102f
nàtisaükocamàpanna  NCit_3.102c
nàtra ÷aïkà kçthà naraþ  NCit_2.12e
nànà prakàraduþsvapnàt  NCit_2.14a
nànàvidhàni santi ca  NCit_1.86d
nànà÷àstrasamuddhçtam  NCit_1.8b
nàbhijaïkhopajaïkhànàü  NCit_3.162a
nàbhito meñraparyantaü  NCit_3.50e
nàbherardhàïgulaü matam  NCit_3.51b
nàmàdikãrtanaü kàrya  NCit_2.16c
nàràyaõaü sarasvatãm  NCit_1.1b
nàrãõàü parimàõaü ca  NCit_3.163e
nàrãpuruùayoþ satsu  NCit_3.154a
nàlpamapi sukhaü ki¤cid  NCit_1.61c
nà÷akam netramodakaü  NCit_2.22d
nàsàkarõamukheùu ca  NCit_3.114b
nàsàko÷àt samutthàya  NCit_3.19c
nàsàyàþ punaràroha÷  NCit_3.33a
nàsàrandhràgrade÷asya  NCit_3.34c
nitambade÷a àrohe  NCit_3.102a
nitambapàr÷vamànaü syàt  NCit_3.100a
nindà tyàjyà tathaiva ca  NCit_1.65d
nindopàyaþ katha¤cana  NCit_1.64d
nirahaïkàriõà tasmàt  NCit_1.63a
nirdiùñaü càvabodhàrthaü  NCit_3.103c
nirdiùñaü citralakùaõaü  NCit_1.103c
nirmedha÷a÷iccàru  NCit_3.126a
nirvikalpaü bhaveccakùur  NCit_3.26c
nivartasva kumàrgebhyas  NCit_1.72c
ni÷cayena na kãrtyate  NCit_3.17b
niùkuñilaü sukomalam  NCit_3.165b
nãrogà na ca hantàro  NCit_1.11a
nãlavalkalasundaraü  NCit_3.31b
nãlaü kçùõaü ca dãrghaü ca  NCit_3.129c
nãlaü cakùurmanogràhi  NCit_3.118c
nãlà¤janasamaprabhaiþ  NCit_3.115d
nãlà dedãpyamànà÷ca  NCit_3.112c
netraprãtivivarddhanaü  NCit_3.165d
netramadhyaü tathaiva tu  NCit_3.21d
netramànamidaü j¤eyaü  NCit_3.32a
netramålàt pramoditàþ  NCit_2.10b
netraü matsyodaraü bhavet  NCit_3.27b
netràõàü varõito mayà  NCit_3.26b
netrànandavidhàyakau  NCit_3.129f
naipuõyena ca vidyayà  NCit_1.63d
nairujyaü saüpradàsyati  NCit_2.13f
naiva kàryà mukhàkçtiþ  NCit_3.43b
nyàya÷ca pràbhavan tadà  NCit_2.5b
pa¤caviü÷atiraïgulaþ  NCit_3.55b
pa¤ca÷a upadiùñavàn  NCit_3.154d
pa¤càïgulaü tu gaõóodhvaü  NCit_3.41a
pa¤càïgulaü prakãrtitam  NCit_3.74b
pa¤càïgulisamàyàmau  NCit_3.64c
patanti sàgare nadyaþ  NCit_1.93a
padmapatranibhaü netraü  NCit_3.25a
padmapatranibhaü varam  NCit_3.28b
padmapatrapratãkà÷aþ  NCit_3.109a
padmàsyàyàstathà giram  NCit_1.2b
paramaü kathayàmi te  NCit_1.88d
paramàõubhiraùñàbhir  NCit_3.5a
paramàõu÷ca vàlàgraü  NCit_3.4a
parasparasamãpagam  NCit_3.62b
paràkràntasya dhãmataþ  NCit_1.17b
parimaõóalasampannau  NCit_3.137e
parimaõóalasaüyutaþ  NCit_3.40d
parimàõaj¤akãrtità  NCit_3.5d
parimàõapratiùñàno-  NCit_3.146c
parimàõasya lakùaõam  NCit_3.152b
parimàõaü kalànvitaü  NCit_1.107d
parimàõaü kimasya syàt  NCit_1.87a
parimàõaü guõaü tathà  NCit_2.7d
parimàõaü tathàsthànaü  NCit_1.102c
parimàõaü tu yatra ca  NCit_3.144b
parimàõaü ùaóaïgulaü  NCit_3.96c
parimàõaü suyatnataþ  NCit_3.146b
parimàõàdikaü teùàü  NCit_2.19a
parimàõànusareõa  NCit_3.7e
parimàõànusàreõa  NCit_3.149c
parivçtiþ ùaóaïguliþ  NCit_3.65e
parivçtiþ samànaiva  NCit_3.53e
parivçttirdviraïguliþ  NCit_3.67d
paryàyavàcinau matau  NCit_3.7d
parvatarekhà tvadoùabhàk  NCit_3.81d
parvaü dãrghaü ca vçtaü ca  NCit_3.82a
parvàrdhena mitàþ kàryà  NCit_3.81a
parvàrdhena susaümatà  NCit_3.74d
pàtacampakapuùpavat  NCit_3.119d
pàdapçùñomçdå syàtàü  NCit_3.136e
pàdasya bandhanaü syàttu  NCit_3.62c
pàdau caturda÷àïgulau  NCit_3.60d
pàpaghnaü ca manohàri  NCit_1.78a
pàpahànikaraü bhãter  NCit_2.22c
pàpàn nà÷ayati dhruvam  NCit_2.14d
pàyàdibhirvihãnà yà  NCit_3.146d
pàyustu dvyuïgulaü matam  NCit_3.101d
pàrvatyà anusçtyaiva  NCit_1.2c
pàr÷vàïgulikramàdanu  NCit_3.75d
pi÷àcapretakàyikàþ  NCit_3.2d
pi÷àcà ràkùasà bhåtà  NCit_3.147a
puõyàtmà påjayiùyati  NCit_2.17b
punaragre pravakùyàmi  NCit_3.95a
punaratra pravakùyate  NCit_3.103d
punarjãvanamàpede  NCit_1.55d
punardeyaü cucåkayoþ  NCit_3.52b
purà ÷ubhà÷ubhaü karma  NCit_1.51a
puruùaü vacanaü tyàjyam  NCit_1.66a
puruùàõàmidaü mànaü  NCit_3.99c
puredaü lakùaõaü ÷rutvà  NCit_1.9a
purvoktaü vistareõa ca  NCit_3.10d
puùñamasina saüyutam  NCit_3.58b
puùñirj¤eyà mahàmate  NCit_3.161d
påjanãyaü hasan nçpam  NCit_1.30b
påjanãyo bhaviùyasi  NCit_1.77b
påjayitvà prayantataþ  NCit_1.82b
påjayiùyati vaþ sadà  NCit_2.12f
pårvalakùaõasaüyutaü  NCit_3.46b
pçùñamålasamàgatàþ  NCit_3.112d
pçùñhamadhyaþ ùaóaïgulir  NCit_3.98c
pçùñhaü bhàgena sundaram  NCit_3.99b
prakartavyo na kartavyo  NCit_1.64c
pragacchannaiva dçùñitàm  NCit_3.59b
pracàraya prayatnataþ  NCit_2.19d
prajàpatitulaþ pçthvàü  NCit_1.74e
prajàpatestathà ÷ambhoþ  NCit_1.2a
prajà mayà vinirmitàþ  NCit_1.106b
prajàhitakaraü bhavet  NCit_3.30b
prajàþ pàlaya niùpàpaþ  NCit_1.75c
praõamya bhayajinnçpaþ  NCit_1.27b
pratidi÷amadhàvata  NCit_1.43b
pratimànàü yathàyatham  NCit_2.16b
pratimà sà parityaktà  NCit_3.146e
pratimàü yàü pratidinaü  NCit_2.17a
pratyakùaü pràpyate yattu  NCit_1.66c
pratyaïgaü ca yathàyatham  NCit_2.9b
pratyaïgaü samatàü bhajet  NCit_3.145b
pratyàvçtya raõàd devaþ  NCit_1.49e
pratyupakçddvijàtestu  NCit_1.28a
pradàya sarvamã÷ena  NCit_1.103a
pradiptàgni÷ikhà yathà  NCit_3.69d
pradãptamaõisaükà÷aþ  NCit_3.125a
pradhànànà¤ca bhåbhçtàm  NCit_3.160d
prapayau nagaraü drutam  NCit_1.83b
prapãóya mumude bhç÷am  NCit_1.41d
prabhàmaõóalamaõóitam  NCit_3.126b
prabhàvaiþ pràptavi÷ruteþ  NCit_1.17d
prabho tribhuvanasyàpi  NCit_1.29a
pramàõaüùaóyavaü smçtam  NCit_3.24b
pralayànte ca vai purà  NCit_2.2b
pravàhå caturaïgulã  NCit_3.90b
pravçttaü tapasi drutam  NCit_1.14d
pra÷aü÷asurvidhiü suràþ  NCit_2.10d
prasannapadmavannetràü  NCit_3.31a
prasannaü càrulakùaõam  NCit_3.42d
prasanno hyagamad drutam  NCit_1.97d
prasàre dãrghakau yathà  NCit_3.137d
prasiddhaiþ ÷ilpibhiþ kàryaü  NCit_3.143a
prahlàdasàramujjvalam  NCit_1.7b
pràkàra iva tçptidaþ  NCit_3.120b
pràõatulyaü sutaü mahyaü  NCit_1.23c
pràõebhyo 'pi sutaþ priyaþ  NCit_1.28b
pràdurabhåt suvarõàõóaü  NCit_2.2c
pràntadvayaü ca jaïghàyà  NCit_3.56a
pràha yathàyathaü vacaþ  NCit_1.48d
pràha vaivasvataü yamam  NCit_1.35b
pràha saptasuràn brahmà  NCit_2.12a
priyaudàryaguõà yatra  NCit_3.142c
prãõayitvà yamaü tathà  NCit_1.82d
pretaparyàyakaü nagnam  NCit_1.74a
pretànàü yakùarakùasàm  NCit_1.109b
preto dàruõarupã ca  NCit_1.43a
protisukhapradaü nçõàm  NCit_1.78b
phullàravindakoùasya  NCit_3.130a
baddhaskandhau supårõàü÷au  NCit_3.131c
bandhanaü ca pradàtavyaü  NCit_3.52c
bandhuraþ syànna saü÷ayaþ  NCit_3.50d
babhåvuràturà sarve  NCit_1.46c
balena tejasà càpi  NCit_1.71a
bahu÷aþ pràha vãrahà  NCit_1.38b
bahusthànapratiùñhitam  NCit_3.164d
bàhuprabàhumànàni  NCit_3.94c
bàhumålopajaïghàsu  NCit_3.114a
bàhå daõóàyamànasya  NCit_3.93c
bàhånàü mànamàrohaü  NCit_3.87c
bàho÷càpi tathaiva ca  NCit_3.88f
buddhimantaþ kçte ÷çõu  NCit_1.103d
buddhimàn puraùottamaþ  NCit_1.25b
buddhimàü÷ca ya÷o'nvitaþ  NCit_1.9d
bçùaõau nàtilambau hi  NCit_3.53c
bramha priyau hi ràjan tvaü  NCit_1.23a
bramhà éùyà÷rayo yathà  NCit_1.93d
bramhàõamabhivandyàtha  NCit_1.56c
brahmaj¤ayà hyupasthitaþ  NCit_1.99b
brahmaõa÷ca mayà pràptaü  NCit_2.20a
brahmaõaþ kçpayà labdhàþ  NCit_1.105c
brahmaõà tu pradar÷itaü  NCit_3.152c
brahmaõetthaü vacasyukte  NCit_1.80a
brahmaõetthaü sa bhåpàlo hy  NCit_1.68a
brahmaõo jàtireva ca  NCit_2.4d
brahmaõo bhåpatistataþ  NCit_1.97b
brahmalokaü jagàma saþ  NCit_1.85d
brahma÷iro 'ïkita càstram  NCit_1.45c
brahmàõaü ca mahàdevaü  NCit_1.1a
brahmàõaü lokapàlakam  NCit_1.80d
brahmàõaü svàgata dçùñvà  NCit_1.48a
brahmàõà kathite tvevaü  NCit_1.58a
brahmà taccitramàdàya  NCit_1.54e
brahmàtha pràha bhåpendraü  NCit_1.88a
brahmà prasannatàü gataþ  NCit_1.69b
brahmàbravãt tato bhåpaü  NCit_1.57a
brahmà svayaü samà÷vàsya  NCit_1.59c
brahmetthaü cintayitvà tu  NCit_2.7a
bràhmaõaprãtaye ime  NCit_1.57b
bràhmaõasya hitàrthàya  NCit_1.27c
bràhmaõasyàsya påjanàt  NCit_1.52b
bràhmaõànugrahàttathà  NCit_1.74d
bhadro lekhyo vicàrayan  NCit_3.157b
bhadrau dvayaïgulinà nyåno  NCit_3.150a
bhayajito manaþ ÷uddhaü  NCit_1.14c
bhayajinnçpasattamaþ  NCit_1.48b
bhayapravartakà ime  NCit_1.42d
bhaye ÷oke ca bhråpràntàv  NCit_3.19a
bhavantaü påjayiùyati  NCit_2.13d
bhavanti vicyutàstahà  NCit_1.62b
bhavàn mahàya÷asvã ca  NCit_1.72a
bhavitavyaü sadà khalu  NCit_1.63b
bhaveccaturda÷àïguliþ  NCit_3.12b
bhavetàmànapårõyataþ  NCit_3.92d
bhavedaùñàda÷àïguliþ  NCit_3.91b
bhaved dvàda÷akàïgulam  NCit_3.57f
bhàùite tu dvijenaivaü  NCit_1.25a
bhåtànàü ÷ikùako yathà  NCit_3.123d
bhåpatiü pràha sattamaþ  NCit_1.59d
bhåpatonàü tatastathà  NCit_3.3b
bhåpena sarvathà naùñà  NCit_1.42c
bhåspar÷au jàlavçddhau ca  NCit_3.63c
bhç÷aü vika÷ità bhavet  NCit_3.140b
bhramarà¤janasannibhàþ  NCit_3.111d
bhrupçùñhakarõayostathà  NCit_3.16b
bhruvorucchràya àroho  NCit_3.17c
bhruþsyànnava÷a÷àïkavat  NCit_3.18b
bhråmadhyàt ke÷aparyantaü  NCit_3.20c
bhråvaþ prabhçti bhàlàntaü  NCit_3.21a
bhråvoþ kaõñhasya bhàlasya  NCit_3.127e
bhråvau dãptau sadà j¤eyau  NCit_3.129e
maïgala÷ropradàyakaü  NCit_1.78c
maõiputrasamàkhyaspa  NCit_1.18c
maõóalànvitanimnagam  NCit_3.100d
maõóalo dvayaïgulo vàsaþ  NCit_3.52a
matiritthaü babhåva ha  NCit_2.6b
matiü cakre nçpàlakaþ  NCit_1.25d
mattaþ ÷rutvà ca lakùaõam  NCit_2.19b
matprasàdàt prapåjyatàm  NCit_1.52d
matpràrthanàva÷àd deva  NCit_1.35c
matsyodarasunetrasya  NCit_3.24c
madãyavaü÷arakùàkçt  NCit_1.22a
madgçhaü pratipadyàtha  NCit_1.33a
madhyasya dvayaïgulàyàmaþ  NCit_3.99a
madhyàïguleþ samucchràyaþ  NCit_3.74a
manasà ca mahipate  NCit_3.47d
manuùyeùu ca yo nàma  NCit_2.13c
manoramaü surupaü ca  NCit_2.8c
manorogavivarjitàþ  NCit_1.11b
mama prasàdàd ràjendra  NCit_1.74c
mameyaü vacanena ca  NCit_1.79b
mayà naiva pragçhyate  NCit_1.32d
mayà proktaü sucintitam  NCit_3.72f
mayårakaõñharomàbhàþ  NCit_3.112a
maràlagàtasaüyutaþ  NCit_3.138b
mahàdevàya devàya  NCit_1.3a
mahàprabhàva÷àlibhiþ  NCit_1.41b
mahàbhàgasya devànàü  NCit_1.17c
mahàbhåto 'pi sarvataþ  NCit_1.46b
mahendro devavçndake  NCit_1.95b
mànamaùñayavaü bhavet  NCit_3.24d
mànamaùñàïgulaü matam  NCit_3.57d
mànamidaü pravartate  NCit_3.3d
mànavaü syàccaturyavam  NCit_3.34d
mànavàïgeùu yatnataþ  NCit_3.143b
mànaü kuryàd yathàvidhi  NCit_3.88b
mànaü ca dahiõàvarttaü  NCit_3.51c
mànaü tu kramikaü matam  NCit_3.163b
mànaü da÷ayavaü bhavet  NCit_3.25d
mànaü dvyardhàïgulaü matam  NCit_3.20d
mànaü pa¤càïgulaü matam  NCit_3.60b
mànaü bråhi prajàsu ca  NCit_3.1d
mànaü và kãdç÷aü bhavet  NCit_1.85b
mànaü sarvatra karmaõi  NCit_3.144d
mànaü syàccaturaïgulam  NCit_3.21b
mànaü syàccaturaïgulam  NCit_3.55d
mànena ca tathàyutam  NCit_3.164b
màlavasya tathocchràya÷  NCit_3.158c
màlavya÷caturaïguliþ  NCit_3.150b
màsàgrasya samucchràyau  NCit_3.33c
màüsapurõaü bhaved vakùaþ  NCit_3.132a
màüsape÷yalpasaüyutaþ  NCit_3.99e
mi÷ritena ca varõena  NCit_2.9c
mukhamànasusammatà  NCit_3.22d
mukhasya mànamãdç÷am  NCit_3.46d
mukhaü candradç÷aü ÷vetaü  NCit_3.127a
mukhaü càru manoharam  NCit_3.141b
mukhaü vilikhayed yadi  NCit_3.44b
mukhàdãnàü parimàõaü  NCit_3.11a
mukhe vai vitato bhavet  NCit_3.109f
mukhe ÷ma÷ru na roma ca  NCit_3.116b
mukheùu connatà j¤eyà  NCit_3.135c
muninàgàsuràõàü ca  NCit_1.109a
mårttadharmasya bodhinaþ  NCit_1.18b
mçgaràjagatisthairyaü  NCit_3.121c
mçtyupatermahàtmanaþ  NCit_1.50b
mçdu karikaràkàraü  NCit_3.58c
mçdu mçõàlatantuvat  NCit_3.108d
mçdusåkùmaistathà snigdhair  NCit_3.115a
meghato vàrivarùavat  NCit_1.40b
megharavasya gambhãrà  NCit_3.110c
medaü ùaóaïgulaü proktam  NCit_3.54a
yatnàd buddhimatà tvayà  NCit_1.108b
yatra sevà satàü nàsti  NCit_1.61a
yat sthànaü kañide÷asya  NCit_3.48a
yathàj¤àkàriõaü daõóaü  NCit_1.44c
yathàj¤ànaü yathà÷akti  NCit_1.6c
yathà nareùu bhåpendras  NCit_1.92c
yathà÷àstramudãritam  NCit_3.32b
yathà÷àstramupanyastaþ  NCit_3.80c
yathà syàt netralakùaõam  NCit_3.30d
yathecchaü vai vibhaktavyaü  NCit_3.148c
yathoktaü brahmaõà pårvam  NCit_2.1a
yad bhavettasya mànaü syàd  NCit_3.23c
yama àha punaþ punaþ  NCit_1.36b
yamadàsaiþ sadà vi÷vaü  NCit_1.70c
yamadutà jitàþ ÷aktyà  NCit_1.57c
yamadåtavinirgatàþ  NCit_1.42b
yamadåtàü÷cadevàstraiþ  NCit_1.41c
yamasyàpi tato nçpa  NCit_1.67d
yamasyopari sarvataþ  NCit_1.39d
yamo 'pi praõipatyàtha  NCit_1.49a
yamo 'pi prãtimàpanno  NCit_1.69a
yamo vipra÷ca nagnajit  NCit_1.80b
yavatrayapramàõakam  NCit_3.23d
yavadvayasamàyutaþ  NCit_3.34f
yavamànena påritàþ  NCit_3.70d
yavaikaü cucukaü smçtam  NCit_3.51d
ya÷asvã tvaü bhaviùyasi  NCit_1.74f
ya÷orà÷ivivardhakam  NCit_2.23d
ya÷ovçddhirbhaved vi÷ve  NCit_2.15c
yasmàd de÷àt samàpannas  NCit_1.83c
yàni purvaü na coktàni  NCit_3.95c
yàme aïgulakaü matam  NCit_3.79b
yuùmàkaü paripåjanàt  NCit_2.15d
yuùmàkaü pratimàsu ca  NCit_2.12d
ye bhavanti ca teùàü vai  NCit_3.3a
yoginàü càpasannibhaü  NCit_3.26d
yojayàmàsa jãvitam  NCit_1.54f
raktapadmàgrasàdç÷yaü  NCit_3.61c
raktavarõaü su÷obhanam  NCit_3.83d
raktaü pàdatalaü smçtam  NCit_3.61b
raktàntaü kçùõatàrakam  NCit_3.29b
raktimàþ snigdhavarõakàþ  NCit_3.69b
rakùoghnaü ÷atrunà÷anam  NCit_1.78d
rakùohànirbhaved dhruvam  NCit_2.15b
randhramardhàïgalaü matam  NCit_3.15d
rahasyaü saprakàrakam  NCit_1.100d
ràjannetat vijànãyàd  NCit_3.30c
ràjahaüsagatistathà  NCit_3.142d
ràjàtha dharmaràjaü taü  NCit_1.82a
ràjà lekhyaþ kç÷aþ sadà  NCit_3.125d
ràjàha vi÷vakarman bho  NCit_1.99a
ràj¤àti÷uddhacetasà  NCit_1.15b
ràj¤à namaskçtastathà  NCit_1.98b
ràj¤àpi pràrthitaþ punaþ  NCit_1.36d
ràj¤àü nyagrodhavçkùavat  NCit_3.8b
ràj¤àü yathà pradar÷itaü  NCit_3.164a
ràj¤e so 'dadadàsanam  NCit_1.98d
ràmo manusutastathà  NCit_3.149b
rucakasya samucchràyaþ  NCit_3.158a
rucako 'ùñàïgulinyånaþ  NCit_3.150c
rudan vipro 'tiduþkhitaþ  NCit_1.19b
rupamàlikha bho ràjan  NCit_1.53c
rupasaüj¤àdayastadà  NCit_2.4b
rekhàtrayaü kare proktaü  NCit_3.83c
romakoùasamàvçtaþ  NCit_3.20b
romabhiþ parivarjitaþ  NCit_3.117b
lakùaõaj¤airudàhçtam  NCit_3.54d
lakùaõamagra ucyate  NCit_3.32d
lakùaõamanusçtyaica  NCit_1.7c
lakùaõamàkçti tathà  NCit_1.107b
lakùaõavidhimànaü ca  NCit_1.96c
lakùaõaü kathitaü mayà  NCit_3.148b
lakùaõaü kathitaü mayà  NCit_3.156b
lakùaõaü cakravarttinaþ  NCit_3.124d
lakùaõaü cakravarttinaþ  NCit_3.126d
lakùaõaü tadudàhçtam  NCit_3.139d
lakùaõaü ÷àstrasammatam  NCit_3.103b
lakùaõàkçtisundaraþ  NCit_1.22b
lakùaõàni ÷ubhàni vai  NCit_3.95b
lakùaõeùu prajàpatiþ  NCit_3.154b
lakùmaõaü cakravarttinaþ  NCit_3.120d
lakùmaõaü cakravarttinaþ  NCit_3.121d
lañikaõñhopajànunàm  NCit_3.162b
labdha¤ca maraõaü ÷ãghra  NCit_1.51c
làkùàrasasamàyutam  NCit_3.61d
likùà yåko yavo 'ïguliþ  NCit_3.4b
likhanàdividhiü samyak  NCit_2.1c
likhitvàdau hyupàharat  NCit_1.104d
likhitvà vividhaü samyak  NCit_1.109e
liïgakoùa÷ca sundaraþ  NCit_3.134b
lekhyaü citramaninditaü  NCit_3.165c
lokapitàmahaþ svayam  NCit_2.3b
lokapåjàvyavasthàyai  NCit_2.16a
loka÷raddhàspadaü mahyaü  NCit_1.104c
lokasya kàyamànaü màü  NCit_3.1a
lokànàü hitasàdhanàt  NCit_1.77a
vakratàyàþ puñasyàpi  NCit_3.34a
vakùastu dviguõaü smçtam  NCit_3.48f
vakùasthalaü nçpàõàü ca  NCit_3.115e
vacobhirmadhurairbhç÷am  NCit_1.59b
vadanaü siühavad ràja-  NCit_3.122c
varadàü ca mayà natvà  NCit_1.1c
varàñakanibhaü sadà  NCit_3.28d
varàñakàbhanetrasya  NCit_3.25c
varà bahuvidhà pràptà  NCit_1.15c
varuõaü marutaü tathà  NCit_1.4d
varõanoyàþ kùitau naràþ  NCit_3.7f
varõarasasametàni  NCit_1.12c
varõasya lakùaõaü caiva  NCit_3.104c
varõaü ca citrakarmàtha  NCit_1.6a
