Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittamaþ  KDA_465d
tathàhaü devate yàmi  KDA_300a
tathà hi mànave dharme  KDA_121c
tatheti nçparàjaþ sa  KDA_485c
tatheti pratisaü÷rutya  KDA_281c
tatheti bhikùavaþ ÷rutvà  KDA_482a
tathety asau prati÷rutya  KDA_73a
tathety eva prati÷rutya  KDA_15a
tathaikam anujàtànàü  KDA_160c
tathaikàkã vasaüs tatra  KDA_343a
tathaite sarvasatvà÷ ca  KDA_100a
tathaiva narajàtãnàü  KDA_141c
tathoktam avadàne 'pi  KDA_114a
tathottaràü di÷aü gatvà  KDA_17c
tad anvàharitavyo 'yam  KDA_39a
tad ahaü sarvasatveùu  KDA_348c
tad ahaü saüprabodhyainaü  KDA_88a
tad àj¤àü dehi me tàta  KDA_65c
tadà pitrà niyukto 'sau  KDA_34a
tadà pårvam asau dçùñvà  KDA_345a
tadàbdher garuóenaiko  KDA_19a
tadà bhagavatà satva-  KDA_13a
tadà lokahite caret*  KDA_289b
tad upekùàyuta÷ cara  KDA_277d
tadupekùàü sadà bhaja  KDA_315d
tadçddhinirmitàny eva  KDA_356a
taddãpaükaraprasàdena  KDA_117a
taddharmeùu nive÷aya  KDA_301d
tad dhi maitrãprabhàvataþ  KDA_437d
tad dhi maitrãprabhàvataþ  KDA_438d
tad dhi maitrãprabhàvataþ  KDA_439d
tadbhavàn vyàkarotu me  KDA_251d
tad bhàõóaü tena lakùyate  KDA_221b
tan na tyàjyà kadàcana  KDA_312d
tan na ÷arãrasaüskàra-  KDA_211a
tan me gaditum arhasi  KDA_2d
tapanti puõyakùetreùu  KDA_167c
tapa÷ caraõasaüraktas  KDA_84a
tapasà bràhmaõà bhåtà  KDA_128c
tapasà bràhmaõo jàtas  KDA_122c
tapasà bràhmaõo jàtas  KDA_123c
tapasà bràhmaõo jàtas  KDA_124c
tapasà bràhmaõo jàtas  KDA_125c
tapasà bràhmaõo jàtas  KDA_126c
tapasà bràhmaõo jàtas  KDA_127c
tapaþ ÷aucaü ca pa¤camam*  KDA_257d
taptvàpi duùkaraü tapaþ  KDA_444d
tama÷ cakùuùmatàm api  KDA_373b
tam ahaü bràhmaõaü bråyàü  KDA_258c
tamàc ca j¤ànamàtreõa  KDA_230a
tam à÷ramam upànãya  KDA_19c
tam eva dharmam àdhyàya  KDA_349e
tamodharmadharà daityà  KDA_94c
tayaiva sahasuptasya  KDA_110c
tal loke modavàü÷ cara  KDA_276d
tasmàc ca vedamàtreõa  KDA_230c
tasmàc caivaü vijànãyà  KDA_118c
tasmàc chãlaguõair dvijàþ  KDA_131d
tasmàc chãlaguõair dvijàþ  KDA_262d
tasmàj jàtir akàraõam*  KDA_122d
tasmàj jàtir akàraõam*  KDA_123d
tasmàj jàtir akàraõam*  KDA_124d
tasmàj jàtir akàraõam*  KDA_125d
tasmàj jàtir akàraõam*  KDA_126d
tasmàj jàtir akàraõam*  KDA_127d
tasmàj j¤ànapramàõena  KDA_219a
tasmàj j¤ànaü vinà naiva  KDA_217c
tasmàt kàruõiko bhava  KDA_275d
tasmàt krodhaprahàõàya  KDA_368a
tasmàt krodhavinà÷àya  KDA_397c
tasmàt krodhavinà÷àya  KDA_404c
tasmàt krodhàgni÷àntyarthaü  KDA_338a
tasmàt krodho nivàryatàm*  KDA_373d
tasmàt krodho mahàripuþ  KDA_383d
tasmàt krodho mahàripuþ  KDA_384d
tasmàt krodho mahàripuþ  KDA_392d
tasmàt krodho mahàripuþ  KDA_395d
tasmàt putra ivàtmanãva ca dayàü nãtvà prakarùaü jane  KDA_419c
tasmàt putra mayà proktaü  KDA_63a
tasmàt sarvaprayatnena  KDA_72a
tasmàt sarvaprayatnena  KDA_447a
tasmàt subhåtir ity eva  KDA_28c
tasmàd apàsya kçùõàni  KDA_481a
tasmàd ahaü cariùyàmi  KDA_333a
tasmàd àcàramàtreõa  KDA_236c
tasmàd dayàü hçdi sthàpya  KDA_420c
tasmàd dharmatapaþ÷ãla-  KDA_210a
tasmàd dhi bràhmaõo naiva  KDA_123c
tasmàd dhyànàt samutthàya  KDA_354a
tasmàd và¤chati yo brahma  KDA_70a
tasmàn na karmamàtreõa  KDA_233a
tasmàn maitrã pradhãyatàm*  KDA_442d
tasmàn maitrã prayatnena  KDA_369c
tasmàn maitrã prasàdhyatàm+  KDA_441d
tasmàn maitrãü vibhàvaya  KDA_274d
tasmiü÷ ca samaye buddhaþ  KDA_461a
tasmai dànaü pradàtavyam  KDA_264c
tasya kiü tapasà siddhe  KDA_53c
tasya kiü brahmacaryeõa  KDA_55c
tasya saüjàyate brahma  KDA_276c
tasya saüjàyate brahma  KDA_277c
tasyaiva tat phalaü dhruvam*  KDA_478b
tasyaiva dharmatà ÷uddhà  KDA_295a
tasyaiva ÷àsane ÷uddhe  KDA_464a
taü devà bràhmaõaü viduþ  KDA_204d
taü devà bràhmaõaü viduþ  KDA_266d
taü devà bràhmaõaü viduþ  KDA_272d
taü subhåtiü samàgamya  KDA_290c
tàóayanti ruùànvitàþ  KDA_387d
tàóità tyajyate bhartrà  KDA_385c
tàdçgdharmasamàhitaþ  KDA_21d
tàdç÷ã jàtità bhavet*  KDA_195b
tàn api saümukhaü ghnanti  KDA_379c
tàn api saümukhaü duùñàs  KDA_387c
tàni sarvàõi jànãta  KDA_446c
tàni sarvàõi jànãdhvaü  KDA_411c
tàni sarvàõi duùñàni  KDA_396c
tàvat kiü tapasàpy etan  KDA_336c
tàvat sadguõayukto 'pi  KDA_71c
tàvan maitrã na bhàvyate  KDA_368d
tàü devatàü puraþ sthitàm*  KDA_299d
tiryagyonigateùv api  KDA_207b
tiryagyonigateùv api  KDA_256b
tiryagyonyudbhavà÷ càpi  KDA_436a
tãkùõabuddhiþ kçtodyamaþ  KDA_84b
tãrthikair iti kalpitam*  KDA_240d
tçõauùadhàdi÷asyànàü  KDA_143a
tçtãyaü bràhmalakùaõam*  KDA_255d
te ca lokàþ prabhàùitàþ  KDA_482b
te te syur bràhmaõàþ kila  KDA_234d
te devà nirmalànandà  KDA_99c
te 'dhobhuvanasaüjàtà  KDA_97e
te narà bràhmaõàþ khalu  KDA_207d
tena sarve jità duùñà  KDA_398c
tena sarve dviùo hatàþ  KDA_371d
tena saüpadyate brahma  KDA_274c
tena saüpadyate brahma  KDA_275c
tenàdau cittakoñaràt*  KDA_70b
tenàpy evaü suparõànàü  KDA_360a
tenedànãü tathàrhatvaü  KDA_476c
tenaiva karmaõà càdya  KDA_470a
tenaiva krodhinà sàrdhaü  KDA_33c
tenaiva tat prabhujyate  KDA_459d
tenaiva pàtakenaiva  KDA_393c
tenaiva pàtakenaivaü  KDA_474c
tenaiva hetunà càdya  KDA_340a
tenaiva hetunà càhaü  KDA_331c
tenaivaü pràrthyamàno 'sau  KDA_66a
tenaivàbhidrutàþ sarve  KDA_361a
te 'pi ca manujà jainà  KDA_193c
te 'pi ca mànavà dhãràþ  KDA_171c
te 'pi ca mànavà bauddhàþ  KDA_192c
te 'pi ca mànavàþ sarve  KDA_194c
te 'pi jàtàþ kurukùetre  KDA_108c
te 'pi dhanyà dvijottamàþ  KDA_47d
te 'pi maitrãpracàriõaþ  KDA_427d
te 'pi maitryàþ prabhàvataþ  KDA_426d
te 'pi sarve ruùànvitàþ  KDA_390d
te 'pi sarve ruùà÷rayàt*  KDA_391d
te 'pi syur bràhmaõà÷ caivaü  KDA_236a
te 'pi syur bràhmaõàþ khalu  KDA_229d
te 'pi hi paramarùayaþ  KDA_46d
te lokà maitracittàs tribhuvanasukhadàþ kùàntisaurabhyayuktàþ  KDA_486c
te viviktasukhaiùiõaþ  KDA_18b
te ÷aivà manujà j¤eyàþ  KDA_187c
teùàü dhyànaratà ye vai  KDA_18a
teùàü hi jàtisàmànyàd  KDA_202a
te satvà bhåmisaüjàtà  KDA_98c
te hi brahmavidàü varàþ  KDA_48d
te hotàra÷ ca yajvàno  KDA_173c
tyaktakrårasvabhàvas tu  KDA_255a
tyaktadaõóo niràmiùaþ  KDA_253b
tyaktamàràbhigocaràþ  KDA_166b
triratnaguõavarõanàm*  KDA_299b
triratna÷araõaü gatvà  KDA_297c
triratna÷araõaü gatvà  KDA_302a
triratnasamayaü pràptum  KDA_300c
traidhàtukabhavàlaye  KDA_95b
trailokyabhartçkà nàthàþ  KDA_443c
trailokyàdhipanàyakaþ  KDA_425b
tvadàj¤àü ÷irasà vahan*  KDA_322d
tvaü càpi hi tathà matvà  KDA_297a
tvaü hi vidvàn mahàvij¤aþ  KDA_41c
dakùiõasyàü tathà kecit  KDA_17a
dagdhà janapadà÷ càpi  KDA_375c
dadar÷a jinabhàskaram*  KDA_305b
dadàti piõóam àdaràt*  KDA_435b
dadàha brahmajaü kàmaü  KDA_376c
dadau ca paõasaü mudà  KDA_115b
dayàkràntaü cittaü na bhavati paradroharabhasaü  KDA_417a
dayàcittaü samàlambya  KDA_349a
dayàm iùñaphalodayàm*  KDA_416b
dayàlur nodvegaü janayati pareùàm upa÷amàd  KDA_418a
dayàlur vi÷vàsyo bhavati jagatàü bàndhava iva  KDA_418b
dayàlor hçdaye jàtà  KDA_420a
dayàviyogato lokaþ  KDA_415a
dar÷anãyaü subhadràïgaü  KDA_25c
da÷aku÷alasaümatà  KDA_295b
da÷a varùasahasràõi  KDA_465a
da÷àku÷alanirbhuktà  KDA_168a
da÷àku÷alasaüratàþ  KDA_168b
dahate sa paràn api (Speyer: svaparàn api)  KDA_335d
dahaty àtmànam evàdau  KDA_372c
dahet krodhànalaþ kùaõàt*  KDA_337d
dànavà ghnanti devàü÷ ca  KDA_389a
dàna÷ãlàdisaddharma-  KDA_401a
dàna÷ãlàdisàdhanam* (Speyer: dharmasucaritaü)  KDA_337b
dàrakaü saüprasàdikam*  KDA_25b
dàrakaþ samajàyata  KDA_24d
dide÷aivaü savistaram  KDA_310d
divyabhogànubhoktà ca  KDA_374a
durjanàn mardayan sarvàn  KDA_430c
durvàgbàõai ruùà khalàþ  KDA_379d
durvçttiprabhavàni hi  KDA_411b
duùñabhàràn vinirjaya (Speyer: duùñamàràn)  KDA_68b
duùñamitropade÷ena  KDA_406c
duùñà¤jetuü na ÷aknuyàþ  KDA_68d
duùñà matsariõaþ ÷añhàþ  KDA_346b
dåùayiùyanti cittàni  KDA_347a
dçùñasatyo 'tha saübuddhaü  KDA_319c
dçùñvà cainaü ca bàlakam*  KDA_27b
dçùñvà sarve janaughàs te  KDA_363c
dçùñvaiva sahasà càtha  KDA_308a
dçùñvaiva suprasannena  KDA_20c
dçùñvaivaü samacintayat*  KDA_37d
dçùñvaivaü samacintayat*  KDA_284d
devamanuùyanàrãõàü  KDA_207a
devamanuùyanàrãõàü  KDA_256a
devà daityà÷ ca mànuùàþ  KDA_93d
devànàm api te mànyà  KDA_45c
devà÷ ca ghnanti dànavàn*  KDA_389b
devàsuramahànàgair  KDA_8a
devair api pra÷asyate  KDA_421b
de÷aya¤ chubhayas sadà  KDA_12d
de÷ayanti sma saddharmaü  KDA_16c
de÷e janapadeùu ca  KDA_344b
dehasaüskàramàtrataþ  KDA_123d
dehasaüsthànaliïgai÷ ca  KDA_139c
dravyavarõàdibhedatà  KDA_149b
dvijàtikulasaübhavaþ  KDA_340b
dvitãyaü bràhmalakùaõam*  KDA_254d
dveùa÷alye hçdi sthite  KDA_370d
dvau guõau parikãrtitau  KDA_102d
dhakùyati parvatàü÷ càpi  KDA_286c
dhanàdivastusaügrahaiþ  KDA_179b
dhanibhiþ puravàsibhiþ  KDA_7b
dhanyàs te bhikùava÷ caiva  KDA_296a
dhanyàs te bhikùavo hy ete  KDA_21a
dhanyàs te vãtaràgà ye  KDA_44a
dhanyo 'yam çddhimàn bhikùur  KDA_364a
dhanyo 'si tvaü mahàdhãra  KDA_291c
dharmakalpavikalpena  KDA_130c
dharmakriyàvi÷eùàt tu  KDA_249c
dharmacaryànuvarõinaþ  KDA_194d
dharmataþ sukhino bhåtàþ  KDA_106a
dharmabhedàt tataþ karma-  KDA_223c
dharmamàtà yato maitrã  KDA_312c
dharmaràjas tathàgataþ  KDA_5b
dharmaràjo yudhiùñhiraþ  KDA_250b
dharmavçttipramàõena  KDA_129c
dharmasaüyamatatparaþ  KDA_83d
dharmasaüskàrajàþ khalu  KDA_198d
dharmasaüskàrataþ sarve  KDA_129a
dharmasaüskçtivçttisthaþ  KDA_121a
dharmaü sucaritaü puõyaü  KDA_337a
dharmàõàü tu kùamà målaü  KDA_412c
dharmànumodanaü kçtvà  KDA_450c
dharmàrthakàmamokùeùu  KDA_80a
dharmàrthakàmamokùeùu  KDA_293a
dharmàrthã na tyajed asmàd  KDA_416a
dharmàrthe yasya jãvitam*  KDA_266b
dharmeùu varõavàdinàm*  KDA_243b
dharme sthàtuü na ÷aknuyàþ  KDA_69b
dhàtudoùàny abhij¤àya  KDA_183a
dhàtrãr và snehapàlinãþ  KDA_380b
dhàtvannakùiravikrayã  KDA_214b
dhànyàdivrãhijàtãnàü  KDA_144a
dhànyàdivrãhisàdhakàþ  KDA_178b
dhãracittasamàhitaþ  KDA_67d
dhyànacaryàm upà÷rayat*  KDA_281d
dhyànaü saukhyàrthasàdhanam*  KDA_353b
na kartavyaþ kadàcana  KDA_90d
na kulena na jàtyà ca  KDA_259a
na ke÷ena na kaçõena  KDA_155a
na kopàgni÷ citte jvalayati hi dayàtoya÷i÷ire  KDA_418d
na grãvayà na bàhunà  KDA_155d
na ca dveùasamaü pàpaü  KDA_369a
na ca bàlasya vacanàt  KDA_153c
na ca maitrãsamaü tapaþ  KDA_369b
na cendriyeùu nànàtvaü  KDA_196a
na jàtir dç÷yate devaiþ  KDA_204a
na jàtir dç÷yate ràjan  KDA_265a
na jãvo bràhmaõas tàvad  KDA_91a
na jãvo bràhmaõaþ khalu  KDA_118d
na j¤ànasya pramàõatà  KDA_230d
na tasya ko 'py abhåt suhçt*  KDA_31b
na tàü kratusahasreõa  KDA_271c
natvà caiva kçtà¤jaliþ  KDA_319d
natvà pàdau muner dharmaü  KDA_309c
na tv etair hi vinà vipraþ  KDA_210c
na dviùantaþ kùayaü yànti  KDA_371a
nananda sasabhàjanaþ  KDA_485d
nanandur anumoditàþ  KDA_482d
na na÷yanti hi karmàõi  KDA_478c
na nidràü na dhçtiü yàti  KDA_370c
na pçùñhenodareõa và  KDA_156b
na prãtisukham a÷nute  KDA_370b
na bhàryà bhaginã yuktà  KDA_200c
namas te bhagavan nàtha  KDA_320c
na mukhena na nàsàyà  KDA_155c
na mudità na copekùà  KDA_442c
na yuktà bhaginã bhàryà  KDA_248a
narakàn narakaü gatvà  KDA_409c
narakebhyas tam uddhartuü  KDA_410c
narakeùu sadà vaset*  KDA_410b
naràõàü kiü vi÷eùatà  KDA_139d
naràõàü tu tathà na hi  KDA_146d
naràõàü nàsti bhedatà  KDA_140d
nareùu kiü vi÷eùatà  KDA_133d
na vi÷eùo 'sti vai tathà  KDA_134d
na ÷arãrapramàõatà  KDA_219b
na ÷ãrùeõa na cakùuùà  KDA_155b
na satvà brahmaõo jàtàþ  KDA_201a
na sarvàü÷air na maithunaiþ  KDA_157b
na saürambhakùobhaþ prabhavati dayàdhãr ahçdaye  KDA_418c
na sàdhur duùñajantuvat*  KDA_54d
na svareõa na varnena  KDA_157a
na hanti sarvabhåtàni  KDA_253c
na hi bràhmaõa àkà÷àn  KDA_136a
na hy àtmanaþ samutkarùàc  KDA_197a
nàgapotaþ samuddhçtaþ  KDA_19b
nàgayonisamutpannas  KDA_330c
nàgayonisamutpanno  KDA_475a
nàgà÷ ca garuóà api  KDA_364d
nàgà÷ ca garuóà yateþ  KDA_449b
nàgà÷ ca garuóà÷ ca te  KDA_451b
nàgà÷ ca garuóàs tathà  KDA_366b
nàgàþ saütrasitàs tataþ  KDA_357b
nàgnibhir dahyate karma  KDA_479c
nà jàtyà dharmato dvijaþ  KDA_120b
nàdhitya caturo vedàn  KDA_270c
nànàde÷asamàgataiþ  KDA_7d
nàpi svàcàramàtreõa  KDA_233c
nàmnà bhavatu vi÷rutaþ  KDA_28d
nàradàkhyo mahàmuniþ  KDA_127b
nàsti cendriyasaüyamaþ  KDA_206b
ninàya jinamandiram*  KDA_304d
niyukto 'yaü dvijottamaþ  KDA_288b
nirapekùaþ sutãkùõavàk*  KDA_80b
nirapekùàþ svadehe 'pi  KDA_166a
nirarthaü duþkhahetave  KDA_336d
nirguõo 'pi pra÷obhate  KDA_422b
nirghçõo dçkprabhànalaiþ  KDA_376b
nirdayas tàóayan hanti  KDA_383c
nirdayàþ satvahiüsakàþ  KDA_186b
nirdiùñaþ sarvabhikùåõàm  KDA_455c
nirdiùño bhavatà yena  KDA_457c
nirdiùño 'yaü mayà khalu  KDA_477b
nirmadà nirahaükàràs  KDA_49c
nirmamà nirahaükàrà  KDA_170c
nirmamo niþparigrahaþ  KDA_255b
nirmuktabhavacàrakàþ  KDA_170b
nirlobhàþ satyavàdinaþ  KDA_49b
nirvi÷eùo 'bhavad yataþ  KDA_195d
nirvçtisukham àpnuyàþ  KDA_298d
ni÷cittaþ pratisaülãnaþ  KDA_292c
niùkçtir nopalabhyate  KDA_110d
nihãnotkçùñamadhyà÷ ca  KDA_201c
niþ÷vàsopahatasya ca  KDA_110b
niþsaïgà dhãramànasàþ  KDA_167b
niþsaïgo nirahaükçtiþ  KDA_333b
niþsaïgo nyavasat sudhãþ  KDA_342d
nãcajà api santi ca  KDA_235d
nãco 'pi sa dvijakalpo  KDA_56c
naikà vi÷eùatà vàpi  KDA_157c
naiva ka÷cid abhàùata  KDA_32d
naiva kasyàpy abhåt priyaþ  KDA_32b
naiva cittasamàhitaþ  KDA_287b
naiva muktà÷ ca durgateþ  KDA_348b
naiva vi÷vasyate janaiþ  KDA_399d
naiva ÷àntim upàyayau  KDA_283d
naiva syur bràhmaõàþ khalu  KDA_230d
naivàsti bhedalakùaõam*  KDA_141d
naiùàü kiücid vi÷iùyate  KDA_196d
norasà na ca pàr÷vena  KDA_156a
norubhyàm atha jaïgàbhyàü  KDA_156c
nyavasad dhyànasaürataþ  KDA_350d
pakùiõàü ca vi÷eùatà  KDA_140b
pa¤ca kula÷atàni ca  KDA_360b
pa¤ca kula÷atàny atra  KDA_356c
pa¤cajanma÷atàni ca  KDA_330b
pa¤ca janma÷atàny api  KDA_474d
pa¤calakùaõasaüpanna  KDA_258a
pa¤cànantaryam àpnuyàt*  KDA_408d
pa¤càbhij¤apadapràpto  KDA_280c
pa¤cendriyàrõavaü ghoraü  KDA_264a
patanti narake ghore  KDA_391c
patità màüsabhakùaõàt*  KDA_215b
patito bràhmaõa÷ caivaü  KDA_217a
patito bràhmaõo hy asau  KDA_109d
patir mitraþ suhçd bandhus  KDA_441c
patràdyàkàrabhedatà  KDA_142b
pathi và yadi và gçhe  KDA_254b
padàdibhedalakùaõam*  KDA_139b
padbhyàü jàto yathà ÷ådraþ  KDA_247a
padbhyàü ÷ådraþ samudbhavaþ  KDA_242d
padmàdãnàü vi÷eùatà  KDA_146b
papracchur evam ã÷varam*  KDA_456d
paratreha ÷ivaükaràþ  KDA_295d
paramàmeti vikriyàm*  KDA_415b
paràtma÷ubhavà¤chinà  KDA_483d
paràn dhakùyati và na và  KDA_372d
parigrahàn parityajya  KDA_164a
parityajya gçhàvàsaü  KDA_267a
paritràtà÷ ca sarvataþ  KDA_358d
pariùvajyàtmajaü putraü  KDA_66c
paruùàbaddhacetasà  KDA_473b
paruùãbhåtacittatvàn  KDA_31a
parùadaü ca samàlokya  KDA_3c
pa÷avaþ kråramànasàþ  KDA_436b
pa÷uvatsa naràkàraþ  KDA_227c
pa÷yadhvaü bhikùavo yåyaü  KDA_453a
pàõipàdanakhair na ca  KDA_156d
pàtako 'nyo na vidyate  KDA_397b
pàti snehopacàreõa  KDA_428c
pàti snehopacàreõa  KDA_429c
pàtrã susaüghàñiparãtadehaþ  KDA_324b
pàpato duþkhabhàginaþ  KDA_106b
pàraga÷ ca mahàsudhãþ  KDA_85d
pàragaþ sarvavedànàü  KDA_272a
pàraü pràpa subuddhimàn*  KDA_35d
pàlayanti mahàsnehàt  KDA_440c
pàlayanti sadà prajàþ  KDA_174b
pàvako brahmahà bhavet*  KDA_212b
pàü÷avo 'nnà bhavanti hi  KDA_153d
pàü÷udàtà hy abhåc chi÷uþ  KDA_115d
pàü÷upu¤jàni saüpiõóya  KDA_152c
pàü÷upu¤jàbhidhànena  KDA_158c
piõóapàtaü dadau mudà  KDA_116d
piõóapàtàsanàdãnàü  KDA_9c
pitaram ity abhàùata  KDA_64d
pità ÷àstà guruþ prabhuþ  KDA_441b
pitçbhyàm apy upekùitaþ  KDA_31d
pitçbhyo mçtakebhyo 'pi  KDA_435a
puõyasiddhàni sarvathà  KDA_446b
putra brahmasusàdhanaiþ  KDA_67b
putrãü và bàlakàm api  KDA_383b
punar anyat subhàùitam*  KDA_2b
punar apy abravãn mudà  KDA_66d
punas tena suparõànàü  KDA_359a
purà ÷rãbhagavàn buddho  KDA_5a
puruùadamyasàrathiþ  KDA_462b
påjyate svajanair yathà  KDA_424d
påjyante nãcajà api  KDA_226d
påjyante satvalokai÷ ca  KDA_426c
påjya÷ ca mànyo abhivàdanãyo  KDA_328c
pårvakarmabalàdhànàt  KDA_30a
pårvam àsãd yudhiùñhira  KDA_261b
prakà÷ayata saüvçtim*  KDA_14b
prakùiptaü yatra yad dravyaü  KDA_221a
prajàpatir hi caikatve  KDA_195c
praõidhànaü tathà càyam  KDA_465c
pratasthus te niyoginaþ  KDA_15d
pratide÷ànupàsthitàþ  KDA_16d
pratimàdãn vighàtayet*  KDA_408b
pratilabhya jitendriyaþ  KDA_43b
pratyuvàceti kaunteya  KDA_252c
prathamaü bràhmalakùaõam*  KDA_253d
pradànakùàntyàdã¤ janayati guõàn kãrtyanusçtàn*  KDA_417d
prabodhayaüs tam abravãt*  KDA_40d
prabodhya bàlakà¤ chàsti  KDA_431c
pramathnanti ruùàkulàþ  KDA_389d
pramadàpi ca bhartàraü  KDA_386a
prayatadhvaü samàhitàþ  KDA_397d
prayatadhvaü samàhitàþ  KDA_404d
prayujyamàno vyaharat samàdhau  KDA_325b
prarakùanti svapakùàü÷ ca  KDA_432c
pravadaüs taü samagrahãt*  KDA_323d
praviùño mama ÷àsane  KDA_470b
pravrajya buddha÷àsane  KDA_475d
pravrajyàpràrthanàü cakre  KDA_320a
pravrajyàü dehi me nàtha  KDA_322a
pravrajyàü dehi me satyaü  KDA_75c
pravrajyàü samayàcata  KDA_74d
pravrajyàü samupàsi÷ritya  KDA_72c
prasasrire samantataþ  KDA_356d
prà¤jaliþ paryapçcchata  KDA_250d
pràtihàryam adar÷ayat*  KDA_355d
pràpadabhij¤àþ pratisaüvida÷ ca  KDA_327 d
pràpnuvanti yudhiùñhira  KDA_271d
pràpya sàkùàtkçtaü mudà  KDA_476d
pràrabhat tãkùõamànasaþ  KDA_36d
pràsàde maõimaõóite  KDA_374b
proktà vai jãvajàtayaþ  KDA_105d
phalanti khalu dehinàü  KDA_478f
phalamålàditoùitaiþ  KDA_375b
phalamålàmbusaütuùño  KDA_343c
phalamålodakais tuùñàs  KDA_47c
phalànàü nàsti bhedatà  KDA_160b
phaleùv anabhilipsàtha  KDA_260c
bandhubhi÷ ca parityakto  KDA_32a
bandho dharmàrthakàmànàü  KDA_373c
babhåva vànaràdhipaþ  KDA_114d
babhåva sa brahmavihàracàrã  KDA_328d
babhåvàyaü mahàviùaþ  KDA_475b
babhåvur maitricàriõaþ  KDA_449d
babhåvur maitricàriõaþ  KDA_450d
balàd àkçùya bhakùitaþ  KDA_339b
balipåjàvidhànataþ  KDA_184b
bahavo narà nãcakulaprasåtàþ  KDA_203c
bàndhavàüs te 'pi rakùanti  KDA_438c
bàndhavaiþ svajanair janaiþ  KDA_421d
bàlavçddhàdiduþkhite  KDA_52b
bàhubhyàm eva cet tathà  KDA_245b
bàhubhyàü kùatriyaþ smçtaþ  KDA_242b
buddhadharmaü samaikùata  KDA_317d
buddhavacomçtaü pãtvà  KDA_482c
buddhasya vacanaü ÷rutvà  KDA_293c
buddhasyopàsakà÷ ca ye  KDA_296b
buddhenàdvayavàdinà  KDA_114b
buddho 'pi sa bhaviùyati  KDA_117d
buddho hi jagatàü bandhus  KDA_425a
buddho hi bhagavàn nàthaþ  KDA_294a
bodhàrtham iti tãrthikaiþ  KDA_241b
bodhicittaü ca lapsyati  KDA_288d
bodhicitte pralabdhe tu  KDA_289a
bodhipadam avàpnuyàþ  KDA_314d
bodhisatvamahàsatvaiþ  KDA_11c
bodhisatvà mahàsatvà  KDA_427a
bodhisatvo 'bhavan nçpaþ (Speyer: bhaven)  KDA_117b
bodhisatvo mahàvij¤o  KDA_289c
bodhisaübhàrasàdhakàþ  KDA_427b
bauddhadharmaparàyaõàþ  KDA_192b
brahmacaryam apàlayat*  KDA_465b
brahmacaryaü ca pàlitam*  KDA_476b
brahmacaryaü cariùye 'haü  KDA_322c
brahmacàri¤ jinendravat*  KDA_298b
brahmacàrã bhavàmy aham*  KDA_340d
brahmacàrã mumoda saþ  KDA_343d
brahmajà bràhmaõà naivaü  KDA_198c
brahmajà bràhmaõà yadi  KDA_249b
brahmajà yadi sàüpratam*  KDA_199d
brahmajeùu hi sarveùu  KDA_133c
brahmaõàü brahmajà yadi  KDA_200d
brahmadharmasamàcàràd  KDA_189c
brahmapraõidhim àlambya  KDA_279c
brahmabhaktiparàyaõàþ  KDA_189b
brahmarùis tvaü bhaveþ kila  KDA_280b
brahmalokam avàpnuyàþ  KDA_280d
brahmavihàrasaüpanno  KDA_77c
brahma saüpadyate tadà  KDA_273d
brahmasçùñisamudbhavam*  KDA_130b
brahmahatyà ca bandhånàü  KDA_212c
brahmà j¤ànarato yataþ (Speyer: dhyànarato)  KDA_60d
brahmàõaü ye bhajayanty eva  KDA_189a
brahmàõàü÷ ca samudbhavàþ (Speyer:brahmàõàü÷asamudbhavàþ)  KDA_105b
brahmàõotpattir ucyate  KDA_104d
bràhmaõabãjasaübhåtaþ  KDA_123a
bràhmaõasya ca sà bhàryà  KDA_200a
bràhmaõaþ patito bhavet*  KDA_216d
bràhmaõaþ sa yudhiùñhira  KDA_259d
bràhmaõaþ syàd yudhiùñhira  KDA_260d
