Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittama÷  KDA_465d
tata÷ pitÃ ca taæ d­«ÂÃ  KDA_25a
tata÷ pÆjÃ na cÃk­te÷  KDA_227d
tata÷ prasÃdajÃto 'sau  KDA_309a
tato jÃtimahaæ k­tvÃ  KDA_26a
tato 'tyantaviruddhaæ syÃd  KDA_249a
tato dharmaprabhÃveïa  KDA_448a
tato dharmÃbhisaæskÃrai÷  KDA_92c
tato 'nyad vanam ÃÓritya  KDA_282a
tato mÃæsÃni varjayet  KDA_215d
tato ye mÃnavÃ÷ krÆrÃ  KDA_186a
tato vyÃkaraïÃdÅni  KDA_35a
tato 'sau bhagavÃæs tasya  KDA_310a
tat kathaæ saæcari«ye 'tra  KDA_346c
tatkarmaphalato rÃjÃ  KDA_116a
tatk­tabhÃjane«v api  KDA_220b
tat k­taæ yat subhÆtinÃ  KDA_458d
tat ko 'nya÷ paribhok«yate  KDA_459b
tatkrodhÃd aparo vaira÷  KDA_397a
tat tat karmÃnuÓÅlena  KDA_185c
tatpÃpakarmaïÃ hy eva  KDA_394e
tat pravak«ye yathÃÓrutam*  KDA_4d
tatprÃptyai sÃdhyatÃæ yatnÃc  KDA_316c
tatra ca vana«aï¬e yÃ  KDA_284a
tatra tatraiva sarvatra  KDA_424c
tatra pitÃ dvijo bhÆtir  KDA_37a
tatra prÃpto munÅn natvÃ  KDA_74a
tatra bhava samÃhita÷  KDA_89d
tatra sa buddhanÃthÃya  KDA_115a
tatrasthÃs tena nÃgena  KDA_20a
tatrÃdhivasato 'syÃpi  KDA_283a
tatrÃpi karmabhedena  KDA_96a
tatrÃpi buddhanÃthÃya  KDA_116c
tatraiva garu¬enaivaæ  KDA_22c
tathÃ kramÃd viv­ddho 'sau  KDA_29a
tathÃgato bhavi«yasi  KDA_468d
tathÃ ca kalpyate loka-  KDA_241a
tathÃ ca k«atriyÃ jÃtÃ  KDA_245a
tathÃ ca procyate bauddhair  KDA_162c
tathÃcÃraviÓe«eïa  KDA_224c
tathÃ ced dhi bhaved do«o  KDA_243a
tathÃ dharma÷ kathaæ bhavet*  KDA_248b
tathÃ dharme ca saæghe«u  KDA_321c
tathÃ nÃsti manu«yÃïÃm  KDA_142c
tathÃ nÃsti manu«yÃïÃæ  KDA_144c
tathÃ nÃsti manu«yÃïÃæ  KDA_148c
tathÃ nÃsti manu«yÃïÃæ  KDA_149c
tathÃ nÃsti manu«yÃïÃæ  KDA_150c
tathÃ nÃsti yathÃnyÃsu  KDA_158a
tathÃnumodita÷ prÃha  KDA_299c
tathÃnyasatvajÃtikai÷  KDA_8d
tathÃnye ÓilpavidyÃdÅn  KDA_181a
tathÃpi daivasÃmarthyÃt  KDA_78a
tathÃ brahmaguïÃdhÃnÃd  KDA_280a
tathÃbhÆd rÃvaïo nÃma  KDA_238a
tathÃraïÃvihÃriïÃm*  KDA_470d
tathÃ vedÃn adhÅtyaivaæ  KDA_36a
tathÃÓu k­payÃ nÅtvÃ  KDA_302c
tathÃ satyaæ manas tÃta  KDA_65a
tathÃhaæ devate yÃmi  KDA_300a
tathÃ hi mÃnave dharme  KDA_121c
tatheti n­parÃja÷ sa  KDA_485c
tatheti pratisaæÓrutya  KDA_281c
tatheti bhik«ava÷ ÓrutvÃ  KDA_482a
tathety asau pratiÓrutya  KDA_73a
tathety eva pratiÓrutya  KDA_15a
tathaikam anujÃtÃnÃæ  KDA_160c
tathaikÃkÅ vasaæs tatra  KDA_343a
tathaite sarvasatvÃÓ ca  KDA_100a
tathaiva narajÃtÅnÃæ  KDA_141c
tathoktam avadÃne 'pi  KDA_114a
tathottarÃæ diÓaæ gatvÃ  KDA_17c
tad anvÃharitavyo 'yam  KDA_39a
tad ahaæ sarvasatve«u  KDA_348c
tad ahaæ saæprabodhyainaæ  KDA_88a
tad Ãj¤Ãæ dehi me tÃta  KDA_65c
tadÃ pitrÃ niyukto 'sau  KDA_34a
tadÃ pÆrvam asau d­«ÂvÃ  KDA_345a
tadÃbdher garu¬enaiko  KDA_19a
tadÃ bhagavatÃ satva-  KDA_13a
tadÃ lokahite caret*  KDA_289b
tad upek«ÃyutaÓ cara  KDA_277d
tadupek«Ãæ sadÃ bhaja  KDA_315d
tad­ddhinirmitÃny eva  KDA_356a
taddÅpaækaraprasÃdena  KDA_117a
taddharme«u niveÓaya  KDA_301d
tad dhi maitrÅprabhÃvata÷  KDA_437d
tad dhi maitrÅprabhÃvata÷  KDA_438d
tad dhi maitrÅprabhÃvata÷  KDA_439d
tadbhavÃn vyÃkarotu me  KDA_251d
tad bhÃï¬aæ tena lak«yate  KDA_221b
tan na tyÃjyÃ kadÃcana  KDA_312d
tan na ÓarÅrasaæskÃra-  KDA_211a
tan me gaditum arhasi  KDA_2d
tapanti puïyak«etre«u  KDA_167c
tapaÓ caraïasaæraktas  KDA_84a
tapasÃ brÃhmaïÃ bhÆtÃ  KDA_128c
tapasÃ brÃhmaïo jÃtas  KDA_122c
tapasÃ brÃhmaïo jÃtas  KDA_123c
tapasÃ brÃhmaïo jÃtas  KDA_124c
tapasÃ brÃhmaïo jÃtas  KDA_125c
tapasÃ brÃhmaïo jÃtas  KDA_126c
tapasÃ brÃhmaïo jÃtas  KDA_127c
tapa÷ Óaucaæ ca pa¤camam*  KDA_257d
taptvÃpi du«karaæ tapa÷  KDA_444d
tamaÓ cak«u«matÃm api  KDA_373b
tam ahaæ brÃhmaïaæ brÆyÃæ  KDA_258c
tamÃc ca j¤ÃnamÃtreïa  KDA_230a
tam ÃÓramam upÃnÅya  KDA_19c
tam eva dharmam ÃdhyÃya  KDA_349e
tamodharmadharÃ daityÃ  KDA_94c
tayaiva sahasuptasya  KDA_110c
tal loke modavÃæÓ cara  KDA_276d
tasmÃc ca vedamÃtreïa  KDA_230c
tasmÃc caivaæ vijÃnÅyÃ  KDA_118c
tasmÃc chÅlaguïair dvijÃ÷  KDA_131d
tasmÃc chÅlaguïair dvijÃ÷  KDA_262d
tasmÃj jÃtir akÃraïam*  KDA_122d
tasmÃj jÃtir akÃraïam*  KDA_123d
tasmÃj jÃtir akÃraïam*  KDA_124d
tasmÃj jÃtir akÃraïam*  KDA_125d
tasmÃj jÃtir akÃraïam*  KDA_126d
tasmÃj jÃtir akÃraïam*  KDA_127d
tasmÃj j¤ÃnapramÃïena  KDA_219a
tasmÃj j¤Ãnaæ vinÃ naiva  KDA_217c
tasmÃt kÃruïiko bhava  KDA_275d
tasmÃt krodhaprahÃïÃya  KDA_368a
tasmÃt krodhavinÃÓÃya  KDA_397c
tasmÃt krodhavinÃÓÃya  KDA_404c
tasmÃt krodhÃgniÓÃntyarthaæ  KDA_338a
tasmÃt krodho nivÃryatÃm*  KDA_373d
tasmÃt krodho mahÃripu÷  KDA_383d
tasmÃt krodho mahÃripu÷  KDA_384d
tasmÃt krodho mahÃripu÷  KDA_392d
tasmÃt krodho mahÃripu÷  KDA_395d
tasmÃt putra ivÃtmanÅva ca dayÃæ nÅtvÃ prakar«aæ jane  KDA_419c
tasmÃt putra mayÃ proktaæ  KDA_63a
tasmÃt sarvaprayatnena  KDA_72a
tasmÃt sarvaprayatnena  KDA_447a
tasmÃt subhÆtir ity eva  KDA_28c
tasmÃd apÃsya k­«ïÃni  KDA_481a
tasmÃd ahaæ cari«yÃmi  KDA_333a
tasmÃd ÃcÃramÃtreïa  KDA_236c
tasmÃd dayÃæ h­di sthÃpya  KDA_420c
tasmÃd dharmatapa÷ÓÅla-  KDA_210a
tasmÃd dhi brÃhmaïo naiva  KDA_123c
tasmÃd dhyÃnÃt samutthÃya  KDA_354a
tasmÃd vÃ¤chati yo brahma  KDA_70a
tasmÃn na karmamÃtreïa  KDA_233a
tasmÃn maitrÅ pradhÅyatÃm*  KDA_442d
tasmÃn maitrÅ prayatnena  KDA_369c
tasmÃn maitrÅ prasÃdhyatÃm+  KDA_441d
tasmÃn maitrÅæ vibhÃvaya  KDA_274d
tasmiæÓ ca samaye buddha÷  KDA_461a
tasmai dÃnaæ pradÃtavyam  KDA_264c
tasya kiæ tapasÃ siddhe  KDA_53c
tasya kiæ brahmacaryeïa  KDA_55c
tasya saæjÃyate brahma  KDA_276c
tasya saæjÃyate brahma  KDA_277c
tasyaiva tat phalaæ dhruvam*  KDA_478b
tasyaiva dharmatÃ ÓuddhÃ  KDA_295a
tasyaiva ÓÃsane Óuddhe  KDA_464a
taæ devÃ brÃhmaïaæ vidu÷  KDA_204d
taæ devÃ brÃhmaïaæ vidu÷  KDA_266d
taæ devÃ brÃhmaïaæ vidu÷  KDA_272d
taæ subhÆtiæ samÃgamya  KDA_290c
tÃ¬ayanti ru«ÃnvitÃ÷  KDA_387d
tÃ¬itÃ tyajyate bhartrÃ  KDA_385c
tÃd­gdharmasamÃhita÷  KDA_21d
tÃd­ÓÅ jÃtitÃ bhavet*  KDA_195b
tÃn api saæmukhaæ ghnanti  KDA_379c
tÃn api saæmukhaæ du«ÂÃs  KDA_387c
tÃni sarvÃïi jÃnÅta  KDA_446c
tÃni sarvÃïi jÃnÅdhvaæ  KDA_411c
tÃni sarvÃïi du«ÂÃni  KDA_396c
tÃvat kiæ tapasÃpy etan  KDA_336c
tÃvat sadguïayukto 'pi  KDA_71c
tÃvan maitrÅ na bhÃvyate  KDA_368d
tÃæ devatÃæ pura÷ sthitÃm*  KDA_299d
tiryagyonigate«v api  KDA_207b
tiryagyonigate«v api  KDA_256b
tiryagyonyudbhavÃÓ cÃpi  KDA_436a
tÅk«ïabuddhi÷ k­todyama÷  KDA_84b
tÅrthikair iti kalpitam*  KDA_240d
t­ïau«adhÃdiÓasyÃnÃæ  KDA_143a
t­tÅyaæ brÃhmalak«aïam*  KDA_255d
te ca lokÃ÷ prabhÃ«itÃ÷  KDA_482b
te te syur brÃhmaïÃ÷ kila  KDA_234d
te devÃ nirmalÃnandÃ  KDA_99c
te 'dhobhuvanasaæjÃtÃ  KDA_97e
te narÃ brÃhmaïÃ÷ khalu  KDA_207d
tena sarve jitÃ du«ÂÃ  KDA_398c
tena sarve dvi«o hatÃ÷  KDA_371d
tena saæpadyate brahma  KDA_274c
tena saæpadyate brahma  KDA_275c
tenÃdau cittakoÂarÃt*  KDA_70b
tenÃpy evaæ suparïÃnÃæ  KDA_360a
tenedÃnÅæ tathÃrhatvaæ  KDA_476c
tenaiva karmaïÃ cÃdya  KDA_470a
tenaiva krodhinÃ sÃrdhaæ  KDA_33c
tenaiva tat prabhujyate  KDA_459d
tenaiva pÃtakenaiva  KDA_393c
tenaiva pÃtakenaivaæ  KDA_474c
tenaiva hetunÃ cÃdya  KDA_340a
tenaiva hetunÃ cÃhaæ  KDA_331c
tenaivaæ prÃrthyamÃno 'sau  KDA_66a
tenaivÃbhidrutÃ÷ sarve  KDA_361a
te 'pi ca manujÃ jainÃ  KDA_193c
te 'pi ca mÃnavÃ dhÅrÃ÷  KDA_171c
te 'pi ca mÃnavÃ bauddhÃ÷  KDA_192c
te 'pi ca mÃnavÃ÷ sarve  KDA_194c
te 'pi jÃtÃ÷ kuruk«etre  KDA_108c
te 'pi dhanyÃ dvijottamÃ÷  KDA_47d
te 'pi maitrÅpracÃriïa÷  KDA_427d
te 'pi maitryÃ÷ prabhÃvata÷  KDA_426d
te 'pi sarve ru«ÃnvitÃ÷  KDA_390d
te 'pi sarve ru«ÃÓrayÃt*  KDA_391d
te 'pi syur brÃhmaïÃÓ caivaæ  KDA_236a
te 'pi syur brÃhmaïÃ÷ khalu  KDA_229d
te 'pi hi paramar«aya÷  KDA_46d
te lokÃ maitracittÃs tribhuvanasukhadÃ÷ k«ÃntisaurabhyayuktÃ÷  KDA_486c
te viviktasukhai«iïa÷  KDA_18b
te ÓaivÃ manujÃ j¤eyÃ÷  KDA_187c
te«Ãæ dhyÃnaratÃ ye vai  KDA_18a
te«Ãæ hi jÃtisÃmÃnyÃd  KDA_202a
te satvÃ bhÆmisaæjÃtÃ  KDA_98c
te hi brahmavidÃæ varÃ÷  KDA_48d
te hotÃraÓ ca yajvÃno  KDA_173c
tyaktakrÆrasvabhÃvas tu  KDA_255a
tyaktadaï¬o nirÃmi«a÷  KDA_253b
tyaktamÃrÃbhigocarÃ÷  KDA_166b
triratnaguïavarïanÃm*  KDA_299b
triratnaÓaraïaæ gatvÃ  KDA_297c
triratnaÓaraïaæ gatvÃ  KDA_302a
triratnasamayaæ prÃptum  KDA_300c
traidhÃtukabhavÃlaye  KDA_95b
trailokyabhart­kÃ nÃthÃ÷  KDA_443c
trailokyÃdhipanÃyaka÷  KDA_425b
tvadÃj¤Ãæ ÓirasÃ vahan*  KDA_322d
tvaæ cÃpi hi tathÃ matvÃ  KDA_297a
tvaæ hi vidvÃn mahÃvij¤a÷  KDA_41c
dak«iïasyÃæ tathÃ kecit  KDA_17a
dagdhÃ janapadÃÓ cÃpi  KDA_375c
dadarÓa jinabhÃskaram*  KDA_305b
dadÃti piï¬am ÃdarÃt*  KDA_435b
dadÃha brahmajaæ kÃmaæ  KDA_376c
dadau ca païasaæ mudÃ  KDA_115b
dayÃkrÃntaæ cittaæ na bhavati paradroharabhasaæ  KDA_417a
dayÃcittaæ samÃlambya  KDA_349a
dayÃm i«ÂaphalodayÃm*  KDA_416b
dayÃlur nodvegaæ janayati pare«Ãm upaÓamÃd  KDA_418a
dayÃlur viÓvÃsyo bhavati jagatÃæ bÃndhava iva  KDA_418b
dayÃlor h­daye jÃtÃ  KDA_420a
dayÃviyogato loka÷  KDA_415a
darÓanÅyaæ subhadrÃÇgaæ  KDA_25c
daÓakuÓalasaæmatÃ  KDA_295b
daÓa var«asahasrÃïi  KDA_465a
daÓÃkuÓalanirbhuktÃ  KDA_168a
daÓÃkuÓalasaæratÃ÷  KDA_168b
dahate sa parÃn api (Speyer: svaparÃn api)  KDA_335d
dahaty ÃtmÃnam evÃdau  KDA_372c
dahet krodhÃnala÷ k«aïÃt*  KDA_337d
dÃnavÃ ghnanti devÃæÓ ca  KDA_389a
dÃnaÓÅlÃdisaddharma-  KDA_401a
dÃnaÓÅlÃdisÃdhanam* (Speyer: dharmasucaritaæ)  KDA_337b
dÃrakaæ saæprasÃdikam*  KDA_25b
dÃraka÷ samajÃyata  KDA_24d
dideÓaivaæ savistaram  KDA_310d
divyabhogÃnubhoktÃ ca  KDA_374a
durjanÃn mardayan sarvÃn  KDA_430c
durvÃgbÃïai ru«Ã khalÃ÷  KDA_379d
durv­ttiprabhavÃni hi  KDA_411b
du«ÂabhÃrÃn vinirjaya (Speyer: du«ÂamÃrÃn)  KDA_68b
du«ÂamitropadeÓena  KDA_406c
du«ÂÃ¤jetuæ na ÓaknuyÃ÷  KDA_68d
du«ÂÃ matsariïa÷ ÓaÂhÃ÷  KDA_346b
dÆ«ayi«yanti cittÃni  KDA_347a
d­«Âasatyo 'tha saæbuddhaæ  KDA_319c
d­«ÂvÃ cainaæ ca bÃlakam*  KDA_27b
d­«ÂvÃ sarve janaughÃs te  KDA_363c
d­«Âvaiva sahasÃ cÃtha  KDA_308a
d­«Âvaiva suprasannena  KDA_20c
d­«Âvaivaæ samacintayat*  KDA_37d
d­«Âvaivaæ samacintayat*  KDA_284d
devamanu«yanÃrÅïÃæ  KDA_207a
devamanu«yanÃrÅïÃæ  KDA_256a
devÃ daityÃÓ ca mÃnu«Ã÷  KDA_93d
devÃnÃm api te mÃnyÃ  KDA_45c
devÃÓ ca ghnanti dÃnavÃn*  KDA_389b
devÃsuramahÃnÃgair  KDA_8a
devair api praÓasyate  KDA_421b
deÓaya¤ chubhayas sadÃ  KDA_12d
deÓayanti sma saddharmaæ  KDA_16c
deÓe janapade«u ca  KDA_344b
dehasaæskÃramÃtrata÷  KDA_123d
dehasaæsthÃnaliÇgaiÓ ca  KDA_139c
dravyavarïÃdibhedatÃ  KDA_149b
dvijÃtikulasaæbhava÷  KDA_340b
dvitÅyaæ brÃhmalak«aïam*  KDA_254d
dve«aÓalye h­di sthite  KDA_370d
dvau guïau parikÅrtitau  KDA_102d
dhak«yati parvatÃæÓ cÃpi  KDA_286c
dhanÃdivastusaægrahai÷  KDA_179b
dhanibhi÷ puravÃsibhi÷  KDA_7b
dhanyÃs te bhik«avaÓ caiva  KDA_296a
dhanyÃs te bhik«avo hy ete  KDA_21a
dhanyÃs te vÅtarÃgÃ ye  KDA_44a
dhanyo 'yam ­ddhimÃn bhik«ur  KDA_364a
dhanyo 'si tvaæ mahÃdhÅra  KDA_291c
dharmakalpavikalpena  KDA_130c
dharmakriyÃviÓe«Ãt tu  KDA_249c
dharmacaryÃnuvarïina÷  KDA_194d
dharmata÷ sukhino bhÆtÃ÷  KDA_106a
dharmabhedÃt tata÷ karma-  KDA_223c
dharmamÃtÃ yato maitrÅ  KDA_312c
dharmarÃjas tathÃgata÷  KDA_5b
dharmarÃjo yudhi«Âhira÷  KDA_250b
dharmav­ttipramÃïena  KDA_129c
dharmasaæyamatatpara÷  KDA_83d
dharmasaæskÃrajÃ÷ khalu  KDA_198d
dharmasaæskÃrata÷ sarve  KDA_129a
dharmasaæsk­tiv­ttistha÷  KDA_121a
dharmaæ sucaritaæ puïyaæ  KDA_337a
dharmÃïÃæ tu k«amÃ mÆlaæ  KDA_412c
dharmÃnumodanaæ k­tvÃ  KDA_450c
dharmÃrthakÃmamok«e«u  KDA_80a
dharmÃrthakÃmamok«e«u  KDA_293a
dharmÃrthÅ na tyajed asmÃd  KDA_416a
dharmÃrthe yasya jÅvitam*  KDA_266b
dharme«u varïavÃdinÃm*  KDA_243b
dharme sthÃtuæ na ÓaknuyÃ÷  KDA_69b
dhÃtudo«Ãny abhij¤Ãya  KDA_183a
dhÃtrÅr vÃ snehapÃlinÅ÷  KDA_380b
dhÃtvannak«iravikrayÅ  KDA_214b
dhÃnyÃdivrÅhijÃtÅnÃæ  KDA_144a
dhÃnyÃdivrÅhisÃdhakÃ÷  KDA_178b
dhÅracittasamÃhita÷  KDA_67d
dhyÃnacaryÃm upÃÓrayat*  KDA_281d
dhyÃnaæ saukhyÃrthasÃdhanam*  KDA_353b
na kartavya÷ kadÃcana  KDA_90d
na kulena na jÃtyÃ ca  KDA_259a
na keÓena na ka­ïena  KDA_155a
na kopÃgniÓ citte jvalayati hi dayÃtoyaÓiÓire  KDA_418d
na grÅvayÃ na bÃhunÃ  KDA_155d
na ca dve«asamaæ pÃpaæ  KDA_369a
na ca bÃlasya vacanÃt  KDA_153c
na ca maitrÅsamaæ tapa÷  KDA_369b
na cendriye«u nÃnÃtvaæ  KDA_196a
na jÃtir d­Óyate devai÷  KDA_204a
na jÃtir d­Óyate rÃjan  KDA_265a
na jÅvo brÃhmaïas tÃvad  KDA_91a
na jÅvo brÃhmaïa÷ khalu  KDA_118d
na j¤Ãnasya pramÃïatÃ  KDA_230d
na tasya ko 'py abhÆt suh­t*  KDA_31b
na tÃæ kratusahasreïa  KDA_271c
natvÃ caiva k­tÃ¤jali÷  KDA_319d
natvÃ pÃdau muner dharmaæ  KDA_309c
na tv etair hi vinÃ vipra÷  KDA_210c
na dvi«anta÷ k«ayaæ yÃnti  KDA_371a
nananda sasabhÃjana÷  KDA_485d
nanandur anumoditÃ÷  KDA_482d
na naÓyanti hi karmÃïi  KDA_478c
na nidrÃæ na dh­tiæ yÃti  KDA_370c
na p­«Âhenodareïa vÃ  KDA_156b
na prÅtisukham aÓnute  KDA_370b
na bhÃryÃ bhaginÅ yuktÃ  KDA_200c
namas te bhagavan nÃtha  KDA_320c
na mukhena na nÃsÃyÃ  KDA_155c
na muditÃ na copek«Ã  KDA_442c
na yuktÃ bhaginÅ bhÃryÃ  KDA_248a
narakÃn narakaæ gatvÃ  KDA_409c
narakebhyas tam uddhartuæ  KDA_410c
narake«u sadÃ vaset*  KDA_410b
narÃïÃæ kiæ viÓe«atÃ  KDA_139d
narÃïÃæ tu tathÃ na hi  KDA_146d
narÃïÃæ nÃsti bhedatÃ  KDA_140d
nare«u kiæ viÓe«atÃ  KDA_133d
na viÓe«o 'sti vai tathÃ  KDA_134d
na ÓarÅrapramÃïatÃ  KDA_219b
na ÓÅr«eïa na cak«u«Ã  KDA_155b
na satvÃ brahmaïo jÃtÃ÷  KDA_201a
na sarvÃæÓair na maithunai÷  KDA_157b
na saærambhak«obha÷ prabhavati dayÃdhÅr ah­daye  KDA_418c
na sÃdhur du«Âajantuvat*  KDA_54d
na svareïa na varnena  KDA_157a
na hanti sarvabhÆtÃni  KDA_253c
na hi brÃhmaïa ÃkÃÓÃn  KDA_136a
na hy Ãtmana÷ samutkar«Ãc  KDA_197a
nÃgapota÷ samuddh­ta÷  KDA_19b
nÃgayonisamutpannas  KDA_330c
nÃgayonisamutpanno  KDA_475a
nÃgÃÓ ca garu¬Ã api  KDA_364d
nÃgÃÓ ca garu¬Ã yate÷  KDA_449b
nÃgÃÓ ca garu¬ÃÓ ca te  KDA_451b
nÃgÃÓ ca garu¬Ãs tathÃ  KDA_366b
nÃgÃ÷ saætrasitÃs tata÷  KDA_357b
nÃgnibhir dahyate karma  KDA_479c
nÃ jÃtyÃ dharmato dvija÷  KDA_120b
nÃdhitya caturo vedÃn  KDA_270c
nÃnÃdeÓasamÃgatai÷  KDA_7d
nÃpi svÃcÃramÃtreïa  KDA_233c
nÃmnÃ bhavatu viÓruta÷  KDA_28d
nÃradÃkhyo mahÃmuni÷  KDA_127b
nÃsti cendriyasaæyama÷  KDA_206b
ninÃya jinamandiram*  KDA_304d
niyukto 'yaæ dvijottama÷  KDA_288b
nirapek«a÷ sutÅk«ïavÃk*  KDA_80b
nirapek«Ã÷ svadehe 'pi  KDA_166a
nirarthaæ du÷khahetave  KDA_336d
nirguïo 'pi praÓobhate  KDA_422b
nirgh­ïo d­kprabhÃnalai÷  KDA_376b
nirdayas tÃ¬ayan hanti  KDA_383c
nirdayÃ÷ satvahiæsakÃ÷  KDA_186b
nirdi«Âa÷ sarvabhik«ÆïÃm  KDA_455c
nirdi«Âo bhavatÃ yena  KDA_457c
nirdi«Âo 'yaæ mayÃ khalu  KDA_477b
nirmadÃ nirahaækÃrÃs  KDA_49c
nirmamÃ nirahaækÃrÃ  KDA_170c
nirmamo ni÷parigraha÷  KDA_255b
nirmuktabhavacÃrakÃ÷  KDA_170b
nirlobhÃ÷ satyavÃdina÷  KDA_49b
nirviÓe«o 'bhavad yata÷  KDA_195d
nirv­tisukham ÃpnuyÃ÷  KDA_298d
niÓcitta÷ pratisaælÅna÷  KDA_292c
ni«k­tir nopalabhyate  KDA_110d
nihÅnotk­«ÂamadhyÃÓ ca  KDA_201c
ni÷ÓvÃsopahatasya ca  KDA_110b
ni÷saÇgÃ dhÅramÃnasÃ÷  KDA_167b
ni÷saÇgo nirahaæk­ti÷  KDA_333b
ni÷saÇgo nyavasat sudhÅ÷  KDA_342d
nÅcajÃ api santi ca  KDA_235d
nÅco 'pi sa dvijakalpo  KDA_56c
naikÃ viÓe«atÃ vÃpi  KDA_157c
naiva kaÓcid abhÃ«ata  KDA_32d
naiva kasyÃpy abhÆt priya÷  KDA_32b
naiva cittasamÃhita÷  KDA_287b
naiva muktÃÓ ca durgate÷  KDA_348b
naiva viÓvasyate janai÷  KDA_399d
naiva ÓÃntim upÃyayau  KDA_283d
naiva syur brÃhmaïÃ÷ khalu  KDA_230d
naivÃsti bhedalak«aïam*  KDA_141d
nai«Ãæ kiæcid viÓi«yate  KDA_196d
norasÃ na ca pÃrÓvena  KDA_156a
norubhyÃm atha jaÇgÃbhyÃæ  KDA_156c
nyavasad dhyÃnasaærata÷  KDA_350d
pak«iïÃæ ca viÓe«atÃ  KDA_140b
pa¤ca kulaÓatÃni ca  KDA_360b
pa¤ca kulaÓatÃny atra  KDA_356c
pa¤cajanmaÓatÃni ca  KDA_330b
pa¤ca janmaÓatÃny api  KDA_474d
pa¤calak«aïasaæpanna  KDA_258a
pa¤cÃnantaryam ÃpnuyÃt*  KDA_408d
pa¤cÃbhij¤apadaprÃpto  KDA_280c
pa¤cendriyÃrïavaæ ghoraæ  KDA_264a
patanti narake ghore  KDA_391c
patitÃ mÃæsabhak«aïÃt*  KDA_215b
patito brÃhmaïaÓ caivaæ  KDA_217a
patito brÃhmaïo hy asau  KDA_109d
patir mitra÷ suh­d bandhus  KDA_441c
patrÃdyÃkÃrabhedatÃ  KDA_142b
pathi vÃ yadi vÃ g­he  KDA_254b
padÃdibhedalak«aïam*  KDA_139b
padbhyÃæ jÃto yathÃ ÓÆdra÷  KDA_247a
padbhyÃæ ÓÆdra÷ samudbhava÷  KDA_242d
padmÃdÅnÃæ viÓe«atÃ  KDA_146b
papracchur evam ÅÓvaram*  KDA_456d
paratreha ÓivaækarÃ÷  KDA_295d
paramÃmeti vikriyÃm*  KDA_415b
parÃtmaÓubhavÃ¤chinÃ  KDA_483d
parÃn dhak«yati vÃ na vÃ  KDA_372d
parigrahÃn parityajya  KDA_164a
parityajya g­hÃvÃsaæ  KDA_267a
paritrÃtÃÓ ca sarvata÷  KDA_358d
pari«vajyÃtmajaæ putraæ  KDA_66c
paru«ÃbaddhacetasÃ  KDA_473b
paru«ÅbhÆtacittatvÃn  KDA_31a
par«adaæ ca samÃlokya  KDA_3c
paÓava÷ krÆramÃnasÃ÷  KDA_436b
paÓuvatsa narÃkÃra÷  KDA_227c
paÓyadhvaæ bhik«avo yÆyaæ  KDA_453a
pÃïipÃdanakhair na ca  KDA_156d
pÃtako 'nyo na vidyate  KDA_397b
pÃti snehopacÃreïa  KDA_428c
pÃti snehopacÃreïa  KDA_429c
pÃtrÅ susaæghÃÂiparÅtadeha÷  KDA_324b
pÃpato du÷khabhÃgina÷  KDA_106b
pÃragaÓ ca mahÃsudhÅ÷  KDA_85d
pÃraga÷ sarvavedÃnÃæ  KDA_272a
pÃraæ prÃpa subuddhimÃn*  KDA_35d
pÃlayanti mahÃsnehÃt  KDA_440c
pÃlayanti sadÃ prajÃ÷  KDA_174b
pÃvako brahmahÃ bhavet*  KDA_212b
pÃæÓavo 'nnÃ bhavanti hi  KDA_153d
pÃæÓudÃtÃ hy abhÆc chiÓu÷  KDA_115d
pÃæÓupu¤jÃni saæpiï¬ya  KDA_152c
pÃæÓupu¤jÃbhidhÃnena  KDA_158c
piï¬apÃtaæ dadau mudÃ  KDA_116d
piï¬apÃtÃsanÃdÅnÃæ  KDA_9c
pitaram ity abhÃ«ata  KDA_64d
