Vagisvarakirti: Mrtyuvancanopadesa
Based on the ed. by Johannes Schneider: VÃgÅÓvarakÅrtis M­tyuva¤canopadeÓa, eine buddhistische Lehrschrift zur Abwehr des Todes.
Wien : Verlag der ™sterreichischen Akademie der Wissenschaften 2010.
(Beitr„ge zur Kultur- und Geistesgeschichte Asiens ; 66) (Denkschriften der philosophisch-historischen Klasse ; 394)
ISBN 978-3-7001-6722-8


Input by Johannes Schneider



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akasmÃj jÃyate sthÆla÷  VMv_1.61a
tathaivaikÃgramÃnasa÷  VMv_4.25d
tathopadeÓÃt kalpÃdi-  VMv_4.88c
tad ahar jÅvitaæ tasya  VMv_2.20c
tadÃ bhavati susthira÷  VMv_4.68d
tadÃ mÃsatrayÃd Ærdhvaæ  VMv_1.37c
tadÃ mÃsÃd bhaven m­tyu÷  VMv_1.42c
tadÃ m­tyur dvirÃtrata÷  VMv_1.58d
tad Ãrabhya dinaæ m­tyur  VMv_2.5c
tadgataikÃgramÃnasa÷  VMv_1.22b
tad dÅrghaæ m­tyuva¤canam  VMv_3.63d
tadvat tasyÃpi jÅvitam  VMv_1.124d
tadvidhÃnapura÷sarÃt  VMv_3.28b
tadv­ddher m­tyuva¤canam  VMv_3.32d
tadv­ddheÓ cirajÅvitam  VMv_4.87d
tam eva kÃlam Ãrabhya  VMv_1.32c
tamo vÃ praviÓet svapne  VMv_1.129a
tasmÃd anik«iptadhurÃ yatadhvam  VMv_4.92b
tasmÃd ahnor dvayaæ ca tridinam atha catur-vÃsarÃn vyÃpya yÃvat  VMv_2.52b
tasmÃd ekottareïa triguïitadaÓakaæ tryuttaraæ yÃvad eva  VMv_2.53b
tasmÃd ya÷ saptamo 'para÷  VMv_2.30b
tasminn eva dine m­tyur  VMv_1.59c
tasminn eva dine m­tyur  VMv_2.40c
tasmin vij¤eyam etad bhuvanaravidiÓo maÇgalaæ «aÂ catu«kam  VMv_2.52d
tasya kalpasahasrÃïi  VMv_4.69c
tasya nÃÓaæ vijÃnÅyÃd  VMv_2.16c
tasya rogÃdi jÃyate  VMv_2.19d
tasya «a¬mÃsamadhyata÷  VMv_1.115d
tasya suru«Âo 'py avihatatejÃ÷  VMv_3.73c
tasyÃm eva tithau nÆnaæ  VMv_1.97c
tasyÃm eva hi velÃyÃæ  VMv_1.39c
tasyÃÓ cakraæ sitadyuti  VMv_4.30d
taæ m­tyu¤jayasaæj¤inam  VMv_3.60b
tÃm evÃbhyasyato nityaæ  VMv_3.11c
tÃm evÃbhyasyato nityaæ  VMv_4.75c
tÃrÃbhyudayatantroktaæ  VMv_3.43a
tÃrÃæ merupramÃïÃæ ca  VMv_1.74c
tÃlukÃnÃæ trayaæ muhu÷  VMv_1.46b
tÃvat puïyÃdisaæbhÃraæ  VMv_1.6c
tÃvad dhyÃnam idaæ smaret  VMv_4.26b
tÃvad yÃ kumbhakakriyÃ  VMv_4.66b
timirÃdiprabhÃvata÷  VMv_1.12b
ti«Âhati«Âhapadaæ tata÷  VMv_4.16b
ti«Âhati«Âhapadaæ tasmÃd  VMv_4.12c
tuttÃre dvis ture dviÓ ca  VMv_3.42c
tuttÃre syÃt ture paÓcÃt  VMv_4.33c
tulyakÃlaæ patanti cet  VMv_1.78b
tulyakÃlaæ yadÃ bhavet  VMv_1.45b
tulyakÃlaæ yadÃ vidhyet  VMv_1.46a
tulyakÃlaæ yadÃ vedhaÓ  VMv_1.42a
tulyaæ mÃsÃt sa m­tyubhÃk  VMv_1.44d
tulyaæ syÃd yadi ha¤chikÃ  VMv_1.39b
tena jano 'stu sa m­tyuvimukta÷  VMv_4.101d
tena m­tyur na bÃdhate  VMv_4.52d
tena svasthaÓarÅreïa  VMv_1.11c
tenaiva syÃt pratikriyÃ  VMv_1.116d
te«Ãm ad­«Âau «a¬mÃsÃn  VMv_1.92c
te«Ãæ j¤Ãnaæ ca mok«aÓ ca  VMv_3.10c
te«Ãæ Óodhanam ucyate  VMv_2.41d
tair Ãyu÷ sÃdhitaæ dÅrghaæ  VMv_3.63c
tailavartik«ayÃdibhi÷  VMv_4.89b
tailÃbhyaktam atibhÅtaæ  VMv_1.135c
tai÷ syÃd v­ddhir Ãyu«a÷  VMv_3.64b
tai÷ syÃn m­tyuva¤canam  VMv_3.64d
trayastriæÓaddinaæ yÃvat  VMv_2.40a
trayastriæÓaddine«v evaæ  VMv_2.51a
trayodaÓÃhaæ dvivar«Ãd  VMv_2.45c
trayoviæÓatyaharvÃhe  VMv_2.50a
trÃyamÃïo bhaven nÆnaæ  VMv_3.15c
triguïo jye«Âha udghÃto  VMv_4.67a
tripuÂaæ cakram Ãlikhya  VMv_2.54a
triphalÃmÃrkavÃnvitam  VMv_3.78b
tribhir dinais tadÃ nÆnam  VMv_1.38c
tribhir dinais tadÃ m­tyur  VMv_1.46c
tribhir mÃsais tadÃ m­tyur  VMv_1.48c
tribhi÷ pak«ai÷ suniÓcitÃt  VMv_2.11b
trimÃrgago bhaved vÃyu÷  VMv_2.14a
trimÃsÃn m­tyur Ãpyate  VMv_1.134d
triratnaÓaraïÃt tathÃ  VMv_3.14b
trirÃtram­tyur durgandho  VMv_1.87c
trivarïo yÃti vegata÷  VMv_1.82b
trividhodghÃtayogena  VMv_4.62a
trisaædhyabalidÃnÃdi-  VMv_4.4c
triæÓat tu caikatriæÓac ca  VMv_2.39a
trailokyavijayÃkhyo 'yaæ  VMv_3.40c
dak«iïÃdarÓanÃt pit­-  VMv_1.95c
dak«iïÃÓÃgatÃæ chÃyÃm  VMv_1.119a
daï¬aæ vÃ caityayÆpaæ vÃ  VMv_1.126a
dattvÃ svÃhÃpadaæ cÃnte  VMv_3.55a
dadyÃd aÓraddhayÃ yadi  VMv_3.6b
dadhimadhvaktipÆrvakam  VMv_3.43d
dantÃn ni«kÃÓya te m­tÃ÷  VMv_4.95d
dantÃ yasya p­thakp­thak  VMv_1.70b
dantair dantÃn asaæsp­Óan  VMv_4.47b
darpaïe salile vÃpi  VMv_1.63c
darÓanÃd vandanÃn nityam  VMv_3.18c
daÓa pa¤cadaÓÃthavÃ  VMv_1.99d
daÓalak«aæ tato homaæ  VMv_3.60c
daÓÃkuÓalasaætyÃgÃt  VMv_3.14a
daÓÃhÃd yamadarÓanam  VMv_1.80d
daÓÃhÃn maraïaæ dhruvam  VMv_1.83d
daÓÃhÃn m­tyusaægama÷  VMv_1.110d
dahadvayaæ garjadvayaæ  VMv_4.13a
dÃnaÓÅlÃdyabhedinÅ  VMv_4.76b
dÃruïavyÃdhisaæbhava÷  VMv_2.12d
digdinaiÓ ca kramÃn m­ti÷  VMv_2.38d
digbÃïaguïanetre«u  VMv_1.106c
dinatrayaæ punaÓ candre  VMv_2.9a
dinadvitricatu«Âayam  VMv_2.35b
dinanyÆnaikavar«ata÷  VMv_2.48b
dinam ekam ahorÃtraæ  VMv_2.35a
dinÃni trÅïi pavana÷  VMv_2.8c
dinÃni trÅïi pÆrvavad  VMv_2.10c
dinÃny aÇkakramÃl likhet  VMv_2.54d
dinÃrdhaæ yadi sÆryaga÷  VMv_2.34b
dine kÃlaæ nirÆpayet  VMv_2.5b
dine«u maraïaæ bhavet  VMv_1.106d
divÃ chÃyÃpathaæ paÓyed  VMv_1.65a
divÃ nak«atramaï¬alam  VMv_1.64b
diÓÃæ rÃtrÃv adarÓanam  VMv_1.71b
dÅnÃnÃthasalajjebhya÷  VMv_3.16a
dÅrgham Ãyus tathÃ prÃpya  VMv_3.24c
dÅrghÃyur api mandÃyu÷  VMv_3.13a
dÅrghÃyur m­tyuva¤caka÷  VMv_3.15d
dÅrghÃyu÷ puru«a÷ sadÃ  VMv_1.89b
durbodhaæ mandabuddhÅnÃæ  VMv_1.3a
du«karaæ calacetasÃm  VMv_1.3b
du÷khasaædohanÃÓanam  VMv_4.35d
dÆrvÃdaÓÃæÓahomena  VMv_3.56c
d­¬hÃhaÇkÃrato dhyÃtvÃ  VMv_4.21c
d­¬hÃhaÇkÃrasaægatÃt  VMv_4.39b
d­¬ho vÃ dantasaædaæÓas  VMv_1.58c
d­ÓyadeÓaæ parityajya  VMv_1.91c
d­Óyante 'ÇgulipÅ¬anÃt  VMv_1.103b
d­ÓyÃn anyÃæÓ ca bhÅ«aïÃn  VMv_1.67b
d­«ÂayÃ k­«ïarekhayÃ  VMv_1.81b
d­«ÂarÆpe 'pi vibhrama÷  VMv_1.63b
d­«ÂaÓakter anekaÓa÷  VMv_3.49d
d­«Âau pak«Ãd vinÃÓanam  VMv_1.110b
d­«ÂvÃ paÓyec chanair nabha÷  VMv_1.93d
d­«ÂvÃpi lak«aïaæ yatra  VMv_1.20a
d­«ÂvÃ yogeÓvaraæ m­tyur  VMv_4.27a
devatÃdarÓita÷ svapna÷  VMv_1.121a
deÓÃntaravisarpiïa÷  VMv_1.91d
daivak«obho dvidhe«yate  VMv_1.14b
daivak«obho 'naÓanÃdi-  VMv_1.15c
daivabhÆtobhayak«obhÃn  VMv_1.13a
daivasaæk«obhato m­tyur  VMv_1.15a
dravyai÷ saæghasya bhojanÃt  VMv_3.21b
dvÃtriæÓad divasÃn yadi  VMv_2.39b
dvÃdaÓÃhavivarjitai÷  VMv_2.49d
dvÃdaÓÃhaæ var«advayÃt  VMv_2.45a
dvÃdaÓonaikavar«ata÷  VMv_2.46d
dvÃviæÓatiæ cet «a¬mÃsair  VMv_2.49c
dvÃsaptatidinonitÃt  VMv_2.45d
dvÃsaptatidinonitai÷  VMv_2.43b
dvidhÃ maraïalak«aïam  VMv_1.10b
dvimÃsam­tyur h­tpÃdau  VMv_1.87a
dvimÃsÃd yamadarÓanam  VMv_1.109b
dvilak«ÃdijapÃd evam  VMv_4.55a
dharmateti padaæ tata÷  VMv_3.51d
dharmadarÓÅ ca jÅvite  VMv_4.8b
dharmam eva smaret tata÷  VMv_2.11d
dharmasaæbhogakÃyÃdi-  VMv_4.76a
dharma÷ saæprÃpyate sÆk«ma÷  VMv_3.4c
dharma÷ syÃt puïyalak«aïa÷  VMv_3.32b
dharmÃcÃrÅ jitendriya÷  VMv_1.6b
dharmÃÓokanarendravat  VMv_3.21d
dharmo hi trÃyate m­tyor  VMv_3.7c
dhavalÃ nararÆpiïÅ  VMv_1.94b
dhastÃbhyÃm apamÃrjitÃt  VMv_1.83b
dhÃtubhir nÃtiÓÅtalai÷  VMv_3.75b
dhÃtuvai«amyato rogÃt  VMv_1.12a
dhÃraka÷ sarvam­tyÆnÃæ  VMv_3.37c
dhÃraïÅjapataÓ cÃpi  VMv_3.27c
dhÃraïÅjÃpatatparÃ÷  VMv_3.29b
dhÃraïÅsaæcayÃdyukta-  VMv_3.29a
dhautaÓ ca nirjalai÷ k«Årair  VMv_3.47c
dhyÃtvÃ candrakramÃn m­tyuæ  VMv_4.45c
dhyÃtvÃ tasyÃpi h­daye  VMv_4.25a
dhyÃtvÃ m­tyuæ na paÓyati  VMv_4.38d
dhyÃtvÃryatÃrÃæ h­daye  VMv_4.30c
dhyÃtvÃ vairocanaæ Óuklam  VMv_4.20c
dhyÃnÃdibhir maraïa-va¤cana eva yatna÷  VMv_2.55d
dhyÃnÃd i«Âaphalasthairyam  VMv_4.6c
dhyÃyÃd ekam aharniÓam  VMv_4.18d
dhyÃyÃd ekÃgracitta÷ san  VMv_4.32a
dhruvam Ãyur vivardhate  VMv_3.16d
dhruvam Ãyur vivardhate  VMv_3.22d
dhruvaæ chÃyÃpathaæ tathÃ  VMv_1.72b
dhruvaæ nivÃrayen m­tyum  VMv_3.79c
dhruvaæ syÃn m­tyuva¤canam  VMv_3.56d
nak«atracakrasaptar«i-  VMv_1.71a
nakhe«u raktavarïe«u  VMv_1.60a
na cÃtra maïisÃmarthye  VMv_3.38a
na cÃpy arthasya rÃÓibhi÷  VMv_3.4b
na cintÃæ cintayec cintyÃm  VMv_4.77a
na tad vastvantaraæ loke  VMv_3.66a
na tu lak«aïanÃstitÃ  VMv_1.19d
natvÃ saæbuddham ÃdarÃt  VMv_1.2d
na du«karaæ kiæ cana vikrameïa  VMv_4.92a
na du«karaæ yata÷ kiæ cid  VMv_1.8a
na dharmarahitas ti«Âhet  VMv_3.8a
na prabhur m­tyuva¤cane  VMv_3.8d
na bhÃvaæ bhÃvayed vidvÃn  VMv_4.78a
namas traiyadhvikÃnÃæ prÃk  VMv_3.51a
nama÷ samantakÃyeti  VMv_4.10a
na m­tyur d­Óyate kva cit  VMv_1.20b
naraæ k­«ïaparicchadam  VMv_1.134b
naro yas tv abhirohati  VMv_1.126b
navÃhaæ cet tribhir var«ai÷  VMv_2.43c
na vinÃ jÅvitÃt sÃraæ  VMv_1.7a
na ÓrÆyate pa¤cadinaæ  VMv_1.99c
na«Âe jyoti«i m­tyu÷ syÃt  VMv_1.105c
nasyapradÃnÃd vidhinÃ  VMv_3.71c
nÃgÃn anekaÓa÷ paÓyet  VMv_1.92a
nÃ¬ÅvicchedadarÓanÃt  VMv_1.59b
nÃta Ærdhvam asaæbhavÃt  VMv_2.51d
nÃta÷ ÓraddhÃ na yujyate  VMv_1.120d
nÃticaÇkramaïe priya÷  VMv_4.3b
nÃdaÓ cet karïayor bhavet  VMv_1.48b
nÃnÃrogÃd upadrava÷  VMv_1.33b
nÃnopÃyair atas tÆrïaæ  VMv_1.7c
nÃpy abhÃvaæ vibhÃvayet  VMv_4.78b
nÃbhiparyantago bhavet  VMv_1.51b
nÃbher viparyayÃn m­tyu÷  VMv_1.111a
nÃbhau vedho yadÃ bhavet  VMv_1.36b
nÃbhau hikkÃæ gude ha¤chÃæ  VMv_1.75a
nÃbhyÃsarahitas ti«Âhen  VMv_4.57a
nÃÓÃn m­tyur ahastrayÃt  VMv_1.112d
nÃÓonmukho 'pi dÅpÃdis  VMv_4.89a
nÃsÃgranirgato vÃyur  VMv_4.71a
nÃsÃgramÃæsaÓaithilyÃn  VMv_1.53a
nÃsÃgrasya vinÃÓata÷  VMv_1.107d
nÃsikÃgaddrikÃvedhe  VMv_1.40a
nÃsikÃdak«iïetare  VMv_2.6c
nÃsikÃæ yadi vidhyati  VMv_1.38b
nityaprav­ttÃ vibhinatti kÃle  VMv_4.92c
'niyatas tu viparyayÃt  VMv_1.24d
niyato 'niyataÓ ceti  VMv_1.23c
nirantaranirodho 'pi  VMv_4.68c
nirarthako visaævÃdÅ  VMv_1.120a
nirÆpakanaro yatra  VMv_2.5a
nirodhanÃt kumbhaka÷ syÃt  VMv_4.61c
nirodhaÓ cÃtra Óasyate  VMv_3.77b
nirodho m­tyulak«aïam  VMv_1.5b
nirodho m­tyuva¤caka÷  VMv_4.60d
nirgamena praveÓitai÷  VMv_3.76b
nirvikalpamanÃ bhavet  VMv_4.82d
niÓcita÷ syÃt parisphuÂam  VMv_2.3b
niÓcite dÆrato m­tyau  VMv_1.21a
niÓcetur dÆ«aïaæ tatra  VMv_1.19c
ni÷Óe«aguïasaæbhava÷  VMv_4.74b
ni÷Óe«ado«apraÓamo  VMv_4.74a
ni÷Óe«arogasaædoha-  VMv_3.48c
ni÷sparÓÃ dravavarjitÃ  VMv_1.113b
nÅlÃditvaæ ca varïata÷  VMv_1.114b
netrayos tÃrake mli«Âe  VMv_1.55a
netre ca vartulÅbhÆte  VMv_1.56c
naivÃpnuyÃt phalaæ kiæ cic  VMv_3.6c
noktÃ÷ «o¬aÓasaækhyÃ ye  VMv_2.41c
notpattir yugapan matÃ  VMv_1.18b
nyÃyÃrabdhÃ÷ sarvayatnÃ÷ phalanti  VMv_4.93d
pak«atrayeïa m­tyu÷ syÃd  VMv_1.45c
pak«advayaviparyÃsÃt  VMv_2.12a
pak«iïo jÅvakÃÇk«iïa÷  VMv_3.13d
pak«imatsyam­gavyÃ¬a-  VMv_3.12c
pak«e reto 'tik­«ïakam  VMv_1.116b
pa¤catridvidinair m­tyur  VMv_2.39c
pa¤catvaæ jÃyate tadÃ  VMv_1.36d
pa¤catvaæ yÃti pa¤cabhi÷  VMv_1.43d
pa¤cabhya÷ pa¤caviæÓaddivasagatir ihÃ-rohate pa¤cav­ddhyÃ  VMv_2.53a
pa¤camÃsÃd bhaven m­tyur  VMv_1.107c
pa¤camÃsÃd viniÓcitÃ  VMv_1.82d
pa¤carak«ÃvidhÃnÃd vÃ  VMv_3.26c
pa¤ca var«Ãïi jÅvati  VMv_4.54d
pa¤caviæÓatim eva vÃ  VMv_1.100b
pa¤cÃm­taprayuktibhi÷  VMv_3.72b
pa¤cÃm­tarasÃyanam  VMv_3.78d
pa¤cÃÓaddivasais tathÃ  VMv_1.113d
pa¤cÃ«ÂaÓik«ÃkaraïÃn  VMv_3.14c
pa¤cÃhapa¤caviæÓatyor  VMv_2.41a
pa¤cÃhaæ ca daÓÃhaæ ca  VMv_2.36a
pa¤cÃhaæ ced vahet sÆrye  VMv_2.21c
pa¤cÃhaæ ced vahen marut  VMv_2.25b
pa¤cÃhaæ ced vahen m­tyur  VMv_2.22c
pa¤cÃhaæ mÃruto m­tyu÷  VMv_2.24c
pa¤cÃhÃd upaÓli«yati  VMv_1.111b
paÂÃder agrata÷ pÆjÃæ  VMv_3.39a
paï¬itÃ÷ ÓÃstrapÃragÃ÷  VMv_4.95b
patitair dhÃtubindubhi÷  VMv_3.75d
padaæ brÆyÃd anantaram  VMv_3.57d
padmacandrÃsanopari  VMv_4.19d
paralokaæ vicintayet  VMv_1.79d
parÃk«ïo÷ pratibimbasyÃ-  VMv_1.110a
paricchedÃya paï¬itai÷  VMv_4.65d
pariïÃmÃt tano÷ pu«Âi÷  VMv_4.87a
pariïÃmo 'pi Óaktita÷  VMv_4.86d
parÅk«ottÅrïavajradh­k  VMv_3.36b
parvatÃdau kva cit sthita÷  VMv_4.2d
palitÃdivinÃÓanam  VMv_4.46d
palitÃdÅæÓ ca nÃÓayet  VMv_4.49b
paÓcÃt tÃre dvir uccaret  VMv_3.42b
paÓcÃt tÃre prayojayet  VMv_4.33b
paÓcÃt svaæ jÃnumaï¬alam  VMv_4.64d
paÓyann api na paÓyati  VMv_4.72d
paÓyet pretapiÓÃcÃn a-  VMv_1.67a
paÓyet «a¬mÃsam­tyuka÷  VMv_1.136d
paÓyed indradhanuÓ citraæ  VMv_1.89a
paÓyed ekatra melakam  VMv_1.65d
paÓyed ekaikaÓas tasya  VMv_1.68c
paÓyen m­tyuæ sa pak«ata÷  VMv_1.77d
pÃïinÃ tri÷ parÃm­Óya  VMv_4.65a
pÃdayos tÃlukÃæ viddhvÃ  VMv_1.36a
pÃdayos tÃlukÃæ viddhvÃ  VMv_1.37a
pÃdayos tÃlukÃæ viddhvÃ  VMv_1.38a
pÃdÃÇgu«Âhaæ samÃrabhya  VMv_1.51a
pÃdÃÇgu«ÂhÃd dh­dayÃntaæ  VMv_1.52a
pÃdÃmbÆjadvayopari  VMv_4.23d
pÃrÓvadvayasyÃk­«Âau tu  VMv_1.111c
pÃÓag­hÅtahastÃya  VMv_4.11d
pittaÓle«mÃdyupadrava÷  VMv_1.17d
'pi vÃ syÃn m­tyuva¤canam  VMv_3.31d
pÅ¬itÃn bhayakÃtarÃn  VMv_3.15b
pÅyÆ«adravasaæcayam  VMv_4.70b
pÅyÆ«arasavedanam  VMv_4.48d
puÂadvayaæ parityajya  VMv_2.20a
puÂe pratyekam ÃÓrita÷  VMv_2.6d
puÂonnÅtapuÂe kramÃt  VMv_3.76d
puïyam evÃrjayet tata÷  VMv_1.42d
puïyÃt syÃd Ãyu«o v­ddhis  VMv_3.32c
puïyÃd eve«Âasaæsiddhir  VMv_4.5a
putrabhÃryÃvinÃÓa÷ syÃd  VMv_1.95a
punarujjÅvanaæ d­«Âaæ  VMv_3.77a
punas tasyÃpi h­daye  VMv_4.25c
punas tailÃdisaæprÃpte÷  VMv_4.89c
purata÷ p­«Âhato 'pi vÃ  VMv_1.85b
puro gaganamadhyata÷  VMv_1.90b
pu«Âer balavivardhanam  VMv_4.87b
pu«pitaæ karavÅrakam  VMv_1.122b
pu«yaÓe«adinaiÓ cÃpi  VMv_1.35c
pu«yasaækrÃntidivase  VMv_1.28a
pu«yas tu makaro mata÷  VMv_1.26b
pu«yÃdimÃsasaækrÃntau  VMv_2.4a
pu«yÃd dhrÃsa÷ kramÃt tathÃ  VMv_1.31b
pÆjanaæ lÃbham eva ca  VMv_2.17d
pÆrïamÃsyÃdiparvasu  VMv_2.4b
pÆrvakarmaprabhÃvottham  VMv_3.44c
pÆrvavaj japahomÃbhyÃæ  VMv_4.15c
pÆrvaæ karkaÂamatsyayo÷  VMv_1.34b
pÆrvoktadviguïonitÃt  VMv_2.45b
pÆrvoktadviguïonitai÷  VMv_2.42d
pÆrvottaraÓikhÃdÆrvÃ-  VMv_3.44a
p­thagjanavij­mbhitair iti  VMv_4.81d
p­«ÂhacandrasamÃÓritÃm  VMv_4.29b
paiï¬apÃtikabhik«uvat  VMv_3.19d
pau«ïa÷ kÃla÷ sa vij¤eyas  VMv_2.31c
pau«ïe kÃle vahed vÃyur  VMv_2.34a
prakampate bh­Óaæ caiva  VMv_1.67c
prakampam atha tÃluni  VMv_1.76b
prakÃrÃntaram Ãrabhet  VMv_4.50b
prak­te÷ parivarjanÃt  VMv_2.14b
prajÃ m­tyor vaktraæ makara-mukhavan nau÷ praviÓati  VMv_4.97d
praj¤Ã caikÃntanirmalÃ  VMv_4.37b
pratikÃrakriyÃ na cet  VMv_1.55d
prati tu«itajanÃrthaæ yo 'bhavac chvetaketu÷  VMv_1.1b
pratipaccandrayogÃdi-  VMv_3.71a
pratipadaæ samÃrabhya  VMv_2.8a
pratibuddho vijÃnÅyÃd  VMv_1.131c
pratibhÃti yato 'nyathÃ  VMv_1.12d
pratimÃsaæ padak«aya÷  VMv_1.29b
pratimÃsaæ padav­ddhi÷  VMv_1.29a
pratÅkÃravivarjita÷  VMv_2.14d
pratÅkÃre ca vartanam  VMv_1.21d
pratyak«ad­«ÂasÃmarthyo  VMv_3.77c
pratyak«asiddhaæ sarve«Ãæ  VMv_4.88a
pratyahaæ phÆtk­taæ kurvan  VMv_1.88c
prathamaæ kumbhakaæ k­tvÃ  VMv_4.64c
pradak«iïavidhÃnata÷  VMv_3.27b
pradattadak«iïÃcÃryair  VMv_3.46c
pradÃnÃn m­tyuva¤canam  VMv_3.30d
pradÅptavahner ÃhÃra÷  VMv_4.86c
prabalam­tyumahÃbhayaÓaÇkayÃ  VMv_3.83c
prabhÃtÃdik«aïÃtmaka÷  VMv_1.24b
prabhÃte vÃtha sÃyÃhne  VMv_1.93a
prabhÃva÷ sarvasaæmata÷  VMv_1.8d
pramÃdÃt k«aïamÃtrakam  VMv_3.8b
prayÃyÃd dak«iïÃæ diÓam  VMv_1.124b
prayÃyÃd dak«iïÃæ diÓam  VMv_1.125b
prayogakuÓala÷ ÓrÃddha÷  VMv_4.85a
prayogakuÓalÃ ye ca  VMv_4.95a
prayogaj¤e«u loke«u  VMv_4.84c
prayogÃ naiva durlabhÃ÷  VMv_4.84d
prayogÃs te sudurlabhÃ÷  VMv_4.84b
prayogÃæÓ cÃpy anekaÓa÷  VMv_4.96b
pravÃlÃyutahomata÷  VMv_3.44b
praveÓaæ gaïayed vÃyo÷  VMv_4.53a
praveÓa÷ Óasyate vÃyor  VMv_4.52a
praveÓÃt syÃt pratikriyÃ  VMv_1.117d
prasiddhir mahatÅ bhavet  VMv_1.21b
prasuptenÃgrato d­«ÂvÃ  VMv_1.134c
prasÆte bodhisÃdhakam  VMv_1.6d
prÃg vÃkcittapadaæ tata÷  VMv_4.10b
prÃïasaækhyÃ prakÅrtitÃ  VMv_4.51d
prÃïo nÃ¬yÃÓrito yo vahati dinapater udgame savyahÅne  VMv_2.52c
prÃptenÃntaradhÃtunÃ  VMv_3.71b
prÃpyÃri«ÂasamudbhÆtir  VMv_1.13c
proktÃ mantrÃs tathÃgatai÷  VMv_3.63b
phukÃro vahnisaænibha÷  VMv_1.80b
bandhadvayaæ hanadvayam  VMv_4.12d
bandhanasthÃn uruvyÃdhi-  VMv_3.15a
bandhanÃd vÃyurodhata÷  VMv_4.60b
balÃt syÃd Ãyu«o v­ddhis  VMv_4.87c
balinÃm iti padÃd oæ  VMv_3.52a
balÅnÃæ gaïacakrÃïÃæ  VMv_3.30c
bahÆnÃæ vÃrigandhayo÷  VMv_3.80b
bÃïÃbdhiguïanetrendu-  VMv_1.100c
bÃdhakÃntarakalpanam  VMv_1.20d
bÃdhirye Órotrayor m­tyuÓ  VMv_1.108a
bÃhyam ÃdhyÃtmikaæ caiva  VMv_3.1a
bÃhyalak«aïamÃtrÃn na  VMv_2.2a
bÃhyaÓ cÃdhyÃtmikaÓ cÃpi  VMv_3.1c
bÃhyÃdhyÃtmikabhedena  VMv_1.10a
bÃhyÃni prathamaæ tÃval  VMv_1.22c
bÃhyÃbhyantarabhedena  VMv_1.14a
bÃhye buddhiviparyÃso  VMv_2.3c
buddhak­tyakaraæ ÓÃntaæ  VMv_4.19a
buddhadharmate tata÷ syÃt  VMv_3.53c
buddhapa¤jarakÃdi ca  VMv_4.99b
buddhabhÃ«itani÷Óe«a-  VMv_3.26a
bubhuk«Ãbahule deÓe  VMv_3.67c
bodhyagrÅmudrayÃ yuktaæ  VMv_4.20a
brahmÃpi hi vinÃ dharmaæ  VMv_3.8c
brahmendravi«ïucandrÃrka-  VMv_4.34a
bhak«aïÃlepanÃt sadyo  VMv_3.80c
bhak«apÃnÃsanÃdikam  VMv_4.57d
bhak«yate prohyate cÃpi  VMv_1.132c
bhagaliÇgasamÃyoge  VMv_1.43a
bhagnasphuÂitacaityÃdÃv  VMv_3.19a
bhadrakumbhÃdisiddhaya÷  VMv_4.36d
bhadracaryÃsamÃdÃna-  VMv_3.50a
bhayaÓokÃdisÃmarthyÃt  VMv_1.12c
bhavaty avaÓyaæ ni÷Óe«a-  VMv_3.48a
bhavet pa¤cadaÓÃbdata÷  VMv_2.22d
bhaven mantra÷ ÓatÃk«ara÷  VMv_3.55b
bhaven m­tyunivÃraïam  VMv_3.80d
bhaven m­tyur yathÃkramam  VMv_2.36d
bhÃvayet tadvivarjita÷  VMv_4.78d
bhÃvÃbhÃvavinirmuktaæ  VMv_4.78c
bhÆtak«obhas tu pittÃdi-  VMv_1.16c
bhÆtak«obho 'pi dvividhas  VMv_1.14c
bhÆtasaæk«obhato m­tyur  VMv_1.16a
bhÆmis toyaæ khanyamÃnÃ dadÃti  VMv_4.93b
bhÆyaÓ ca na nivarteta  VMv_1.124c
bhe«ajasyÃpi sÃmarthye  VMv_3.82a
