Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
tato deva÷ prahasyÃha  SkP_26.16a
tato deva÷ saha gaïai  SkP_7.34a
tato deva÷ svayaæ prabhu÷  SkP_25.57b
tato devÃstato 'surÃ÷  SkP_24.59b
tato devÃ÷ sagandharvÃ÷  SkP_18.38a
tato devÅ mahÃbhÃgÃ  SkP_25.23a
tato devyÃ mahÃdevo  SkP_22.20a
tato drak«yatha Óaækaram  SkP_8.4d
tato drak«yÃmi Óaækaram  SkP_20.65d
tato narÃdhipaæ devÅ  SkP_26.50a
tato 'nyaæ deÓamÅpsitam  SkP_29.175d
tato 'para÷ paÂÂisena  SkP_23.30a
tato 'para÷ samÃpede  SkP_23.33a
tato 'para÷ sahasreïa  SkP_23.41a
tato 'para÷ saumyarÆpo  SkP_23.25a
tato 'paro mahÃkeÓo  SkP_23.11a
tato brahmÃ diÓa÷ sarvÃ  SkP_5.39a
tato brahmÃbhyagÃddrutam  SkP_18.26d
tato bhagavatÅ bhÆya÷  SkP_28.47a
tato bhrÃt­Óataæ tasya  SkP_18.2c
tato manomayaæ cakraæ  SkP_4.37a
tato mayordhvaæ d­«ÂÃstu  SkP_29.10a
tato marutsutÃ caiva  SkP_25.24a
tato mahÃlayÃttasmÃt  SkP_29.54c
tato mÃæ k­cchramÃviÓat  SkP_20.54d
tato munivaraÓre«Âhaæ  SkP_15.16a
tato mumoca taccakraæ  SkP_4.38c
tato m­tyurna me bhavet  SkP_20.58b
tato mok«amavÃpsyati  SkP_12.47d
tato mok«amavÃpsyati  SkP_12.49d
tato vÃyustamÃkÃÓe  SkP_20.31c
tato vini÷s­tÃ bhÆya÷  SkP_7.12e
tato vi«ïustata÷ Óakro  SkP_24.46a
tato vyÃsa punardevÅ  SkP_28.1a
tato 'sya nirgata÷ kÃyÃd  SkP_18.14c
tato 'sya netrajo vahnir  SkP_15.5a
tato 'sya bhedayÃmÃsa  SkP_26.57a
tato 'hamÃsthito devi  SkP_29.14a
tatkuru«va tathÃ k«ipraæ  SkP_17.7e
tatkuru«va mama priyam  SkP_18.20d
tatkuru«va mahÃbuddhe  SkP_11.15c
tatkuru«va yathepsitam  SkP_13.130d
tatk­taæ nÃtra saædeho  SkP_12.48c
tatk«aïÃcca tato vyÃsa  SkP_13.63a
tatte sarvaæ mayÃ dattaæ  SkP_12.50c
tattvaprabuddhÃ yatayo vadanti  SkP_29.90d
tattvavinyÃsakÃriïe  SkP_3.15d
tattvÃkhyaæ jagadidamÃdarÃdyuyoja  SkP_3.29b
tattvÃ p­cchÃma vai janma  SkP_1.11c
tattvÃyÃmarasaæj¤iïe  SkP_20.13b
tatparasya tadÃÓi«a÷  SkP_30.16b
tatpareïa tadÃÓi«Ã  SkP_21.3b
tatpu«pasaæcayamayair  SkP_13.88c
tatpÆjitaæ devamanu«yasiddhai  SkP_4.40a
tatprabrÆhi maheÓvara  SkP_28.2d
tatphalaæ labhate pattre  SkP_28.34c
tatra kÃ paridevanÃ  SkP_10.36d
tatra koÂÅ÷ sa pa¤cÃÓad  SkP_18.26a
tatra tacca mahaddivyaæ  SkP_7.14a
tatra tvaæ varayitrÅ yaæ  SkP_12.15c
tatra me niÓi rÃjendra  SkP_17.3c
tatra raæsyasi sarvadÃ  SkP_22.7d
tatra rÃjÃ nivasati  SkP_26.22a
tatra lokÃnna saæÓaya÷  SkP_18.29d
tatra vairamanusm­tya  SkP_19.16a
tatrÃgÃtkalahaæsanÆpuraravÃ devyÃ vivÃhe Óarat  SkP_13.91d
tatrÃjagmurmudÃ yuktÃ÷  SkP_23.62c
tatrÃjagmustadÃ puram  SkP_13.70d
tatrÃbhigamanÃdeva  SkP_7.32a
tatrÃsau darÓanaæ svapne  SkP_26.27a
tatraiva niyamasya ca  SkP_3.17d
tatraivaæ yogina÷ sÆk«maæ  SkP_3.26a
tatraivÃntaradhÅyata  SkP_5.65b
tatraivÃntaradhÅyata  SkP_9.30d
tatraivÃntaradhÅyata  SkP_11.24b
tatraivÃntaradhÅyata  SkP_12.57d
tatraivÃntaradhÅyata  SkP_12.58d
tatraivÃntaradhÅyata  SkP_20.25d
tatraivÃntarhita÷ sthita÷  SkP_11.6d
tatsarvaæ tvayi ti«Âhati  SkP_28.50b
tatsarvaæ me prayacchasva  SkP_12.49c
tatsthÃpitamatho d­«ÂvÃ  SkP_7.15a
tathÃ kari«ye deveÓa  SkP_26.25a
tathÃ kÃrohaïÃsthitam  SkP_29.84d
tathÃ kumudvatÅæ caiva  SkP_24.39a
tathÃ kuravakÃÓcÃpi  SkP_13.124a
tathÃ kuru mahÃdeva  SkP_26.19c
tathÃ k­«ïatilÃÓca ye  SkP_28.42b
tathÃgniÓikharo gaïa÷  SkP_23.50d
tathÃ ghaÂasahasreïa  SkP_26.44a
tathÃ ca k­tyamuddiÓya  SkP_5.63c
tathÃ cÃpyekapÃÂalÃm  SkP_11.24f
tathÃ cÃsÆyake nare  SkP_3.2d
tathÃ caiva dhanÃvaha÷  SkP_23.51b
tathÃ caivordhvamehana÷  SkP_23.8b
tathÃ tatkathayÃmi te  SkP_27.7d
tathÃ tannÃtra saædeho  SkP_15.37a
tathÃ trivarïojjvalacÃrumÆrtinÃ  SkP_13.78a
tathÃ durvÃsase nama÷  SkP_21.44b
tathÃ deyaæ na kasyacit  SkP_28.72f
tathÃ devi nagÃtmaje  SkP_28.44b
tathÃ devyÃ v­tastadÃ  SkP_12.21b
tathÃ dvau meghabhÆtikau  SkP_23.52d
tathÃ niyamakÃriïe  SkP_5.52b
tathÃ ni«kalma«aÓca ha  SkP_28.17d
tathÃnya÷ sarpamÃlaÓca  SkP_23.43a
tathÃ paÓupatÅÓvaram  SkP_29.82d
tathÃ pÃdÃya pÃdine  SkP_21.40f
tathÃpi tu na m­tyurme  SkP_20.55c
tathÃpi na yaÓaskaram  SkP_5.28d
tathÃpratihatÃya ca  SkP_21.48b
tathÃ bÃhÆpahÃraka÷  SkP_23.50b
tathÃ bhartari caiva hi  SkP_25.25b
tathÃbhÆtÃæ mahÃyaÓÃ÷  SkP_10.26b
tathÃ bh­ÇgiriÂiÓca ya÷  SkP_23.61f
tathÃ madbhÃvabhÃvita÷  SkP_27.43b
tathÃyatanavarïanam  SkP_2.23d
tathÃ vaitÃnikavratÃ÷  SkP_29.62d
tathÃ ÓÃliÓirÃ yaÓca  SkP_25.10a
tathÃÓvinau devabhi«agvarau tu  SkP_13.18a
tathÃ saptaÓirÃ gaïa÷  SkP_23.53b
tathÃ samanucoditÃ  SkP_29.182b
tathÃ sarvasurÃrcita  SkP_29.13f
tathÃ sarvÃrpitakriya÷  SkP_30.59b
tathÃ saækoÂako 'para÷  SkP_23.52b
tathÃ sumbhanisumbhayo÷  SkP_29.196d
tathÃ surataye nama÷  SkP_29.211d
tatheti so 'pyanuj¤ÃtaÓ  SkP_26.33a
tathetyuktvÃ gate tasmin  SkP_8.5a
tathaiva ca nirÃÓrayÃ÷  SkP_26.8b
tathaiva cÃrcanÅyatvaæ  SkP_11.2c
tathaiva tridivaukasa÷  SkP_13.51b
tathaiva rasanÃya ca  SkP_21.40b
tathaiva vik­ta÷ prabhu÷  SkP_12.10b
tathaiva v­«ayÃyine  SkP_21.35d
tathaiva samati«Âhata  SkP_13.33d
tathaiva sparÓanÃya ca  SkP_21.39d
tathaivÃÇgirase nama÷  SkP_21.45b
tathaivÃtÅndriyÃya ca  SkP_21.22b
tathaivÃstambhayattadÃ  SkP_13.35f
tathaivÃstambhayadvibhu÷  SkP_13.38f
tathaivobhayatogati÷  SkP_23.35d
tathoktastÃæ praÓasyÃtha  SkP_12.57a
tathyaæ mÃtÃvadattava  SkP_26.18b
tathyenÃrthena caiva hi  SkP_26.62b
tadadyÃpi mahaddivyaæ  SkP_7.36a
tadantaramabhiprek«ya  SkP_17.15a
tadÃ tasya suto 'yaæ syÃt  SkP_15.11c
tadÃ devastuto«a ha  SkP_21.3d
tadÃ devÅæ girÅndrajÃm  SkP_29.72b
tadÃ ni«kalma«aæ tapa÷  SkP_8.3d
tadÃp­cche gami«yÃmi  SkP_12.16a
tadÃprabh­ti kathyate  SkP_29.16f
tadÃprabh­tyevÃd­ÓyÃ  SkP_18.10c
tadÃÓÅstannamaskÃras  SkP_30.5c
tadÃÓramapadaæ gacchan  SkP_18.13a
tadÃsanavaraæ Óubham  SkP_24.14f
tadekasya tu padmasya  SkP_28.33c
tadeva suk­taæ ÓlÃghyaæ  SkP_13.5a
tade«opani«atproktÃ  SkP_3.8a
tadomÃparameÓayo÷  SkP_13.135b
tadovÃca narÃdhipam  SkP_17.12b
tadg­hÅtvÃ Óiro dÅptaæ  SkP_6.2a
taddevi yadi tu«ÂÃsi  SkP_29.224a
taddeÓaæ jvalitaæ yathÃ  SkP_29.61b
taddhi mÃheÓvaraæ teja÷  SkP_4.14a
tadbhÃvabhÃvitÃ¤{}j¤ÃtvÃ  SkP_8.28a
tadyuktÃstadapÃÓrayÃ÷  SkP_5.3b
tadyogyaæ samakalpayan  SkP_1.6d
tadrÆpaæ saraso madhye  SkP_12.32c
tadvidhatsva pitÃmaha  SkP_13.61d
tanÆbhiÓca jalÃdibhi÷  SkP_4.18b
tanni«ÂhastatparÃyaïa÷  SkP_30.5d
tanni«ÂhÃstatparÃ÷ sarve  SkP_5.3a
tannaimiÓaæ samÃsÃdya  SkP_5.1a
tanno vadasva deveÓa  SkP_4.35c
tanmÃtrÃya mahÃtmane  SkP_21.41d
tanmÃtrendriyabhÆtÃnÃæ  SkP_20.14a
tanme 'nuj¤Ãtumarhasi  SkP_26.32d
tanme 'nuj¤Ãtumarhasi  SkP_29.180d
tanme brÆhi yathÃtattvaæ  SkP_27.9c
tanme sarvamaÓe«eïa  SkP_20.1c
tapa ugraæ suduÓcaram  SkP_3.22b
tapantyo 'psarasa÷ ÓubhÃ÷  SkP_29.178d
tapaÓcakÃra vipulaæ  SkP_11.19c
tapaÓcaraïameva ca  SkP_2.11b
tapaÓcartuæ pracakrame  SkP_4.2d
tapaÓceru÷ samÃhitÃ÷  SkP_8.24d
tapasaÓcaraïaæ tathÃ  SkP_2.6b
tapasÃ ­«idevatÃ÷  SkP_9.12b
tapasÃ k«Åïakalma«Ã÷  SkP_1.4b
tapasÃ tava bhÃvita÷  SkP_22.11b
tapasÃ tena b­æhita÷  SkP_12.51b
tapasÃ dagdhakilbi«Ã÷  SkP_4.25b
tapasÃ dagdhakilbi«Ã÷  SkP_8.16b
tapasÃ dagdhakilbi«Ã÷  SkP_29.179b
tapasÃ nÃtibhÃvita÷  SkP_20.60b
tapasÃnena to«ita÷  SkP_21.13b
tapasÃnena suvrata  SkP_11.20d
tapasÃ bhÃvitaÓcÃpi  SkP_16.14c
tapasÃ bhÃvitasya tu  SkP_19.8b
tapasÃ bhÃvitaæ vyÃsa  SkP_29.128c
tapasÃ bhÃvita÷ Óuci÷  SkP_29.98f
tapasÃ bhÃvitÃtmanÃm  SkP_8.25b
tapasÃ bhÃskaradyutim  SkP_19.2b
tapasÃ viniyogayogina÷  SkP_8.36a
tapasÃ svena rÃjendra  SkP_8.15c
tapasÃ svena sarvadÃ  SkP_11.31d
tapasÃ hatakilbi«a÷  SkP_31.2b
tapaso 'k«ayyamuttamam  SkP_12.62b
tapaso 'tha vyayaæ matvÃ  SkP_12.59a
tapaso 'sya mahatphalam  SkP_29.220b
tapaso hyarjanaæ du÷khaæ  SkP_12.52e
tapastaptuæ pracakrame  SkP_9.21b
tapastaptvÃ ca bhÃsvaram  SkP_8.4b
tapastaptvÃ suduÓcaram  SkP_20.59b
tapastÅvraæ cakÃra ha  SkP_3.10d
tapastepe ca bhÃsvaram  SkP_19.1d
tapastepe suduÓcaram  SkP_19.7d
tapastepe suduÓcaram  SkP_30.14d
tapa÷ kuruta mÃ ciram  SkP_8.23d
tapa÷ k­tvÃtiduÓcaram  SkP_19.3b
tapa÷ pa¤cabhireva ca  SkP_23.47b
tapa÷ÓarÅrÃstÃ÷ sarvÃs  SkP_11.30a
tapÃæsi niyamÃæÓcaiva  SkP_24.42c
tapo 'k«ayaæ sthÃnamathÃtulÃæ gatiæ  SkP_25.53a
tapoj¤Ãnasamanvitam  SkP_19.3d
tapodhanai÷ siddhagaïaiÓca saæstutaæ  SkP_7.38a
tapoyuktairmahÃtmabhi÷  SkP_1.18d
tapoyogabalÃnvitam  SkP_15.32b
tapoyogabalÃnvitam  SkP_16.2d
tapoyogabalÃnvita÷  SkP_3.5d
tapoyogabalÃnvita÷  SkP_18.37b
tapoyogabalÃnvitau  SkP_20.41b
tapyato yak«arÃjasya  SkP_29.126a
tapyamÃnasya ÓÆladh­k  SkP_20.8b
tapyamÃnaæ tapo ghoraæ  SkP_29.127c
tapyamÃnaæ paraæ tapa÷  SkP_15.16d
tapyamÃnaæ paraæ tapa÷  SkP_29.97b
tapyamÃnÃya tÃpine  SkP_21.43d
tamanÃcÃrasaæyuktaæ  SkP_15.2a
tamapaÓyanta te sarve  SkP_8.35a
tamapyatrÃpi saækruddhas  SkP_18.37a
tamapyuvÃca n­patiæ  SkP_26.52a
tamasÃ bahulÅk­tÃ÷  SkP_27.37d
tamahaæ dhÃrayÃmyeko  SkP_10.33a
tamÃgatya tadÃ brahmÃ  SkP_11.20a
tamÃgatya vasi«Âhastu  SkP_19.2a
tamÃgatyÃha bhagavÃ¤  SkP_21.4a
tamÃgamyocivÃ¤chaktiÓ  SkP_17.3a
tamÃtmasthaæ ye 'nupaÓyanti dhÅrÃs  SkP_3.9c
tamÃnaya namaste 'stu  SkP_8.19c
tamÃpatantaæ sakrodhaæ  SkP_7.18a
tamÃlagulmairnicitaæ sugandhibhir  SkP_30.24a
tamÃlagulmaistasyÃsÅc  SkP_13.117a
tamÃsÅnamap­cchanta  SkP_1.8a
tamÃha Óaækaro devaæ  SkP_13.62e
tamÃha Óaækaro devaæ  SkP_13.130a
tamÃhÃthÃk«ayaÓcÃsi  SkP_6.11a
tamÃhÆya sa tu«ÂyÃ tu  SkP_20.46a
tamimaæ mama saædeÓÃd  SkP_24.9a
tamihaiva paraæ mok«aæ  SkP_30.70c
tamutthÃya gaïeÓvaram  SkP_26.53d
tamuvÃca tato deva÷  SkP_6.6e
tamuvÃca tadÃ dak«o  SkP_10.29a
tamuvÃca tadÃ brahmÃ  SkP_5.30a
tamuvÃca trilocana÷  SkP_10.32b
tamuvÃca punarvi«ïur  SkP_29.26a
tamuvÃcÃrghyamÃnÃyya  SkP_12.7a
tameva cÃpyathÃvÃsaæ  SkP_7.22c
tameva manasÃ gatÃ÷  SkP_5.3d
tameva Óaraïaæ gata÷  SkP_3.6d
tamevaæbhÆtamanasam  SkP_29.135a
tamevaæ yuktamanasaæ  SkP_30.7a
tamevaæ vartamÃnaæ tu  SkP_29.99a
tamevaævÃdinaæ kruddhÃ  SkP_8.12a
tamevaævÃdinaæ devaæ  SkP_20.23a
tamevaævÃdinaæ deva÷  SkP_16.8a
tamevaævÃdinaæ devo  SkP_5.35a
tamevaævÃdinaæ matvÃ  SkP_20.67a
tamo bhittvÃ sudurbhidam  SkP_27.40d
tamoliÇgÃya vai nama÷  SkP_15.25b
tayÃ patantyÃ viprendrÃ  SkP_6.6a
tayo÷ pÃde«u ÓirasÃ  SkP_20.46c
taratyaÓrÃntapauru«a÷  SkP_19.26d
tarjayanta ivÃnyonyaæ  SkP_13.106c
tarpayetsa pitÌnapi  SkP_28.20d
tava jÃmÃtarastvime  SkP_10.27f
tava du«Âena karmaïÃ  SkP_11.11d
tava devÃbhirÃdhane  SkP_26.42b
tava nÃmnÃ bhavi«yati  SkP_29.172b
tava putri Óubhek«aïe  SkP_26.7d
tava putro 'bhavaccÃpi  SkP_19.13a
tava sarvaæ manogatam  SkP_15.31b
tavÃj¤ayÃ kari«yete  SkP_31.13c
tavÃnugrahak­tprÃpto  SkP_26.28c
tavaiva bhagavanhaste  SkP_14.27c
tavai«a tanayastÃta  SkP_20.50a
tasthurÃtmÃnamÃdhÃya  SkP_29.64c
tasthau niyamamÃsthitÃ  SkP_26.47b
tasthau pÃrÓvagata÷ prabho÷  SkP_26.61d
tasthau prÅtimudÃyutÃ  SkP_12.62d
tasmÃcca kÅrtanÃtpÃpaæ  SkP_28.52a
tasmÃcca sarpi«Ã snÃnaæ  SkP_27.26c
tasmÃcchivaÓca saumyaÓca  SkP_9.14c
tasmÃjjaÂodÃ nÃmnÃ tvaæ  SkP_22.18e
tasmÃ¬¬hitkirikÃæ tÃæ vai  SkP_22.24c
tasmÃtk­tvÃ tapo ghoram  SkP_11.18a
tasmÃtti«ÂhÃmyahaæ nityam  SkP_10.33e
tasmÃtte 'nugrahaæ kartÃ  SkP_15.37c
tasmÃttvamapi Óaækara  SkP_10.30b
tasmÃttvameva devyasya  SkP_29.145a
tasmÃttvaæ karmaïÃ tena  SkP_17.24c
tasmÃttvaæ karmaïÃnena  SkP_19.21e
tasmÃttvaæ jarayÃ tyakta÷  SkP_12.22c
tasmÃtpitÃmahatvaæ te  SkP_3.21c
tasmÃtpitÌïÃmÃn­ïyaæ  SkP_19.6a
tasmÃtprajÃpatitvaæ te  SkP_3.22c
tasmÃtsarasvatÅtyeva  SkP_7.8c
tasmÃtsvarlÅna ityevaæ  SkP_29.29c
tasmÃdidaæ mahatk«etraæ  SkP_29.74a
tasmÃdimaæ svakaæ dehaæ  SkP_10.22a
tasmÃdenaæ nihanyatha  SkP_7.19d
tasmÃddevi bhavi«yasi  SkP_7.7f
tasmÃddevena dhÅmatÃ  SkP_7.23d
tasmÃddhi yogÃdbhavatÅ  SkP_10.5a
tasmÃdbrahmeti loke«u  SkP_3.20c
tasmÃdbhÆyaÓca kÃpilam  SkP_27.26b
tasmÃdyatte karomyadya  SkP_10.19a
tasmÃdvar«asahasraæ te  SkP_26.60c
tasmÃdvirodhamÃsthÃya  SkP_8.14c
tasmÃdvaivasvate 'ntare  SkP_10.27d
tasmÃnna kroddhumarhasi  SkP_29.143f
tasmÃnnandÅti nÃmnÃyaæ  SkP_20.33c
tasmi¤chivapure ramye  SkP_13.66a
tasminkÃle narÃdhipa÷  SkP_17.14b
tasmingate mahÃdeve  SkP_16.13a
tasmindeÓe pinÃkinÃ  SkP_7.24b
tasminn­tÃvadrisutÃvivÃha-  SkP_13.101a
tasminvimÃne girirÃjaputrÅ  SkP_26.68a
tasminsarvadivaukasÃm  SkP_13.38d
tasmai devÃya somÃya  SkP_2.3a
tasmai vyÃsa mahÃtmane  SkP_24.58b
tasya kÃlena mahatÃ  SkP_19.8a
tasya ku«mÃï¬arÃjebhyo  SkP_24.63c
tasya koÂÅtraye vyÃsa  SkP_21.11a
tasya caivotpathasthasya  SkP_5.60a
tasya janmaprabh­tyeva  SkP_30.5a
tasya janmabhayaæ kuta÷  SkP_29.43d
tasya tadvacanaæ ÓrutvÃ  SkP_7.5a
tasya tÃæ paramÃæ mÆrtim  SkP_29.67a
tasya tÃæ v­ddhimatulÃæ  SkP_26.36a
tasya tu«ÂastadÃ devo  SkP_7.3a
tasya tu«Âo dhaneÓastu  SkP_29.166a
tasya tu«Âo mahÃdevo  SkP_16.4c
tasya tyÃgo na Óasyate  SkP_12.52f
tasya devÅ tadÃ h­«ÂÃ  SkP_13.56a
tasya pÃpamahaæ ÓÅghraæ  SkP_28.39c
tasya pÃrÓve 'tha dak«iïe  SkP_24.16d
tasya puïyaphalaæ devi  SkP_28.17a
tasya puïyaphalaæ mahat  SkP_28.53d
tasya putrÃÓca catvÃra÷  SkP_19.13c
tasya pÆjÃæ ca mahatÅæ  SkP_26.34a
tasya prabhÃvÃjjÃyeta  SkP_28.23c
tasya bÃlyÃtprabh­tyeva  SkP_16.3a
tasya madhyÃttato vÃcaæ  SkP_5.56a
tasya madhye 'gnikÆÂaæ ca  SkP_8.31a
tasya rÆpÃÓrayaæ divyaæ  SkP_24.12a
tasya var«asahasreïa  SkP_20.8a
tasya vaÓyÃni bhÆtÃni  SkP_4.33e
tasya vai vrajata÷ k«ipraæ  SkP_4.39a
tasya ÓokÃdvilapata÷  SkP_20.52a
tasya sarvasya ÓailÃde  SkP_22.4c
tasya saækalpasaætapto  SkP_18.33a
tasya haimavate Ó­Çge  SkP_27.14c
tasyÃgrata÷ pÃdapÅÂhaæ  SkP_24.15a
tasyÃcalendrasya darÅ«vatÅva  SkP_13.98a
tasyÃti«Âhata sa dvÃri  SkP_6.4c
tasyÃtha saptame var«e  SkP_20.39a
tasyÃdhastÃdÃrtanÃdaæ  SkP_11.6a
tasyÃnte 'vabh­the plutya  SkP_5.16a
tasyÃpi ca ­tostatra  SkP_13.122a
tasyÃpi tvaæ pitÃmaha÷  SkP_25.6d
tasyÃpi daÓanÃ÷ petur  SkP_13.37c
tasyÃpi bhagavÃnbÃhuæ  SkP_13.35e
tasyÃpi ÓaÇkhalikhitau  SkP_11.34e
tasyÃpi Óiraso deva÷  SkP_13.36c
tasyÃbhi«iktasya tadÃ  SkP_22.27a
tasyÃbhÆcchilakairv­tti÷  SkP_20.5c
tasyÃmÃpannasattvÃyÃæ  SkP_16.15a
tasyÃrthe munisattama  SkP_17.5f
tasyÃ vij¤aptimÃkarïya  SkP_29.180e
tasyÃÓca karuïÃæ ÓrutvÃ  SkP_15.9a
tasyÃhaæ varadÃnÃya  SkP_15.14c
tasyÃæ tu k­«yamÃïÃyÃæ  SkP_20.28a
tasyÃæ patnyÃæ mahÃvrata÷  SkP_18.21b
tasyÃæ vipÃÓa÷ saæv­tto  SkP_18.5c
tasyÃæ sa janayÃmÃsa  SkP_19.12a
tasyedaæ cihnamÃsthitam  SkP_29.33f
tasyeyaæ phalani«patti÷  SkP_5.59a
tasyaiva cÃparÃdhena  SkP_26.23c
tasyaiva varadÃya ca  SkP_21.37b
tasyaivaæ garvitaæ vÃkyaæ  SkP_18.30a
tasyaivaæ manyamÃnasya  SkP_5.27a
tasyaivaæ stuvata÷ samyag  SkP_5.54a
tasyaivaæ stuvato vyÃsa  SkP_3.19a
taæ g­hÅtvÃ drutaæ yÃto  SkP_12.38c
taæ g­hÅtvÃ mahÃdeva÷  SkP_7.13a
taæ tathÃbhyarcitaæ vyomni  SkP_22.26a
taæ tadÃÓvÃsya nik«ipya  SkP_6.13a
taæ te d­«ÂvÃrcayitvÃ ca  SkP_5.5a
taæ d­«ÂvÃ pa¤camaæ tasya  SkP_5.41a
taæ d­«ÂvÃpah­taæ vyÃsa  SkP_19.21a
taæ d­«ÂvÃ praïataæ bhaktyÃ  SkP_31.4a
taæ d­«ÂvÃ vik­taæ brahmÃ  SkP_7.2a
taæ d­«ÂvÃ ÓailajÃ prÃha  SkP_29.71a
taæ d­«ÂvÃ somamÅÓeÓaæ  SkP_20.9a
taæ devaæ pratyabhÃ«ata  SkP_13.60b
taæ devaæ pramathapatiæ praïamya bhaktyÃ  SkP_3.30c
taæ deÓamupacakrame  SkP_21.11d
taæ deÓaæ so 'nvag­hïata  SkP_7.26d
taæ deÓaæ so 'bhyagacchata  SkP_7.16d
taæ brahmarÃk«asaniÓÃcarabhÆtayak«Ã  SkP_20.21c
taæ brahmÃ lokas­«Âyarthaæ  SkP_4.5a
taæ ÓaÓÃka vapurdra«Âuæ  SkP_29.68e
taæ Óoïakaæ tato rÃjye  SkP_18.22a
tÃ uvÃca tato devÅ  SkP_29.237e
tÃ uvÃcÃmarÃ yÆyaæ  SkP_29.232a
tÃ evamuktÃ÷ pÃrvatyÃ  SkP_29.184a
tÃ gÃvo brahmaïÃ svayam  SkP_29.20b
tÃ¤ch­ïu«va varÃnane  SkP_29.78d
tÃta tÃteti ca muhur  SkP_18.24c
tÃta tÃteti cÃbravÅt  SkP_20.30d
tÃtamevÃbhyamanyata  SkP_18.24b
tÃd­ÓÃnÃæ gaïÃdhyak«o  SkP_23.26e
tÃnahaæ tapasÃ j¤ÃtvÃ  SkP_11.6c
tÃni sarvÃïyaÓe«eïa  SkP_29.85c
tÃni srotÃæsi trÅïyasyÃ÷  SkP_22.22a
tÃnuvÃca tato deva÷  SkP_3.24a
tÃnd­«ÂvÃ s­jyamÃnÃæÓca  SkP_10.9a
tÃnsiddhÃnyatipuægavÃn  SkP_29.70b
tÃpayasyatiÓobhane  SkP_11.36b
tÃbhirevaæ stutÃ devÅ  SkP_29.219a
tÃbhirmÃmeva Óailaje  SkP_29.12b
tÃbhi÷ svaæ svaæ samÃdÃya  SkP_3.25a
tÃbhyastaæ vinivedayat  SkP_7.21f
tÃbhya÷ piÓÃcÃ v­ttÃsyÃ÷  SkP_7.21c
tÃbhyÃmanuj¤ÃtaÓcaiva  SkP_20.42a
tÃbhyÃm­tubhyÃæ prÃptÃbhyÃæ  SkP_13.93a
tÃbhyÃæ p­«ÂaÓca kaccitte  SkP_20.43a
tÃmap­cchanta kÃ nve«Ã  SkP_5.16c
tÃmÃha prahasandevo  SkP_9.20a
tÃmÃha bhava nÃrÅti  SkP_9.18c
tÃmuvÃca kutastvaæ vai  SkP_18.9a
tÃmuvÃca tato devo  SkP_22.18a
tÃmuvÃca tadÃ devo  SkP_7.7a
tÃmuvÃca suraÓre«Âhas  SkP_29.72a
tÃmevaæ krodhatÃmrÃk«Åæ  SkP_29.142a
tÃmrÃïÃmatha divyÃnÃæ  SkP_24.23a
tÃrakapre«itasya ha  SkP_2.26b
tÃrakasya vadha÷ Óubha÷  SkP_2.27d
tÃrayasva pitÌnbhayÃt  SkP_11.15d
tÃrayedekaviæÓatim  SkP_27.16d
tÃrÃgrahagatiæ tathÃ  SkP_5.8b
tÃrÃrÆpÃïi sarvÃïi  SkP_24.29a
tÃrk«yaæ samÃruhya mahÅdhrakalpaæ  SkP_13.17c
tÃlaketuÓca «aï¬aÓca  SkP_23.59c
tÃ lokamÃtaraÓcaiva  SkP_11.31a
tÃvatsaha mayÃ devÃ  SkP_9.29c
tÃvadeva vayaæ sthitÃ÷  SkP_11.13b
tÃvanna bhok«ye yÃvanme  SkP_26.42c
tÃvabhyarcya yathÃnyÃyaæ  SkP_20.40a
tÃvidaæ pratyuvÃca ha  SkP_25.24d
tÃsÃæ k«Åreïa saæjÃtaæ  SkP_29.21a
tÃsÃæ ÓaraïyatÃæ yÃtvÃ  SkP_29.12a
