Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmànmçtyuràyàto  Bca_7.8c
eùàmatra kimàyàtaü  Bca_6.50c
eùàmiti dayànvitam  Bca_5.56d
eùàü duþkhaughavartinàm  Bca_9.164b
ka icchedbhavituü tadà  Bca_6.28b
ka eva bàdhyate 'nayà  Bca_9.102d
kaïkàlàdevamãkùitàt  Bca_8.48b
kaïkàlàn katiciddçùñvà  Bca_8.70a
kaïkàlairaparaiþ saha  Bca_8.30b
kañudhåme yathàmbare  Bca_6.40d
katarattannibandhanam  Bca_6.30d
katipayajanasatradàyakaþ  Bca_1.32a
kathayiùyàmi yathàgamaü samàsàt  Bca_1.1d
kathaü karomi yenedaü  Bca_7.72c
kathaü kàyaþ karàdiùu  Bca_9.83b
kathaü kàyaþ sthita iti  Bca_5.39c
kathaü kle÷o nivartate  Bca_9.31b
kathaü ca niþsaràmyasmàt  Bca_2.33a
kathaü ca niþsaràmyasmàn  Bca_2.32a
kathaücidapi saüpràpto  Bca_4.26a
kathaücillabdhamadbhutam  Bca_7.36d
kathaücillabhyate saukhyaü  Bca_6.12a
kathaü j¤àtvàpi tatraiva  Bca_8.64c
kathaü tiùñhenmateþ puraþ  Bca_9.34d
kathaü te rocate bhoktuü  Bca_7.6c
kathaü tairjàyate ratiþ  Bca_8.23d
kathaü dàsãkçto 'smi taiþ  Bca_4.28d
kathaü nàmàsvavasthàsu  Bca_7.73c
kathaü nàmopapadyate  Bca_9.96b
kathaü nidrà kathaü ratiþ  Bca_7.6d
kathaü nu khalu vidyate  Bca_9.83d
kathaü phalavatã bhavet  Bca_9.39b
kathaü mayyapi tiùñhati  Bca_7.51b
kathaü sattvo 'sti satyataþ  Bca_9.10d
kathaü siddhastvadàgamaþ  Bca_9.42b
kathitaü tattvavàdinà  Bca_5.6d
kathyamànàpi sà mudhà  Bca_9.23d
kadalãva phalaü vihàya yàti  Bca_1.12a
kadà kàyamagopayan  Bca_8.29d
kadàcinnopalabhyate  Bca_9.132d
kadà tathàgatotpàdaü  Bca_4.15a
kadà taiþ sukhasaüvàsaiþ  Bca_8.26c
kadànapekùo yàsyàmi  Bca_8.27c
kadà bàlàddhitaü bhavet  Bca_8.12d
kadà bhàvo bhaviùyati  Bca_9.148b
kadàyaü kiü karotãti  Bca_8.161c
kadà ÷atanadharmiõam  Bca_8.30d
kadopalambhadçùñibhyo  Bca_9.168a
karàdibhyaþ pçthag nàsti  Bca_9.83c
karoti yàmavãcyàdau  Bca_5.2c
karoti sarvakàryàõi  Bca_9.38c
karotãtyarisaüj¤ayà  Bca_6.6b
karotyanicchannã÷a÷cet  Bca_9.126a
karomi mànaü na tu dàsabhàvam  Bca_6.121d
karomyàpadamàpadaþ  Bca_7.54b
karomyevaü pareùvapi  Bca_8.110d
kartà bhokteti de÷itam  Bca_9.73d
karpåràdiùu hçdyeùu  Bca_8.62a
karma kçtvà vinaùñe hi  Bca_9.71c
karmaõaþ sukhaduþkhe ca  Bca_9.123a
karmaõyacittà dhyàyantu  Bca_10.43c
karmàgamàdyathà pårvaü  Bca_7.74c
karmaiva tu sukhaü yasya  Bca_7.63c
karmopakaraõaü tvetan  Bca_5.66c
karmopakle÷a÷aktiùu  Bca_7.49b
kalaïko na bhavedyathà  Bca_3.26d
kalahàyàsavarjitàþ  Bca_10.44b
kalahàyàsa÷ånyàsu  Bca_8.85c
kalahenàpi saüsàdhyaü  Bca_8.147c
kalahotsavahetubhiþ  Bca_9.155d
kaluùaü sve hçdaye karoti ya÷ca  Bca_1.34b
kaluùodayasaükhyayà sa kalpàn  Bca_1.34c
kalpakoñi÷atairapi  Bca_4.19d
kalpakoñãrasaükhyeyà  Bca_7.21c
kalpadrumà ratnamayà÷ca vçkùàþ  Bca_2.4b
kalpanà kalpitaü ceti  Bca_9.109a
kalpanàbhinive÷o hi  Bca_9.92c
kalpànanantàüstiùñhantu  Bca_3.5c
kalpànanalpàn pravicintayadbhir  Bca_1.7a
kalpitaü bhàvamaspçùñvà  Bca_9.140a
kalpyate na tu tattvataþ  Bca_9.64d
kalpyante càpi tattvataþ  Bca_9.5b
kalyàõamitraü vande 'haü  Bca_10.58c
kalyàõamevàcaraõãyameùu  Bca_6.120d
ka÷cainaü pratimànayet  Bca_8.124d
kasmàccetphalado hetuþ  Bca_9.118c
kasmàcchannaü vimçdyate  Bca_8.51d
kasmàt tattena rakùyate  Bca_8.99d
kasmàttvaü kuruùe vyayam  Bca_5.68d
kasmàtsattveùu kupyasi  Bca_6.80d
kasmàtsadà na kurute  Bca_9.124a
kasmàdatra pratikriyàm  Bca_5.59d
kasmàdatra mamàgrahaþ  Bca_8.178d
kasmàdanyatra kupyate  Bca_6.45d
kasmàdanyatra rajyate  Bca_8.65d
kasmàdanyatra rajyate  Bca_8.67d
kasmàdanyaprasàdena  Bca_6.96c
kasmàdàliïgase 'param  Bca_8.52b
kasmàdàliïgase param  Bca_8.59b
kasmàdutpadyate balàt  Bca_8.104b
kasmàdevaü kçtaü pårvaü  Bca_6.68a
kasmàdevaü na hçùyasi  Bca_6.76d
kasmàdrakùasi påtikam  Bca_5.61d
kasmàdviparyayaü kçtvà  Bca_6.49c
kasmànmàmavamanyate  Bca_8.145b
kasmànme susthitaü manaþ  Bca_2.60d
kasya kenàstu saügatiþ  Bca_9.94d
kasyacitsarvakarmasu  Bca_5.82d
kasya tat svaü bhaviùyati  Bca_8.101d
kasya màtuþ piturvàpi  Bca_1.23a
kasyànityeùvanityasya  Bca_8.5a
kasyopari kçpeti cet  Bca_9.76b
kaü và bråmo 'paràdhinam  Bca_6.67d
kaþ kiü vàrayatãti cet  Bca_6.32b
kaþ paõóitastamàtmànam  Bca_8.124a
kaþ sàdç÷yà÷rayastadà  Bca_9.68d
kàko 'pi garuóàyate  Bca_7.52b
kà gatirme bhaviùyati  Bca_4.4d
kà gatirme bhaviùyati  Bca_4.6d
kàtaratvena càgatam  Bca_6.18b
kàtarairdçùñipàtai÷ca  Bca_2.46a
kà tçùõà kutra sà tçùõà  Bca_9.153c
kàntàronmàrgapatità  Bca_10.25a
kàmadhenu÷ca dehinàü  Bca_3.19d
kàmaü jane jayaphalaü pratipàdayanti  Bca_7.59d
kàmànàmupamàü yànti  Bca_8.84c
kàmà hyanarthajanakà  Bca_8.40a
kàmino 'medhyamohitàþ  Bca_8.50d
kàmairna tçptiþ saüsàre  Bca_7.64a
kàyacittavivekena  Bca_8.2a
kàyacittavyathàturàþ  Bca_10.2b
kàyaduþkhena bàdhyate  Bca_6.52d
kàyabuddhiþ karàdiùu  Bca_9.84b
kàyabhåmiü nijàü gatvà  Bca_8.30a
kàyamadyàpi rakùasi  Bca_5.64d
kàyavàgbuddhibhiþ kçtaþ  Bca_2.30d
kàya÷caivaü yadà nàsti  Bca_9.88c
kàyastyakto jagaddhite  Bca_8.184b
kàyasyàtra kimàyàtaü  Bca_8.67a
kàyasyàrthe kçto yo 'yaü  Bca_8.82c
kàyasyàvayavatvena  Bca_8.114a
kàyasyecchàbhivçddhaye  Bca_8.177b
kàyaü dàsyati gçdhrebhyas  Bca_5.67c
kàyaü na bàdhate tena  Bca_6.53c
kàyaü vetsãtyanadbhutam  Bca_8.56b
kàyaþ prakçtibhãùaõaþ  Bca_8.68d
kàyàn pa÷yàparànapi  Bca_8.63d
kàyàstàvanta eva syur  Bca_9.82c
kàyenaiva pañhiùyàmi  Bca_5.109a
kàyenaivamavastheyam  Bca_5.39a
kàye naubuddhimàdhàya  Bca_5.70a
kàye nyasto 'pyasau gandha÷  Bca_8.65a
kàye 'sminyadyadãkùase  Bca_8.139b
kàye 'smin yadyadãkùase  Bca_8.159b
kàyo 'tra kataraþ punaþ  Bca_9.80d
kàyo na pàdau na jaïghà  Bca_9.79a
kàyo yathaikaþ paripàlanãyaþ  Bca_8.91b
kàyo yàcitakopamaþ  Bca_4.16d
kàyo yàsyati khàditvà  Bca_5.68c
kà ratirgåthapa¤jare  Bca_8.57d
kàrayantu ca karmàõi  Bca_3.14a
kàrito 'smi na càtmàrthaþ  Bca_6.74c
kàruõyàdàrdradçùñiü ÷irasi nipatitànekapuùpaughavçùñim  Bca_10.14b
kàryamoho na vàryate  Bca_9.77d
kàryaü kasya na cetsattvaþ  Bca_9.77a
kàryaü buddhvà samàcaret  Bca_5.38d
kàryà dçùñiradhogatà  Bca_5.35d
kàryàrthamabhyupetena  Bca_9.76c
kàryàrthamavicàrataþ  Bca_9.4d
kàùñhaputtalakaü ÷ucim  Bca_5.61b
kàùñhaü j¤ànaü prasajyate  Bca_9.62b
kimakliùñàpi tçùõaiùàü  Bca_9.47c
kimakùaràõi bhakùyàõi  Bca_6.92c
kimatra sàramastãti  Bca_5.63c
kimadyàpi na jànàsi  Bca_7.4c
kimanartharucirlokas  Bca_8.66c
kimanarthaü na pa÷yasi  Bca_6.15d
kimabhyàsànna jàyate  Bca_8.115d
kimarthamayamàyàsaþ  Bca_9.98c
kimasya kàùñhatulyasya  Bca_8.180c
kimasya ÷rutametàvat  Bca_8.151c
kimàtmeti na gçhyate  Bca_8.112b
kimàlambyàsya saübhavaþ  Bca_9.105b
kimàlambyàsya saübhavaþ  Bca_9.105d
kimidamiti sukhenàhlàditaü nàma kasmàd  Bca_10.12c
kimidànãü palàyase  Bca_8.45d
kimãrùyàlo na rakùasi  Bca_8.46d
kimuta satatasarvaduþkhahetån  Bca_4.38a
kimutànuttaraü saukhyam  Bca_4.6a
kimutànyaþ priyo janaþ  Bca_8.32d
kimutàpramitaü ÷ålam  Bca_1.22a
kimutàhaü naro jàtyà  Bca_7.19a
kimu niravadhisattvasaükhyayà  Bca_1.33a
kimu yojanasàhastre  Bca_2.58c
kimu vyàdhi÷atairgrasta÷  Bca_2.55c
kimevaü svasthamàsyate  Bca_7.12d
kiyato màrayiùyàmi  Bca_5.12a
kiràmi puùpaprakarànmanoj¤àn  Bca_2.17d
kiü kariùyàmyahaü tadà  Bca_4.18d
kiü kàyena kariùyasi  Bca_5.65d
kiükçto hetubheda÷cet  Bca_9.118a
kiü ca ni÷chadmabandhånàm  Bca_6.119a
kiücidbàlasya bàlataþ  Bca_8.13d
kiücinnàstãti càbhyàsàt  Bca_9.33c
kiü tadàliïgase mudhà  Bca_8.55d
kiütådàsãnasàdhuvat  Bca_8.15d
kiü tena jãvitenàpi  Bca_6.61c
kiü na gacchasi nirvçtim  Bca_8.43d
kiü na sarvaü jinoditam  Bca_9.51d
kiü nànityatvamiùyate  Bca_9.134d
kiü nirguõena kartavyaü  Bca_8.143a
kiü punarjàyate mçtaþ  Bca_9.9d
kiü punarbhairavàkàrair  Bca_2.45a
kiü punarmàdç÷airaj¤ais  Bca_8.22c
kiü punaþ kçtapàpasya  Bca_7.11c
kiü punaþ sarvasattvànàü  Bca_1.27c
kiü prahçùyàmyahaü stutaþ  Bca_8.21b
kiü pràptaü bàlasaügamàt  Bca_8.9d
kiü priyaü và kimapriyam  Bca_9.153b
kiü priyairvighnakàrakaiþ  Bca_8.33d
kiü mamànena yantreõa  Bca_8.179a
kiü mamànyairnivàritaiþ  Bca_5.14d
kiü mamaitadguõaiþ kçtyam  Bca_8.145c
kiü me sarvaiþ priyàpriyaiþ  Bca_2.62d
kiü me sàramavasthitaü  Bca_2.61b
kiü labdhaü kiü hçtaü bhavet  Bca_9.152b
kiü vàrayatu puõyàni  Bca_6.85a
kiü viùãdàmi ninditaþ  Bca_8.21d
kiü vãryaü ku÷alotsàhas  Bca_7.2a
kiü hi me parakãyayà  Bca_6.95b
kãóàrthamadyàstu ca puùpayuddham  Bca_10.9d
kãrtyamànànitastataþ  Bca_8.152b
kãrtyamàne paraguõe  Bca_6.79c
kuñumbajãvinaü lavdhvà  Bca_6.82c
kuta÷carma bhaviùyati  Bca_5.13b
kutaþ putrasya saübhavaþ  Bca_9.114b
kutaþ sukhaü và duþkhaü và  Bca_9.153a
kuto jàtà÷ca tàþ striyaþ  Bca_5.7d
kuto bandhuþ kutaþ suhçt  Bca_2.42b
kuto me bodhirityataþ  Bca_7.17b
kuto và tàdç÷aü mitraü  Bca_1.30c
kutra me vartata iti  Bca_5.41a
kupitaþ kiü nçpaþ kuryàd  Bca_6.131a
kupità yànti durgatim  Bca_8.11d
kupyati svecchayà janaþ  Bca_6.24b
kupyantyanye 'pi mohitàþ  Bca_6.67b
kupyàmãti na saücintya  Bca_6.24a
kumbhairmahàratnamayairanekaiþ  Bca_2.11b
kurute kle÷avinà÷amityavetya  Bca_8.4b
kuruùverùyàü tvamàtmani  Bca_8.160d
kuru sattvàrthasiddhaye  Bca_5.70d
kuryàdàtmànamàtmanà  Bca_9.20d
kuryàdàtmànamàtmanà  Bca_9.21b
kuryàdàtmànamàtmanà  Bca_9.21d
kuryàddhairyeõa yuktimat  Bca_5.47d
kuryànnityamatandritaþ  Bca_4.1d
kurvataþ kuta ã÷atà  Bca_9.126d
kurvantu ku÷alaü sadà  Bca_10.31d
kurvantu me mårdhni padaü janaughà  Bca_6.125c
ku÷alakçdityabhipåjyate janaiþ  Bca_1.32b
ku÷alaü tvavahãyate  Bca_6.9d
ku÷alaü na karomyahaü  Bca_4.18b
ku÷alaü bhàvayituü prasàdavegaþ  Bca_1.3b
ku÷alànàü ca sarveùàü  Bca_7.40a
ku÷alàbhyàsayogyatvam  Bca_4.15c
kåña÷àlmalãvçkùà÷ca  Bca_10.6c
kåñàgàrairmanoj¤aiþ stutimukharasurastrãsahastropagãtair  Bca_10.14c
kårmagrãvàrpaõopamaü  Bca_4.20d
kçtapàpaü na ÷ocasi  Bca_6.86b
kçtapuõyaiþ saha spardhàm  Bca_6.86c
kçtaü kalpasahasrairyat  Bca_6.1c
kçtaü kàritameva và  Bca_2.28d
kçtaü pàpamanekadhà  Bca_2.39d
kçtaü pårvaü yadi tvayà  Bca_8.157b
kçtàkçtàparãkùo 'yaü  Bca_2.34a
kçtà¤jaliranekadhà  Bca_8.41b
kçtà¤jalirduþkhabhãtaþ  Bca_2.65c
kçtena hyanubhåyate  Bca_6.131d
kçtena hyanubhåyate  Bca_6.132d
kçte yaþ pratikurvãta  Bca_1.31a
kçtyamasyàsti vairiõaþ  Bca_6.8d
kçtrime satyatà katham  Bca_9.145d
kçtvà ca nàrakaü karma  Bca_7.12c
kçtvàpi pàpàni sudàruõàni  Bca_1.13a
kçtvà maraõamagrataþ  Bca_9.166d
kçtsnaü kalyàõamàgatam  Bca_5.3d
kçpayà bahu duþkhaü cet  Bca_8.104a
kçpàtmabhirnaiva hi saü÷ayo 'sti  Bca_6.126b
kçpàduþkhaü kathaü bahu  Bca_8.104d
kçpàluþ kena khidyate  Bca_7.28d
kçpàlorarthadar÷inaþ  Bca_5.84d
kçpàvanta÷ca tadbalam  Bca_6.130b
kçpàvyàkulacàriõaü  Bca_2.51b
kçùyamàõa itastataþ  Bca_5.59b
kecitsva÷oõitaü dçùñvà  Bca_6.17a
keciddinàntavyàpàraiþ  Bca_8.73a
kena kaþ saübhaviùyati  Bca_9.152d
kenàsau yauvane sukhã  Bca_8.72b
kevalaü ÷i÷uceùñitam  Bca_6.97d
kevalà÷ubhakàriõà  Bca_6.61d
kaivartacaõóàlakçùãvalàdyàþ  Bca_4.40b
kokasya duþkhàpahametadeva  Bca_6.127c
ko 'tràntarmama tiùñhati  Bca_4.27d
ko dharme chandamutsçjet  Bca_7.39d
ko nàmàtra mariùyati  Bca_9.154b
kopaste kiü na jàyate  Bca_6.62d
kopàrthamevamevàhaü  Bca_6.74a
ko bandhuþ kasya kaþ suhçt  Bca_9.154d
ko bhaviùyati ko bhåtaþ  Bca_9.154c
ko me mahàbhayàdasmàt  Bca_2.46c
ko rajyeta vicàrakaþ  Bca_9.88b
ko vànyo bhàvatàü gataþ  Bca_9.147d
ko viùãdetsacetanaþ  Bca_7.30b
ko 'hamatrànyathàkçtau  Bca_6.68d
kautåhaleùu sarveùu  Bca_5.45c
krameõaiva na pa÷yasi  Bca_7.5b
kriyate paripàlanam  Bca_8.174b
kriyàduþkhairarogatàm  Bca_7.23b
kriyàmimàmapyucitàü  Bca_7.24a
kriyàyàstena kiü kçtam  Bca_6.30b
kriyàvattvaü kathaü bhavet  Bca_9.29b
krãóantu mama kàyena  Bca_3.13a
krãóàphalasukhepsuvat  Bca_7.62d
krãtvà pakùyanti kumbhiùu  Bca_6.89d
krodha utpadyate katham  Bca_6.38d
krodha utpadyate tathà  Bca_6.23d
krodha utpadyate na ca  Bca_6.24d
krodhano yena susthitaþ  Bca_6.5d
krodhaþ kasmànna vàryate  Bca_6.73d
kle÷aghàtànubandhinaþ  Bca_4.43d
kle÷aj¤eyàvçtitamaþ  Bca_9.55a
kle÷ataskarasaïgho 'yam  Bca_5.28a
kle÷adaüùñràntare sthitaþ  Bca_8.1d
kle÷aprahàõànmukti÷cet  Bca_9.46a
kle÷aprahàràn saürakùet  Bca_7.67a
kle÷abàói÷ikàrpitam  Bca_6.89b
kle÷avàgurikàghràtaþ  Bca_7.4a
kle÷a÷aktyà na madva÷àt  Bca_8.144b
kle÷asvatantro loko 'yaü  Bca_7.50a
kle÷àü÷ca prahareddçóham  Bca_7.67b
kle÷àþ praj¤àdçùñisàdhyà varàkàþ  Bca_4.46d
kle÷otpàdaparàyatte  Bca_6.63c
kle÷otpàdàdidaü hyetad  Bca_5.56c
kle÷onmattãkçteùveùu  Bca_6.38a
kle÷augho durnivàra÷cety  Bca_9.163c
kva yàsyasi mayà dçùñaþ  Bca_8.169a
kvàsau yàyànmanaþstho nirastaþ  Bca_4.46a
kùaõamapyutsçjedyathà  Bca_5.41d
kùaõama÷anakamàtradànataþ  Bca_1.32c
kùaõasaüpatsudurlabhà  Bca_8.81d
kùaõasaüpadiyaü sudurlabhà  Bca_1.4a
kùaõàtkùipanti màü tatra  Bca_4.31c
kùaõàd bhavanti suhçdo  Bca_8.10a
kùapayan pårvapàpàni  Bca_7.29a
kùamasvainàü vyathàmataþ  Bca_6.66d
kùamà nàvarõavàdini  Bca_6.63d
kùamàsiddhyà÷ayo nàsya  Bca_6.109a
kùamã pràpnoti saüsaran  Bca_6.134d
kùayamanyatku÷alaü hi sarvameva  Bca_1.12b
kùàntyà samaü tapo nàsti  Bca_6.102c
kùitigarbhaü ca bhàvataþ  Bca_2.52b
kùãyate kùamato bahu  Bca_6.48b
kùutpipàsàdivedanàm  Bca_6.15b
kùutpipàsàvyathàü hanyàm  Bca_3.8a
kùuradhàràmadhåpamaiþ  Bca_7.64b
kùemeõa kålamàsàdya  Bca_10.24c
kùmàdayo na sa ã÷varaþ  Bca_9.120d
kùmàdisvabhàva ã÷a÷ca  Bca_9.122c
khaógayuddhamivàpannaþ  Bca_7.67c
khalacetaþ prakupyasi  Bca_6.49d
khalpe 'pi tàvadapakàriõi baddharoùà  Bca_4.36c
gaganajanaparikùayàkùayaü  Bca_1.33c
gaõóo 'yaü pratimàkàro  Bca_6.44a
gataü na punarãkùyate  Bca_2.36d
gatà naike priyàpriyàþ  Bca_2.38b
gatàpi pratyupasthàpyà  Bca_5.29c
gatipattanavipravàsa÷ãlàþ  Bca_1.11c
gato 'smi garbha÷alyatàm  Bca_7.38d
gatyàgamanani÷cayàt  Bca_5.70b
gantukàmasya gantu÷ca  Bca_1.16a
gandhottamaistànanulepayàmi  Bca_2.14b
gandhopalipteùu ca kuññimeùu  Bca_2.17c
gamanàgamane va÷am  Bca_7.75b
gambhãrodàramalpeùu  Bca_5.89a
garbhiõya÷ca prasåyantàü  Bca_10.19c
galantvantràõi me kàmaü  Bca_4.44a
gàtreùvalaõkàravadudvahanti  Bca_4.39b
guõamasya tathà kuru  Bca_8.164d
guõale÷e 'pi nàbhyàso  Bca_7.36a
guõavatsu ca màtsaryaü  Bca_6.98c
guõasàraikarà÷ãnàü  Bca_6.117a
guõà aviùamasthitàþ  Bca_9.128b
guõàbhàve ca ÷abdàder  Bca_9.130a
guõà mayàrjanãyà÷ca  Bca_7.35a
guõo 'õurapi cetkvacit  Bca_6.117b
guõopakàrikùetre ca  Bca_5.81c
guõo 'para÷ca duþkhasya  Bca_6.21a
gurulàghavamåóhatvaü  Bca_7.20c
guruùvanyeùu và kùepàt  Bca_2.30c
gurusàlohitàdãnàü  Bca_6.65a
guråõàü laïghitaü vacaþ  Bca_2.61d
gåthaghasmara và¤chasi  Bca_8.61d
gåthaghasmara vismara  Bca_8.53d
gåthamåtramahaü na ca  Bca_9.59d
gçdhràdyairbhakùitasya và  Bca_8.181b
gçdhrairanyai÷ca bhakùitam  Bca_8.47b
gçdhrairàmiùasaügçddhaiþ  Bca_5.59a
gçdhrairvyaktãkçtaü pa÷ya  Bca_8.45c
gçhamàgatya sàyàhne  Bca_8.73c
gçhãtaþ kutra kupyate  Bca_6.43d
gçhãto ghaññanàsahaþ  Bca_6.44b
gçhõantu tanme varadakùiõãyà  Bca_2.6c
gçhõantu nàthà idamàtma÷aktyà  Bca_2.7d
gçhõãyàtsabhayastvaram  Bca_7.68b
gçhõãyànnarakàn smaran  Bca_7.68d
gçhyate sma hità÷ayaþ  Bca_1.21d
gràma÷ma÷àne ramase  Bca_8.70c
gràhyamuktaü yadà cittaü  Bca_9.30a
gràhyo 'smàbhirasau balàt  Bca_8.153b
glànànàmasmi bhaiùajyaü  Bca_3.7a
ghañitàni prayatnataþ  Bca_5.7b
ghaño naivà¤janaü bhavet  Bca_9.25d
ghnantu nindantu và nityam  Bca_3.12c
ghnantyàtmànamapi priyam  Bca_6.37b
cakartha tvamahaükàraü  Bca_8.158c
cakravartisukhaü sphãtaü  Bca_6.134c
cakùuùà saüpibanniva  Bca_5.80b
caõóàlamahiùo yathà  Bca_7.5d
caturbhi÷caturuttaraiþ  Bca_2.55d
caturbhiþ puruùairyàvat  Bca_8.35a
candanàdeva nànyataþ  Bca_8.65b
caratyapekùàvirato yatheùñam  Bca_8.87d
carmaõyutpàñite yasmàd  Bca_8.64a
caryàduþkhànmahadduþkhaü  Bca_8.83c
calatkaïkàlasaükule  Bca_8.70d
calaü cittamarakùatà  Bca_5.1d
caükramyate parahitàya vicintyate ca  Bca_8.86d
càlyamànàd bhayaü na kim  Bca_8.48d
cikitsati mahàturàn  Bca_7.24d
cikitsàgocaraü gataþ  Bca_4.13d
cikitsàpàñhamàtreõa  Bca_5.109c
cikitsyo 'haü yathà÷akti  Bca_8.144c
cittamattadvipastathà  Bca_5.40b
cittamàtre 'pi kalpite  Bca_9.30d
cittamàpadyate tava  Bca_9.29d
cittamàyàsamete tu  Bca_9.11c
cittameva yadà màyà  Bca_9.17a
cittamevaü praharùayet  Bca_3.24d
cittarakùàvrataü muktvà  Bca_5.18c
cittaratnasya yatpuõyaü  Bca_1.26c
citta÷odhanamàcàraü  Bca_5.97c
cittasya brahmatàdikam  Bca_5.15d
cittasyaikasya damanàt  Bca_5.5c
cittasyaikasya bandhanàt  Bca_5.5b
cittasyaiva sa àkàro  Bca_9.16c
cittaü guhyaü na bhàvitam  Bca_5.17d
cittaü cittaü na pa÷yati  Bca_9.17d
cittaü nedaü kariùyasi  Bca_8.168b
cittaü rakùitukàmànàü  Bca_5.23a
cittaü rakùyaü prayatnataþ  Bca_5.1b
cittàdanyà na màyà cen  Bca_9.27a
cittàdanyo bhayànakaþ  Bca_5.8d
cittàdeva bhavantãti  Bca_5.6c
cittàbhàvànna pàpakaü  Bca_9.11b
cittena sahajàtatvàd  Bca_9.100c
cittotpàdasamudràü÷ca  Bca_3.3a
cintayà kiü mayànayà  Bca_3.13d
cintàmaõirbhadraghañaþ  Bca_3.19a
cintàmaõiþ kalpatarur  Bca_9.36a
cirajãbyalpajãvinoþ  Bca_6.58d
ciraü tiùñhatu ÷àsanam  Bca_10.57d
ciraü dhakùyatini÷citaü  Bca_4.25d
ciraü dhakùyati me kàyaü  Bca_4.25a
ciraü bhuktvà sukhànyapi  Bca_6.59b
ciràtpràptaü kùaõavaraü  Bca_5.58a
ciràdenaü khalãkçtam  Bca_8.150b
cetanàcetanakçtà  Bca_6.66a
cetanàcetane caikyaü  Bca_9.68a
cetastasmàddçóhãbhava  Bca_6.12d
cetaþ kasmàtprakupyasi  Bca_6.53d
caitanyenàsya kiü kçtam  Bca_9.70b
caityeùu pratimàsu ca  Bca_2.21b
cauravyàghràdinirbhayàþ  Bca_10.25d
cauràsaübhogacãvaraþ  Bca_8.29b
cchedabhedàdyavàpnuyàü  Bca_4.14d
chakyà vàrayituü na hi  Bca_5.14b
chandamànaratityàga-  Bca_7.32c
chandasthàmaratimukti-  Bca_7.31a
chandaü duþkhabhayàtkuryàd  Bca_7.31c
chandaü målaü munirjagau  Bca_7.40b
channà bhavati medinã  Bca_5.13d
chabdayedalpasaübhrame  Bca_5.95b
chamiti narakavahniü dç÷yate nà÷ayantã  Bca_10.12b
chayãtepsitayà di÷à  Bca_5.96b
chalamasya niråpaya  Bca_8.161d
chàdyerannapi me doùàþ  Bca_8.149a
chidyante kàminaþ kecid  Bca_8.78a
chålamutpadyate yathà  Bca_6.23b
chettavya÷càsmi bhettavyo  Bca_7.21a
chocantaþ kurvate vyathàm  Bca_8.37b
jagato 'vayavatvena  Bca_8.114c
jagatkle÷avimokùaõe  Bca_4.41b
jagatkle÷oùma÷amana  Bca_3.30c
jagatyabhyasyatàü tathà  Bca_8.117d
jagatsarvaü visaüvàdya  Bca_4.6c
jagat sukhitamastu ca  Bca_10.56d
jagadaj¤ànatimira-  Bca_3.31a
jagadadya nimantritaü mayà  Bca_3.33a
jagadarthaü manorathàþ  Bca_10.49b
jagadànandabãjasya  Bca_1.26a
jagaddaridramadyàpi  Bca_5.9c
jagaddàridrya÷amanaü  Bca_3.28c
jagadduþkhahare duþkhe  Bca_6.75c
jagadduþkhaü niråpyedaü  Bca_8.104c
jagadduþkhàni nighnataþ  Bca_10.55d
jagadduþkhaikabhaiùajyaü  Bca_10.57a
jagadduþkhauùadhasya ca  Bca_1.26b
jagaddhitàrthaü na kathaü sahe 'ham  Bca_4.40d
jagadbuddhatvamàpnuyàt  Bca_10.47d
jagadrakùàrthamudyuktàn  Bca_2.48c
jagadvi÷ràmapàdapaþ  Bca_3.29d
jagadvyàdhipra÷amanaü  Bca_3.29a
jagannàthànmahàbalàn  Bca_2.48b
jaganmçtyuvinà÷àya  Bca_3.28a
janayàmãti cetanà  Bca_6.26b
janasàrthasya bhavàdhvacàriõaþ  Bca_3.32b
janito 'smãti cetanà  Bca_6.26d
