Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
etÃæ sarvÃæ visaævÃdya  Bca_4.4c
evamaÇgulipu¤jatvÃt  Bca_9.86a
evamanvi«ya yatnena  Bca_5.64a
evamapyatidu÷sthitÃ÷  Bca_9.164d
evamapyatidu÷sthitÃ÷  Bca_9.165d
evamÃkÃÓani«Âhasya  Bca_3.21a
evamÃgantuko 'smÅti  Bca_2.39a
evamÃtmaguïÃ¤ÓrutvÃ  Bca_8.152a
evamÃdibhirÃkÃrair  Bca_8.89a
evamÃdÅnavo bhÆyÃn  Bca_8.80a
evamÃdÅni du÷khÃni  Bca_6.6a
evamÃpattibalato  Bca_4.11a
evamudvijya kÃmebhyo  Bca_8.85a
evameva hi sattvÃnÃm  Bca_5.86c
evame«a÷ vaÓa÷ kÃryo  Bca_8.167c
evaæ karÃdau sÃ yÃvat  Bca_9.85c
evaæ kuru«va ti«Âhaivaæ  Bca_8.167a
evaæ k­cchramapi prÃpya  Bca_7.61c
evaæ k«amo bhajedvÅryaæ  Bca_7.1a
evaæ guïÃ na vidyante  Bca_9.129c
evaæ g­hÅtvÃ matimÃn  Bca_3.24a
evaæ g­hÅtvÃ sud­¬haæ  Bca_4.1a
evaæ ca ko guïo labdhaÓ  Bca_9.30c
evaæ ca na virodho 'sti  Bca_9.150a
evaæ ca sarvadharmÃïÃm  Bca_9.106c
evaæ cÃnekadhÃ datvÃ  Bca_8.172a
evaæ cÃmedhyamapyetad  Bca_8.71a
evaæ cittaæ yadÃsaÇgÃd  Bca_6.71a
evaæ tasyÃpi tatsaÇgÃt  Bca_8.14a
evaæ te rak«ataÓcÃpi  Bca_5.67a
evaæ durjanamadhyastho  Bca_5.19c
evaæ du÷khÃgnitaptÃnÃæ  Bca_9.167a
evaæ nityaæ yatiÓcaret  Bca_5.73d
evaæ paravaÓaæ sarvaæ  Bca_6.31a
evaæ parÃrthaæ k­tvÃpi  Bca_8.116a
evaæ pÆtirbhavi«yati  Bca_8.31b
evaæ buddhvÃ tu puïye«u  Bca_6.69a
evaæ buddhvÃ parÃrthe«u  Bca_5.84a
evaæ bhÃvitasaætÃnÃ÷  Bca_8.107a
evaæ matvÃ sukhÅ bhavet  Bca_6.33d
evaæ lapsye 'ti durlabhaæ  Bca_4.15d
evaæ vaÓÅk­tasvÃtmÃ  Bca_5.71a
evaæ viniÓcitya karomi yatnaæ  Bca_4.48a
evaæ vipak«amunmÆlya  Bca_7.32a
evaæ viharata÷ sata÷  Bca_5.100d
evaæ viharatÃæ satÃm  Bca_9.166b
evaæ ÓÆnye«u dharme«u  Bca_9.152a
evaæ sarvamidaæ k­tvÃ  Bca_3.6a
evaæ sarvÃsvavasthÃsu  Bca_5.38c
evaæ saækli«ÂamÃlokya  Bca_5.54a
evaæ sukhÃtsukhaæ gacchan  Bca_7.30a
evaæ svapnopame rÆpe  Bca_9.88a
evaæ hi suk­taæ sarvam  Bca_5.44a
e«a satkriyate nÃhaæ  Bca_8.141a
e«Ãmatra kimÃyÃtaæ  Bca_6.50c
e«Ãmiti dayÃnvitam  Bca_5.56d
e«Ãæ du÷khaughavartinÃm  Bca_9.164b
ka icchedbhavituæ tadÃ  Bca_6.28b
ka eva bÃdhyate 'nayÃ  Bca_9.102d
kaÇkÃlÃdevamÅk«itÃt  Bca_8.48b
kaÇkÃlÃn katicidd­«ÂvÃ  Bca_8.70a
kaÇkÃlairaparai÷ saha  Bca_8.30b
kaÂudhÆme yathÃmbare  Bca_6.40d
katarattannibandhanam  Bca_6.30d
katipayajanasatradÃyaka÷  Bca_1.32a
kathayi«yÃmi yathÃgamaæ samÃsÃt  Bca_1.1d
kathaæ karomi yenedaæ  Bca_7.72c
kathaæ kÃya÷ karÃdi«u  Bca_9.83b
kathaæ kÃya÷ sthita iti  Bca_5.39c
kathaæ kleÓo nivartate  Bca_9.31b
kathaæ ca ni÷sarÃmyasmÃt  Bca_2.33a
kathaæ ca ni÷sarÃmyasmÃn  Bca_2.32a
kathaæcidapi saæprÃpto  Bca_4.26a
kathaæcillabdhamadbhutam  Bca_7.36d
kathaæcillabhyate saukhyaæ  Bca_6.12a
kathaæ j¤ÃtvÃpi tatraiva  Bca_8.64c
kathaæ ti«Âhenmate÷ pura÷  Bca_9.34d
kathaæ te rocate bhoktuæ  Bca_7.6c
kathaæ tairjÃyate rati÷  Bca_8.23d
kathaæ dÃsÅk­to 'smi tai÷  Bca_4.28d
kathaæ nÃmÃsvavasthÃsu  Bca_7.73c
kathaæ nÃmopapadyate  Bca_9.96b
kathaæ nidrÃ kathaæ rati÷  Bca_7.6d
kathaæ nu khalu vidyate  Bca_9.83d
kathaæ phalavatÅ bhavet  Bca_9.39b
kathaæ mayyapi ti«Âhati  Bca_7.51b
kathaæ sattvo 'sti satyata÷  Bca_9.10d
kathaæ siddhastvadÃgama÷  Bca_9.42b
kathitaæ tattvavÃdinÃ  Bca_5.6d
kathyamÃnÃpi sÃ mudhÃ  Bca_9.23d
kadalÅva phalaæ vihÃya yÃti  Bca_1.12a
kadÃ kÃyamagopayan  Bca_8.29d
kadÃcinnopalabhyate  Bca_9.132d
kadÃ tathÃgatotpÃdaæ  Bca_4.15a
kadÃ tai÷ sukhasaævÃsai÷  Bca_8.26c
kadÃnapek«o yÃsyÃmi  Bca_8.27c
kadÃ bÃlÃddhitaæ bhavet  Bca_8.12d
kadÃ bhÃvo bhavi«yati  Bca_9.148b
kadÃyaæ kiæ karotÅti  Bca_8.161c
kadÃ Óatanadharmiïam  Bca_8.30d
kadopalambhad­«Âibhyo  Bca_9.168a
karÃdibhya÷ p­thag nÃsti  Bca_9.83c
karoti yÃmavÅcyÃdau  Bca_5.2c
karoti sarvakÃryÃïi  Bca_9.38c
karotÅtyarisaæj¤ayÃ  Bca_6.6b
karotyanicchannÅÓaÓcet  Bca_9.126a
karomi mÃnaæ na tu dÃsabhÃvam  Bca_6.121d
karomyÃpadamÃpada÷  Bca_7.54b
karomyevaæ pare«vapi  Bca_8.110d
kartÃ bhokteti deÓitam  Bca_9.73d
karpÆrÃdi«u h­dye«u  Bca_8.62a
karma k­tvÃ vina«Âe hi  Bca_9.71c
karmaïa÷ sukhadu÷khe ca  Bca_9.123a
karmaïyacittÃ dhyÃyantu  Bca_10.43c
karmÃgamÃdyathÃ pÆrvaæ  Bca_7.74c
karmaiva tu sukhaæ yasya  Bca_7.63c
karmopakaraïaæ tvetan  Bca_5.66c
karmopakleÓaÓakti«u  Bca_7.49b
kalaÇko na bhavedyathÃ  Bca_3.26d
kalahÃyÃsavarjitÃ÷  Bca_10.44b
kalahÃyÃsaÓÆnyÃsu  Bca_8.85c
kalahenÃpi saæsÃdhyaæ  Bca_8.147c
kalahotsavahetubhi÷  Bca_9.155d
kalu«aæ sve h­daye karoti yaÓca  Bca_1.34b
kalu«odayasaækhyayÃ sa kalpÃn  Bca_1.34c
kalpakoÂiÓatairapi  Bca_4.19d
kalpakoÂÅrasaækhyeyÃ  Bca_7.21c
kalpadrumÃ ratnamayÃÓca v­k«Ã÷  Bca_2.4b
kalpanÃ kalpitaæ ceti  Bca_9.109a
kalpanÃbhiniveÓo hi  Bca_9.92c
kalpÃnanantÃæsti«Âhantu  Bca_3.5c
kalpÃnanalpÃn pravicintayadbhir  Bca_1.7a
kalpitaæ bhÃvamasp­«ÂvÃ  Bca_9.140a
kalpyate na tu tattvata÷  Bca_9.64d
kalpyante cÃpi tattvata÷  Bca_9.5b
kalyÃïamitraæ vande 'haæ  Bca_10.58c
kalyÃïamevÃcaraïÅyame«u  Bca_6.120d
kaÓcainaæ pratimÃnayet  Bca_8.124d
kasmÃccetphalado hetu÷  Bca_9.118c
kasmÃcchannaæ vim­dyate  Bca_8.51d
kasmÃt tattena rak«yate  Bca_8.99d
kasmÃttvaæ kuru«e vyayam  Bca_5.68d
kasmÃtsattve«u kupyasi  Bca_6.80d
kasmÃtsadÃ na kurute  Bca_9.124a
kasmÃdatra pratikriyÃm  Bca_5.59d
kasmÃdatra mamÃgraha÷  Bca_8.178d
kasmÃdanyatra kupyate  Bca_6.45d
kasmÃdanyatra rajyate  Bca_8.65d
kasmÃdanyatra rajyate  Bca_8.67d
kasmÃdanyaprasÃdena  Bca_6.96c
kasmÃdÃliÇgase 'param  Bca_8.52b
kasmÃdÃliÇgase param  Bca_8.59b
kasmÃdutpadyate balÃt  Bca_8.104b
kasmÃdevaæ k­taæ pÆrvaæ  Bca_6.68a
kasmÃdevaæ na h­«yasi  Bca_6.76d
kasmÃdrak«asi pÆtikam  Bca_5.61d
kasmÃdviparyayaæ k­tvÃ  Bca_6.49c
kasmÃnmÃmavamanyate  Bca_8.145b
kasmÃnme susthitaæ mana÷  Bca_2.60d
kasya kenÃstu saægati÷  Bca_9.94d
kasyacitsarvakarmasu  Bca_5.82d
kasya tat svaæ bhavi«yati  Bca_8.101d
kasya mÃtu÷ piturvÃpi  Bca_1.23a
kasyÃnitye«vanityasya  Bca_8.5a
kasyopari k­peti cet  Bca_9.76b
kaæ vÃ brÆmo 'parÃdhinam  Bca_6.67d
ka÷ kiæ vÃrayatÅti cet  Bca_6.32b
ka÷ paï¬itastamÃtmÃnam  Bca_8.124a
ka÷ sÃd­ÓyÃÓrayastadÃ  Bca_9.68d
kÃko 'pi garu¬Ãyate  Bca_7.52b
kÃ gatirme bhavi«yati  Bca_4.4d
kÃ gatirme bhavi«yati  Bca_4.6d
kÃtaratvena cÃgatam  Bca_6.18b
kÃtaraird­«ÂipÃtaiÓca  Bca_2.46a
kÃ t­«ïÃ kutra sÃ t­«ïÃ  Bca_9.153c
kÃntÃronmÃrgapatitÃ  Bca_10.25a
kÃmadhenuÓca dehinÃæ  Bca_3.19d
kÃmaæ jane jayaphalaæ pratipÃdayanti  Bca_7.59d
kÃmÃnÃmupamÃæ yÃnti  Bca_8.84c
kÃmÃ hyanarthajanakÃ  Bca_8.40a
kÃmino 'medhyamohitÃ÷  Bca_8.50d
kÃmairna t­pti÷ saæsÃre  Bca_7.64a
kÃyacittavivekena  Bca_8.2a
kÃyacittavyathÃturÃ÷  Bca_10.2b
kÃyadu÷khena bÃdhyate  Bca_6.52d
kÃyabuddhi÷ karÃdi«u  Bca_9.84b
kÃyabhÆmiæ nijÃæ gatvÃ  Bca_8.30a
kÃyamadyÃpi rak«asi  Bca_5.64d
kÃyavÃgbuddhibhi÷ k­ta÷  Bca_2.30d
kÃyaÓcaivaæ yadÃ nÃsti  Bca_9.88c
kÃyastyakto jagaddhite  Bca_8.184b
kÃyasyÃtra kimÃyÃtaæ  Bca_8.67a
kÃyasyÃrthe k­to yo 'yaæ  Bca_8.82c
kÃyasyÃvayavatvena  Bca_8.114a
kÃyasyecchÃbhiv­ddhaye  Bca_8.177b
kÃyaæ dÃsyati g­dhrebhyas  Bca_5.67c
kÃyaæ na bÃdhate tena  Bca_6.53c
kÃyaæ vetsÅtyanadbhutam  Bca_8.56b
kÃya÷ prak­tibhÅ«aïa÷  Bca_8.68d
kÃyÃn paÓyÃparÃnapi  Bca_8.63d
kÃyÃstÃvanta eva syur  Bca_9.82c
kÃyenaiva paÂhi«yÃmi  Bca_5.109a
kÃyenaivamavastheyam  Bca_5.39a
kÃye naubuddhimÃdhÃya  Bca_5.70a
kÃye nyasto 'pyasau gandhaÓ  Bca_8.65a
kÃye 'sminyadyadÅk«ase  Bca_8.139b
kÃye 'smin yadyadÅk«ase  Bca_8.159b
kÃyo 'tra katara÷ puna÷  Bca_9.80d
kÃyo na pÃdau na jaÇghÃ  Bca_9.79a
kÃyo yathaika÷ paripÃlanÅya÷  Bca_8.91b
kÃyo yÃcitakopama÷  Bca_4.16d
kÃyo yÃsyati khÃditvÃ  Bca_5.68c
kÃ ratirgÆthapa¤jare  Bca_8.57d
kÃrayantu ca karmÃïi  Bca_3.14a
kÃrito 'smi na cÃtmÃrtha÷  Bca_6.74c
kÃruïyÃdÃrdrad­«Âiæ Óirasi nipatitÃnekapu«paughav­«Âim  Bca_10.14b
kÃryamoho na vÃryate  Bca_9.77d
kÃryaæ kasya na cetsattva÷  Bca_9.77a
kÃryaæ buddhvÃ samÃcaret  Bca_5.38d
kÃryÃ d­«ÂiradhogatÃ  Bca_5.35d
kÃryÃrthamabhyupetena  Bca_9.76c
kÃryÃrthamavicÃrata÷  Bca_9.4d
kÃ«Âhaputtalakaæ Óucim  Bca_5.61b
kÃ«Âhaæ j¤Ãnaæ prasajyate  Bca_9.62b
kimakli«ÂÃpi t­«ïai«Ãæ  Bca_9.47c
kimak«arÃïi bhak«yÃïi  Bca_6.92c
kimatra sÃramastÅti  Bca_5.63c
kimadyÃpi na jÃnÃsi  Bca_7.4c
kimanartharucirlokas  Bca_8.66c
kimanarthaæ na paÓyasi  Bca_6.15d
kimabhyÃsÃnna jÃyate  Bca_8.115d
kimarthamayamÃyÃsa÷  Bca_9.98c
kimasya kÃ«Âhatulyasya  Bca_8.180c
kimasya ÓrutametÃvat  Bca_8.151c
kimÃtmeti na g­hyate  Bca_8.112b
kimÃlambyÃsya saæbhava÷  Bca_9.105b
kimÃlambyÃsya saæbhava÷  Bca_9.105d
kimidamiti sukhenÃhlÃditaæ nÃma kasmÃd  Bca_10.12c
kimidÃnÅæ palÃyase  Bca_8.45d
kimÅr«yÃlo na rak«asi  Bca_8.46d
kimuta satatasarvadu÷khahetÆn  Bca_4.38a
kimutÃnuttaraæ saukhyam  Bca_4.6a
kimutÃnya÷ priyo jana÷  Bca_8.32d
kimutÃpramitaæ ÓÆlam  Bca_1.22a
kimutÃhaæ naro jÃtyÃ  Bca_7.19a
kimu niravadhisattvasaækhyayÃ  Bca_1.33a
kimu yojanasÃhastre  Bca_2.58c
kimu vyÃdhiÓatairgrastaÓ  Bca_2.55c
kimevaæ svasthamÃsyate  Bca_7.12d
kiyato mÃrayi«yÃmi  Bca_5.12a
kirÃmi pu«paprakarÃnmanoj¤Ãn  Bca_2.17d
kiæ kari«yÃmyahaæ tadÃ  Bca_4.18d
kiæ kÃyena kari«yasi  Bca_5.65d
kiæk­to hetubhedaÓcet  Bca_9.118a
kiæ ca niÓchadmabandhÆnÃm  Bca_6.119a
kiæcidbÃlasya bÃlata÷  Bca_8.13d
kiæcinnÃstÅti cÃbhyÃsÃt  Bca_9.33c
kiæ tadÃliÇgase mudhÃ  Bca_8.55d
kiætÆdÃsÅnasÃdhuvat  Bca_8.15d
kiæ tena jÅvitenÃpi  Bca_6.61c
kiæ na gacchasi nirv­tim  Bca_8.43d
kiæ na sarvaæ jinoditam  Bca_9.51d
kiæ nÃnityatvami«yate  Bca_9.134d
kiæ nirguïena kartavyaæ  Bca_8.143a
kiæ punarjÃyate m­ta÷  Bca_9.9d
kiæ punarbhairavÃkÃrair  Bca_2.45a
kiæ punarmÃd­Óairaj¤ais  Bca_8.22c
kiæ puna÷ k­tapÃpasya  Bca_7.11c
kiæ puna÷ sarvasattvÃnÃæ  Bca_1.27c
kiæ prah­«yÃmyahaæ stuta÷  Bca_8.21b
kiæ prÃptaæ bÃlasaægamÃt  Bca_8.9d
kiæ priyaæ vÃ kimapriyam  Bca_9.153b
kiæ priyairvighnakÃrakai÷  Bca_8.33d
kiæ mamÃnena yantreïa  Bca_8.179a
kiæ mamÃnyairnivÃritai÷  Bca_5.14d
kiæ mamaitadguïai÷ k­tyam  Bca_8.145c
kiæ me sarvai÷ priyÃpriyai÷  Bca_2.62d
kiæ me sÃramavasthitaæ  Bca_2.61b
kiæ labdhaæ kiæ h­taæ bhavet  Bca_9.152b
kiæ vÃrayatu puïyÃni  Bca_6.85a
kiæ vi«ÅdÃmi nindita÷  Bca_8.21d
kiæ vÅryaæ kuÓalotsÃhas  Bca_7.2a
kiæ hi me parakÅyayÃ  Bca_6.95b
kÅ¬ÃrthamadyÃstu ca pu«payuddham  Bca_10.9d
kÅrtyamÃnÃnitastata÷  Bca_8.152b
kÅrtyamÃne paraguïe  Bca_6.79c
kuÂumbajÅvinaæ lavdhvÃ  Bca_6.82c
kutaÓcarma bhavi«yati  Bca_5.13b
kuta÷ putrasya saæbhava÷  Bca_9.114b
kuta÷ sukhaæ vÃ du÷khaæ vÃ  Bca_9.153a
kuto jÃtÃÓca tÃ÷ striya÷  Bca_5.7d
kuto bandhu÷ kuta÷ suh­t  Bca_2.42b
kuto me bodhirityata÷  Bca_7.17b
kuto vÃ tÃd­Óaæ mitraæ  Bca_1.30c
kutra me vartata iti  Bca_5.41a
kupita÷ kiæ n­pa÷ kuryÃd  Bca_6.131a
kupitÃ yÃnti durgatim  Bca_8.11d
kupyati svecchayÃ jana÷  Bca_6.24b
kupyantyanye 'pi mohitÃ÷  Bca_6.67b
kupyÃmÅti na saæcintya  Bca_6.24a
kumbhairmahÃratnamayairanekai÷  Bca_2.11b
kurute kleÓavinÃÓamityavetya  Bca_8.4b
kuru«ver«yÃæ tvamÃtmani  Bca_8.160d
kuru sattvÃrthasiddhaye  Bca_5.70d
kuryÃdÃtmÃnamÃtmanÃ  Bca_9.20d
kuryÃdÃtmÃnamÃtmanÃ  Bca_9.21b
kuryÃdÃtmÃnamÃtmanÃ  Bca_9.21d
kuryÃddhairyeïa yuktimat  Bca_5.47d
kuryÃnnityamatandrita÷  Bca_4.1d
kurvata÷ kuta ÅÓatÃ  Bca_9.126d
kurvantu kuÓalaæ sadÃ  Bca_10.31d
kurvantu me mÆrdhni padaæ janaughÃ  Bca_6.125c
kuÓalak­dityabhipÆjyate janai÷  Bca_1.32b
kuÓalaæ tvavahÅyate  Bca_6.9d
kuÓalaæ na karomyahaæ  Bca_4.18b
kuÓalaæ bhÃvayituæ prasÃdavega÷  Bca_1.3b
kuÓalÃnÃæ ca sarve«Ãæ  Bca_7.40a
kuÓalÃbhyÃsayogyatvam  Bca_4.15c
kÆÂaÓÃlmalÅv­k«ÃÓca  Bca_10.6c
kÆÂÃgÃrairmanoj¤ai÷ stutimukharasurastrÅsahastropagÅtair  Bca_10.14c
kÆrmagrÅvÃrpaïopamaæ  Bca_4.20d
k­tapÃpaæ na Óocasi  Bca_6.86b
k­tapuïyai÷ saha spardhÃm  Bca_6.86c
k­taæ kalpasahasrairyat  Bca_6.1c
k­taæ kÃritameva vÃ  Bca_2.28d
k­taæ pÃpamanekadhÃ  Bca_2.39d
k­taæ pÆrvaæ yadi tvayÃ  Bca_8.157b
k­tÃk­tÃparÅk«o 'yaæ  Bca_2.34a
k­tÃ¤jaliranekadhÃ  Bca_8.41b
k­tÃ¤jalirdu÷khabhÅta÷  Bca_2.65c
k­tena hyanubhÆyate  Bca_6.131d
k­tena hyanubhÆyate  Bca_6.132d
k­te ya÷ pratikurvÅta  Bca_1.31a
k­tyamasyÃsti vairiïa÷  Bca_6.8d
k­trime satyatÃ katham  Bca_9.145d
k­tvÃ ca nÃrakaæ karma  Bca_7.12c
k­tvÃpi pÃpÃni sudÃruïÃni  Bca_1.13a
k­tvÃ maraïamagrata÷  Bca_9.166d
k­tsnaæ kalyÃïamÃgatam  Bca_5.3d
k­payÃ bahu du÷khaæ cet  Bca_8.104a
k­pÃtmabhirnaiva hi saæÓayo 'sti  Bca_6.126b
k­pÃdu÷khaæ kathaæ bahu  Bca_8.104d
k­pÃlu÷ kena khidyate  Bca_7.28d
k­pÃlorarthadarÓina÷  Bca_5.84d
k­pÃvantaÓca tadbalam  Bca_6.130b
k­pÃvyÃkulacÃriïaæ  Bca_2.51b
k­«yamÃïa itastata÷  Bca_5.59b
kecitsvaÓoïitaæ d­«ÂvÃ  Bca_6.17a
keciddinÃntavyÃpÃrai÷  Bca_8.73a
kena ka÷ saæbhavi«yati  Bca_9.152d
kenÃsau yauvane sukhÅ  Bca_8.72b
kevalaæ ÓiÓuce«Âitam  Bca_6.97d
kevalÃÓubhakÃriïÃ  Bca_6.61d
kaivartacaï¬Ãlak­«ÅvalÃdyÃ÷  Bca_4.40b
kokasya du÷khÃpahametadeva  Bca_6.127c
ko 'trÃntarmama ti«Âhati  Bca_4.27d
ko dharme chandamuts­jet  Bca_7.39d
ko nÃmÃtra mari«yati  Bca_9.154b
kopaste kiæ na jÃyate  Bca_6.62d
kopÃrthamevamevÃhaæ  Bca_6.74a
ko bandhu÷ kasya ka÷ suh­t  Bca_9.154d
ko bhavi«yati ko bhÆta÷  Bca_9.154c
ko me mahÃbhayÃdasmÃt  Bca_2.46c
ko rajyeta vicÃraka÷  Bca_9.88b
ko vÃnyo bhÃvatÃæ gata÷  Bca_9.147d
ko vi«Ådetsacetana÷  Bca_7.30b
ko 'hamatrÃnyathÃk­tau  Bca_6.68d
kautÆhale«u sarve«u  Bca_5.45c
krameïaiva na paÓyasi  Bca_7.5b
kriyate paripÃlanam  Bca_8.174b
kriyÃdu÷khairarogatÃm  Bca_7.23b
kriyÃmimÃmapyucitÃæ  Bca_7.24a
kriyÃyÃstena kiæ k­tam  Bca_6.30b
kriyÃvattvaæ kathaæ bhavet  Bca_9.29b
krÅ¬antu mama kÃyena  Bca_3.13a
krÅ¬Ãphalasukhepsuvat  Bca_7.62d
krÅtvÃ pak«yanti kumbhi«u  Bca_6.89d
krodha utpadyate katham  Bca_6.38d
krodha utpadyate tathÃ  Bca_6.23d
krodha utpadyate na ca  Bca_6.24d
krodhano yena susthita÷  Bca_6.5d
krodha÷ kasmÃnna vÃryate  Bca_6.73d
kleÓaghÃtÃnubandhina÷  Bca_4.43d
kleÓaj¤eyÃv­titama÷  Bca_9.55a
kleÓataskarasaÇgho 'yam  Bca_5.28a
kleÓadaæ«ÂrÃntare sthita÷  Bca_8.1d
kleÓaprahÃïÃnmuktiÓcet  Bca_9.46a
kleÓaprahÃrÃn saærak«et  Bca_7.67a
kleÓabÃ¬iÓikÃrpitam  Bca_6.89b
kleÓavÃgurikÃghrÃta÷  Bca_7.4a
kleÓaÓaktyÃ na madvaÓÃt  Bca_8.144b
kleÓasvatantro loko 'yaæ  Bca_7.50a
kleÓÃæÓca praharedd­¬ham  Bca_7.67b
kleÓÃ÷ praj¤Ãd­«ÂisÃdhyÃ varÃkÃ÷  Bca_4.46d
kleÓotpÃdaparÃyatte  Bca_6.63c
kleÓotpÃdÃdidaæ hyetad  Bca_5.56c
kleÓonmattÅk­te«ve«u  Bca_6.38a
kleÓaugho durnivÃraÓcety  Bca_9.163c
kva yÃsyasi mayÃ d­«Âa÷  Bca_8.169a
kvÃsau yÃyÃnmana÷stho nirasta÷  Bca_4.46a
k«aïamapyuts­jedyathÃ  Bca_5.41d
k«aïamaÓanakamÃtradÃnata÷  Bca_1.32c
k«aïasaæpatsudurlabhÃ  Bca_8.81d
k«aïasaæpadiyaæ sudurlabhÃ  Bca_1.4a
k«aïÃtk«ipanti mÃæ tatra  Bca_4.31c
k«aïÃd bhavanti suh­do  Bca_8.10a
k«apayan pÆrvapÃpÃni  Bca_7.29a
k«amasvainÃæ vyathÃmata÷  Bca_6.66d
k«amÃ nÃvarïavÃdini  Bca_6.63d
k«amÃsiddhyÃÓayo nÃsya  Bca_6.109a
k«amÅ prÃpnoti saæsaran  Bca_6.134d
k«ayamanyatkuÓalaæ hi sarvameva  Bca_1.12b
k«ÃntyÃ samaæ tapo nÃsti  Bca_6.102c
k«itigarbhaæ ca bhÃvata÷  Bca_2.52b
k«Åyate k«amato bahu  Bca_6.48b
k«utpipÃsÃdivedanÃm  Bca_6.15b
k«utpipÃsÃvyathÃæ hanyÃm  Bca_3.8a
k«uradhÃrÃmadhÆpamai÷  Bca_7.64b
k«emeïa kÆlamÃsÃdya  Bca_10.24c
k«mÃdayo na sa ÅÓvara÷  Bca_9.120d
k«mÃdisvabhÃva ÅÓaÓca  Bca_9.122c
kha¬gayuddhamivÃpanna÷  Bca_7.67c
khalaceta÷ prakupyasi  Bca_6.49d
khalpe 'pi tÃvadapakÃriïi baddharo«Ã  Bca_4.36c
gaganajanaparik«ayÃk«ayaæ  Bca_1.33c
gaï¬o 'yaæ pratimÃkÃro  Bca_6.44a
gataæ na punarÅk«yate  Bca_2.36d
gatÃ naike priyÃpriyÃ÷  Bca_2.38b
gatÃpi pratyupasthÃpyÃ  Bca_5.29c
gatipattanavipravÃsaÓÅlÃ÷  Bca_1.11c
gato 'smi garbhaÓalyatÃm  Bca_7.38d
gatyÃgamananiÓcayÃt  Bca_5.70b
gantukÃmasya gantuÓca  Bca_1.16a
gandhottamaistÃnanulepayÃmi  Bca_2.14b
gandhopalipte«u ca kuÂÂime«u  Bca_2.17c
gamanÃgamane vaÓam  Bca_7.75b
gambhÅrodÃramalpe«u  Bca_5.89a
garbhiïyaÓca prasÆyantÃæ  Bca_10.19c
galantvantrÃïi me kÃmaæ  Bca_4.44a
gÃtre«valaïkÃravadudvahanti  Bca_4.39b
guïamasya tathÃ kuru  Bca_8.164d
guïaleÓe 'pi nÃbhyÃso  Bca_7.36a
guïavatsu ca mÃtsaryaæ  Bca_6.98c
guïasÃraikarÃÓÅnÃæ  Bca_6.117a
guïÃ avi«amasthitÃ÷  Bca_9.128b
guïÃbhÃve ca ÓabdÃder  Bca_9.130a
guïÃ mayÃrjanÅyÃÓca  Bca_7.35a
guïo 'ïurapi cetkvacit  Bca_6.117b
guïopakÃrik«etre ca  Bca_5.81c
guïo 'paraÓca du÷khasya  Bca_6.21a
gurulÃghavamÆ¬hatvaæ  Bca_7.20c
guru«vanye«u vÃ k«epÃt  Bca_2.30c
gurusÃlohitÃdÅnÃæ  Bca_6.65a
gurÆïÃæ laÇghitaæ vaca÷  Bca_2.61d
gÆthaghasmara vÃ¤chasi  Bca_8.61d
gÆthaghasmara vismara  Bca_8.53d
gÆthamÆtramahaæ na ca  Bca_9.59d
g­dhrÃdyairbhak«itasya vÃ  Bca_8.181b
g­dhrairanyaiÓca bhak«itam  Bca_8.47b
g­dhrairÃmi«asaæg­ddhai÷  Bca_5.59a
g­dhrairvyaktÅk­taæ paÓya  Bca_8.45c
g­hamÃgatya sÃyÃhne  Bca_8.73c
g­hÅta÷ kutra kupyate  Bca_6.43d
g­hÅto ghaÂÂanÃsaha÷  Bca_6.44b
g­hïantu tanme varadak«iïÅyÃ  Bca_2.6c
g­hïantu nÃthÃ idamÃtmaÓaktyÃ  Bca_2.7d
g­hïÅyÃtsabhayastvaram  Bca_7.68b
g­hïÅyÃnnarakÃn smaran  Bca_7.68d
g­hyate sma hitÃÓaya÷  Bca_1.21d
grÃmaÓmaÓÃne ramase  Bca_8.70c
grÃhyamuktaæ yadÃ cittaæ  Bca_9.30a
