Kalidasa: Raghuvamsa
Based on the ed. by A. Scharp‚: Kalidasa Lexicon, Vol. 1,
Brugge 1964
(Rijksuniversiteit te Gent, Werken uitgegeven door de 
Faculteit van de Letteren en Wijsbegeerte, 134)


Input by N.N.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot pçthivãruhàn api  Ragh_8.70c
cakùuùmattà tu ÷àstreõa  Ragh_4.13c
cakùus tava pracalitabhramaraü ca padmam  Ragh_5.68d
cakshàla velàsv api nàrõavànàm  Ragh_18.43d
cacàra sànujaş ÷ànto  Ragh_12.20c
caturdigàvarjitasaübhçtàü yo  Ragh_6.76c
caturdigã÷a÷ caturo babhåva  Ragh_18.15d
caturdvàramukhã babhau  Ragh_15.60b
caturbhujàü÷aprabhavaş sa teùàü  Ragh_16.3a
caturvargaphalaü j¤ànaü  Ragh_10.23a
caturvarõamayo lokas  Ragh_10.23c
catuşskandheva sà camåş  Ragh_4.30d
catuşstambhapratiùñam  Ragh_17.9d
candanànàü samarpitam  Ragh_4.48b
candanenàïgaràgaü ca  Ragh_17.24a
candaneva bhoginaş  Ragh_10.43d
candraü pravçddhormir ivormimàlã  Ragh_5.61d
candre ca vi÷adaprabhe  Ragh_4.18b
candrodaya ivodadheş  Ragh_12.36d
capalàpi svabhàvataş  Ragh_17.46b
camaràn paritaş pravartità÷vaş  Ragh_9.66a
caraõayor nakharàgasamçddhibhir  Ragh_9.13a
caraõànugraham anyadurlabham  Ragh_8.63b
carataş kila du÷caraü tapas  Ragh_8.79a
caratàü gàtra÷i¤jitaiş  Ragh_4.56b
caran mçgaiş sàrdham çùir maghonà  Ragh_13.39b
caritàrtham ivàbhavat  Ragh_12.87d
caritàrthaiva bhàratã  Ragh_10.37d
caritàrthais tapasvibhiş  Ragh_15.27b
carituü du÷caraü tapaş  Ragh_10.26b
caror ardhàrdhabhàgàbhyàü  Ragh_10.57c
calayan bhçïgarucas tavàlakàn  Ragh_8.53b
càtakair abhinanditaş  Ragh_17.15d
càtakair abhinandyate  Ragh_17.60d
càpa eva bhavato bhaviùyati  Ragh_11.41c
càpalàya pracoditaş  Ragh_1.9d
càpàt samam ivodyayuş  Ragh_12.47d
càpe sãtàü ca lakùmaõe  Ragh_12.44d
càradåtikathitaü puro gatàş  Ragh_19.33b
càru gautamavadhåş ÷ilàmayã  Ragh_11.34b
càru nçtyavigame ca tanmukhaü  Ragh_19.15a
cikli÷ur bhç÷atayà varåthinãm  Ragh_11.58c
cikùipur da÷àarathàtmajàgrataş  Ragh_11.43*d
cikùepa vàrãparighàn ivormãn  Ragh_5.45*d
ciccheda kadalãsukham  Ragh_12.96d
citàgnir iva jaïgamaş  Ragh_15.16d
cittayonir abhavat punarnavaş  Ragh_19.46d
citrakåñavanasthaü ca  Ragh_12.15a
citrakåñasthalãü jahau  Ragh_12.24d
citradvipàş padmavanàvatãrõàş  Ragh_16.16a
citràcandramsor iva  Ragh_1.46d
citràrpitàrambha invàvatasthe  Ragh_2.31d
ciram a÷råõi vimucya ràghavaş  Ragh_8.25b
ciràt sutaspar÷arasj¤atàü yayau  Ragh_3.26d
ciràya saütarpya samidhir agniü  Ragh_13.45c
cirojjhitàny à÷ramamaõóalàni  Ragh_13.22d
cistàritaş ku¤jarakarõatàlair  Ragh_7.39c
cukopa tasmai sa bhç÷aü sura÷riyaş  Ragh_3.56c
cukùubhe dviùatàü manaş  Ragh_4.21d
cumbane viparivartitàdharaü  Ragh_19.27a
cåóàmaõibhir udghçùña  Ragh_17.28c
cårõapratinidhãkçtaş  Ragh_4.54d
cårõababhru lulitasragàkulaü  Ragh_19.25a
cårõàruõàn vàrilavàn vamanti  Ragh_16.66d
cerur ve÷masv ivàdriùu  Ragh_17.64d
codayantya iva bhàrgavaü ÷ivàş  Ragh_11.61d
cchàyàm ànarca pàdayoş  Ragh_4.84d
cyutaü na karõàd api kàminãnàü  Ragh_16.48c
cyutaiş ÷iratrai÷ caùakottareva  Ragh_7.49b
chattra÷ånyeùu mauliùu  Ragh_4.85d
chavikaraü mukhacårõam çtu÷riyaş  Ragh_9.45b
chàntavyàlàm avanim aparaş paurakàntaş ÷a÷àsa  Ragh_16.88d
chàyayà ca jaladàş siùevire  Ragh_11.11d
chàyayà smitamanoj¤ayà vadhår  Ragh_19.28c
chàyàpatheneva ÷aratprasannam  Ragh_13.2c
chàyàmaõóalalakùyena  Ragh_4.5a
chàyàm ivàdar÷atalaü praviùñàm  Ragh_16.6b
chàyàvinãtàdhvapari÷rameùu  Ragh_13.46a
chàyàvilãnaiş ÷abalãkçteva  Ragh_13.56b
chàyàvçkùam ivàdhvagàş  Ragh_10.5d
chàyàsv adhyàsya sainikàş  Ragh_4.74b
chàyà hi bhåmeş ÷a÷ino malatven  Ragh_14.40c
chàveya tàü bhåpati anvagacchat  Ragh_2.6d
chithilãcakratuş sutau  Ragh_15.34d
chinnamekhalam alaktakàïkitam  Ragh_19.25b
chedàd ivopaghnataror vratatyau  Ragh_14.1d
chaityaü hi yat sà prakçtir jalasya  Ragh_5.54d
chrutvà prãto hi pàrthivaş  Ragh_10.65b
chhàyàchalenopajugåha lakùmãş  Ragh_18.47d
jagataş pitarau vande  Ragh_1.1c
jagatur gurucoditau  Ragh_15.63d
jagatprakà÷aü tad a÷eùam ijyayà  Ragh_3.48c
jagatprathamamaïgalam  Ragh_10.68d
jagad adyeti ni÷citaş  Ragh_12.83d
jagàda cainàm ayam aïganàthaş  Ragh_6.27a
jagàda bhåyaş sudatãü sunandà  Ragh_6.37d
jagàda bhåyo jagadekanàthaş  Ragh_5.23d
jagàma yajvà yajamànalokam  Ragh_18.12d
jagçhus tasya cittaj¤àş  Ragh_15.99a
jagmur vibhàtagrahamandabhàsaş  Ragh_7.2b
jagràha tasmàn nigçhãta÷àpàt  Ragh_5.59d
jagràha vidyàş prakçtã÷ ca pitryàş  Ragh_18.50d
jagràha sa drutavaràhakulasya màrgaü  Ragh_9.59c
jagràha sàrdhaü vanitàkañàkùaiş  Ragh_7.18d
jaghananirviùayãkçtamekhalam  Ragh_9.28b
jaghananirviùayãkçtamekhalàn  Ragh_9.10*a
jaghàna nàtyàyatakçùña÷àrïgaş  Ragh_5.50d
jaghàna sa tadàde÷àt  Ragh_12.79Ba
jaghàna samare daityaü  Ragh_17.5c
jañàsu baddhàsv arudat sumantraş  Ragh_13.59c
jaóãkçtas tryambakavikùaõena  Ragh_2.42c
janakasya ca mantrakçt  Ragh_15.31b
janatà prekùya sàdç÷yaü  Ragh_15.67c
jananãnàü jane÷varàş  Ragh_15.91b
janapade na gadaş padam àdadhàv  Ragh_9.4a
janam àbhàùyam imaü na manyase  Ragh_8.48d
janayitrãm alaücakre  Ragh_10.71c
janasya tasmin samaye vigàóhe  Ragh_16.53a
janasya sàketanivàsinas tau  Ragh_5.31a
janàya ÷uddhàntacaràya ÷aüsate  Ragh_3.16a
janàs tadàlokapathàt  Ragh_15.78a
janità÷rulavaü lavam  Ragh_15.97d
jayam aghoùayad asya tu kevalaü  Ragh_9.10c
jaya÷riyaş saüvananaü yatas tad  Ragh_16.74a
jaya÷rãr antarà vedir  Ragh_12.93c
jaya÷rãr vãragàminã  Ragh_17.69d
jayastambhaü cakàra saş  Ragh_4.59d
jayodàharaõaü bàhvor  Ragh_4.78c
jayo randhraprahàriõàm  Ragh_15.17d
jarà vçthà matsariõã jahàra  Ragh_18.19d
jalajàsigadà÷àrïga  Ragh_10.61c
jalanidhim anuråpaü  Ragh_6.85b
jalàni yà tãranikhàtayåpà  Ragh_13.61a
jalàbhilàùã jalam àdadhànàü  Ragh_2.6c
jalàvagàhakùaõamàtra÷àntà  Ragh_5.47b
javàt pataj jyotir ivàntarikùàd  Ragh_16.83c
jaharà sãtàü pakùãndra  Ragh_12.53c
jahàra cànyena mayårapattriõà  Ragh_3.56a
jahàra na tu medinãm  Ragh_4.43d
jahàra lajjàü bharatasya màtuş  Ragh_14.16d
jahàra ÷akraş kila gåóhavigrahaş  Ragh_3.39d
jahàrà÷ramavàsinàm  Ragh_15.24d
jahnor duhitrà shitayà purastàt  Ragh_14.51d
jahrur àgrathanamokùalolupaü  Ragh_19.41c
jàtaü tam àtmany asipattravçkùam  Ragh_14.48d
jàtaş kule tasya kilorukãrtiş  Ragh_6.74a
jàtàni råpàvayavopamànàny  Ragh_16.63c
jàtàbhiùaïgo nçpatir niùaïgàd  Ragh_2.30c
jàtyas tenàbhijàtena  Ragh_17.4a
jàtyà¤janaprastara÷obhayeva  Ragh_13.57Cb
jànakãm àsramàn muniş  Ragh_15.74b
jànakã viùavallãbhiş  Ragh_12.61c
jànãhi ràjann adhidevatàü màm  Ragh_16.9d
jàne viùç÷ñàü praõidhànatas tvàü  Ragh_14.72a
jàne vo rakùasàkràntàv  Ragh_10.39a
jàyàpatã sànu÷ayàv ivàstàm  Ragh_16.45d
jàyàpratigràhitagandhamàlyàm  Ragh_2.1b
jàyàm adoùàm uta saütyajàmi  Ragh_14.34b
jàlàni karùann urasà sa pa÷càt  Ragh_5.46b
jàlàntarapreùitadçùñir anyà  Ragh_7.9a
jàhnavãyà ivàrõave  Ragh_10.27d
jàhnavãva ÷aratkç÷à  Ragh_10.70d
jigamiùur dhanadàdhyuùitàü di÷aü  Ragh_9.25a
jigãùor a÷vamedhàya  Ragh_17.76c
jij¤àsamànà munihomadhenuş  Ragh_2.26b
jitavataş kila tasya dhanurbhçtaş  Ragh_9.11b
jitàn ajayyas tàn eva  Ragh_4.66*a
jitàripakùo 'pi ÷ilãmukhair yaş  Ragh_18.17c
jiùõuü jaitrair atharvabhiş  Ragh_17.13b
jãvan punaş ÷a÷vad upaplavebhyaş  Ragh_2.48c
jãvitàsmãti lajjità  Ragh_12.75d
jãvite÷avasatiü jagàma sà  Ragh_11.20d
jugåha tasyàş pathi lakùmaõo yat  Ragh_14.49a
jugopa goråpadharàm ivorvãm  Ragh_2.3d
jugopàtmànam atrasto  Ragh_1.21a
jetary arãõàü tanayaü tadãyam  Ragh_18.16b
jetàraü lokapàlànàü  Ragh_12.89a
jetuş pareùàü jaya÷abdapårvaü  Ragh_16.5c
jaitram adhyàsta ràghavaş  Ragh_12.85d
j¤àtivçddhaiş prayuktàn sa  Ragh_17.12c
j¤àtau sutaspar÷asukhopalambhàt  Ragh_14.2d
j¤àne maunaü kùamà ÷aktau  Ragh_1.22a
jyàghàtarekhàkiõa là¤chanena  Ragh_16.84b
jyàghàtarekhe subhujo bhujàbhyàü  Ragh_6.55a
jyànighàtakañhinatvaco bhujàn  Ragh_11.40c
jyànighàtakañhinàïgulir vçthà  Ragh_11.78c
jyàniniàdam atha gçhõatã tayoş  Ragh_11.15a
jyànirghoùaiş kùobhayàm àsa siühàn  Ragh_9.64b
jyàbandhaniùpandabhujena yasya  Ragh_6.40a
jyeùñhaü purojanmatayà juõai÷ ca  Ragh_16.1b
jyeùñhànuvçttijañilaü ca ÷iro 'sya sàdhor  Ragh_13.78c
jyeùñhàbhigamanàt pårvaü  Ragh_12.35a
jyotir indhanaipàti bhàskaràt  Ragh_11.21c
jyotirmayaü vicinvanti  Ragh_10.24c
jyotiùkaõàhata÷ma÷ru  Ragh_15.52c
jyotiùmatã candramasaiva ràtriş  Ragh_6.22d
jyotãrathàü ÷oõa ivottaraïgaş  Ragh_7.36d
jyotsnàvato nirvi÷ati pradoùàn  Ragh_6.34d
jvalitamahauùadhidãpikàsanàthàm  Ragh_9.70b
jvalitena guhàgataü tamas  Ragh_8.54c
jvàlàbabhru÷iroruhaş  Ragh_15.16b
ñaïkacchinnamanaş÷ilaş  Ragh_12.80d
ta eva muktàguõa÷uddhayo 'pi  Ragh_16.18c
tac càtmacintàsulabhaü vimànaü  Ragh_14.20a
tac cintyamànaü sukçtaü taveti  Ragh_14.16c
taccoditaş ca tam anuddhrçta÷alyam eva  Ragh_9.77a
tacchiraşkamaloccayam  Ragh_10.45d
tacchiùyàdhyayananiveditàvasànàü  Ragh_1.95c
tañeùv àlãnacandanau  Ragh_4.51b
tatasaünive÷àd adhikonnatàüsaş  Ragh_6.16b
tatas tadàlokanatatparàõàü  Ragh_7.5a
tataş kakùàntaranyastaü  Ragh_17.21a
tataş param abhivyaktà  Ragh_17.40a
tataş paraü tatprabhavaş prapede  Ragh_18.34a
tataş paraü tena makhàya vajvanà  Ragh_3.39a
tataş paraü duùprasahaü dviùadbhir  Ragh_6.31a
tataş paraü vajradharaprabhàvas  Ragh_18.21a
tataş putravatãm enàü  Ragh_15.73c
tataş prakoùñhe haricandanàïkite  Ragh_3.59a
tataş prajànàü ciram àtmanà dhçtàü  Ragh_3.35a
tataş pratasthe kauberãü  Ragh_4.66a
tataş pravavçte makhaş  Ragh_15.62b
tataş prahasyàpabhayaş puraüdaraü  Ragh_3.51a
tataş priyopàttarase 'dharoùñhe  Ragh_7.63a
tataş sa kçtvà dhanur àtatajyaü  Ragh_16.77a
tataş saparyàü sapa÷åpahàràü  Ragh_16.39a
tataş samàj¤àpayad à÷u sarvàn  Ragh_16.75a
tataş samànãya samànitàrthã  Ragh_2.64a
tataş samàpte vidhinaiva karmaõi  Ragh_3.65b
tataş sunandàvacanàvasàne  Ragh_6.80a
tatàna sopànaparaüparàm iva  Ragh_3.69d
tatàra vidyàş pavanàtipàtibhir  Ragh_3.29d
tatàra vidyàş pavanàtipàtibhir  Ragh_3.30c
tatàra saüdhàm iva satyasaüdhaş  Ragh_14.52d
tato gaurãguruü ÷ailam  Ragh_4.71a
tato dhanuùkarùaõamåóhahastam  Ragh_7.62a
tato niùaïgàd asamagram uddhçtaü  Ragh_3.64a
tato nçpàõàü ÷rutavçttavaü÷à  Ragh_6.20a
tato nçpenànugatàş striyas tà  Ragh_16.69a
tato bibheda paulastyaş  Ragh_12.77a
tato 'bhiùaïgànilavipraviddhà  Ragh_14.54a
tato mçgendrasya mçgendragàmã  Ragh_2.30a
tato yathàvadvihitàdhvaràya  Ragh_5.19a
tato 'vatãryà÷u kareõukàyàş  Ragh_7.17a
tato vi÷àüpatyur ananyasaütater  Ragh_3.2Aa
tato velàtañenaiva  Ragh_4.44a
tatkàridveùino ya÷aş  Ragh_17.73d
tatkùaõaü ràkùasa÷riyaş  Ragh_10.76b
tatkùaõojjhitavçkùakam  Ragh_1.51b
tat tad bhåmipatiş patnyai  Ragh_1.47a
tattvaj¤ànena saüyamã  Ragh_4.60d
tattvàrthena nudaüs tamaş  Ragh_17.74b
tattvàvabodhena vinàpi bhåyas  Ragh_13.58c
tatpade cirakàïkùite  Ragh_12.58b
tatpårvasaïge vitathaprayatnaş  Ragh_2.42b
tatpratidvandino mårdhni  Ragh_15.25c
tat pratãpapavanàdi vaikçtaü  Ragh_11.62a
tat prasuptabhujagendrabhãùaõaü  Ragh_11.44a
tat pràrthitaü javanvàjigatena ràj¤à  Ragh_9.56a
tatphaõàmaõóalodarcir  Ragh_10.7c
tatra janyaü raghor ghoraü  Ragh_4.77a
tatra tatra visasarpa màyayà  Ragh_11.29b
tatra tãrthasalilena dãrghikàs  Ragh_19.2a
tatra dãkùitam çùiü rakaùatur  Ragh_11.24a
tatra nàgaphaõotkùipta  Ragh_15.83a
tatra nàràcadurdinam  Ragh_4.41b
tatra nàham anumantum utsahe  Ragh_11.39c
tatra yàv adhipatã makhadviùàü  Ragh_11.27a
tatra sa dviradabçühita÷aïkã  Ragh_9.73c
tatra sekahçtalocanà¤janair  Ragh_19.10a
tatra saudhagataş pa÷yan  Ragh_15.30a
tatra svayaüvarasamàhçtaràjalokaü  Ragh_5.64a
tatra håõàvarodhànàü  Ragh_4.68a
tatràkùobhyaü ya÷orà÷iü  Ragh_4.80a
tatràbhiùekaprayatà vasantã  Ragh_14.82a
tatràrcito bhojapateş purodhà  Ragh_7.20a
tatre÷vareõa jagatàü pralayàd ivorvãü  Ragh_13.77a
tatrainaü hemakumbheùu  Ragh_17.10a
tatraiva sàmagryamatiü cakàra  Ragh_16.29d
tatsaübhavaü ÷aïkhaõam arõavàntà  Ragh_18.22b
tat siùeve niyogena  Ragh_17.49c
tatsaikatotsaïgabalikriyàbhiş  Ragh_14.76c
tathàgataş so 'tiraràü babhàse  Ragh_16.70c
tathàgatàyàü parihàsapårvaü  Ragh_6.82a
tathàgatàü saübhçtasàdhanatvàt  Ragh_16.38b
tathà ca sugrãvavibhã÷aõàdãn  Ragh_14.17a
tathà nçpaş sà cu sutena màgadhã  Ragh_3.23c
tathà pareùàü yudhi ceti pàrthivaş  Ragh_3.21b
tathàpi nãcair vinayàd adç÷yata  Ragh_3.34d
tathàpi vavçdhe tasya  Ragh_17.73c
tathàpi ÷astravyavahàraniùñhure  Ragh_3.62a
tathàpy ananyapårveva  Ragh_4.7c
tathà bharata÷atrughnau  Ragh_10.82c
tathà yathà me jananàntare 'pi  Ragh_14.66c
tathà vidur màü munayaş ÷atakratuü  Ragh_3.49c
tathà vi÷vaübhare devi  Ragh_15.81c
tathà hi ÷eùendriyavçttir àsàü  Ragh_7.12c
tathà hi sarve tasyàsan  Ragh_1.29c
tatheti kàmaü prati÷u÷ruvàn raghor  Ragh_3.67a
tatheti gàm uktavate dilãpaş  Ragh_2.59a
tatheti tasy' àvitathaü pratãtaş  Ragh_5.26a
tatheti tasyàş praõayaü pratãtaş  Ragh_16.23a
tatheti tasyàş pratigçhya vàcaü  Ragh_14.68a
tatheti pratijagràha  Ragh_1.92a
tatheti pratipannàya  Ragh_15.93a
tathety upaspç÷ya payaş pavitraü  Ragh_5.59a
tathaiva tasmin yuyuje 'rbhake 'pi  Ragh_18.42d
tathaiva vàtàyanasaünikarùaü  Ragh_7.8c
tathaiva so 'bhåd anvartho  Ragh_4.12c
tad (?) alake dalakesarape÷alam  Ragh_9.40d
tad (?) ãpsitaü pàr÷vacarànuyàtaş  Ragh_14.29b
tadaïka÷ayyàcyutanàbhinàlà  Ragh_5.7c
tadaïganisyandajalena locane  Ragh_3.41a
tad aïgam agryaü maghavan mahàkrator  Ragh_3.46a
tad a¤janakledasamàkulàkùaü  Ragh_7.27a
tad adbhutaü saüsadi ràrtrivçttaü  Ragh_16.24a
tadanuvàdiguõaş kusumodgamaş  Ragh_9.33b
tadanuvàdiguõaş kusumodgamaş  Ragh_9.33*b
tadanu ùañpadakokilakåjitam  Ragh_9.26b
tadantare sà viraràja dhenur  Ragh_2.20c
tadanyatas tàvad ananyakàryo  Ragh_5.17a
tadanvaye ÷uddhimati  Ragh_1.12a
tadanvità haimavatàc ca kukùeş  Ragh_2.67c
tad apohitum arhasi priye  Ragh_8.54a
tadartham arthaj¤agate gatatrapaş  Ragh_9.82Aa
tadartham urvãm avadàrayadbhiş  Ragh_13.3c
tad arhasãmàü vasatiü visçjya  Ragh_16.22a
tad alabdhapadaü hçdi ÷okaghane  Ragh_8.91c
tad alaü tadapàyacintayà  Ragh_8.83a
tad asya jaitràbharaõaü vihartur  Ragh_16.72c
tad àkarõya muner vàkyaü  Ragh_15.71*a
tadàgamaprãtiùu tàpasãùu  Ragh_14.80b
tadàgamàråóhagurupraharùaş  Ragh_5.61b
tadà cakùuùmatàü prãtir  Ragh_4.18c
tadàj¤àü mudito 'grahãt  Ragh_12.7d
tadà tadà nàmitarepharekhàm  Ragh_6.67*c
tadàtmajaş saüyati vajraghoùaş  Ragh_18.21b
tadàtmajaş sàgaradhãracetàş  Ragh_18.19*c
tadàtmasaübhavaü ràjye  Ragh_17.8a
tadà dà÷arathã rathã  Ragh_15.8b
tadànanaü mçtsurabhi kùitã÷varo  Ragh_3.3a
tadànandà÷rubhindubhiş  Ragh_12.62d
tadà pitşõàü mumuce sa bandhanàt  Ragh_3.20d
tadà prabhçty eva vanadvipànàü  Ragh_2.38a
tadà mene mahaujasaş  Ragh_15.26b
tad àspadaü pràpya tayàtiroùàt  Ragh_14.63c
tad idaü viùahiùyate kathaü  Ragh_8.57c
tadãyam aïgaü kuli÷avraõàïkitam  Ragh_3.68d
tadãyam àkranditam àrtasàdhor  Ragh_2.28a
tadãyam ànãlamukhaü stanadvayam  Ragh_3.8b
tad upabhogarasaü himavarùiõaş  Ragh_9.28*c
tad upasthitam agrahãd ajaş  Ragh_8.2c
tadupahitakuñumbaş ÷àntimàrgotusko 'bhån  Ragh_7.71c
tad etad àjànuvilambinà te  Ragh_16.84a
tadety avocat sa taponidhir màm  Ragh_5.55d
tad evàbhåd amaïgalam  Ragh_12.43d
tad eùa sargaş karuõàrdracittair  Ragh_14.42a
tadaiva naisargikam unnatatvam  Ragh_5.37b
tad gatiü matimatàü varepsitàü  Ragh_11.87a
tad gavàkùavivaràvalambinà  Ragh_19.7c
tadgàlànatàü pràptaiş  Ragh_4.81c
tadgãta÷ravaõaikàgrà  Ragh_15.66a
tadguõaiş karõam àgatya  Ragh_1.9c
taddhanurgrahaõam eva ràghavaş  Ragh_11.79c
taddhanuş÷ravaõajaü kutåhalam  Ragh_11.32d
tad badhnatãbhir madaràga÷obhàü  Ragh_16.59c
tadbhaktyapoóhapitçràhyamahàbhiùeke  Ragh_13.70d
tad bhåtanàthànuga nàrhasi tvaü  Ragh_2.58c
tadyogàt pativatnãùu  Ragh_15.35c
tadyodhavàrabàõànàm  Ragh_4.55c
tad rakùa kalyàõaparaüparàõàü  Ragh_2.50a
tad raghor anaghaü kulam  Ragh_10.81b
tad valgunà yugapadunmiùitena tàvat  Ragh_5.68a
tadvikriyàdar÷analuptaharùàn  Ragh_14.36b
tadviyogavyathàü kiücic  Ragh_15.34c
tad vyàpa càmãkarapi¤jareõa  Ragh_18.40d
tad vyomni da÷adhà bhinnaü  Ragh_12.98a
tanayàvarjitapiõóakàïkùiõaş  Ragh_8.26d
tanutyajàü dantanipãóitoùñhaiş  Ragh_7.38*b
tanutyajàü nàsti ÷arãrabandhaş  Ragh_13.58d
tanutyajàü varmabhçtàü viko÷air  Ragh_7.48a
tanuprakà÷ena viceyatàrakà  Ragh_3.2c
tanum ato 'numataş sacivair yayau  Ragh_9.49d
tanulatàvinive÷itavigrahà  Ragh_9.52a
tanuvàgvibhavo 'pi san  Ragh_1.9b
tan ni÷amya bahavatà samarthaye  Ragh_11.72c
tan nihatya bahu÷aş ÷amaü gataş  Ragh_11.71b
tan madãyam idam àyudhaü jyayà  Ragh_11.77a
tan mà vyathiùñhà viùayàntarasthaü  Ragh_14.72c
tapasà du÷careõàpi  Ragh_15.53c
tapasy anadhikàritvàt  Ragh_15.51a
tapasyantam adhomukham  Ragh_15.49d
tapasvinãnàü bhavataş prasàdàt  Ragh_14.64b
tapasviveùakriyayàpi tàvad  Ragh_14.9a
tapasvisaüsargavinitatsattve  Ragh_14.75a
tapasvisàmànyam avekùaõãyà  Ragh_14.67d
tapaşprabhàvasiddhàbhir  Ragh_15.12c
tapodànasamudbhavam  Ragh_1.69b
tapodhanaü mànadhanàgrayàyã  Ragh_5.3b
tapo rakùan sa vighnebhyas  Ragh_17.65a
tapovanaü pàvanam àhitàgneş  Ragh_13.45b
tapovanàd etya purodhasà kçte  Ragh_3.18b
tapovanàvçttipathaü gatàbhyàm  Ragh_2.18d
tapovane vãtabhayà vasàsmin  Ragh_14.75b
tapovaneùu spçhayàlur eva  Ragh_14.45b
tam aïkam àropya ÷arãrayogajaiş  Ragh_3.26a
tam aïkam àropya ÷arãrayogajaiş  Ragh_3.27a
tam adç÷yà kila svayam  Ragh_4.5b
tam adhigamya tathaiva punar babhau  Ragh_9.5c
tam adhvaràya muktà÷vaü  Ragh_15.58a
tam adhvare vi÷vajiti kùitã÷aü  Ragh_5.1a
tam anucchiùñasaüpadà  Ragh_12.15d
tam anviùya pra÷amayer  Ragh_15.47c
tam apahàya kakutsthakulodbhavaü  Ragh_9.19a
tam abravãt sà guruõà navadyà  Ragh_16.9a
tam abhyanandat praõataü  Ragh_15.40a
tam abhyanandat prathamaü prabodhitaş  Ragh_3.68a
tam amanyanta nave÷varaü prajàş  Ragh_8.5b
tam araõyasamà÷rayonmukhaü  Ragh_8.12a
tam arcayitvà vidhivad vidhij¤as  Ragh_5.3a
tam arcyam àràd abhivartamànam  Ragh_2.10b
tam alabhanta patiü patidevatàş  Ragh_9.22a
tam a÷akyam apàkraùñuü  Ragh_12.17a
tam a÷ru netràvaraõaü pramçjya  Ragh_14.71a
tamasaş param àpad avyayaü  Ragh_8.24c
tamasàü pràpa nadãü turaügameõa  Ragh_9.72d
tam astrair gajasàdhanaş  Ragh_4.40b
tam àtapaklàntam anàtapatram  Ragh_2.13c
tam àtithyakriyà÷ànta  Ragh_1.58a
tam àtmajanmànam ajaü cakàra  Ragh_5.36d
tam àtmasaüpannam aninditàtmà  Ragh_18.18a
tam àdau kulavidyànàm  Ragh_17.3a
tam àdhåtadvajapañaü  Ragh_12.85a
tam àpatantaü nçpater avadhyo  Ragh_5.50a
tam àyatàkùyaş praõayàd asi¤can  Ragh_16.70b
tam àryagçhyaü nigçhãtadhenur  Ragh_2.33a
tamàlatàlãvanaràjinãlà  Ragh_13.15b
tamàlapattràstaraõàsu rantuü  Ragh_6.64c
tam à÷rayaü duùprahasya tejasaş  Ragh_3.58b
tam àhitautsukyam adar÷anena  Ragh_2.73a
tam ity avocad varatantu÷iùyaş  Ragh_5.12d
tam iva sevitum ekanaràdhipam  Ragh_9.24b
tamisrapakùe 'pi saha priyàbhir  Ragh_6.34c
tamisrayà ÷ubhrani÷eva bhinnà  Ragh_13.57Aa
tam ã÷aş kàmaråpàõàm  Ragh_4.83a
tam udayàya na và navayauvanà  Ragh_9.7c
tam udvahantaü pathi bhojakanyàü  Ragh_7.35a
tam åcur àmlànamukhaprasàdàş  Ragh_16.75d
tam åcuş sàmyayogataş  Ragh_17.78b
tam çùiş påjayàm àsa  Ragh_15.12a
tam eva caturnate÷aü  Ragh_10.86c
tam eva càdhàya vivàhasàkùye  Ragh_7.20c
tamonudaü dakùasutà ivàbabhuş  Ragh_3.33d
tamo'pahantrãü tamasàü vigàhya  Ragh_14.76b
tayà mene manasvinyà  Ragh_1.32c
tayà srajà maïgalapuùpamayyà  Ragh_6.84a
tayà hãnaü vidhàtar màü  Ragh_1.70a
tayopacàrà¤jalikhinnahastayà  Ragh_3.11c
tayor apàïgapratisàritàni  Ragh_7.23a
tayor a÷ãtaü ÷i÷iro bibheda  Ragh_14.3b
tayor upàntasthitasiddhasainikaü  Ragh_3.57a
tayor jagçhatuş pàdàn  Ragh_1.57a
tayor divaspater àsãd  Ragh_17.7a
tayor muktàü suràsuraiş  Ragh_12.94b
