Kalidasa: Rtusamhara
Based on the ed. Kalidasagranthavali, 
Benares: Chaukhamba Surabharati Prakashan, 1980.


Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



agurusurabhidhåpàmoditaü ke÷apà÷aü  KalRs_5.12a
maõiprakàràþ sarasaü ca candanaü  KalRs_1.2c
mattadvirephaparicumbitacàrupuùpà  KalRs_6.19a
mattadvirephaparipãtamadhupraseka÷  KalRs_3.6c
mattaþ priyàü cumbati ràgahçùñaþ  KalRs_6.16b
mattàliyåthavirutaü ni÷i sãdhupànaü  KalRs_6.35c
mattebho malayànilaþ parabhçtà yadbandino lokajit  KalRs_6.38c
madajanitavilàsair dçùñipàtair munãndràn  KalRs_6.32c
madana÷aranighàtair mohameti pravàsã  KalRs_6.30d
madànvitànàü dhvanatàü muhurmuhuþ  KalRs_2.15b
madàlasàbhir mçganàbhiyuktam  KalRs_6.14d
madhusurabhi mukhàbjaü locane lodhratàmre  KalRs_6.33a
madhyeùu nimno jaghaneùu pãnaþ  KalRs_6.12c
manàüsi bhettuü surataprasaïginàü  KalRs_6.1c
manoj¤akårpàsakapãóitastanàþ  KalRs_5.8a
manoharakrau¤caninàditàni  KalRs_4.8c
manoharaü kàmaratiprabodhakam  KalRs_5.10b
manoharai÷ candanaràgagaurais  KalRs_4.2a
mandaprabhàtapavanodgatavãcimàlàny  KalRs_3.11c
mandaü prayànti samadàþ pramadà ivàdya  KalRs_3.3d
mandànilàkulitacàrutaràgra÷àkhaþ  KalRs_3.6a
mandànilàkulitanamramçdupravàlàþ  KalRs_6.19b
marakatamaõibhàsà vàriõà bhåùitànàm  KalRs_3.21b
malayapavanaviddhaþ kokilàlàparamyaþ  KalRs_6.37a
màrgaü samãkùyàtinirastanãraü  KalRs_4.10a
màlàþ kadambanavakesaraketakãbhir  KalRs_2.21a
màse madhau madhurakokilabhçïganàdair  KalRs_6.26c
muktvà kadambakuñajàrjunasarjanãpàn  KalRs_3.13c
mudita iva kadambairjàtapuùpaiþ samantàt  KalRs_2.24a
muhurmuhur jçmbhaõatatparàõi  KalRs_6.10b
mårdhno 'panãya ghananãla÷iroruhàntàþ  KalRs_4.16b
mçgàïganàyåthavibhåùitàni  KalRs_4.8b
mçgàþ pracaõóàtapatàpità bhç÷aü  KalRs_1.11a
mçgaiþ samantàdupajàtasàdhvasaiþ  KalRs_2.9b
mçdupavanavidhåtànpuùpitàü÷cåtavçkùàn  KalRs_6.30b
mçdupavanavidhåtair mandamandaü caladbhiþ  KalRs_2.23b
meghàvarodhaparimukta÷a÷àïkavaktrà  KalRs_3.7b
yatkokilaþ punarayaü madhurairvacobhir  KalRs_6.22c
yathà pradoùàþ ÷a÷icàrubhåùaõàþ  KalRs_1.12d
yànartayaüs taruvaràn kusumàvanamràn  KalRs_3.10b
yånàü manaþ suvadanànihitaü nihanti  KalRs_6.22d
raktà÷okavikalpitàdharamadhur mattadvirephasvanaþ  KalRs_6.36a
raktàü÷ukà navavadhåriva bhàti bhåmiþ  KalRs_6.21d
racayati jaladaughaþ kàntavatkàla eùaþ  KalRs_2.25d
racitakusumagandhi pràya÷o yànti ve÷ma  KalRs_3.23c
rati÷ramakùàmavipàõóuvaktràþ  KalRs_4.6a
ratopabhogo navayauvanànàm  KalRs_4.13d
ratnàntare mauktikasaïgaramyaþ  KalRs_6.8c
ramyaþ pradoùasamayaþ sphuñacandrabhàsaþ  KalRs_6.35a
raviprabhodbhinna÷iromaõiprabho  KalRs_1.20a
ravermayåkhair abhitàpito bhç÷aü  KalRs_1.13a
ravermayåkhairabhitàpito bhç÷aü  KalRs_1.17c
ràjeva càmara÷atair upavãjyamànaþ  KalRs_3.4d
ràtriprajàgaravipàñalanetrapadmà  KalRs_4.15b
rucirakanakakàntãn mu¤cataþ puùparà÷ãn  KalRs_6.30a
lajjànvitaü savinayaü hçdayaü kùaõena  KalRs_6.23c
lalitavalivibhaïgairmadhyade÷ai÷ca nàryaþ  KalRs_2.26d
vaktreùu hemàmburuhopameùu  KalRs_6.8b
vadanavijitacandràþ kà÷cidanyàstaruõyaþ  KalRs_3.23b
vanadvipànàü navavàridasvanair  KalRs_2.15a
vanàni vaindhyàni haranti mànasaü  KalRs_2.8c
vanàntare toyamiti pradhàvità  KalRs_1.11c
vaprà÷ca pakvakalamàvçtabhåmibhàgàþ  KalRs_3.5c
varayuvatimukhàbhaü païkajaü jçmbhate 'dya  KalRs_3.25b
varàïganeva kùitirindragopakaiþ  KalRs_2.5d
varàhayåtho vi÷atãva bhåtalam  KalRs_1.17d
varoru kàlaü ÷i÷iràhvayaü ÷çõu  KalRs_5.1d
vasantayoddhà samupàgataþ priye  KalRs_6.1d
vahati vigatameghaü candratàràvakãrõam  KalRs_3.21d
vahanti varùanti nadanti bhànti  KalRs_2.19a
vàkyàni kiücinmadiràlasàni  KalRs_6.13b
vàtaiþ praphullasahakàrakçtàdhivàsaiþ  KalRs_6.34b
vàpãjalànàü maõimekhalànàü  KalRs_6.4a
vàyur vivàti hçdayàni harannaràõàü  KalRs_6.24c
vikacakamalavaktrà phullanãlotpalàkùã  KalRs_3.28a
vikacanavakadambaiþ karõapåraü vadhånàü  KalRs_2.25c
vikacanavakusumbhasvacchasindårabhàsà  KalRs_1.24a
vikampayaüstatkusumàdhivàsitaþ  KalRs_2.17b
vikasitanavakà÷a÷vetavàso vasànà  KalRs_3.28b
vikasitanavapuùpairyåthikàkuómalai÷ca  KalRs_2.25b
vikãrõavistãrõakalàpi÷obhitam  KalRs_2.6b
vigatakaluùamambhaþ ÷yànapaïkà dharitrã  KalRs_3.22c
vigatajaladavçndà digvibhàgà manoj¤àþ  KalRs_3.22b
vidadhati bhayamuccair vãkùyamàõà vanàntàþ  KalRs_1.22d
vidahyamànaþ pathi taptapàüsubhiþ  KalRs_1.13b
vinipatitatuùàraþ krau¤canàdopagãtaþ  KalRs_4.19c
viniþsçtàlohitajihvamunmukham  KalRs_1.21b
vipattrapuùpàü nalinãü samutsukà  KalRs_2.14a
vipannamãnaü drutabhãtasàrasam  KalRs_1.19b
vipàõóutàràgaõacàrubhåùaõà  KalRs_5.4c
vipàõóutàü yàti vilàsinãva  KalRs_4.11d
vipàõóuraü kãñarajastçõànvitaü  KalRs_2.13a
vipulapulinade÷àü nimnagàü saüvi÷anti  KalRs_1.27d
vibodhyate supta ivàdya manmathaþ  KalRs_1.8d
vibhàti ÷ukletararatnabhåùità  KalRs_2.5c
vibhåùayantãva himàgamaü striyaþ  KalRs_5.8d
vibhåùitànyudgatapallavair drumaiþ  KalRs_2.8d
vimalakiraõacandraü vyoma tàràvicitram  KalRs_3.22d
vimucya vàsàüsi guråõi sàmpratam  KalRs_1.7b
vilàsavatyo manasi pravàsinàm  KalRs_1.12b
vilàsinãnàü stana÷àlinãnàü  KalRs_4.2c
vilàsinãbhiþ paripãóitorasaþ  KalRs_5.9c
vilãnapadmaþ prapatattuùàro  KalRs_4.1c
vilokya nånaü bhç÷amutsuka÷ciraü  KalRs_1.9c
vilocanendãvaravàribindubhir  KalRs_2.12a
vilolajihva÷calitàgrakesaraþ  KalRs_1.14d
vilolajihvàdvayalãóhamàrutaþ  KalRs_1.20b
vilolanetrotpala÷obhitànanair  KalRs_2.9a
vivasvatà tãkùõataràü÷umàlinà  KalRs_1.18a
vividhamadhupayåthair veùñyamànaþ samantàd  KalRs_6.37c
vi÷anti ÷ayyàgçhamutsukàþ striyaþ  KalRs_5.5d
vi÷uùkakaõñhodgatasãkaràmbhaso  KalRs_1.15a
viùàgnisåryàtapatàpitaþ phaõã  KalRs_1.20c
vistàrayanparabhçtasya vacàüsi dikùu  KalRs_6.24b
vihàya bhçïgàþ ÷rutihàrinisvanàþ  KalRs_2.14b
vçddhiü prayàtyanudinaü pramadeva bàlà  KalRs_3.7d
vyàyanti nçtyanti samà÷rayanti  KalRs_2.19b
vyàlambinãlalalitàlakaku¤citàkùã  KalRs_4.17d
vyoma kvacidrajata÷aïkhamçõàlagaurais  KalRs_3.4a
vrajati ÷ayanavàsàdvàsamanyaü hasantã  KalRs_5.11d
vrajatu tava nidàghaþ kàminãbhiþ sameto  KalRs_1.28c
÷ayyàgçhaü gurugçhàtpravi÷anti nàryaþ  KalRs_2.22d
÷aradi kumudasaïgàdvàyavo vànti ÷ãtà  KalRs_3.22a
÷aradi taruõakàntàþ såcayanti pramodàn  KalRs_3.24d
÷arabhakulamajihmaü proddharatyambu kåpàt  KalRs_1.23d
÷a÷àïkabhàbhiþ ÷i÷irãkçtàþ punaþ  KalRs_5.4b
÷a÷àïkabhàsàü pramadàjanànàm  KalRs_6.4b
÷irasi bakulamàlàü màlatãbhiþ sametàü  KalRs_2.25a
÷iràüsi kàlàgurudhåpitàni  KalRs_4.5c
÷iroruhaiþ ÷roõitañàvalambibhiþ  KalRs_2.18a
÷iroruhaiþ snànakaùàyavàsitaiþ  KalRs_1.4c
÷i÷irasamaya eùa ÷reyase vo 'stu nityam  KalRs_5.16d
÷uklãkçtànyupavanàni ca màlatãbhiþ  KalRs_3.2d
÷ucau ni÷ãthe 'nubhavanti kàminaþ  KalRs_1.3d
÷ucau priye yànti janasya sevyatàm  KalRs_1.2d
÷ete janaþ kàmarasànuviddhaþ  KalRs_4.12d
÷ephàlikàkusumagandhamanoharàõi  KalRs_3.14a
÷aileyajàlapariõaddha÷ilàtalàntàn  KalRs_6.27c
÷obhàü paràü kurabakadrumama¤jarãõàm  KalRs_6.20b
÷yàmà latàþ kusumabhàranatapravàlàþ  KalRs_3.18a
÷ravaõatañaniùaktaiþ pàñalopàntanetraiþ  KalRs_5.13b
÷riya iva gçhamadhye saüsthità yoùito 'dya  KalRs_5.13d
÷riyamati÷ayaråpàü vyoma toyà÷ayànàü  KalRs_3.21c
÷rutvà dhvaniü jalamucàü tvaritaü pradoùe  KalRs_2.22c
÷roõãtañaü suvipulaü rasanàkalàpaiþ  KalRs_3.20b
÷rotrapriyairmadhukarasya ca gãtanàdaiþ  KalRs_6.34d
÷vasanmuhur dåravidàritànanaþ  KalRs_1.14b
÷vasiti vihagavargaþ ÷ãrõaparõadrumasthaþ  KalRs_1.23a
sacandanàmbuvyajanodbhavànilaiþ  KalRs_1.8a
sadà manoj¤aü svanadutsavotsukaü  KalRs_2.6a
sadàvagàhakùatavàrisaücayaþ  KalRs_1.1b
sadyo vasantasamayena samàciteyaü  KalRs_6.21c
sapaïkatoyàt saraso 'bhitàpitaþ  KalRs_1.18b
sapattralekhàni mukhàmbujàni  KalRs_4.5b
sapattralekheùu vilàsinãnàü  KalRs_6.8a
sapallavàþ puùpacayaü dadhànàþ  KalRs_6.18b
saptacchadànupagatà kusumodgama÷rãþ  KalRs_3.13d
saptacchadaiþ kusumabhàranatairvanàntàþ  KalRs_3.2c
saphenalàlàvçtavaktrasampuñaü  KalRs_1.21a
sabhadramustaü pari÷uùkakardamaü  KalRs_1.17a
sabhçïgayåthair madavàribhi÷ citàþ  KalRs_2.15d
samadamadhukaràõàü kokilànàü ca nàdaiþ  KalRs_6.29a
samàgato ràjavad uddhatadyutir  KalRs_2.1c
samàcitaü vyoma ghanaiþ samantataþ  KalRs_2.2d
samàcità protthitakandalãdalaiþ  KalRs_2.5b
samàcità saikatinã vanasthalã  KalRs_2.9c
samàcitàþ prasravaõaiþ samantataþ  KalRs_2.16b
samãpavartiùvadhunà priyeùu  KalRs_6.9c
samãraõaþ kaü na karoti sotsukam  KalRs_2.17d
samutsukatvaü janayanti bhådharàþ  KalRs_2.16d
samutsukatvaü prakaroti cetasaþ  KalRs_2.9d
samutsukà eva bhavanti nàryaþ  KalRs_6.9d
samudgatasvedacitàïgasaüdhayo  KalRs_1.7a
samuddhçtà÷eùamçõàlajàlakaü  KalRs_1.19a
samupajanitatàpaü hlàdayantãva vindhyam  KalRs_2.28d
sampanna÷àlinicayàvçtabhåtalàni  KalRs_3.16a
sampràptaharùàbhyudayàs taruõyaþ  KalRs_4.6b
saraþ khanann àyatapotçmaõóalaiþ  KalRs_1.17b
saràgakau÷eyakabhåùitoravaþ  KalRs_5.8b
saràüsi cetàüsi haranti puüsàm  KalRs_4.9d
sarvatra kiü÷ukavanaiþ kusumàvanamraiþ  KalRs_6.21b
sarvaü priye càrutaraü vasante  KalRs_6.2d
sarvaü rasàyanamidaü kusumàyudhasya  KalRs_6.35d
savallakãkàkaligãtanisvanair  KalRs_1.8c
saviturudayakàle bhåùayantyànanàni  KalRs_5.15d
savibhramaiþ sasmitajihmavãkùitair  KalRs_1.12a
savepathån sàdhvasaluptacetasaþ  KalRs_5.6b
sasaübhramàliïganacumbanàkulaü  KalRs_2.6c
sasàdhvasairbhekakulair nirãkùitaü  KalRs_2.13c
sasãkaràmbhodharamattaku¤jaras  KalRs_2.1a
sasãkaràmbhodharasaïga÷ãtalaþ  KalRs_2.17c
sahàrayaùñistanamaõóalàrpaõaiþ  KalRs_1.8b
saülakùyate pavanavegacalaiþ payodai  KalRs_3.4c
saüsåcyate nirdayamaïganànàü  KalRs_4.13c
saühçùyamàõapulakorupayodharàntà  KalRs_4.18c
siteùu harmyeùu ni÷àsu yoùitàü  KalRs_1.9a
sitotpalàbhàmbudacumbitopalàþ  KalRs_2.16a
sãmàntaràõi janayanti nçõàü pramodam  KalRs_3.16d
sãmàntaràõy utsukayanti cetaþ  KalRs_4.8d
sukhaprasuptàni mukhàni candramàþ  KalRs_1.9b
sukhasalilaniùekaþ sevyacandràü÷uhàraþ  KalRs_1.28b
sukhàþ pradoùà divasà÷ca ramyàþ  KalRs_6.2c
sukhopasevyairnavayauvanoùmabhiþ  KalRs_5.9b
sugandhikàlàgurudhåpitàni  KalRs_6.15c
sugandhiniþ÷vàsavikampitotpalaü  KalRs_5.10a
sutantrigãtaü madanasya dãpanaü  KalRs_1.3c
sutãkùõadhàràpatanograsàyakais  KalRs_2.4c
suratarasavilàsàþ satsakhãbhiþ sametà  KalRs_3.24a
suratasamayaveùaü nai÷amà÷u prahàya  KalRs_5.14c
surabhimadhuniùekàllabdhagandhaprabandhaþ  KalRs_6.37b
surendracàpaü dadhatastaóidguõam  KalRs_2.4b
suvàsitaü càru÷ira÷ca campakaiþ  KalRs_6.3b
suvàsitaü harmyatalaü manoharaü  KalRs_1.3a
suhçda iva sametà dvaüdvabhàvaü vihàya  KalRs_1.27b
sonmàdakàdambavibhåùitàni  KalRs_4.9b
sonmàdahaüsamithunairupa÷obhitàni  KalRs_3.11a
sonmàdahaüsaravanåpuranàdaramyà  KalRs_3.1b
so 'yaü vo vitarãtarãtu vitanurbhadraü vasantànvitaþ  KalRs_6.38d
saudàminã sphurati nàdya viyatpatàkà  KalRs_3.12b
stanabharanatanàryaþ kàmayanti pra÷àntàn  KalRs_6.32d
stanabharaparikhedànmandamandaü vrajantyaþ  KalRs_5.14b
stanaü sahàraü kusumairmanoharaiþ  KalRs_6.3d
staneùu gaureùu vilàsinãbhiþ  KalRs_6.14b
staneùu tanvaü÷ukamunnatastanà  KalRs_1.7c
staneùu hàràþ sitacandanàrdrà  KalRs_6.7a
stanai÷ca pàõyagrakçtàbhilekhaiþ  KalRs_4.13b
stanaiþ sahàràbharaõaiþ sacandanaiþ  KalRs_1.4b
stanaiþ sahàrairvadanaiþ sasãdhubhiþ  KalRs_2.18c
striya÷ca kà¤cãmaõikuõóalojjvalà  KalRs_2.20c
striyaþ sakàmàþ pavanaþ sugandhiþ  KalRs_6.2b
striyaþ suduùñà iva jàtivibhramàþ  KalRs_2.7c
striyo nidàghaü ÷amayanti kàminàm  KalRs_1.4d
striyo 'paràdhànsamadà visasmaruþ  KalRs_5.6d
striyo ratiü saüjanayanti kàminàm  KalRs_2.18d
strãõàmanaïgo bahudhà sthito 'dya  KalRs_6.12d
strãõàü vihàya vadaneùu ÷a÷àïkalakùmãü  KalRs_3.27a
strãõàü haranti dhçtabhåùaõabàhukàntim  KalRs_3.18b
sthità nirà÷àþ pramadàþ pravàsinàm  KalRs_2.12d
sphuñakumudacitànàü ràjahaüsà÷ritànàü  KalRs_3.21a
sphuñati pañuninàdaiþ ÷uùkavaü÷asthalãùu  KalRs_1.25b
sphurati kanakagauraþ koñareùu drumàõàm  KalRs_1.26b
smitada÷anamayåkhànkundapuùpaprabhàbhiþ  KalRs_6.31b
srastàüsade÷alalitàkulake÷apà÷à  KalRs_4.15c
svacchapraphullakamalotpalabhåùitàni  KalRs_3.11b
svapanti ÷ãtaü paribhåya kàminaþ  KalRs_5.9d
svasthasthitapracuragokula÷obhitàni  KalRs_3.16b
svasthasthitàõóajakulapratinàditàni  KalRs_3.14b
svedàgamo vistaratàmupaiti  KalRs_6.8d
haranti ceto yugapatpravàsinàm  KalRs_2.20d
harmyaü prayàti ÷ayituü sukha÷ãtalaü ca  KalRs_6.11c
harùànvità viracitàdharacàru÷obhà  KalRs_4.17b
hasanti noccair da÷anàgrabhinnàn  KalRs_4.6c
hasitamiva vadhånàü proùiteùu priyeùu  KalRs_3.25d
hasitamiva vidhatte såcibhiþ ketakãnàü  KalRs_2.24c
haüsànupaiti madano madhurapragãtàn  KalRs_3.13b
haüsairjalàni saritàü kumudaiþ saràüsi  KalRs_3.2b
haüsairjità sulalità gatiraïganànàm  KalRs_3.17a
haüsaiþ sasàrasakulaiþ pratinàditàni  KalRs_3.16c
hàraiþ sacandanarasaiþ stanamaõóalàni  KalRs_3.20a
hutavahaparikhedàd à÷u nirgatya kakùàd  KalRs_1.27c
hutàgnikalpaiþ saviturgabhastibhiþ  KalRs_1.16a
hutà÷ano bhànumato gabhastayaþ  KalRs_5.2b
hçùñànyapuùñaninadàkulasànude÷àn  KalRs_6.27b
hemantakàlaþ samupàgato 'yam  KalRs_4.1d

