Kalidasa: Rtusamhara
Based on the ed. Kalidasagranthavali, 
Benares: Chaukhamba Surabharati Prakashan, 1980.


Input by Oliver Hellwig



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




agurusurabhidhÆpÃmoditaæ keÓapÃÓaæ  KalRs_5.12a
prav­ttan­tyai÷ Óikhibhi÷ samÃkulÃ÷  KalRs_2.16c
prav­ddhat­«ïopahatÃ jalÃrthino  KalRs_1.15c
prav­ddhavegai÷ salilair anirmalai÷  KalRs_2.7b
prasannatoyÃni suÓÅtalÃni  KalRs_4.9c
prasarati t­ïamadhye labdhav­ddhi÷ k«aïena  KalRs_1.25c
prahlÃdaka÷ ÓiÓirasÅkaravÃrivar«Å  KalRs_3.9b
prÃgeva rÃgamalinÃni manÃæsi yÆnÃm  KalRs_6.25d
prÃptÃ ÓarannavavadhÆriva rÆparamyÃ  KalRs_3.1d
priyaÇgukÃlÅyakakuÇkumÃktaæ  KalRs_6.14a
priyajanarahitÃnÃæ citasaætÃpahetu÷  KalRs_5.16c
priyatamaparibhuktaæ vÅk«amÃïÃ svadehaæ  KalRs_5.11c
priyaæ priyÃyÃ÷ prakaroti cÃÂu  KalRs_6.16d
priyÃmukhocchvÃsavikampitaæ madhu  KalRs_1.3b
priyÃviyogÃnaladagdhamÃnasai÷  KalRs_1.10d
priyÃvihÅnÃ÷ Óikhina÷ plavaægÃ÷  KalRs_2.19d
priye priyaÇgu÷ priyaviprayuktÃ  KalRs_4.11c
prÅtiæ saroruharajo 'ruïitÃs taÂinya÷  KalRs_3.8d
protkaïÂhayanti na mano bhuvi kasya yÆna÷  KalRs_3.5d
protkaïÂhayantyupavanÃni manÃæsi puæsÃm  KalRs_3.14d
phaïÃtapatrasya tale ni«Ådati  KalRs_1.18d
phaïÅ mayÆrasya tale ni«Ådati  KalRs_1.13d
bandhÆkakÃntimadhare«u manohare«u  KalRs_3.27c
bandhÆkapu«parajasÃruïitÃ ca bhÆmi÷  KalRs_3.5b
balÃhakÃÓcÃÓaniÓabdamardalÃ÷  KalRs_2.4a
balÃhakÃ÷ ÓrotramanoharasvanÃ÷  KalRs_2.3d
bahuguïaramaïÅya÷ kÃminÅcittahÃrÅ  KalRs_2.29a
bahuguïaramaïÅyo yo«itÃæ cittahÃrÅ  KalRs_4.19a
bahutara iva jÃta÷ ÓÃlmalÅnÃæ vane«u  KalRs_1.26a
bÃlÃtape«u vanitÃ vadanÃravindam  KalRs_4.14b
bÃlÃtimuktalatikÃ÷ samavek«yamÃïÃ÷  KalRs_6.19d
bhavatu tava vasanta÷ Óre«ÂhakÃla÷ sukhÃya  KalRs_6.37d
bhinnÃ¤janapracayakÃnti nabho manoj¤aæ  KalRs_3.5a
bhujaægavad vakragatiprasarpitam  KalRs_2.13b
bhuje«u saÇgaæ valayÃÇgadÃni  KalRs_6.7b
bhramati gavayayÆtha÷ sarvatastoyamiccha¤  KalRs_1.23c
bhramati pavanadhÆta÷ sarvato 'gnirvanÃnte  KalRs_1.26d
bhramanti mandaæ Óramakheditorava÷  KalRs_5.7c
bhrÆk«epajihmÃni ca vÅk«itÃni  KalRs_6.13c
bhrÆvibhramÃÓca rucirÃs tanubhis taraægai÷  KalRs_3.17d
maïiprakÃrÃ÷ sarasaæ ca candanaæ  KalRs_1.2c
mattadvirephaparicumbitacÃrupu«pÃ  KalRs_6.19a
mattadvirephaparipÅtamadhuprasekaÓ  KalRs_3.6c
matta÷ priyÃæ cumbati rÃgah­«Âa÷  KalRs_6.16b
mattÃliyÆthavirutaæ niÓi sÅdhupÃnaæ  KalRs_6.35c
mattebho malayÃnila÷ parabh­tÃ yadbandino lokajit  KalRs_6.38c
madajanitavilÃsair d­«ÂipÃtair munÅndrÃn  KalRs_6.32c
madanaÓaranighÃtair mohameti pravÃsÅ  KalRs_6.30d
madÃnvitÃnÃæ dhvanatÃæ muhurmuhu÷  KalRs_2.15b
madÃlasÃbhir m­ganÃbhiyuktam  KalRs_6.14d
madhusurabhi mukhÃbjaæ locane lodhratÃmre  KalRs_6.33a
madhye«u nimno jaghane«u pÅna÷  KalRs_6.12c
manÃæsi bhettuæ surataprasaÇginÃæ  KalRs_6.1c
manoj¤akÆrpÃsakapÅ¬itastanÃ÷  KalRs_5.8a
manoharakrau¤caninÃditÃni  KalRs_4.8c
manoharaæ kÃmaratiprabodhakam  KalRs_5.10b
manoharaiÓ candanarÃgagaurais  KalRs_4.2a
mandaprabhÃtapavanodgatavÅcimÃlÃny  KalRs_3.11c
mandaæ prayÃnti samadÃ÷ pramadÃ ivÃdya  KalRs_3.3d
mandÃnilÃkulitacÃrutarÃgraÓÃkha÷  KalRs_3.6a
mandÃnilÃkulitanamram­dupravÃlÃ÷  KalRs_6.19b
marakatamaïibhÃsÃ vÃriïÃ bhÆ«itÃnÃm  KalRs_3.21b
malayapavanaviddha÷ kokilÃlÃparamya÷  KalRs_6.37a
mÃrgaæ samÅk«yÃtinirastanÅraæ  KalRs_4.10a
mÃlÃ÷ kadambanavakesaraketakÅbhir  KalRs_2.21a
mÃse madhau madhurakokilabh­ÇganÃdair  KalRs_6.26c
muktvÃ kadambakuÂajÃrjunasarjanÅpÃn  KalRs_3.13c
mudita iva kadambairjÃtapu«pai÷ samantÃt  KalRs_2.24a
muhurmuhur j­mbhaïatatparÃïi  KalRs_6.10b
mÆrdhno 'panÅya ghananÅlaÓiroruhÃntÃ÷  KalRs_4.16b
m­gÃÇganÃyÆthavibhÆ«itÃni  KalRs_4.8b
m­gÃ÷ pracaï¬ÃtapatÃpitÃ bh­Óaæ  KalRs_1.11a
m­gai÷ samantÃdupajÃtasÃdhvasai÷  KalRs_2.9b
m­dupavanavidhÆtÃnpu«pitÃæÓcÆtav­k«Ãn  KalRs_6.30b
m­dupavanavidhÆtair mandamandaæ caladbhi÷  KalRs_2.23b
meghÃvarodhaparimuktaÓaÓÃÇkavaktrÃ  KalRs_3.7b
yatkokila÷ punarayaæ madhurairvacobhir  KalRs_6.22c
yathÃ prado«Ã÷ ÓaÓicÃrubhÆ«aïÃ÷  KalRs_1.12d
yÃnartayaæs taruvarÃn kusumÃvanamrÃn  KalRs_3.10b
yÆnÃæ mana÷ suvadanÃnihitaæ nihanti  KalRs_6.22d
raktÃÓokavikalpitÃdharamadhur mattadvirephasvana÷  KalRs_6.36a
raktÃæÓukÃ navavadhÆriva bhÃti bhÆmi÷  KalRs_6.21d
racayati jaladaugha÷ kÃntavatkÃla e«a÷  KalRs_2.25d
racitakusumagandhi prÃyaÓo yÃnti veÓma  KalRs_3.23c
ratiÓramak«ÃmavipÃï¬uvaktrÃ÷  KalRs_4.6a
ratopabhogo navayauvanÃnÃm  KalRs_4.13d
ratnÃntare mauktikasaÇgaramya÷  KalRs_6.8c
ramya÷ prado«asamaya÷ sphuÂacandrabhÃsa÷  KalRs_6.35a
raviprabhodbhinnaÓiromaïiprabho  KalRs_1.20a
ravermayÆkhair abhitÃpito bh­Óaæ  KalRs_1.13a
ravermayÆkhairabhitÃpito bh­Óaæ  KalRs_1.17c
rÃjeva cÃmaraÓatair upavÅjyamÃna÷  KalRs_3.4d
rÃtriprajÃgaravipÃÂalanetrapadmÃ  KalRs_4.15b
rucirakanakakÃntÅn mu¤cata÷ pu«parÃÓÅn  KalRs_6.30a
lajjÃnvitaæ savinayaæ h­dayaæ k«aïena  KalRs_6.23c
lalitavalivibhaÇgairmadhyadeÓaiÓca nÃrya÷  KalRs_2.26d
vaktre«u hemÃmburuhopame«u  KalRs_6.8b
vadanavijitacandrÃ÷ kÃÓcidanyÃstaruïya÷  KalRs_3.23b
vanadvipÃnÃæ navavÃridasvanair  KalRs_2.15a
vanÃni vaindhyÃni haranti mÃnasaæ  KalRs_2.8c
vanÃntare toyamiti pradhÃvitÃ  KalRs_1.11c
vaprÃÓca pakvakalamÃv­tabhÆmibhÃgÃ÷  KalRs_3.5c
varayuvatimukhÃbhaæ paÇkajaæ j­mbhate 'dya  KalRs_3.25b
varÃÇganeva k«itirindragopakai÷  KalRs_2.5d
varÃhayÆtho viÓatÅva bhÆtalam  KalRs_1.17d
varoru kÃlaæ ÓiÓirÃhvayaæ Ó­ïu  KalRs_5.1d
vasantayoddhÃ samupÃgata÷ priye  KalRs_6.1d
vahati vigatameghaæ candratÃrÃvakÅrïam  KalRs_3.21d
vahanti var«anti nadanti bhÃnti  KalRs_2.19a
vÃkyÃni kiæcinmadirÃlasÃni  KalRs_6.13b
vÃtai÷ praphullasahakÃrak­tÃdhivÃsai÷  KalRs_6.34b
vÃpÅjalÃnÃæ maïimekhalÃnÃæ  KalRs_6.4a
vÃyur vivÃti h­dayÃni harannarÃïÃæ  KalRs_6.24c
vikacakamalavaktrÃ phullanÅlotpalÃk«Å  KalRs_3.28a
vikacanavakadambai÷ karïapÆraæ vadhÆnÃæ  KalRs_2.25c
vikacanavakusumbhasvacchasindÆrabhÃsÃ  KalRs_1.24a
vikampayaæstatkusumÃdhivÃsita÷  KalRs_2.17b
vikasitanavakÃÓaÓvetavÃso vasÃnÃ  KalRs_3.28b
vikasitanavapu«pairyÆthikÃku¬malaiÓca  KalRs_2.25b
vikÅrïavistÅrïakalÃpiÓobhitam  KalRs_2.6b
vigatakalu«amambha÷ ÓyÃnapaÇkÃ dharitrÅ  KalRs_3.22c
vigatajaladav­ndÃ digvibhÃgÃ manoj¤Ã÷  KalRs_3.22b
vidadhati bhayamuccair vÅk«yamÃïÃ vanÃntÃ÷  KalRs_1.22d
vidahyamÃna÷ pathi taptapÃæsubhi÷  KalRs_1.13b
vinipatitatu«Ãra÷ krau¤canÃdopagÅta÷  KalRs_4.19c
vini÷s­tÃlohitajihvamunmukham  KalRs_1.21b
vipattrapu«pÃæ nalinÅæ samutsukÃ  KalRs_2.14a
vipannamÅnaæ drutabhÅtasÃrasam  KalRs_1.19b
vipÃï¬utÃrÃgaïacÃrubhÆ«aïÃ  KalRs_5.4c
vipÃï¬utÃæ yÃti vilÃsinÅva  KalRs_4.11d
vipÃï¬uraæ kÅÂarajast­ïÃnvitaæ  KalRs_2.13a
vipulapulinadeÓÃæ nimnagÃæ saæviÓanti  KalRs_1.27d
vibodhyate supta ivÃdya manmatha÷  KalRs_1.8d
vibhÃti ÓukletararatnabhÆ«itÃ  KalRs_2.5c
vibhÆ«ayantÅva himÃgamaæ striya÷  KalRs_5.8d
vibhÆ«itÃnyudgatapallavair drumai÷  KalRs_2.8d
vimalakiraïacandraæ vyoma tÃrÃvicitram  KalRs_3.22d
vimucya vÃsÃæsi gurÆïi sÃmpratam  KalRs_1.7b
vilÃsavatyo manasi pravÃsinÃm  KalRs_1.12b
vilÃsinÅnÃæ stanaÓÃlinÅnÃæ  KalRs_4.2c
vilÃsinÅbhi÷ paripÅ¬itorasa÷  KalRs_5.9c
vilÅnapadma÷ prapatattu«Ãro  KalRs_4.1c
vilokya nÆnaæ bh­ÓamutsukaÓciraæ  KalRs_1.9c
vilocanendÅvaravÃribindubhir  KalRs_2.12a
vilolajihvaÓcalitÃgrakesara÷  KalRs_1.14d
vilolajihvÃdvayalÅ¬hamÃruta÷  KalRs_1.20b
vilolanetrotpalaÓobhitÃnanair  KalRs_2.9a
vivasvatÃ tÅk«ïatarÃæÓumÃlinÃ  KalRs_1.18a
vividhamadhupayÆthair ve«ÂyamÃna÷ samantÃd  KalRs_6.37c
viÓanti ÓayyÃg­hamutsukÃ÷ striya÷  KalRs_5.5d
viÓu«kakaïÂhodgatasÅkarÃmbhaso  KalRs_1.15a
vi«ÃgnisÆryÃtapatÃpita÷ phaïÅ  KalRs_1.20c
vistÃrayanparabh­tasya vacÃæsi dik«u  KalRs_6.24b
vihÃya bh­ÇgÃ÷ ÓrutihÃrinisvanÃ÷  KalRs_2.14b
v­ddhiæ prayÃtyanudinaæ pramadeva bÃlÃ  KalRs_3.7d
vyÃyanti n­tyanti samÃÓrayanti  KalRs_2.19b
vyÃlambinÅlalalitÃlakaku¤citÃk«Å  KalRs_4.17d
vyoma kvacidrajataÓaÇkham­ïÃlagaurais  KalRs_3.4a
vrajati ÓayanavÃsÃdvÃsamanyaæ hasantÅ  KalRs_5.11d
vrajatu tava nidÃgha÷ kÃminÅbhi÷ sameto  KalRs_1.28c
ÓayyÃg­haæ gurug­hÃtpraviÓanti nÃrya÷  KalRs_2.22d
Óaradi kumudasaÇgÃdvÃyavo vÃnti ÓÅtÃ  KalRs_3.22a
Óaradi taruïakÃntÃ÷ sÆcayanti pramodÃn  KalRs_3.24d
Óarabhakulamajihmaæ proddharatyambu kÆpÃt  KalRs_1.23d
ÓaÓÃÇkabhÃbhi÷ ÓiÓirÅk­tÃ÷ puna÷  KalRs_5.4b
ÓaÓÃÇkabhÃsÃæ pramadÃjanÃnÃm  KalRs_6.4b
Óirasi bakulamÃlÃæ mÃlatÅbhi÷ sametÃæ  KalRs_2.25a
ÓirÃæsi kÃlÃgurudhÆpitÃni  KalRs_4.5c
Óiroruhai÷ ÓroïitaÂÃvalambibhi÷  KalRs_2.18a
Óiroruhai÷ snÃnaka«ÃyavÃsitai÷  KalRs_1.4c
ÓiÓirasamaya e«a Óreyase vo 'stu nityam  KalRs_5.16d
ÓuklÅk­tÃnyupavanÃni ca mÃlatÅbhi÷  KalRs_3.2d
Óucau niÓÅthe 'nubhavanti kÃmina÷  KalRs_1.3d
Óucau priye yÃnti janasya sevyatÃm  KalRs_1.2d
Óete jana÷ kÃmarasÃnuviddha÷  KalRs_4.12d
ÓephÃlikÃkusumagandhamanoharÃïi  KalRs_3.14a
ÓaileyajÃlapariïaddhaÓilÃtalÃntÃn  KalRs_6.27c
ÓobhÃæ parÃæ kurabakadrumama¤jarÅïÃm  KalRs_6.20b
ÓyÃmÃ latÃ÷ kusumabhÃranatapravÃlÃ÷  KalRs_3.18a
ÓravaïataÂani«aktai÷ pÃÂalopÃntanetrai÷  KalRs_5.13b
Óriya iva g­hamadhye saæsthitÃ yo«ito 'dya  KalRs_5.13d
ÓriyamatiÓayarÆpÃæ vyoma toyÃÓayÃnÃæ  KalRs_3.21c
ÓrutvÃ dhvaniæ jalamucÃæ tvaritaæ prado«e  KalRs_2.22c
ÓroïÅtaÂaæ suvipulaæ rasanÃkalÃpai÷  KalRs_3.20b
Órotrapriyairmadhukarasya ca gÅtanÃdai÷  KalRs_6.34d
Óvasanmuhur dÆravidÃritÃnana÷  KalRs_1.14b
Óvasiti vihagavarga÷ ÓÅrïaparïadrumastha÷  KalRs_1.23a
sacandanÃmbuvyajanodbhavÃnilai÷  KalRs_1.8a
sadÃ manoj¤aæ svanadutsavotsukaæ  KalRs_2.6a
sadÃvagÃhak«atavÃrisaæcaya÷  KalRs_1.1b
sadyo vasantasamayena samÃciteyaæ  KalRs_6.21c
sapaÇkatoyÃt saraso 'bhitÃpita÷  KalRs_1.18b
sapattralekhÃni mukhÃmbujÃni  KalRs_4.5b
sapattralekhe«u vilÃsinÅnÃæ  KalRs_6.8a
sapallavÃ÷ pu«pacayaæ dadhÃnÃ÷  KalRs_6.18b
saptacchadÃnupagatÃ kusumodgamaÓrÅ÷  KalRs_3.13d
saptacchadai÷ kusumabhÃranatairvanÃntÃ÷  KalRs_3.2c
saphenalÃlÃv­tavaktrasampuÂaæ  KalRs_1.21a
sabhadramustaæ pariÓu«kakardamaæ  KalRs_1.17a
sabh­ÇgayÆthair madavÃribhiÓ citÃ÷  KalRs_2.15d
samadamadhukarÃïÃæ kokilÃnÃæ ca nÃdai÷  KalRs_6.29a
samÃgato rÃjavad uddhatadyutir  KalRs_2.1c
samÃcitaæ vyoma ghanai÷ samantata÷  KalRs_2.2d
samÃcitÃ protthitakandalÅdalai÷  KalRs_2.5b
samÃcitÃ saikatinÅ vanasthalÅ  KalRs_2.9c
samÃcitÃ÷ prasravaïai÷ samantata÷  KalRs_2.16b
samÅpavarti«vadhunÃ priye«u  KalRs_6.9c
samÅraïa÷ kaæ na karoti sotsukam  KalRs_2.17d
samutsukatvaæ janayanti bhÆdharÃ÷  KalRs_2.16d
samutsukatvaæ prakaroti cetasa÷  KalRs_2.9d
samutsukÃ eva bhavanti nÃrya÷  KalRs_6.9d
samudgatasvedacitÃÇgasaædhayo  KalRs_1.7a
samuddh­tÃÓe«am­ïÃlajÃlakaæ  KalRs_1.19a
samupajanitatÃpaæ hlÃdayantÅva vindhyam  KalRs_2.28d
sampannaÓÃlinicayÃv­tabhÆtalÃni  KalRs_3.16a
samprÃptahar«ÃbhyudayÃs taruïya÷  KalRs_4.6b
sara÷ khanann Ãyatapot­maï¬alai÷  KalRs_1.17b
sarÃgakauÓeyakabhÆ«itorava÷  KalRs_5.8b
sarÃæsi cetÃæsi haranti puæsÃm  KalRs_4.9d
sarvatra kiæÓukavanai÷ kusumÃvanamrai÷  KalRs_6.21b
sarvaæ priye cÃrutaraæ vasante  KalRs_6.2d
sarvaæ rasÃyanamidaæ kusumÃyudhasya  KalRs_6.35d
savallakÅkÃkaligÅtanisvanair  KalRs_1.8c
saviturudayakÃle bhÆ«ayantyÃnanÃni  KalRs_5.15d
savibhramai÷ sasmitajihmavÅk«itair  KalRs_1.12a
savepathÆn sÃdhvasaluptacetasa÷  KalRs_5.6b
sasaæbhramÃliÇganacumbanÃkulaæ  KalRs_2.6c
sasÃdhvasairbhekakulair nirÅk«itaæ  KalRs_2.13c
sasÅkarÃmbhodharamattaku¤jaras  KalRs_2.1a
sasÅkarÃmbhodharasaÇgaÓÅtala÷  KalRs_2.17c
sahÃraya«Âistanamaï¬alÃrpaïai÷  KalRs_1.8b
saælak«yate pavanavegacalai÷ payodai  KalRs_3.4c
saæsÆcyate nirdayamaÇganÃnÃæ  KalRs_4.13c
saæh­«yamÃïapulakorupayodharÃntÃ  KalRs_4.18c
site«u harmye«u niÓÃsu yo«itÃæ  KalRs_1.9a
sitotpalÃbhÃmbudacumbitopalÃ÷  KalRs_2.16a
sÅmÃntarÃïi janayanti n­ïÃæ pramodam  KalRs_3.16d
sÅmÃntarÃïy utsukayanti ceta÷  KalRs_4.8d
sukhaprasuptÃni mukhÃni candramÃ÷  KalRs_1.9b
sukhasalilani«eka÷ sevyacandrÃæÓuhÃra÷  KalRs_1.28b
sukhÃ÷ prado«Ã divasÃÓca ramyÃ÷  KalRs_6.2c
sukhopasevyairnavayauvano«mabhi÷  KalRs_5.9b
sugandhikÃlÃgurudhÆpitÃni  KalRs_6.15c
sugandhini÷ÓvÃsavikampitotpalaæ  KalRs_5.10a
sutantrigÅtaæ madanasya dÅpanaæ  KalRs_1.3c
sutÅk«ïadhÃrÃpatanograsÃyakais  KalRs_2.4c
suratarasavilÃsÃ÷ satsakhÅbhi÷ sametÃ  KalRs_3.24a
suratasamayave«aæ naiÓamÃÓu prahÃya  KalRs_5.14c
surabhimadhuni«ekÃllabdhagandhaprabandha÷  KalRs_6.37b
surendracÃpaæ dadhatasta¬idguïam  KalRs_2.4b
suvÃsitaæ cÃruÓiraÓca campakai÷  KalRs_6.3b
suvÃsitaæ harmyatalaæ manoharaæ  KalRs_1.3a
suh­da iva sametÃ dvaædvabhÃvaæ vihÃya  KalRs_1.27b
sonmÃdakÃdambavibhÆ«itÃni  KalRs_4.9b
sonmÃdahaæsamithunairupaÓobhitÃni  KalRs_3.11a
sonmÃdahaæsaravanÆpuranÃdaramyÃ  KalRs_3.1b
so 'yaæ vo vitarÅtarÅtu vitanurbhadraæ vasantÃnvita÷  KalRs_6.38d
saudÃminÅ sphurati nÃdya viyatpatÃkÃ  KalRs_3.12b
stanabharanatanÃrya÷ kÃmayanti praÓÃntÃn  KalRs_6.32d
stanabharaparikhedÃnmandamandaæ vrajantya÷  KalRs_5.14b
stanaæ sahÃraæ kusumairmanoharai÷  KalRs_6.3d
stane«u gaure«u vilÃsinÅbhi÷  KalRs_6.14b
stane«u tanvaæÓukamunnatastanÃ  KalRs_1.7c
stane«u hÃrÃ÷ sitacandanÃrdrÃ  KalRs_6.7a
stanaiÓca pÃïyagrak­tÃbhilekhai÷  KalRs_4.13b
stanai÷ sahÃrÃbharaïai÷ sacandanai÷  KalRs_1.4b
stanai÷ sahÃrairvadanai÷ sasÅdhubhi÷  KalRs_2.18c
striyaÓca kÃ¤cÅmaïikuï¬alojjvalÃ  KalRs_2.20c
striya÷ sakÃmÃ÷ pavana÷ sugandhi÷  KalRs_6.2b
striya÷ sudu«ÂÃ iva jÃtivibhramÃ÷  KalRs_2.7c
striyo nidÃghaæ Óamayanti kÃminÃm  KalRs_1.4d
striyo 'parÃdhÃnsamadÃ visasmaru÷  KalRs_5.6d
striyo ratiæ saæjanayanti kÃminÃm  KalRs_2.18d
strÅïÃmanaÇgo bahudhÃ sthito 'dya  KalRs_6.12d
strÅïÃæ vihÃya vadane«u ÓaÓÃÇkalak«mÅæ  KalRs_3.27a
strÅïÃæ haranti dh­tabhÆ«aïabÃhukÃntim  KalRs_3.18b
sthitÃ nirÃÓÃ÷ pramadÃ÷ pravÃsinÃm  KalRs_2.12d
sphuÂakumudacitÃnÃæ rÃjahaæsÃÓritÃnÃæ  KalRs_3.21a
sphuÂati paÂuninÃdai÷ Óu«kavaæÓasthalÅ«u  KalRs_1.25b
sphurati kanakagaura÷ koÂare«u drumÃïÃm  KalRs_1.26b
smitadaÓanamayÆkhÃnkundapu«paprabhÃbhi÷  KalRs_6.31b
srastÃæsadeÓalalitÃkulakeÓapÃÓÃ  KalRs_4.15c
svacchapraphullakamalotpalabhÆ«itÃni  KalRs_3.11b
svapanti ÓÅtaæ paribhÆya kÃmina÷  KalRs_5.9d
svasthasthitapracuragokulaÓobhitÃni  KalRs_3.16b
svasthasthitÃï¬ajakulapratinÃditÃni  KalRs_3.14b
svedÃgamo vistaratÃmupaiti  KalRs_6.8d
haranti ceto yugapatpravÃsinÃm  KalRs_2.20d
harmyaæ prayÃti Óayituæ sukhaÓÅtalaæ ca  KalRs_6.11c
har«ÃnvitÃ viracitÃdharacÃruÓobhÃ  KalRs_4.17b
hasanti noccair daÓanÃgrabhinnÃn  KalRs_4.6c
hasitamiva vadhÆnÃæ pro«ite«u priye«u  KalRs_3.25d
hasitamiva vidhatte sÆcibhi÷ ketakÅnÃæ  KalRs_2.24c
haæsÃnupaiti madano madhurapragÅtÃn  KalRs_3.13b
haæsairjalÃni saritÃæ kumudai÷ sarÃæsi  KalRs_3.2b
haæsairjitÃ sulalitÃ gatiraÇganÃnÃm  KalRs_3.17a
haæsai÷ sasÃrasakulai÷ pratinÃditÃni  KalRs_3.16c
hÃrai÷ sacandanarasai÷ stanamaï¬alÃni  KalRs_3.20a
hutavahaparikhedÃd ÃÓu nirgatya kak«Ãd  KalRs_1.27c
hutÃgnikalpai÷ saviturgabhastibhi÷  KalRs_1.16a
hutÃÓano bhÃnumato gabhastaya÷  KalRs_5.2b
h­«ÂÃnyapu«ÂaninadÃkulasÃnudeÓÃn  KalRs_6.27b
hemantakÃla÷ samupÃgato 'yam  KalRs_4.1d

