Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
uda¬Åyata khe mukhena bibhrad  Pnc_5.35a
udadher lagnasudhÃlavÃæ Óriyam  Pnc_12.12d
udanamad atha tatk«aïÃd uda¤cat-  Pnc_7.81a
udanvatevendukalÃ pinÃkina÷  Pnc_7.73d
udapÃdi kaïvamuniÓi«yaÓÃpata÷  Pnc_10.46c
udarasthitayo÷ kutÆhalÃt  Pnc_12.45a
udarci«a÷ pu«paÓarÃsanakrudhÃ  Pnc_13.25c
udastabhÃsvatkarakÃntayÃ ÓriyÃ  Pnc_4.12c
udasthÃd utsukÃtha sÃ  Pnc_6.117b
udasya vaktrÃïi nabhasthalena  Pnc_14.3a
udaæÓulekhena mukhena kurvatÅ  Pnc_7.4c
uditakrudhas tripuradÃha¬ambare  Pnc_10.37c
uditatrapÃ iva vilÃsa-  Pnc_15.6a
uditÃni tamÃæsi sÃ ca te  Pnc_12.39a
uditÃm iva mandarÃhatÃt  Pnc_12.12c
uditÃsu kÃ¤ciguïamadhya-  Pnc_15.44a
uditena vairitimiradruhÃbhitas  Pnc_10.19a
udite hi virocane nalinyÃ  Pnc_5.2c
uditair bhaÇgurakeÓi bhÃty ada÷  Pnc_12.47b
uditya paÇktyÃ ÓramavÃrivipru«Ãæ  Pnc_4.53a
udiyÃya mÃnatimiraugha-  Pnc_15.49a
udÅrayÃm Ãsa giraæ ramÃÇgada÷  Pnc_4.48d
udÅritaivaæ kila pÃrthivena sÃ  Pnc_7.77c
udÅrya vÃcaæ virarÃma revÃ  Pnc_9.25b
udÆ«maïÃ ni÷Óvasitena kÃntiæ  Pnc_10.67c
udeti kÃntÃmaïimekhalÃnÃæ  Pnc_1.25a
udghÃÂite«v atha vilokanakautukena  Pnc_18.63a
uddaï¬ahemÃmburuhÃtapatrÃ  Pnc_14.85b
uddaï¬ahemÃmburuhÃsu khelad  Pnc_9.13a
uddÃmadugdhÃbdhitaraÇgahÃse  Pnc_1.61a
uddÃmÃjikratumakhavidher dÅk«ayÃ sa÷ k«itÅÓo  Pnc_13.70c
udbhinnamauktikanibhaÓramavÃribindur  Pnc_17.73c
udbhinnasÃndrapulaka÷  Pnc_16.47c
udbhrÆlataæ bhÆpatinÃ niyukta÷  Pnc_17.32b
udyatkrudha÷ paddhatim antakasya  Pnc_17.37b
udyadviv­ttakaraveïikayÃ n­pendau  Pnc_18.5a
udyÃnavÃpÅpayasÅva yasyÃm  Pnc_1.54c
unnamrai÷ parito mahÅæ maïig­hair uttambhayantÅm iva  Pnc_17.76b
unnidrakundasrag ivÃvabhÃti  Pnc_9.28b
unnidrasÃndrakusumaprakarÃvakÅrïa-  Pnc_18.25c
unnidrahemapadmÃni  Pnc_11.19c
unmi«anmadhulekhena  Pnc_6.5c
unmÅlati yad antar me  Pnc_6.19c
unmÅlitÃÇgavalanaÓlathamekhalÃnÃm  Pnc_18.9b
unmÅlitÃ paÓya vanÃntalekhÃ  Pnc_14.29d
unmuktaratnakavaca÷ khacareÓvareïa  Pnc_17.73b
unmÆlya saæprati surÃritama÷ samÆlaæ  Pnc_18.11c
unmocayantÅm alakÃgram etya  Pnc_9.17a
upacÃraviÓe«asaævidhÃne  Pnc_5.4c
upacÃre ÓiÓire ramÃÇgada÷  Pnc_12.4d
upajÃtakopam iva jÃhnavÅjalam  Pnc_15.30d
upayÃti yad ekadeÓasÃmyaæ  Pnc_5.7c
upayuktÃm­taspardhi-  Pnc_11.10a
uparodham imaæ na manyase ced  Pnc_5.42a
upalabdha«a¬guïavivekavartmabhi÷  Pnc_10.10b
upavana iva sambhava÷ kadÃcin  Pnc_3.28a
upavi«Âa÷ kuÓÃsane  Pnc_11.35b
upas­tyÃtha pÃÂalÃ  Pnc_6.106b
upÃgate mauktikadÃmni sÃdara÷  Pnc_4.2b
upÃgateyaæ nidhanÃgradÆtÅ  Pnc_9.38c
upÃcares taæ ca tathÃvidhÃnÃæ  Pnc_9.65c
upÃttapu«pa÷ k«itibhartur arhaïÃæ  Pnc_7.31c
upÃntaviÓrÃntapayodamaï¬alair  Pnc_13.40a
upÃyanÅk­tonnidra-  Pnc_2.12a
upÃviÓat sÃ raÓanÃmaïitvi«Ã  Pnc_4.47c
upÃviÓad vepitavÃmanastanÅ  Pnc_7.35c
upÃsp­Óat sa cÃmbhoja-  Pnc_2.85c
upÃharantÅ÷ pathi tÃd­Óo÷ pathi  Pnc_13.41b
upek«itaæ yat tridaÓair aÓaktyÃ  Pnc_9.59b
Upendra iti sa¤jaj¤e  Pnc_11.76c
upeyu«Ã kÃ¤canapadmam aæÓunÃ  Pnc_7.8c
upo¬hatÃrÃpatitÃrahÃrayor  Pnc_7.19a
upo¬hanÃnÃmaïimauktikotkarai÷  Pnc_13.36a
upo¬harÃgÃm udadhis taÂodare  Pnc_4.1c
upo¬harÃmÃmukhahemapadmÃ  Pnc_14.31b
upo¬halÃvaïyataraÇgabhaÇgayÃ  Pnc_7.2a
upo¬haÓaÓabh­llekha÷  Pnc_2.94c
upo¬hahaæsikÃ yasya  Pnc_11.49c
ubhayam ubhayena yo«itÃm  Pnc_15.65b
umÃpatiÓrÅdharayor ivaikÃ  Pnc_14.83d
uragastrÅm atah bhartur iÇgitaj¤a÷  Pnc_5.66b
uragÃïÃm adhipa÷ sa÷ ÓaÇkhapÃla÷  Pnc_5.21b
uragÃdhiparÆpapak«apÃtaæ  Pnc_5.78c
uragÃn yatra vibhÆtaya÷ Órayante  Pnc_5.19d
uragendrasutÃvibhÆ«aïaæ tan  Pnc_5.67c
urasÃ ruddhagÅrvÃïa-  Pnc_16.74a
urasÃ sa babhÃra hÃram ÅÓa÷  Pnc_5.65c
urasi jaladhatakuÇkume  Pnc_15.24b
urasi narapate÷ pataæÓ cakÃÓe  Pnc_3.62a
urasi nihitabandhujÅvam urvyÃ  Pnc_3.59c
urasÅva payodhirÃjakanyÃ  Pnc_5.56c
urvÅmakaraketunÃ  Pnc_6.24d
urvÅmarudraviniÓÃkaravahnitoya-  Pnc_18.19c
ullaÇghito yat kapinÃ payodhi÷  Pnc_1.11c
ullalÃsa sahasÃ sarasvatÅ  Pnc_8.11d
ullasatkuÂajÃcchÃccha-  Pnc_6.115a
ullasan navapayodharÃlasÃæ  Pnc_8.3a
ullÃsita÷ kuÇkumapÃæsupÆra÷  Pnc_14.16c
ullÃsi«u svarïagavÃk«apaÇkter  Pnc_1.35a
uvÃca tÃæ madhyamalokapÃla÷  Pnc_9.25d
uvÃha kaïÂhalagnaÓrÅ-  Pnc_2.8c
uvÃha mukham ujj­mbham  Pnc_6.6c
uvÃha lajjÃnatam a¤citÃlakaæ  Pnc_7.24a
uvÃha visphurannÃla-  Pnc_2.79a
u«assu yasyÃæ bhavanÃÇganebhya÷  Pnc_1.27b
u«a÷sÃkalpakeneva  Pnc_2.91c
u«ïÃ ni÷Óvasitormaya÷  Pnc_16.30d
Æce tam ity adhipati÷ phaïinÃm uda¤cat-  Pnc_18.49c
Æce ramÃÇgadenaivam  Pnc_2.52c
Æ¬hadhavalakusumÃbhir alaæ  Pnc_15.46c
Æ¬hanavalalitapatralatÃ  Pnc_15.36c
Ærdhvam etya nipatatsu bindu«u  Pnc_8.40b
ÆrdhvavÃladhir udagralocana÷  Pnc_8.54b
ÆrmitaralitamayÆkhaÓikhair  Pnc_15.9c
ÆrmidalanaÓiÓireïa balÃd  Pnc_15.3c
­ju kvacit kvÃpi an­ju pravartate  Pnc_4.19a
­ju tam atha vihÃyasÃ vrajantam  Pnc_3.42a
­junÃ aik«ata yac citraæ  Pnc_6.51a
­juvannendumukhÅ kilaik«at  Pnc_12.70b
­ju÷ prak­tyÃsi paraæ tad amba  Pnc_9.27a
­tavo 'py akhilÃ÷ sametya yatra  Pnc_5.13c
ekakuï¬alapaÂÃsitaæ tama÷  Pnc_8.47b
ekatra tena milita÷ phaïirÃjaloka÷  Pnc_18.26d
ekatra pÃrÓve ÓaÓikhaï¬anÃmÃ  Pnc_17.44a
ekam iva ratipater uditaæ  Pnc_15.52c
ekas tayor agamad ambaragÃmisainya-  Pnc_18.66a
eka÷ ke yÆyam ucyatÃm ?  Pnc_16.96d
eka÷ k«itau sÃhasikas tvam eva  Pnc_9.49a
ekÃntakÃntam asitÃgarupatrabhaÇgam  Pnc_18.35c
ekÃ mÃïikyakaÂakaæ  Pnc_16.58a
ekÃvalÅ vÃmavilocanÃ ca  Pnc_1.72d
ekena rÃjahaæsena  Pnc_6.61a
eko mahÃkÃlajaÂÃrdhacandra÷  Pnc_1.46d
eïÅd­ÓÃæ kÃnta iva prav­tta÷  Pnc_14.71c
eïÅd­ÓÃæ viacarati sma sa rÃjahaæsa÷  Pnc_18.9c
eïÅd­Óo lÃsyag­he ramante  Pnc_1.54d
etat karïotpalaæ lolam  Pnc_6.63a
etadguïÃnÃm udadher apÃæ ca  Pnc_1.10d
etad yaÓobhaÂakare kanakÃmbujaæ tal  Pnc_18.13a
etad vinidrakusumadadyuti padmagupta÷  Pnc_gp.1c
etan mayÃ ghaÂitam ujjvalakÃnti kÃvya-  Pnc_gp.2c
etayÃ sÃæprataæ brÆhi  Pnc_16.81a
etÃni kÃntai÷ pramadÃjanasya  Pnc_14.68a
etÃni paÓya cyutapu«padhÆli-  Pnc_14.73a
etÃni paÓyÃmbarata÷ patanti  Pnc_14.18c
etÃny avantÅÓvarapÃrijÃta-  Pnc_1.16a
etÃ mitho ruddhavimÃnamÃrgÃ  Pnc_14.67a
etÃ vahanti santÃpam  Pnc_2.59c
etÃÓ ca Ó­ÇgÃram ito 'ÇganÃnÃæ  Pnc_14.24c
etÃsu lÅlÃg­hadÅrghikÃsu  Pnc_9.13b
etÃsu sÅdanmaïibandhamÆla-  Pnc_14.74a
etÃ÷ karai÷ kÃ¤canapadmagaurair  Pnc_14.39a
etÃ÷ prayÃntya÷ purato vimÃnair  Pnc_14.19a
ete khalÅnak«ataÓoïitÃktÃ÷  Pnc_14.33a
ete gatik«obhavaÓÃd vadhÆnÃæ  Pnc_14.22a
ete pura÷ paÓya k­pÃïapaÂÂÃ÷  Pnc_14.13b
ete bhaÂÃs te na cirÃt-  Pnc_16.113c
ete sakundÃ÷ kabarÅkalÃpÃ÷  Pnc_14.57b
ete savibhramaæ nyaste  Pnc_6.56c
etya praïidhibhir mama  Pnc_16.80d
enÃny aÓokastabakÃruïÃni  Pnc_14.15b
ebhir ito 'py Ãlikhitair iva  Pnc_2.61b
ebhir mahÅpÃla vimÃnaratnair  Pnc_14.28a
elÃlavaÇgakaÇkola-  Pnc_11.4c
evam avadad iva dÅrghad­Óa÷  Pnc_15.2c
evam Ãkarïya lalitaæ  Pnc_16.47a
evamÃdi yad abhÆn mahÅpater  Pnc_8.57a
evam eva yad iyaæ na labhyate  Pnc_8.10c
evaæ nisargamadhureïa sudhÃrasaika-  Pnc_4.63a
evaæ pallavitoktibhi÷  Pnc_16.68b
evaæ vaca÷ smitasudhÃ-  Pnc_6.87c
evaæ sudhÃrasasam­ddhimanohareïa  Pnc_13.64a
e«a kva ca kukÆlÃgni-  Pnc_16.28c
e«a caitrotsavaÓ citre  Pnc_6.83a
e«a jÃtu na vikatthate kva cil  Pnc_8.37a
e«a te na ghaÂate manoratha÷  Pnc_8.8a
e«a d­«Âas tvayety uktÃ  Pnc_6.41a
e«a dvija÷ svastyayanaæ virÃvair  Pnc_14.65c
e«a praty uÂajaæ vakti  Pnc_11.27c
e«a vajrÃÇkuÓasyÃjau  Pnc_11.116a
e«a vighnam iha sÃhasotsave  Pnc_8.32c
e«a stabakito 'Óoka÷  Pnc_6.72c
e«Ã kamalinÅpatra-  Pnc_16.31c
e«Ã kenÃpi vastunÃ  Pnc_16.25b
e«Ã gate taæ prati vallabhasya  Pnc_14.53b
e«Ã ca suk­tair d­«ÂÃ  Pnc_11.112c
e«Ã tamÃlÃvalinÅlakÃnter  Pnc_14.31a
e«Ã purastÃrikÃntarik«Ã  Pnc_14.29b
e«Ã Óikheva dÅpasya  Pnc_16.37a
e«Ãæ dvitayam etÃbhi÷  Pnc_11.24a
`Ãtto mayai«a' iti kÃpi k­totsavÃbhÆt  Pnc_18.8b
``manasijavaravÅravaijantyÃs  Pnc_3.67a
aiÓvaryanirjitapurandaram Ãmananti  Pnc_18.50d
oghena vidyÃdharavÃhinÅnÃm  Pnc_17.5b
ka e«a rÃjeti muhu÷ kutÆhalÃd  Pnc_7.63a
kakubhas tÃrikÃ ivÃvabhÃnti  Pnc_5.10d
kak«yÃsu vÃrapramadÃ÷ skhalanti  Pnc_1.69d
kaccit kuÓalinÅ tava ?  Pnc_16.10d
kac cit tvayÃyam aj¤Ãyi  Pnc_16.86a
kaccit prÃpayya madvaca÷  Pnc_16.17b
kac cid asya pramodÃya  Pnc_6.53a
kaÂÃk«akÃnti÷ snapitÃvataæsayÃ  Pnc_7.59b
kaÂhinaÓ candanapallavÃvataæsa÷  Pnc_5.3d
kaÂhorÃtapataptasya  Pnc_2.65a
kaïikeva vighÆrïate  Pnc_16.31b
kaïotkaras tryambakalocanÃd iva  Pnc_13.25d
kaïÂakacchadmanÃpi sÃ  Pnc_2.79b
kaïÂhe kanakaÓ­ÇkhalÃ?  Pnc_2.48b
kaï¬Æyata ivÃsannaæ  Pnc_11.57c
katicid api latÃntare dadhÃnaæ  Pnc_3.57a
katicidalinipÅtadhÆpagandhÃn  Pnc_3.6a
katipayaÓilÅmukhÃnvitÃ  Pnc_15.53b
katham api dÅrghaguïena labdhasaÇga÷  Pnc_3.27b
katham api vasudhÃdhipa÷ pramodaæ  Pnc_3.51c
katham apy udaÓrup­«ataæ pade pade  Pnc_10.60c
katham ayam avadhir na muktibhÃjÃm  Pnc_3.64c
katham ayam asya mukhÃtithitvam Ãpta÷?  Pnc_3.23b
katham etÃæ pravi«ÂÃs tvaæ  Pnc_16.11a
katham ete tvayÃ tanvi  Pnc_6.69c
kathayaty alikÆjitai÷  Pnc_6.63d
kathaya priye nihitasÃndracandana-  Pnc_10.63a
kathayÃ na jalÃrdrayÃ  Pnc_16.34d
kathaæ cit prÃïanÃthasya  Pnc_16.54a
kathÃnubandhe ÓithilÅbhavaty atha  Pnc_13.17b
kathÃsudhevÃsya tato vilÃsina÷  Pnc_13.8b
kathÃsv anekÃsu mitha÷k­tÃsu  Pnc_11.120b
kadarthayantÅ daÓanacchadasya  Pnc_10.67d
kadalÅdaladattamÃruto  Pnc_12.4a
kadalÅbÃlapallavÃn  Pnc_11.11b
kadÃcit pÃÂale kaccid  Pnc_16.15a
kadÃ cid evaæ sahasopas­tya mÃæ  Pnc_13.34 >c
kadÃ cil locanÃtithyam  Pnc_2.1a
kadÃ mamedaæ timiraæ vyaraæsyati  Pnc_13.58d
kanakapiÓaÇgata¬illata÷ payoda÷  Pnc_7.81b
kanakaviÓikhayÃc¤ÃvyÃjam avyÃjakÃnta÷  Pnc_5.82b
kanakaÓilÃvipule tadaæÓupÆra÷  Pnc_3.62b
kanakasaroruhakÃntinÃ kareïa  Pnc_3.53b
kanakasnigdhamayÆkhakesaram  Pnc_12.25d
kanakÃravindakatake«u te 'sinÃ  Pnc_10.17b
kanakÃravindam aravindalocana  Pnc_10.30a
kanakÃravindam avataæsayi«yasi  Pnc_10.38d
kandarpadarpaÓamanÃya k­tÃntahartre  Pnc_18.19a
kandarpadÅpanaæ lekham  Pnc_16.19c
kandarpasÃmrÃjyadhurodvahena  Pnc_14.55b
kandarpasya trilokÅhaÂhavijayamahÃsÃhasotsÃhahetur  Pnc_15.74a
KandarpÃdhikakÃnto 'yam  Pnc_6.55c
kanyakÃsi kim idaæ ÓaÓiprabhe  Pnc_8.11a
kanyÃ tava ÓrÅ÷ Óubhalak«aïeyam  Pnc_9.37b
kanyÃ nÃmnÃ kalÃvatÅ  Pnc_6.87b
kanyÃm ahe÷ kuvalayÃÓva iva upayeme  Pnc_18.47d
kanyÃ ÓaÓiprabhÃ nÃma  Pnc_11.103c
kapaya÷ purÃ raghupater yathÃ vane  Pnc_10.35c
kapi¤jalair ita÷ paÓya  Pnc_2.60c
kapilÃbhir alaÇk­tam  Pnc_11.24b
kapiÓormimÃlam abalÃ jagÃhire  Pnc_15.8d
kapolakÃntyÃ k­tasaævibhÃga÷  Pnc_1.26b
kapolakÃlÃgurupattrakÃni  Pnc_14.20d
kapolakÃlÃgurupattravallÅ-  Pnc_1.40c
kapolata÷ kÃ¤canakuï¬alÃrci«i  Pnc_7.17b
kapoladolÃyitaratnakuï¬alam  Pnc_7.37b
kapolapatrÃvalikalpanaÓramam  Pnc_13.6b
kapolapÃlÅmaïidarpaïe«u  Pnc_14.68d
kapolaphalakadyuti  Pnc_2.66b
kapolabimbÃnuk­tiæ m­gÃÇka÷  Pnc_1.42d
kapolabimbena vi¬ambyate ÓÃÓÅ  Pnc_7.51d
kapolalÃvaïyasudhÃæ narÃdhipa÷  Pnc_7.38b
kapolavatpÃÂalakÃnti dÃ¬imam  Pnc_13.19b
kapolavellatkaladhautakuï¬ala÷  Pnc_13.29d
kapola÷ pÃïiparyaÇkÃt  Pnc_11.70c
kabandhakaïÂhocchaladasravanta÷  Pnc_17.23a
kabarÅkÃntam idaæ tavÃnanam  Pnc_12.16b
kabarÅmÃlyacumbina÷  Pnc_2.33d
kabarÅmÃlyacumbina÷  Pnc_6.69b
kabarÅlatÃbhir abalÃÓ cakÃÓire  Pnc_15.46d
kabarÅlatÃsu padam Ãdadhe smara÷  Pnc_15.68d
kamanÅye«u sa ye«u vastu«u  Pnc_12.2b
kamalaca«akopari sthitam  Pnc_15.52b
kamaladaladÅrghacak«u«Ãm  Pnc_15.59b
kamalamakarandagandhinÃ  Pnc_15.3b
kamalaraja÷kapiÓe dadarÓa hÃram  Pnc_3.52d
kamalavanasthitilolayeva lak«myÃ  Pnc_3.10d
kamalasya nilÅya niÓcalaæ  Pnc_12.45c
kamalinyÃ dh­tam ÃtapÃÓukam  Pnc_12.22b
kamaleva mukundasya  Pnc_16.109a
kamalair yatra vilÃsadÅrghikÃsu  Pnc_5.14b
kayÃ cid Ãste parivÃrayo«itÃ  Pnc_7.34b
kayÃ nu sÃraÇgad­ÓÃsi kÃrita÷  Pnc_13.6a
kayÃpi kÃsau jagadekasundarÅ  Pnc_4.57b
karaïavalanotkadorlatam  Pnc_15.13b
karapaÇkajair atha cakoracak«u«Ãm  Pnc_15.50d
karapallavaÓayyÃsu  Pnc_16.114c
karabhoru sanidrabarhiïaæ  Pnc_12.42c
karavarti ratnavalayaæ vilumpati  Pnc_10.3d
karasthitaæ sÃ jhaÂiti nyadhÃt tata÷  Pnc_7.40c
karasthitenÃvanipÃlapatriïÃ  Pnc_7.8b
karÃgracyutam Ãdade  Pnc_16.58b
karÃd anucaras tasya  Pnc_2.73a
karÃravindena mukhendubimbam  Pnc_10.65c
karÃlakolÃhalakÃtarÃïÃm  Pnc_17.52b
karÅndrakumbhasthalamauktikÃnÃm  Pnc_1.71b
karÅva cik«epa k­tÃravo 'rïava÷  Pnc_13.48d
karuïaæ kÆjati hÃ tapasvini  Pnc_12.65b
karuïÃrpitalocanaæ mitha÷  Pnc_12.23a
kare cakorÅva tu«ÃradÅdhite÷  Pnc_7.62d
kareïa ca dhanurlatÃm  Pnc_11.1d
kareïa tattatsad­Óena bibhratÅ  Pnc_7.29b
kareïa bibhranmadhumattakeralÅ-  Pnc_13.19a
kareïa muktÃvalayÃÇkitena  Pnc_14.65b
kareïa sÃsÆyam apÃsya karïata÷  Pnc_7.64a
kare tavÃdhÃsyati vatsa kaÇkaïaæ  Pnc_13.59c
karair ivordhvaæ prasaradbhir Ærmibhi÷  Pnc_13.36b
karoti karïe navakarïikÃram  Pnc_14.47c
karoti nirvÃsitanÃyake«u  Pnc_9.53c
karoti netre bhagavÃn avaimi  Pnc_9.8c
karoti vaktrÃïy amarÃÇganÃnÃm  Pnc_9.54c
karoty ekÃvalÅm iva  Pnc_16.26b
karodare pallavapÃÂalatvi«i  Pnc_4.35b
karo murÃrer iva ÓÃrÇgalÃ¤chita÷  Pnc_13.37b
karkaÓo madanajvara÷  Pnc_16.28d
karïatÃmarasam Ãdade 'tha sa  Pnc_8.25d
karïatÃlavidhutÃlipaÇktinÃ  Pnc_8.53b
karïapÆrÅk­tek«aïÃ÷  Pnc_2.16b
karïabhÆ«aïamaïiprabhÃlavais  Pnc_8.6a
karïÃvataæsapraïayÅkaroti  Pnc_9.44b
karïÃvataæsÅk­tapallavÃnÃæ  Pnc_14.70a
karïe kari«yati yadÃ navasÃhasÃÇka÷  Pnc_18.44b
karïe navaæ ketakabarham e«Ã  Pnc_14.50b
karïendÅvarayÃ d­ÓÃ  Pnc_6.33d
kartre Óubhasya bhujagÃdhipave«ÂanÃya  Pnc_18.19b
kalaÇkabhÅtyeva parityajanti  Pnc_1.61d
kalaÇkalekhÃ ÓaÓalak«manÅva  Pnc_14.66d
kalaÇkiteva tripurÃntakasya  Pnc_14.81d
kalatram ardhenduvibhÆ«aïasya vÃ ?  Pnc_4.58d
kalatram e«Ã hi vasundharÃ tava  Pnc_7.69d
kalatraæ yasya bhÆr iva  Pnc_11.86d
kaladhautakokanadakÃntam Ãnanam  Pnc_15.38d
kalayÃmi samprati kim apy atÃd­Óam  Pnc_10.27b
kalaviÇkapak«apavanena ÓÃÇkyate  Pnc_10.27d
kalahaæsakalasvanair vibuddhÃ  Pnc_5.29a
kalahaæsayÆthaninadena jÃhnavÅ  Pnc_15.2d
kalahaæsÃÇkasaikatÃ  Pnc_2.68b
kalahaæsair amum antareïa revÃ  Pnc_5.55d
kalika÷ pre«ito 'nila÷  Pnc_2.69d
kaliteva natÃÇgi lak«yate  Pnc_12.58c
KalindakanyÃmas­ïorminÅlÃæ  Pnc_9.15c
kalisaætamasaæ yena  Pnc_11.87c
kalpadrumasyeva yugÃntavÃta÷  Pnc_17.68d
kalpadrumÃdÅn atha tais tadÅya-  Pnc_1.82c
kalpayi«yati mameti ÓaÇkita÷  Pnc_8.32d
kalpaviÂapimadhuna÷ pramadÃ  Pnc_15.58c
kalpitaæ tridaÓacÃpam asya sÃ  Pnc_9.66b
kalmÃ«am ambho g­hadÅrghikÃsu  Pnc_1.40d
kavalitabÃlam­ïÃlasÆtralÅlÃm  Pnc_3.21d
kavipuÇgavoktaya ivÃÇganÃ babhu÷  Pnc_15.37d
kavimitre viÓaÓrÃma  Pnc_11.93c
kavÅndracÅrïe pathi sa¤carÃma÷  Pnc_1.7d
kas tulÃgram adhiropya jÅvitaæ  Pnc_8.42a
kastÆrikÃpattralatÃ cakÃsti  Pnc_1.28b
kastÆrilikhitÃk«aram  Pnc_16.21b
kastÆrÅpaÇkapatravyatikaraÓabalavyÃyatÃæse salÅlam  Pnc_18.68b
kas tvaæ m­ga÷ katham abhÆr iti pÃrthivena  Pnc_18.42a
kasya nÃsi bahumÃnabhÃjanam  Pnc_8.74d
kasyÃtra lobhÃya na Óuktayas tÃ  Pnc_1.15c
kaæ na pratÃrayaty e«a  Pnc_6.47c
ka÷ kumbhamuktÃphalam ÃdadÅta  Pnc_9.45d
ka÷ «o¬aÓakala÷ ÓaÓÅ  Pnc_6.25d
kÃkapak«ÃÇkamÆrdhÃna÷  Pnc_11.20a
kÃkutstham ÃhatasurÃrim ivÃnuyÃntaæ  Pnc_18.59c
kÃ cit paryaÇkam Ãlokya  Pnc_16.57a
kÃ cid itarakarasaÇghaÂitaæ  Pnc_15.43c
kÃcid urasaÓ ca payodharau  Pnc_16.54d
kÃ¤canÃdrir ivÃbabhau  Pnc_2.4d
kÃtyÃyanÅsiæha ivÃvabhÃsi  Pnc_14.8d
kÃdambaca¤cÆddh­tacakravÃkÅ-  Pnc_14.84a
kÃni nÃmÃk«arÃïi te ?  Pnc_11.46d
kÃntakÃmukavigraha÷  Pnc_2.46b
kÃntanihitanayanaæ pidadhe  Pnc_15.24c
kÃntayÃ gatam anena vartmanÃ  Pnc_8.29b
kÃntÃ tirohitÃ sÃ ca  Pnc_11.111c
kÃntÃyaÓobhaÂayutaæ k­ÓatÃm avÃptÃs  Pnc_18.59a
kÃntÃsm­tiprasabhakaïÂakitÃÇgajÃta-  Pnc_8.81c
kÃnti carmÃtipÃvanam  Pnc_2.50b
kÃntichaÂÃchuritadiktaÂa e«a devo  Pnc_18.11a
kÃntinikara iva tigmarucer  Pnc_15.48c
kÃntimatyadharanÅlavÃsasÃ  Pnc_8.68c
kÃntim udavahad amartyasarit  Pnc_15.4c
kÃntyÃnuliptÃni vilocanÃnÃm  Pnc_1.87a
kÃpi nibh­tamadhupÃvalimat  Pnc_15.38c
kÃpi smitamukhÅ kÃnte  Pnc_16.55c
KÃmadevÃk­ter ayam  Pnc_6.11b
kÃm apy avÃpad umayÃ ghaÂitasya lak«mÅæ  Pnc_13.64c
kÃm apy ÃÓramabhÆr iyam  Pnc_11.17d
kÃmam apibadaparendumukhÅ  Pnc_15.57c
kÃmasargÃdhisÆnunÃ  Pnc_11.65b
kÃmasuh­di vihita÷ praïaya÷  Pnc_15.62c
kÃmaæ durlabham evaitac  Pnc_6.88a
kÃmaæ vi«amabÃïata÷  Pnc_6.59b
kÃritÃsanaparigrahe puro  Pnc_8.79a
KÃrtavÅryÃrjuneneva  Pnc_11.65c
kÃrmuke sati Óare«u satsv api  Pnc_8.26a
kÃryata÷ sad­ÓÅ tÃsÃæ  Pnc_2.84c
kÃryÃya kÃraïanutÃya namo 'stu tubhyam  Pnc_18.20d
kÃrÓyÃgrabhÆmim ÃptÃyÃs  Pnc_16.40c
kÃlameghaÓakalÃsitatvi«a÷  Pnc_8.52b
kÃla÷ kamalalocane  Pnc_6.89b
kÃlÃ¤janaÓyÃmatayÃÓrayante  Pnc_14.13c
KÃlidÃsena vÃg iva  Pnc_2.93d
kÃlena kiyatÃpy atha  Pnc_11.15b
kÃlena saÇgrÃmasarontarÃlÃd  Pnc_17.22c
kiÇkiïÅkam akampata  Pnc_6.40d
ki¤jalkakapiÓaæ paya÷  Pnc_2.85d
kitava÷ kusumÃyudha÷  Pnc_6.47d
kim atra karavai gÃ¬ham  Pnc_6.68a
kim atra k­tyam ity anyÃ  Pnc_16.56c
kim adyÃpi vilambate  Pnc_16.102b
kim anaÇgavatÅ vakti  Pnc_16.16a
