Bhamaha: Kavyalamkara
Based on: KÃvyÃlaÇkÃra of BhÃmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akave÷ ÓÃstravedanam  Bh_1.3d
gurumarthaæ na pu«yati  Bh_2.62d
guruvaccÃnuÓÃsti na÷  Bh_2.33d
guruvÃkyÃnurodhaka÷  Bh_3.11b
gurÆpadeÓÃdadhyetuæ  Bh_1.5a
gurorlaghoÓca varïasya  Bh_4.25a
gurau sati jigÅ«uïÃ  Bh_4.48d
gÆ¬haÓabdÃbhidhÃnaæ ca  Bh_1.37c
gÆ¬haÓabdÃbhidhÃnaæ ca  Bh_1.45a
g­he«vadhvasu vÃ nÃnnaæ  Bh_3.9a
gok«ÅrakundahalinÃæ  Bh_2.61c
goÓabdaÓravaïÃdbhavet  Bh_6.19b
gau¬Åyamapi sÃdhÅyo  Bh_1.35c
gau¬Åyamidametattu  Bh_1.32a
grathitaæ rakrilagomisÆnunedam  Bh_6.64d
grahairapi gajÃdÅnÃæ  Bh_2.64a
grÃmyaæ na piï¬ÅÓÆrÃdiæ  Bh_6.25c
grÃmyÃnuprÃsamanyattu  Bh_2.6a
grÃhyagrÃhakabhedena  Bh_5.9a
ghanÃghanÃ nÅlaghanÃ ghanÃlakÃæ  Bh_2.14c
ghanÃ¤chabalayantyamÆ÷  Bh_6.44d
ghanÃn paÓya divo 'bhita÷  Bh_4.23d
cakÃra jÃnudadhnÃpÃn  Bh_4.37c
cakora iti g­hyatÃm  Bh_5.54b
cakravÃkaÓukÃdaya÷  Bh_1.42d
cakravÃko virÃjate  Bh_2.55b
cakre sÃ kÃmabÃdhinÅ  Bh_5.43d
caturdhÃ bhidyate puna÷  Bh_1.17d
caturvargÃbhidhÃne 'pi  Bh_1.21a
candrabhÃsÃ tirohitÃ÷  Bh_2.82b
candraÓcandramukhodita÷  Bh_2.8d
carmaïÃ nirmitasya ca  Bh_4.46b
calantÅæ bibh­tha k«itim  Bh_3.28d
cÃïakyo naktamupayÃnn  Bh_3.13a
cÃro÷ kÃ vÃstyalaÇk­ti÷  Bh_3.51d
citraæ yanna tavoddhati÷  Bh_2.70b
citrodÃttÃdbhutÃrthatvaæ  Bh_3.54a
cÅrÅmavatÅraraïyÃnÅ÷  Bh_2.29a
cÆtÃ÷ kÃnanaÓobhina÷  Bh_4.31d
ceta÷sammohakÃriïam  Bh_6.24b
caidyaæ ÓÃrÇgadhanuryathÃ  Bh_3.8d
cyutÃ syÃt phaïinÃmiva  Bh_2.83b
chandovaditi cotsargÃn  Bh_6.27c
chaÓinaivopamÅyate  Bh_2.44d
chÃyÃvanto gatavyÃlÃ÷  Bh_3.18a
chÃyÃÓÅtÃpi dhÆrasau  Bh_3.26b
chinnavÃntaprav­ttaya÷  Bh_1.48b
chirorcitÃæghre÷ p­thukÅrtidhi«ïya  Bh_5.63b
jaganti kusumÃyudha÷  Bh_3.24b
janako gavi gobuddher  Bh_6.17c
jano 'bhisandhiæ ka ivÃvabhotsyate  Bh_4.50d
jarÃme«a bibharmÅti  Bh_5.36c
jalabh­nmÃrutendava÷  Bh_1.42b
jahÃra h­dayaæ n­ïÃm  Bh_6.43d
jÃgaryÃ jÃgarÃ yathÃ  Bh_6.49d
jÃjvalyamÃnÃ iva vÃridhÃrÃ  Bh_2.47c
jÃtayo dÆ«aïÃbhÃsÃs  Bh_5.29a
jÃtastarurayaæ coccai÷  Bh_2.80c
jÃtÃ tvayi g­hÃgate  Bh_3.5d
jÃtiæ vyÃdhÅnÃæ durdamÃnÃmadhÅnÃæ  Bh_2.12c
jÃtyÃdyapohe v­tti÷ kva  Bh_5.7c
jÃnudaghnÅ sarinnÃrÅ-  Bh_6.55c
jÃmadagnyaæ yudhÃ jitvÃ  Bh_5.44c
jÃyate cÃrutÃ girÃm  Bh_1.36b
jÃyate tattu noditam  Bh_4.7b
jÃyate bhedavi«ayo  Bh_5.16c
jÃyate yanna kÃvyÃÇgam  Bh_5.4c
jÃyante cÃravo gira÷  Bh_2.7d
j¤eya÷ so 'rthÃntaranyÃsa÷  Bh_2.71c
j¤eyÃ nidarÓanÃ nÃma  Bh_3.33c
j¤eyÃ vibhÃvanaivÃsau  Bh_2.77c
j¤eyÃ hetvapavÃdinÅ  Bh_5.15b
jyÃyÃnÃpa kanÅyasÅm  Bh_6.54d
jvalantÅnÃæ vivasvata÷  Bh_2.48b
Âhak cÃpi tena jayatÅty  Bh_6.52c
¬itthÃdiæ pratijÃnate  Bh_6.21d
¬imbha÷ sasyÃvatÃraïÅ÷  Bh_2.94d
¬matubi«Âaæ ca kumudÃd  Bh_6.52a
ïÃvi«ÂhavaditÅ«ÂyÃ ca  Bh_6.33c
ïicprÃtipadikÃttata÷  Bh_6.33b
ta eta upamÃdo«Ã÷  Bh_2.40a
taccakÃrÃvaÓo ru«Ã  Bh_5.39d
tajj¤Ãnaæ saæÓayaæ vidu÷  Bh_4.17d
tajj¤ai÷ kÃvyaprayoge«u  Bh_5.33a
ta¬idvalayakak«yÃïÃæ  Bh_2.24a
tata eveti nÃnyata÷  Bh_5.10b
tataÓchami«ÂyÃ ca yathÃ  Bh_6.53c
tatastajjananaæ vaca÷  Bh_4.18b
tato 'rthÃditi kecana  Bh_5.6b
tatkilodÃttamucyate  Bh_3.12d
tattathaiva prayojayet  Bh_6.41b
tattadvirodhi vij¤eyaæ  Bh_4.28c
tatpuna÷ pa¤cadhocyate  Bh_1.18d
tatprÃdu«k­tamanyathÃ  Bh_5.33b
tatphalasya vibhÃvanÃ  Bh_2.77b
tatra lokÃÓrayaæ kÃvyam  Bh_5.33c
tatrÃk«epo dvidhÃ mata÷  Bh_2.67b
tatrÃpi mekhÃlÃmÃlÃ-  Bh_6.57c
tatrÃsambhavinÃrthena  Bh_2.49a
tatsamÃnaviÓe«aïa÷  Bh_2.79b
tatsahoktyupamÃhetu-  Bh_3.17c
tathÃ kraÓayatÅtyapi  Bh_6.33d
tathÃ ÂhaæÓca manÅ«ibhi÷  Bh_6.57b
tathÃpi te«Ãæ tairasti  Bh_2.64c
tathÃ bhavatu bhÆmnedaæ  Bh_1.44c
tathÃ bhramarahÃrÅta-  Bh_1.42c
tathÃvidhaæ gajacchadma  Bh_4.40c
tathaiva puruïÃbhÃri  Bh_5.36e
tathaivÃkhyÃyikÃkathe  Bh_1.18b
tadapÃrthakami«yate  Bh_4.8b
tadapetaæ yatibhra«Âam  Bh_4.24c
tadapetaæ viparyÃsÃd  Bh_4.20c
tadapohe«u ca tathÃ  Bh_5.8a
tadabhÃve ca nÃstitÃ  Bh_5.27b
tadarthasyopadarÓanÃt  Bh_3.33b
tadarthahetusiddhÃnta-  Bh_5.13a
tadÃbhastadav­ttita÷  Bh_5.26d
tadÃ ÓuklÃæÓukÃni syur  Bh_2.83c
tadÃhu÷ kalpanÃdu«Âaæ  Bh_1.52c
tadupacchandanÃyai«a  Bh_5.2c
tadekÃrthaæ pracak«ate  Bh_4.12b
tadetadÃhu÷ sauÓabdyaæ  Bh_1.15a
tadebhiraÇgairbhÆ«yante  Bh_5.66a
tadeva ca kila jyÃya÷  Bh_1.31c
tadevaikÃrthami«yate  Bh_4.15b
taddharmo 'pi na setsyati  Bh_5.15d
tadvadevÃbhidhÅyate  Bh_2.33b
tadvido nÃntarÅyÃrtha-  Bh_5.11c
tadviparyayato vÃpi  Bh_5.26c
tadvirodhakaraæ yathÃ  Bh_4.32d
tadvirodhakaraæ yathÃ  Bh_4.35d
tadvirodhak­dityÃhur  Bh_4.30c
tadvirodhi tadÃcÃra-  Bh_4.47c
tadviveko 'yamucyate  Bh_6.23d
tadv­tteÓcÃnudÃh­tau  Bh_5.23b
tannyÆnÃdhikatÃ vÃpi  Bh_4.25c
tanmÃtrÃrthapratÅtaye  Bh_5.1d
tanmÃtrÃvi«k­teryathÃ  Bh_5.58d
tanmÆlatvÃtkathÃyÃÓca  Bh_5.28c
tanvÅ ÓyÃmÃlatÃ yathÃ  Bh_2.31d
tamÃdriyeta prÃyeïa  Bh_6.29c
tamÃptaÓrÃvakÃsiddhe÷  Bh_4.22c
tamÃhu÷ Óuddhad­«ÂÃntaæ  Bh_5.58c
tamityÃhurananvayam  Bh_3.45d
tamisrÃÓ­ÇgiïÃdaya÷  Bh_6.56b
tayaiva hi tadarthasya  Bh_5.14a
tarumÃruhya sarvata÷  Bh_2.92b
tarkayettÃæ yathÃgamam  Bh_2.84d
taveva vadanaæ tava  Bh_3.46d
tavaiva nÃnyasya sutasya v­ttam  Bh_5.63d
tavaivÃgamanÃt puna÷  Bh_3.5f
tasmÃtkÆÂastha itye«Ã  Bh_6.11a
tasya cÃdhigame yatna÷  Bh_6.4a
tasya hÃrÅ stanÃbhogo  Bh_6.47a
tasya hetÆn pracak«ate  Bh_3.54d
tasyÃnyairbahudhodita÷  Bh_1.13b
tasyÃpi sudhiyÃmi«ÂÃ  Bh_5.52a
tasyÃ÷ kaiÓcinmahÃtmabhi÷  Bh_2.37b
tasyaiva k­tina÷ paÓcÃd  Bh_4.39c
taæ Óabdaæ bruvate 'pare  Bh_6.7b
tÃcchÅlyavi«ayaæ ïinim  Bh_6.46d
tÃcchÅlyÃdi«u ce«yante  Bh_6.48a
tÃmutkamanasaæ nÆnaæ  Bh_4.16a
tÃmbÆlarÃgavalayaæ  Bh_3.46a
tÃvatkilÃyamadhyÃste  Bh_1.7c
tÃsÃæ prapa¤co bahudhÃ  Bh_5.29c
tÃsÆktÃnna ca viruïaddhi kÃæÓcidarthÃn  Bh_6.63b
tÃ÷ sÃdharmyasamÃdaya÷  Bh_5.29b
ti«Âhadgu ca vahadgu ca  Bh_6.35d
ti«Âhadguprabh­tau vÃcyau  Bh_6.35a
tuÇgÃ jaladadantina÷  Bh_2.23b
tuÇgÃ jaladadantina÷  Bh_3.16b
tulyakÃryakriyÃyogÃd  Bh_3.27c
tulyakÃle kriye yatra  Bh_3.39a
tulyajÃtÃvad­«ÂatvÃt  Bh_5.54c
tulyaÓrutÅnÃæ bhinnÃnÃm  Bh_2.17a
tulyÃrthatve 'pi hi brÆyÃt  Bh_6.24c
tulyodayÃvasÃnatvÃd  Bh_3.48a
t­cÃ samasta«a«ÂhÅkaæ  Bh_6.36c
t­tÅyÃsaptamÅpak«e  Bh_6.34c
t­tÅyaikavaca÷ «a«ÂhyÃm  Bh_6.40a
tejastirayata÷ sauraæ  Bh_4.23c
tenÃsad­ÓatÃpi ca  Bh_2.39d
tenÃsambhava ucyate  Bh_2.48d
te«Ãæ kaÂataÂabhra«Âair  Bh_4.36a
trayamapyucyate yathÃ  Bh_2.52d
trayamapyuditaæ nanu  Bh_2.38b
trayÃïÃmapi ne«yate  Bh_2.57d
tridhÃ dÅpakami«yate  Bh_2.25b
tridhÃ nirdiÓyate yathÃ  Bh_2.26d
tribhirnidarÓanaiÓcedaæ  Bh_2.26c
trirÆpÃlliÇgato j¤Ãnam  Bh_5.11a
tvattejasÃ dagdhasamastaÓobhÃ  Bh_3.57c
tvadÃsyamiva paÇkajam  Bh_3.38d
tvameva naravÃhana÷  Bh_5.59d
tvameva vÅra pradyumnas  Bh_5.59c
tvamevaila÷ purÆravÃ÷  Bh_5.59b
tvayÃ bhinnaæ dvi«Ãæ balam  Bh_2.54d
tvayi vÅk«ate na labhate 'rthaniÓcayam  Bh_3.44d
tvÃæ vÅjayati suÓreïi  Bh_6.45c
dagdhÃdagdhamaraïyÃnyÃ÷  Bh_2.92c
daï¬anÅtiæ ca tÃæ vidu÷  Bh_4.38b
dadhatÅtyÃdayo 'pi ca  Bh_6.58b
dadhu«Å ka¤cukaæ stane  Bh_6.43b
dadhre yasyÃmburÃÓi÷ ÓaÓikumudasudhÃk«ÅraÓuddhÃæ sukÅrtim  Bh_5.68d
darÓanaæ cÃpare vidu÷  Bh_5.11d
darÓitaæ kila kÃrmukam  Bh_2.42b
dÃ¬imÃni daÓÃpÆpÃ÷  Bh_4.8c
dÃrubhittibhuvo 'tÅtya  Bh_6.10c
didevetyarthabÃdhinÅ  Bh_5.42d
dinÃrdhabhÃja÷ parive«iïo 'rkÃt  Bh_2.47d
diÓÃ yuktamasÃdhvapi  Bh_1.57b
diÓo 'nutkaïÂhitÃkulÃ÷  Bh_2.78b
dÅne«u padmÃnilanirmade«u  Bh_2.46b
dÅpradÅpÃ niÓÃ jaj¤e  Bh_5.51a
dunoti mama tÃæ priyÃm  Bh_2.24d
duruktamapi Óobhate  Bh_1.54b
du«karaæ sÃdhu tÃd­Óam  Bh_2.16d
du«ÂagrÃho 'mbhasÃæ pati÷  Bh_3.50d
du÷suteneva nindyate  Bh_1.11d
dÆradeÓavicÃriïa÷  Bh_1.43b
dÆrÃdhikaguïastotra-  Bh_3.31a
dÆrvÃkÃï¬amiva ÓyÃmaæ  Bh_2.31c
dÆ«aïaæ nyÆnatÃdyuktir  Bh_5.28a
d­«Âaæ jagati kÃraïam  Bh_5.31b
d­«Âaæ vÃ sarvasÃrÆpyaæ  Bh_2.45c
d­«Âiæ d­«ÂisukhÃæ dhehi  Bh_2.8c
devano ramaïo yathÃ  Bh_6.50d
devÅ samÃgamaddharma  Bh_3.6c
deÓakÃlakalÃloka-  Bh_4.2a
deÓakÃlakriyÃdibhi÷  Bh_2.30b
do«Ã÷ prÃguditÃstraya÷  Bh_5.52b
dyÆtÃyeti yudhi«Âhira÷  Bh_5.42b
dravyakriyÃjÃtiguïa-  Bh_6.21a
dvayasajdaghnacÃvi«Âau  Bh_6.55a
dvijÃtivadadhÅte 'sau  Bh_2.33c
dvidhÃ rÆpakamuddi«Âam  Bh_2.22c
dviprakÃramudÃttaæ ca  Bh_3.1c
dviradÃnÃæ catu÷ÓatÅ  Bh_1.58b
dvi«Ãæ pura÷ paÓyatu rÃjaloka÷  Bh_3.57d
dvi«o jeghnÅyi«Å«Âa va÷  Bh_1.46d
dvi÷ sandadhÃti kiæ karïa÷  Bh_3.7c
dhatte ÓobhÃmasÃdhvapi  Bh_1.55b
dhatte ÓobhÃæ viracitamidaæ sthÃnamasyaitadasya  Bh_1.59b
dharmÃrthakÃmakopÃnÃæ  Bh_5.36a
dharmÃrthakÃmamok«e«u  Bh_1.2a
dharmÃhitaviÓe«aïÃ  Bh_5.19b
dharmiïo 'syÃprasiddhatvÃt  Bh_5.15c
dharmÅ k­taviÓe«aïa÷  Bh_5.12b
dhÃtÆïÃdigaïagrÃhaæ  Bh_6.1c
dhÃtvanekÃrthatÃvaÓÃt  Bh_6.26b
dhÃvatÃæ sainyavÃhÃnÃæ  Bh_4.37a
dhÅkhedÃyaiva vistara÷  Bh_2.95b
dhÅnamityabhidhÅyate  Bh_2.42d
dhÅrantyaÓabdavi«ayÃ  Bh_4.6a
dhÅrairÃlokitaprÃntam  Bh_6.2a
dhÆmabhÃsorapi prÃptÃ  Bh_6.7c
dhÆmÃdabhraæka«ÃtsÃgne÷  Bh_5.49c
dhyÃnagrahab­hatplavam  Bh_6.1d
na kathaæcidudÃharet  Bh_6.36d
na kÃntamapi nirbhÆ«aæ  Bh_1.13c
naktaædivasagocarau  Bh_6.35b
na cÃpi cchÃndasaæ vadet  Bh_6.27d
na cÃpi samudÃyibhya÷  Bh_6.10a
na cÃpyasad­ÓÃk«arÃ÷  Bh_2.7b
na cÃbhimÃnena kimu pratÅtaye  Bh_4.50b
na cÃbhyudayabhÃktasya  Bh_1.23c
na caikasya phaladvayam  Bh_6.18b
na jyÃyÃn vistaro mudhÃ  Bh_2.38d
na ¬itthÃdimapÃrthakam  Bh_6.25d
na tad icchanti k­tino  Bh_1.53c
na tantrÃntarasÃdhitam  Bh_6.27b
[na tavargaæ ÓakÃreïa  Bh_6.60a
na tasyaiva vadhaæ brÆyÃd  Bh_1.22c
na tu yogavibhÃgajam  Bh_6.29d
na te dhirdhÅra bhoge«u  Bh_2.13a
na du«ÂÃdimapeÓalam  Bh_6.25b
na dÆ«aïÃyÃmudÃh­to vidhir  Bh_4.50a
na dolÃyeta tadyathÃ  Bh_4.18d
na nigÃdyamavadyavat  Bh_1.11b
na nitÃntÃdimÃtreïa  Bh_1.36a
nanu cÃÓmakavaæÓÃdi  Bh_1.33a
nanu sÃd­Óyamucyate  Bh_2.62b
nanÆpamÃnumaivÃstu  Bh_5.55c
nanÆpamÅyate pÃïi÷  Bh_2.56a
nanvakÃrÃdivarïÃnÃæ  Bh_6.8a
na padÃni prayu¤jate  Bh_2.1d
napuæsakaæ tatpuru«aæ  Bh_6.38c
na prayojyaæ kathaæcana  Bh_1.45b
nabha÷khaï¬amivojjhitam  Bh_2.51d
na bhu¤jate dvijÃstacca  Bh_3.9c
nama÷kusumamastÅti  Bh_6.12c
namo 'stu tebhyo vidvadbhya÷  Bh_6.15c
namo 'stu tebhyo vidvadbhyo  Bh_4.45a
na yacchati dhanaæ laghu  Bh_5.46d
nayanti nayavedina÷  Bh_4.45d
nayanti vacanÃdvinÃ  Bh_1.39d
naravÃhanadattena  Bh_4.49c
na leÓaj¤ÃpakÃk­«Âaæ  Bh_6.26c
na vaktrÃparavaktrÃbhyÃæ  Bh_1.28a
na Óabdapunaruktaæ tu  Bh_4.13a
na ÓabdÃ÷ k«aïanaÓvarÃ÷  Bh_4.6d
na Ói«Âairuktamityeva  Bh_6.27a
na sa nyÃyo na sÃ kalÃ  Bh_5.4b
na sarvasÃrÆpyamiti  Bh_2.60a
na sa vyÃpitaye«yate  Bh_1.23b
na sa Óabdo na tadvÃcyaæ  Bh_5.4a
na hanyurbahava÷ katham  Bh_4.44d
na hetvanabhidhÃnata÷  Bh_5.55d
nÃkavitvamadharmÃya  Bh_1.12a
nÃj¤ÃsÅtsa svabhÆgatam  Bh_4.40d
nÃÂakaæ dvipadÅÓamyÃ-  Bh_1.24a
nÃtivyÃkhyeyam­ddhimat  Bh_1.20d
nÃdÃdanyaÓca kathyate  Bh_6.14b
nÃnÃkhyeyamamedhasÃm  Bh_1.32d
nÃnÃdhÃtvarthagambhÅrÃ  Bh_2.19a
nÃnÃbhÃ«Ãvi«ayiïÃm  Bh_6.22a
nÃnÃratnÃdiyuktaæ yat  Bh_3.12c
nÃnÃrthavanto 'nuprÃsÃ  Bh_2.7a
nÃnyapratyayaÓabdÃ vÃg  Bh_6.5a
nÃpÃrayitvÃ durgÃdham  Bh_6.3a
nÃpratÅtÃnyathÃrthatvaæ  Bh_6.26a
nÃprayuktaæ prayu¤jÅta  Bh_6.24a
nÃbhidhÃnaæ pratÅyate  Bh_1.41d
nÃyakaæ prÃgupanyasya  Bh_1.22a
nÃyakÃbhyudayaiÓca yat  Bh_1.20b
nÃyakena tu nocyate  Bh_1.29b
nÃyakena svace«Âitam  Bh_1.26b
nÃrthavyutpattirÅd­ÓÅ  Bh_1.15b
nÃrvÃcÅnanibandhanam  Bh_5.61b
nÃlaækÃratayÃ mata÷  Bh_2.86b
nÃlugvi«ayamÃnayet  Bh_6.34d
nÃsÃæ catas­ïÃmapi  Bh_5.40d
nÃsti bhÃvasya kasyacit  Bh_2.43b
nitambadvayasaæ sara÷  Bh_6.55d
nitÃnteti yathoditam  Bh_2.5d
nityamÃse÷ prayojayet  Bh_6.50b
nityaæ cetkÃraïaæ na tat  Bh_5.31d
nindÃpraÓaæsÃcikhyÃsÃ-  Bh_2.37c
nimittato vaco yattu  Bh_2.81a
nirÃkÃÇk«aæ ca tadvÃkyam  Bh_4.4c
nirdi«Âa upameye 'rthe  Bh_2.59c
nirdek«yante yathÃkramam  Bh_2.67d
nirdeÓa÷ kriyate samam  Bh_3.16d
nirdeÓÃttrividhaæ yathÃ  Bh_3.17d
nirdeÓo 'tra kramo mata÷  Bh_4.20b
niryÃnto madayantÅme  Bh_2.23c
niÓÃk­ta÷ prak­tyaiva  Bh_3.51c
ni«peturÃsyÃdiva tasya dÅptÃ÷  Bh_2.47a
nÅpo 'viliptasurabhir  Bh_2.78c
nÅlaæ palÃÓamÃbaddham  Bh_1.54c
netre te tÃmrarÃjinÅ  Bh_2.76b
neyaæ virauti bh­ÇgÃlÅ  Bh_3.22a
neyÃrthaæ kli«ÂamanyÃrtham  Bh_1.37a
neyÃrthaæ nÅyate yukto  Bh_1.38a
naikatraikÃrabhÆyastaæ  Bh_6.61a
nyÃya÷ ÓÃstraæ trivargoktir  Bh_4.38a
nyÃyÃgamavirodhi ca  Bh_4.2b
nyÃyÃ nÃpi ca saæhati÷  Bh_6.9d
nyÃyyaæ nÃdhikatÃ bhavet  Bh_2.61b
nyÃyye vartmani ti«ÂhatÃm  Bh_4.48b
nyÃsakÃramatena vÃ  Bh_6.36b
nyÆnasyÃpi viÓi«Âena  Bh_3.27a
nyÆnaæ ne«Âaæ pratij¤ayÃ  Bh_5.28d
nyÆnaæ hetvÃdinÃtha vÃ  Bh_5.28b
pak«astasya ca nirdeÓa÷  Bh_5.12c
pa¤cabhi÷ sandhibhiryuktaæ  Bh_1.20c
pa¤carÃjÅti ca yathÃ  Bh_6.38a
pa¤cÃÓatÃ do«ad­«Âi÷  Bh_6.65c
pa¤caivÃnyairudÃh­tÃ÷  Bh_2.4d
paÂimÃ laghimÃ yathÃ  Bh_6.54b
patanaæ jÃyate 'vaÓyaæ  Bh_1.51c
patanto bÃ«pabindava÷  Bh_6.31d
pati«yantÅti kÃnumÃ  Bh_4.42d
padadvayasya sandhÃne  Bh_1.52a
padamekaæ varaæ sÃdhu  Bh_5.61a
padÃnÃmeva saæghÃta÷  Bh_4.4a
padÃrthÃpÃk­ti÷ kila  Bh_6.16d
padenaikena kathyate  Bh_3.39c
padmendubh­ÇgamÃtaÇga-  Bh_2.90a
payomucÃæ dhvanirdhÅro  Bh_2.24c
parapak«ÃnupÃdÃne  Bh_5.23a
parapratyayato yattu  Bh_6.4c
parÃnÅkÃni bhÅmÃni  Bh_2.72a
parityÃgaÓca kartavyo  Bh_5.40c
pariv­ttirasau yathÃ  Bh_3.41d
pareïa gh­tamukteva  Bh_6.5c
pare«Ãmeva bhÆtaye  Bh_3.18d
paryÃyoktaæ yadanyena  Bh_3.8a
paryÃyoktaæ samÃhitam  Bh_3.1b
paÓyatÅva vibhÃvasu÷  Bh_2.92d
pÃtÃæ va÷ ÓambhuÓarvÃïyÃv  Bh_4.27c
pÃtÃæ va÷ ÓambhuÓÃrÇgiïau  Bh_4.21d
pÃtitaÓca nabhasvatÃ  Bh_2.80d
pÃdÃbhyÃsaæ tathÃvalÅ  Bh_2.9b
pÃdo jayati siddhastrÅ-  Bh_3.36c
pÃrÃyaïarasÃtalam  Bh_6.1b
pÃrthÃya punarÃgata÷  Bh_3.7b
pÃsyÃmyasyÃs­gÃhave  Bh_5.39b
pitu÷ priyÃya yÃæ bhÅ«maÓ  Bh_5.43c
pit­kramÃdhyÃsitatÃd­ÓÃsanÃ÷  Bh_2.15d
pibanti kaÂu bhe«ajam  Bh_5.3d
pu¤jÅbhÆtamiva dhvÃntam  Bh_2.51a
puï¬arÅkÃsitotpale  Bh_2.76d
punaruktamidaæ prÃhur  Bh_4.12c
punaruktaæ na tadvidu÷  Bh_4.14d
purÃ gauriti vij¤Ãnaæ  Bh_6.19a
puruhÆtasabhaæ yathÃ  Bh_6.38d
puro 'd­Óyata nÃrada÷  Bh_3.10d
pu«ïÃti nitarÃæ Óriyam  Bh_6.30d
puæsÃmÃtmaiva Óaæsati  Bh_2.72d
puæsi striyÃæ ca kvasvantam  Bh_6.42a
puæskokilakalÃpina÷  Bh_2.90b
pÆrvÃparÃrthavyÃghÃtÃt  Bh_4.9c
pÆrvÃrthÃnugato yathÃ  Bh_2.71d
pÆrve k­tayuge yathÃ  Bh_5.57d
pelavopasthitÃï¬ajÃ÷  Bh_1.49b
prakÃreïÃbhidhÅyate  Bh_3.8b
prak­tyaiva manoharÃ  Bh_6.30b
pracÃradhar«itodgÃra-  Bh_1.48c
prajÃjanaÓre«Âhavari«ÂhabhÆbh­c-  Bh_5.63a
praïamya sÃrvaæ sarvaj¤aæ  Bh_1.1a
praïÃlÅmukhapÃtinÃm  Bh_4.16d
pratij¤Ãya pituryathÃ  Bh_5.36d
pratij¤Ãya yathÃ bhÅmas  Bh_5.39c
pratij¤Ãya suyodhana÷  Bh_5.41b
pratij¤Ãhetud­«ÂÃnta-  Bh_4.2c
pratij¤Ãæ pratijÃnate  Bh_5.35d
pratij¤etyabhidhÅyate  Bh_5.12d
pratidiÇmukhamadhvana÷  Bh_4.37d
pratibimbanidarÓanam  Bh_5.55b
prativastÆpamocyate  Bh_2.34b
prati«edha ive«Âasya  Bh_2.68a
pratÅtaÓabdamojasvi  Bh_2.18a
pratÅtÃrthaæ prasÃdavat  Bh_2.3d
pratÅtirarthe«u yatas  Bh_6.7a
pratyak«abÃdhinÅ tena  Bh_5.20a
pratyak«amanumÃ ca te  Bh_5.5b
pratyak«amanumÃnaæ vÃ  Bh_6.11c
pratyak«aæ kalpanÃpo¬haæ  Bh_5.6a
pratyak«aæ tattvav­tti hi  Bh_5.8d
pratyak«Ã iva d­Óyante  Bh_3.53c
pratyekamasamarthÃnÃæ  Bh_6.9a
prathanÃduktasiddhaye  Bh_2.73b
prathamÃlÅ¬hamadhava÷  Bh_5.3c
prathitavacasa÷ santo 'bhij¤Ã÷ pramÃïamihÃpare  Bh_5.69c
pradÃya vittamarthibhya÷  Bh_3.42a
pradeÓasyÃnumÃmiva  Bh_5.49d
prabandhavi«ayaæ guïam  Bh_3.53b
pramÃïavi«ayau yathÃ  Bh_6.55b
pramÃïaæ ye 'sya niÓcitau  Bh_6.15d
pramÃïÃni na santi vÃ  Bh_5.18d
pramÃïenaiva bÃdhyate  Bh_5.20b
prayu¤jÅta dviguæ striyÃm  Bh_6.38b
prayu¤jÅtÃvyayÅbhÃvam  Bh_6.34a
prayoktuæ ye na yuktÃÓca  Bh_6.23c
prayogaæ prati sÃdhava÷  Bh_6.23b
prayogÃdyo 'nyathÃ bhavet  Bh_4.22b
prayogo na kathaæ cana  Bh_5.40b
prayogo 'syÃÓca tadyathÃ  Bh_3.55d
pravÃsinÃæ ca cetÃæsi  Bh_2.29c
prav­ttadÃnÃrdrakaÂÃ mataÇgajÃ÷  Bh_2.63b
prav­tto gauriti dhvani÷  Bh_6.19d
prasannam­ju komalam  Bh_1.34b
prasÃdaæ ca sumedhasa÷  Bh_2.1b
prasÃdi svabhidhÃnaæ ca  Bh_2.18c
