Bhamaha: Kavyalamkara
Based on: Kàvyàlaïkàra of Bhàmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akaveþ ÷àstravedanam  Bh_1.3d
jaràmeùa bibharmãti  Bh_5.36c
jalabhçnmàrutendavaþ  Bh_1.42b
jahàra hçdayaü nçõàm  Bh_6.43d
jàgaryà jàgarà yathà  Bh_6.49d
jàjvalyamànà iva vàridhàrà  Bh_2.47c
jàtayo dåùaõàbhàsàs  Bh_5.29a
jàtastarurayaü coccaiþ  Bh_2.80c
jàtà tvayi gçhàgate  Bh_3.5d
jàtiü vyàdhãnàü durdamànàmadhãnàü  Bh_2.12c
jàtyàdyapohe vçttiþ kva  Bh_5.7c
jànudaghnã sarinnàrã-  Bh_6.55c
jàmadagnyaü yudhà jitvà  Bh_5.44c
jàyate càrutà giràm  Bh_1.36b
jàyate tattu noditam  Bh_4.7b
jàyate bhedaviùayo  Bh_5.16c
jàyate yanna kàvyàïgam  Bh_5.4c
jàyante càravo giraþ  Bh_2.7d
j¤eyaþ so 'rthàntaranyàsaþ  Bh_2.71c
j¤eyà nidar÷anà nàma  Bh_3.33c
j¤eyà vibhàvanaivàsau  Bh_2.77c
j¤eyà hetvapavàdinã  Bh_5.15b
jyàyànàpa kanãyasãm  Bh_6.54d
jvalantãnàü vivasvataþ  Bh_2.48b
ñhak càpi tena jayatãty  Bh_6.52c
óitthàdiü pratijànate  Bh_6.21d
óimbhaþ sasyàvatàraõãþ  Bh_2.94d
ómatubiùñaü ca kumudàd  Bh_6.52a
õàviùñhavaditãùñyà ca  Bh_6.33c
õicpràtipadikàttataþ  Bh_6.33b
ta eta upamàdoùàþ  Bh_2.40a
taccakàràva÷o ruùà  Bh_5.39d
tajj¤ànaü saü÷ayaü viduþ  Bh_4.17d
tajj¤aiþ kàvyaprayogeùu  Bh_5.33a
taóidvalayakakùyàõàü  Bh_2.24a
tata eveti nànyataþ  Bh_5.10b
tata÷chamiùñyà ca yathà  Bh_6.53c
tatastajjananaü vacaþ  Bh_4.18b
tato 'rthàditi kecana  Bh_5.6b
tatkilodàttamucyate  Bh_3.12d
tattathaiva prayojayet  Bh_6.41b
tattadvirodhi vij¤eyaü  Bh_4.28c
tatpunaþ pa¤cadhocyate  Bh_1.18d
tatpràduùkçtamanyathà  Bh_5.33b
tatphalasya vibhàvanà  Bh_2.77b
tatra lokà÷rayaü kàvyam  Bh_5.33c
tatràkùepo dvidhà mataþ  Bh_2.67b
tatràpi mekhàlàmàlà-  Bh_6.57c
tatràsambhavinàrthena  Bh_2.49a
tatsamànavi÷eùaõaþ  Bh_2.79b
tatsahoktyupamàhetu-  Bh_3.17c
tathà kra÷ayatãtyapi  Bh_6.33d
tathà ñhaü÷ca manãùibhiþ  Bh_6.57b
tathàpi teùàü tairasti  Bh_2.64c
tathà bhavatu bhåmnedaü  Bh_1.44c
tathà bhramarahàrãta-  Bh_1.42c
tathàvidhaü gajacchadma  Bh_4.40c
tathaiva puruõàbhàri  Bh_5.36e
tathaivàkhyàyikàkathe  Bh_1.18b
tadapàrthakamiùyate  Bh_4.8b
tadapetaü yatibhraùñam  Bh_4.24c
tadapetaü viparyàsàd  Bh_4.20c
tadapoheùu ca tathà  Bh_5.8a
tadabhàve ca nàstità  Bh_5.27b
tadarthasyopadar÷anàt  Bh_3.33b
tadarthahetusiddhànta-  Bh_5.13a
tadàbhastadavçttitaþ  Bh_5.26d
tadà ÷uklàü÷ukàni syur  Bh_2.83c
tadàhuþ kalpanàduùñaü  Bh_1.52c
tadupacchandanàyaiùa  Bh_5.2c
tadekàrthaü pracakùate  Bh_4.12b
tadetadàhuþ sau÷abdyaü  Bh_1.15a
tadebhiraïgairbhåùyante  Bh_5.66a
tadeva ca kila jyàyaþ  Bh_1.31c
tadevaikàrthamiùyate  Bh_4.15b
taddharmo 'pi na setsyati  Bh_5.15d
tadvadevàbhidhãyate  Bh_2.33b
tadvido nàntarãyàrtha-  Bh_5.11c
tadviparyayato vàpi  Bh_5.26c
tadvirodhakaraü yathà  Bh_4.32d
tadvirodhakaraü yathà  Bh_4.35d
tadvirodhakçdityàhur  Bh_4.30c
tadvirodhi tadàcàra-  Bh_4.47c
tadviveko 'yamucyate  Bh_6.23d
tadvçtte÷cànudàhçtau  Bh_5.23b
tannyånàdhikatà vàpi  Bh_4.25c
tanmàtràrthapratãtaye  Bh_5.1d
tanmàtràviùkçteryathà  Bh_5.58d
tanmålatvàtkathàyà÷ca  Bh_5.28c
tanvã ÷yàmàlatà yathà  Bh_2.31d
tamàdriyeta pràyeõa  Bh_6.29c
tamàpta÷ràvakàsiddheþ  Bh_4.22c
tamàhuþ ÷uddhadçùñàntaü  Bh_5.58c
tamityàhurananvayam  Bh_3.45d
tamisrà÷çïgiõàdayaþ  Bh_6.56b
tayaiva hi tadarthasya  Bh_5.14a
tarumàruhya sarvataþ  Bh_2.92b
tarkayettàü yathàgamam  Bh_2.84d
taveva vadanaü tava  Bh_3.46d
tavaiva nànyasya sutasya vçttam  Bh_5.63d
tavaivàgamanàt punaþ  Bh_3.5f
tasmàtkåñastha ityeùà  Bh_6.11a
tasya càdhigame yatnaþ  Bh_6.4a
tasya hàrã stanàbhogo  Bh_6.47a
tasya hetån pracakùate  Bh_3.54d
tasyànyairbahudhoditaþ  Bh_1.13b
tasyàpi sudhiyàmiùñà  Bh_5.52a
tasyàþ kai÷cinmahàtmabhiþ  Bh_2.37b
tasyaiva kçtinaþ pa÷càd  Bh_4.39c
taü ÷abdaü bruvate 'pare  Bh_6.7b
tàcchãlyaviùayaü õinim  Bh_6.46d
tàcchãlyàdiùu ceùyante  Bh_6.48a
tàmutkamanasaü nånaü  Bh_4.16a
tàmbålaràgavalayaü  Bh_3.46a
tàvatkilàyamadhyàste  Bh_1.7c
tàsàü prapa¤co bahudhà  Bh_5.29c
tàsåktànna ca viruõaddhi kàü÷cidarthàn  Bh_6.63b
tàþ sàdharmyasamàdayaþ  Bh_5.29b
tiùñhadgu ca vahadgu ca  Bh_6.35d
tiùñhadguprabhçtau vàcyau  Bh_6.35a
tuïgà jaladadantinaþ  Bh_2.23b
tuïgà jaladadantinaþ  Bh_3.16b
tulyakàryakriyàyogàd  Bh_3.27c
tulyakàle kriye yatra  Bh_3.39a
tulyajàtàvadçùñatvàt  Bh_5.54c
tulya÷rutãnàü bhinnànàm  Bh_2.17a
tulyàrthatve 'pi hi bråyàt  Bh_6.24c
tulyodayàvasànatvàd  Bh_3.48a
tçcà samastaùaùñhãkaü  Bh_6.36c
tçtãyàsaptamãpakùe  Bh_6.34c
tçtãyaikavacaþ ùaùñhyàm  Bh_6.40a
tejastirayataþ sauraü  Bh_4.23c
tenàsadç÷atàpi ca  Bh_2.39d
tenàsambhava ucyate  Bh_2.48d
teùàü kañatañabhraùñair  Bh_4.36a
trayamapyucyate yathà  Bh_2.52d
trayamapyuditaü nanu  Bh_2.38b
trayàõàmapi neùyate  Bh_2.57d
tridhà dãpakamiùyate  Bh_2.25b
tridhà nirdi÷yate yathà  Bh_2.26d
tribhirnidar÷anai÷cedaü  Bh_2.26c
triråpàlliïgato j¤ànam  Bh_5.11a
tvattejasà dagdhasamasta÷obhà  Bh_3.57c
tvadàsyamiva païkajam  Bh_3.38d
tvameva naravàhanaþ  Bh_5.59d
tvameva vãra pradyumnas  Bh_5.59c
tvamevailaþ puråravàþ  Bh_5.59b
tvayà bhinnaü dviùàü balam  Bh_2.54d
tvayi vãkùate na labhate 'rthani÷cayam  Bh_3.44d
tvàü vãjayati su÷reõi  Bh_6.45c
dagdhàdagdhamaraõyànyàþ  Bh_2.92c
daõóanãtiü ca tàü viduþ  Bh_4.38b
dadhatãtyàdayo 'pi ca  Bh_6.58b
dadhuùã ka¤cukaü stane  Bh_6.43b
dadhre yasyàmburà÷iþ ÷a÷ikumudasudhàkùãra÷uddhàü sukãrtim  Bh_5.68d
dar÷anaü càpare viduþ  Bh_5.11d
dar÷itaü kila kàrmukam  Bh_2.42b
dàóimàni da÷àpåpàþ  Bh_4.8c
dàrubhittibhuvo 'tãtya  Bh_6.10c
didevetyarthabàdhinã  Bh_5.42d
dinàrdhabhàjaþ pariveùiõo 'rkàt  Bh_2.47d
di÷à yuktamasàdhvapi  Bh_1.57b
di÷o 'nutkaõñhitàkulàþ  Bh_2.78b
dãneùu padmànilanirmadeùu  Bh_2.46b
dãpradãpà ni÷à jaj¤e  Bh_5.51a
dunoti mama tàü priyàm  Bh_2.24d
duruktamapi ÷obhate  Bh_1.54b
duùkaraü sàdhu tàdç÷am  Bh_2.16d
duùñagràho 'mbhasàü patiþ  Bh_3.50d
duþsuteneva nindyate  Bh_1.11d
dårade÷avicàriõaþ  Bh_1.43b
dåràdhikaguõastotra-  Bh_3.31a
dårvàkàõóamiva ÷yàmaü  Bh_2.31c
dåùaõaü nyånatàdyuktir  Bh_5.28a
dçùñaü jagati kàraõam  Bh_5.31b
dçùñaü và sarvasàråpyaü  Bh_2.45c
dçùñiü dçùñisukhàü dhehi  Bh_2.8c
devano ramaõo yathà  Bh_6.50d
devã samàgamaddharma  Bh_3.6c
de÷akàlakalàloka-  Bh_4.2a
de÷akàlakriyàdibhiþ  Bh_2.30b
doùàþ pràguditàstrayaþ  Bh_5.52b
dyåtàyeti yudhiùñhiraþ  Bh_5.42b
dravyakriyàjàtiguõa-  Bh_6.21a
dvayasajdaghnacàviùñau  Bh_6.55a
dvijàtivadadhãte 'sau  Bh_2.33c
dvidhà råpakamuddiùñam  Bh_2.22c
dviprakàramudàttaü ca  Bh_3.1c
dviradànàü catuþ÷atã  Bh_1.58b
dviùàü puraþ pa÷yatu ràjalokaþ  Bh_3.57d
dviùo jeghnãyiùãùña vaþ  Bh_1.46d
dviþ sandadhàti kiü karõaþ  Bh_3.7c
dhatte ÷obhàmasàdhvapi  Bh_1.55b
dhatte ÷obhàü viracitamidaü sthànamasyaitadasya  Bh_1.59b
dharmàrthakàmakopànàü  Bh_5.36a
dharmàrthakàmamokùeùu  Bh_1.2a
dharmàhitavi÷eùaõà  Bh_5.19b
dharmiõo 'syàprasiddhatvàt  Bh_5.15c
dharmã kçtavi÷eùaõaþ  Bh_5.12b
dhàtåõàdigaõagràhaü  Bh_6.1c
dhàtvanekàrthatàva÷àt  Bh_6.26b
dhàvatàü sainyavàhànàü  Bh_4.37a
dhãkhedàyaiva vistaraþ  Bh_2.95b
dhãnamityabhidhãyate  Bh_2.42d
dhãrantya÷abdaviùayà  Bh_4.6a
dhãrairàlokitapràntam  Bh_6.2a
dhåmabhàsorapi pràptà  Bh_6.7c
dhåmàdabhraükaùàtsàgneþ  Bh_5.49c
dhyànagrahabçhatplavam  Bh_6.1d
na kathaücidudàharet  Bh_6.36d
na kàntamapi nirbhåùaü  Bh_1.13c
naktaüdivasagocarau  Bh_6.35b
na càpi cchàndasaü vadet  Bh_6.27d
na càpi samudàyibhyaþ  Bh_6.10a
na càpyasadç÷àkùaràþ  Bh_2.7b
na càbhimànena kimu pratãtaye  Bh_4.50b
na càbhyudayabhàktasya  Bh_1.23c
na caikasya phaladvayam  Bh_6.18b
na jyàyàn vistaro mudhà  Bh_2.38d
na óitthàdimapàrthakam  Bh_6.25d
na tad icchanti kçtino  Bh_1.53c
na tantràntarasàdhitam  Bh_6.27b
[na tavargaü ÷akàreõa  Bh_6.60a
na tasyaiva vadhaü bråyàd  Bh_1.22c
na tu yogavibhàgajam  Bh_6.29d
na te dhirdhãra bhogeùu  Bh_2.13a
na duùñàdimape÷alam  Bh_6.25b
na dåùaõàyàmudàhçto vidhir  Bh_4.50a
na dolàyeta tadyathà  Bh_4.18d
na nigàdyamavadyavat  Bh_1.11b
na nitàntàdimàtreõa  Bh_1.36a
nanu cà÷makavaü÷àdi  Bh_1.33a
nanu sàdç÷yamucyate  Bh_2.62b
nanåpamànumaivàstu  Bh_5.55c
nanåpamãyate pàõiþ  Bh_2.56a
nanvakàràdivarõànàü  Bh_6.8a
na padàni prayu¤jate  Bh_2.1d
napuüsakaü tatpuruùaü  Bh_6.38c
na prayojyaü kathaücana  Bh_1.45b
nabhaþkhaõóamivojjhitam  Bh_2.51d
na bhu¤jate dvijàstacca  Bh_3.9c
namaþkusumamastãti  Bh_6.12c
namo 'stu tebhyo vidvadbhyaþ  Bh_6.15c
namo 'stu tebhyo vidvadbhyo  Bh_4.45a
na yacchati dhanaü laghu  Bh_5.46d
nayanti nayavedinaþ  Bh_4.45d
nayanti vacanàdvinà  Bh_1.39d
naravàhanadattena  Bh_4.49c
na le÷aj¤àpakàkçùñaü  Bh_6.26c
na vaktràparavaktràbhyàü  Bh_1.28a
na ÷abdapunaruktaü tu  Bh_4.13a
na ÷abdàþ kùaõana÷varàþ  Bh_4.6d
na ÷iùñairuktamityeva  Bh_6.27a
na sa nyàyo na sà kalà  Bh_5.4b
na sarvasàråpyamiti  Bh_2.60a
na sa vyàpitayeùyate  Bh_1.23b
na sa ÷abdo na tadvàcyaü  Bh_5.4a
na hanyurbahavaþ katham  Bh_4.44d
na hetvanabhidhànataþ  Bh_5.55d
nàkavitvamadharmàya  Bh_1.12a
nàj¤àsãtsa svabhågatam  Bh_4.40d
nàñakaü dvipadã÷amyà-  Bh_1.24a
nàtivyàkhyeyamçddhimat  Bh_1.20d
nàdàdanya÷ca kathyate  Bh_6.14b
nànàkhyeyamamedhasàm  Bh_1.32d
nànàdhàtvarthagambhãrà  Bh_2.19a
nànàbhàùàviùayiõàm  Bh_6.22a
nànàratnàdiyuktaü yat  Bh_3.12c
nànàrthavanto 'nupràsà  Bh_2.7a
nànyapratyaya÷abdà vàg  Bh_6.5a
nàpàrayitvà durgàdham  Bh_6.3a
nàpratãtànyathàrthatvaü  Bh_6.26a
nàprayuktaü prayu¤jãta  Bh_6.24a
nàbhidhànaü pratãyate  Bh_1.41d
nàyakaü pràgupanyasya  Bh_1.22a
nàyakàbhyudayai÷ca yat  Bh_1.20b
nàyakena tu nocyate  Bh_1.29b
nàyakena svaceùñitam  Bh_1.26b
nàrthavyutpattirãdç÷ã  Bh_1.15b
nàrvàcãnanibandhanam  Bh_5.61b
nàlaükàratayà mataþ  Bh_2.86b
nàlugviùayamànayet  Bh_6.34d
nàsàü catasçõàmapi  Bh_5.40d
nàsti bhàvasya kasyacit  Bh_2.43b
nitambadvayasaü saraþ  Bh_6.55d
nitànteti yathoditam  Bh_2.5d
nityamàseþ prayojayet  Bh_6.50b
nityaü cetkàraõaü na tat  Bh_5.31d
nindàpra÷aüsàcikhyàsà-  Bh_2.37c
nimittato vaco yattu  Bh_2.81a
niràkàïkùaü ca tadvàkyam  Bh_4.4c
nirdiùña upameye 'rthe  Bh_2.59c
nirdekùyante yathàkramam  Bh_2.67d
nirde÷aþ kriyate samam  Bh_3.16d
nirde÷àttrividhaü yathà  Bh_3.17d
nirde÷o 'tra kramo mataþ  Bh_4.20b
niryànto madayantãme  Bh_2.23c
ni÷àkçtaþ prakçtyaiva  Bh_3.51c
niùpeturàsyàdiva tasya dãptàþ  Bh_2.47a
nãpo 'viliptasurabhir  Bh_2.78c
nãlaü palà÷amàbaddham  Bh_1.54c
netre te tàmraràjinã  Bh_2.76b
neyaü virauti bhçïgàlã  Bh_3.22a
neyàrthaü kliùñamanyàrtham  Bh_1.37a
neyàrthaü nãyate yukto  Bh_1.38a
naikatraikàrabhåyastaü  Bh_6.61a
nyàyaþ ÷àstraü trivargoktir  Bh_4.38a
nyàyàgamavirodhi ca  Bh_4.2b
nyàyà nàpi ca saühatiþ  Bh_6.9d
nyàyyaü nàdhikatà bhavet  Bh_2.61b
nyàyye vartmani tiùñhatàm  Bh_4.48b
nyàsakàramatena và  Bh_6.36b
nyånasyàpi vi÷iùñena  Bh_3.27a
nyånaü neùñaü pratij¤ayà  Bh_5.28d
nyånaü hetvàdinàtha và  Bh_5.28b
pakùastasya ca nirde÷aþ  Bh_5.12c
pa¤cabhiþ sandhibhiryuktaü  Bh_1.20c
pa¤caràjãti ca yathà  Bh_6.38a
pa¤cà÷atà doùadçùñiþ  Bh_6.65c
pa¤caivànyairudàhçtàþ  Bh_2.4d
pañimà laghimà yathà  Bh_6.54b
patanaü jàyate 'va÷yaü  Bh_1.51c
patanto bàùpabindavaþ  Bh_6.31d
patiùyantãti kànumà  Bh_4.42d
padadvayasya sandhàne  Bh_1.52a
padamekaü varaü sàdhu  Bh_5.61a
padànàmeva saüghàtaþ  Bh_4.4a
padàrthàpàkçtiþ kila  Bh_6.16d
padenaikena kathyate  Bh_3.39c
padmendubhçïgamàtaïga-  Bh_2.90a
payomucàü dhvanirdhãro  Bh_2.24c
parapakùànupàdàne  Bh_5.23a
parapratyayato yattu  Bh_6.4c
parànãkàni bhãmàni  Bh_2.72a
parityàga÷ca kartavyo  Bh_5.40c
parivçttirasau yathà  Bh_3.41d
pareõa ghçtamukteva  Bh_6.5c
pareùàmeva bhåtaye  Bh_3.18d
paryàyoktaü yadanyena  Bh_3.8a
paryàyoktaü samàhitam  Bh_3.1b
pa÷yatãva vibhàvasuþ  Bh_2.92d
pàtàü vaþ ÷ambhu÷arvàõyàv  Bh_4.27c
pàtàü vaþ ÷ambhu÷àrïgiõau  Bh_4.21d
pàtita÷ca nabhasvatà  Bh_2.80d
pàdàbhyàsaü tathàvalã  Bh_2.9b
pàdo jayati siddhastrã-  Bh_3.36c
pàràyaõarasàtalam  Bh_6.1b
pàrthàya punaràgataþ  Bh_3.7b
pàsyàmyasyàsçgàhave  Bh_5.39b
pituþ priyàya yàü bhãùma÷  Bh_5.43c
pitçkramàdhyàsitatàdç÷àsanàþ  Bh_2.15d
pibanti kañu bheùajam  Bh_5.3d
pu¤jãbhåtamiva dhvàntam  Bh_2.51a
puõóarãkàsitotpale  Bh_2.76d
punaruktamidaü pràhur  Bh_4.12c
punaruktaü na tadviduþ  Bh_4.14d
purà gauriti vij¤ànaü  Bh_6.19a
puruhåtasabhaü yathà  Bh_6.38d
puro 'dç÷yata nàradaþ  Bh_3.10d
puùõàti nitaràü ÷riyam  Bh_6.30d
puüsàmàtmaiva ÷aüsati  Bh_2.72d
puüsi striyàü ca kvasvantam  Bh_6.42a
puüskokilakalàpinaþ  Bh_2.90b
pårvàparàrthavyàghàtàt  Bh_4.9c
pårvàrthànugato yathà  Bh_2.71d
pårve kçtayuge yathà  Bh_5.57d
pelavopasthitàõóajàþ  Bh_1.49b
prakàreõàbhidhãyate  Bh_3.8b
prakçtyaiva manoharà  Bh_6.30b
pracàradharùitodgàra-  Bh_1.48c
prajàjana÷reùñhavariùñhabhåbhçc-  Bh_5.63a
praõamya sàrvaü sarvaj¤aü  Bh_1.1a
praõàlãmukhapàtinàm  Bh_4.16d
pratij¤àya pituryathà  Bh_5.36d
pratij¤àya yathà bhãmas  Bh_5.39c
pratij¤àya suyodhanaþ  Bh_5.41b
pratij¤àhetudçùñànta-  Bh_4.2c
pratij¤àü pratijànate  Bh_5.35d
pratij¤etyabhidhãyate  Bh_5.12d
pratidiïmukhamadhvanaþ  Bh_4.37d
pratibimbanidar÷anam  Bh_5.55b
prativaståpamocyate  Bh_2.34b
pratiùedha iveùñasya  Bh_2.68a
pratãta÷abdamojasvi  Bh_2.18a
pratãtàrthaü prasàdavat  Bh_2.3d
pratãtirartheùu yatas  Bh_6.7a
pratyakùabàdhinã tena  Bh_5.20a
pratyakùamanumà ca te  Bh_5.5b
pratyakùamanumànaü và  Bh_6.11c
pratyakùaü kalpanàpoóhaü  Bh_5.6a
pratyakùaü tattvavçtti hi  Bh_5.8d
pratyakùà iva dç÷yante  Bh_3.53c
pratyekamasamarthànàü  Bh_6.9a
prathanàduktasiddhaye  Bh_2.73b
prathamàlãóhamadhavaþ  Bh_5.3c
prathitavacasaþ santo 'bhij¤àþ pramàõamihàpare  Bh_5.69c
pradàya vittamarthibhyaþ  Bh_3.42a
prade÷asyànumàmiva  Bh_5.49d
prabandhaviùayaü guõam  Bh_3.53b
pramàõaviùayau yathà  Bh_6.55b
pramàõaü ye 'sya ni÷citau  Bh_6.15d
pramàõàni na santi và  Bh_5.18d
pramàõenaiva bàdhyate  Bh_5.20b
prayu¤jãta dviguü striyàm  Bh_6.38b
prayu¤jãtàvyayãbhàvam  Bh_6.34a
prayoktuü ye na yuktà÷ca  Bh_6.23c
prayogaü prati sàdhavaþ  Bh_6.23b
prayogàdyo 'nyathà bhavet  Bh_4.22b
prayogo na kathaü cana  Bh_5.40b
prayogo 'syà÷ca tadyathà  Bh_3.55d
pravàsinàü ca cetàüsi  Bh_2.29c
pravçttadànàrdrakañà mataïgajàþ  Bh_2.63b
pravçtto gauriti dhvaniþ  Bh_6.19d
prasannamçju komalam  Bh_1.34b
prasàdaü ca sumedhasaþ  Bh_2.1b
prasàdi svabhidhànaü ca  Bh_2.18c
prasiddhadharmà pratyakùa-  Bh_5.13c
prasiddhadharmeti matà  Bh_5.19c
prasiddhe dharmiõi dhvanau  Bh_5.16b
prahelikà sà hyudità  Bh_2.19c
pràgitthaü samayaþ kçtaþ  Bh_6.13d
pràyeõa durbodhatayà  Bh_5.2a
pràyopave÷àya yathà  Bh_5.41a
pràvartata nadã ghorà  Bh_4.36c
pràvçùeõyàn nabhasvataþ  Bh_4.31b
priyàmimàmutsukayanti yanti ca  Bh_2.14d
priyonmanàyate sà te  Bh_6.39c
prãõitapraõayi svàdu  Bh_3.30a
prãtiü karoti kãrtiü ca  Bh_1.2c
prema ghnanti na hi striyaþ  Bh_4.10d
preyo gçhàgataü kçùõam  Bh_3.5a
preyo rasavadårjasvi  Bh_3.1a
phalanimnai÷ca ÷àkhibhiþ  Bh_5.64b
phalabhedàdayaü dvidhà  Bh_5.22d
phalaü pa÷yata ÷àkhinàm  Bh_3.30d
phalino barhiõo yathà  Bh_6.56d
phale caikasya vaþ katham  Bh_6.18d
phullàþ surabhayantãme  Bh_4.31c
phullai÷ca kusumairanye  Bh_5.64c
phenavàri mukhàccyutam  Bh_4.37b
babhurdivãvàmalavigrahà grahàþ  Bh_2.63d
balàkàmàlabhàriõàm  Bh_2.24b
balàkàþ pa÷ya su÷reõi  Bh_6.44c
bahukusumavibhåùite sa tasthau  Bh_5.65c
bahupåraõamàkulam  Bh_5.67b
bahuvidhakçtãrdçùñvànyeùàü svayaü paritarkya ca  Bh_5.69b
bahusattvà÷rayatvàcca  Bh_3.20c
bahvalaïkàrayogataþ  Bh_3.49b
bàdhinã ceti duùyati  Bh_5.13d
bàhyamàcakùate pare  Bh_1.14b
bibharti praõayàgatàn  Bh_2.74d
bibhratsalãlaü ÷a÷ibhàsamabjam  Bh_2.41b
buddhau tu sambhavatyetad  Bh_4.5c
bruvate tàü yathoditam  Bh_3.37d
bråyànnànyatra paddhateþ  Bh_6.61d
bhaktirvà nàsti bhartari  Bh_4.41d
bhayamà÷u pramàdinàm  Bh_4.19d
bhaya÷okàbhyasåyàsu  Bh_4.14a
bharatastvaü dilãpastvaü  Bh_5.59a
bhartu÷chandànuvarttinyaþ  Bh_4.10c
bhavau ÷arvau mçóàviti  Bh_6.32d
bhàti õijvihito yathà  Bh_6.44b
bhàmahena krameõa vaþ  Bh_6.66d
bhàvikatvamiti pràhuþ  Bh_3.53a
bhàvikatvaü ca nijagur  Bh_3.4c
bhàsà bimbaphalena ca  Bh_2.56d
bhinnavçttamidaü yathà  Bh_4.25d
bhinnavçttaü visandhi ca  Bh_4.1d
bhinnaü geyamivedaü tu  Bh_1.34c
bhãmàmbhasa÷ca jaladheriti vismayo 'sau  Bh_6.62d
bhu¤jmahe yadadhãtinaþ  Bh_3.9b
bhåtàrthàpahnavàdasyàþ  Bh_3.21c
bhådharàõàmupatyakàþ  Bh_2.28d
bhåbhçtàü pãtasomànàü  Bh_4.48a
bhåyasàmupadiùñànàm  Bh_2.89a
bhåyasàrthopade÷akçt  Bh_1.21b
bhåyastvàdiha noditaþ  Bh_5.29d
bhåùaõopavanasrajaþ  Bh_5.66b
bhedaü ca vadataþ punaþ  Bh_3.43b
bhedàt te ca caturvidhàþ  Bh_6.21b
bhedàdatràbhidhãyate  Bh_2.37d
bhedàdiùñaü dvayaü tu naþ  Bh_1.15d
bhedenànena vartmanà  Bh_5.32b
bhedaiþ ÷liùñamapi tribhiþ  Bh_3.1d
bhramati bhramaramàlà kànaneùånmadàsau  Bh_4.26/a
bhràturbhràtçvyamunmathya  Bh_5.39a
matupprakaraõe jyotsnà-  Bh_6.56a
madaklinnakapolànàü  Bh_1.58a
madàndhamàtaïgavibhinnasàlà  Bh_3.57a
madiràmadapàñalam  Bh_3.38b
madena mukharà muhuþ  Bh_3.22b
mado janayati prãtiü  Bh_2.27a
madhyame pãóitarùabhaþ  Bh_4.33d
manoj¤abhãmaü vapuràpa kçùõaþ  Bh_2.58b
manovàkkàyakarmabhiþ  Bh_1.1b
mantavyàþ kàvyahetavaþ  Bh_1.9d
mantradåtaprayàõàji-  Bh_1.20a
mandàþ sàïketikànarthàn  Bh_6.14c
manyante 'ti÷ayoktiü tàm  Bh_2.81c
manyante pàramàrthikàn  Bh_6.14d
manyante sudhiyo 'pare  Bh_1.31b
manyante sudhiyo 'pare  Bh_2.6b
manyumadbhiraràtibhiþ  Bh_4.42b
mama putraþ pità mama  Bh_4.43b
mayà prakëptà khalu vàgalaïkçtiþ  Bh_2.96b
marmàõi parihçtyàsya  Bh_4.42c
malaye kandaropànta-  Bh_4.29a
malãmasamivà¤janam  Bh_1.55d
maskariõyatirohità  Bh_3.6d
mahatàü ca mahacca yat  Bh_1.19b
mahàntaþ pràjyavarùiõaþ  Bh_3.19b
mahànto guravaþ sthiràþ  Bh_3.28b
mahàsenàtmajàmiti  Bh_5.38b
màtulo bhàgineya÷ca  Bh_4.43c
màdhuryamabhivà¤chantaþ  Bh_2.1a
màdhyasthyàdbhavati na kasyacitpramàõam  Bh_6.63d
mànadaõóo rathàïginaþ  Bh_3.36b
màyànàü sutaràü matau  Bh_6.57d
màyeva bhadreti yathà  Bh_1.39a
màrgadrumà mahànta÷ca  Bh_3.18c
màrjantyadhararàgaü te  Bh_6.31c
màlàkàro racayati yathà sàdhu vij¤àya màlàü  Bh_1.59c
màlinãraü÷ukabhçtaþ  Bh_2.28a
