Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandrÃloka_mayÆkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akrama÷ k­«ïa pÆjyante  JCand_2.27c
tvanmukhaÓrÅk­te nÆnaæ  JCand_5.29c
tvanmukhaæ veda paÇkajam  JCand_5.32b
tvayi dÃtari rÃjendra  JCand_5.115c
tvaæ balair jaladhir jalai÷  JCand_3.8d
tvaæ vasan h­daye tasyÃ÷  JCand_5.113c
tvÃm anabhyarcya devatÃ÷  JCand_2.27d
dadhadÃdyam avÃcakam  JCand_2.6d
dadhÃne«v api sÃmyatÃm  JCand_5.123b
dadhÃra gaurÅ h­daye  JCand_2.44a
darÓanaæ bhÃvikacchavi÷  JCand_5.113b
daÓaty asilatÃphaïÅ  JCand_2.18d
dÃtÃ devaÓ caturbhuja÷  JCand_5.40d
digantam agamad yasya  JCand_5.59c
dÅpakaikÃvalÅyogÃn  JCand_5.88a
dÅpam uddyotayed yÃvat  JCand_5.49c
dÅpam uddyotayed yÃvat  JCand_5.50c
dÅpe nirvÃpite hy ÃsÅt  JCand_5.103c
dÅptyÃgnir bhÃti bhÃtÅndu÷  JCand_5.53c
durdhar«Ã÷ k«mÃdharÃ iva  JCand_5.68d
du«karaæ kiæ mahÃtmanÃm  JCand_5.67d
du«kramagrÃmyasandigdhÃs  JCand_2.32a
d­Óyaæ sÃd­ÓyarÆpakam  JCand_5.20b
d­«Âaæ ced vadanaæ tasyÃ÷  JCand_5.99c
d­«ÂÃntaÓ ced bhavanmÆrtis  JCand_5.56a
d­«ÂÃntas tadalaæk­ti÷  JCand_5.55b
devaæ himakarÃÇkitam  JCand_2.44b
devety Ãmantraïaæ yathÃ  JCand_1.15b
deÓÃtmaviprak­«Âasya  JCand_5.113a
dairghyÃdyutpalayoriva  JCand_8.7b
do«atvaæ vÃ nirasyati  JCand_2.41b
do«am Ãpatitaæ svÃnte  JCand_2.40a
do«am udgho«ayanti tam  JCand_2.1d
do«ÃÇkuÓam uÓanti tam  JCand_2.40d
do«Ãn ÓabdÃrthasaæbhavÃn  JCand_2.39d
do«e guïatvaæ tanute  JCand_2.41a
do«o hy anyatra varïyate  JCand_5.100b
dvayÅsajjanara¤jikÃ  JCand_5.9d
dvayor api vidheyatÃ  JCand_5.17b
dvÃtriæÓad dvÃdaÓaika÷ «aÂ  JCand_7.12a
dvitÅyas tenÃsau sukavijayadevena racite  JCand_2.45c
dvidhÃ svÃÇkuritaæ matam  JCand_7.15d
dvi«Ãæ sampadam Ãcchidya  JCand_2.24a
dve cÃnye iti «a¬vidhÃ  JCand_9.13b
dvau bhedau vÃcyam eva cet  JCand_7.3b
dvau vivak«itavÃcyasya  JCand_7.4a
dhatte candrakalÃtulÃm  JCand_2.35d
dhatte nabhastalaæ bhÃsvÃn  JCand_2.7a
dharmamÃtraæ ni«idhyate  JCand_5.25b
dharmaæ kaæcit purask­tya  JCand_10.1a
dharmo 'rtha iva pÆrïaÓrÅr  JCand_5.13c
dhÆmavattvÃd iti yathÃ  JCand_1.15a
dh­«ÂodyanmadanÃÓanÃrcir amalÃ lokatrayÅdarÓikÃ  JCand_1.1c
dhvaæsaæ hastayate ca yÃ sumanasÃm ullÃsinÅ mÃnase  JCand_1.1b
dhvÃÇk«Ã÷ santaÓ ca tanayaæ  JCand_2.37c
na ced abhimato 'nvaya÷  JCand_2.23b
nadyÃæ yÃnti patatriïa÷  JCand_2.9b
'nante pulakakaïÂakai÷  JCand_4.2b
nabha÷pu«pasrajaæ vaha  JCand_3.7d
namantam api dhÅmantaæ  JCand_5.77c
namanti santas trailokyÃd  JCand_5.81c
na mÃm aÇgada jÃnÃsi  JCand_2.15c
nayaty atyÃjyatÃmasau  JCand_2.41d
na yuddhena bhruvo÷ spande-  JCand_3.5c
nayena ÓrÅ÷ ÓriyÃ tyÃgas  JCand_5.86c
na yogÃder Ãyatanaæ  JCand_10.4a
narakaæ svargam eva vÃ  JCand_2.32d
naraæ ca kaæ samÃÓritam  JCand_10.3d
na laÇghayati kaÓcana  JCand_5.77d
navas tvaæ nÅrada÷ ko 'pi  JCand_3.9c
na viÓe«o viÓe«aïÃt  JCand_2.29b
naÓyanti paÓcÃt paÓyanti  JCand_5.96c
na saÇketaniketanam  JCand_10.4b
nÃnÃprabhedÃ niyatÃ  JCand_7.17a
nÃmna÷ satyaæ tathÃn­tam  JCand_3.6b
nÃmnÃæ nÃmnÃya i«yatÃm  JCand_5.124d
nÃyaæ sudhÃæÓu÷ kiæ tarhi  JCand_5.24c
nÃyaæ sudhÃæÓu÷ kiæ tarhi  JCand_5.25c
nÃyodhyeva purÅ priyÃ  JCand_5.63d
nÃlaÇkÃrÃntarÃïy amÅ  JCand_5.118d
nÃÓaÇkanÅyam ete«Ãæ  JCand_1.5a
nidrÃpasmÃra eva ca  JCand_6.16d
nirarthakaæ tuhÅtyÃdi  JCand_2.6a
niruktaæ syÃn nirvacanaæ  JCand_3.6a
nirdeÓena tathÃ prÃhu÷  JCand_10.2c
nirdo«Ã lak«aïavatÅ  JCand_1.7a
niryÃnti smaranÃrÃcÃ÷  JCand_5.28c
nirvÃha÷ prau¬hir aucitÅ  JCand_4.12b
nirvedaglÃniÓaÇkÃkhyÃs  JCand_6.15a
nirvedasthÃyika÷ ÓÃnta÷  JCand_6.13a
nivÃrayati yas tredhÃ  JCand_2.40c
ni«edhe cÃsphuÂe sati  JCand_5.72b
nihatÃrthaæ lohitÃdau  JCand_2.4c
nihnava÷ syÃd anekadhÃ  JCand_7.16b
ni÷saranti ÓitÃ÷ ÓarÃ÷  JCand_5.46d
nÅradhi÷ paÇkajaæ saudha÷  JCand_1.12c
'nuguïa÷ parasannidhe÷  JCand_5.105b
'nu«aktÃrthÃntarÃbhidhÃ  JCand_5.67b
nÆtanÃrthasamarthaka÷  JCand_5.38b
netrÃïy Ãsann aharmukhe  JCand_5.17d
netrÃnandÅ tu«ÃrÃæÓur  JCand_2.21c
netre karïÃntaviÓrÃnte  JCand_5.87c
nendur nÃrko 'yam aurvÃgni÷  JCand_3.4c
neyÃrthaæ lak«aïÃtyanta-  JCand_2.11a
-naiva vÅrÃ nipÃtitÃ÷  JCand_3.5d
naur artho vÃridher yathÃ  JCand_8.5b
-ntarasaækramitÃdikam  JCand_8.3b
nyasteyaæ paÓya kandarpa-  JCand_2.35a
nyÆnaæ tvatkha¬gasaæbhÆta-  JCand_2.18a
nyÆnÃbhyadhikayor mitha÷  JCand_5.93b
pak«acchedapurandara÷  JCand_5.19d
paÇkajaæ tena siddhayati  JCand_1.13b
paÇkajaæ paÓyatas tasyÃ  JCand_5.31c
paÇkajaæ vÃ sudhÃæÓur vety  JCand_5.32c
paÂo 'yaæ dagdha ityÃdau  JCand_9.7c
patatprakar«aæ hÅnÃnu-  JCand_2.20a
padam Ãhus tadeva tat  JCand_2.5b
padam ekam api kvacit  JCand_1.14d
padÃ¬hye lalitopamÃ  JCand_5.15b
padÃrthÃntaravarïanam  JCand_5.37b
pade tadaæÓe vÃkyÃæÓe  JCand_2.39a
padaikadeÓe racanÃ-  JCand_7.9c
padmarÃgÃruïaæ nÃsÃ-  JCand_5.101c
padmaæ muktvÃ gatÃ candraæ  JCand_5.92c
padmÃkarapravi«ÂÃnÃæ  JCand_5.34c
padmÃni ca mukhÃni ca  JCand_5.35d
padmÃnÅva vinidrÃïi  JCand_5.17c
padmair vairÃyate ÓaÓÅ  JCand_5.29d
parÃgair asmi dhÆsarÃ  JCand_5.109d
pariïÃmo 'nayor yasminn  JCand_5.22a
parityajyÃsphuÂakramam  JCand_7.10d
pariv­ttir vinimayo  JCand_5.93a
parisaækhyÃ ni«idhyaikam  JCand_5.94a
paru«ÃyÃæ Óa«au svata÷  JCand_6.25d
paryastÃpahnutir yatra  JCand_5.25a
paryÃyaparivartanÃt  JCand_4.8b
paryÃyaÓ ced anekatra  JCand_5.92a
paryÃyeïa dvayos tac ced  JCand_5.13a
paryÃyoktiæ pracak«ate  JCand_5.69b
paÓya nÅlotpaladvandvÃn  JCand_5.46c
paÓya lÃk«ÃrasÃsiktaæ  JCand_5.76c
paÓya saudhÃgrasaæsaktaæ  JCand_5.44c
pÃ¤cÃlikÅ ca lÃÂÅyÃ  JCand_6.22a
pÃïir e«a÷ samÃgata÷  JCand_2.20d
pÃtaglÃnyÃdibhi÷ kramÃt  JCand_6.7b
pÃlayi«yati te gotram  JCand_2.38c
pihitaæ parav­ttÃnta-  JCand_5.108a
pÅyÆ«avar«aprabhavaæ  JCand_10.5a
punaruktapratÅkÃÓaæ  JCand_5.7a
punarukta÷ sudhÃkara÷  JCand_2.31d
punaruktÃrthasannibham  JCand_5.7b
puna÷ svaguïasamprÃptir  JCand_5.102a
puæsi ÓauryÃdayo yathÃ  JCand_4.10d
pÆraïaikaprayojanam  JCand_2.6b
pÆrvÃrvÃcÅ ca rÆ¬hita÷  JCand_9.1b
p­thakkathitasÃd­Óyaæ  JCand_5.20a
paurvÃparyavyatikrame  JCand_5.42b
prak­ter bhÆ«aïaæ girÃm  JCand_4.11d
prajalpan matpade lagna÷  JCand_5.27c
pratÃpadhavaladyuti÷  JCand_2.35b
pratikÆlÃk«araæ vidu÷  JCand_2.15b
praticchandabhidÃbh­tÃm  JCand_5.119b
pratibhÃti mukhe«viva  JCand_5.123d
pratibhaiva ÓrutÃbhyÃsa-  JCand_1.6a
prativastÆpamÃ matÃ  JCand_5.54b
prati«edha÷ prasiddhÃnÃæ  JCand_3.5a
prati«edho vicÃraïÃt  JCand_5.71b
pratÅpam upamÃnasya  JCand_5.99a
pratyanÅkaæ balavata÷  JCand_5.98a
pradÅpaæ vardhayetyatra  JCand_9.7a
prabandhe ceti «o¬hÃsau  JCand_7.10a
prabandhe 'pi dvÃdaÓa syur  JCand_7.11c
prabhÃvÃdivibhÃvabhÆ÷  JCand_6.9b
prabh­tÅva mahÅbhuja÷  JCand_3.11d
prabhedair yaugikas tridhÃ  JCand_1.11b
prabhedai÷ sa punas tridhÃ  JCand_1.9d
pramukhas tv asphuÂakramÃt  JCand_7.5d
prayÃnti vyavasÃyina÷  JCand_5.66d
prayogo gamanÃdi«u  JCand_2.3d
prayojanam api dvidhÃ  JCand_9.3b
prayojanÃc ca saæbaddhaæ  JCand_9.1c
pravÃhapratimaæ vaca÷  JCand_2.12d
praÓnottaraæ krameïoktau  JCand_5.107a
praÓrayÃdisvarÆpayÃ  JCand_6.19b
prasarantaæ viÓ­Çkhalam  JCand_2.40b
prasarÃd amanoharam  JCand_2.11b
prasiddhyÃ vidyayÃ vÃpi  JCand_2.34c
prastutaæ hÅnam ucyate  JCand_5.60b
prastutÃprastutÃnÃæ ca  JCand_5.52a
prastute 'prastutasya cet  JCand_5.61b
prÃksiddhasvaguïotkar«o  JCand_5.105a
prÃcÅnÃcalacÆ¬Ãgra-  JCand_5.51e
prÃptotkaÂadhiyÃæ v­thÃ  JCand_6.27d
prÃya÷ Óabda÷ pravartate  JCand_10.1b
prÃyeïÃmÅ hy alaækÃrÃ  JCand_5.122c
prÃsÃditve yathottaram  JCand_2.20b
priye g­hÃgate prÃta÷  JCand_5.108c
prau¬hÃyÃæ ca kamÆrdhatÃ  JCand_6.24d
prau¬hoktis tadaÓaktasya  JCand_5.47a
barhÅ jahre k­Óas t­«am  JCand_6.28b
bahubhirbahudhollekhÃd  JCand_5.23a
binÃ vinayasampadam  JCand_5.60d
bibharti vasudhÃæ bhavÃn  JCand_5.52d
bÅjamÃlÃ latÃmiva  JCand_1.6d
bodhitapratibodhita÷  JCand_7.14d
brahmÃï¬aæ tvadyaÓa÷pÆra-  JCand_2.26a
brÆta kiæ sevyatÃæ candra-  JCand_2.33c
bhagnaprakramam Ãrabdha-  JCand_2.27a
bhaÇgam eti bhavaklama÷  JCand_5.78d
bhaÇgaÓle«a÷ padastomasy-  JCand_5.63a
bhadrÃyÃm iti v­ttaya÷  JCand_6.26d
bhayasthÃyÅ bhayÃnaka÷  JCand_6.10d
bhavantam athavÃ do«aæ  JCand_2.41c
bhavec chrutikaÂur varïa÷  JCand_2.2a
bhavet parikarÃÇkura÷  JCand_5.40b
bhaved arthÃntaranyaso  JCand_5.67a
bhaved Ãv­ttidÅpakam  JCand_5.53b
bhaved evam ananvaya÷  JCand_5.12d
bhÃjÃæ gumpha÷ samuccaya÷  JCand_5.96b
bhÃratÅ bhÃti gambhÅrÃ  JCand_7.1c
bhÃvaÓÃntinibandhanÃ÷  JCand_5.116b
bhÃvasya ÓÃntir udaya÷  JCand_6.20a
bhÃvÃnÃmudaya÷ sandhi÷  JCand_5.117a
bhÃvÃbhÃsÃÓ ca kÅrtitÃ÷  JCand_6.19d
bhÃvÃ÷ sÃhityavedibhi÷  JCand_6.14d
bhÃvikaæ bhÆtabhÃvyartha-  JCand_5.112a
bhÃvair garvÃdibhiryuta÷  JCand_6.9d
bhÃvair mohÃdibhir yukto  JCand_6.10c
bhÃsate janara¤jana÷  JCand_5.59b
bhinnÃ nÃtiÓayoktita÷  JCand_5.122d
bhinno 'bhinnatayÃ guïa÷  JCand_5.90b
-bhiprÃyÃ punaruktatÃ  JCand_5.4b
bhÅtayÃ mÃnavatyaiva  JCand_4.2c
bhÆtÃdikÃlabhedena  JCand_7.16a
bhÆyasÃm anukÆlake  JCand_5.120b
bhÆyasÃm ekasambandha-  JCand_5.96a
bh­Çgas tÃmarasaæ yathÃ  JCand_5.16d
bheda eva na lak«yate  JCand_5.34b
bhedakÃtiÓayoktiÓ ced  JCand_5.45a
-bhedabhinnÃ ca kutracit  JCand_9.15b
bhedavac cen na lak«yate  JCand_5.33b
bhedÃ dvÃdaÓa tad yathÃ  JCand_7.6d
bhedÃ÷ «aÂ cÃnayo÷ kramÃt  JCand_7.4d
bhedÃ÷ syur ekapa¤cÃÓat  JCand_7.12c
bhedau dvau ÓabdaÓaktijau  JCand_7.6b
bhraÓyanti ca tava dvi«a÷  JCand_5.96d
bhrÃntÃpahnutir anyasya  JCand_5.26a
maccitaæ te ÓaÓiÓriyi  JCand_2.10b
maccitte 'sti trilocana÷  JCand_5.38d
maï¬apÃdyÃ yathÃkramam  JCand_1.10d
matam etena dÆ«yate  JCand_1.5b
matir vyÃdhis tathonmÃdas  JCand_6.17c
madguïÃs trasareïava÷  JCand_1.4d
madhuraæ madhu pÅyÆ«aæ  JCand_5.90c
madhurÃyÃæ samÃkrÃntÃ  JCand_6.23a
manu«ye bhavata÷ kvÃpi hy  JCand_5.120c
manda nandÅ harÃntike  JCand_5.110d
mayÆkhastenÃsau sukavijayadevena racite  JCand_6.29c
mayÆkhastenÃsau sukavijayadevena racite  JCand_7.18c
mayÆkhastenÃsau sukavijayadevena racite  JCand_8.11c
mayÆkhastenÃsau sukavijayadevena racite  JCand_9.17c
mayÆkhas tenÃsau sukavijayadevena racite  JCand_10.7c
mastapi«ÂakaÂÅlo«Âa-  JCand_2.10c
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_1.16a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_2.45a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_3.12a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_4.13a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_5.125a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_6.29a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_7.18a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_8.11a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_9.17a
mahÃdeva÷ satrapramukhamakhavidyaikacatura÷  JCand_10.7a
mahÃdevÃÇgajanmana÷  JCand_10.6b
mÃtsaryahastani«pe«a-  JCand_6.8c
mÃdhuryavacaso vidu÷  JCand_5.8d
mÃdhuryaæ punaruktasya  JCand_4.6a
mÃnacchedÃya subhruvÃm  JCand_3.10d
mÃnasaæ mama gÃhate  JCand_8.6d
mÃnaæ mu¤ca priye kiæcil  JCand_4.9c
mÃyÃdikavibhÃvabhÆ÷  JCand_6.12b
mÃlÃdÅpakam ucyate  JCand_5.88b
mÃlÃ paraæparÃ cai«Ãæ  JCand_5.120a
mÃæ vilokya smitaæ manÃk  JCand_5.36d
mitha÷ pÆrvÃparÃrthayo÷  JCand_2.30d
mitha÷ p­thagvÃkyapadai÷  JCand_2.25a
milan malayajÃlepa  JCand_6.2c
mÅlanÃmÅlanÃd dvidhÃ  JCand_9.2b
mÅlitaæ bahusÃd­ÓyÃd  JCand_5.33a
mukhaæ candraÓriyaæ dhatte  JCand_2.42a
mukhaæ nÃlak«i subhruvÃm  JCand_5.34d
mukhaæ me gÃhate mana÷  JCand_5.31d
mukhÅcandrakirÅÂayo÷  JCand_2.33d
mukhendum avalokaya  JCand_2.38b
mukhyayÃ svÃbhidheyayÃ  JCand_10.4d
mukhyÃrthasyÃvivak«ÃyÃæ  JCand_9.1a
'mukhyenÃrthe virodhak­t  JCand_2.28b
mu¤ca mÃnaæ dinaæ prÃptaæ  JCand_5.110c
mudhÃ nindanti saæsÃraæ  JCand_3.2c
medhÃæ budha÷ sudhÃm indur  JCand_5.52c
moghÃrambhaæ stuma÷ Óambhum  JCand_2.22c
mohÃdyÃ yatra saæmatÃ÷  JCand_6.11d
mauktikaæ cel latÃæ sÆte  JCand_5.48e
mauktikaæ te 'dharaÓritam  JCand_5.101d
maunam evottaraæ dadau  JCand_5.22d
-mbaraæ tÃrÃtaraÇgitam  JCand_2.17d
mlÃyanti yadi padmÃni  JCand_5.106c
yatkÅrtir vibhramaÓrÃntÃ  JCand_5.30c
yatra syÃd upameyatÃ  JCand_5.14b
yatra syÃn na puna÷ Óatror  JCand_5.4c
yatrÃsau vetasÅ pÃntha  JCand_5.107c
yatraikasyaiva jÃg­ta÷  JCand_5.12b
yatropamÃnacitreïa  JCand_5.18a
yathÃnusÃram abhyÆhed  JCand_2.39c
yathÃprÃkprÃntakÃraïai÷  JCand_5.86b
yathÃsaækhyaæ dvidhÃrthÃÓ cet  JCand_5.91a
yathe«Âair a«ÂamÃdibhi÷  JCand_6.21b
yady anÃsthÃ manÅ«iïÃm  JCand_5.124b
yady anekÃrthasaæÓraya÷  JCand_5.64b
yadvastuno 'nyathÃ rÆpaæ  JCand_5.103a
yad vyajyamÃnaæ manasa÷  JCand_8.1a
yan nÃÓrayati sajjanam  JCand_5.100d
yamakaæ prathamÃ dhurya-  JCand_5.8c
yayÃrthaæ spa«Âam Ãca«Âe  JCand_10.1c
yayÃ vyÃptaæ jagat tasyÃæ  JCand_5.82c
yaÓa÷pu«paæ nabhastaÂam  JCand_2.18b
yasmÃd anta÷sthita÷ sarva÷  JCand_4.3a
yasminn upahato lupto  JCand_2.16a
yasmin viÓe«asÃmÃnya-  JCand_5.68a
yaæ prastÆya prakÃÓante  JCand_1.4c
ya÷ ÓatrÆn samapÆrayat  JCand_2.24b
yÃcakÃ÷ kalpaÓÃkhina÷  JCand_5.115d
yÃ dÃtu÷ saumyatÃ seyaæ  JCand_5.57c
yÃmÅti priyap­«ÂÃyÃ  JCand_5.43c
yuktÃrthatÃæ tÃæ ca vinÃ  JCand_1.14a
yuktir viÓe«asiddhiÓ ced  JCand_3.9a
yuktyÃsvÃdyalasadrasaikavasati÷ sÃhityasÃrasvata-  JCand_1.3a
yuktyaikasyÃvadhÃraïam  JCand_3.4b
yugapat kÃryakÃraïe  JCand_5.41b
yuddhyante 'tra surÃsurÃ÷  JCand_5.112d
yuvÃm eveha vikhyÃtau  JCand_3.8c
yena baddho 'mbudhir yasya  JCand_2.23c
ye «o¬aÓÃdyÃ dviguïÃs  JCand_7.11a
yair jagat prÅyate hanti  JCand_5.85c
yogÃbhÃsais tridhÃdima÷  JCand_1.10b
raktaÓ cumbati candramÃ÷  JCand_5.61d
raktaæ tvaccaraïadvayam  JCand_5.76d
ratir devÃdivi«ayÃ  JCand_6.14a
ratyÃkhyasthÃyibhÃvÃtmÃ  JCand_6.4a
ramaïaæ Óaraïaæ gatÃ  JCand_4.4d
rasabhÃvatadÃbhÃsa-  JCand_5.116a
rasabhÃvatadÃbhÃsa-  JCand_7.5c
rasavatpreyaÆrjasvi-  JCand_5.116c
rasÃdyanucite varïe  JCand_2.15a
rasÃdyÃkhyo 'sphuÂakrama÷  JCand_7.10b
raso nÃlak«i lÃk«ÃyÃÓ  JCand_5.33c
rahor dvedhÃ tu saæyoga÷  JCand_6.25c
rÃjate bhujabhÆruha÷  JCand_5.20d
rÃmasyÃnucarÃ vayam  JCand_2.23d
rÃvaïaæ raïadÃruïam  JCand_2.15d
ripuæ hatvÃ yaÓa÷ k­tvÃ  JCand_4.7c
rÆ¬hayaugikatanmiÓrai÷  JCand_1.9c
rÆpakÃtiÓayoktiÓ ced  JCand_5.46a
rÆpyaæ rÆpakamadhyagam  JCand_5.46b
rephÃkrÃntÃ vargyayaïÃ«  JCand_6.24a
re re svairiïi nirvicÃrakavite mÃsmat prakÃÓÅbhava  JCand_1.2b
ropÃt sopÃdhirÆpakam  JCand_5.19b
romÃ¤cÃdyanubhÃvo 'yaæ  JCand_6.12c
lakÃraÓ ca lasaæyukto  JCand_6.23c
lakÃro 'nyair asaæyukto  JCand_6.26a
lak«akasthaæ sphuÂaæ yatra  JCand_9.5a
lak«aïÃ sÃ tridhÃ siddha-  JCand_9.2c
lak«aïÅyasvaÓabdasya  JCand_9.2a
lak«itÃny udite candre  JCand_5.35c
lak«mÅr ullasati dvayo÷  JCand_5.11b
lak«yalak«akani«ÂhatvÃd  JCand_9.4c
lak«yalak«akavaiÓi«Âya-  JCand_9.14a
lak«yasthatvam amu«ya ca  JCand_9.5d
lak«yastham atih­dyatÃ  JCand_9.8b
lak«yÃlak«yakramÃtmakau  JCand_7.4b
laghavo ghabhadhÃ rasau  JCand_6.26b
lalanÃ rabhasaæ dhatte  JCand_6.28c
lalitÃyÃæ tathÃ Óe«Ã  JCand_6.26c
lasadghanarasÃtmanÃ  JCand_4.5b
lÃÂÃnuprÃsabhÆr bhinnÃ-  JCand_5.4a
liÇge ceyam alaÇkÃrÃ-  JCand_9.16c
liptaæ bhinnam ura÷ Óarai÷  JCand_8.4d
lÅlÃ bÃlÃkucasthale  JCand_5.45d
lÅlÃæ nÅlÃmbujanmano÷  JCand_5.15d
lekhÃ cÃrukarÃlikÃ  JCand_5.10b
locanÃntam uda¤caya  JCand_4.9d
vaktu÷ kavinibaddhasya  JCand_7.8a
vakt­syÆtaæ caturvidham  JCand_7.15b
vakt­syÆtaæ bodhayituæ  JCand_7.13a
vaktraæ kenopamÅyate  JCand_2.31b
vaktreïa bhrÃjate rÃtri÷  JCand_2.25c
vakrokti÷ Óle«akÃkubhyÃæ  JCand_5.110a
vadantÅ lak«aïÃ matÃ  JCand_9.1d
vanitÃ mama cetasi  JCand_2.36d
vayasya paÓya paÓyÃsyÃÓ  JCand_4.6c
vargasthÃ÷ pa¤camair nijai÷  JCand_6.23b
varïavÃkyapade«v api  JCand_7.9d
varïÃdyais tulyatÃtha vÃ  JCand_4.4b
varïÃv­ttir yadi dhruvÃ  JCand_5.5b
valayo 'bhavad ÆrmikÃ  JCand_5.43d
vallabhÃdivibhÃvita÷  JCand_6.4b
vastuyogena saæj¤ayÃ  JCand_10.2b
vastu vastu vyanakti tat  JCand_7.7d
vastusambandhavarïanam  JCand_5.80b
vastv anyakriyam ucyate  JCand_5.85b
vastvalaÇkÃrayor vyakter  JCand_7.6a
-vahitthÃdyai÷ samanvita÷  JCand_6.6d
vÃkyayor arthasÃmÃnye  JCand_5.54a
vÃkyaæ ca khaï¬avÃkyaæ ca  JCand_1.14c
vÃkyÃny ekÃrthaviÓrÃntÃny  JCand_1.15c
vÃkyÃrthayo÷ sad­Óayor  JCand_5.57a
vÃkyÃrthastabake tathÃ  JCand_5.121b
vÃkye vÃkyakadambake  JCand_2.39b
vÃci mÃnti na te guïÃ÷  JCand_5.82d
vÃcyavÃcakabhÃvata÷  JCand_9.9b
vÃcyÃrthÃntarakalpanam  JCand_5.110b
vÃ¤chitÃd adhikaprÃptir  JCand_5.49a
vikalpas tulyabalayor  JCand_5.95a
vik­taæ dÆraviv­tair  JCand_2.19c
vikhyÃtasyopamÃnasya  JCand_5.14a
vicitralak«aïo nyÃso  JCand_4.12a
vicitraæ cet prayatna÷ syÃd  JCand_5.81a
vicitrÃrthÃntarÃnvayÃt  JCand_3.9b
vij¤eyÃ pÆrvarÆpatÃ  JCand_5.102b
vij¤eyÃ vyabhicÃriïa÷  JCand_6.18b
vidagdhah­dayaÇgamam  JCand_4.11b
vidu÷ sphuÂaæ taÂasthatvÃd  JCand_9.3c
vidyÃ sthirataraæ dhanam  JCand_9.14d
vidyÃ h­dyÃpi sÃvadyÃ  JCand_5.60c
vidvajjanamanoramam  JCand_2.24d
vidham ÃbhÃsarÆpakam  JCand_5.21b
vinÃpy Ãdheyavarïanam  JCand_5.84b
vinÃ saæcÃribhir yuta÷  JCand_6.4d
vinoktiÓ ced vinÃ kiæcit  JCand_5.60a
vipak«an­pasadmasu  JCand_5.69d
viparÅtaphalaprada÷  JCand_5.81b
vibhaktyantaæ padaæ vÃkyaæ  JCand_1.13c
vibhaktyutpattaye yogya÷  JCand_1.9a
vibhÃti vidhumaï¬alam  JCand_5.44d
vibhÃvadyair yathÃkramam  JCand_6.6b
vibhÃvanÃ vinÃpi syÃt  JCand_5.76a
vibhÃva÷ kÃraïaæ dvidhÃ  JCand_6.1b
vibhÃvÃdyÃ yathÃkramam  JCand_6.11b
vibhÃvÃdyair yuta÷ Óoka-  JCand_6.7c
vibhÃvÃdyair vibhÃvita÷  JCand_6.3b
vibhÃvÃdyai÷ samanvita÷  JCand_6.8b
viruddhamatik­n matam  JCand_2.14b
viruddhaæ cyutasaæsk­ti  JCand_2.2d
viruddhaæ dvividhaæ matam  JCand_2.34d
viruddhÃnyonyasaægatÅ  JCand_2.37b
viruddho 'do«atÃæ gata÷  JCand_2.43d
virodhaÓ cÃturÅyuta÷  JCand_5.95b
virodhÃbhÃsatÃ matÃ  JCand_5.74b
virodho 'nupapattiÓ ced  JCand_5.73a
viveÓa svarganimnagÃm  JCand_5.30d
viÓanti viÓikhaprÃyÃ÷  JCand_2.13c
viÓanti h­dayaæ kÃntÃ-  JCand_2.29c
viÓann api raver madhyaæ  JCand_5.104c
