Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandràloka_mayåkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akramaş kçùõa påjyante  JCand_2.27c
dhvàïkùàş santa÷ ca tanayaü  JCand_2.37c
na ced abhimato 'nvayaş  JCand_2.23b
nadyàü yànti patatriõaş  JCand_2.9b
'nante pulakakaõñakaiş  JCand_4.2b
nabhaşpuùpasrajaü vaha  JCand_3.7d
namantam api dhãmantaü  JCand_5.77c
namanti santas trailokyàd  JCand_5.81c
na màm aïgada jànàsi  JCand_2.15c
nayaty atyàjyatàmasau  JCand_2.41d
na yuddhena bhruvoş spande-  JCand_3.5c
nayena ÷rãş ÷riyà tyàgas  JCand_5.86c
na yogàder àyatanaü  JCand_10.4a
narakaü svargam eva và  JCand_2.32d
naraü ca kaü samà÷ritam  JCand_10.3d
na laïghayati ka÷cana  JCand_5.77d
navas tvaü nãradaş ko 'pi  JCand_3.9c
na vi÷eùo vi÷eùaõàt  JCand_2.29b
na÷yanti pa÷càt pa÷yanti  JCand_5.96c
na saïketaniketanam  JCand_10.4b
nànàprabhedà niyatà  JCand_7.17a
nàmnaş satyaü tathànçtam  JCand_3.6b
nàmnàü nàmnàya iùyatàm  JCand_5.124d
nàyaü sudhàü÷uş kiü tarhi  JCand_5.24c
nàyaü sudhàü÷uş kiü tarhi  JCand_5.25c
nàyodhyeva purã priyà  JCand_5.63d
nàlaïkàràntaràõy amã  JCand_5.118d
nà÷aïkanãyam eteùàü  JCand_1.5a
nidràpasmàra eva ca  JCand_6.16d
nirarthakaü tuhãtyàdi  JCand_2.6a
niruktaü syàn nirvacanaü  JCand_3.6a
nirde÷ena tathà pràhuş  JCand_10.2c
nirdoùà lakùaõavatã  JCand_1.7a
niryànti smaranàràcàş  JCand_5.28c
nirvàhaş prauóhir aucitã  JCand_4.12b
nirvedaglàni÷aïkàkhyàs  JCand_6.15a
nirvedasthàyikaş ÷àntaş  JCand_6.13a
nivàrayati yas tredhà  JCand_2.40c
niùedhe càsphuñe sati  JCand_5.72b
nihatàrthaü lohitàdau  JCand_2.4c
nihnavaş syàd anekadhà  JCand_7.16b
nişsaranti ÷itàş ÷aràş  JCand_5.46d
nãradhiş païkajaü saudhaş  JCand_1.12c
'nuguõaş parasannidheş  JCand_5.105b
'nuùaktàrthàntaràbhidhà  JCand_5.67b
nåtanàrthasamarthakaş  JCand_5.38b
netràõy àsann aharmukhe  JCand_5.17d
netrànandã tuùàràü÷ur  JCand_2.21c
netre karõàntavi÷rànte  JCand_5.87c
nendur nàrko 'yam aurvàgniş  JCand_3.4c
neyàrthaü lakùaõàtyanta-  JCand_2.11a
-naiva vãrà nipàtitàş  JCand_3.5d
naur artho vàridher yathà  JCand_8.5b
-ntarasaükramitàdikam  JCand_8.3b
nyasteyaü pa÷ya kandarpa-  JCand_2.35a
nyånaü tvatkhaógasaübhåta-  JCand_2.18a
nyånàbhyadhikayor mithaş  JCand_5.93b
pakùacchedapurandaraş  JCand_5.19d
païkajaü tena siddhayati  JCand_1.13b
païkajaü pa÷yatas tasyà  JCand_5.31c
païkajaü và sudhàü÷ur vety  JCand_5.32c
paño 'yaü dagdha ityàdau  JCand_9.7c
patatprakarùaü hãnànu-  JCand_2.20a
padam àhus tadeva tat  JCand_2.5b
padam ekam api kvacit  JCand_1.14d
padàóhye lalitopamà  JCand_5.15b
padàrthàntaravarõanam  JCand_5.37b
pade tadaü÷e vàkyàü÷e  JCand_2.39a
padaikade÷e racanà-  JCand_7.9c
padmaràgàruõaü nàsà-  JCand_5.101c
padmaü muktvà gatà candraü  JCand_5.92c
padmàkarapraviùñànàü  JCand_5.34c
padmàni ca mukhàni ca  JCand_5.35d
padmànãva vinidràõi  JCand_5.17c
padmair vairàyate ÷a÷ã  JCand_5.29d
paràgair asmi dhåsarà  JCand_5.109d
pariõàmo 'nayor yasminn  JCand_5.22a
parityajyàsphuñakramam  JCand_7.10d
parivçttir vinimayo  JCand_5.93a
parisaükhyà niùidhyaikam  JCand_5.94a
paruùàyàü ÷aùau svataş  JCand_6.25d
paryastàpahnutir yatra  JCand_5.25a
paryàyaparivartanàt  JCand_4.8b
paryàya÷ ced anekatra  JCand_5.92a
paryàyeõa dvayos tac ced  JCand_5.13a
paryàyoktiü pracakùate  JCand_5.69b
pa÷ya nãlotpaladvandvàn  JCand_5.46c
pa÷ya làkùàrasàsiktaü  JCand_5.76c
pa÷ya saudhàgrasaüsaktaü  JCand_5.44c
pà¤càlikã ca làñãyà  JCand_6.22a
pàõir eùaş samàgataş  JCand_2.20d
pàtaglànyàdibhiş kramàt  JCand_6.7b
pàlayiùyati te gotram  JCand_2.38c
pihitaü paravçttànta-  JCand_5.108a
pãyåùavarùaprabhavaü  JCand_10.5a
punaruktapratãkà÷aü  JCand_5.7a
punaruktaş sudhàkaraş  JCand_2.31d
punaruktàrthasannibham  JCand_5.7b
punaş svaguõasampràptir  JCand_5.102a
puüsi ÷auryàdayo yathà  JCand_4.10d
påraõaikaprayojanam  JCand_2.6b
pårvàrvàcã ca råóhitaş  JCand_9.1b
pçthakkathitasàdç÷yaü  JCand_5.20a
paurvàparyavyatikrame  JCand_5.42b
prakçter bhåùaõaü giràm  JCand_4.11d
prajalpan matpade lagnaş  JCand_5.27c
pratàpadhavaladyutiş  JCand_2.35b
pratikålàkùaraü viduş  JCand_2.15b
praticchandabhidàbhçtàm  JCand_5.119b
pratibhàti mukheùviva  JCand_5.123d
pratibhaiva ÷rutàbhyàsa-  JCand_1.6a
prativaståpamà matà  JCand_5.54b
pratiùedhaş prasiddhànàü  JCand_3.5a
pratiùedho vicàraõàt  JCand_5.71b
pratãpam upamànasya  JCand_5.99a
pratyanãkaü balavataş  JCand_5.98a
pradãpaü vardhayetyatra  JCand_9.7a
prabandhe ceti ùoóhàsau  JCand_7.10a
prabandhe 'pi dvàda÷a syur  JCand_7.11c
prabhàvàdivibhàvabhåş  JCand_6.9b
prabhçtãva mahãbhujaş  JCand_3.11d
prabhedair yaugikas tridhà  JCand_1.11b
prabhedaiş sa punas tridhà  JCand_1.9d
pramukhas tv asphuñakramàt  JCand_7.5d
prayànti vyavasàyinaş  JCand_5.66d
prayogo gamanàdiùu  JCand_2.3d
prayojanam api dvidhà  JCand_9.3b
prayojanàc ca saübaddhaü  JCand_9.1c
pravàhapratimaü vacaş  JCand_2.12d
pra÷nottaraü krameõoktau  JCand_5.107a
pra÷rayàdisvaråpayà  JCand_6.19b
prasarantaü vi÷çïkhalam  JCand_2.40b
prasaràd amanoharam  JCand_2.11b
prasiddhyà vidyayà vàpi  JCand_2.34c
prastutaü hãnam ucyate  JCand_5.60b
prastutàprastutànàü ca  JCand_5.52a
prastute 'prastutasya cet  JCand_5.61b
pràksiddhasvaguõotkarùo  JCand_5.105a
pràcãnàcalacåóàgra-  JCand_5.51e
pràptotkañadhiyàü vçthà  JCand_6.27d
pràyaş ÷abdaş pravartate  JCand_10.1b
pràyeõàmã hy alaükàrà  JCand_5.122c
pràsàditve yathottaram  JCand_2.20b
priye gçhàgate pràtaş  JCand_5.108c
prauóhàyàü ca kamårdhatà  JCand_6.24d
prauóhoktis tada÷aktasya  JCand_5.47a
barhã jahre kç÷as tçùam  JCand_6.28b
bahubhirbahudhollekhàd  JCand_5.23a
binà vinayasampadam  JCand_5.60d
bibharti vasudhàü bhavàn  JCand_5.52d
bãjamàlà latàmiva  JCand_1.6d
bodhitapratibodhitaş  JCand_7.14d
brahmàõóaü tvadya÷aşpåra-  JCand_2.26a
bråta kiü sevyatàü candra-  JCand_2.33c
bhagnaprakramam àrabdha-  JCand_2.27a
bhaïgam eti bhavaklamaş  JCand_5.78d
bhaïga÷leùaş padastomasy-  JCand_5.63a
bhadràyàm iti vçttayaş  JCand_6.26d
bhayasthàyã bhayànakaş  JCand_6.10d
bhavantam athavà doùaü  JCand_2.41c
bhavec chrutikañur varõaş  JCand_2.2a
bhavet parikaràïkuraş  JCand_5.40b
bhaved arthàntaranyaso  JCand_5.67a
bhaved àvçttidãpakam  JCand_5.53b
bhaved evam ananvayaş  JCand_5.12d
bhàjàü gumphaş samuccayaş  JCand_5.96b
bhàratã bhàti gambhãrà  JCand_7.1c
bhàva÷àntinibandhanàş  JCand_5.116b
bhàvasya ÷àntir udayaş  JCand_6.20a
bhàvànàmudayaş sandhiş  JCand_5.117a
bhàvàbhàsà÷ ca kãrtitàş  JCand_6.19d
bhàvàş sàhityavedibhiş  JCand_6.14d
bhàvikaü bhåtabhàvyartha-  JCand_5.112a
bhàvair garvàdibhiryutaş  JCand_6.9d
bhàvair mohàdibhir yukto  JCand_6.10c
bhàsate janara¤janaş  JCand_5.59b
bhinnà nàti÷ayoktitaş  JCand_5.122d
bhinno 'bhinnatayà guõaş  JCand_5.90b
-bhipràyà punaruktatà  JCand_5.4b
bhãtayà mànavatyaiva  JCand_4.2c
bhåtàdikàlabhedena  JCand_7.16a
bhåyasàm anukålake  JCand_5.120b
bhåyasàm ekasambandha-  JCand_5.96a
bhçïgas tàmarasaü yathà  JCand_5.16d
bheda eva na lakùyate  JCand_5.34b
bhedakàti÷ayokti÷ ced  JCand_5.45a
-bhedabhinnà ca kutracit  JCand_9.15b
bhedavac cen na lakùyate  JCand_5.33b
bhedà dvàda÷a tad yathà  JCand_7.6d
bhedàş ùañ cànayoş kramàt  JCand_7.4d
bhedàş syur ekapa¤cà÷at  JCand_7.12c
bhedau dvau ÷abda÷aktijau  JCand_7.6b
bhra÷yanti ca tava dviùaş  JCand_5.96d
bhràntàpahnutir anyasya  JCand_5.26a
maccitaü te ÷a÷i÷riyi  JCand_2.10b
maccitte 'sti trilocanaş  JCand_5.38d
maõóapàdyà yathàkramam  JCand_1.10d
matam etena dåùyate  JCand_1.5b
matir vyàdhis tathonmàdas  JCand_6.17c
madguõàs trasareõavaş  JCand_1.4d
madhuraü madhu pãyåùaü  JCand_5.90c
madhuràyàü samàkràntà  JCand_6.23a
manuùye bhavataş kvàpi hy  JCand_5.120c
manda nandã haràntike  JCand_5.110d
mayåkhastenàsau sukavijayadevena racite  JCand_6.29c
mayåkhastenàsau sukavijayadevena racite  JCand_7.18c
mayåkhastenàsau sukavijayadevena racite  JCand_8.11c
mayåkhastenàsau sukavijayadevena racite  JCand_9.17c
mayåkhas tenàsau sukavijayadevena racite  JCand_10.7c
mastapiùñakañãloùña-  JCand_2.10c
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_1.16a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_2.45a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_3.12a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_4.13a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_5.125a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_6.29a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_7.18a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_8.11a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_9.17a
mahàdevaş satrapramukhamakhavidyaikacaturaş  JCand_10.7a
mahàdevàïgajanmanaş  JCand_10.6b
màtsaryahastaniùpeùa-  JCand_6.8c
màdhuryavacaso viduş  JCand_5.8d
màdhuryaü punaruktasya  JCand_4.6a
mànacchedàya subhruvàm  JCand_3.10d
mànasaü mama gàhate  JCand_8.6d
mànaü mu¤ca priye kiücil  JCand_4.9c
màyàdikavibhàvabhåş  JCand_6.12b
màlàdãpakam ucyate  JCand_5.88b
màlà paraüparà caiùàü  JCand_5.120a
màü vilokya smitaü manàk  JCand_5.36d
mithaş pårvàparàrthayoş  JCand_2.30d
mithaş pçthagvàkyapadaiş  JCand_2.25a
milan malayajàlepa  JCand_6.2c
mãlanàmãlanàd dvidhà  JCand_9.2b
mãlitaü bahusàdç÷yàd  JCand_5.33a
mukhaü candra÷riyaü dhatte  JCand_2.42a
mukhaü nàlakùi subhruvàm  JCand_5.34d
mukhaü me gàhate manaş  JCand_5.31d
mukhãcandrakirãñayoş  JCand_2.33d
mukhendum avalokaya  JCand_2.38b
mukhyayà svàbhidheyayà  JCand_10.4d
mukhyàrthasyàvivakùàyàü  JCand_9.1a
'mukhyenàrthe virodhakçt  JCand_2.28b
mu¤ca mànaü dinaü pràptaü  JCand_5.110c
mudhà nindanti saüsàraü  JCand_3.2c
medhàü budhaş sudhàm indur  JCand_5.52c
moghàrambhaü stumaş ÷ambhum  JCand_2.22c
mohàdyà yatra saümatàş  JCand_6.11d
mauktikaü cel latàü såte  JCand_5.48e
mauktikaü te 'dhara÷ritam  JCand_5.101d
maunam evottaraü dadau  JCand_5.22d
-mbaraü tàràtaraïgitam  JCand_2.17d
mlàyanti yadi padmàni  JCand_5.106c
yatkãrtir vibhrama÷ràntà  JCand_5.30c
yatra syàd upameyatà  JCand_5.14b
yatra syàn na punaş ÷atror  JCand_5.4c
yatràsau vetasã pàntha  JCand_5.107c
yatraikasyaiva jàgçtaş  JCand_5.12b
yatropamànacitreõa  JCand_5.18a
yathànusàram abhyåhed  JCand_2.39c
yathàpràkpràntakàraõaiş  JCand_5.86b
yathàsaükhyaü dvidhàrthà÷ cet  JCand_5.91a
yatheùñair aùñamàdibhiş  JCand_6.21b
yady anàsthà manãùiõàm  JCand_5.124b
yady anekàrthasaü÷rayaş  JCand_5.64b
yadvastuno 'nyathà råpaü  JCand_5.103a
yad vyajyamànaü manasaş  JCand_8.1a
yan nà÷rayati sajjanam  JCand_5.100d
yamakaü prathamà dhurya-  JCand_5.8c
yayàrthaü spaùñam àcaùñe  JCand_10.1c
yayà vyàptaü jagat tasyàü  JCand_5.82c
ya÷aşpuùpaü nabhastañam  JCand_2.18b
yasmàd antaşsthitaş sarvaş  JCand_4.3a
yasminn upahato lupto  JCand_2.16a
yasmin vi÷eùasàmànya-  JCand_5.68a
yaü praståya prakà÷ante  JCand_1.4c
yaş ÷atrån samapårayat  JCand_2.24b
yàcakàş kalpa÷àkhinaş  JCand_5.115d
yà dàtuş saumyatà seyaü  JCand_5.57c
yàmãti priyapçùñàyà  JCand_5.43c
yuktàrthatàü tàü ca vinà  JCand_1.14a
yuktir vi÷eùasiddhi÷ ced  JCand_3.9a
yuktyàsvàdyalasadrasaikavasatiş sàhityasàrasvata-  JCand_1.3a
yuktyaikasyàvadhàraõam  JCand_3.4b
yugapat kàryakàraõe  JCand_5.41b
yuddhyante 'tra suràsuràş  JCand_5.112d
yuvàm eveha vikhyàtau  JCand_3.8c
yena baddho 'mbudhir yasya  JCand_2.23c
ye ùoóa÷àdyà dviguõàs  JCand_7.11a
yair jagat prãyate hanti  JCand_5.85c
yogàbhàsais tridhàdimaş  JCand_1.10b
rakta÷ cumbati candramàş  JCand_5.61d
raktaü tvaccaraõadvayam  JCand_5.76d
ratir devàdiviùayà  JCand_6.14a
ratyàkhyasthàyibhàvàtmà  JCand_6.4a
ramaõaü ÷araõaü gatà  JCand_4.4d
rasabhàvatadàbhàsa-  JCand_5.116a
rasabhàvatadàbhàsa-  JCand_7.5c
rasavatpreyaårjasvi-  JCand_5.116c
rasàdyanucite varõe  JCand_2.15a
rasàdyàkhyo 'sphuñakramaş  JCand_7.10b
raso nàlakùi làkùàyà÷  JCand_5.33c
rahor dvedhà tu saüyogaş  JCand_6.25c
ràjate bhujabhåruhaş  JCand_5.20d
ràmasyànucarà vayam  JCand_2.23d
ràvaõaü raõadàruõam  JCand_2.15d
ripuü hatvà ya÷aş kçtvà  JCand_4.7c
råóhayaugikatanmi÷raiş  JCand_1.9c
råpakàti÷ayokti÷ ced  JCand_5.46a
råpyaü råpakamadhyagam  JCand_5.46b
rephàkràntà vargyayaõàù  JCand_6.24a
re re svairiõi nirvicàrakavite màsmat prakà÷ãbhava  JCand_1.2b
ropàt sopàdhiråpakam  JCand_5.19b
romà¤càdyanubhàvo 'yaü  JCand_6.12c
lakàra÷ ca lasaüyukto  JCand_6.23c
lakàro 'nyair asaüyukto  JCand_6.26a
lakùakasthaü sphuñaü yatra  JCand_9.5a
lakùaõà sà tridhà siddha-  JCand_9.2c
lakùaõãyasva÷abdasya  JCand_9.2a
lakùitàny udite candre  JCand_5.35c
lakùmãr ullasati dvayoş  JCand_5.11b
lakùyalakùakaniùñhatvàd  JCand_9.4c
lakùyalakùakavai÷iùñya-  JCand_9.14a
lakùyasthatvam amuùya ca  JCand_9.5d
lakùyastham atihçdyatà  JCand_9.8b
lakùyàlakùyakramàtmakau  JCand_7.4b
laghavo ghabhadhà rasau  JCand_6.26b
lalanà rabhasaü dhatte  JCand_6.28c
lalitàyàü tathà ÷eùà  JCand_6.26c
lasadghanarasàtmanà  JCand_4.5b
làñànupràsabhår bhinnà-  JCand_5.4a
liïge ceyam alaïkàrà-  JCand_9.16c
liptaü bhinnam uraş ÷araiş  JCand_8.4d
lãlà bàlàkucasthale  JCand_5.45d
lãlàü nãlàmbujanmanoş  JCand_5.15d
lekhà càrukaràlikà  JCand_5.10b
locanàntam uda¤caya  JCand_4.9d
vaktuş kavinibaddhasya  JCand_7.8a
vaktçsyåtaü caturvidham  JCand_7.15b
vaktçsyåtaü bodhayituü  JCand_7.13a
vaktraü kenopamãyate  JCand_2.31b
vaktreõa bhràjate ràtriş  JCand_2.25c
vakroktiş ÷leùakàkubhyàü  JCand_5.110a
vadantã lakùaõà matà  JCand_9.1d
vanità mama cetasi  JCand_2.36d
vayasya pa÷ya pa÷yàsyà÷  JCand_4.6c
vargasthàş pa¤camair nijaiş  JCand_6.23b
varõavàkyapadeùv api  JCand_7.9d
varõàdyais tulyatàtha và  JCand_4.4b
varõàvçttir yadi dhruvà  JCand_5.5b
valayo 'bhavad årmikà  JCand_5.43d
vallabhàdivibhàvitaş  JCand_6.4b
vastuyogena saüj¤ayà  JCand_10.2b
vastu vastu vyanakti tat  JCand_7.7d
vastusambandhavarõanam  JCand_5.80b
vastv anyakriyam ucyate  JCand_5.85b
vastvalaïkàrayor vyakter  JCand_7.6a
-vahitthàdyaiş samanvitaş  JCand_6.6d
vàkyayor arthasàmànye  JCand_5.54a
vàkyaü ca khaõóavàkyaü ca  JCand_1.14c
vàkyàny ekàrthavi÷ràntàny  JCand_1.15c
vàkyàrthayoş sadç÷ayor  JCand_5.57a
vàkyàrthastabake tathà  JCand_5.121b
vàkye vàkyakadambake  JCand_2.39b
vàci mànti na te guõàş  JCand_5.82d
vàcyavàcakabhàvataş  JCand_9.9b
vàcyàrthàntarakalpanam  JCand_5.110b
và¤chitàd adhikapràptir  JCand_5.49a
vikalpas tulyabalayor  JCand_5.95a
vikçtaü dåravivçtair  JCand_2.19c
vikhyàtasyopamànasya  JCand_5.14a
vicitralakùaõo nyàso  JCand_4.12a
vicitraü cet prayatnaş syàd  JCand_5.81a
vicitràrthàntarànvayàt  JCand_3.9b
vij¤eyà pårvaråpatà  JCand_5.102b
vij¤eyà vyabhicàriõaş  JCand_6.18b
vidagdhahçdayaïgamam  JCand_4.11b
viduş sphuñaü tañasthatvàd  JCand_9.3c
vidyà sthirataraü dhanam  JCand_9.14d
vidyà hçdyàpi sàvadyà  JCand_5.60c
vidvajjanamanoramam  JCand_2.24d
vidham àbhàsaråpakam  JCand_5.21b
vinàpy àdheyavarõanam  JCand_5.84b
vinà saücàribhir yutaş  JCand_6.4d
vinokti÷ ced vinà kiücit  JCand_5.60a
vipakùançpasadmasu  JCand_5.69d
viparãtaphalapradaş  JCand_5.81b
vibhaktyantaü padaü vàkyaü  JCand_1.13c
vibhaktyutpattaye yogyaş  JCand_1.9a
vibhàti vidhumaõóalam  JCand_5.44d
vibhàvadyair yathàkramam  JCand_6.6b
vibhàvanà vinàpi syàt  JCand_5.76a
vibhàvaş kàraõaü dvidhà  JCand_6.1b
vibhàvàdyà yathàkramam  JCand_6.11b
vibhàvàdyair yutaş ÷oka-  JCand_6.7c
vibhàvàdyair vibhàvitaş  JCand_6.3b
vibhàvàdyaiş samanvitaş  JCand_6.8b
viruddhamatikçn matam  JCand_2.14b
viruddhaü cyutasaüskçti  JCand_2.2d
viruddhaü dvividhaü matam  JCand_2.34d
viruddhànyonyasaügatã  JCand_2.37b
viruddho 'doùatàü gataş  JCand_2.43d
virodha÷ càturãyutaş  JCand_5.95b
virodhàbhàsatà matà  JCand_5.74b
virodho 'nupapatti÷ ced  JCand_5.73a
vive÷a svarganimnagàm  JCand_5.30d
vi÷anti vi÷ikhapràyàş  JCand_2.13c
vi÷anti hçdayaü kàntà-  JCand_2.29c
vi÷ann api raver madhyaü  JCand_5.104c
vi÷àlalocane! pa÷yà-  JCand_2.17c
vi÷eùaparivartanàt  JCand_1.12b
vi÷eùaparivçttiş syàd  JCand_2.36c
vi÷eùaş khyàtam àdhàraü  JCand_5.84a
vi÷eùàder asau matà  JCand_5.65d
vi÷eùàş sa vikasvaraş  JCand_5.68b
vi÷eùoktir anutpattiş  JCand_5.77a
viùamaü yady anaucityàd  JCand_5.79a
visandhir nçpatã imau  JCand_2.16d
visarga iha tat tathà  JCand_2.16b
vismçtaş kim apàünàtha  JCand_8.3c
vãpsotsarpanmukhàgràrdraü  JCand_6.28a
vãro 'nubhàvaiş sthairyàdyair  JCand_6.9c
vçttibhedais tribhir yuktà  JCand_7.1a
vçttir vàk kàvyanàmabhàk  JCand_1.7d
vçttyanupràsavad vacaş  JCand_5.3b
vçttyà nirde÷a÷abdo 'yaü  JCand_10.4c
vedyamànà nigadyante  JCand_6.14c
vepitàdyanubhàvabhçt  JCand_6.10b
vaicitryaü càrutàvaham  JCand_4.6b
vaidarbhã ca yathàsaükhyaü  JCand_6.22c
vaiparãtyàt kriyànvayàt  JCand_9.10b
vairåpyaphullagaõóatvà-  JCand_6.6c
vailakùaõyaü prativyakti  JCand_5.123c
vai÷iùñyàd dvividhà punaş  JCand_9.14b
vyaktir eva kvacid vyaïgyaş  JCand_8.2a
vyaktivallã vijçmbhate  JCand_7.16d
vyaïgyam aïgãkçtaü budhaiş  JCand_8.10d
vyaïgyam àpatitaü tridhà  JCand_8.1d
vyaïgyaü vaktur abhãpsitam  JCand_7.13b
vyatiriktam alaïkàraü  JCand_4.11c
vyatireko vi÷eùa÷ ced  JCand_5.58a
vyanakty anucitàrthaü yat  JCand_2.5a
vyàghràdibhir vibhàvais tu  JCand_6.10a
vyàjàdyair nihnave padaiş  JCand_5.28b
vyàjoktiş ÷aïkamànasya  JCand_5.109a
vyàpàràd vastuto 'tha và  JCand_3.10b
vyàpàro vya¤janàtmakaş  JCand_7.2d
vyàhata÷ cedvirodhaş syàn  JCand_2.30c
vyåhàmandohadohadà  JCand_5.2b
vyomagaïgàsaroruham  JCand_5.24d
vrãóà capalatà harùa  JCand_6.16a
÷aktijanmà sphuñakramàt  JCand_7.5b
÷aktitaş sà caturvidhà  JCand_9.6b
÷aïkayà tathyanirõaye  JCand_5.26b
÷aïkayà tathyanihnave  JCand_5.27b
÷atrukaõñhàntikà÷rità  JCand_5.10d
÷atruü mitraü dviùatpakùaü  JCand_5.91c
÷atroş pakùe paràkramaş  JCand_5.98b
÷abalatvam iti trayaş  JCand_5.117b
÷abdanirvàhahãnatà  JCand_2.27b
÷abdas tàm abhidhàü viduş  JCand_10.1d
÷abdàrthayoş prasiddhyà và  JCand_5.1a
÷abdàrthàv analaükçtã  JCand_1.8b
÷abdàrthobhayabhår ekaş  JCand_7.9a
÷abde padàrthe vàkyàrthe  JCand_5.121a
÷abde padàrthe vàkyàrthe  JCand_9.16a
÷abde puülliïgatàdikam  JCand_2.3b
÷abde 'rthe ca kçtonmeùaü  JCand_2.1c
÷abdair bandhaş sukhàvahaş  JCand_4.1d
÷a÷ã bhàti triyàmayà  JCand_5.83d
÷àstràntararahasyoktiş  JCand_4.12c
÷àstrãyaş ÷abda iùyate  JCand_1.9b
÷ithilaü ÷ayane lilye  JCand_2.10a
÷ãta eva sadà ÷a÷ã  JCand_5.104d
÷uddhatanmålasaübhinna-  JCand_1.11a
÷uddhaü sàdhyavasànaü syàd  JCand_9.12c
÷uddhaü sàropam uddiùñam  JCand_9.12a
÷uddhir ekapradhànatvaü  JCand_5.118a
÷u÷ubhe vàhinãpatiş  JCand_5.62d
÷åra÷ càpena ràjate  JCand_5.54d
÷åraş ÷aurir ayaü punaş  JCand_3.1d
÷çïgàre ca prasàde ca  JCand_4.10a
÷çïgàro dvividho mataş  JCand_6.5d
÷eùas tvadya÷asà sitaş  JCand_5.102d
÷ailam utpàñayiùyati  JCand_5.75d
÷ailà ivonnatàş santaş  JCand_5.58c
÷okenàliïgitàïganà  JCand_2.28d
÷oõitàdiprayogataş  JCand_2.4d
÷obhà khyàtàpi yaddoùo  JCand_3.2a
÷auryaudàryàdivarõanam  JCand_5.115b
÷yàmalà komalà bàlà  JCand_4.4c
÷yàmalàş saraladrumàş  JCand_5.47d
÷yàmàbja÷yàmalocanà  JCand_2.19b
÷rayadhvaü vibudhà mudam  JCand_10.5d
÷ravaõottaüsabhåmikàm  JCand_8.7d
÷ravaõodvejane pañuş  JCand_2.2b
÷rito 'smi caraõau viùõor  JCand_5.16c
÷riyà÷liùñaü hariü stumaş  JCand_4.2d
÷rãr asmàd upade÷akau÷alamayaü pãyåùam asmàjjagaj  JCand_1.3c
÷reõiniş÷reõim çcchati  JCand_2.12b
÷reõir ekàvalã matà  JCand_5.87b
÷làghyaü cànyopalakùaõam  JCand_5.114b
÷leùàdibhår virodha÷ ced  JCand_5.74a
÷leùo vighañamànàrtha-  JCand_4.1a
÷lokasyàrdhe tadardhe và  JCand_5.5a
÷veta÷ma÷rukaràïkuraiş  JCand_2.42b
ùaóvidhàm abhidhàü budhàş  JCand_10.2d
sa kathà÷eùatàü yàtaş  JCand_4.8c
sakùatà ramaõãyatà  JCand_2.1b
sakhi pa÷ya gçhàràma-  JCand_5.109c
saïkucanti sarojàni  JCand_5.51c
saïgatànyaguõànaïgã-  JCand_5.104a
saïgràmoddhàmahuükçtiş  JCand_5.55d
sa ca vàkyaikasaü÷rayaş  JCand_7.9b
sa jitas tvanmukhenenduş  JCand_5.37c
sa tu ÷àbdaş sajàtãyaiş  JCand_4.1c
satyaü doùàkaro bhavàn  JCand_3.6d
sa tvayà kumbhasaübhavaş  JCand_8.3d
satsaïgàdivibhàvabhåş  JCand_6.13b
