Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
tacchàntistena nànyena  Ang_1.190a
tacchàyàpatramålakaiþ  Ang_1.500d
tacchàyàbhi÷ca tatphalaiþ  Ang_1.546d
tacchàstràdhikakçtyataþ  Ang_1.850d
tacchudhyarthaü rasàyàü tu  Ang_1.220a
taccheùatiladarbhaistu  Ang_1.719a
taccheùeõa yamàyeti  Ang_1.810c
taccheùeõa samàpanam  Ang_1.72d
tacchràddhaü bhavatãtyàhur  Ang_1.41a
tacchreùñhà vai smçtàkhilaiþ  Ang_1.940d
tajjakàrasya pa¤cakam  Ang_1.478b
tajjapastasya niùkçtiþ  Ang_1.19b
tajjalaü ÷ràddhakarmaõi  Ang_1.942d
tajjaü tatprapitàmaham  Ang_1.1002d
tajjàtànàü vivàhasya  Ang_1.344c
tajjànàü saüprakãrtitam  Ang_1.676d
tajj¤àtigatameva vai  Ang_1.312b
taõóulàn dadhitakràjya-  Ang_1.1024c
taõóulairakùataiþ puùpais  Ang_1.860c
tata÷ca kràntayaþ smçtàþ  Ang_1.638b
tata÷ca ÷ràddhamekakam  Ang_1.716d
tata÷cetputrakàmukaþ  Ang_1.868d
tatastàü bibhçyàdapi  Ang_1.207d
tataste praõipàtena  Ang_2,2.9a
tataþ pariùadaü vrajet  Ang_2,2.7d
tataþ ÷uddhà bhavetsà tu  Ang_1.191c
tataþ ÷uddho bhavedevaü  Ang_1.198c
tataþ ÷ràddhaikasàdguõya-  Ang_1.893a
tataþ sà niyatà ÷uciþ  Ang_1.869d
tataþ svayaü ca nityaü vai  Ang_1.209a
tato 'gnau karaõaü kuryàd  Ang_1.802c
tato 'gnau juhuyàccarum  Ang_1.971b
tato jyeùñhasya cetputras  Ang_1.407a
tato dadyàttilodakam  Ang_1.853b
tato 'dhiko yaj¤adattas  Ang_1.332a
tato 'pi dviguõaþ paraþ  Ang_1.331d
tato bhåyaþ sagotriõaþ  Ang_1.677b
tato màtàmahànàü ca  Ang_1.665a
tato vidvàn mahàtmà yo  Ang_1.1050c
tato 'sya vratamàdi÷et  Ang_2,5.12d
tatkareõa na pãóayet  Ang_1.235d
tatkartçkàõi ÷ràddhàni  Ang_1.108c
tatkarmaõi na cetaraþ  Ang_1.437d
tatkarmaõi punaþ pràpte  Ang_1.119c
tatkarmamadhye na punaþ  Ang_1.807c
tatkalàvçddhijanakaü  Ang_1.1102a
tatkàryakaraõaü tadvad  Ang_1.475c
tatkàlabhakùaõamapi  Ang_1.294c
tatkàlabhakùaõàvçttir  Ang_1.296a
tatkàlaþ puõyadaþ smçtaþ  Ang_1.644b
tatkàlàjãrõaràhitye  Ang_1.289a
tatkàlàjãrõa÷ånyatà  Ang_1.297b
tatkàle kevale 'pi và  Ang_1.284d
tatkàle kùudbhavedyadi  Ang_1.290b
tatkàùñhapatrakusuma-  Ang_1.549a
tatkàükùitàni vaståni  Ang_1.1087c
tatkiücidviguõãbhåyàt  Ang_1.804a
tatkulaü tadanantaram  Ang_1.339b
tatkulaü svakulaü ca te  Ang_1.70d
tatkrameõaiva kartavyaü  Ang_1.272c
tatkràntiyugma÷ràddhàdi-  Ang_1.655a
tatkriyàkaraõe tattu  Ang_1.23a
tatkriyàmatha kurvãta  Ang_1.24a
tatkriyà mantrapårvaivaü  Ang_1.480a
tatkriyàrthaü prathamataþ  Ang_1.23c
tatkùaõàtpràpitaü bhavet  Ang_1.913b
tatkùaõàllabhate 'khilam  Ang_1.142d
tatkùetrasya pitustu và  Ang_1.441b
tattatkarma samàcaret  Ang_1.132d
tattatkarma samàrabhet  Ang_1.21b
tattatkarmasu kartàro  Ang_1.468c
tattatkarmaikapårtaye  Ang_1.332d
tattatkàleùu vidhivac  Ang_1.109a
tattatkriyàvi÷eùeùu  Ang_1.843c
tattatsarvaü prayatnataþ  Ang_1.1095d
tattatsaükalpakarmasu  Ang_1.805b
tattaduccàraõaü kçtvà  Ang_1.132c
tattadgràmasthitairapi  Ang_1.1048b
tattadyatnena kartavyam  Ang_2,3.10c
tattadvàïmålamapyalam  Ang_1.215d
tattannàmàïkitàþ smçtàþ  Ang_1.1055d
tattanmantrà saübhavanti  Ang_1.8c
tattanmàtustattanayà  Ang_1.467c
tattaiva vihito 'yaü hi  Ang_1.628a
tattyàgã cetpatatyadhaþ  Ang_1.629b
tattyàgã brahmaghàtakaþ  Ang_1.625d
tattyàge buddhipårvake  Ang_1.14b
tattvaü tasyàstu vij¤àya  Ang_1.214a
tatpa¤came 'tha divase  Ang_1.91a
tatpatiþ pitçbhiþ sàrdhaü  Ang_1.194c
tatpatnãkarmakartà ced  Ang_1.433c
tatpatnãnàü ca sarvàsàü  Ang_1.725c
tatpatnã vàpi patnyapi  Ang_1.1039d
tatpatnyà÷ca tataþ param  Ang_1.1034b
tatpatnyà÷ca samàgamam  Ang_1.1037b
tatpatnyàstasya ca ÷ràddha-  Ang_1.136c
tatpatràõi pavitràõi  Ang_1.560a
tatpadaü cakrapàõinaþ  Ang_1.566d
tatparaü tvaurasasya vai  Ang_1.478d
tatparaü pràtareva syàd  Ang_1.178a
tatpare 'hani tàn yajet  Ang_1.718d
tatpa÷càttu triràtrakam  Ang_1.870d
tatpa÷càdyà kulãnà và  Ang_1.448a
tatpàtraü ca vihàya ca  Ang_1.958b
tatpàtraü parihatyàtha  Ang_1.958c
tatpàpaü kva nu tiùñhati  Ang_2,6.9d
tatpàpaü ÷atadhà bhåtvà  Ang_2,6.15c
tatpitàmahamadhyakam  Ang_1.670b
tatpitràdisapiõóanam  Ang_1.999d
tatpitrorgràhakeõa yà  Ang_1.368b
tatpitrormànasaü tadà  Ang_1.361b
tatputra÷cettato vçddha-  Ang_1.1005c
tatputrasya ca maryàdà  Ang_1.362c
tatputraþ prapitàmaham  Ang_1.1005b
tatputràstatsamà hi yat  Ang_1.412b
tatpuraskçtya cetkarma  Ang_1.124c
tatpuro jyàyaso 'sya cet  Ang_1.442b
tatpurohita eva ca  Ang_1.768d
tatpåjà vihità parà  Ang_1.788d
tatpåjàü vidhinà kuryàt  Ang_1.868c
tatpårvakakriyàü caret  Ang_1.804d
tatpårvakçtasaükalpa-  Ang_1.803c
tatpårvaü cettu daivake  Ang_1.965b
tatpårvaü tatsamàcaret  Ang_1.302b
tatpårvaü lavamàtraü và  Ang_1.1096c
tatpårvaü sà na sidhyati  Ang_1.309b
tatpaitçkamahàsaïga-  Ang_1.664a
tatpramàõaü tu sarveùàü  Ang_2,1.8c
tatpravi÷yaiva putràõàü  Ang_1.867c
tatpretakçtapàpaughaü  Ang_1.142c
tatpretaparpañaü sàkùàt  Ang_1.943c
tatpreùyatvena kurvãta  Ang_1.134a
tatra caitàsu yàþ kråràþ  Ang_1.585a
tatra jàtàstu cettataþ  Ang_1.356d
tatra tatra pracoditàþ  Ang_1.297d
tatra tatrà 'pradakùiõam  Ang_1.666d
tatra tatràsya vai ÷i÷oþ  Ang_1.471d
tatra dharmà yathoktitaþ  Ang_1.1082b
tatra nikùipya taccàmbhas  Ang_1.795a
tatra pakùe yatãnàü tu  Ang_1.709a
tatra pàtramadhobilam  Ang_1.793b
tatra påjà prakartavyà  Ang_1.686a
tatra sàkùàtkaniùñhasya  Ang_1.403c
tatra snàna÷ataü caret  Ang_1.189b
tatra syàttu pradakùiõam  Ang_1.668b
tatra syàdapradakùiõam  Ang_1.665d
tatràdau tu tridaivatyaü  Ang_1.661c
tatràdau yàþ saridvaràþ  Ang_1.917d
tatràpi pari÷uddhasya  Ang_1.161c
tatràpi pari÷uddhasya  Ang_1.162a
tatraiva vikiretpàtra-  Ang_1.841a
tatraiva visçjetpàdyaü  Ang_1.779c
tatraiva sakalà dharmà  Ang_1.1113a
tatsamàpanaparyantaü  Ang_1.93c
tatsamàpanaparyantaü  Ang_1.94a
tatsamà sà prakãrtità  Ang_1.398d
tatsamenà 'thavà bhràtrà  Ang_1.470c
tatsarvaü prãtaye teùàü  Ang_1.1095a
tatsarvaü syànnirarthakam  Ang_2,1.10d
tatsallàpàdi varjayet  Ang_1.1026d
tatsahàya÷ca sarve te  Ang_1.100a
tatsaübhåtamahàdoùa-  Ang_1.1070a
tatsànnidhyaspar÷amàtràt  Ang_1.473a
tatsànnidhyaü ca kevalam  Ang_1.472b
tatsàmyacetaso yasmàd  Ang_1.578a
tatsàmyamicchuràrànme  Ang_1.573c
tatsàmyaü tattrayasyaiva  Ang_1.579a
tatsàyujyamavàpnuyàt  Ang_1.548b
tatsutàpatiriùyate  Ang_1.435b
tatsåktajapahomàbhyàü  Ang_1.966c
tatsthànanàmagotreõa  Ang_1.955a
tatsthànanàmagotreõa  Ang_1.970c
tatsthàne varaõaü kçtvà  Ang_1.786c
tatsthàne sarva÷ånye tu  Ang_1.62c
tatsnànaü kathitaü sadbhir  Ang_1.251c
tathà kàlaü samàdi÷et  Ang_2,12.9b
tathà ghoùaþ prakartavyaþ  Ang_1.834a
tathà ca prakçte tataþ  Ang_1.774b
tathà cànyeùvabhojyeùu  Ang_2,9.6a
tathà cetkarma tatparam  Ang_1.431b
tathà tasmàttu taccaret  Ang_1.473d
tathà tasmàtsamàcaret  Ang_1.63d
tathà tasmànna càcaret  Ang_1.815b
tathàto nàcaredbudhaþ  Ang_1.257b
tathà dharmapathe sthitaþ  Ang_2,5.13b
tathà nàmàkhyakarmaõaþ  Ang_1.16b
tathà niveditaü bhåyo  Ang_1.234a
tathànnaprà÷anasyàpi  Ang_1.16c
tathà pallavikaü kråram  Ang_1.746a
tathà piõóapradànasya  Ang_1.827a
tathà pitràdikàn sarvàn  Ang_1.1053c
tathàpi punarekakam  Ang_1.417b
tathà pràha ÷rutiþ ÷ivà  Ang_1.270b
tathà mahàlaya÷ràddhe  Ang_1.953a
tathà màtari tatparam  Ang_1.1047d
tathàvasthàprabhedataþ  Ang_1.1051b
tathà ÷ånyatithau yatnàt  Ang_1.273c
tathà ÷ånyalalàñaü ca  Ang_1.667a
tathà syàtpripitàmahe  Ang_1.107d
tathaiva garbhiõãnàtham  Ang_1.756c
tathaiva pa÷càtkurvãta  Ang_1.396a
tathaiva màtçvarge 'pi  Ang_1.672a
tathaiva varaõaü gauryà  Ang_1.476c
tathaivàgniü samàdhàya  Ang_1.970a
tadaïgatarpaõaü kàryaü  Ang_1.1106a
tadaïgasnànataþ sadyaþ  Ang_1.267c
tadanta eva kurvãta  Ang_1.39c
tadante karaõaü nanu  Ang_1.35d
tadante cetkçtàkçtam  Ang_1.40d
tadannamapi yatnena  Ang_1.244c
tadannaü taddhçdi sthitam  Ang_1.738d
tadannaü tasya kukùisthaü  Ang_1.737c
tadannaü ÷iùñamuddhçtam  Ang_1.812b
tadanyathàkçtaü taccet  Ang_1.133a
tadanyathàkçtaü taccet  Ang_1.275c
tadanyaståpacàrataþ  Ang_1.3b
tadanyasmin tathàvidhe  Ang_1.713b
tadanyasmin tàdç÷e vai  Ang_1.713a
tadanyasya punaryadi  Ang_1.377b
tadabhyanuj¤ayà tattu  Ang_1.146c
tadabhyanuj¤àrahitaü  Ang_1.147c
tadayogena ca dvidhà  Ang_1.528b
tadava÷yakakçtyeùu  Ang_1.262a
tadà cettanmçtàhaü tu  Ang_1.1040c
tadà jàtà hi pa÷yatàm  Ang_1.532d
tadà tatsnànataþ param  Ang_1.82d
tadà tadà tu vihità  Ang_1.652a
tadà tadà pàlito yo  Ang_1.1048c
tadà tasminniyojayet  Ang_1.112d
tadà tu taddhanaü sarvaü  Ang_1.311a
tadà tu panasaþ kiücid  Ang_1.532a
tadà dar÷àdikaü purà  Ang_1.1041d
tadàdàya ghçtena và  Ang_1.234d
tadànãü samupasthite  Ang_1.1007d
tadànãü svãkçtasuto  Ang_1.392c
tadànnenaivaü yacchràddhaü  Ang_1.486c
tadà punastatsaüpàdya  Ang_1.72a
tadà pårvamudãritam  Ang_1.373d
tadà pravrajitaþ svayam  Ang_2,9.13d
tadà yadyàhito garbho  Ang_1.67c
tadàràdeva kevalam  Ang_1.391b
tadàrùadvayamàcaret  Ang_1.344d
tadà vyàhçtibhi÷caret  Ang_1.796b
tadà ÷àkasahasrakam  Ang_1.497d
tadà ÷uddhiprakà÷anam  Ang_2,3.11b
tadà sakçtsannipàte  Ang_1.68a
tadà saüvatsaraü dçùñvà  Ang_1.52a
tadà såktajapàddhi sà  Ang_1.964d
tadà snànaü vidhànataþ  Ang_1.176b
tadiùñitrayataþ ÷uddho  Ang_1.601c
tadãyakçtyasaübhàùà-  Ang_1.1020c
tadãyodakasaübandhàd  Ang_1.910c
taduktitatkathàtçptàþ  Ang_1.1018c
taduccàraõataþ kùaõàt  Ang_1.162d
taduccàraõalakùaõam  Ang_1.670d
taducchiùñaü na kurvãta  Ang_1.235c
taduttarakùaõàdgaïgà  Ang_1.916c
tadudeti svayaü punaþ  Ang_1.25b
taduddi÷yaiva tatkriyà  Ang_1.128d
tadårdhvamiti vij¤eyaü  Ang_1.677c
tadårdhvaü patito bhavet  Ang_1.151d
tadekamatha tàrakam  Ang_1.481d
tadetat kathitaü param  Ang_1.800b
tadetatkila deve÷o  Ang_1.487c
tadetatparamaü ÷uddhaü  Ang_1.237c
tadeva tattilaiþ sadà  Ang_1.1102d
tadeva dviguõaü bhavet  Ang_2,9.12b
tadeva dviguõaü vaktre  Ang_2,9.12c
tadeva paramaü sthalam  Ang_1.1111d
tadeva parikãrtitam  Ang_1.170b
tadeva prakçtiþ proktà  Ang_1.619c
tadevaü saptapårùàkhyaü  Ang_1.676a
tadevàhuþ pradhànakam  Ang_1.985b
tadevocu÷ca nikhilà  Ang_1.1107c
tadopadaü÷aü svãkuryàn  Ang_1.238c
tadaupàsanahomaþ syàt  Ang_1.82a
tadgaïgàtyavalepahà  Ang_1.907b
tadgçhakùetramanasàü  Ang_1.92a
tadgotradvayajàstu te  Ang_1.342d
tadgotradvayayuktyartha-  Ang_1.344a
tadgotre yojayecca tam  Ang_1.1000d
tadgraha÷ràddhamucyate  Ang_1.487b
taddattaü kavyamuttamam  Ang_1.1101b
taddàne tatpratigrahe  Ang_1.304b
taddàne tatpratigrahe  Ang_1.384d
taddine kriyate tu yat  Ang_1.1094d
taddine copavàsaþ syàt  Ang_1.949a
taddine nàvalokayet  Ang_1.764b
taddine pràtareva ca  Ang_1.785b
taddine và paredyurvà  Ang_1.984a
taddineùu vi÷eùataþ  Ang_1.1089d
taddine samupasthite  Ang_1.1097d
taddinopoùaõaü bhavet  Ang_1.968b
taddoùaparihàràya  Ang_1.356c
taddoùaparihàràya  Ang_1.781c
taddoùa÷amanàyàtha  Ang_1.143a
taddoùa÷amanàyàtha  Ang_1.195c
taddoùa÷amanàyaiva  Ang_1.188c
taddoùa÷amanàyaiva  Ang_1.199a
taddoùa÷amanàyaiva  Ang_1.211c
taddravyaharaõecchayà  Ang_1.93b
taddravyaü karõasaüyogàd  Ang_2,6.5c
taddravyairani÷aü bhaktyà  Ang_1.555c
taddhanaü tu na cetsadyas  Ang_1.312a
taddharmairakhilairvçtaþ  Ang_1.278d
taddhaste 'rghyaü pradàpayet  Ang_1.795b
taddhaste salilaü kùipet  Ang_1.892d
taddhi snànaü prakãrtitam  Ang_1.255b
tadbandhubhistena ràj¤à  Ang_1.369a
tadbhàrgatanusaübhavà  Ang_1.916d
tadbhàryàkarmakartà cet  Ang_1.435a
tadbhàryà dva¤jaliü labhet  Ang_1.398b
tadbhàryàbhistattanayair  Ang_1.369c
tadbhàryàyà (athàpi và)  Ang_1.419b
tadbhinnasnànadànàdi-  Ang_1.651c
tadbhinnasya tu cedayam  Ang_1.649d
tadbhinnànàü tu sarveùàü  Ang_1.724c
tadbhinnà sapta yà÷ca tàþ  Ang_1.909b
tadbhinne 'parapakùake  Ang_1.712d
tadbhinnaikàda÷ànàü ca  Ang_1.506c
tadyogaü ca praõa÷yati  Ang_2,6.4b
tadyogyà bhavataiva vai  Ang_1.578d
tadrajodar÷anàtparam  Ang_1.402d
tadràkùasaü bhavecchràddhaü  Ang_1.815a
tadråpàþ pitaraþ sarve  Ang_1.32c
tadråpeõa sthitàþ param  Ang_1.864b
tadvatphalànàü ca puna-  Ang_1.508a
tadvadvacchati kàrtsnyena  Ang_2,6.6c
tadvarge janminàü mahat  Ang_1.1008d
tadvaü÷yànàmarbhakàõàü  Ang_1.1087a
tadviruddhamidaü param  Ang_1.673b
tadvãthyàü tena tacchràddhaü  Ang_1.26a
tadvçttiü labhate paràm  Ang_1.308b
tadvçttau kà kathà punaþ  Ang_1.306b
tadvaiguõyata eva vai  Ang_1.804b
tanayastu tato 'dhikaþ  Ang_1.330d
tanayaþ paralokadaþ  Ang_1.331b
tanayaþ pitçvallabhaþ  Ang_1.332b
tanayaþ puõyalokakçt  Ang_1.329d
tanayaþ puruùatrayam  Ang_1.338d
tanayaþ svapitustataþ  Ang_1.999b
tanayànudbhavàn tataþ  Ang_1.341b
tanayà÷ca pçthagvidhàþ  Ang_1.409d
tanayàþ ÷àstramàrgeõa  Ang_1.409a
tannàryaþ kàmataþ pràptàþ  Ang_2,10.20a
tannimittamidaü råpaü  Ang_1.101a
tannirmàlyaü tato gaïgà  Ang_1.908a
tanniveditamatyarthaü  Ang_1.230c
tannyånasamayasthite  Ang_1.286d
tannyånà eva kathitàþ  Ang_1.410a
tannyånà kathità tathà  Ang_1.940b
tannyåno nàtra saü÷ayaþ  Ang_1.407b
tanmadhyagatapaitçkam  Ang_1.37b
tanmàtrasya samãcãna-  Ang_1.845a
tanmukhaü nàvalokayet  Ang_1.313d
tapastaptvà vareõàtha  Ang_1.503c
taponi÷cayasaüyogàt  Ang_2,4.1c
taptakçcchra÷ataü caret  Ang_1.198b
taptakçcchrasahasràõi  Ang_1.221c
taptakçcchraü samàcaret  Ang_2,5.9d
taptà tàpà tàpasà ca  Ang_1.926c
tamuttaràyaõe kuryàd  Ang_1.654a
tamenaü brahmaghàtakam  Ang_1.626b
tamenaü bhåritejasam  Ang_1.564d
tayà cetteùu kçtyeùu  Ang_1.219a
tayàthaü saügamo màsàd  Ang_1.91c
tayà ÷ràddhaü prakurvate  Ang_1.786b
tayà ùaóvidhayà bhavet  Ang_1.692b
tayorevàdhikàro 'yaü  Ang_1.304a
tayorno cedyaterapi  Ang_1.144d
tayormànasamantrataþ  Ang_1.47d
tarasya yadi karmakçt  Ang_1.419d
tarõakaþ karmavarjitaþ  Ang_1.302d
tarpaõasyàdhikàryayam  Ang_1.719d
tarpaõàdiùu te smçtàþ  Ang_1.651d
tarpaõe dva¤jalã labhet  Ang_1.397b
tarpaõe 'dhikçto bhavet  Ang_1.720b
tallabhante sutodbhave  Ang_1.412d
tallepakùàlanaü param  Ang_1.174b
tallokàkàminaþ param  Ang_1.300b
tasmàcchådraü samàsàdya  Ang_2,5.13a
tasmàcchràddhamupakràntaü  Ang_1.28c
tasmàjjanaiþ pradàtavyam  Ang_2,7.6a
tasmàjj¤àtvà vadetsadà  Ang_2,6.14d
tasmàtkurvãta mànavaþ  Ang_1.325d
tasmàttatkàryakçdbhavet  Ang_1.417d
tasmàttatkçtyarodhanam  Ang_1.96d
tasmàttattu puna÷caret  Ang_1.271d
tasmàttatparivarjayet  Ang_1.783d
tasmàttatraiva taccaret  Ang_1.274d
tasmàttanmantramuccaret  Ang_1.905b
tasmàttàdçktu kilbiùã  Ang_1.184b
tasmàttu këptà ityuktàs  Ang_1.638a
tasmàttu na tathà ' 'caret  Ang_1.6d
tasmàttu manumuttamam  Ang_1.902d
tasmàttenaiva taü yajet  Ang_1.116b
tasmàtteùu tathàcaret  Ang_1.336b
tasmàttvaü ÷ràddhakarmasu  Ang_1.576d
tasmàtputrasya jàtasya  Ang_1.324c
tasmàtpratyupakàraika-  Ang_1.771c
tasmàtprabråhi yatsatyam  Ang_2,3.4c
tasmàtsagotre tanayaü  Ang_1.1009c
tasmàtsantastilodakam  Ang_1.1106d
tasmàtsantaþ kilaiteùàü  Ang_1.333c
tasmàtsarvatra tà dçùñàþ  Ang_1.13a
tasmàtsaükalpayitvà 'tha  Ang_1.808a
tasmàtsomahutaü haviþ  Ang_1.1101d
tasmàtsnànàni sarvatra  Ang_1.154c
tasmàdagnipradaþ sa tu  Ang_1.460b
tasmàdaïgirasà puõyaü  Ang_2,1.5a
tasmàdannaü samuddhçtya  Ang_1.242c
tasmàdàtmahitaü nityaü  Ang_1.316a
tasmàdàrtaü samàsàdya  Ang_2,7.2a
tasmàduddhçtya pa÷càttu  Ang_1.221a
tasmàdçtumatãü bhàryàü  Ang_1.322a
tasmàdetattrayasya ca  Ang_1.505d
tasmàdetatprabhçti te  Ang_1.574a
tasmàdeteùu caikakam  Ang_1.491d
tasmàdeva tathàcaret  Ang_1.833b
tasmàdaurasa eva saþ  Ang_1.465b
tasmàddattajaputràstàn  Ang_1.352c
tasmàddattasutaþ svasva-  Ang_1.341a
tasmàddattaþ svayaü pa÷càj  Ang_1.381a
tasmàdbàlamanoratham  Ang_1.1089b
tasmàdbràhmaõapuügavàþ  Ang_1.1110d
tasmàdyatnena mahatà  Ang_1.828a
tasmàdyathàruciparam  Ang_1.1038c
tasmàdyàmadvayaü sarvair  Ang_1.291c
tasmàdvidvàn såtraveda-  Ang_1.848a
tasmàdvaidikakçtyànàü  Ang_1.13c
tasmànnyånaþ prajàyate  Ang_1.405d
tasmànnyåno bhavetputra  Ang_1.404c
tasmin janapade na cet  Ang_1.367b
tasminnivedite kàrye  Ang_2,3.5c
tasminnutsàrite pàpe  Ang_2,3.6a
tasminno cetpare 'hani  Ang_1.113d
tasmin yoge 'vatãryate  Ang_2,6.3d
tasmin ÷ràddhadine bhaktyà  Ang_1.115a
tasmin sapiõóãkaraõe  Ang_1.1007c
tasya kàrye vratàde÷aþ  Ang_2,7.3a
tasya puõyaphalaü vaktuü  Ang_1.502a
tasya vyavahita÷ca cet  Ang_1.404b
tasya ÷ãghraü vidhàyaiva  Ang_1.959a
tasya ÷ràddhaü tataþ kàryaü  Ang_1.1061a
tasya sånustathà nyåna  Ang_1.408a
tasyà api kçtaü bhavet  Ang_1.998b
tasyà api punaþ kadà  Ang_1.39d
tasyà aupàsane ÷ràddham  Ang_1.399a
tasyàgå÷ca samàpanam  Ang_1.73b
tasyàpi vàrako yàgaþ  Ang_1.30a
tasyàpyannaü sodakumbhaü  Ang_1.876a
tasyàsya divyaråpasya  Ang_1.498a
tasyàü bhaktyà japanvaset  Ang_1.208b
tasyàþ ko và vimåóhadhãþ  Ang_1.400d
tasyàþ ùaóabdaü saüproktaü  Ang_1.187c
tasyaitatkathitaü divyaü  Ang_1.9c
tasyaitàþ kathitàþ sadbhiþ  Ang_1.20a
tasyopanayanaü bhåya÷  Ang_1.69a
taü kàlaü ninayedapi  Ang_1.872b
taü tasya pitaraþ sarve  Ang_1.552a
taü taü j¤àtvà ca saübhàùya  Ang_1.215c
taü de÷àddhàrmiko ràjà  Ang_1.366c
taü pakùaü pravadàmyaham  Ang_1.979d
taü piturviniyojayet  Ang_1.981d
taü piturviniyojayet  Ang_1.992b
taü prà÷ya vidhinàcamya  Ang_1.870c
taü yogaü susamãkùyeta  Ang_1.184a
tà ca nitye smçte taràm  Ang_1.1009b
tàóanaü hasanaü vçthà  Ang_1.1027b
tàóayitvà kapolayoþ  Ang_1.375d
tàóayitvà pravàsayet  Ang_1.366d
tàtastaddharmapatnã ca  Ang_1.436c
tàte jãvati dattakaþ  Ang_1.434d
tàte bhraùñe ca saünyaste  Ang_1.722c
tàte sati kalatrasya  Ang_1.442a
tàdçkkarmaikakaraõa-  Ang_1.1062c
tàdçkcchràddhakarastu yaþ  Ang_1.1067b
tàdçk chràddhaü na càcaret  Ang_1.279d
tàdçk tadyajanaü càsya  Ang_1.115c
tàdçkpatnãtvameva hi  Ang_1.118b
tàdçkpatnãtvameva hi  Ang_1.425b
tàdçkpitçkriyàkartà  Ang_1.1061c
tàdçgdattasutaþ pituþ  Ang_1.1000b
tàdç÷a÷ràddhakartà 'pi  Ang_1.703a
tàdç÷asya duràtmanaþ  Ang_1.1061b
tàdç÷asyàsya pàpinaþ  Ang_1.183d
tàdç÷asyàsya vedasya  Ang_1.159c
tàdç÷asyàsya vedasya  Ang_1.160c
tàdç÷aü karma kuryàccet  Ang_1.70c
tàdç÷aü karma tatkçtam  Ang_1.439d
tàdç÷aü tamimaü yo vai  Ang_1.604a
tàdç÷aü taü samudvãkùya  Ang_1.588c
tàdç÷aü na tadàcaret  Ang_1.97d
tàdç÷aü pitaraü mçtam  Ang_1.1064b
tàdç÷aü prayataü dvàntam  Ang_1.770a
tàdç÷airdivyavarõakaiþ  Ang_1.158d
tàni kuryàttu mohena  Ang_1.96a
tàni lomàni dhàrayet  Ang_1.63b
tàni ÷iùñàni sarvàõi hy  Ang_1.729a
tàni sarvàõi kçtstra÷aþ  Ang_1.452d
tàni sarvàõi sarvatra  Ang_1.1077c
tàni sarvàõyavàpnoti  Ang_1.455c
tàni svakarataþ ÷ãghraü  Ang_1.561a
tànãmàni ca bhaõyate  Ang_1.681d
tànãmàni tataþ punaþ  Ang_1.607d
tànãmàni tataþ sadà  Ang_1.171d
tànãmàni pravacmyataþ  Ang_1.605d
tànãmàni smçtàni hi  Ang_1.474d
tànãmàni smçtàni hi  Ang_1.482d
tànetàüstàdç÷ànvibhuþ  Ang_1.571d
tànyakçtvaiva maurkhyataþ  Ang_1.262d
tànyekavedavarõaþ syàt  Ang_1.158c
tàpã payoùõã divyà syur  Ang_1.918c
tàbhyàmàcchàdya tatparam  Ang_1.83d
tàbhyàmàcchàdya tatpa÷càt  Ang_1.87a
tàmudantàdibhirhyadan  Ang_1.249b
tàmbålaü saktavastilàþ  Ang_2,8.17d
tàrakaü parikãrtitam  Ang_1.167b
tàrakàõi mahàtmabhiþ  Ang_1.474b
tàratamyaü ca tatparam  Ang_1.228d
tàrapårveõa vai vadet  Ang_1.792b
tàrtãyãkà÷ramaü vrajet  Ang_1.64b
tàrtãyãke ca vargake  Ang_1.672b
tàvataþ ÷ålàn grasati  Ang_1.739c
tàvattattu samàcaret  Ang_1.713d
tàvattu såtakaü sarvaü  Ang_1.676c
tàvatteùàü na såtakam  Ang_1.24b
tàvatparyantameva vai  Ang_1.678d
tàvatsa tu mçto tàtaþ  Ang_1.462c
