Brhadyamasmrti
Based on the edition by V.G. Apte: Smçtãnàü Samuccayaþ, Pune 1905 (2nd ed. 1929), pp. 99-107.
(ânandà÷ramasaüskçtagranthàvaliþ / Anandasrama Sanskrit Series, 48) 

This is another version of the Yamasmçti, termed Bçhadyamasmçti in the editions (but not in mss.),
containing 182 verses in 5 adhyàyas.




Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



PADA INDEX


STRUCTURE OF REFERENCES:
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




agre màhiùakaü dçùñvà  YS182v_3.16a
balavaty uttarà kriyà  YS182v_5.24b
balàd gçhãto baddha÷ ca  YS182v_5.18a
balàd dàsã kçtà ye ca  YS182v_5.5c
balãvardasya caiva hi  YS182v_4.2b
balãvarde 'pi ca tathà  YS182v_4.8c
balãvardo mçto 'pi và  YS182v_4.4b
bàlo và 'py ånaùoóa÷aþ  YS182v_3.3b
brahmalokaü vrajaty eva  YS182v_4.53a
brahmavarcasam eva ca  YS182v_4.58b
brahmavàdiùu garhitaþ  YS182v_3.23d
brahmahatyà dine dine  YS182v_3.13d
brahmahà ca suràpa÷ ca  YS182v_4.22c
bràhmaõakùattriyavi÷àü  YS182v_4.34a
bràhmaõas tu ÷unà daùño  YS182v_1.2a
bràhmaõaü gçham àgatam  YS182v_3.25b
bràhmaõaþ kàmalubdho 'pi  YS182v_4.46c
bràhmaõàn bhojayet pa÷càc  YS182v_4.38c
bràhmaõà mantrità÷ caiva  YS182v_5.8a
bràhmaõã kùattriyà tathà  YS182v_3.66b
bràhmaõã vai÷yinã tathà  YS182v_3.67b
bràhmaõã ÷ådriõã tathà  YS182v_3.68b
bràhmaõo bràhmaõena hi  YS182v_3.46b
bràhmaõo madamohitaþ  YS182v_3.13b
bràhmaõo madamohitaþ  YS182v_3.19b
bràhmaõo ràjasevayà  YS182v_4.60d
bràhmaõo vai pramàdataþ  YS182v_3.54b
bràhmaõyaü hi vilupyate  YS182v_4.59d
bràhmã dànena ÷udhyati  YS182v_3.68d
bhaginãü màtur eva ca  YS182v_3.4b
bhavaty eva na saü÷ayaþ  YS182v_5.15b
bhavanti çõabhàginaþ  YS182v_3.38d
bhavanty uttaravàdinaþ  YS182v_5.26b
bhaved vai pàpinaþ kila  YS182v_4.28b
bhådevà nàtra saü÷ayaþ  YS182v_4.54b
bhçtako vedavikrayã  YS182v_3.37d
bhràtara÷ ca pçthak kuryur  YS182v_5.16a
bhràtuþ putro mitraputraþ  YS182v_5.18c
bhråõahatyà pitus tasyàþ  YS182v_3.18c
makùikai÷ copaghàtitam  YS182v_1.7b
madhyàhne ca tathà raudrãü  YS182v_4.50c
madhye ca vçùalãpatim  YS182v_3.16b
mayà ca såtakaü bhavet  YS182v_4.20d
maha[hà]rghaü yaþ prayacchati  YS182v_3.23b
mahiùãty ucyate bhàryà  YS182v_3.17a
màtaraü gurupatnãü ca  YS182v_3.7a
màtà caiva pità caiva  YS182v_3.22a
mànasaü vàcikaü caiva  YS182v_4.49a
màsam ekaü nirantaram  YS182v_3.14b
màsaü kçcchraü cared vipra÷  YS182v_1.12c
màsi màsi rajas tasyàþ  YS182v_3.20c
mukhena dhamitaü bhuïkte  YS182v_3.31c
muùñyà và nihatà yà gauþ  YS182v_4.10a
mçtakaü ca yadà bhavet  YS182v_4.18d
mçtam udbandhanena tu  YS182v_1.6b
mçtà caiva yadà sà gauþ  YS182v_4.12c
mçtpiõóanavagomaye  YS182v_4.9b
mçtpiõóànyeva sàdhayet  YS182v_4.1d
mau¤jãhomena ÷udhyati  YS182v_2.3d
mlecchacàõóàladasyubhiþ  YS182v_5.5d
yatra yatra mriyed gau÷ ca  YS182v_4.11c
yathà brahmavadhe pàpaü  YS182v_4.8a
yad attaü ca hutaü tasmai hy  YS182v_3.43e
yadi na kùipate toyaü  YS182v_1.10a
yad dehakaü kàkabalàkacillàm-  YS182v_3.61a
yan na kàrayate tat tan  YS182v_3.56a
yamaþ pràha yathà tatham  YS182v_4.19d
ya÷ cà ''tmànaü nivedayet  YS182v_3.10d
yaùñyà tu ghàtite caiva  YS182v_4.1c
yaùñyà tu patità yà gaur  YS182v_4.4a
yas tàü vivàhayet kanyàü  YS182v_3.19a
yas toyaü pibati dvijaþ  YS182v_1.9b
''yaü gauriti và çcaþ[cà]  YS182v_3.58b
yaþ karoty ekaràtreõa  YS182v_3.12a
yàcako viùayàtmakaþ  YS182v_3.36b
yàvato grasate gràsàn  YS182v_3.29a
yàvad àbhåtasaüplavam  YS182v_4.6d
yàvad àbhåtasaüplavam  YS182v_4.61d
yàvad uùõaü bhaved annaü  YS182v_3.27a
yàvad ekaþ pçthag bhàvyaþ  YS182v_2.8a
yàvad dvijà na càrcyante  YS182v_3.59c
yàvad bhu¤janti vàgyatàþ  YS182v_3.27b
yàvan noktà havirguõàþ  YS182v_3.27d
ye ca àtmahano janàþ  YS182v_4.31b
ye ca saükãrõayonayaþ  YS182v_1.14b
ye ca strãsåtake mçtàþ  YS182v_4.30d
ye 'py adhogatim àgatàþ  YS182v_4.33b
ye bhu¤janty abudhà dvijàþ  YS182v_3.11b
ye ÷àma÷abalàcyutàþ  YS182v_1.5b
yojanãyaü[yettu] prayatnataþ  YS182v_3.40d
yojanãyaþ prayatnena  YS182v_3.43c
yonisaükarajaü sarvaü  YS182v_5.2c
raktavastrasya vikretà  YS182v_3.52a
rajakãü veõujãvinãm  YS182v_2.1b
rajasvalàü spç÷ed yas tu  YS182v_3.50a
rajaþ pa÷yati yà nàrã  YS182v_3.57a
ràkùasair vipralupyati  YS182v_3.32d
ràjadaõóo na tasyàsti  YS182v_3.2c
ràjapratigrahàt sarvaü  YS182v_4.58a
ràj¤aþ pratigrahàc caiva  YS182v_4.59c
ràj¤àü pratigrahas tyàjyo  YS182v_4.59a
ràj¤àü sukçtanàmabhiþ  YS182v_4.61b
ràj¤ãm àcàrya÷iùyàü và  YS182v_3.5a
ràtrau nakùatradar÷anàt  YS182v_3.70b
retomåtrapurãùàõàü  YS182v_3.62c
rogã hãnàtiriktàïgaþ  YS182v_3.34c
rodhane bandhane caiva  YS182v_4.9a
làkùàrajakameva ca  YS182v_3.52b
lehitaü vartitaü caiva  YS182v_3.33c
lokatrayajigãùubhiþ  YS182v_4.59b
lolupà vedavarjitàþ  YS182v_4.55d
vaktavyaü ÷obhanaü haviþ  YS182v_3.28d
vacanàd bhavate[ti] kùamaþ  YS182v_5.11b
vacasoddàlakasya ca  YS182v_5.20b
vatso vatsataro và 'pi  YS182v_4.4c
vane ca patità yà gauþ  YS182v_4.12a
varjanãyàþ prayatnataþ  YS182v_3.37b
varjitaü ca yamaþ pràha  YS182v_3.41c
varõata÷ càpi sarva÷aþ  YS182v_5.2d
varõàdãnàü yathà kramam  YS182v_5.1d
varõijàtyeùv anukramàt  YS182v_5.3b
vastrasyàrdham adhaþ kçtam  YS182v_3.31b
vidyàt apobhyàü saüyuktaþ  YS182v_4.53c
vidyàvinayasaüpannaþ  YS182v_3.42c
vidhav àgamane pàpaü  YS182v_4.43a
vidhavà caiva yà nàrã  YS182v_4.39a
vidhiü prabråhi no yama  YS182v_4.18b
vinà ÷àkhàprabhedena  YS182v_4.45c
vipule ca jale snàtvà  YS182v_3.57c
viprakùattriyaviñ÷ådrà-  YS182v_5.3a
viprasyaiva caturguõam  YS182v_4.14b
vipraþ spçùño ni÷àyàü tå-  YS182v_3.69a
vipràs te nàtra saü÷ayaþ  YS182v_4.54d
vipreõa cànnavarjitam  YS182v_3.45b
vibhàgasya vinirõayaþ  YS182v_5.21b
vivàhotsavayaj¤eùu  YS182v_3.56c
viùaprapannagàtrà÷ ca  YS182v_1.3c
vçùalãgamanaü caiva  YS182v_3.14a
vçùalãphenapãtasya  YS182v_3.15a
vçùalãsevanaü dvijaþ  YS182v_3.12b
vçùalãü yas tu gçhõàti  YS182v_3.13a
veõujãvanakaivarta-  YS182v_3.52c
vedavedàïgapàragaþ  YS182v_5.4b
vedàcàrarato vipro  YS182v_5.4a
vedàntavijjyeùñhasàmà  YS182v_3.43a
vaidikaü ca tathà sarvaü  YS182v_5.15a
vai÷yasya dviguõaü bhavet  YS182v_4.13d
vai÷yàyà gamane ÷ådraþ  YS182v_4.47c
vai÷vadevàdikaü ca yat  YS182v_5.15d
vaiùõavo j¤ànavàn hi saþ  YS182v_3.39b
vyabhicàràd çtau ÷uddhiþ  YS182v_4.36a
vrataü saüpårõatàü vrajet  YS182v_4.21d
÷akañe dhà[và]ripaïkayoþ  YS182v_4.10b
÷aktyà dadyàt tu dakùiõàm  YS182v_1.7d
÷arãre yasya jãryati  YS182v_1.10b
÷astraghàtena caiva hi  YS182v_4.3d
÷astràghàtahatà÷ ca ye  YS182v_1.3d
÷àntaþ ÷ucir alampañaþ  YS182v_4.53d
÷àrãraiþ païktidåùanaiþ  YS182v_3.41b
÷iromuõóàpanaü smçtam  YS182v_4.17d
÷iùya÷ caiva tathaurasaþ  YS182v_5.18d
÷ukrakùayakarà vandhyà  YS182v_3.24a
÷uklavàsàs tv alaïkçtà  YS182v_3.57d
÷ukle kçùõe ca hràsayet  YS182v_2.6b
÷uddhyarthaü nànyathà bhàvyam  YS182v_4.32c
÷udhyate ca payovratàt  YS182v_1.15d
÷unà ÷ådreõa và dvijaþ  YS182v_3.44b
÷ådraü càpy anulomajam  YS182v_2.4b
÷ådrànàü càntyajàtinàm  YS182v_4.34b
÷ådreõa tu yadà dvijaþ  YS182v_3.47d
÷ådro và 'pi yathà kramàt  YS182v_4.42d
÷çõudhvaü munipuïgavàþ  YS182v_5.1b
÷yàvadanto 'tha vaidya÷ ca  YS182v_3.36c
÷ràddhakàle yadà jàtà  YS182v_5.7a
÷ràddhaü dànaü tapo yaj¤o  YS182v_4.22a
÷ràddhàdikàm tu putreõa  YS182v_5.10a
÷ràddhe yaj¤e ca karmaõi  YS182v_3.40b
÷ràddhe yaj¤e ca garhitaþ  YS182v_4.46d
÷ruta÷abdena caiva hi  YS182v_3.51b
÷rutaü ca pi([tavànpi])taraü mçtam  YS182v_5.10d
÷rotriyo brahmavidyuvà  YS182v_3.42b
÷rotre mukhe và parimastake và  YS182v_3.61c
÷vanadyàm uttare 'pi và  YS182v_4.10d
÷va÷råü pitçùvasàraü ca  YS182v_3.4c
÷vànakukkuñamàrjàràþ  YS182v_3.48c
÷vitrã kuùñþã tathà ÷ålã  YS182v_3.34a
ùaóabdaü caiva saüsmçtam  YS182v_4.24b
ùaó ete païktidåùakàþ  YS182v_3.33d
ùaóràtreõa vi÷udhyati  YS182v_1.8d
ùaóràtropoùitaþ snàtvà  YS182v_3.54c
ùaõmàsaü kçcchram àcaret  YS182v_3.5d
ùaõmàsaü kçcchram àcaret  YS182v_3.6d
sakàmo hi yadà vipraþ  YS182v_4.41c
sakçc caiva tu yad bhavet  YS182v_4.43b
sakçd gamane yat pàpaü  YS182v_4.44c
sagotrà cànyagotrakà  YS182v_3.65b
sadà såtakità tasya  YS182v_3.13c
saphalaü jàyate sarvàm  YS182v_5.17a
saphalaü paitçkaü bhavet  YS182v_5.14d
samabhàgapradàtà ca  YS182v_5.21c
samabhàgo grahãtavyaþ  YS182v_5.22a
samarghaü dhanam utsçjya  YS182v_3.23a
samavidyottaraü caiva  YS182v_5.24c
sarvadharmabahiùkatàþ  YS182v_4.62d
sarvadharmabahiùkçtàþ  YS182v_1.4b
sarvàn ke÷àn samucchritya  YS182v_4.17a
sarve te rikthabhàginaþ  YS182v_2.9d
sarveùàm antyajàtãnàü  YS182v_5.1c
sarvesv eva vivàdeùu  YS182v_5.24a
savarõa÷ ca savarõàyàm  YS182v_4.46a
savàsà jalam àvi÷et  YS182v_3.26d
sa vipro vçùalãpatiþ  YS182v_3.19d
sa vai màhiùakaþ smçtaþ  YS182v_3.17d
sa vai vàrdhuùiko j¤eyo  YS182v_3.23c
sa÷abdaü seïgitaü tathà  YS182v_3.33b
saüdhyayor ubhayor và 'pi  YS182v_3.70c
saüdhyàhãnà vratabhraùñàþ  YS182v_4.56a
saüdhyàhãno hi bhråõahà  YS182v_4.52b
saüdhyàhãno hi yo vipraþ  YS182v_4.51c
saüdhyopàsanam eva ca  YS182v_4.51b
saüsargã pa¤camo j¤eyas  YS182v_4.23a
saüsçùñà hi bhavanti ca  YS182v_5.14b
saüspç÷et tu yadà ka÷cit  YS182v_3.8c
sàkùiõaþ pårvavàdinaþ  YS182v_5.25d
sàkùiùåbhayataþ satsu  YS182v_5.25c
sà caiva vyabhicàriõã  YS182v_3.17b
sàyaü caiva tu vaiùõavãm  YS182v_4.50d
suràyàþ saüprapànena  YS182v_2.3a
såtakaü tu pra÷asyate  YS182v_3.55d
såtakena na lipyeta  YS182v_4.21a
såtakena na lipyeta  YS182v_4.21c
såtake mçtake caiva  YS182v_4.18a
såtake vartamàne 'pi  YS182v_3.55a
sevakà÷ càpi vipràõàü  YS182v_4.61a
striyà và puruùasya và  YS182v_4.2d
striyo vyàdhita eva ca  YS182v_3.3d
strãõàü caiva na saü÷ayaþ  YS182v_4.36b
strãõàü rajasvalànàü ca  YS182v_3.64a
strã vina÷yati garve[bhe]õa  YS182v_4.60c
strãsaüparkàdikaü sarvaü  YS182v_5.2a
snànahãnas tathaiva ca  YS182v_4.51d
snànahãno malà÷ã syàt  YS182v_4.52a
snànaü devàrcanaü dànaü  YS182v_3.51c
snàpayed agnisaünidhau  YS182v_3.69d
snehena ca tathà 'paraþ  YS182v_5.17d
spar÷a÷ caiva bhaved yadi  YS182v_3.64b
spçùñaü tena pramàdàc ca  YS182v_3.45c
spçùñvà rajasvalà 'nyonyaü  YS182v_3.65a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.66a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.67a
spçùñvà rajasvalà 'nyonyaü  YS182v_3.68a
svarõasteyã gurudruhaþ  YS182v_4.22d
svasàraü duhitàü tathà  YS182v_3.7b
svàmitulyaü bhavet tasya  YS182v_3.55c
havanaü ca praõa÷yati  YS182v_3.51d
havanaü ca prayatnena  YS182v_4.38a
havirguõà na vaktavyàþ  YS182v_3.28a
havyakavye niyoktavya  YS182v_3.39c
havyakavyeùv amantritaþ  YS182v_3.29b
hasangràsaü ca yo bhuïkte  YS182v_3.33a
haste÷v àsanadàne ca  YS182v_3.30c
hiraõyaü lobhalipsayà  YS182v_4.60b
haitukaþ ÷ådrayàjã ca  YS182v_3.35c
