Visnusmrti


Based on the edition by V. Krishnamacharya, 
Madras : The Adyar Library and Research Center, 1964 (in 2 parts).
(The Adyar Library Series ; vol. 93,1 + 2) 

Input by I. Shima, and collated by T. Hayashi in August 1991.



Completely revised GRETIL version, 2002.


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akàmaş svayam arjitam  Vi_18.43d
jalakrãóàruci ÷ubhaü  Vi_1.2a
jalà÷ayaü tat sakalaü  Vi_86.19c
jalà÷ayeùv athàlpeùu  Vi_23.46a
jàtasya ca mçtasya ca  Vi_17.17d
jàtasya hi dhruvo mçtyur  Vi_20.29a
jàtànàü ca svayaü vane  Vi_50.50b
jàtibhraü÷akaraü karma  Vi_38.7a
jàtismaratvaü labhate yadãcchet  Vi_56.27d
jàteùu ca mçteùu ca  Vi_22.43b
jànanto 'pi hi ye sàkùye  Vi_8.37a
jànubhyàm avaniü gatvà  Vi_1.44c
jàyante lakùaõànvitàş  Vi_45.32b
jàyàvarjaü hi sarvasya  Vi_20.39c
jãvanty ete gçhà÷ramàt  Vi_59.26b
jãvitaü dharmakàmau ca  Vi_52.16a
juhuyàc caiva ÷aktitaş  Vi_46.25d
juhotiyajatikriyàş  Vi_55.18b
j¤àtvà jàtiü dhanaü vayaş  Vi_5.195b
j¤àtvà bhåmiü jalànugàm  Vi_1.1d
j¤ànaü caiva ya÷asyaü ca  Vi_100.2c
j¤ànaü j¤eyaü j¤ànagamyaü  Vi_97.20c
j¤ànaü tapo 'gnir àhàro  Vi_22.88a
j¤eyaü coktaü samàsataş  Vi_97.21b
j¤eyaü nityaü mumukùuõà  Vi_96.98d
jyaiùñhyaü tatra na vidyate  Vi_18.41d
jyotiùàm api tajjyotis  Vi_97.20a
tatas tv àropayec chikye  Vi_10.12a
tataş ÷uddhaş sa dharmataş  Vi_10.12d
tat kçùõaü samudàhçtam  Vi_58.11d
tattatkàryaü nivarteta  Vi_8.41c
tat tad asya vrateùv api  Vi_27.28d
tat tad guõavate deyaü  Vi_92.32c
tattvàtmànam agamyaü ca  Vi_97.17a
tat punãdhvaü yavà mama  Vi_48.20d
tatpradhànàni yasya tu  Vi_26.7b
tatra kà paridevanà  Vi_20.28d
tatra kà paridevanà  Vi_20.46d
tatra kà paridevanà  Vi_20.48d
tatra vidyà na vaktavyà  Vi_29.8c
tatràdhunà hi deve÷a  Vi_1.46a
tatsvahastaiş prasàdhayet  Vi_7.13d
tathàgataü nàvajayanti ÷atravaş  Vi_72.6d
tathàghamarùaõaü såktaü  Vi_55.7c
tathàdhyàtmikam eva và  Vi_30.43b
tathànusaraõena ca  Vi_35.6d
tathà pårvakçtaü karma  Vi_20.47c
tathà varùati vàsave  Vi_20.23b
tathà vitimirà di÷aş  Vi_1.28b
tathà viditavedyànàü  Vi_1.58a
tathàvidham avàpnoti  Vi_58.12c
tathà vçddhim avàpnuyàt  Vi_6.40d
tathà ÷uddhaü viparyaye  Vi_14.5b
tathà suvarõe vimale ca råpye  Vi_99.10a
tathà sthità tvaü varade tathàpi  Vi_99.6c
tathaikatra kare da÷a  Vi_60.25b
tathaiva ca vayo 'dhikàm  Vi_69.17b
tathaiva dvàda÷ã ÷uklà  Vi_49.10c
tad ànantyàya kalpate  Vi_77.7d
tad ity çco 'syàş sàvitryàş  Vi_55.11c
tad enaü saü÷ayàd asmàd  Vi_10.11c
tad enaü saü÷ayàd asmàd  Vi_11.12c
tad enaü saü÷ayàd asmàd  Vi_12.8c
tad enaü saü÷ayàd asmàd  Vi_13.7c
tad evàkùayam icchatà  Vi_92.32d
tad evàpnoty ayatnena  Vi_51.70c
tadgatà madhusådanaş  Vi_1.13d
tadduşkhe ya÷ ca duşkhitaş  Vi_3.98b
tad devatàş pratyabhinandayanti  Vi_19.23b
tad bhaikùyabhug japan nityaü  Vi_53.9c
tadyuktipratiråpitaiş  Vi_7.12d
tadvat kàmà yaü pravi÷anti sarve  Vi_72.7c
tadvad eva ÷ilàgatam  Vi_23.43d
tanmadhye yo na dç÷yeta  Vi_12.6a
tanmanàş sumanà bhåtvà  Vi_66.16c
tapasà ca tathà dhçtam  Vi_95.15d
tapasà vedavittamàş  Vi_22.90d
tapasvinàü yaj¤ahutàü ca dehe  Vi_99.14d
tapomadhyaü tapo 'ntaü ca  Vi_95.15c
tapomålam idaü sarvaü  Vi_95.15a
tapo hi duratikramam  Vi_95.16d
taptakçcchraü vi÷odhanam  Vi_41.5b
taptakçcchreõa ÷udhyati  Vi_40.2b
tam a÷uddhaü vijànãyàt  Vi_14.5a
tam a÷uddhaü vinirdiùet  Vi_11.8b
tamasaş param ucyate  Vi_97.20b
tam àcàraü niùeveta  Vi_71.90c
tayor anyataraş praiti  Vi_29.7c
tayor api ca kartavyaü  Vi_77.8c
tayor api ca cintayet  Vi_96.23d
tayoş puõyaphalaü samam  Vi_51.76d
tasmàc chràddhaü prayacchata  Vi_20.34d
tasmàc chràddhaü sadà kàryaü  Vi_20.36c
tasmàc chreùñho gçhà÷ramã  Vi_59.27d
tasmàc chreùñho gçhà÷ramã  Vi_59.28d
tasmàt puttra iti proktaş  Vi_15.44c
tasmàt puruùa ity evaü  Vi_97.15c
tasmàt sarvaprayatnena  Vi_45.33c
tasmàt sarvaprayatnena  Vi_52.16c
tasmàt sukçtam àdàya  Vi_67.33c
tasmàd atithir ucyate  Vi_67.34d
tasmàd abhyàgatàn etàn  Vi_59.26c
tasmàd etat trayaü jyayet  Vi_33.6d
tasmàd evaü viditvainaü  Vi_20.53c
tasmàd yaj¤e vadho 'vadhaş  Vi_51.61d
tasmàn màüsaü vivarjayet  Vi_51.71d
tasmin prete na vàcyo 'sau  Vi_5.187c
tasmai na druhyet kçtam asya jànan  Vi_30.47d
tasmai màü bråyà nidhipàya brahman  Vi_29.10d
tasyàdàv eva lakùayet  Vi_11.10b
tasyàpy annaü sodakumbhaü  Vi_21.23c
tasyàü dànopavàsàdyam  Vi_49.10a
tasyotsargeõa ÷udhyanti  Vi_54.28c
tahtà dehàntarapràptir  Vi_20.49c
taü ced abhyudiyàt såryaş  Vi_28.53a
taü ced rathaü nàpaharanti vàjinas  Vi_72.6c
taü dçùñvà tatra madhyasthaü  Vi_1.39c
taü dçùñvà puõóarãkàkùaü  Vi_1.44a
taü manyeta pitaraü màtaraü ca  Vi_30.47c
taü saütàrayati pautravat  Vi_15.47d
tàóyante musalaiş kvacit  Vi_43.38b
tàdyamànà÷ ca kiükaraiş  Vi_43.37b
tàni medhyàni nirdi÷et  Vi_23.51b
tàràgaõàóhye gagane vimeghe  Vi_99.9b
tàvat kçtveha màraõam  Vi_51.60b
tàvad a÷nanti pitaro  Vi_81.21c
tàvan mçdvàri deyaü syàt  Vi_23.39c
tàsàü praõàmaü satataü ca kuryàt  Vi_23.61d
tàü÷ càrayitvà trãn kçcchràn  Vi_54.26c
tiryagyonau tathaiva ca  Vi_20.35b
tiryagyonau prajàyate  Vi_93.13d
tiryagyonau prapadyante  Vi_43.45c
tirya¤caş pakùiõas tathà  Vi_51.63b
tilaiş pracchàdya vàsobhiş  Vi_87.8c
tiùñhaty ayaü devavaro 'sitàkùi  Vi_99.6b
tãrthànusaraõaü dayà  Vi_2.16d
tãrthànusaraõena và  Vi_36.8d
tudyamànà÷ ca kaõñakaiş  Vi_43.35b
tulàdhàrasya te lokàs  Vi_10.9c
tulàü dhàrayato mçùà  Vi_10.9d
tulito yadi vardheta  Vi_10.12c
tulyà daõóena càpy atha  Vi_8.37d
tuùñeùu tuùñàş satataü bhavanti  Vi_19.23c
tåùõãübhåtà udàsate  Vi_8.37b
te kåñasàkùiõàü pàpais  Vi_8.37c
tena tena vihãnaş syàd  Vi_52.15c
tena pàpena karmaõà  Vi_93.10d
tena svarge mahãyate  Vi_25.15d
tenaiva càjyaü juhuyàd  Vi_65.15c
te patanty andhatàmisre  Vi_93.10c
te 'pi kàlena nãyante  Vi_20.27c
tebhyo labdhena bhaikùyeõa  Vi_28.50a
teùàm apy etad àdi÷et  Vi_54.27d
teùàü tvadbhàra àhitaş  Vi_1.47d
teùàü svarge gatiş parà  Vi_100.1d
te sarve japayaj¤asya  Vi_55.20c
tair eva ÷uklatàü candre  Vi_1.36a
tailabindur ivàmbhasi  Vi_3.97d
tyaktvà pårvadhçtaü naraş  Vi_20.50b
tyàginàü kulayoùitàm  Vi_81.23b
trayoda÷yàü samàhitaş  Vi_78.52d
tràyante mçtyunopetaü  Vi_20.45c
triguõaü tu vanasthànàü  Vi_60.26c
tripadà caiva gàyatrã  Vi_55.15c
tribhir eva tu yà bhuktà  Vi_5.188a
tribhir varùair vyapohati  Vi_53.9d
tribhiş kçcchrair vyapohati  Vi_54.25d
tribhya eva tu vedebhyaş  Vi_55.11a
triràtreõaiva ÷udhyati  Vi_22.87d
trivargasevàü satatànnadànaü  Vi_59.29a
trividhaü narakasyedaü  Vi_33.6a
trisaptàhàd athàpi và  Vi_14.4b
triş pañhed àyatapràõaş  Vi_55.9c
trãõi devàş pavitràõi  Vi_23.47a
trãõi varùàõy atandritaş  Vi_55.16b
trãõy àjyadohàni rathantaraü ca  Vi_56.27a
tvacevàhir vimucyate  Vi_55.13d
tvatto 'ham ÷rotum icchàmi  Vi_1.49a
tvadarthaü tatprasàdataş  Vi_1.32d
tvam agne sarvabhåtànàm  Vi_11.11a
tvam ambhaş sarvabhåtànàm  Vi_12.7a
tvam eva dhaña jànãùe  Vi_10.10c
tvam eva nidrà jagataş pradhànà  Vi_99.4a
tvam eva viùa jànãùe  Vi_13.6c
tvam evàgne vijànãùe  Vi_11.11c
tvam evàmbho vijànãùe  Vi_12.7c
tvaràkrodhavivarjitaş  Vi_66.16d
tvaü gatir brahmavàdinàm  Vi_1.57d
tvaü gatiş sarvadevànàü  Vi_1.57c
tvaü hi me paramà gatiş  Vi_1.49b
tvàü dhare dhàrayiùyanti  Vi_1.47c
dakùiõàhçdayo yoga-  Vi_1.8a
dagdho và na vibhàvyate  Vi_11.9b
daóç÷e ke÷avàlayam  Vi_1.39d
daõóakàrã naràdhamaş  Vi_5.196d
daõóa÷ carati nirbhayaş  Vi_3.95b
daõóaü prakalpayed ràjà  Vi_5.195c
daõóyaü pramocayan daõóyàd  Vi_5.196a
dattam akùayyatàü yàti  Vi_79.24c
dattvà svargam avàpnoti  Vi_88.4c
dattvaivàpahçtaü dravyaü  Vi_52.14a
dadar÷a madhusådanam  Vi_1.40d
dadàti yas tu vipràya  Vi_87.10c
dadyàd apaharec càü÷aü  Vi_17.17c
dadyàd asthimatàü vadhe  Vi_50.47b
dadyàd varùaü dvijanmane  Vi_21.23d
dadyus te 'rthaü yathàkçtam  Vi_6 42b
dantakàùñhaü kadàcana  Vi_61.17d
damaş pavitraü paramaü  Vi_72.5a
damena sarvam àpnoti  Vi_72.5c
darbheùu vikira÷ ca yaş  Vi_81.23d
dar÷ane pratyaye dàne  Vi_6 41a
da÷aràtreõa ÷udhyati  Vi_22.85d
da÷a varùàõi pa¤ca ca  Vi_57.12b
da÷àrdhayuktena rathena yàto  Vi_72.6a
dahyante sarvapàpàni  Vi_55.8c
daüùñràgreõa samuddhçtya  Vi_1.11a
daüùñriõàm àtatàyinàm  Vi_5.189b
dàtàro no 'bhivardhantàü  Vi_73.28a
dànam indriyasaüyamaş  Vi_2.16b
dàne ca vidhibodhite  Vi_64.40d
dànenàkàryakàriõaş  Vi_22.90b
dàruõeùu tathà kvacit  Vi_43.40b
dàsagopàlanàpitàş  Vi_57.16b
dàsavargasya tat pitrye  Vi_81.24c
dàhena ca bhuvaş ÷uddhir  Vi_23.57a
dinam ekam payovrataş  Vi_50.50d
divasànte visarjayet  Vi_13.5d
divi candrabçhaspatã  Vi_49.9b
divi tiùñhanti devatàş  Vi_19.22b
divye ca ÷uddhaü puruùaü  Vi_14.5c
dãpte hutà÷e vimale ca khóga  Vi_99.12c
dãrgham àyur jijãviùuş  Vi_69.17d
durbalà÷ ca tathàpare  Vi_45.33b
durvibhàvyamukhàmbujam  Vi_1.41b
duùkçtaü tu prayacchati  Vi_67.33d
duşkham a÷nanti dàruõam  Vi_43.32d
duşkhàni vividhàni ca  Vi_43.45d
duşkhànvitànàü mçtabàndhavànàm  Vi_19.24a
duşsvapnanà÷aü bahupuõyayuktaü  Vi_100.5c
duşsvapnaü durvicintitam  Vi_64.41b
dårasthaü càntike ca tat  Vi_97.18d
dåùitaü ke÷akãñai÷ ca  Vi_23.38c
dç÷yete sahitau yasyàü  Vi_49.9a
dçùñavàüs tàü ca ka÷yapaş  Vi_1.21d
dçùñvà lokam anàkrandaü  Vi_20.38a
dçùñvà ÷riyaü devadevasya viùõor  Vi_99.1a
devatàtithibhçtyànàü  Vi_59.25a
devatàyataneùu ca  Vi_91.19b
devatve yàtanàsthàne  Vi_20.35a
devadevam abhàùata  Vi_1.48b
devadeve janàrdane  Vi_1.19b
devabràhmaõapåjanam  Vi_2.17b
devabràhmaõasaünidhau  Vi_9.33d
devamànuùikaü jagat  Vi_95.15b
deva ÷àrïgadhanurdhara  Vi_1.51b
devasya pàr÷ve tapanãyavarõe  Vi_99.7d
devàgàre kathaücana  Vi_68.47b
devàn pitén manuùyàü÷ ca  Vi_67.42a
devà brahmarùaya÷ caiva  Vi_20.26c
devàya vinivedayet  Vi_65.14d
devàribalasådana  Vi_1.49d
devàlayeùu dhvajabhåùiteùu  Vi_99.10d
devã strãråpadhàriõã  Vi_1.21b
devo vacanam abravãt  Vi_1.46d
de÷e na ca a÷ucau nàrdre  Vi_70.17c
dehatyàgo 'nupaskçtaş  Vi_16.18b
dehaü karmanibandhanam  Vi_20.50d
dehàc caiva malà÷ cyutàş  Vi_23.51d
dehino 'smin yathà dehe  Vi_20.49a
dehe kumàryà÷ ca tathà suràõàü  Vi_99.14c
daityendraniyutàni ca  Vi_20.25b
daivapitryàthiteyàni  Vi_26.7a
daive pitrye ca karmaõi  Vi_64.40b
dauhitro 'pi hy aputraü  Vi_15.47c
dravyahastaş kathaücana  Vi_23.55b
dvàda÷aite nçõàü malàş  Vi_22.81d
dvàraü nà÷anam àtmanaş  Vi_33.6b
dviguõaü daõóam àvahet  Vi_5.196b
dviguõaü dàtum arhati  Vi_6 43d
dviguõaü brahmacàriõàm  Vi_60.26b
dvijasya bhàryà ÷ådrà tu  Vi_26.5a
dvijaş ÷ukram akàmataş  Vi_28.51b
dvãpànàm udadhãnàü ca  Vi_1.15c
dveùya÷ càsya na vidyate  Vi_20.43b
dvau màsau màghaphàlgunau  Vi_90.29d
dhaña ity abhidhãyase  Vi_10.10b
dhanasaubhàgyavardhanam  Vi_100.2d
dhanahiüsàparas tathà  Vi_52.17b
dhanahiüsàparas tayoş  Vi_52.17d
dhanahiüsàü vivarjayet  Vi_52.16d
dhanaü ÷uklam udàhçtam  Vi_58.9d
dhanikacchandataş kriyà  Vi_6 42d
dhanikasyàpy upàyataş  Vi_52.14b
dhanikenopapãóitaş  Vi_6 43b
dhane yasmàt pratiùñhitau  Vi_52.16b
dhare tava vi÷àlàkùi  Vi_1.31a
dhare daõóavidhir mayà  Vi_5.194b
dharma eko 'nuyàty enaü  Vi_20.40a
dharmakàmo jitendriyaş  Vi_71.90d
dharmaj¤à brahmacàriõaş  Vi_28.48d
dharmatas tràtum arhasi  Vi_10.11d
dharmatas tràtum arhasi  Vi_11.12d
dharmatas tràtum arhasi  Vi_12.8d
dharmatas tràtum arhasi  Vi_13.7d
dharmadhvajã sadà lubdha÷  Vi_93.8a
dharmaparyàyavacanair  Vi_10.10a
dharmam ekaü sahàyàrthaü  Vi_20.38c
dharmayone varaprada  Vi_1.54b
dharmavyapekùàsu dayànvitàsu  Vi_99.22c
dharma÷àstram idaü ÷reùñhaü  Vi_100.1a
dharmasatyamayaş ÷rãmàn  Vi_1.5a
dharmaü kuruta mà ciram  Vi_20.40d
dharmaş sàmànya ucyate  Vi_2.17d
dharmàdharmaj¤a dharmàïga  Vi_1.54a
dharmàn nigadato mama  Vi_1.65b
dharmàn vada sanàtana  Vi_1.48d
dharmàrtham iti ni÷citam  Vi_93.14d
dharmàrthaü na kvacid bhavet  Vi_26.5b
dharmàrthau yatra na syàtàü  Vi_29.8a
dharmotkañe càtya÷anàd vimukte  Vi_99.19b
dhãras tatra na muhyati  Vi_20.49d
dhyànayogena càrvaïgi  Vi_1.32c
dhyàyeta puruùaü viùõuü  Vi_97.16c
dhruvas tasya paràjayaş  Vi_8.39d
dhruvaü janma mçtasya ca  Vi_20.29b
dhruvaü vàcaspatiü prabhum  Vi_1.58d
dhruvàkùara susåkùme÷a  Vi_1.57a
na kàlasya priyaş ka÷cid  Vi_20.43a
na kvacit sukham edhate  Vi_51.68d
nakhinàü ÷çïgiõàü caiva  Vi_5.189a
na gaur na narajà malàş  Vi_23.40b
na ca parvatamastake  Vi_70.17d
na ca pràõivadhaş svargyas  Vi_51.71c
na ca svargaü sa gacchati  Vi_26.7d
na ca havyaü vahaty agnir  Vi_57.12c
na càpathyaü kathaücana  Vi_68.48b
na càpnoti gçhã lokàn  Vi_67.44c
na cehàjàyate punaş  Vi_28.47d
na cainaü kledayanty àpo  Vi_20.51c
na jàtu tiùñhe puruùottamena  Vi_99.23b
na jugupseta dharmavit  Vi_54.31d
na tato 'nyo 'sty apuõyakçt  Vi_51.75d
na tat putrair bhajet sàrdham  Vi_18.43c
na tat phalam avàpnoti  Vi_51.77c
na tadbhåtaü prapa÷yàmi  Vi_20.22c
na taü druhyet kadàcana  Vi_30.43d
na taü bhajeran dàyàdà  Vi_17.22c
na tàdç÷aü bhavaty eno  Vi_51.62a
na tu tçpyet svayaü tataş  Vi_57.13d
na tçtãyam athà÷nãta  Vi_68.48a
na tair aprayato bhavet  Vi_23.54d
na dagdhaş sarvathà yas tu  Vi_11.8c
na dadyàl lobhataş pa÷càt  Vi_6.40c
na dantàntaraveùñitam  Vi_23.53d
na dànaü ya÷ase dadyàn  Vi_93.14a
nadã vegena ÷udhyati  Vi_22.91b
nadãùu bahutoyàsu  Vi_85.69c
nadãş ÷ailavanaspatãn  Vi_1.16b
na dharmasyàpade÷ena  Vi_93.11a
na nirvapati pa¤cànàm  Vi_59.25c
na nivàrayituü ÷aktas  Vi_20.46c
na nçtyagãta÷ãlebhyo  Vi_93.14c
nanv asàre nçloke 'smin  Vi_20.40c
na pàtavyà dvijàtibhiş  Vi_22.82d
na bakavratike pàpe  Vi_93.7c
na bhakùayati yo màüsaü  Vi_51.73a
na bhayàn nopakàriõe  Vi_93.14b
na bhàõóe bhàvadåùite  Vi_68.49b
na bhàvaduùñam a÷nãyàn  Vi_68.49a
namas te devadeve÷a  Vi_1.49c
na mithyà jàyate kvacit  Vi_19.22d
na mçdvàri÷uciş ÷uciş  Vi_22.89d
narakaü caiva gacchati  Vi_25.16d
narakaü pratipadyate  Vi_76.2d
naraş saüvatsaraü phalam  Vi_5.184b
navatoyasamudbhave  Vi_23.45d
na vàry api prayaccheta  Vi_93.7a
na vidur yàni mànavàş  Vi_11.11d
na vidur yàni mànuùàş  Vi_10.10d
na vidur yàni mànuùàş  Vi_12.7d
na vidur yàni mànuùàş  Vi_13.6d
na vibhàjyaü ca pustakam  Vi_18.44d
na vyatãtàş pitàmahàş  Vi_20.23d
na vrataü nàpy upoùitam  Vi_25.15b
na vratena viyujyate  Vi_22.86d
na ÷oùayati màrutaş  Vi_20.51d
na ÷ma÷råõi gatàny àsyaü  Vi_23.53c
na÷yanta iti dhàraõà  Vi_64.41d
na sàyaü pràtar à÷itaş  Vi_68.48d
na sàhasikadaõóaghnau  Vi_5.197c
na hi pratãkùate mçtyuş  Vi_20.41c
na hãnàïgãü nàdhikàïgãü  Vi_69.17a
na homà na punar japàş  Vi_20.45b
na hy anyà niùkçtis teùàü  Vi_34.2c
nàkalyàõaü na kalyàõaü  Vi_96.23c
nàkàmo dàtum arhati  Vi_18.42d
nàkà÷e na tathotthitaş  Vi_68.46b
nàkçtvà pràõinàü hiüsàü  Vi_51.71a
nàtatàyivadhe doùo  Vi_5.191a
nàtiprage nàtisàyaü  Vi_68.48c
nàtisauhityam àcaret  Vi_68.47d
nàdadyàt kulañàùaõóha-  Vi_57.14c
nàdeyã÷ ca nadãùu ca  Vi_1.14b
nàdyàd vipraş kathaücana  Vi_51.59b
nànàcchandogatipatho  Vi_1.9a
nànàdãkùàbhir anvitaş  Vi_1.7d
nànàvidhànàü dravyàõàü  Vi_22.93c
nànugantuü naraü mçtam  Vi_20.39b
nànu÷ocitum arhatha  Vi_20.53d
nànåcyeta yathàvidhi  Vi_54.26b
nànyatreti kathaücana  Vi_51.64d
nànyastrãgo na duùñavàk  Vi_5.197b
nàpahàryaü tu tat kvacit  Vi_5.186d
nàpràptakàlo mriyate  Vi_20.44a
nàbhivàdyeha pàdayoş  Vi_32.13b
nàràyaõa jagannàtha  Vi_1.50a
nàrãùu nityaü suvibhåùitàsu  Vi_99.21a
nàrthaü kiücit samàcaret  Vi_54.31b
nàvedavidi dharmavit  Vi_93.7d
nàvedavihitàü hiüsàm  Vi_51.66c
nà÷ayadhvaü yavà mama  Vi_48.19d
nà÷nanti pitaras tasya  Vi_57.12a
nà÷nanti pitçdevàs tu  Vi_26.7c
nà÷nãyàd bhàryayà sàrdhaü  Vi_68.46a
nàsti loke sahàyatà  Vi_20.29d
nàsti strãõàü pçthagyaj¤o  Vi_25.15a
nityam àsyaü ÷uci strãõàü  Vi_23.49a
nityam eva mahàmuniş  Vi_1.20d
nityasnànena påyante  Vi_64.42c
nityasnàyã jitendriyaş  Vi_89.4b
nityasnàyã na pa÷yati  Vi_64.42b
nityaü triùavaõasnàyã  Vi_46.24c
nityaü ÷uddhaş kàruhastaş  Vi_23.48a
nityaş satatagaş sthàõur  Vi_20.52c
nityàn àha prajàpatiş  Vi_76.2b
nimeùamàtraü ca vinà kçtàhaü  Vi_99.23a
nimloced vàpy+avij¤ànàj  Vi_28.53c
niyatàsmiü÷ caràcare  Vi_51.67b
niyukta÷ càpy adaõóyànàü  Vi_5.196c
nirguõaü guõabhoktç ca  Vi_97.17d
nirguõaü pa¤caviü÷akam  Vi_97.16d
nirõodaş sarvapàpànàü  Vi_48.17c
nirmokam iva ÷eùàher  Vi_1.39a
nirhçtya tu vratã pretàn  Vi_22.86c
nivasann àtmavàn dvijaş  Vi_51.66b
niùaõõà bhava vàmoru  Vi_1.64c
nihantà krayavikrayã  Vi_51.74b
nãyamànà÷ ca te yathà  Vi_43.33d
nãlapaïkajapatràkùãü  Vi_1.22a
nãlaü và vçùam utsçjet  Vi_85.71d
nãlàbjanetre tapanãyavarõe  Vi_99.3a
nãlotpalayutà di÷aş  Vi_1.27d
netà cet sàdhu pa÷yati  Vi_3.95d
naikagràmãõam atithiü  Vi_67.35a
naikasmin bahavas tathà  Vi_68.46d
nainaü chindanti ÷astràõi  Vi_20.51a
nainaü dahati pàvakaş  Vi_20.51b
nocchiùñaü kurvate mukhyà  Vi_23.53a
nocchiùño na divà supyàt  Vi_70.17a
nopakuryàn naraş ÷ocan  Vi_20.37c
nopeyàd gurviõãü nàrãü  Vi_69.17c
nau÷adhàni na mantrà÷ ca  Vi_20.45a
pakveùñakacitàni ca  Vi_23.41d
pakùijagdhaü gavà ghràtam  Vi_23.38a
pa¤cagavyaü nyaset pa÷càn  Vi_23.45c
pa¤cagavyaü pibec chådro  Vi_54.7a
paõànàü dve ÷ate sàrdhe  Vi_4.14a
paõyaü yac ca prasàritam  Vi_23.48b
patitebhyas tathà dviùaş  Vi_57.14d
pativratàsu priyavàdinãùu  Vi_99.21b
patiü ÷u÷råùate yat tu  Vi_25.15c
patyau jãvati yaş strãbhir  Vi_17.22a
patyau jãvati yà yoùid  Vi_25.16a
patrair eva ca yuktibhiş  Vi_7.12b
padanyàsair vasumatãü  Vi_1.29a
padmanàbha hçùãke÷a  Vi_1.50c
panthà deyà nçpas tv eùàü  Vi_63.50c
panthàna÷ ca vi÷udhyanti  Vi_23.40c
papraccha devãü vasudhà prahçùñà  Vi_99.1d
parapårvàsu bhàryàsu  Vi_22.43c
parameùñhã prajàpatiş  Vi_55.11d
paralokaü ca nãyate  Vi_20.28b
parasparam athà÷nanti  Vi_43.41c
paràkaü ca tathà kuryur  Vi_37.36c
parànnapànaü lipsantas  Vi_43.37a
pareùàm antyakarma ca  Vi_54.25b
palvaleùu ca pàlvalyaş  Vi_1.14c
pavanakùobhasaüjàta-  Vi_1.34c
pavitram çùibhir dhçtam  Vi_48.17d
pavitràõàü tathà japye  Vi_64.40c
pavitràõi japen nityaü  Vi_46.25c
pa÷ujànur mahàkçtiş  Vi_1.5d
pa÷upakùimçgàdyàü÷ ca  Vi_1.17c
pa÷yec cej jãvato mukham  Vi_15.45d
pàõinà ÷akalena và  Vi_94.13d
pàõóuraü khagamàgamyam  Vi_1.37c
pàtàlasaptakaü cakre  Vi_1.15a
pàdaü pàdam adåduhat  Vi_55.11b
pàdàbhyaïgaü sadãpakam  Vi_67.46b
pàdàv atimanoramau  Vi_1.26b
pàpaü kçtvà vrataü caret  Vi_93.11b
pàpànàm apanuttaye  Vi_54.34b
pàyasena samàcaret  Vi_78.53b
pàr÷vikadyåtacauryàpta-  Vi_58.11a
piõóatoyapradàyinaş  Vi_20.32d
pitaraü tràyate sutaş  Vi_15.44b
pitaraü màtaraü gurum  Vi_22.86b
pità putrasya jàtasya  Vi_15.45c
pitàputrau vijànãyàd  Vi_32.17c
pitçto 'ü÷aprakalpanà  Vi_17.23b
pitçdaivatakarmaõi  Vi_51.64b
pitçbhaktyà tu madhyamam  Vi_31.10b
pitçmàtçpradar÷itàş  Vi_16.17b
pitçmedhaü samàcaran  Vi_22.85b
pitçlokagata÷ cànnaü  Vi_20.34a
pitçlokagatasyàsya  Vi_20.34c
pitçve÷mani yà kanyà  Vi_24.41a
pitéõàm annapànaü tat  Vi_86.20c
pitéõàm àtmana÷ ca yaş  Vi_59.25b
pitéõàm upatiùñhate  Vi_77.9d
pitéüs tasyopatisñhati  Vi_86.19d
pitrà bhuktaü tu yad dravyaü  Vi_5.187a
pibaty atha jalà÷aye  Vi_86.19b
piben nà¤jalinà toyaü  Vi_68.47c
pi÷àcoragagandharva-  Vi_1.17a
pi÷unaü caiva ràjasu  Vi_5.192d
pãóyamànà÷ ca tçùõayà  Vi_43.35d
pãóyamànàs tathà yantraiş  Vi_43.43c
pãtavàsasamakùobhyaü  Vi_1.42a
pãnorujaghanasthalàm  Vi_1.23d
puñenaiva palà÷ena  Vi_94.13c
