YAMASMRTI: CUMULATIVE PADA INDEX OF FOUR VERSIONS (78 / 99 / 182 verses, and South Indian recension)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.





STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse
YS99v_nn = Yamasmçti, 99-verse version_verse
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse
YSS_nn = Yamasmçti, South Indian recension

[For details of the e-texts see the separate files of the respective version.]



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akartà nityayaj¤ànàü  YSS_2.9a
gràsaü ca parikalpayet  YS182v_2.5b
gràsaü và yadi gçhõãyàt  YS99v_47a
ghçtaü yonyàü kùiped ghoraü  YS182v_4.37c
ghçtàhutyà ÷atàùñakaü  YS182v_3.58d
caõóàëotsçùñam utsçjet  YSS_2.22d
caõóàlapukkasànàü ca  YS99v_28a
caõóàlamuùñikà÷ caiva  YSS_1.32 Ba
caõóàla÷vapacaiþ spçùñe  YS99v_64a
caõóàlaü patitaü spç÷et  YS99v_2b
caõóàlàdyàsu nàrãùu  YSS_1.28a
caõóàlànnaü katha¤cana  YSS_1.6b
caõóàlànnaü kadàcana  YS99v_26b
caõóàlaiþ ÷vapacaiþ spçùño  YS99v_10a
caõóàlau tàv ubhau j¤eyau  YSS_1.36c
caturõàm api varõanàü  YS182v_3.64c
caturõàm api varõànàü  YSS_1.35a
caturõàm api varõànàü  YS182v_1.1c
caturõàm api varõànàü  YS78v_1c
caturthe pa¤came caiva  YS99v_88a
caturthe sa÷ikhaü vapet  YS78v_72d
caturthe 'hani ràtriùu  YS99v_86b
caturvarùàdhikasya ca  YSS_1.20b
caturvidhà kriyà proktà  YSS_2.76c
catvàri khalu karmàõi  YS78v_76a
catvàro 'py avi÷eùataþ  YSS_1.25b
catvàro 'py avi÷eùataþ  YS99v_31b
carec càndràyaõadvayam  YS182v_4.44b
carec càndràyaõavratam  YSS_1.23b
carec càndràyaõavratam  YS182v_3.11d
carec càndràyaõaü vratam  YS182v_2.4d
carec càndràyaõaü vratam  YS78v_8d
carec càndràyaõaü vratam  YS78v_21d
carec càndràyaõàni ca  YS78v_49b
caret sàütapanaü vipraþ  YS182v_1.11a
càõóàlaghañabhàõóasthaü  YS182v_1.9a
càõóàlabhàõóasaüspçùñaü  YS182v_1.8a
càõóàlamårtikà ye ca  YS182v_1.14a
càõóàlam çtumatstriyaþ  YS182v_3.8b
càõóàlarajakastriyaþ  YS78v_18b
càõóàlànnaü bhakùayitvà  YS182v_1.12a
càõóàlikàsu nàrãùu  YS182v_1.15a
càõóàlair arajasvalà  YS78v_62b
càndràyaõam athàpi và  YS182v_1.12d
càndràyaõàdãni hi pàvanàni  YSS_1.57a
càndràyaõàbhyàü ÷udhyeta  YS99v_24c
càndràyaõena ÷uddhyanti  YS78v_3c
càndràyaõena ÷udhyanti  YSS_1.8c
càndràyaõena ÷udhyanti  YS182v_1.4c
càndràyaõena ÷udhyanti  YS99v_23c
càùamaõóåkamàrjàra-  YSS_2.5a
cuübayan guhyam eva và  YSS_2.57d
cchedayed aïguladvayam  YS182v_4.17b
cchedayed aïguladvayam  YS99v_54b
chatam aùñottareõa hi  YS182v_4.38d
chardi÷ ca na bhavet pathi  YSS_2.16b
chidradàtà vilaübhane  YSS_2.29b
chidrapradàtà stenànàü  YSS_2.30a
chettà taråõàü ghañasevitànàü  YSS_1.40b
chedayed aïgulidvayam  YS78v_74b
janaka¤ janakàdhyakùo  YSS_2.46a
janakaü ÷uëbasaüspçùñaü  YSS_2.70a
japtvàghamarùaõaü pakùaü  YSS_1.28c
japtvàghamarùaõaü såktaü  YSS_1.26c
jambåkena vçkeõa và  YS182v_1.2b
jalamadhye jalaü kùipet  YS99v_93d
jalàgnibandhanabhraùñàþ  YS182v_1.3a
jalàgnyudbandhanabhraùñàþ  YSS_1.7a
jalàgnyudvandhanabhraùñàþ  YS78v_2a
jalàdyudbandhanabhraùñàþ  YS99v_22a
jale dadyàj jalà¤jalãn  YS99v_98b
jàtakarmàdibhiþ proktaiþ  YS78v_49c
jàtake naiva mçtakaü  YS182v_4.20a
jàtake vartamàne 'pi  YS182v_4.18c
jàtake så([mç])take và 'pi  YS182v_5.12c
jàtam antyajasaüj¤akam  YS182v_5.2b
jàtaråpaü suvarõa¤ ca  YS78v_19a
jàtaråpyaü suvarõaü tu  YS182v_3.9a
jàtihãnau tathàiva tau  YSS_1.37d
jàtena ÷udhyate jàtaü  YS99v_76a
jàyate viphalaü sarvaü  YSS_2.28c
jàrajàtaþ savarõàyàü  YSS_1.37a
jãvato dvi÷ataü damaþ  YS99v_20d
jãvamàno 'pi và ÷astraiþ  YSS_2.9c
juhuyàt sarpiùàhutãþ  YS99v_6d
j¤àtvà caiva vratadvayam  YS182v_2.2d
j¤àtvà dharmaü samàcaret  YS78v_51d
j¤àtvà bhuïkte vi÷eùeõa  YS78v_8c
j¤àtvà liïgaiþ pravàsayet  YSS_2.31d
j¤àtvà vi÷eùeõa tata÷  YS182v_2.4c
j¤ànapradãpena tamo 'ndhakàre  YSS_1.57d
j¤ànàt kçcchràbdam uddiùñam  YSS_1.14c
j¤ànàt kçcchràbdam uddiùñam  YSS_1.33c
j¤à[snà]nena lepopahatasya ÷uddhiþ  YS182v_3.61d
j¤eyas sahàyas tu sukhàsukheùu  YSS_1.49d
jyeùñhabhràtà tathaiva ca  YS182v_3.22b
jyeùñhena và kaniùñhena  YS182v_5.21a
jyeùñhena hi kçtaü sarvaü  YS182v_5.14c
jyeùñho bhràtà tathaiva ca  YS78v_23b
takùacarmopajãvinaþ  YS182v_3.52d
taóàgaü pårtam ucyate  YS99v_69b
tataþ karma samàcaret  YS182v_3.59b
tataþ ÷uddhir vidhãyate  YS99v_63d
tataþ ÷uddhyeta àturaþ  YS78v_53d
tato devalaka÷ caiva  YS78v_33a
tat kàpàlikam asyàgraü  YSS_1.13c
tat kùaõe 'sau vidhãyate  YS182v_3.25d
tatkùanàt kùipate yas tu  YS182v_1.9c
tat pàpas tu praõa÷yati  YS78v_11d
tat pàpaü na praõa÷yati  YS182v_3.60b
tat pàpaü na praõa÷yati  YS78v_43d
tat pàpaü parùadaü vrajet  YS182v_4.29d
tat pàpaü ÷atadhà bhåtvà  YS99v_60c
tatra vratam akurvàõaü  YSS_2.3c
tatràpi doùa¤ ca pa÷upramàõaü  YSS_1.53c
tatràpi doùaü na vadanti tajj¤àþ  YSS_1.47c
tatraiva ÷uddha÷ ca tathaiva daõóyaþ  YSS_1.47d
tat samaü såtakaü yàti  YS99v_85c
tatsamo nàtra saü÷ayaþ  YS182v_4.23b
tat sarvaü saphalaü bhavet  YS182v_5.12d
tatsvàminaþ pràõidhanair vimucyaþ  YSS_1.52b
tathà kùattriyavai÷yau và  YS182v_4.42c
tathà carmopajãvinãm  YS182v_2.1d
tathà ca vçùalãpatiþ  YS182v_3.26b
tathà caiva tu mohitaþ  YS182v_3.53b
tathà dàpya÷ caturguõaü  YSS_2.38d
tathà dàpyo bhavec chataü  YSS_2.58d
tathà devalaka÷ caiva  YS182v_3.37c
tathà pàtakinàü caiva  YS182v_4.24a
tathà piõóodake 'pi ca  YS99v_85d
tathà purãùam uddiùñaü  YSS_2.16a
tathà bhoktà ca màsikaü  YSS_2.50d
tathà bhojayità svaü và  YSS_2.56c
tathà varõottamàm api  YS99v_36b
tathà vai ÷ånyavaktàraü  YSS_2.31c
tathà ÷yenaü÷ ca kukkuñaü  YSS_2.6b
tathà saükãrõayonijàþ  YSS_1.32 Bb
tathà strãõàü ca dàpayet  YS182v_4.32b
tathà strãõàü vigarhitam  YS182v_4.35b
tathaiva pratigçhya ca  YSS_1.23Ab
tathaiva pratigçhya ca  YSS_1.33b
tathaiva mantravidyuktaþ  YS182v_3.41a
tathaiva vanabarhiõaü  YSS_2.6d
tathaivaü vai÷yayoùità  YSS_2.71b
tadarddhan tu tathottarà  YS78v_60d
tadardhaü tu cared vai÷yaþ  YS182v_1.11c
tad arpite bhoktari nànu÷eyaü  YSS_1.43c
tadà tasya tu tat pàpaü  YS99v_65c
tadbhakùaõe japen nityaü  YS182v_3.12c
tad bhaikùabhug japen nityaü  YS78v_26c
tadvat salilam eva ca  YS182v_1.12b
tanayàgàminàü tathà  YS182v_2.2b
tannàrãgàminàü tathà  YSS_1.14b
tannàrãgàminàü tathà  YS99v_29b
tan no bråhi mahàmune  YSS_1.2d
tan màtreõaiva ÷uddhyati  YS78v_45d
tanmàlàbaddha÷ekharaü  YSS_2.25b
taptakçcchra¤ cared vipras  YS78v_11c
taptakçcchradvayaü caret  YS182v_1.6d
taptakçcchradvayena ca  YS182v_1.4d
taptakçcchradvayena và  YSS_1.8d
taptakçcchradvayena và  YS78v_3d
taptakçcchradvayena và  YS99v_23d
taptakçcchraparikliùño  YSS_1.15c
taptakçcchraparikùipto  YS99v_30c
taptakçcchraü cared vipro  YS182v_2.3c
taptakçcchraü tu pàùàõe  YS99v_49c
taptakçcchraü samàcaret  YSS_1.32Ad
taptakçcchraü samàcaret  YS182v_1.14d
taptakçcchraü samàcaret  YS182v_3.4d
taptakçcchraü samàcaret  YS78v_5d
taptakçcchraü samàcaret  YS78v_55b
tam eva parisarpati  YS99v_60d
tarkapramàõaiþ pratitarkayitvà  YSS_1.56a
tasmàc ca pàpinà gràhyaü  YS182v_4.7a
tasmàc chàstrànusàreõa  YS182v_4.30a
tasmàc chådras tu yaj¤àrthaü  YSS_2.64a
tasmàt pàpàd vi÷uddhyarthaü  YS182v_4.49c
tasmàt sarvaprayatnena  YS182v_3.40a
tasmàt sàhasino ràjà  YSS_2.73c
tasmàd apsu jalaü deyaü  YS99v_95c
tasmàd ava÷yaü ÷ràddheùu  YSS_2.67a
tasmàd bràhmaõa([õya])m uttamam  YS182v_5.3d
tasmin damo na prayojyo  YSS_2.2c
tasya kàlasya kà kriyà  YS182v_3.57b
tasya vakùyàmi niùkçtim  YS99v_2d
tasya ÷aucaü vinirdi÷et  YS99v_4d
tasya hçtvà tu sarvasvaü  YSS_2.30c
tasyà¤ caiva prasåtasya  YS78v_28c
tasyàs tu yo bhaved bhartà  YS182v_3.24c
tasyàü caiva prasåtasya  YS182v_3.15c
tasyàü tu ÷uklasektàraü  YSS_2.27a
tasyàþ piõóodakaü kriyàþ  YS99v_78d
taü ghàtayet mudgarapàtaghàtaiþ  YSS_1.41d
taü tu vidyàd ajàvikam  YS182v_3.24d
taü dàpayitvà dhanine nçpeõa  YSS_1.52a
tàn doùàn kùamate yas tu  YS182v_3.17c
tàn doùàn kùamate yas tu  YS78v_36c
tàn dharmavighnakartéü÷ ca  YS99v_59c
tàmràyà÷ ca payo gràhyaü  YS99v_71c
tàmre và mçnmaye ÷ubhe  YS99v_74d
tàratam yena dàtavyam  YS182v_4.34c
tàratam yena dàtavyaü  YS182v_4.41a
tàratam yena và dvijaiþ  YS182v_5.6d
tàvaccãrõavratasyàpi  YS182v_3.60a
tàvac cãrõavratasyàpi  YS78v_43c
tàvato grasate piõóàn  YS78v_40c
tàvato grasate pretya  YS182v_3.29c
tàvat tiùñhet niràhàrà  YS78v_61c
tàvadvarùasahasràõi  YS99v_91c
tulyadoùe vidaõóanam  YSS_2.3b
tulyair atulyair và dravyaiþ  YSS_2.40a
tålikà upadhànàni  YS78v_50a
tçõàgreõàpi saüspçùñvà  YS182v_3.26c
tçtãye tu ÷ikhà dhàryà  YS78v_72c
tçtãye và caturthake  YS99v_87b
te 'kulàcàrikàþ smçtàþ  YSS_1.34d
tena nityaü samàcaret  YSS_2.40d
tena snàtvà ca pãtvà ca  YS182v_3.9c
tena snàtvà ca pãtvà ca  YS78v_19c
tenaivocchiùñasaüspçùñaþ  YS78v_42c
tenaivocchiùñasaüspçùñaþ  YS99v_15c
te 'pi sarve vigarhitàþ  YS78v_13d
tebhyo dattam anantaü hi  YS182v_4.55a
tebhyo dattaü niùphalaü syàn  YS182v_4.56c
te ÷astravaddhyà na vihãnadaõóyàþ  YSS_1.40d
teùàü caiva vi÷eùataþ  YS182v_4.35d
teùàü daõóaü vrata¤ càpi  YSS_2.1c
teùàü dattvà ca bhuktvà ca  YS182v_1.14c
teùàü ÷uddhyartham evàtra  YS182v_4.33c
te sarve 'pi vigarhitàþ  YS182v_2.8d
tair apy anuùñhito dharma  YS182v_5.4c
tailabhaiùajyapàne ca  YS99v_51a
tailaü và mi÷ritaü ghçtaiþ  YSS_2.37d
toyaü vàpi pibed yadi  YS99v_47b
tyaktàgniü sarvam àdàya  YSS_2.24c
tyaktàvàrità vij¤eyàþ  YSS_2.18c
tyajanto 'patitàn bandhån  YS99v_19a
tyàjyà sà bandhubhi÷ caiva  YS182v_4.39c
tyàjyaiti parikãrtità  YS182v_3.24b
trayas te narakaü yànti  YS182v_3.22c
trayas te narakaü yànti  YS78v_23c
triguõaü kùattriyasyaiva  YS182v_4.14a
tripa¤càbdaü vidhãyate  YS182v_4.24d
tripaõaü bràhmaõo bhavet  YSS_2.43b
tripàdakçcchro vij¤eyaþ  YS182v_4.26c
tripàde tu ÷ikhàvarjaü  YS99v_53c
tribhir varnair atandritaþ  YS182v_5.5b
tribhir varùair vyapohati  YS182v_3.12d
tribhir varùair vyapohati  YS78v_26d
triràtraü tatra kàrayet  YS182v_3.50b
triràtraü tu prakurvãta  YS99v_10c
triràtràc cuddhir iùyate  YS182v_3.65d
triràtreõa vi÷uddhiþ syàd  YS99v_11c
triràtreõaiva ÷udhyati  YS99v_8d
trividhaü pàpa÷uddhyarthaü  YS182v_4.51a
triü÷at paõam avàpnoti  YSS_2.6c
trãõy ahàni vinirdi÷et  YS99v_76d
trãn paõàn dàpyate damaü  YSS_2.34d
tvaca¤ ca vikrayaü kurvan  YSS_2.45c
tv ançtaü kurvate tamaþ  YSS_2.19d
tv asnàto 'mantrato 'pi và  YSS_2.8b
dakyayà patitena và  YS182v_3.69b
dakùiõà dik tathaiva ca  YS99v_94d
daõóaü dviguõam àvahet  YSS_2.17d
daõóàd årdhvaprahàreõa  YS99v_40a
daõóitvà sàkùiõaü nçpaþ  YSS_2.32b
daõóenàbhihatas tathà  YS99v_46b
daõóyà uttamasàhasam  YS99v_19b
daõóyà dvàda÷akaü nàrã  YS99v_18c
daõóyàs tat putramitràõi  YS99v_21a
dattvà dhenuü tathà vçùam  YS182v_1.5d
dattvà dhenuü tathà vçùam  YS182v_4.5d
dattvà dhenuü tathà vçùam  YS78v_4d
dattvà dhenuü tathà vçùam  YS99v_24d
dattvà dhenuü tathà vçùaü  YSS_1.9d
dadad gobràhmaõeùu tu  YS99v_50b
dadyàc chaktyà ca dakùiõàm  YSS_1.24b
dadyàt tasyàpi mi÷ritaü  YSS_2.39d
dadyàt teùàü ca dakùiõàm  YS99v_61d
dadyàd ekena pàõinà  YS99v_99b
dadhi sarpiþ ku÷odakam  YS182v_1.13b
dama÷ caturguõaþ proktas  YSS_2.40c
damaü paõam avàpnoti  YSS_2.46c
da÷akçtvo hy anàturaþ  YS78v_53b
da÷aràtreõa ÷udhyati  YSS_1.6d
da÷arudrãü japet pa÷càd  YS182v_3.46c
da÷avarùà bhavet kanyà  YS182v_3.21c
daùñaþ snàtvà ÷uciþ sadyo  YSS_1.5c
daùñaþ snàtvà ÷uciþ sadyo  YS99v_25c
daüpatã ÷ayanaü gatau  YS99v_17b
dàtavyaü pàpamuktyarthaü  YS182v_4.27c
dàtà ca narakaü vrajet  YS99v_58d
dàpyaþ ..... paõaü  YSS_2.41d
dàpyaþ syàt pårvasàhasaü  YSS_2.56d
dàpyaþ syàt prathamaü damaü  YSS_2.55d
dàyàdà nàtra saü÷ayaþ  YS182v_5.19b
dàyàdebhyo yathà kramàt  YS182v_5.22d
dàruõà ghàtane kçcchraü  YS78v_69a
dàrvasthi÷çïgapàùàõair  YSS_2.54a
dàsanàpitagopàla-  YS182v_3.10a
dàsanàpitagopàla-  YS78v_20a
dàsavargasya kà kriyà  YS182v_3.55b
digvàsaü gamayed ràjà  YSS_2.25c
divà gà vai(?) hy anuvrajet  YS182v_4.15d
divà caivàrkasaüspçùñaü  YS182v_3.70a
divànãtaü ca yaj jalam  YS78v_19b
divà ''nãtena toyena  YS182v_3.69c
divànãtena toyena  YS78v_63c
divàrka ra÷misaüspçùñaü  YS78v_64a
divà vàtàrkasaüspçùñaü  YSS_1.3a
divà saüdhyàsu ràtriùu  YS99v_25d
divà såryàü÷ubhis taptaü  YS99v_96a
divà ''hçtaü ca yaj jalaü  YS182v_3.9b
divyaü deyaü yathà vidhi  YS182v_5.26d
divyena teùàm upalabhya hantà  YSS_1.55c
di÷aü vãkùya tu måtrayan  YSS_2.17b
dãptàn gràsàn ayomayàn  YS182v_3.29d
dãyamàne vipattiþ syàt  YS99v_50c
durbhago hi tathà ùaõóaþ  YS78v_30a
durbhago hi tathà ùaõóhaþ  YS182v_3.35a
durmçtyumaraõaü pràptà  YS182v_4.33a
duùñastrãdar÷anenaiva  YS182v_4.37a
dåràc chràntaü bhayagrastaü  YS182v_3.25a
dçùñvà kanyàü rajasvalàm  YS182v_3.22d
dçùñvà kanyàü rajasvalàm  YS78v_23d
dçùñvà[diùñyà] nivçttapàpaughaþ  YS182v_4.42a
dçùñvàpatyaü tu ÷ådràyàü  YSS_2.65a
dçùñvà sadyaþ ÷ucir bhavet  YS182v_1.2d
dçùyate yasya tasya svaü  YSS_2.36c
devatànàü pitéõàü ca  YS99v_98a
devatàyatanàni ca  YS99v_70b
devatàràdhanaü tathà  YS182v_4.22b
devadroõyas tathaiva ca  YS99v_69d
devabrahmasvayonyas tu  YSS_2.29a
'de÷adàtàprati÷rayaþ  YSS_2.61d
de÷aü kàlaü tathàtmànaü  YS78v_51a
dehabhedam avàpnoti  YSS_2.29c
daivikaü paitçkaü ca yat  YS182v_5.12b
daivikaü paitçkaü tathà  YS182v_5.7d
daive pitrye ca karmaõi  YS182v_3.43d
doùe kçte tena nareõa kartà  YSS_1.43b
doùeùv eteùu somapàþ  YSS_2.53b
dauràtmyàd aprakurvatã  YS99v_18b
dravyapradànena samàsamena  YSS_1.49a
dravyaü dravyaprayojanam  YS78v_51b
draüùñràbhir bhakùità ye ca  YS182v_4.31a
dvayaü saübadhyate tataþ  YSS_2.23b
dviguõaü go vrataü tasya  YS99v_40c
dviguõaü cen na dattaü ca  YS99v_58a
dviguõaü tasya såtake  YSS_2.48d
dviguõaü daõóam àpnoti  YSS_2.16c
dviguõaü daõóam àpnoti  YSS_2.42c
dviguõaü dàpayed damaü  YSS_2.14d
dviguõaü pratipãóànàü  YSS_2.52c
dviguõaü vratam àdi÷et  YS99v_57b
dviguõe tu vrate cãrõe  YS99v_57c
dviguõaiva tu dakùiõà  YS99v_57d
dvija÷ càndràyaõaü caret  YS182v_3.31d
dvijair utpàdità÷ ca ye  YSS_1.37Ab
dvijo maithunakàrakaþ  YS182v_1.15b
dvitãye nàsti doùas tu  YS99v_75c
dvitãye ÷ma÷ru vàpayet  YS78v_72b
dvitãye samupasthite  YS99v_75b
dvitryabdaü hi vi÷iùyate  YS182v_4.33d
dvi pàde ÷ma÷rukevalam  YS99v_53b
dve pituþ piõóadànaü syàt  YS99v_79a
dvau pàdau gàtrasaübhave  YS99v_43b
dvau màsau pa¤cagavyena  YS182v_3.6c
dvau màsau bhakùya bhojyaü ca  YS182v_3.6a
dvau màsau yàvakena tu  YS182v_3.6b
dharmam arthaü tathàyuùyaü  YSS_2.75c
dharma÷àstraü pravartate  YS78v_1d
dharma÷àstrànusàreõa  YS182v_4.27a
dharmàrthakàmapratipattihetor  YSS_1.46c
dharmàrthavàdeùu gavàdayo hi  YSS_1.53a
dhànyaü pulàkapàùàõaiþ  YSS_2.39a
dhàràsvahastaü pravadanti pàpaü  YSS_1.54d
nakàrakas tu prabhur eùa dharmaþ  YSS_1.48d
na kuryàd vaidikãü ÷rutim  YS182v_4.16d
na kuryàd vaidikãü ÷rutim  YS78v_73d
naktaü ràtrau tu janità  YSS_2.31a
na gacchantãm anuvrajet  YS99v_55d
na gràhyàþ sapta mçttikàþ  YS99v_67d
na ca govrajanaü smçtam  YS182v_4.16b
na ca goùñhe nivàsaü ca  YS99v_55c
na ca goùñhe vased ràtrau  YS182v_4.16c
na ca datto 'pyahãno 'ti-  YS182v_5.17c
na ca ràtrau vased goùñhe  YS78v_73c
na ca vãràsanaü tathà  YS99v_55b
na ca sà gàm anuvrajet  YS78v_73b
na cet tàn pãóayed ràjà  YS99v_60a
na j¤àyate kasya mçtopaghàtaiþ  YSS_1.55b
nañàü [ñãü] ÷ailåùikàü caiva  YS182v_2.1a
naño buruóa eva ca  YSS_1.32b
naño buruóa eva ca  YS99v_33b
naño vuruóa eva ca  YS78v_54b
na tasya punar àvçttir  YS99v_90c
na tu daõóo vidhãyate  YSS_2.15b
na tu màtà kadàcana  YS99v_19d
na tu ÷ådràïganàü gataþ  YSS_2.71d
na tu haste kadàcana  YS182v_3.30b
nadãkàntàramantike  YS78v_71d
na doùo rodha bandhayoþ  YS99v_52d
na pàtake 'rtthadaõóo 'sti  YSS_2.3a
na bhavaty eva cànyathà  YS182v_4.48d
narakaü pratigacchati  YS182v_3.53d
narakeùu ca pacyante  YS182v_4.6c
naraü samayalaïghinaü  YSS_2.25d
naraü saüsargapàtakaü  YSS_2.26d
naraþ saüdhyàdiràtriùu  YSS_1.5d
navame 'ti ca ÷udhyahni  YS182v_2.5d
navavarùà ca rohiõã  YS182v_3.21b
na vaset tatra ràtrau tu  YS99v_64c
navaite putravatpàlyàþ  YS182v_5.19c
navaite pratyavasitàþ  YSS_1.8a
navaite pratyavasitàþ  YS182v_1.4a
navaite pratyavasitàþ  YS99v_23a
na ÷ådrã vçùalã bhavet  YS78v_27d
na÷yatãti na saüdeha  YS182v_4.58c
na sa tatra vi÷uddhyati  YS78v_9d
na striyà vapanaü kàryaü  YS99v_55a
na strãõàü vapanaü kuryàt  YS78v_73a
na strãõàü vapanaü kuryàn  YS182v_4.16a
na hy uttaraü naiva kçtaü kçtàs te  YSS_1.39d
nàcakùate dharmavidas tathaiva  YSS_1.53d
nàtra kàryàvicàraõà  YS182v_4.56d
nàtra kàryà vicàraõà  YS182v_5.9b
nànyathà mama bhàùitam  YS182v_4.36d
nànyathà yamabhàùitam  YS182v_4.39d
nànyathà yamabhàùitam  YS182v_4.53b
nànya÷uddhir vidhãyate  YSS_1.29d
nànyaü pratyabravãd yamaþ  YS182v_3.56b
nànyà ÷uddhir vidhãyate  YS182v_3.7d
nànyà ÷uddhir vidhãyate  YS99v_35d
nàparàdho na pàtakam  YS182v_3.2b
nàparàdho na pàtakam  YS78v_16b
nàparàdho na pàtakaü  YSS_1.21b
nàbhimàtre jale sthitvà  YS99v_92a
nàrã và 'pi kumàro và  YS182v_4.5a
nàvàyasa tçõàni ca  YS78v_52b
nàvibhaktàþ kadàcana  YS182v_5.16b
nàsya såtakità bhavet  YS78v_75d
nikarùan viùamopame  YSS_2.46b
nigiranyadi meheta  YS99v_6a
nityaü naimittikaü kàmyaü  YS99v_82a
nityaü pratigrahe lubdho  YS182v_3.36a
nityaü pratigrahe lubdho  YS78v_31a
nityàntajãvo mriyate kadàcid  YSS_1.56c
nidrà ÷riyo nivarttante  YS78v_77c
nimittã naiva lipyate  YS99v_45d
nirà÷àþ pitaras tasya  YS182v_3.38c
nirà÷àþ pitaras tasya  YS78v_34c
nirà÷àþ pitaro gatàþ  YS182v_3.16d
nirà÷àþ pitaro gatàþ  YS182v_3.30d
nirà÷àþ pitaro gatàþ  YS78v_35d
niràhàrà ÷ucis tiùñhet  YS99v_12c
nirmatsaraþ sadàcàraþ  YS182v_3.42a
nirvapet trãn naraþ piõóàn  YS99v_83c
nivartanãyo nçpasaüniyuktaiþ  YSS_1.55d
nivedya vratam àcaret  YSS_2.2b
ni÷i snànaü vidhãyate  YS99v_64b
niùkçtir na vidhãyate  YS182v_3.15d
niùkçtir naiva vidyate  YS78v_28d
niùpàpakaþ pàtaka÷uddhikàryàt  YSS_1.55Ab
niþ÷alyakaraõe caiva  YS99v_51c
niþ÷vàsopagatasya ca  YS182v_3.15b
niþ÷vàsopahatasya ca  YS78v_28b
naiteùu bhaktapradadoùam àhuþ  YSS_1.45d
nai÷aü pà([na÷yetpà])paü hi yàü dhyàtvà  YS182v_4.52c
nyàyena prathamena yaþ  YSS_2.76b
pakveùñakacitàni ca  YS78v_52d
païkeùu vçùalãpatiþ  YSS_2.69d
païktipàvana eva saþ  YS182v_3.41d
païktau tulyo 'pi ca dvijaþ  YSS_2.69b
pa¤cagavyena ÷uddhiþ syàd  YS182v_3.49c
pa¤cagavyena ÷uddhyati  YS78v_41d
pa¤cagavyena ÷udhyati  YS182v_3.44d
pa¤cagavyena ÷udhyati  YS182v_3.48b
pa¤cagavyena ÷udhyati  YS182v_3.50d
pa¤cagavyena ÷udhyati  YS182v_3.63d
pa¤cagavyena ÷udhyati  YS99v_3d
pa¤cagavyena ÷udhyati  YS99v_5d
pa¤catvaü ca gato bhavet  YS182v_5.9d
pa¤caràtraü ku÷odakam  YS99v_38d
pa¤cavarùàt parasya ca  YS182v_3.1b
pa¤cavarùàt parasya ca  YS78v_15b
pa¤caite gràmakaõñakàþ  YSS_2.18d
paõa¤ caturda÷àpnoti  YSS_2.48c
paõan tàvad avàpnuyàt  YSS_2.49b
paõà¤ caturda÷àpnoti  YSS_2.50c
patitakùetrasaübhåtàþ  YSS_1.34c
patitasya ca viprasya  YS182v_4.40a
patitànàü ca vipràõàü  YS182v_4.35a
patitàny uddhared yas tu  YS99v_70c
patitàyà bhavàn yathà  YS182v_4.47d
patnã yasya rajasvalà  YS182v_5.7b
pathi gràmasya vikùeptà  YSS_2.41c
pathi ÷ràntàya tulyàya  YSS_2.61a
padmoóumbaravilvà÷ ca  YS78v_47a
padmodumbarabilvànàü  YS182v_3.63a
panthà deyo 'thavà÷ramaü  YSS_2.61b
paradàre nare ùaõóe  YSS_1.27a
paradàreùu sarveùu  YS99v_37c
parapatnãùu sarvàsu  YSS_1.37Ac
parapuüsagatà hi yà  YS182v_4.37d
paralokapradà hy amã  YS182v_5.19d
parasya dàreùu ca ye prasaktàþ  YSS_1.40c
paràkaü kçcchram àcaret  YSS_1.31d
paràko mohasaügamàt  YSS_1.11d
parànnam api vàtmanaþ  YSS_2.12b
paràbdikàm pàkavidhau pravçttiü  YSS_1.45c
paràvara÷ caiva pare 'pare ca  YSS_1.44b
