GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
amedhyaprabhavàni ca  Mn_5.5d
amedhyareto gomàüsaü  Par_11.1a
amedhyaliptam anyad và  Mn_4.56c
amedhyaliptaü tu bhavec charãram  YS78v_44b
amedhya÷ava÷ådràntya-  Yj_1.148c
amedhyaü cà÷u ÷odhayet  Mn_9.282d
amedhyaü ÷odhayitvà tu  K_758c
amedhyàktasya mçttoyaiş  Yj_1.191a
amedhyàd api kà¤canam  Mn_2.239d
amedhyàni tu sarvàõi  Par_8.23a
amedhyena tu saüspçùño  YSS_1.4Aa
amedhyena sadà ÷uci  YS99v_97b
amedhyena sadà ÷uci  YSS_1.4b
amedhye và paten matto  Mn_11.96[95M]a
ameyaiş saüvçto vedaş  Ang_1.159a
ambaùñhaş ÷ådryàü niùàdo  Yj_1.91c
ambaùñhànàü cikitsanam  Mn_10.47b
ambaùñhograu tathà putràv  Nar_12.110c
ambaùñhograu yathà smçtau  Mn_10.13b
ambaùñho nàma jàyate  Mn_10.8b
ambaùñho màgadha÷ caiva  Nar_12.107a
ambhasy a÷maplaveneva  Mn_4.190c
ammålaphalabhikùàbhir  Mn_6.7c
ayacchantaü ca dàpayet  K_192b
ayajvanàü tu yad vittam  Mn_11.20[19M]c
ayajvà ca sahasraguş  Mn_11.14[13M]b
ayathoktaprayuktaü tu  K_439c
ayanagrahaõe mukhye  Ang_1.286a
ayanaü devalokaü ca  Yj_3.193c
ayane dve ca viùuve  Ang_1.645a
ayane dve ca viùuvau  Ang_1.639a
ayam ukto vibhàgo vaş  Mn_9.220a
ayam evàtikçcchraş syàt  Yj_3.319c
aya÷o mahad àpnoti  Mn_8.128c
ayaso 'niyamaş kùaye  Nar_9.12d
ayaü tu paramo dharmo  Yj_1.8c
ayaü dvijair hi vidvadbhiş  Mn_9.66a
ayaü me vajra ity evaü  Yj_1.136a
ayaü vo viùñara÷ceti  Ang_1.787c
ayaü hi paramo mantraş  Ang_1.789a
ayaşkàüsyopalànàü ca  Mn_11.167[166M]c
ayaşsandànaguptàs tu  K_825a
ayàcità÷ã mitabhuk  Yj_3.204c
ayàcità÷y ekam ahar  Par_8.37c
ayàcitàhçtaü gràhyam  Yj_1.215a
ayàjyayàjanai÷ caiva  Mn_3.65a
ayàjyànà¤ ca yàjakaş  YS78v_30d
ayàjyànàü ca yàjakaş  YS182v_3.35d
ayàjyànàü ca yàjakàş  YS182v_4.62b
ayàjyànàü ca yàjanam  Yj_3.237b
ayuktaü caiva yo bråte  K_671c
ayuktaü tatra yo bråyàt  K_206e
ayuktaü ÷apathaü kurvann  Yj_2.235c
ayuktaü sàhasaü kçtvà  Nar_1.223a
ayukte kàraõe yasmàt  K_572c
ayukùu tu pitén sarvàn  Mn_3.277[267M]c
ayudhyamànasyotpàdya  Mn_4.167a
ayogyatvaü tathàvidham  Ang_1.584d
ayogyaü satataü syàddhi  Ang_1.232a
ayogyo yogyakarmakçt  Yj_2.235d
ayonau kramate yas tu  Nar_6.21a
ayonau gacchato yoùàü  Yj_2.293a
ayomukhena kàùñhena  Par_2.9a
arakùità gçhe ruddhàş  Mn_9.12a
arakùitàram attàraü  Mn_8.309c
arakùitàraü ràjànaü  Mn_8.308a
arakùyamàõàş kurvanti  Yj_1.337a
araõiü kçùõamàrjàraü  Par_12.48(47)a
araõãü muùkayor api  Par_5.19b
araõye kàùñhavat tyaktvà  Mn_5.69[68M]c
araõye niyato japtvà  Yj_3.249a
araõye nirjane ràtràv  Nar_M2.30a
araõye nirjale de÷e  Yj_3.212c
araõye niş÷alàke và  Mn_7.147[148M]c
araõye và trir abhyasya  Mn_11.258[257M]a
araõyeùu vi÷eùataş  Par_9.56d
aratnidvayam utsçjya  K_754c
aràjake hi loke 'smin  Mn_7.3a
aràjadaivikaü naùñaü  Yj_2.197a
aràjadaivikenàpi  K_598a
aràjanyaprasåtitaş  Mn_4.84b
arikthabhàjas te sarve  Nar_13.18c
ariràùñraü prati prabhuş  Mn_7.181[182M]b
arir mitram udàsãno  Yj_1.345a
arisevinam eva ca  Mn_7.158[159M]b
arãõàü copajàpakàn  Mn_9.275d
arãn yodhayatàm api  Mn_7.194[195M]d
arer anantaraü mitram  Mn_7.158[159M]c
arogaş pçthivãpatiş  Mn_7.226[230M]b
arogàm aparikliùñàü  Yj_1.208c
arogàş sarvasiddhàrthà÷  Mn_1.83a
arogiõãü bhràtçmatãm  Yj_1.53a
arogitvaü ya÷o vãta-  Yj_1.266c
arka÷rutivyatãpàta-  Ang_1.180c
arkaş palà÷aş khadira  Yj_1.302a
arghaprakùepaõàd viü÷aü  Yj_2.261a
argha÷ ced apahãyeta  Nar_8.5a
arghasaüsthàpanaü nçpaş  Mn_8.402d
arghasya hràsaü vçddhiü và  Yj_2.249c
argho 'nugrahakçt kàryaş  Yj_2.253c
arghyapàtre nive÷itàş  Yj_1.248b
arghyaü kçtvà kçtaş proktaş  Ang_1.792c
arghyàkùepàtikramakçd  Yj_2.232a
arghyàrthaü pitçpàtreùu  Yj_1.253c
arghyàsanapradànena  Par_1.43c
arcayed à÷ramàgatàn  Mn_6.7d
arcayed daivapårvakam  Mn_3.209[199M]d
arciùyan devatàtithãn  Mn_4.251[252M]b
artimàn dharaõãü vrajan  Ang_2,2.8b
artha eveha và ÷reyas  Mn_2.224c
arthakàmeùv asaktànàü  Mn_2.13a
arthakàlabalàpekùam  Nar_1.218c
arthakàlabalàpekùair  K_237c
arthataş ÷abdato vàpi  K_166c
arthadaõóàs tv anekadhà  Nar_19.60d
artha÷àstravi÷àradaiş  K_057d
artha÷àstràt tu balavad  Yj_2.21c
artha÷àstroktam utsçjya  K_020a
artha÷àstroktam utsçjya  Nar_M1.33c
artha÷aucaü paraü smçtaü  Mn_5.106[105M]b
artha÷ càmitrapãóanàt  Nar_18.17d
arthasaüpàdanàrthaü ca  Mn_7.168[169M]a
arthasya saügrahe cainàü  Mn_9.11a
arthasya saücayaü kuryàt  Yj_3.47c
arthasyopari vaktavyaü  K_389a
arthaü càpahnuyàd vàdã  Nar_1.214c
arthànarthàv ubhau buddhvà  Mn_8.24a
arthànàm uddharet padam  Nar_1.78b
arthànàü chandataş sçùñir  Yj_3.203a
arthànàü bhåribhàvàc ca  Nar_18.39a
arthàrthã cànyaviùaye  K_331c
arthà vai vàci niyatà  Nar_1.208a
arthinà prahita÷ ca yaş  K_357b
arthinà prahita÷ ca yaş  Nar_1.132b
arthinà prahitaş sàkùã  K_353c
arthinàbhyarthito yas tu  K_336a
arthinà saüniyukto và  K_091a
arthinà saüniyukto và  Nar_M2.22a
arthinà svayam ànãto  K_371a
arthinà svàrthasiddyarthaü  K_374a
arthipratyarthinor api  K_135d
arthipratyarthivàkyàni  K_259a
arthipratyarthisaünidhau  Mn_8.79b
arthipratyarthisaünidhau  K_342b
arthipratyarthisàünidhyàd  K_346a
arthipratyarthisàünidhye  K_388a
arthã tu lekhayet tàvad  Nar_M2.7c
arthã tçtãyapàde tu  K_215c
arthã tçtãyapàde tu  Nar_M2.3c
arthã tçtãyapàde tu  Nar_M2.27c
arthã yatra vipannaş syàt  K_377a
arthã svàrthapracoditaş  Nar_M2.1b
arthe 'pavyayamànaü tu  Mn_8.51a
arthe 'vi÷eùite hy eùu  Nar_1.106c
artheùv adhikçto yaş syàt  Nar_5.22a
arthe 'sminn iti bhàùitum  K_178b
arthyuktàş sàkùyam arhanti  Mn_8.62c
arddhakçcchran tu khàte syàt  YS78v_69c
ardhakçcchraü caret pårvà  Par_7.13a
ardhakçcchraü caret pårvà  YS182v_3.66c
ardhakùayàt tu parataş  Nar_9.9a
ardhatçptà hi pitaro  Ang_1.1084c
ardhatrayoda÷apaõaş  Yj_2.165c
ardhapàdavikartanam  Nar_19.40d
ardhabhàg rakùaõàd ràjà  Mn_8.39c
ardharàtràttadårdhvaü và  Ang_1.648a
ardharàtràdadhaståùõe  Ang_1.177c
ardharàtre 'timàrute  Yj_1.149d
ardhaü ko÷e prave÷ayet  Mn_8.38d
ardhaü kùipedviprapàtre  Ang_1.812c
ardhaü càndràyaõaü caret  Par_11.2b
ardhaü dvayor apahçtaü  K_622c
ardhàdhike krayaş sidhyed  K_711a
ardhena nàrã tasyàü sa  Mn_1.32c
ardhena puruùo 'bhavat  Mn_1.32b
ardhe bhukte tu yo vipras  Par_12.41(40)a
ardhodaye mahodaye  Ang_1.914a
ardho 'dharmeùu dviguõaş  Yj_2.206a
arbudai÷ ca dvisaptatiş  Yj_3.89d
aryamõàm iti ca tçcam  Mn_11.254[253M]d
arvàk caturda÷àd ahno  Yj_2.113a
arvàktu dvàda÷àdabdàt  Ang_2,10.20c
arvàktu làjahomasya  Ang_1.77a
arvàktu ÷eùahomasya  Ang_1.83a
arvàk tryabdàd dharet svàmã  Mn_8.30c
arvàksapiõóãkaraõaü  Yj_1.255a
arvàk saücayanàd asthnàü  Mn_5.59c
arvàk saüvatsaràt svàmã  Yj_2.173c
arhaõaü tat kumàrãõàm  Mn_3.54c
arhati svargavàse 'pi  Ang_1.977a
arhattamàya vipràya  Mn_3.128[118M]c
arhanti na kadàcana  K_383b
arhayet prathamaü gavà  Mn_3.3d
arhayen madhuparkeõa  Mn_3.119[109M]c
arhàv abhojayan vipro  Mn_8.392c
alakàlarkakàråùà-  Ang_1.504a
alaïkàra÷ ca ve÷ma ca  Mn_9.150b
alaïkàraü nàdadãta  Mn_9.92a
alaïkàro dhçto bhavet  Mn_9.200b
alaïkçtya sutàdànaü  Mn_3.28c
alabdham icched daõóena  Mn_7.101[102M]a
alabdham ãhed dharmeõa  Yj_1.317a
alabdhaü caiva lipseta  Mn_7.99[100M]a
alarka÷càjaràstrayaş  Ang_1.504d
alaükçta÷ ca saüpa÷yed  Mn_7.222[226M]a
alaükçtàü haran kanyàm  Yj_2.287a
alaükçtya ÷ucau bhåmàv  Mn_5.68[67M]c
alaü tàrayituü ÷aktàs  Nar_1.202c
alàbuü dàrupàtraü ca  Mn_6.54a
alàbhe tv anyagehànàü  Mn_2.184c
alàbhe na viùadã syàl  Mn_6.57a
aliïgã liïgiveùeõa  Mn_4.200[201M]a
alubdhaü satyavàdinam  K_024d
alubdhà dhanavanta÷ ca  K_071a
alubdho veda tat paraş  YS182v_3.43b
alubhdàhlàdaniùpàpà  YS182v_4.54a
alekhyasàkùike daivãü  K_224c
alehyànà¤ ca bhakùaõe  YS78v_46b
alehyànàü ca bhakùaõe  YS182v_3.62b
alolupamadàmbhikam  Ang_1.770b
alpakàlamçtàyàü tu  Ang_1.1048a
alpadroheõa và punaş  Mn_4.2b
alpaü parityajet tatra  Par_6.75a
alpaü mahada÷akyaü và  Ang_1.370c
alpaü và bahu và kàlaü  K_147c
alpaü và bahu và pretya  Mn_7.86c
alpaü và bahu và yasya  Mn_2.149a
alpànnàbhyavahàreõa  Mn_6.59a
alpeùu ca naraş ÷reùñhaş  Nar_20.3c
alponasyàpi karmaõaş  Mn_8.217d
alpo 'py evaü mahàn vàpi  Mn_3.53c
avakà÷eùu cokùeùu  Mn_3.207[197M]a
avakãrõivarjyaü ÷uddhyarthaü  Mn_11.117[116M]c
avakãrõivrataü caret  Mn_2.187d
avakãrõã kuõóagolau  Yj_1.222c
avakãrõã tu kàõena  Mn_11.118[117M]a
avakãrõã bhaved gatvà  Yj_3.280a
avakçùñàn nihatya tu  Yj_3.262b
avakrayas tribhàgena  K_711c
avagàheta sàgaram  Par_12.71(70)d
avagàhya tu vàruõam  Par_12.10b
avagàhya pità ÷uciş  Par_3.23d
avagåraõanişsaïga-  Nar_1516.5c
avagårya caret kçcchram  Mn_11.208[207M]a
avagårya tv abda÷ataü  Mn_11.206[205M]a
avagårya tv ahoràtraü  Par_11.53c
avaghuùya ca sarvatra  Nar_19.12c
avajighrec ca tàn piõóàn  Mn_3.218[208M]c
avaña÷ caivam etàni  Yj_3.98c
avatàrya tato dhañàt  Nar_20.10d
avatãrõo na sandeha  Ang_1.495c
avadhåtam avakùutam  Mn_5.125[123M]b
avadhånoti yaş ke÷àn  Par_12.15a
avadhenàthavà hanyàt  Nar_5.12c
avaniùñhãvato darpàd  Mn_8.282a
avaniùñhãvato darpàd  Nar_1516.27a
avamantà vina÷yati  Mn_2.163d
avamànasya sarvadà  Mn_2.162d
avamåtrayataş ÷i÷nam  Nar_1516.27c
avamåtrayato meóhram  Mn_8.282c
avaruddhàsu dàsãsu  Yj_2.290a
avaruhyàbhivàdayet  Mn_2.202d
avalepaü tathàvidham  Ang_1.582d
avalepaikarahita÷  Ang_1.592c
ava÷ardhayato gudam  Mn_8.282d
ava÷ardhayato gudam  Nar_1516.27d
ava÷àdeti càkhilam  Ang_1.310b
ava÷àddaivayogataş  Ang_1.39b
ava÷àdvahnito vàpi  Ang_1.59a
ava÷iùñaü tu dampatã  Mn_3.116[106M]d
ava÷iùñaü prà÷ayecca  Ang_1.76a
ava÷enaiva daivàt tu  K_959c
ava÷yakàryàş saüskàrà  Nar_13.34c
ava÷yatvena kartavyaü  Ang_1.726a
ava÷yaü yàti tiryaktvaü  Mn_12.68c
avaùñambhàbhiyuktasya  K_454a
avasanna÷ caturvidhaş  Nar_M2.32d
avasãdann api kùudhà  Mn_4.187d
avaskarasthala÷vabhra-  Nar_11.13a
avasthàbhedataş sarve  Ang_1.1055c
avahàryo bhavec caiva  Mn_8.198a
avahàryau bhavetàü tau  Mn_8.145c
avàk÷irasam utkùipya  Nar_1.199c
avàk÷iràs tamasy andhe  Mn_8.94a
avàï narakam abhyeti  Mn_8.75c
avàcyo dãkùito nàmnà  Mn_2.128a
avàpnoti paraş paraş  Mn_1.20b
avikreyàõi vikrãõan  Nar_1.63a
avij¤àtakrayo doùas  K_623a
avij¤àtas tu caõóàlo  Par_6.34a
avij¤àtahatasyà÷u  Yj_2.280a
avij¤àtaü tu yat krãtaü  K_688a
avij¤àtà tu tiùñhati  Par_6.44d
avij¤àtà÷rayàt krãtaü  K_621c
avij¤àtopalabdhyarthaü  K_644a
avidyamàne tu gurau  Nar_12.86a
avidyamàne pitrye 'rthe  Nar_13.34a
avidyamàne sarvasvaü  Mn_11.116[115M]c
avidyamàne sarvasvaü  Ang_2,11.10c
avidyànàü tu sarveùàü  Mn_9.205a
avidvàn yàjako và syàt  K_828a
avidvàü÷ caiva vidvàü÷ ca  Mn_9.317a
avidvàüsam alaü loke  Mn_2.214a
avidvàüso naràdhamàş  Mn_12.52d
avindaüs tattvataş satyaü  Mn_8.109c
aviplutabrahmacaryo  Mn_3.2c
aviplutabrahmacaryo  Yj_1.52a
aviplutamatiş samyak  Yj_3.161c
avibhakte dhanàü÷e tu  K_922c
avibhakte na tu smçtam  Yj_2.52d
avibhakte 'nuje prete  K_855a
avibhaktaiş kuñumbàrthe  Yj_2.45a
avibhajya pçthagbhåtaiş  K_624c
avibhàjyaü ca bandhubhiş  K_881d
aviruddhaü prakalpayet  Mn_8.46d
avirodhena dharmasya  K_669a
avirodhena màrgataş  Nar_M1.31b
avilagnagatisvaraş  Nar_12.9d
aviluptakramàkùaram  Nar_1.116d
aviluptàkùarakramam  K_252b
avivàhyàş sagotràş syuş  Nar_12.7c
avivàhyàş sutà÷ caiva  YSS_1.38c
avi÷eùeõa pàrthivaş  Mn_8.192d
avi÷eùeõa varõànàü  Nar_1.47c
avi÷eùeõa sarveùàm  Nar_14.8a
avãcim andhatàmisraü  Yj_3.224a
avãcivàsino ye tu  K_009c
avãràpatimeva ca  Ang_1.756b
avãràyà÷ ca yoùitaş  Mn_4.213[214M]b
avãràstrãsvarõakàra-  Yj_1.163a
avçtastena tatpreùya-  Ang_1.134c
avçttàv ekaràtrikam  Mn_4.223[224M]d
avçttikar÷ità hi strã  Mn_9.74c
avçttikarùitaş sãdann  Mn_10.101c
avçùeõa bçhaspatiş  YS78v_27b
avekùaõaü jàgaråka-  Ang_1.1009a
avekùeta gatãr néõàü  Mn_6.61a
avekùya bãjaü kàryà syàn  K_723c
avekùyà garbhavàsà÷ ca  Yj_3.63a
avety çcaü japed abdaü  Mn_11.252[251M]c
avedayàno naùñasya  Mn_8.32a
avedyàvedanena ca  Mn_10.24b
aver bastasya ghàtakaş  Par_6.14b
avelàsthànasaüsthitiş  K_829b
avyaktam àtmà kùetraj¤aş  Yj_3.178a
avyaktaü viùayàtmakam  Mn_12.29b
avyakto vya¤jayann idam  Mn_1.6b
avyaïgàïgãü saumyanàmnãü  Mn_3.10a
avyàpakaü vyastapadaü  K_174a
avyàptà÷ ced amedhyena  Mn_5.128[126M]c
avyàpyasàraü saüdigdhaü  K_187c
avyàyac channavikro÷an  Nar_6.14a
avyàhatà tripuruùã  K_315c
avraõàş saumyadar÷anàş  Mn_2.47b
avrataü ùañtriü÷adàbdikam  K_331b
avrataş savrato vàpi  Par_5.5a
avratànàm amantràõàü  Mn_12.114a
avratànàm amantràõàü  Par_8.4a
avratà hy anadhãyànà  Par_1.60a
avratã savratã vàpi  Ang_2,9.14a
avratair yad dvijair bhuktaü  Mn_3.170[160M]a
a÷aktapretanaùñeùu  K_765a
a÷aktapretanaùñeùu  Nar_11.20a
a÷akta÷cettadàcaret  Ang_1.250d
a÷aktas tu vadann evaü  Yj_2.209a
a÷aktas tårõam àgamya  Nar_6.13c
a÷aktasya kadàcana  Ang_1.265d
a÷aktito na dadyàc cet  K_764a
a÷akto 'dhaş ÷ayãta và  Mn_11.224[223M]b
a÷akto 'nyena kàrayet  Yj_2.265b
a÷aktau bandhanàgàraü  K_479c
a÷aktau bheùajasyàrthe  Nar_1.62a
a÷aknuvaüs tu ÷u÷råùàü  Mn_10.99a
a÷akya àgamo yatra  K_352a
a÷akyaü càprameyaü ca  Mn_12.94c
a÷anàna÷anàtmanàm  Yj_3.123d
a÷àsanàt tu tad ràjà  Nar_19.56c
a÷àsanàt tu pàpànàü  K_961c
a÷àsaüs taskaràn yas tu  Mn_9.254a
a÷àsitvà tu taü ràjà  Mn_8.316c
a÷àstravihitaü yac ca  K_952a
a÷àstrokteùu cànyeùu  Nar_18.7a
a÷itvà caiva tat sarvaü  YS99v_8c
a÷iràüsi ca divyàni  K_414c
a÷ãtibhàgaü gçhõãyàn  Mn_8.140c
a÷ãtibhàgo vçddhiş syàn  Yj_2.37a
a÷ãtiryasya càpårõà  Ang_2,10.21a
a÷ãtir yasya varùàõi  YSS_1.19a
a÷ãtãryasya varùàõi  YS78v_17a
a÷ãtes tu vinà÷e vai  K_418c
a÷ãtyadhikavarùàõi  YS182v_3.3a
a÷ucir bràhmaõaş kvacit  YS99v_7b
a÷ucir vacanàd yasya  Nar_18.49a
a÷uciü parasåtakam  Ang_1.754d
a÷uddhaü syàt tato 'nyathà  Nar_7.8d
a÷uddhaş kitavo nànyad  Nar_17.5a
a÷uddhà bàndhavàş sarve  Mn_5.58c
a÷uddhà÷ca kadàcitsyuş  Ang_1.909c
a÷uddho daõóabhàg bhavet  K_459b
a÷ubhaü karma kàrayet  K_590b
a÷ubhaü karma vij¤eyaü  Nar_5.07c
a÷ubhaü kàritàş karma  YS182v_5.6a
a÷ubhaü dàsakarmoktaü  Nar_5.05c
a÷ubhaü ÷ubham eva ca  Nar_5.05b
a÷ulkopagatàyàü tu  Nar_13.19c
a÷ulkopanatàyàü tu  Nar_12.54c
a÷u÷råùàbhyupetya ca  Nar_M1.16d
a÷u÷råùàbhyupetyaitad  Nar_5.01c
a÷çtaü càranàlaü ca  Ang_2,8.17c
a÷eùato 'py àdadãta  Mn_8.37c
a÷eùaü tatra nikùipet  Par_5.22b
a÷aucabhuktàvà÷auci-  Ang_1.947c
a÷aucamaraõe tathà  Par_12.62(61)d
a÷aucaü bàndhavaiş saha  Mn_11.183[182M]d
a÷nata÷ ced virekaş syàd  YS99v_9a
a÷nanti pitaras tàvad  YS78v_38c
a÷nann api yatas tataş  Mn_11.261[260M]b
a÷nuvãta sa tatphalam  K_765d
a÷nuvãta sa tatphalam  Nar_11.20d
a÷makuñño bhaved vàpi  Mn_6.17c
a÷mano lavaõaü caiva  Mn_10.86c
a÷mano loham utthitam  Mn_9.321b
a÷mano 'sthãni govàlàüs  Mn_8.250[M248]a
a÷rutàrtham adçùñàrthaü  Nar_1.121a
a÷reyàn ÷reyasãü jàtiü  Mn_10.64c
a÷rotriyakalatràõàü  Ang_1.710c
a÷rotriyasutaü kàru-  Ang_1.757a
a÷rotriyaş pità yasya  Mn_3.136[126M]a
a÷rotriye tv ahaş kçtsnam  Mn_5.82[81M]c
a÷rotriyo và putraş syàt  Mn_3.136[126M]c
a÷rautasmàrtavihitaü  YS99v_59a
a÷lãkam etat sàdhånàü  Mn_4.206[207M]a
a÷lãlaü nyaïgasaüj¤itam  K_769d
a÷lãlaü nyaïgasaüyutam  Nar_1516.3b
a÷lãlà sà budhaiş smçtà  K_771d
a÷vamedhaphalaü tasya  Yj_3.333c
a÷vamedhaphalaü labhet  Ang_1.141b
a÷vamedhasahasraü ca  Nar_1.192a
a÷vamedhasahasràd dhi  Nar_1.192c
a÷varatnamanuùyastrã-  Yj_3.230a
a÷va÷ cakùus tvacaü vàso  Mn_4.189c
a÷vastanavidhànena  Mn_11.16[15M]c
a÷vastanika eva và  Mn_4.7d
a÷vasthànàd gajasthànàd  Yj_1.279a
a÷vasya hantà puruùasya hantà  YSS_1.40a
a÷vàn àyu÷ ca vidhivad  Yj_1.267c
a÷visàlokyam a÷vadaş  Mn_4.231[232M]b
aùñakà dvàda÷a smçtàş  Ang_1.611d
aùñakà dvàda÷a smçtàş  Ang_1.659b
aùñakà navadevatàş  Ang_1.662b
aùñakàyàm athàpi và  Yj_1.143b
aùñakàsu ca puõyàsu  Ang_1.584a
aùñakàsu ca vçddhau ca  Ang_1.662c
aùñakàsu tv ahoràtram  Mn_4.119c
aùñakàsu yathà dar÷a-  Ang_1.730a
aùñakàü pitçyaj¤ataş  Ang_1.104d
aùñame màsy ato garbho  Yj_3.82c
aùñamyàü ràhusåtake  Yj_1.146b
aùñavarùà bhaved gaurã  Par_7.4c
aùñavarùà bhaved gaurã  YS182v_3.21a
aùña÷àlyàü mçtà ye ca  YS182v_4.30c
aùña÷àlyàü mçto vipraş  YS182v_4.31c
aùñàïgaş sa udàhçtaş  Nar_M1.15d
aùñàïgo 'ùñàda÷apadaş  Nar_M1.9a
aùñàda÷a kriyàbhedàd  K_029c
aùñàda÷adinàd arvàk  Par_12.53(52)a
aùñàda÷apadaş smçtaş  Nar_M1.19d
aùñàda÷asu màrgeùu  Mn_8.3c
aùñàda÷asu màrgeùu  Mn_9.250c
aùñànàü lokapàlànàü  Mn_5.96[95M]c
aùñàpàdyaü tu ÷ådrasya  Mn_8.337a
aùñàpàdyaü tu ÷ådrasya  Nar_19.58a
aùñàbhir maõóalair evam  Nar_20.16a
aùñàbhi÷ ca guõair yutàş  Yj_3.185b
aùñàv aùñau sama÷nãyàt  Mn_11.218[217M]a
aùñàv imàn samàsena  Mn_3.20c
aùñàviü÷atir eva và  Yj_1.303b
aùñàviü÷atprabhçti vai  Ang_1.934a
aùñàv enasya màüsena  Mn_3.269[259M]c
aùñottara÷ata÷ràddha-  Ang_1.497a
aùñottara÷atàni syus  Ang_1.607c
aùñottara÷atàni syuş  Ang_1.613c
aùñottara÷ateùvapi  Ang_1.574d
aùñottara÷atairuta  Ang_1.481b
aùñottarasahasraü cet  Ang_1.89a
aùñottaràõi khyàtàni  Ang_1.731c
aùñau gràsàn vane vasan  Mn_6.28b
aùñau cànyàş samàkhyàtà  Mn_7.156[157M]c
aùñau trapuõi sãse ca  Yj_2.178c
aùñau bhu¤jãta vàgyataş  Yj_3.55b
aùñau màsàn yathàdityas  Mn_9.305a
aùñau varùàõy udãkùeta  Nar_12.98a
aùñau vivàhà varõànàü  Nar_12.38a
asakçc ca yadà j¤àtvà  YS182v_4.43c
asakçtpañhitàni syur  Ang_1.163c
asakçdgamanàccàpà-  Ang_1.68c
asakçd gamanàc caiva  YS182v_4.44a
asakçd garbhavàseùu  Mn_12.78a
asagotramapi pretaü  Ang_1.149a
asagotram abandhuü ca  Par_3.41a
asagotrasutaü tasmàn  Ang_1.357c
asagotrastu na gràhyo  Ang_1.340a
asagotrà ca yà pituş  Mn_3.5b
asacchàùñràdhigamanaü  Mn_11.65[64M]c
asacchàstràdhigamanam  Yj_3.242a
asac chådreùu annàdyaü  YS182v_3.11a
asata÷ ca janàd rahaş  Nar_7.3b
asatàü nigrahas tathà  Nar_18.17b
asatàü patitànàü ca  Ang_1.139a
asato dçùñadar÷anam  Nar_1.122d
asatkàryaparigrahaş  Mn_12.32b
asatkàryarato 'dhãra  Yj_3.138a
asatputro 'pi và bhavet  Mn_9.154b
asatyavàdinaü vàde  YSS_2.32a
asatyasya ca bhàùaõam  Mn_11.69[68M]d
asatyàş satyasaükà÷àş  Nar_M1.63a
asat sad iti yaş pakùaş  K_495a
asatsad iva dç÷yate  K_308b
asatsantas tu vij¤eyàş  Yj_1.95c
asatsaüsargakàraõàt  Nar_19.18b
asatsu devareùu strã  Nar_12.48a
asadàlàpakas tathà  YS182v_3.36d
asadàlàpakas tathà  YS78v_31d
asadbràhmaõake gràme  Par_5.9a
asadvyayàt pårvacauryàd  Nar_19.18a
asannidhau sannidhau và  Ang_1.434c
asapiõóaü dvijaü pretaü  Mn_5.101[100M]a
asapiõóà ca yà màtur  Mn_3.5a
asapiõóàü yavãyasãm  Yj_1.52d
asapiõóeùu sarveùu  Mn_5.100[99M]c
asamarthasya tu prokto  Ang_1.732a
asamànàrùagotrajàn  Yj_1.53b
asamàvartako dvijaş  Mn_11.157[156M]b
asamàhàryamålas tu  K_618a
asamidhya ca pàvakaü  Mn_2.187b
asamãkùya praõãtas tu  Mn_7.19c
asamyakkàriõa÷ caiva  Mn_9.259a
asavarõaprasåta÷ ca  K_863c
asavarõàsu nàrãùu  YSS_1.37Aa
