Yajnavalkyasmrti

PADA INDEX

Input by Muneo Tokunaga, checked by Yasuke Ikari
Based on the edition: Yajnavalkyasmrti of Yogisvara Yajnavalkya 
With the commentary Mitaksara of Vij¤anesvara, Notes, Variant readings, etc. 
Ed. by Narayan Ram Acharya Nirnayasagara Press, Bombay, 1949.



akÃmata÷ kÃmacÃre  Yj_2.162c
Ærdhvaæ riktham ­ïaæ samam  Yj_2.117b
­ggÃthÃ pÃïikÃ dak«a-  Yj_3.114a
­gyaju÷ sÃmavihitaæ  Yj_3.122c
­co 'dhÅte ca yo 'nvaham  Yj_1.41d
­ïam Ãdhau tadÃ khalu  Yj_2.64b
­ïaæ dadyÃt patis te«Ãæ  Yj_2.48c
­ïaæ lekhyak­taæ deyaæ  Yj_2.90a
­ïaæ sadaÓabandhakam  Yj_2.76b
­ïÃt tÃbhya ­te 'nvaya÷  Yj_2.117d
­ïÃnÃæ cÃnapÃkriyÃ  Yj_3.234b
­ïÃrthaæ karma kÃrayet  Yj_2.43b
­ïikais tasya tad bhavet  Yj_2.56d
­tusaædhi«u bhuktvÃ vÃ  Yj_1.146c
­tvikkar«akakarmiïÃm  Yj_2.265d
­tvikpurohitÃcÃryair  Yj_1.332c
­tvikpurohitÃpatya-  Yj_1.158a
­tvig yaj¤ak­d ucyate  Yj_1.35b
­tvijÃæ dÅk«itÃnÃæ ca  Yj_3.28a
­«abhaikasahasrÃ gÃ  Yj_3.266a
­«ibhi÷ pÃvanaæ k­tam  Yj_1.281b
ekacchÃyÃÓrite«v e«u  Yj_2.55c
ekadeÓam upÃdhyÃya  Yj_1.35a
ekadeÓe vibhÃvita÷  Yj_2.20b
ekabhaktena naktena  Yj_3.318a
ekarÃtropavÃsaÓ ca  Yj_3.317c
ekarÃtropavÃsaÓ ca  Yj_3.321c
ekaæ ghnatÃæ bahÆnÃæ ca  Yj_2.221a
ekÃdaÓaguïaæ dÃpyo  Yj_2.190c
ekÃrÃma÷ parivrajya  Yj_3.58c
ekÃrghyaikapavitrakam  Yj_1.251b
ekaikam upapÃtakam  Yj_3.242d
ekaikasya tv a«ÂaÓatam  Yj_1.303a
ekaikasya yathÃkramam  Yj_3.322b
ekaikasya viÓuddhaye  Yj_3.274d
ekaikaæ pratyahaæ pibet  Yj_3.317b
ekaikaæ hrÃsayet k­«ne  Yj_3.323c
ekottaraguïÃni ca  Yj_3.179d
ekoddi«Âaæ devahÅnam  Yj_1.251a
ekoddi«Âaæ striyÃ api  Yj_1.254d
ekonatriæÓallak«Ãïi  Yj_3.101a
eko vÃdhyÃtmavittama÷  Yj_1.9d
etat sapiï¬Åkaraïam  Yj_1.254c
etad evÃnimantraïe  Yj_2.263d
etad yo na vijÃnÃti  Yj_3.197a
etÃn sarvÃn samÃh­tya  Yj_1.289c
etÃ vai dak«iïÃ÷ sm­tÃ÷  Yj_1.306d
etÃæs tÃtkÃlikÃn vidu÷  Yj_1.151d
ete mahÃpÃtakino  Yj_3.227c
ete mÃnyÃ yathÃpÆrvam  Yj_1.35c
etair upÃyai÷ saæÓuddha÷  Yj_3.159c
etair eva guïair yukta÷  Yj_1.55a
etai÷ prabhÆtai÷ ÓÆdro 'pi  Yj_1.116c
ebhiÓ ca vyavahartÃ ya÷  Yj_2.240c
ebhis tu saævased yo vai  Yj_3.261a
ebhyo mÃtÃ garÅyasÅ  Yj_1.35d
evam astv iti hovÃca  Yj_3.334c
evam asyÃntarÃtmÃ ca  Yj_3.220c
evam uktvÃ vi«aæ ÓÃrÇgaæ  Yj_2.111a
evam etad anÃdyantaæ  Yj_3.124c
evam ena÷ Óamaæ yÃti  Yj_1.13a
evaæ gacchan striyaæ k«ÃmÃæ  Yj_1.80a
evaæ cÃndrÃyaïena vÃ  Yj_3.265b
evaæ puru«akÃreïa  Yj_1.351c
evaæ pradak«iïÃv­tko  Yj_1.250a
evaæ mÃtÃmahÃcÃrya-  Yj_3.4a
evaæ vinÃyakaæ pÆjya  Yj_1.293a
evaæv­tto 'vinÅtÃtmÃ  Yj_3.155a
e«a eva vidhir j¤eya÷  Yj_2.203c
e«a eva vidhir j¤eyo  Yj_2.154c
e«a dharma÷ para÷ striyÃ÷  Yj_1.77b
e«Ãm annaæ na bhoktavyaæ  Yj_1.165c
e«Ãm anyatamÃbhÃve  Yj_2.22c
e«Ãm apatitÃnyonya-  Yj_2.237c
e«Ãm abhÃve pÆrvasya  Yj_2.136a
e«Ãm asaæbhave kuryÃd  Yj_1.126a
e«Ãm iti viniÓcaya÷  Yj_2.233d
e«Ãæ trirÃtram abhyÃsÃd  Yj_3.322a
aiïarauravavÃrÃha-  Yj_1.259a
ojas tasya pradhÃvati  Yj_3.82b
oækÃrÃbhi«Âutaæ soma-  Yj_3.306a
aurasÃ÷ k«etrajÃs tv e«Ãæ  Yj_2.141a
auraso dharmapatnÅjas  Yj_2.128a
aurïe kÃrpÃsasautrike  Yj_2.179b
auveïakaæ sarobindum  Yj_3.113c
au«Âram aikaÓaphaæ straiïam  Yj_1.170c
au«ïyaæ rÆpaæ prakÃÓitÃm  Yj_3.77b
kaÂver vÃrau yathÃpakve  Yj_3.142a
katham etad vimuhyÃma÷  Yj_3.118a
kathaæ tasmin vadasva na÷  Yj_3.118d
kadaryabaddhacaurÃïÃæ  Yj_1.161a
kani«ÂhÃdeÓinyaÇgu«Âha-  Yj_1.19a
kanÅnike cÃk«ikÆÂe  Yj_3.96a
kandharÃbÃhusakthnÃæ ca  Yj_2.220c
kanyÃ kuryÃt svayaævaram  Yj_1.64d
kanyÃdÆ«y abhiÓastaka÷  Yj_1.223b
kanyÃprada÷ pÆrvanÃÓe  Yj_1.63c
kanyÃpradÃnaæ tasyaiva  Yj_3.238c
kanyÃsaædÆ«aïaæ caiva  Yj_3.238a
kanyÃæ kanyÃvedinaÓ ca  Yj_1.262a
kanyÃæ samudvahed e«Ãæ  Yj_3.261c
kapÃle«u ca saæsthitim  Yj_1.139d
kapilÃ cet tÃrayati  Yj_1.205c
kapilÃ nÅlalohitÃ÷  Yj_3.166d
karaïÃc chÆdrabhik«itÃt  Yj_1.127b
karaïÃn mok«asaæj¤itam  Yj_3.114d
karaïair anvitasyÃpi  Yj_3.130a
karapÃdadato bhaÇge  Yj_2.219a
karapÃdaikahÅnakau  Yj_2.274d
karaÓaucÃrtham ambu ca  Yj_1.232b
karasaædaæÓahÅnakau  Yj_2.274b
karoti kiæcid abhyÃsÃd  Yj_3.68c
karoti t­ïam­tkÃ«Âhair  Yj_3.146c
karoti t­ptiæ kuryÃc ca  Yj_1.46c
karoti punarÃv­ttis  Yj_3.194c
karoti ya÷ sa sammÆ¬ho  Yj_3.8c
karau vim­ditavrÅher  Yj_2.103a
karïau ÓaÇkhau bhruvau danta-  Yj_3.96c
kartavyaæ vacanaæ te«Ãæ  Yj_2.191c
kartavyaæ vacanaæ sarvai÷  Yj_2.188a
kartavyÃgrayaïe«ÂiÓ ca  Yj_1.125c
kartavyÃ mantravantaÓ ca  Yj_1.299c
kartavyÃÓayaÓuddhis tu  Yj_3.62a
kartavyÃÓ ca surak«itÃ÷  Yj_1.78d
kartÃ boddhÃ guïÅ vaÓÅ  Yj_3.69b
karma kiæcit svabhÃvata÷  Yj_3.68b
karma kuryÃt tathÃ kriyÃ÷  Yj_3.49d
karmak«ayÃt prajÃyante  Yj_3.206c
karmajÃ gatayas tathÃ  Yj_3.63b
karmaïÃ dve«amohÃbhyÃm  Yj_3.155c
karmaïÃ manasÃ girÃ  Yj_3.151d
karmaïÃ manasÃ vÃcÃ  Yj_1.156a
karmaïÃm ÃphalodayÃt  Yj_1.344d
karmaïÃm ÅÓvaro 'pi san  Yj_3.181d
karmaïÃæ phalam Ãpnoti  Yj_1.293c
karmaïÃæ saænikar«Ãc ca  Yj_3.160c
karmadu«ÂÃÓ ca ninditÃ÷  Yj_1.224d
karmani«ÂhÃs taponi«ÂhÃ÷  Yj_1.221a
karmabhiÓ ca ÓubhÃÓubhai÷  Yj_3.171b
karmabhi÷ svaÓarÅrotthais  Yj_3.9c
karmasiddhir vyavasthitÃ  Yj_1.349b
karma smÃrtaæ vivÃhÃgnau  Yj_1.97a
karmendriyÃïi jÃnÅyÃn  Yj_3.92c
kalaviÇkaæ sakÃkolaæ  Yj_1.174a
kalahaæ sutabÃndhavÃ÷  Yj_2.280b
kalahÃpah­taæ deyaæ  Yj_2.221c
kalahe samudÃh­ta÷  Yj_2.222d
kalahe sÃhase«u ca  Yj_2.10b
kÃïa÷ paunarbhavas tathÃ  Yj_1.222b
kÃtyÃyanab­haspatÅ  Yj_1.4d
kÃnÅna÷ kanyakÃjÃto  Yj_2.129c
kÃntÃragÃs tu daÓakaæ  Yj_2.38a
kÃmato vyavahÃryas tu  Yj_3.226c
kÃmato 'æÓaharo bhavet  Yj_2.133d
kÃmÃvakÅrïa ity ÃbhyÃæ  Yj_3.281c
kÃmodakaæ sakhiprattÃ-  Yj_3.4c
kÃyasthaiÓ ca viÓe«ata÷  Yj_1.336d
kÃraïaæ jagatas tathÃ  Yj_3.173d
kÃraïÃny evam ÃdÃya  Yj_3.148a
kÃrayet sa caturguïam  Yj_2.231d
kÃrayet sa mahÅk«itÃ  Yj_2.194d
kÃrayet sarvadivyÃni  Yj_2.97c
kÃruhasta÷ Óuci÷ païyaæ  Yj_1.187c
kÃrmike romabaddhe ca  Yj_2.180a
kÃryam annaæ dvijanmanÃ  Yj_1.106d
kÃryau dvitÅyÃparÃdhe  Yj_2.274c
kÃr«ikas tÃmrika÷ païa÷  Yj_1.365d
kÃlakarmÃtmabÅjÃnÃæ  Yj_3.163a
kÃlaæ balam athÃpi vÃ  Yj_1.368b
kÃlÃt puru«akÃrata÷  Yj_1.350b
kÃlÃd gokramaïÃt tathÃ  Yj_1.188b
kÃle kÃlak­to naÓyet  Yj_2.58c
kÃlenÃnena Óudhyati  Yj_3.262d
kÃlo 'gni÷ karma m­d vÃyur  Yj_3.31a
kÃlo 'nyatrecchayÃ sm­ta÷  Yj_2.12d
kÃlaupanÃyanika÷ para÷  Yj_1.37d
kÃ«ÃyavÃsasaÓ caiva  Yj_1.273a
kÃ«Âhalo«Âe«upÃ«Ãïa-  Yj_2.298c
kÃ«ÂhavalkalavÃsasÃm  Yj_2.246b
kÃæsyÃt kÃryÃ grahÃ÷ kramÃt  Yj_1.297d
kilbi«aæ yasya tasya tat  Yj_2.36d
kiæcit sÃsthivadhe deyaæ  Yj_3.275c
kiæcid dattvÃ p­thak kriyÃ  Yj_2.116b
kÅrtilokavinÃÓanam  Yj_1.357b
ku¤jarÃïÃæ ca hÃriïa÷  Yj_2.273b
kuï¬ÃÓÅ v­«alÃtmaja÷  Yj_1.224b
kunakhÅ ÓyÃvadantaka÷  Yj_1.222d
kupyaæ gÃ apy ajÃvikam  Yj_1.267b
kubandhena pravÃsayet  Yj_2.294b
kumÃrÅ ca na bhartÃram  Yj_1.275c
kumbhakÃro yathÃ ghaÂam  Yj_3.146b
kumbhÅpÃkaæ tathaiva ca  Yj_3.224b
kuraraæ rajjudÃlakam  Yj_1.174b
kuru«vety abhyanuj¤Ãto  Yj_1.236c
kuryÃc chvaÓurayo÷ pÃda-  Yj_1.83c
kuryÃt tri«avaïasnÃyÅ  Yj_3.325a
kuryÃt pÃtracatu«Âayam  Yj_1.253b
kuryÃt pratyabhiyogaæ ca  Yj_2.10a
kuryÃt pradak«iïaæ deva-  Yj_1.133c
kuryÃt saævatsarÃd api  Yj_1.308Ab
kuryÃd arghyÃdi pÆrvavat  Yj_1.234d
kuryÃd yathÃsya na vidu÷  Yj_1.344c
kuryÃn mÆtrapurÅ«e ca  Yj_1.16c
kurvan kÃ«ÂhÃdibhir nara÷  Yj_2.218b
kurvan «a¬bhÃgadaï¬abhÃk  Yj_2.258d
kurvan siddhim avÃpnuyÃt  Yj_1.294d
kurvÅta pratyahaæ g­hÅ  Yj_1.97b
kulamitrÃrdhasÅriïa÷  Yj_1.166b
kulÃni jÃtÅ÷ ÓreïÅÓ ca  Yj_1.361a
kulÅna÷ satyavÃk Óuci÷  Yj_1.309d
kulÅnÃ÷ satyavÃdina÷  Yj_2.68b
kule nyasyÃdhim ÃpnuyÃt  Yj_2.62d
kule mahati bhogina÷  Yj_3.218b
kuÓÃn ÃstÅrya sarvata÷  Yj_1.286d
kuÓÃÓ ca samidha÷ kramÃt  Yj_1.302d
kuÓÃ÷ ÓÃkaæ payo matsyÃ  Yj_1.214a
kuÓÆlakumbhÅdhÃnyo vÃ  Yj_1.128a
kusÅdak­«ivÃïijya-  Yj_1.119c
kusÅdaæ ÓakaÂaæ giri÷  Yj_3.42b
kÆÂak­t sÃk«iïas tathÃ  Yj_2.81b
kÆÂak­dvikalendriyÃ÷  Yj_2.70d
kÆÂak­nnÃïakasya ca  Yj_2.240b
kÆÂacihnak­to bhayÃt  Yj_2.212d
kÆÂasvarïavyavahÃrÅ  Yj_2.297a
kÆÂaæ yaÓ cÃpy akÆÂakam  Yj_2.241b
kÆÂÃk«opadhidevina÷  Yj_2.202d
kÆÂÃ÷ syu÷ pÆrvasÃk«iïa÷  Yj_2.80d
kÆÓmÃï¬o rÃjaputraÓ cety  Yj_1.285c
kÆ«mÃï¬Åbhir gh­taæ Óuci÷  Yj_3.303b
k­cchrak­d dharmakÃmas tu  Yj_3.327a
k­cchratrayaæ guru÷ kuryÃn  Yj_3.283c
k­cchraæ cÃndrÃyaïaæ tathÃ  Yj_3.325b
k­cchraæ caivÃtik­cchraæ ca  Yj_3.264a
k­cchraæ vÃ pÃdikaæ caret  Yj_3.270d
k­cchraæ sÃntapanaæ caret  Yj_3.314d
k­cchra÷ Óe«avratÃni ca  Yj_3.282d
k­cchra÷ saumyo 'yam ucyate  Yj_3.321d
k­cchrÃtik­cchra÷ payasÃ  Yj_3.320a
k­cchrÃtik­cchro 's­kpÃte  Yj_3.292c
k­cchrair vÃ vartayet sadÃ  Yj_3.50b
k­cchro 'bhyantaraÓoïite  Yj_3.292d
k­takÃryÃn visarjayet  Yj_2.189b
k­takÃlaæ guror g­he  Yj_2.184b
k­taghnavadhajÅvinÃm  Yj_1.164b
k­taghnasahitÃn imÃn  Yj_3.298d
k­taj¤ÃdrohimedhÃvi-  Yj_1.28a
k­taj¤o v­ddhasevaka÷  Yj_1.309b
k­tam ÃÓvayuje tyajet  Yj_3.47d
k­tarak«a÷ samutthÃya  Yj_1.327a
k­taÓilpo 'pi nivaset  Yj_2.184a
k­taÓaucavidhir dvija÷  Yj_1.98b
k­tÃk­tÃæs taï¬ulÃæÓ ca  Yj_1.287a
k­tÃgnikÃryo bhu¤jÅta  Yj_1.31a
k­te 'nantare tv ahorÃtraæ  Yj_1.147c
k­todakÃn samuttÅrïÃn  Yj_3.7a
k­ttikÃdibharaïyantaæ  Yj_1.268a
k­trima÷ syÃt svayaæk­ta÷  Yj_2.131b
k­tvÃ gobhi÷ pramÃpayet  Yj_2.279d
k­tvÃ tu brahmahÃ Óuci÷  Yj_3.245d
k­tvÃ lekhyaæ tu kÃrayet  Yj_1.318b
k­tvÃ viprÃn visarjayet  Yj_1.248d
k­tvÃÓmani padaæ Óanai÷  Yj_3.13d
k­tvÃ hi retoviïmÆtra-  Yj_3.306c
k­tvedaæ vi«ïur ity anne  Yj_1.238c
k­mikÅÂapataÇgatvaæ  Yj_3.208a
k­«iæ cÃpi k­«Åvala÷  Yj_1.276d
k­«i÷ Óilpaæ bh­tir vidyÃ  Yj_3.42a
k­«ïapak«o 'yanadvayam  Yj_1.217b
k­«ïala÷ pa¤ca te mÃ«as  Yj_1.363c
k­«ïÃ gaur Ãyasaæ chÃga  Yj_1.306c
kecid daivÃt svabhÃvÃd vÃ  Yj_1.350a
ketuÓ ceti grahÃ÷ sm­tÃ÷  Yj_1.296d
ketuæ k­ïvann imÃæs tathÃ  Yj_1.301d
kena vÃyaæ gata÷ saha  Yj_2.281b
keÓakÅÂasamanvitam  Yj_1.167b
keÓatakravi«ak«iti÷  Yj_3.37d
keÓabhasmatu«ÃÇgÃra-  Yj_1.139c
keÓaÓmaÓrunakha÷ Óuci÷  Yj_1.131b
keÓÃkeÓi parastriyÃ  Yj_2.283b
keÓÃntaÓ caiva «o¬aÓe  Yj_1.36d
ke«Ãæcid iha jÃyate  Yj_3.133b
ko 'nyathaikena netreïa  Yj_3.149c
koya«ÂiplavacakrÃhva-  Yj_1.173a
kole gh­taghaÂo deya  Yj_3.273c
ko vÃ svapnasya kÃraka÷  Yj_3.150d
koÓaæ vÃ koÓakÃraka÷  Yj_3.147d
koÓo daï¬as tathaiva ca  Yj_1.353b
kauÂilyaæ vratalopanam  Yj_3.238d
kauÓeyanÅlalavaïa-  Yj_3.38a
kauÓeye vÃlkale«u ca  Yj_2.180d
kratutulyaphalaæ p­thak  Yj_1.360b
kramaÓo gurutalpaga÷  Yj_3.208d
kramaÓo maï¬alaæ cintyaæ  Yj_1.345c
kramÃt te saæbhavantÅha  Yj_3.196c
kramÃt te saæbhavanty arcir  Yj_3.193a
kramÃd abhyÃgataæ dravyaæ  Yj_2.119a
kramÃd dadyÃd viÓuddhaye  Yj_3.268d
krameïÃcÃryasacchi«ya-  Yj_2.137c
krayo vÃ ni÷sravas tasmÃd  Yj_2.251c
kravyÃdapak«idÃtyÆha-  Yj_1.172a
kravyÃdÃdinipÃtitam  Yj_1.192d
kravyÃdÃæÓ cÃdhirohati  Yj_1.273b
kriyamÃïopakÃre tu  Yj_3.283Aa
kriyamÃïo bhaved hi sa÷  Yj_3.65b
kriyÃÓ ca ÓruticodanÃt  Yj_3.17d
kriyÃ÷ kÃryÃ÷ svaÓaktita÷  Yj_3.11d
krÅ¬Ãæ ÓarÅrasaæskÃraæ  Yj_1.84a
krÅtalabdhÃÓanÃ bhÆmau  Yj_3.16a
krÅtaÓ ca tÃbhyÃæ vikrÅta÷  Yj_2.131a
krÅtvÃ nÃnuÓaya÷ kÃrya÷  Yj_2.258c
krÆrograpatitavrÃtya-  Yj_1.162c
kretÃ mÆlyam avÃpnoti  Yj_2.170c
kretur eva hi sÃ bhavet  Yj_2.255d
kretur do«o 'prakÃÓite  Yj_2.168b
kretur naiva prayacchati  Yj_2.254b
kretur vikretur eva ca  Yj_2.253d
krodhalobhavivarjita÷  Yj_2.1d
klÅbaraÇgÃvatÃriïÃm  Yj_1.161b
klÅbo 'tha patitas tajja÷  Yj_2.140a
k«aïaæ dhyÃtvÃbravÅn munÅn  Yj_1.2b
k«atrajÃs tridvyekabhÃgÃ  Yj_2.125c
k«atrasya dvÃdaÓÃhÃni  Yj_3.22a
k«atriyÃ mÃgadhaæ vaiÓyÃc  Yj_1.94a
k«atriyÃyÃæ viÓa÷ striyÃm  Yj_1.91b
k«atriyo vijayÅ bhavet  Yj_3.332b
k«ayaæ v­ddhiæ ca vaïijÃ  Yj_2.258a
k«Ãtreïa karmaïÃ jÅved  Yj_3.35a
k«ÃrÃmlodakavÃribhi÷  Yj_1.190b
k«ipan prÃïaharaæ tathÃ  Yj_2.224b
k«ÅrÃÓÅ go'nugo dinam  Yj_3.276d
k«ÅriïÅ gau÷ sadak«iïÃ  Yj_1.204d
k«udramadhyamahÃdravya-  Yj_2.275a
k«udrÃntraæ v­kkakau basti÷  Yj_3.94c
k«etraja÷ k«etrajÃtas tu  Yj_2.128c
k«etrajo 'sya bhavet suta÷  Yj_1.69d
k«etraj¤asyeÓvaraj¤ÃnÃd  Yj_3.34c
k«etram anyena kÃrayet  Yj_2.158d
k«etraveÓmavanagrÃma-  Yj_2.282a
k«etrasya haraïe daï¬Ã  Yj_2.155c
k«etrasyÃsya nigadyate  Yj_3.178b
k«etre do«o na vidyate  Yj_2.162b
k«etre setuæ pravartayet  Yj_2.157b
k«epa uttamasÃhasa÷  Yj_2.211b
k«epaæ karoti ced daï¬ya÷  Yj_2.204c
kha¬dÃmi«aæ mahÃÓalkaæ  Yj_1.260a
khamaï¬alÃd asau sÆrya÷  Yj_3.123a
kharapulkasavenÃnÃæ  Yj_3.207c
kharayÃno«ÂrayÃnaga÷  Yj_3.290b
kharÃjame«e«u v­«o  Yj_3.271c
kharo«ÂrayÃnahastyaÓva-  Yj_1.151a
kharo«Âraæ mahi«Åsamam  Yj_2.160d
khÃdan mÃæsaæ na do«abhÃk  Yj_1.179d
khÃny adbhi÷ samupasp­Óet  Yj_1.20b
gacchaæÓ cÃndrÃyaïaæ caret  Yj_3.287b
gacchaæs tu gurutalpaga÷  Yj_3.233b
gacched vÃvar«masaæk«ayÃt  Yj_3.55d
gajÃdÅnÃm aÓaknuvan  Yj_3.274b
gaje nÅlav­«Ã÷ pa¤ca  Yj_3.271a
gaïadravyaæ hared yas tu  Yj_2.187a
gaïÃnÃm apy ayaæ vidhi÷  Yj_2.192b
gaïÃnÃm Ãdhipatye ca  Yj_1.271c
gaïÃn jÃnapadÃn api  Yj_1.361b
gaïikÃgaïadÅk«iïÃm  Yj_1.161d
gaï¬e nÃsÃ ghanÃsthikÃ  Yj_3.89b
gate tasmin nimagnÃÇgaæ  Yj_2.109c
gatyÃ karmaphalena ca  Yj_3.164b
gatvÃ caiva divÃ striyam  Yj_3.290d
gatvodakyÃæ viÓudhyati  Yj_3.287d
gantrÅ vasumatÅ nÃÓam  Yj_3.10a
gandhadhÃnyagu¬Ãdi«u  Yj_2.245b
gandharÆparasasparÓa-  Yj_3.91a
gandharvaÓ ca ÓubhÃæ giram  Yj_1.71b
gandhalepak«ayakaraæ  Yj_1.17c
gandhÃn chucchundarÅ ÓubhÃn  Yj_3.213d
gandhÃÓ ca balayaÓ caiva  Yj_1.299a
gandhÃ÷ pu«paæ dadhi k«iti÷  Yj_1.214b
gandhair maï¬alake«u vÃ  Yj_1.298b
gandhodakatilair yuktaæ  Yj_1.253a
gamyaæ tv abhÃve dÃtÌïÃæ  Yj_1.64c
gamyÃsv api pumÃn dÃpya÷  Yj_2.290c
gardabhaæ paÓum Ãlabhya  Yj_3.280c
garbhabhart­vadhÃdau ca  Yj_1.72c
garbhasya vaik­taæ d­«Âam  Yj_3.163c
garbhasrÃve mÃsatulyÃ  Yj_3.20c
garbhahÃ ca yathÃvarïaæ  Yj_3.251c
garbhÃdhÃnam ­tau puæsa÷  Yj_1.11a
garbhÃ«Âame '«Âame vÃbde  Yj_1.14a
garbhiïyÃturakanyakÃ÷  Yj_1.105b
garbhe tyÃgo vidhÅyate  Yj_1.72b
garbhe vinna÷ saho¬haja÷  Yj_2.131d
garbho do«am avÃpnuyÃt  Yj_3.79b
garhaïÅyÃnyathÃ bhavet  Yj_1.86d
gavÃæ dvÃdaÓakasya ca  Yj_3.244b
gÃndharva÷ samayÃn mitha÷  Yj_1.61b
gÃyatrÅjapyanirata÷  Yj_3.289c
gÃyatrÅæ manasÃ sak­t  Yj_3.30d
gÃyatrÅæ ÓirasÃ sÃrdhaæ  Yj_1.23a
gÃyatryÃ cÃbhimantrayet  Yj_3.325d
gÃyatryÃ vÃcanaæ tathÃ  Yj_3.309d
gÃyatryÃÓ ca viÓe«ata÷  Yj_3.308b
gÃyatryÃ÷ pratyahaæ japa÷  Yj_1.22d
gÃæ godhÃgniæ bakas tathÃ  Yj_3.215b
gÅtaj¤o yadi yogena  Yj_3.116a
gÅtan­tyaiÓ ca bhu¤jÅta  Yj_1.330c
gugguluæ cÃpsu nik«ipet  Yj_1.279d
gu¬api«Âaæ samodakam  Yj_1.289b
gu¬audanaæ pÃyasaæ ca  Yj_1.304a
guïÃs tasyaiva kÅrtitÃ÷  Yj_3.182b
guïidvaidhe tu vacanaæ  Yj_2.78c
gurave tu varaæ dattvÃ  Yj_1.51a
gurutalpasamaæ sm­tam  Yj_3.231d
gurubh­tyÃrtham eva vÃ  Yj_1.216b
guruæ caivÃpy upÃsÅta  Yj_1.26c
guruæ huæk­tya tvaæk­tya  Yj_3.291a
gurÆïÃm adhyadhik«epo  Yj_3.228a
guros tÃ¬ayitus tathÃ  Yj_2.303b
gurvantevÃsyanÆcÃnam  Yj_3.24c
gulphe«u ca catu«Âayam  Yj_3.86b
gulmagucchak«upalatÃ-  Yj_2.229a
gÆ¬hajas tu suta÷ sm­ta÷  Yj_2.129b
g­hakÃrÅ hy upaskaram  Yj_3.214d
g­hak«etraiÓ ca yautakai÷  Yj_2.149d
g­hadhÃnyÃbhayopÃnac-  Yj_1.211a
g­hayÃnÃni varjayet  Yj_1.160b
g­hastho 'pi hi mucyate  Yj_3.205d
g­haæ bÃlapura÷sarÃ÷  Yj_3.12b
g­haæ mÃrjanalepanÃt  Yj_1.188d
g­haæ vÃ g­hakÃraka÷  Yj_3.146d
g­hÅtamÆlyaæ ya÷ païyaæ  Yj_2.254a
g­hÅtavetana÷ karma  Yj_2.193a
g­hÅtavetanÃ veÓyÃ  Yj_2.292a
g­hÅtaÓiÓnaÓ cotthÃya  Yj_1.17a
g­hÅtaæ strÅdhanaæ bhartÃ  Yj_2.147c
g­hÅta÷ ÓaÇkayÃ caurye  Yj_2.269a
g­hÅtÃnukramÃd dÃpyo  Yj_2.41a
g­hÅto varuïÃya tam  Yj_2.307b
g­hÅtvÃ svayam arpayet  Yj_2.169d
g­hÅtvotk­tya v­«aïau  Yj_3.259c
g­hÅtvorÆ jalaæ vaÓet  Yj_2.108d
g­he 'pi nivasan vipro  Yj_1.181c
g­he pracchanna utpanno  Yj_2.129a
g­hïan dÃpya÷ païÃn daÓa  Yj_2.263b
g­hïan pradÃtÃram adho  Yj_1.202c
g­hïÅyÃt k«atriyÃ Óaram  Yj_1.62b
g­hïÅyÃd dhÆrtakitavÃd  Yj_2.199c
geyam etat tadabhyÃsa-  Yj_3.114c
goghrÃtaæ Óakunocchi«Âaæ  Yj_1.168c
goghrÃte 'nne tathÃ keÓa-  Yj_1.189a
gopaya÷ parivarjayet  Yj_1.170b
gopaÓauï¬ikaÓailÆ«a-  Yj_2.48a
gopas tÃ¬yaÓ ca gomÅ tu  Yj_2.161c
gopÃ÷ sÅmÃk­«ÃïÃ ye  Yj_2.150c
gopyÃdhibhoge no v­ddhi÷  Yj_2.59a
gopradÃnena Óudhyati  Yj_3.263d
gobrÃhmaïÃnalÃnnÃni  Yj_1.155a
gobrÃhmaïÃrthaæ saægrÃme  Yj_3.27c
go'bhiÓÃpÃtyaye striyÃm  Yj_2.12b
gobhÆtilahiraïyÃdi  Yj_1.201a
gomayaæ gaurasar«apÃn  Yj_3.13b
gomÆtraæ gomayaæ k«Åraæ  Yj_3.314a
govadho vrÃtyatÃ steyam  Yj_3.234a
govÃlaiÓ cÃvaghar«aïam  Yj_3.60d
govÃlai÷ phalasaæbhuvÃm  Yj_1.185b
go«Âhe vasan brahmacÃrÅ  Yj_3.289a
go«ÂheÓayo go'nugÃmÅ  Yj_3.263c
gauravaæ mÆrtim eva ca  Yj_3.78b
gaur aÓvo vasudhÃnila÷  Yj_1.193b
gaurasar«apakalkena  Yj_1.277c
gauras tu te traya÷ «aÂ te  Yj_1.363a
gaur deyÃ karmaïo 'syÃnte  Yj_3.304c
gaus tadardham ajÃvikam  Yj_2.159d
grahaïaæ candrasÆryayo÷  Yj_1.218b
grahaïÃntikam ity eke  Yj_1.36c
grahayaj¤aæ samÃcaret  Yj_1.295b
grahasaæyogajai÷ phalai÷  Yj_3.171d
grahÃïÃm idam Ãtithyaæ  Yj_1.308Aa
grahÃdhÅnÃ narendrÃïÃm  Yj_1.308a
grahÃæÓ caiva vidhÃnata÷  Yj_1.293b
grÃmabhartur anirgate  Yj_2.271b
grÃmÃd Ãh­tya vÃ grÃsÃn  Yj_3.55a
grÃme k«etrÃntaraæ bhavet  Yj_2.167b
grÃmyecchayÃ gopracÃro  Yj_2.166a
grÃhakair g­hyate cauro  Yj_2.266a
grÃhyaæ ye guïavattamÃ÷  Yj_2.78d
