Brhadyamasmrti
Based on the edition by V.G. Apte: Sm­tÅnÃæ Samuccaya÷, Pune 1905 (2nd ed. 1929), pp. 99-107.
(ùnandÃÓramasaæsk­tagranthÃvali÷ / Anandasrama Sanskrit Series, 48) 

This is another version of the Yamasm­ti, termed B­hadyamasm­ti in the editions (but not in mss.),
containing 182 verses in 5 adhyÃyas.




Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.



PADA INDEX


STRUCTURE OF REFERENCES:
YS182v_n.nn = Yamasm­ti, 182-verse version_adhyÃya.verse



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





agre mÃhi«akaæ d­«ÂvÃ  YS182v_3.16a
pravadanti manÅ«iïa÷  YS182v_4.48b
pravrajyÃnÃÓakacyutÃ÷  YS182v_1.3b
prasÆtÃ vÃ na kÃrya ca  YS182v_5.7c
prasthÃne vÃ pitÃ tasya  YS182v_5.9c
prÃjÃpatyadvayena hi  YS182v_4.44d
prÃjÃpatyaæ tu k«attriya÷  YS182v_1.11b
prÃjÃpatyaæ na dÃtavyaæ  YS182v_1.10c
prÃjÃpatyaæ samÃcaret  YS182v_3.45d
prÃjÃpatyena Óudhyati  YS182v_1.9d
prÃjÃpatyais tribhi÷ k­cchraæ  YS182v_4.25a
prÃïinÃæ pÃpakÃriïÃm  YS182v_4.27d
prÃtah saædhyÃæ sanak«atrÃm  YS182v_4.50a
prÃtilomye mahatpÃpaæ  YS182v_4.48a
prÃpte dvÃdaÓame var«e  YS182v_3.20a
prÃyaÓcittam upakramya  YS182v_2.7a
prÃyaÓcittaæ kathaæ bhavet  YS182v_3.8d
prÃyaÓcittaæ kathaæ bhavet  YS182v_3.62d
prÃyaÓcittaæ kathaæ bhavet  YS182v_3.64d
prÃyaÓcittaæ ca dÃtavyaæ  YS182v_5.6c
prÃyaÓcittaæ ca yat sm­tam  YS182v_4.13b
prÃyaÓcittaæ cared bhrÃta  YS182v_3.1c
prÃyaÓcittaæ cÃ ''nulomye  YS182v_4.48c
prÃyaÓcittaæ tathÃ prÃptaæ  YS182v_3.11c
prÃyaÓcittaæ tadÃ deyam  YS182v_4.28c
prÃyaÓcittaæ tu bandhubhi÷  YS182v_4.31d
prÃyaÓcittaæ dadÃti ya÷  YS182v_4.29b
prÃyaÓcittaæ dine dine  YS182v_4.49d
prÃyaÓcittaæ na vidyate  YS182v_3.2d
prÃyaÓcittaæ na sevate  YS182v_2.8b
prÃyaÓcittaæ p­thak p­thak  YS182v_4.11d
prÃyaÓcittaæ prakalpayet  YS182v_1.1d
prÃyaÓcittaæ pravartate  YS182v_4.43d
prÃyaÓcittaæ bhavet tatra  YS182v_4.2c
prÃyaÓcittaæ manÅ«ibhi÷  YS182v_4.27b
prÃyaÓcittaæ yathÃ tathÃ  YS182v_4.7b
prÃyaÓcittaæ yathÃ vidhi  YS182v_4.41b
prÃyaÓcittaæ vidhÅyate  YS182v_4.23d
prÃyaÓcittaæ vidhÅyate  YS182v_4.30b
prÃyaÓcittaæ vyÃkhyÃsyÃma÷  YS182v_1.1b
prÃyaÓcittaæ samaæ sm­tam  YS182v_4.8d
prÃyaÓcittÃd viÓudhyati  YS182v_4.5b
prÃyaÓcittÃrdham arhanti  YS182v_3.3c
prÃyaÓcittÅ tadÃrhati  YS182v_4.42b
prÃyaÓcittÅ bhavec ca sa÷  YS182v_4.12d
prÃyaÓcittÅ bhavet tadÃ  YS182v_4.40d
prÃyaÓcittÅ bhavet pÆtas  YS182v_4.29c
prÃyaÓcittÅ bhaven nara÷  YS182v_4.4d
prÃyaÓcittena Óudhyati  YS182v_4.9d
pre«ita÷ puru«o vÃ 'pi  YS182v_4.13a
bandhubhir datta eva ca  YS182v_5.18b
balavaty uttarÃ kriyÃ  YS182v_5.24b
balÃd g­hÅto baddhaÓ ca  YS182v_5.18a
balÃd dÃsÅ k­tÃ ye ca  YS182v_5.5c
balÅvardasya caiva hi  YS182v_4.2b
balÅvarde 'pi ca tathÃ  YS182v_4.8c
balÅvardo m­to 'pi vÃ  YS182v_4.4b
bÃlo vÃ 'py Æna«o¬aÓa÷  YS182v_3.3b
brahmalokaæ vrajaty eva  YS182v_4.53a
brahmavarcasam eva ca  YS182v_4.58b
brahmavÃdi«u garhita÷  YS182v_3.23d
brahmahatyÃ dine dine  YS182v_3.13d
brahmahÃ ca surÃpaÓ ca  YS182v_4.22c
brÃhmaïak«attriyaviÓÃæ  YS182v_4.34a
brÃhmaïas tu ÓunÃ da«Âo  YS182v_1.2a
brÃhmaïaæ g­ham Ãgatam  YS182v_3.25b
brÃhmaïa÷ kÃmalubdho 'pi  YS182v_4.46c
brÃhmaïÃn bhojayet paÓcÃc  YS182v_4.38c
brÃhmaïÃ mantritÃÓ caiva  YS182v_5.8a
brÃhmaïÅ k«attriyÃ tathÃ  YS182v_3.66b
brÃhmaïÅ vaiÓyinÅ tathÃ  YS182v_3.67b
brÃhmaïÅ ÓÆdriïÅ tathÃ  YS182v_3.68b
brÃhmaïo brÃhmaïena hi  YS182v_3.46b
brÃhmaïo madamohita÷  YS182v_3.13b
brÃhmaïo madamohita÷  YS182v_3.19b
brÃhmaïo rÃjasevayÃ  YS182v_4.60d
brÃhmaïo vai pramÃdata÷  YS182v_3.54b
brÃhmaïyaæ hi vilupyate  YS182v_4.59d
brÃhmÅ dÃnena Óudhyati  YS182v_3.68d
bhaginÅæ mÃtur eva ca  YS182v_3.4b
bhavaty eva na saæÓaya÷  YS182v_5.15b
bhavanti ­ïabhÃgina÷  YS182v_3.38d
bhavanty uttaravÃdina÷  YS182v_5.26b
bhaved vai pÃpina÷ kila  YS182v_4.28b
bhÆdevÃ nÃtra saæÓaya÷  YS182v_4.54b
bh­tako vedavikrayÅ  YS182v_3.37d
bhrÃtaraÓ ca p­thak kuryur  YS182v_5.16a
bhrÃtu÷ putro mitraputra÷  YS182v_5.18c
bhrÆïahatyÃ pitus tasyÃ÷  YS182v_3.18c
mak«ikaiÓ copaghÃtitam  YS182v_1.7b
madhyÃhne ca tathÃ raudrÅæ  YS182v_4.50c
madhye ca v­«alÅpatim  YS182v_3.16b
mayÃ ca sÆtakaæ bhavet  YS182v_4.20d
maha[hÃ]rghaæ ya÷ prayacchati  YS182v_3.23b
mahi«Åty ucyate bhÃryÃ  YS182v_3.17a
mÃtaraæ gurupatnÅæ ca  YS182v_3.7a
mÃtÃ caiva pitÃ caiva  YS182v_3.22a
mÃnasaæ vÃcikaæ caiva  YS182v_4.49a
mÃsam ekaæ nirantaram  YS182v_3.14b
mÃsaæ k­cchraæ cared vipraÓ  YS182v_1.12c
mÃsi mÃsi rajas tasyÃ÷  YS182v_3.20c
mukhena dhamitaæ bhuÇkte  YS182v_3.31c
mu«ÂyÃ vÃ nihatÃ yÃ gau÷  YS182v_4.10a
m­takaæ ca yadÃ bhavet  YS182v_4.18d
m­tam udbandhanena tu  YS182v_1.6b
m­tÃ caiva yadÃ sÃ gau÷  YS182v_4.12c
m­tpiï¬anavagomaye  YS182v_4.9b
m­tpiï¬Ãnyeva sÃdhayet  YS182v_4.1d
mau¤jÅhomena Óudhyati  YS182v_2.3d
mlecchacÃï¬Ãladasyubhi÷  YS182v_5.5d
yatra yatra mriyed gauÓ ca  YS182v_4.11c
yathÃ brahmavadhe pÃpaæ  YS182v_4.8a
yad attaæ ca hutaæ tasmai hy  YS182v_3.43e
yadi na k«ipate toyaæ  YS182v_1.10a
yad dehakaæ kÃkabalÃkacillÃm-  YS182v_3.61a
yan na kÃrayate tat tan  YS182v_3.56a
yama÷ prÃha yathÃ tatham  YS182v_4.19d
yaÓ cÃ ''tmÃnaæ nivedayet  YS182v_3.10d
ya«ÂyÃ tu ghÃtite caiva  YS182v_4.1c
ya«ÂyÃ tu patitÃ yÃ gaur  YS182v_4.4a
yas tÃæ vivÃhayet kanyÃæ  YS182v_3.19a
yas toyaæ pibati dvija÷  YS182v_1.9b
''yaæ gauriti vÃ ­ca÷[cÃ]  YS182v_3.58b
ya÷ karoty ekarÃtreïa  YS182v_3.12a
yÃcako vi«ayÃtmaka÷  YS182v_3.36b
yÃvato grasate grÃsÃn  YS182v_3.29a
yÃvad ÃbhÆtasaæplavam  YS182v_4.6d
yÃvad ÃbhÆtasaæplavam  YS182v_4.61d
yÃvad u«ïaæ bhaved annaæ  YS182v_3.27a
yÃvad eka÷ p­thag bhÃvya÷  YS182v_2.8a
yÃvad dvijÃ na cÃrcyante  YS182v_3.59c
yÃvad bhu¤janti vÃgyatÃ÷  YS182v_3.27b
yÃvan noktÃ havirguïÃ÷  YS182v_3.27d
ye ca Ãtmahano janÃ÷  YS182v_4.31b
ye ca saækÅrïayonaya÷  YS182v_1.14b
ye ca strÅsÆtake m­tÃ÷  YS182v_4.30d
ye 'py adhogatim ÃgatÃ÷  YS182v_4.33b
ye bhu¤janty abudhÃ dvijÃ÷  YS182v_3.11b
ye ÓÃmaÓabalÃcyutÃ÷  YS182v_1.5b
yojanÅyaæ[yettu] prayatnata÷  YS182v_3.40d
yojanÅya÷ prayatnena  YS182v_3.43c
yonisaækarajaæ sarvaæ  YS182v_5.2c
raktavastrasya vikretÃ  YS182v_3.52a
rajakÅæ veïujÅvinÅm  YS182v_2.1b
rajasvalÃæ sp­Óed yas tu  YS182v_3.50a
raja÷ paÓyati yÃ nÃrÅ  YS182v_3.57a
rÃk«asair vipralupyati  YS182v_3.32d
rÃjadaï¬o na tasyÃsti  YS182v_3.2c
rÃjapratigrahÃt sarvaæ  YS182v_4.58a
rÃj¤a÷ pratigrahÃc caiva  YS182v_4.59c
rÃj¤Ãæ pratigrahas tyÃjyo  YS182v_4.59a
rÃj¤Ãæ suk­tanÃmabhi÷  YS182v_4.61b
rÃj¤Åm ÃcÃryaÓi«yÃæ vÃ  YS182v_3.5a
rÃtrau nak«atradarÓanÃt  YS182v_3.70b
retomÆtrapurÅ«ÃïÃæ  YS182v_3.62c
rogÅ hÅnÃtiriktÃÇga÷  YS182v_3.34c
rodhane bandhane caiva  YS182v_4.9a
lÃk«Ãrajakameva ca  YS182v_3.52b
lehitaæ vartitaæ caiva  YS182v_3.33c
lokatrayajigÅ«ubhi÷  YS182v_4.59b
lolupÃ vedavarjitÃ÷  YS182v_4.55d
vaktavyaæ Óobhanaæ havi÷  YS182v_3.28d
vacanÃd bhavate[ti] k«ama÷  YS182v_5.11b
vacasoddÃlakasya ca  YS182v_5.20b
vatso vatsataro vÃ 'pi  YS182v_4.4c
vane ca patitÃ yÃ gau÷  YS182v_4.12a
varjanÅyÃ÷ prayatnata÷  YS182v_3.37b
varjitaæ ca yama÷ prÃha  YS182v_3.41c
varïataÓ cÃpi sarvaÓa÷  YS182v_5.2d
varïÃdÅnÃæ yathÃ kramam  YS182v_5.1d
varïijÃtye«v anukramÃt  YS182v_5.3b
vastrasyÃrdham adha÷ k­tam  YS182v_3.31b
vidyÃt apobhyÃæ saæyukta÷  YS182v_4.53c
vidyÃvinayasaæpanna÷  YS182v_3.42c
vidhav Ãgamane pÃpaæ  YS182v_4.43a
vidhavÃ caiva yÃ nÃrÅ  YS182v_4.39a
vidhiæ prabrÆhi no yama  YS182v_4.18b
vinÃ ÓÃkhÃprabhedena  YS182v_4.45c
vipule ca jale snÃtvÃ  YS182v_3.57c
viprak«attriyaviÂÓÆdrÃ-  YS182v_5.3a
viprasyaiva caturguïam  YS182v_4.14b
vipra÷ sp­«Âo niÓÃyÃæ tÆ-  YS182v_3.69a
viprÃs te nÃtra saæÓaya÷  YS182v_4.54d
vipreïa cÃnnavarjitam  YS182v_3.45b
vibhÃgasya vinirïaya÷  YS182v_5.21b
vivÃhotsavayaj¤e«u  YS182v_3.56c
vi«aprapannagÃtrÃÓ ca  YS182v_1.3c
v­«alÅgamanaæ caiva  YS182v_3.14a
v­«alÅphenapÅtasya  YS182v_3.15a
v­«alÅsevanaæ dvija÷  YS182v_3.12b
v­«alÅæ yas tu g­hïÃti  YS182v_3.13a
veïujÅvanakaivarta-  YS182v_3.52c
vedavedÃÇgapÃraga÷  YS182v_5.4b
vedÃcÃrarato vipro  YS182v_5.4a
vedÃntavijjye«ÂhasÃmÃ  YS182v_3.43a
vaidikaæ ca tathÃ sarvaæ  YS182v_5.15a
vaiÓyasya dviguïaæ bhavet  YS182v_4.13d
vaiÓyÃyÃ gamane ÓÆdra÷  YS182v_4.47c
vaiÓvadevÃdikaæ ca yat  YS182v_5.15d
vai«ïavo j¤ÃnavÃn hi sa÷  YS182v_3.39b
vyabhicÃrÃd ­tau Óuddhi÷  YS182v_4.36a
vrataæ saæpÆrïatÃæ vrajet  YS182v_4.21d
ÓakaÂe dhÃ[vÃ]ripaÇkayo÷  YS182v_4.10b
ÓaktyÃ dadyÃt tu dak«iïÃm  YS182v_1.7d
ÓarÅre yasya jÅryati  YS182v_1.10b
ÓastraghÃtena caiva hi  YS182v_4.3d
ÓastrÃghÃtahatÃÓ ca ye  YS182v_1.3d
ÓÃnta÷ Óucir alampaÂa÷  YS182v_4.53d
ÓÃrÅrai÷ paÇktidÆ«anai÷  YS182v_3.41b
Óiromuï¬Ãpanaæ sm­tam  YS182v_4.17d
Ói«yaÓ caiva tathaurasa÷  YS182v_5.18d
Óukrak«ayakarÃ vandhyÃ  YS182v_3.24a
ÓuklavÃsÃs tv alaÇk­tÃ  YS182v_3.57d
Óukle k­«ïe ca hrÃsayet  YS182v_2.6b
Óuddhyarthaæ nÃnyathÃ bhÃvyam  YS182v_4.32c
Óudhyate ca payovratÃt  YS182v_1.15d
ÓunÃ ÓÆdreïa vÃ dvija÷  YS182v_3.44b
ÓÆdraæ cÃpy anulomajam  YS182v_2.4b
ÓÆdrÃnÃæ cÃntyajÃtinÃm  YS182v_4.34b
ÓÆdreïa tu yadÃ dvija÷  YS182v_3.47d
ÓÆdro vÃ 'pi yathÃ kramÃt  YS182v_4.42d
Ó­ïudhvaæ munipuÇgavÃ÷  YS182v_5.1b
ÓyÃvadanto 'tha vaidyaÓ ca  YS182v_3.36c
ÓrÃddhakÃle yadÃ jÃtÃ  YS182v_5.7a
ÓrÃddhaæ dÃnaæ tapo yaj¤o  YS182v_4.22a
ÓrÃddhÃdikÃm tu putreïa  YS182v_5.10a
ÓrÃddhe yaj¤e ca karmaïi  YS182v_3.40b
ÓrÃddhe yaj¤e ca garhita÷  YS182v_4.46d
ÓrutaÓabdena caiva hi  YS182v_3.51b
Órutaæ ca pi([tavÃnpi])taraæ m­tam  YS182v_5.10d
Órotriyo brahmavidyuvÃ  YS182v_3.42b
Órotre mukhe vÃ parimastake vÃ  YS182v_3.61c
ÓvanadyÃm uttare 'pi vÃ  YS182v_4.10d
ÓvaÓrÆæ pit­«vasÃraæ ca  YS182v_3.4c
ÓvÃnakukkuÂamÃrjÃrÃ÷  YS182v_3.48c
ÓvitrÅ ku«Â÷Å tathÃ ÓÆlÅ  YS182v_3.34a
«a¬abdaæ caiva saæsm­tam  YS182v_4.24b
«a¬ ete paÇktidÆ«akÃ÷  YS182v_3.33d
«a¬rÃtreïa viÓudhyati  YS182v_1.8d
«a¬rÃtropo«ita÷ snÃtvÃ  YS182v_3.54c
«aïmÃsaæ k­cchram Ãcaret  YS182v_3.5d
«aïmÃsaæ k­cchram Ãcaret  YS182v_3.6d
sakÃmo hi yadÃ vipra÷  YS182v_4.41c
sak­c caiva tu yad bhavet  YS182v_4.43b
sak­d gamane yat pÃpaæ  YS182v_4.44c
sagotrÃ cÃnyagotrakÃ  YS182v_3.65b
sadÃ sÆtakitÃ tasya  YS182v_3.13c
saphalaæ jÃyate sarvÃm  YS182v_5.17a
saphalaæ pait­kaæ bhavet  YS182v_5.14d
samabhÃgapradÃtÃ ca  YS182v_5.21c
samabhÃgo grahÅtavya÷  YS182v_5.22a
samarghaæ dhanam uts­jya  YS182v_3.23a
samavidyottaraæ caiva  YS182v_5.24c
sarvadharmabahi«katÃ÷  YS182v_4.62d
sarvadharmabahi«k­tÃ÷  YS182v_1.4b
sarvÃn keÓÃn samucchritya  YS182v_4.17a
sarve te rikthabhÃgina÷  YS182v_2.9d
sarve«Ãm antyajÃtÅnÃæ  YS182v_5.1c
sarvesv eva vivÃde«u  YS182v_5.24a
savarïaÓ ca savarïÃyÃm  YS182v_4.46a
savÃsÃ jalam ÃviÓet  YS182v_3.26d
sa vipro v­«alÅpati÷  YS182v_3.19d
sa vai mÃhi«aka÷ sm­ta÷  YS182v_3.17d
sa vai vÃrdhu«iko j¤eyo  YS182v_3.23c
saÓabdaæ seÇgitaæ tathÃ  YS182v_3.33b
saædhyayor ubhayor vÃ 'pi  YS182v_3.70c
saædhyÃhÅnÃ vratabhra«ÂÃ÷  YS182v_4.56a
saædhyÃhÅno hi bhrÆïahÃ  YS182v_4.52b
saædhyÃhÅno hi yo vipra÷  YS182v_4.51c
saædhyopÃsanam eva ca  YS182v_4.51b
saæsargÅ pa¤camo j¤eyas  YS182v_4.23a
saæs­«ÂÃ hi bhavanti ca  YS182v_5.14b
saæsp­Óet tu yadÃ kaÓcit  YS182v_3.8c
sÃk«iïa÷ pÆrvavÃdina÷  YS182v_5.25d
sÃk«i«Æbhayata÷ satsu  YS182v_5.25c
sÃ caiva vyabhicÃriïÅ  YS182v_3.17b
sÃyaæ caiva tu vai«ïavÅm  YS182v_4.50d
surÃyÃ÷ saæprapÃnena  YS182v_2.3a
sÆtakaæ tu praÓasyate  YS182v_3.55d
sÆtakena na lipyeta  YS182v_4.21a
sÆtakena na lipyeta  YS182v_4.21c
sÆtake m­take caiva  YS182v_4.18a
sÆtake vartamÃne 'pi  YS182v_3.55a
sevakÃÓ cÃpi viprÃïÃæ  YS182v_4.61a
striyÃ vÃ puru«asya vÃ  YS182v_4.2d
striyo vyÃdhita eva ca  YS182v_3.3d
strÅïÃæ caiva na saæÓaya÷  YS182v_4.36b
strÅïÃæ rajasvalÃnÃæ ca  YS182v_3.64a
strÅ vinaÓyati garve[bhe]ïa  YS182v_4.60c
strÅsaæparkÃdikaæ sarvaæ  YS182v_5.2a
snÃnahÅnas tathaiva ca  YS182v_4.51d
snÃnahÅno malÃÓÅ syÃt  YS182v_4.52a
snÃnaæ devÃrcanaæ dÃnaæ  YS182v_3.51c
snÃpayed agnisaænidhau  YS182v_3.69d
snehena ca tathÃ 'para÷  YS182v_5.17d
sparÓaÓ caiva bhaved yadi  YS182v_3.64b
sp­«Âaæ tena pramÃdÃc ca  YS182v_3.45c
sp­«ÂvÃ rajasvalÃ 'nyonyaæ  YS182v_3.65a
sp­«ÂvÃ rajasvalÃ 'nyonyaæ  YS182v_3.66a
sp­«ÂvÃ rajasvalÃ 'nyonyaæ  YS182v_3.67a
sp­«ÂvÃ rajasvalÃ 'nyonyaæ  YS182v_3.68a
svarïasteyÅ gurudruha÷  YS182v_4.22d
svasÃraæ duhitÃæ tathÃ  YS182v_3.7b
svÃmitulyaæ bhavet tasya  YS182v_3.55c
havanaæ ca praïaÓyati  YS182v_3.51d
havanaæ ca prayatnena  YS182v_4.38a
havirguïÃ na vaktavyÃ÷  YS182v_3.28a
havyakavye niyoktavya  YS182v_3.39c
havyakavye«v amantrita÷  YS182v_3.29b
hasangrÃsaæ ca yo bhuÇkte  YS182v_3.33a
hasteÓv ÃsanadÃne ca  YS182v_3.30c
hiraïyaæ lobhalipsayÃ  YS182v_4.60b
haituka÷ ÓÆdrayÃjÅ ca  YS182v_3.35c
