Haribhadrasuri: Sastravartasamuccaya, 
Based on the ed. by K. K. Dixit,
Ahmedabad : Lalbhai Dalpatbhai Bharatiya 1969
(L. D. Series, 22)


Input by Yasunori Harada



PADA INDEX



The text has a number of metrical irregularities.
Pada boundaries frequently cut through compounds, and sometimes through words.



REFERENCE SYSTEM:
The reference includes the stabaka and section nos. 
of K.K. Dixit's Vi«ayasÆcÅ [bracketed]:

HSvs_[n.n]nnn = [stabaka.section]verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarmakaæ tathÃ caitat  HSvs_[5.1]393c
upÃdÃnÃviÓe«eïa  HSvs_[11.1]656c
upÃdeyaviÓe«asya  HSvs_[9.1]568a
upÃdeyaÓ ca saæsÃre  HSvs_[1.1]11a
upÃdhi÷ sphaÂikaæ yathÃ  HSvs_[3.2]221d
upÃyÃbhÃvata÷ kiæ vÃ  HSvs_[9.1]553c
upÃyo mok«atattvasya  HSvs_[9.1]556c
ubhayor grahaïÃbhÃve  HSvs_[4.6]331a
Æ«arÃdidharÃbhedam  HSvs_[2.2]183c
­te tatpariïÃmitÃm  HSvs_[7.1]533b
­tvigbhir mantrasaæskÃrair  HSvs_[10.1]587a
ekakÃlagrahe tu syÃt  HSvs_[4.7]369a
ekatra niÓcayo 'nyatra  HSvs_[4.2]262a
ekatraivaikadÃ naitad  HSvs_[7.1]480c
ekatraivaikadaivaitad  HSvs_[7.1]490a
ekadaikatra kiæ na tat  HSvs_[7.1]489d
ekadaikatra tat katham  HSvs_[7.1]481d
ekapramÃtrabhÃvÃc ca  HSvs_[11.1]653c
ekabhÃvÃc ca vastuna÷  HSvs_[7.1]495b
ekam arthadvayaæ tathÃ  HSvs_[4.6]332d
ekam arthaæ vijÃnÃti  HSvs_[4.6]332a
ekarÆpo 'pi tattvata÷  HSvs_[4.4]319d
ekas tathÃparo neti  HSvs_[1.2]61a
ekasyÃ÷ so 'pi bÃdhyate  HSvs_[4.4]314d
ekasvabhÃvam ekaæ yat  HSvs_[4.4]307c
ekaæ cobhayasiddhita÷  HSvs_[7.1]513b
ekÃntenaikarÆpÃyÃ  HSvs_[3.2]228a
ekÃntaikasvabhÃve ca  HSvs_[5.2]405c
ekÃntaikye na nÃnÃ yan  HSvs_[7.1]534a
ekenÃpi tathÃgrahÃt  HSvs_[4.6]333b
ekaikenaiva vedanÃt  HSvs_[4.7]372b
eta evoditÃ buddhai÷  HSvs_[1.1]5b
etac ca noktavad yuktyÃ  HSvs_[4.3]302a
etat tad eva na bhavaty  HSvs_[6.3]446c
etad atra nidarÓitam  HSvs_[1.4]94d
etad anyair apÅ«yate  HSvs_[11.2]690b
etad apy asad eveti  HSvs_[6.4]454a
etad apy asama¤jasam  HSvs_[4.7]371d
etad apy uktimÃtraæ yad  HSvs_[2.1]145a
etad apy uktimÃtraæ yan  HSvs_[4.1]247a
etad ÃsthÃniv­ttaye  HSvs_[6.5]464b
etad dvayÃgrahe yuktaæ  HSvs_[7.1]537c
etad balÃt tata÷ siddhaæ  HSvs_[7.1]542c
etÃ vÃrtÃ upaÓrutya  HSvs_[11.4]698a
etena sarvam eveti  HSvs_[7.1]501a
etenÃhetukatve 'pi hy  HSvs_[4.2]271a
etenaitat pratik«iptaæ  HSvs_[4.2]269a
etenaitat pratik«iptaæ  HSvs_[4.3]296a
etenaitat pratik«iptaæ  HSvs_[7.1]519a
ete«u satataæ yatna÷  HSvs_[1.1]5c
evam Ãhur ahetutvaæ  HSvs_[6.1]432c
evam i«ÂakriyÃjanyaæ  HSvs_[1.4]101c
evaæ guïagaïopeto  HSvs_[1.1]10a
evaæ ca k­tvÃ sÃdhv etat  HSvs_[10.1]603c
evaæ ca na virodho 'sti  HSvs_[4.7]371a
evaæ ca vastunas tattvaæ  HSvs_[11.1]671a
evaæ ca vyartham eveha  HSvs_[6.1]424a
evaæ ca ÓÆnyavÃdo 'pi  HSvs_[6.6]476a
evaæ cÃgrahaïÃd eva  HSvs_[5.1]385a
evaæ ced ucyate na yat  HSvs_[5.1]382b
evaæ caitanyavÃn ÃtmÃ  HSvs_[1.2]78a
evaæ tajjanyabhÃvatve 'py  HSvs_[4.6]356a
evaæ tatphalabhÃve 'pi  HSvs_[2.1]160a
evaæ tatra na yujyate  HSvs_[10.1]597b
evaæ tatrÃpi tadbhÃve  HSvs_[10.2]635a
evaæ na yat tadÃtmÃnam  HSvs_[5.1]396a
evaæ nyÃyÃviruddhe 'smin  HSvs_[7.1]510a
evaæ prak­tivÃdo 'pi  HSvs_[3.2]237a
evaæbhÆtÃrthakalpanÃ  HSvs_[10.1]619d
evaæ yuktyÃ na gamyate  HSvs_[6.4]462b
evaæ vedavihitÃpi  HSvs_[2.1]157a
evaæ vyÃv­ttibhede 'pi  HSvs_[4.4]321a
evaæ ÓaktyÃdipak«o 'yaæ  HSvs_[1.4]105a
evaæ sati ghaÂÃdÅnÃæ  HSvs_[1.2]52a
evaæ subuddhiÓÆnyatvaæ  HSvs_[2.1]129a
evaæ hy ubhayado«Ãdi-  HSvs_[7.1]518a
evÃsatkÃryavÃdina÷  HSvs_[4.1]247d
e«a do«o 'nivÃrita÷  HSvs_[2.1]150d
e«a sthÃïur ayaæ mÃrga  HSvs_[10.1]613a
e«Ã bhÃvyÃ vicak«aïai÷  HSvs_[4.6]356b
e«Ãæ ca tatsvabhÃvatve  HSvs_[5.1]378c
aikye sÃ cetaneveti  HSvs_[1.2]34c
aidamparyeïa bhÃvÃrthas  HSvs_[9.1]574c
aiÓvaryaæ caiva dharmaÓ ca  HSvs_[3.1]195c
aughÃt taddhetuvi«ayaæ  HSvs_[4.6]337c
ka etÃæ bÃdhituæ k«ama÷  HSvs_[2.2]174d
-katvam asya kathaæ bhavet  HSvs_[5.1]397d
katha¤cid bhedayogata÷  HSvs_[7.1]535b
katham ittham idaæ nanu  HSvs_[10.1]618d
katham itthaæ svabhÃvata÷  HSvs_[2.1]126d
kathaæ tatropapadyate  HSvs_[10.1]591d
kathaæ te 'yuktabhÃ«iïa÷  HSvs_[3.1]208d
kathaæ bandha÷ ÓubhÃÓubha÷  HSvs_[3.2]225d
kathaæ muktasya saæbhava÷  HSvs_[7.1]502b
kathaæ yuktyopapadyate  HSvs_[5.1]381b
kathaæ rÆpasya sÃdhaka÷  HSvs_[4.4]318d
kathaæ sadbhÃvam aÓnute  HSvs_[1.2]50b
kathaæ samavasÅyate ?  HSvs_[2.1]116d
kathitaj¤a÷ punar dhÅmÃæs  HSvs_[10.2]642c
kadÃcit kaÓcid eva hi  HSvs_[9.1]559d
kadÃcid api tattvata÷  HSvs_[6.4]458d
kadÃcid api yukto yad  HSvs_[4.6]334c
kadÃcid upalabdhita÷  HSvs_[5.1]380d
kapÃlÃdigate÷ kvacit  HSvs_[4.2]265b
kapiloktatvataÓ caiva  HSvs_[3.2]237c
karoti dÃham ity evaæ  HSvs_[2.1]127c
kartavyo dharmasaæcaya÷  HSvs_[1.1]3d
kartÃ kaiÓcid ihe«yate  HSvs_[3.1]194b
kartÃyam iti tadvÃkye  HSvs_[3.1]206a
kartÃ syÃd guïabhÃvata÷  HSvs_[3.1]204d
kartur asmaraïÃdÅnÃæ  HSvs_[10.1]620c
kartur vinÃnyasaæbandhaæ  HSvs_[1.4]97c
kart­tvaæ gÅyate katham ?  HSvs_[3.1]199d
kart­tvaæ yujyate katham ?  HSvs_[3.1]197d
kart­bhokt­svabhÃvatva-  HSvs_[6.2]442c
kart­vÃdo vyavasthita÷  HSvs_[3.1]207d
kartrabhÃvÃt tathÃ deÓa-  HSvs_[1.2]59a
karpÃse raktatÃ yathÃ  HSvs_[4.1]246d
karmak«aya÷ satÃæ yasmÃd  HSvs_[2.1]154c
karmak«ayÃsthitau ca syÃn  HSvs_[2.1]153c
karmagranthiæ sudÃruïam  HSvs_[9.1]559b
karmaïi prerayaty ÃÓu  HSvs_[3.1]198c
karmaïo 'nye pracak«ate  HSvs_[2.2]193b
karmaïo bhautikatvena  HSvs_[1.4]95a
karmaïo 'hetutÃnyathÃ  HSvs_[2.2]180b
karmaprak­tim eva ca  HSvs_[3.2]232d
karmabÅje tathÃ dagdhe  HSvs_[11.3]693c
karmÃdipariïatyÃdi-  HSvs_[9.1]554a
karmÃdes tatsvabhÃvatve  HSvs_[3.1]202a
kalu«atvam ivÃpannaæ  HSvs_[8.1]545c
kalpanÃ yujyate yuktyÃ  HSvs_[4.6]350c
kalpanÃsampad apy alam  HSvs_[4.3]292b
kalpitaÓ ced ayaæ dharma-  HSvs_[4.3]287a
kalpyate sÃpy anarthikÃ  HSvs_[4.4]303d
kalpyamÃnaæ na du«yati  HSvs_[3.1]205d
kalpyamÃnaæ virÃjate  HSvs_[4.3]278d
kaÓcid apy upapadyate  HSvs_[7.1]529d
kaÓcid hetus tayo÷ k«ayeæ  HSvs_[1.1]25b
ka«Âe 'py upakrame dhÅra÷  HSvs_[9.1]570c
kasyacit sarva eveti  HSvs_[10.1]593c
kasyacid yÃ niyogata÷  HSvs_[4.3]297b
kasyacin nopapadyate  HSvs_[2.2]189d
ka÷ svabhÃvÃgamÃvante  HSvs_[2.1]123c
kÃÂhinatvÃdayo yathÃ  HSvs_[1.2]32d
kÃÂhinyÃbodharÆpÃïi  HSvs_[1.2]43a
kÃdÃcitkamado yasmÃd  HSvs_[4.2]253a
kÃmacÃraparÃÇmukhÃ÷  HSvs_[2.2]170d
kÃmÅva vinitÃntare  HSvs_[9.1]567d
kÃraïatvÃt sa santÃna-  HSvs_[6.1]426a
kÃraïasya na yuktita÷  HSvs_[4.3]278b
kÃraïÃt kÃryabhÃvata÷  HSvs_[4.3]298d
kÃraïÃnantaraæ kÃryaæ  HSvs_[4.3]291c
kÃraïÃÓrayaïo 'py evaæ  HSvs_[4.3]282c
kÃryakÃraïatÃ tasmÃt  HSvs_[4.6]344c
kÃryajÃtaæ vipaÓcita÷  HSvs_[3.2]211d
kÃryabheda÷ pragÅyate  HSvs_[4.4]314b
kÃryabhedo na vidyate  HSvs_[1.2]57d
kÃryamÃtram idaæ jagat  HSvs_[1.2]30b
kÃryametad v­thoditam  HSvs_[6.1]422d
kÃryaæ kÃryÃntaraæ yathÃ  HSvs_[4.6]358b
kÃryÃbhÃvÃdito 'pare  HSvs_[6.1]434d
kÃlabhedÃdyayogata÷  HSvs_[1.2]59b
kÃlavÃdaparigrahÃt  HSvs_[2.2]188d
kÃla÷ pacati bhÆtÃni  HSvs_[2.2]166a
kÃla÷ saæharati prajÃ÷  HSvs_[2.2]166b
kÃla÷ supte«u jÃgartti  HSvs_[2.2]166c
kÃlÃdibhedato vastva-  HSvs_[7.1]533c
kÃlÃdÅnÃæ ca kart­tvaæ  HSvs_[2.2]164a
kÃlÃntare tathÃnitye  HSvs_[4.1]242c
kÃlÃbhÃve ca garbhÃdi  HSvs_[2.2]168a
kÃlÃbhÃve na saÇgatam  HSvs_[1.2]39b
kÃlo 'pi samayÃdir yat  HSvs_[2.2]189a
kÃlo hi duratikrama÷  HSvs_[2.2]166d
kÃæÓcit svargÃdisÃdhane  HSvs_[3.1]198b
ki¤ca kÃlÃd­te naiva  HSvs_[2.2]167a
ki¤ca tat kÃraïaæ kÃrya-  HSvs_[4.3]283a
ki¤ca nirhetuke nÃÓe  HSvs_[6.1]425a
ki¤canyÃt k«aïikatve va  HSvs_[4.7]360a
ki¤ca syÃdvÃdino naiva  HSvs_[7.1]483a
ki¤cit tatrÃpi vak«yate  HSvs_[4.7]374d
ki¤cid atrÃpi vidyate  HSvs_[10.1]606d
ki¤cin naÓyati naikÃntÃd  HSvs_[1.2]75c
ki¤cin nivartate 'vaÓyaæ  HSvs_[7.1]525a
kintu dharmo dvidhÃ mata÷  HSvs_[1.1]20b
kintu sarvaæ yathÃÓrutam  HSvs_[10.2]639b
kim arthaæ kalpyate nara÷  HSvs_[10.1]585d
kim itthaæ tattvasÃdhanam  HSvs_[6.6]470b
kilaitad avasÅyate  HSvs_[2.1]131d
kiæ ca vij¤ÃnÃmÃtratve  HSvs_[5.2]403a
kiæ tadbhÃve 'pi tulyatÃ  HSvs_[1.2]68b
kiæ tv ayaæ yujyate kveti  HSvs_[1.2]64c
kiæ tv asat sad bhavaty evam  HSvs_[4.3]301c
kiæ na bandhaphala÷ sa yat  HSvs_[1.1]22b
kiæ naivaæ ced na yat tathÃ  HSvs_[1.1]22d
-kÅkaraïena bhedata÷  HSvs_[11.1]653b
kÅrtitaæ dharmakÅrtinÃ  HSvs_[10.1]603d
kuta etad vicintyatÃm  HSvs_[10.1]598d
kutaÓcid anivarttanÃt  HSvs_[2.1]148b
kutas tatra vikalpanam  HSvs_[7.1]515d
kutas tasyaikarÆpatÃ  HSvs_[4.4]308d
kuta÷ svak­tavedanam  HSvs_[4.5]324b
kuto bodhÃnvayas tata÷  HSvs_[4.6]348d
kuto 'yam iti nÃpare  HSvs_[2.1]113d
kutsitÃcaraïÃspadam  HSvs_[1.1]12d
kumÃryÃ÷ svapnavajj¤eyÃ  HSvs_[6.6]469c
kuvÃdiyuktyapavyÃkhyÃ-  HSvs_[1.1]29c
k­tak­tyatvabÃdhanam  HSvs_[3.1]202d
k­tak­tyasya vidyate  HSvs_[3.1]201b
k­tvÃ prakaraïam etad yad avÃptaæ ki¤cid iha mayÃ kuÓalam  HSvs_[11.4]700/a
k­pÃyatanam anye«Ãæ  HSvs_[11.2]679c
kena mÃnena gamyate  HSvs_[2.1]130d
kena muktir vicintyatÃm  HSvs_[5.2]408d
kevalaj¤ÃnabhÃve ca  HSvs_[11.2]677a
kevalaæ gamyate kvacit  HSvs_[7.1]512d
kevalaæ dhyÃndhyasÆcakam  HSvs_[4.6]359d
kevalaæ labhate kramÃt  HSvs_[9.1]572d
kevalaæ so 'pi kÃraïam  HSvs_[2.2]189b
kevalÃnÃæ tadanye tu  HSvs_[2.2]164c
kevalo 'sti yatas tena  HSvs_[7.1]515c
ko 'yaæ k«aïikatÃgraha÷  HSvs_[4.7]362d
kramÃkramavibhÃvinÅ  HSvs_[6.4]463d
kramÃkramavirodhata÷  HSvs_[6.6]468b
kriyate yad vicak«aïai÷  HSvs_[6.1]424d
kriyayÃvato 'pi yatnena  HSvs_[11.2]677c
kriyayÃ vyajyate param  HSvs_[1.4]99b
kriyÃtiÓayajaiva hi  HSvs_[11.2]689b
kriyÃtiÓayayogÃc ca  HSvs_[11.2]681a
kriyÃntaranibandhanam  HSvs_[1.4]101b
kriyÃvaiphalyam eva ca  HSvs_[2.2]176d
kriyÃhÅnÃÓ ca yal loke  HSvs_[11.2]679a
kriyaiva phaladÃ puæsÃæ  HSvs_[11.2]678a
kriyopetÃÓ ca tadyogÃd  HSvs_[11.2]680a
krodhÃdayaÓ ca catvÃra  HSvs_[1.1]4c
kli«ÂatÃ tasya yadvaÓÃt  HSvs_[5.2]406b
kli«Âasattvavicintitam  HSvs_[1.5]112b
kli«Âaæ mano 'sti yan nityaæ  HSvs_[1.4]88c
kli«Âaæ vij¤Ãnam evÃsau  HSvs_[5.2]406a
kli«Âaæ hiæsÃdyanu«ÂhÃnaæ  HSvs_[2.1]162a
kli«ÂÃd hiæsÃdyanu«ÂhÃnÃt  HSvs_[2.1]121a
kleÓakarmanibandhanam  HSvs_[4.1]238b
kleÓavargasamudbhavÃ÷  HSvs_[1.1]13b
kleÓÃya kevalaæ puæsÃm  HSvs_[9.1]563c
kleÓÃyÃsaparÃyaïÃ÷  HSvs_[11.2]675d
kvacit ki¤cid apÅk«yate  HSvs_[2.2]192b
kvacit tathopalambhe 'pi  HSvs_[2.1]136c
kvacidÃsthÃ vivekinÃm  HSvs_[1.1]15d
k«aïak«ayaprasÃdhanam  HSvs_[6.4]451b
k«aïak«ayi mahÃpraj¤Ã  HSvs_[4.1]238c
k«aïabhede na tattvata÷  HSvs_[4.7]373d
k«aïasthitisvabhÃvatvaæ  HSvs_[7.1]492c
k«aïasthitau tadaivÃsya  HSvs_[4.2]251a
k«aïikatvaprasÃdhakam  HSvs_[6.1]414b
k«aïikatvaprasÃdhanam  HSvs_[4.7]374b
k«aïikatvaprasÃdhane  HSvs_[6.3]444b
k«aïikatvaæ kathaæ nanu  HSvs_[6.4]459d
k«aïikatvÃc ca sarvathÃ  HSvs_[4.6]346d
k«aïikatve yato 'mÅ«Ãæ  HSvs_[4.7]368a
k«aïikaæ sarvam eveti  HSvs_[6.5]464c
k«aïikÃ÷ sarvasaæskÃrÃ  HSvs_[11.1]670a
k«aïike yac ca gÅyate  HSvs_[6.2]437b
k«aya÷ kena prasÃdhyate  HSvs_[1.1]24b
k«ayo 'd­«Âo 'numÅyate  HSvs_[6.4]453b
k«ÅïasaÇgÃ mahÃtmÃnas  HSvs_[11.3]697c
k«ÅranÃÓaÓ ca dadhy eva  HSvs_[6.3]448a
khÃdet ÓvamÃæsam ity e«a  HSvs_[10.1]605c
khÃdyakÃni tatheti cet  HSvs_[1.2]56d
gatis tantrÃntare«v api  HSvs_[1.1]23d
gatyupÃyÃbhidhÃnata÷  HSvs_[10.2]643b
gamakatvam athocyate  HSvs_[1.3]80d
gamyate nÃnyata÷ kvacit  HSvs_[2.1]134d
gamyate hy ubhayÃtmakam  HSvs_[7.1]517b
garbhabÃlaÓubhÃdikam  HSvs_[2.2]165b
garbhabÃlaÓubhÃdikam  HSvs_[2.2]169b
garbhÃde÷ kÃryajÃtasya  HSvs_[2.2]191c
gÅtaæ cetthaæ na do«ak­t  HSvs_[9.1]579d
gÅyate jÃtivÃdata÷  HSvs_[5.1]390b
guïado«Ãvivekata÷  HSvs_[2.1]119b
guïyenÃpi prav­ttita÷  HSvs_[7.1]539d
gurvÅ me tanur ity Ãdau  HSvs_[1.3]83a
g­hÅtagrahaïÃd evaæ  HSvs_[4.7]369c
g­hÅtaæ tattvatas tu tat  HSvs_[4.2]260b
g­hÅtaæ sarvam etena  HSvs_[4.2]261a
g­hyate 'ta idaæ nÃto  HSvs_[4.6]345c
g­hyate tadgatis tena  HSvs_[4.2]259c
gauravÃpÃdanÃrthaæ ca  HSvs_[10.1]622e
grahaïaæ nopapadyate  HSvs_[5.1]384d
grahaïe 'pi yadÃ j¤Ãnam  HSvs_[6.4]459a
grÃvÃdÅnÃæ vicitratÃ  HSvs_[1.2]62b
grÃhakaæ sadbhir i«yate  HSvs_[4.2]264d
grÃhakÃbhÃvato bhuvi  HSvs_[5.1]391b
grÃhakaikÃntabhÃvaæ tu  HSvs_[5.1]391c
grÃhyagrÃhakalak«aïÃ  HSvs_[5.2]409b
grÃhyÃdibhÃvadvÃreïa  HSvs_[5.1]390c
grÃhyÃbhÃvÃd asaægatam  HSvs_[5.1]391d
ghaÂate tadviniÓcaya÷  HSvs_[4.6]347b
ghaÂate nabhaso yathÃ  HSvs_[3.2]236b
ghaÂate nÃpapattita÷  HSvs_[1.4]105b
ghaÂate sÆpapattita÷  HSvs_[10.1]614b
ghaÂamaulisuvarïÃrthÅ  HSvs_[7.1]478a
ghaÂÃdij¤Ãnam ity Ãdi-  HSvs_[5.1]387a
ghaÂÃdau d­Óyate yathÃ  HSvs_[1.2]45b
ghaÂÃdyapi kulÃlÃdi-  HSvs_[3.2]218a
ghaÂÃdy api p­thivyÃdi-  HSvs_[3.2]213a
ghaÂÃæ prÃ¤cati jÃtucid  HSvs_[7.1]480d
cakre kila b­haspati÷  HSvs_[1.5]111b
candrasÆryoparÃgÃdes  HSvs_[2.1]115a
cÃritrapariïÃmasya  HSvs_[9.1]577a
cittam eva hi saæsÃro  HSvs_[5.2]404a
citrakarmavipÃkata÷  HSvs_[1.2]40d
citrabhÃvaæ yato matam  HSvs_[1.4]95d
citraæ bhogyaæ tathÃ citrÃt  HSvs_[2.2]180a
cintÃmaïisvarÆpaj¤o  HSvs_[11.2]687a
cintyatÃæ yadi sannyÃyÃd  HSvs_[4.3]281c
cintyatÃæ svayam eva tu  HSvs_[4.6]347d
cetanÃ tu na tadrÆpÃ  HSvs_[1.2]43c
cetanÃpÅti cen mati÷  HSvs_[1.2]45d
cetanÃsti ca yasyeyaæ  HSvs_[1.2]31c
caitanyotpattir eva cet  HSvs_[1.2]70d
codanÃto 'pi sarvathÃ  HSvs_[2.1]160b
chadmasthasyÃvisaævÃdi  HSvs_[2.1]135c
chadmasthasyopajÃyate  HSvs_[2.1]118d
chadmasthasyopajÃyate  HSvs_[10.1]596d
chabdÃnÃæ citraÓaktita÷  HSvs_[11.1]664b
chabdÃrtho 'tretyayuktimat  HSvs_[6.2]443d
chinnamÆlatvayogata÷  HSvs_[10.1]599b
chÆnyatÃny asya vastuna÷  HSvs_[6.6]473b
jagaty abhrÃntatÃgati÷  HSvs_[7.1]487d
jaÂÅ muï¬Å ÓikhÅ vÃpi  HSvs_[3.2]230c
janakatvasya mÃnata÷  HSvs_[6.1]435b
janakatvÃviÓe«ata÷  HSvs_[6.1]428d
janakatvena buddhyÃde÷  HSvs_[4.4]303c
janakasyÃpi sarvathÃ  HSvs_[6.1]432d
janako hiæsako na tat  HSvs_[6.1]428b
janayaty eva saty evam  HSvs_[5.1]379c
jano yÃti sahetukam  HSvs_[7.1]478d
janmam­tyujarÃvyÃdhi-  HSvs_[9.1]563a
janmÃdikleÓavarjita÷  HSvs_[9.1]564b
janmÃdirahitÃ yat tat  HSvs_[2.1]151c
janmÃnantaranÃÓata÷  HSvs_[6.2]439b
janmÃbhÃve jarÃm­tyor  HSvs_[11.3]694a
janmÃyogÃdido«Ãc ca  HSvs_[6.1]433c
janyabhÃvaæ tathÃparam  HSvs_[4.6]330b
janyÃc ca jananaæ tathÃ  HSvs_[4.6]355d
jÃtibhinne vyavasthitÃ÷  HSvs_[7.1]524d
jÃtiyuktyanusÃribhi÷  HSvs_[7.1]519d
jÃtismaraïasaæÓrayÃt  HSvs_[1.2]40b
jÃtyantarÃtmakaæ cainaæ  HSvs_[7.1]524a
jÃtyantarÃtmakaæ vastu  HSvs_[7.1]531c
jÃtyantarÃtmake cÃsmin  HSvs_[7.1]514a
jÃyate tatra ki¤cana  HSvs_[4.4]310b
jÃyate dve«aÓamana÷  HSvs_[1.1]2c
jÃyate nÃnyata÷ kvacit  HSvs_[2.1]151b
jÃyate niyamo mÃnÃt  HSvs_[2.1]113c
jÃyate phalacodanÃt  HSvs_[2.1]160d
jÅvÃjÅvÃtmakaæ jagat  HSvs_[7.1]477b
jaiminyÃder na tulyaæ kiæ  HSvs_[10.1]612c
j¤Ãtur visaævÃdÃÓaÇkÃ  HSvs_[10.2]636c
j¤Ãtuæ so 'tiÓayo yadi  HSvs_[10.2]627d
j¤ÃnakÃraïakÃraïa÷  HSvs_[4.6]338b
j¤ÃnabhÃvÃc ca sÃmpratam  HSvs_[10.2]635d
j¤Ãnam apratighaæ yasya  HSvs_[3.1]195a
j¤ÃnamÃtraæ ca yal loke  HSvs_[4.1]240a
j¤ÃnamÃtraæ tathÃpare  HSvs_[4.1]238d
j¤ÃnamÃtre tu vij¤Ãnaæ  HSvs_[5.1]388a
j¤Ãnam evÃnubhÆyate  HSvs_[4.1]240b
j¤Ãnam evety ado bhavet  HSvs_[5.1]388b
j¤Ãnayogaphalaæ ca sa÷  HSvs_[2.1]156b
j¤Ãnayogas tapa÷ Óuddham  HSvs_[1.1]21a
j¤Ãnayogas tapa÷ Óuddham  HSvs_[9.1]574a
j¤Ãnayogasya yogÅndrai÷  HSvs_[9.1]575a
j¤ÃnayogÃt k«ayaæ k­tvÃ  HSvs_[9.1]573c
j¤ÃnayogÃd ato muktir  HSvs_[9.1]579a
j¤ÃnavantaÓ ca tadvÅryÃt  HSvs_[11.2]676a
j¤ÃnavÃde 'py asau sama÷  HSvs_[5.1]390d
j¤Ãnasya samanantara÷  HSvs_[4.6]339b
j¤Ãnasyeva surÃdinÃ  HSvs_[3.2]236d
j¤ÃnahÅnÃÓ ca yal loke  HSvs_[11.2]675a
j¤Ãnaæ tadgrÃhi bhÃvyatÃm  HSvs_[4.6]340d
j¤Ãnaæ yatrodapÃdi pratihatabhuvanÃlokavandhyatvahetu  HSvs_[11.4]701b
j¤Ãnaæ hi phaladaæ puæsÃæ  HSvs_[11.2]674a
j¤ÃnÃt samyag vibhÃvyate  HSvs_[4.2]263d
j¤ÃnÃd eva niyogena  HSvs_[11.2]673a
j¤ÃnÃntare 'pi sad­Óaæ  HSvs_[5.1]389c
j¤Ãnena g­hyate cÃrtho  HSvs_[6.4]458a
j¤Ãyate tadviÓe«as tu  HSvs_[11.1]662a
j¤eyatvavat svabhÃvo 'pi  HSvs_[4.2]258a
j¤eyabhÃvÃd ghaÂÃdivat  HSvs_[10.1]593b
j¤eyaæ pÃpaughakÃraïam  HSvs_[1.5]110b
j¤eyaæ sad j¤Ãyate hy etad  HSvs_[4.2]267c
jyÃyo vi«ayakalpanam  HSvs_[10.1]625b
ta Ãhur mukuÂotpÃdo  HSvs_[7.1]485a
ta Ãhu÷ k«aïikaæ sarvaæ  HSvs_[4.1]239a
tac ca tanmÃtram eva hi  HSvs_[8.1]543d
tac ca tanmÃtram eveti  HSvs_[8.1]546c
tac ca d­«ÂÃdyabÃdhitam  HSvs_[2.1]114b
tac ca na bhavatÅti ca  HSvs_[6.3]447b
tac cÃstu lokaÓÃstroktaæ  HSvs_[2.1]149a
tacchabdÃnupalabdhita÷  HSvs_[10.1]614d
tacchabdÃrthopapattita÷  HSvs_[4.7]368d
tacchabdo 'rthaprakÃÓaka÷  HSvs_[10.1]606b
tacchi«ÂÃvyabhicÃrata÷  HSvs_[1.2]42b
tajj¤Ãnaæ yan na vai dhÆma-  HSvs_[4.6]339a
tajj¤ÃnÃd api tadgati÷  HSvs_[4.6]338d
tajj¤ÃnÃd api tadgati÷  HSvs_[4.6]339d
tata etÃvatÃsattvaæ  HSvs_[5.1]383c
tata eva videÓasthÃt  HSvs_[4.3]295c
tata eva hy asaæbhÆte÷  HSvs_[2.2]189c
tataÓ ca du«karaæ tan na  HSvs_[9.1]569a
tataÓ ca sthitamityada÷  HSvs_[2.1]161d
tataÓ cÃnupalabdhyaiva  HSvs_[5.1]377c
tataÓ ceÓvarakart­tva-  HSvs_[3.1]203a
tataÓ caitad vyavasthitam  HSvs_[4.2]275d
tataÓ caitan na bÃdhakam  HSvs_[11.1]665d
tatastatsattvasaæsthiti÷  HSvs_[4.3]277d
tatas tat sÃdhayatv eva  HSvs_[11.2]683c
tatas tasyÃviÓi«ÂatvÃd  HSvs_[2.2]187a
tatas tulyaæ ca tat tayo÷  HSvs_[1.2]61d
tata÷ ka iha do«aÓ cen  HSvs_[7.1]499c
tata÷ kathaæ nu tadbhÃva  HSvs_[4.2]256c
