Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
kurutàü yaj¤arakùaõam  BrP_123.94b
kurutàü ÷raddhayànvitau  BrP_99.9d
kurutàü snànam àdaràt  BrP_122.89d
kuru tãrthaü su÷obhanam  BrP_56.72d
kurute mama yàtanàm  BrP_182.15b
kuru tvaü nçpasattama  BrP_51.23d
kurudhvaü mama sàhàyyaü  BrP_178.45a
kuru patnãü gireþ sutàm  BrP_71.40b
kuru puõyaü mahàphalam  BrP_129.63d
kuru putra nijaü karma  BrP_86.41a
kuru prasannàrtihara  BrP_32.28c
kuru prasàdam eteùàü  BrP_36.44a
kuru bhadre mamàj¤ayà  BrP_147.6d
kuru madvacanaü putra  BrP_229.29a
kuru vipra ÷ivàlayam  BrP_56.72b
kuru ÷ãghraü ÷ivàlayam  BrP_56.68b
kuru ÷ailamayãü bhuvi  BrP_176.5d
kuruùva ca jagaddhitam  BrP_124.118d
kuruùva càstràõi bahåni sadyaþ  BrP_110.51d
kuruùva cety àhur adãnasattvaü  BrP_110.46a
kuruùva pratimà iti  BrP_50.43b
kuruùva mama gopate  BrP_32.26b
kuruùva vàkyaü madudãritaü yat  BrP_144.18d
kuruùva ÷ãghraü padam aindram atra  BrP_140.13b
kuruùva surapåjita  BrP_146.40f
kuruùv àste sanàtanaþ  BrP_18.58b
kuruùveti ca coditaþ  BrP_219.62d
kuru sundari mà ciram  BrP_86.34b
kuru sthairyam ato 'rjuna  BrP_212.56d
kuruþ kanakhala÷ caiva  BrP_70.39c
kuruþ saüvaraõàt tathà  BrP_13.106b
kurån athottaràn gatvà  BrP_6.17c
kurån athottaràüs tataþ  BrP_32.57d
kuråpà vikçtasvarà  BrP_121.2d
kuråpo bhogavarjitaþ  BrP_107.36d
kuråpo råpasaüpattim  BrP_81.21c
kuro÷ ca putrà÷ catvàraþ  BrP_13.108a
kuroþ putrasya ràjendra-  BrP_12.10a
kurmas tad eva prathamaü  BrP_106.20c
kurmas tasmin varàn bahån  BrP_96.15d
kurmo vàkyaü tvayoditam  BrP_94.36b
kuryàc càgniparigraham  BrP_222.3d
kuryàc chreyaþ svam àtmavàn  BrP_221.11b
kuryàt karma svabhàvataþ  BrP_173.21b
kuryàt paricayaü yoge  BrP_236.59c
kuryàt pitéõàü tritayam  BrP_220.72c
kuryàt pitéõàü prãtyarthaü  BrP_168.30c
kuryàt pratigrahàdànaü  BrP_222.4c
kuryàd anugatas tadà  BrP_219.86b
kuryàd avimanàþ ÷reùñhaþ  BrP_223.34c
kuryàd àcamanaü spar÷e  BrP_221.68a
kuryàd udakatarpaõam  BrP_60.61d
kuryàd vipràþ sva÷aktitaþ  BrP_222.29d
kuryàd vyomapradakùiõàm  BrP_29.21b
kuryàn nçharipåjanam  BrP_149.15d
kuryàn màtàmahànàü tu  BrP_220.77a
kuryàn måtrapurãùayoþ  BrP_221.37d
kuryàm aham idaü dhruvam  BrP_86.43b
kuryàm ahaü yena patir mamàdya  BrP_39.42b
kuryur etaü vidhiü samyak  BrP_220.76c
kuryur vighnaü gçhe tasya  BrP_40.126c
kuryus teùàm abhãùñàni  BrP_133.25a
kuryuþ samagràþ ÷ucinaþ  BrP_221.162a
kuryuþ sarve yathocitam  BrP_221.149b
kurvataþ saphalaü janma  BrP_194.5a
kurvatàü ca punaþ punaþ  BrP_158.12d
kurvatàü yàti yaþ kàlo  BrP_194.3c
kurvatã sarvadàbhavat  BrP_144.6d
kurvate saüyatendriyàþ  BrP_216.49b
kurvate 'haraha÷ caiva  BrP_24.21c
kurvato j¤ànam àdhàsye  BrP_111.77a
kurvato mukhadar÷anam  BrP_204.13b
kurvato viùõuprãõanam  BrP_228.14b
kurvatyaþ satataü spçhàm  BrP_230.31b
kurvatyàs tapa uttamam  BrP_89.41b
kurvatyo gurubhartéõàm  BrP_230.29c
kurvatyo 'bhinayàn bahån  BrP_32.101b
kurvatyau girimårdhani  BrP_84.9d
kurvan kçtàrthaü madanaü sa reme  BrP_128.31d
kurvantàü cànuràdhàsu  BrP_220.38a
kurvanti garhitaü karma  BrP_124.63c
kurvanti te sukhaü yànti  BrP_216.59c
kurvanti yamakiükaràþ  BrP_215.81b
kurvanti ÷abdaü madaneritàïgàþ  BrP_36.104b
kurvantu yuddham unmattaiþ  BrP_181.28c
kurvanty aniùñaü kapañais  BrP_159.35a
kurvanty a÷vatthalambhanam  BrP_118.28b
kurvann àste mahãtale  BrP_170.53b
kurvann àste yathà baliþ  BrP_123.3b
kurvann àste sa gautamyàs  BrP_148.5a
kurvann idam udairayat  BrP_184.13d
kurvan pa÷yati mastake  BrP_169.36d
kurvan balavatà saüdhiü  BrP_195.16c
kurvan ràjyam akaõñakam  BrP_44.8d
kurvan ràjyam anuttamam  BrP_44.1b
kurvan ràmo mahàvanam  BrP_123.108b
kurvaül lokasya vismayam  BrP_207.26d
'kurvaüs te paramaü tapaþ  BrP_154.27d
kurvàõas tu trayoda÷ãm  BrP_220.19b
kurvàõaþ sumanàþ sadà  BrP_223.47d
kurvàte sma tadà tena  BrP_86.6a
kurvãta kurvataþ ÷ràddhaü  BrP_220.100a
kurvãta caivam ucchiùñaü  BrP_221.29c
kurvãta niyatàtmavàn  BrP_221.20b
kurvãta satataü viprà  BrP_221.49a
kurvãta samyag àcamya  BrP_221.63a
kurvãtàlambhanaü càpi  BrP_221.68c
kulajà munisattamàþ  BrP_13.102d
kulajàü vàpy arogiõãm  BrP_221.73b
kuladharmam anutiùñhadbhir  BrP_220.3c
kulabhadraü tatas tu saþ  BrP_165.46b
kulalakùaõabhåùitam  BrP_146.2d
kulavadhvà rahaþ kàryaü  BrP_152.9a
kulavàn råpavàn bhavet  BrP_81.1d
kula÷ãlaguõopetàþ  BrP_47.69a
kula÷ãlavivarjitàþ  BrP_231.78d
kulasya niùkçtir vipràþ  BrP_8.11c
kulasyàcyuta lakùaye  BrP_210.32f
kulasyàdhàrabhåto yo  BrP_165.42a
kulaü råpaü vayo vittaü  BrP_165.19c
kulaü ÷aktiü dhiyaü vapuþ  BrP_110.174d
kulaü ÷ãlaü jãvitaü và  BrP_137.4a
kulàd yuùmatkulocitam  BrP_208.18d
kulikà jàïgalaiþ saha  BrP_27.49b
kulitthàn sarùapàü÷ caõàn  BrP_217.62b
kulãnaü satyavàdinam  BrP_121.12d
kulãnaþ sàdhur atyantaü  BrP_111.28a
kulãnà ca pativratà  BrP_110.5d
kulãnàya ya÷asvine  BrP_165.8b
kulãnàyàü ca yoùiti  BrP_167.25d
kulãnàþ kaluùãbhåtàþ  BrP_171.31c
kulãno dharmanirato  BrP_121.11c
kulãno viditapràj¤aþ  BrP_164.23a
kule ka÷cin na sãdati  BrP_220.100b
kule jayati so 'dhame  BrP_225.34d
kuleùu te 'bhijàyante  BrP_225.23a
kule sarvaguõànvite  BrP_62.8b
kulaikaviü÷am uddhçtya  BrP_41.67c
kulaikaviü÷am uddhçtya  BrP_41.92c
kulaikaviü÷am uddhçtya  BrP_51.30c
kulaikaviü÷am uddhçtya  BrP_58.74c
kulaikaviü÷am uddhçtya  BrP_62.6c
kulaikaviü÷am uddhçtya  BrP_63.22c
kulodvegavidhàyinà  BrP_123.43b
kulyàrthe càpi pàõóånàü  BrP_17.8c
kuvalà÷vas tu putràõàü  BrP_7.74a
kuvalà÷vasya putràõàü  BrP_7.57a
kuvalà÷vaü pità ràjye  BrP_7.58c
kuvalà÷vaü sutaü pràdàt  BrP_7.71e
kuvalà÷vaþ sutas tasya  BrP_7.54c
ku÷a ity abhisaüj¤itaþ  BrP_8.87d
ku÷akaõñakavalmãka-  BrP_214.76a
ku÷akaõñakavalmãka-  BrP_214*.76a
ku÷agandhatilonmi÷raü  BrP_219.59c
ku÷agandhayavaiþ puùpair  BrP_219.52a
ku÷ago mandaga÷ coùõaþ  BrP_20.48c
ku÷atarpaõa eva và  BrP_161.74b
ku÷atarpaõade÷e tu  BrP_161.65c
ku÷atarpaõam àkhyàtaü  BrP_161.1a
ku÷atarpaõam àkhyàtaü  BrP_161.63c
ku÷atarpaõam ucyate  BrP_161.64b
ku÷atarpaõam uttamam  BrP_161.77b
ku÷advãpasya vistàràd  BrP_20.47a
ku÷advãpe ku÷astambaþ  BrP_20.45a
ku÷advãpena sarvataþ  BrP_20.35b
ku÷aputrà babhåvur hi  BrP_10.23a
ku÷apravaõam eva ca  BrP_25.81d
ku÷alaü siddhapuruùaü  BrP_228.102a
ku÷alàku÷alaü sadà  BrP_225.46d
ku÷alàku÷alo néõàü  BrP_225.63c
ku÷alàn yaj¤akarmaõi  BrP_47.36d
ku÷alàn sarvakarmasu  BrP_47.30d
ku÷as tasyàtmajo 'bhavat  BrP_10.22d
ku÷asthalãü dvàravatãü  BrP_14.56c
ku÷aü krau¤caü ca ÷àkaü ca  BrP_54.3a
ku÷aþ krau¤cas tathà ÷àkaþ  BrP_18.11c
ku÷àgreõàpi ràjendra  BrP_59.84c
ku÷àn àdàya ke÷avaþ  BrP_219.41b
ku÷àn àdàya pràgagràül  BrP_219.46a
ku÷àn àdàya satvaram  BrP_36.130b
ku÷àn àstãrya bhåtale  BrP_50.2b
ku÷àmbo mårtimàüs tathà  BrP_10.23d
ku÷àvartam iti khyàtaü  BrP_80.2a
ku÷àvartasya màhàtmyam  BrP_80.1a
ku÷ikas tasya càtmajaþ  BrP_13.89b
ku÷ikas tu tapas tepe  BrP_10.24c
ku÷ikas tu tapas tepe  BrP_13.90a
ku÷ikaþ ku÷anàbha÷ ca  BrP_10.23c
ku÷ãlànàryabhåyiùñhà  BrP_231.24a
ku÷åladhanino 'pare  BrP_80.58b
ku÷enàvartayitvà tu  BrP_80.3a
ku÷enàvartitaü yatra  BrP_80.2c
ku÷e÷ayo hari÷ caiva  BrP_20.42a
ku÷eùv eva tu saü÷rayaþ  BrP_219.73d
ku÷air ullikhya tàü punaþ  BrP_219.45b
ku÷ai÷ ca tarpitàþ sarve  BrP_161.64a
ku÷ais taü gàïgavàribhiþ  BrP_169.38d
kuùñhasarvàïga÷ithilaþ  BrP_92.16c
kuùñhaü màüsã vàlakaü ca  BrP_220.165c
kuùñhaü hanyàt tanau sthitam  BrP_58.45b
kuùñhàïgàmayasaüj¤akaiþ  BrP_234.4b
kuùñhã bhåyàs tata÷ candraü  BrP_152.27c
kuùñhã raktekùaõaþ kubjo  BrP_220.129a
kusamoda÷ ca modàkiþ  BrP_20.61a
kusumàni samantataþ  BrP_36.123d
kusumàpàõóumårtayaþ  BrP_36.122b
kusumàyà÷ ca saügamam  BrP_105.23b
kusumai÷ ca jalodbhavaiþ  BrP_42.31d
kusumai÷ ca sugandhibhiþ  BrP_29.34d
kusumbha÷àkaü jambãraü  BrP_220.195c
kusumbhikà upàrathyà  BrP_105.25a
kustumburuü kaliïgotthaü  BrP_220.180a
kuhakàjãvina÷ ca ye  BrP_22.24b
kuharaþ puùpadaüùñra÷ ca  BrP_3.100c
kåjatsàrasamekhalà  BrP_36.81b
kåjadbhir madhurasvaraiþ  BrP_41.46d
kåjadbhir madhurasvaraiþ  BrP_45.14d
kåjadbhi÷ càpy adhiùñhitam  BrP_178.39d
kåjadbhi÷ càrvadhiùñhitaiþ  BrP_42.23d
kåjadbhi÷ càrvadhiùñhitaiþ  BrP_44.66d
kåjadbhiþ krandamànai÷ ca  BrP_214.83a
kåjadbhiþ krandamànai÷ ca  BrP_214*.83a
kåñamudgarapàõayaþ  BrP_214.42d
kåñamudgarapàõayaþ  BrP_214*.42d
kåñasàkùipradàtàraþ  BrP_214.126c
kåñasàkùipradàtàraþ  BrP_214*.126c
kåñasàkùã tathà samyak  BrP_22.7a
kåñasàkùã mçùàvàdã  BrP_214.41c
kåñasàkùã mçùàvàdã  BrP_214*.41c
kåñastham acalaü dhruvam  BrP_49.17d
kåñastham acalaü dhruvam  BrP_55.32d
kåñastham acalaü såkùmaü  BrP_45.66c
kåñasthaü caiva nityaü ca  BrP_240.99c
kåñasthaü yat tad akùaram  BrP_236.35b
kåñàgàranibhà÷ cànye  BrP_232.36a
kåpaü nadyàü pibann iva  BrP_237.10d
kåpaü nàràyaõà÷rayam  BrP_25.53d
kåpaü sindhådbhavaü caiva  BrP_25.65c
kåpàkàraü vçtaü dãptair  BrP_215.108a
kårmakukkuñavaktrà÷ ca  BrP_213.93c
kårmapçùñhe padaü nyasya  BrP_73.48a
kårmapçùñhopamàkçtiþ  BrP_232.23d
kårmamàüsà÷ina÷ ca yat  BrP_228.26b
kårmàõàm iva matsyahà  BrP_236.50d
kårmair matsyai÷ ca madgubhiþ  BrP_42.30b
kårmair matsyaiþ sanakrakaiþ  BrP_43.61d
kårmair madgubhir eva ca  BrP_178.42b
kålaü ca lavaõàmbhasaþ  BrP_231.71b
kålànte hi mahàvçkùaþ  BrP_50.12a
kåle ya÷ cottare caiva  BrP_131.49a
kåùmàõóaü kañukatrayam  BrP_220.175d
kçkaõeyus tathaiva ca  BrP_13.5b
kçcchracaïkramaõotthàna-  BrP_234.30a
kçcchracàndràyaõàdãü÷ ca  BrP_32.33c
kçcchreõa nihato balã  BrP_13.149d
kçcchreõa mahatà yukta  BrP_4.95c
kçtakarmavipàkena  BrP_123.112a
kçtakarmà naràdhipaþ  BrP_7.84d
kçtakàkçtako madhye  BrP_23.20a
kçtakàryà samà tadà  BrP_108.38d
kçtakàryàþ ÷ramaü gatàþ  BrP_106.11b
kçtakçtyam ivàtmànaü  BrP_51.47c
kçtakçtyam ivàtmànaü  BrP_178.111c
kçtakçtyam ivàtmànaü  BrP_192.61a
kçtakçtyas tato ràjà  BrP_51.58a
kçtakçtyas tato vatsa  BrP_110.189e
kçtakçtyàgatà bhåyo  BrP_86.34c
kçtakçtyà naràdhipàþ  BrP_222.9b
kçtakçtyà babhåvire  BrP_111.50b
kçtakçtyà manãùiõaþ  BrP_175.53b
kçtakçtyà manãùiõaþ  BrP_238.11d
kçtakçtyà÷ ca te jagmuþ  BrP_124.140c
kçtakçtyàs triviùñapam  BrP_178.59d
kçtakçtyàþ stha bhadraü vo  BrP_108.109c
kçtakçtyàþ svam à÷ramam  BrP_246.13d
kçtakçtyo gçhà÷ramã  BrP_222.39b
kçtakçtyo nyavartata  BrP_74.81d
kçtakçtyo 'pi yaþ prabhuþ  BrP_180.42d
kçtakçtyo 'bhavat tadà  BrP_44.12d
kçtakçtyo 'bhavat tadà  BrP_66.13d
kçtakçtyo bhavet svayam  BrP_110.175b
kçtakçtyo bhaven naraþ  BrP_58.2b
kçtakçtyo bhaven naraþ  BrP_80.1d
kçtakçtyo bhaven naraþ  BrP_100.3d
kçtakçtyo bhaven naraþ  BrP_166.1d
kçtakçtyo bhaven naraþ  BrP_175.89d
kçtakçtyo yathecchayà  BrP_212.62d
kçtakçtyo 'si bhadraü te  BrP_83.22e
kçtakçtyo 'si bhadraü te  BrP_123.186a
kçtakçtyo 'si mànada  BrP_163.14d
kçtaghnas tu mçto viprà  BrP_217.80c
kçtaghnaþ satyarahitaþ  BrP_164.24c
kçtaghnàyàhitàya ca  BrP_4.25d
kçtaghne mitraghàtake  BrP_228.27a
kçtaghno mitrava¤cakaþ  BrP_215.75d
kçtacihnena pàõinà  BrP_192.2b
kçtacchàyaü harer mårdhni  BrP_188.27c
kçtaj¤eùu mahatsu ca  BrP_137.20b
kçtatretàdika÷ càtra  BrP_27.64c
kçtatretàdikà naiva  BrP_18.62a
kçtatretàdiyuktàni  BrP_5.55a
kçtadàro 'bhavat prabhuþ  BrP_2.32b
kçtadhanvà tathaiva ca  BrP_13.159b
kçtapuõyàs ta eva hi  BrP_159.3b
kçtabuddhiùu sàdhuùu  BrP_137.21b
kçtam anyo haniùyati  BrP_13.195d
kçtamàlàtàmraparõã-  BrP_19.13c
kçtamàlà tàmraparõã  BrP_27.36c
kçtam ity àha tàn api  BrP_118.18d
kçtam evaü vacas tathyaü  BrP_6.30a
kçtaråpo vibhàvasuþ  BrP_233.21d
kçtavantas tapo mahat  BrP_97.8d
kçtavarmàgrajas teùàü  BrP_16.5c
kçtavarmàtha sàtyakiþ  BrP_210.42b
kçtavàn atidurmedhà  BrP_159.29c
kçtavàn asi garhitàm  BrP_34.14d
kçtavàn asi cauùadhãþ  BrP_178.163b
kçtavàn asmy ahaü mune  BrP_87.56d
kçtavàn nityavat tadà  BrP_169.39b
kçtavàn bhàrataü ÷àstraü  BrP_246.10c
kçtavidyau dhanuùpàõã  BrP_123.101a
kçtavãryaþ kçtaujà÷ ca  BrP_13.159a
kçtavãryàd athàrjunaþ  BrP_13.159d
kçta÷ailaþ kçtàcalaþ  BrP_27.23d
kçta÷aucàva÷iùñà÷ ca  BrP_221.65a
kçta÷auco vi÷uddhàtmà  BrP_28.20a
kçta÷ càtmãyatejasà  BrP_11.48d
kçtasaüvadanau tena  BrP_192.3a
kçtasaüvandanàdikaþ  BrP_192.4b
kçtas tatra prajàgaraþ  BrP_228.63d
kçtasvastyayanaþ ÷rãmàn  BrP_157.5a
kçtasvastyayano ràjà  BrP_78.18a
kçtaü karma ca saüsmaran  BrP_123.139d
kçtaü tatra bhaven nçõàm  BrP_164.54d
kçtaü tathà cendrapuràbhidhànam  BrP_140.21d
kçtaü tasyà vacaþ satyaü  BrP_32.72c
kçtaü tena mahàtmanà  BrP_213.109d
kçtaü tretà dvàpara÷ ca  BrP_33.38a
kçtaü tretà dvàparaü ca  BrP_19.20c
kçtaü tretà dvàparaü ca  BrP_230.5a
kçtaü putra suduùkaram  BrP_86.46b
kçtaü bàlasya mokùaõam  BrP_35.55b
kçtaü bhaktimatà vada  BrP_228.62d
kçtaü bhadre 'tha niyamaþ  BrP_228.137c
kçtaü bhavati karmaõà  BrP_201.22d
kçtaü yad anyad evàbhåt  BrP_209.1c
kçtaü yad etad vyabhicàraråpaü  BrP_128.36a
kçtaü varùanivàraõam  BrP_188.15d
kçtaü viùõugçhe vada  BrP_228.59f
kçtaü sadbràhmaõasya me  BrP_123.49b
kçtaü sarvam atandritaþ  BrP_47.49d
kçtaü saüdehaharaõam  BrP_126.40a
kçtaþ kaüsena kaüso 'pi  BrP_193.25c
kçtaþ kàùñhamaye tvayà  BrP_228.136b
kçtaþ kila duràtmabhiþ  BrP_183.3b
kçtaþ ÷uklas tvayà punaþ  BrP_133.24b
kçtaþ sabahudakùiõaþ  BrP_83.22d
kçtaþ sa bhagavà¤ ÷veto  BrP_59.30a
kçtà kaüsasya dehena  BrP_193.76a
kçtàkçtasya satkartre  BrP_37.21c
kçtàgnis tu caturtho 'bhåt  BrP_13.159c
kçtà¤jalipuña÷ càbdhis  BrP_194.26a
kçtà¤jalipuñas tàü vai  BrP_107.17a
kçtà¤jalipuñaþ pårvaü  BrP_110.172c
kçtà¤jalipuñaþ ÷anaiþ  BrP_112.3d
kçtà¤jalipuñaþ skandaþ  BrP_81.17c
kçtà¤jalipuñaþ sthitaþ  BrP_36.131b
kçtà¤jalipuñà dãnà  BrP_144.8e
kçtà¤jalipuñà dãnàþ  BrP_215.30a
kçtà¤jalipuñà devà  BrP_71.6c
kçtà¤jalipuñà natvà  BrP_124.113c
kçtà¤jalipuñà bhåtvà  BrP_4.74c
kçtà¤jalipuñà vàkyam  BrP_111.65c
kçtà¤jalipuñàs te tu  BrP_116.13c
kçtà¤jalipuñàþ ÷aübhum  BrP_94.26e
kçtà¤jalipuñàþ sarve  BrP_32.96a
kçtà¤jalipuñàþ sarve  BrP_174.7c
kçtà¤jalipuñàþ suràþ  BrP_71.39f
kçtà¤jalipuñàþ suràþ  BrP_162.23d
kçtà¤jalipuño gaïgàm  BrP_172.7e
kçtà¤jalipuño bàlo  BrP_127.23e
kçtà¤jalipuño 'bravãt  BrP_78.68b
kçtà¤jalipuño bhåtvà  BrP_73.37a
kçtà¤jalipuño bhåtvà  BrP_76.16a
kçtà¤jalipuño bhåtvà  BrP_87.55a
kçtà¤jalipuño bhåtvà  BrP_110.118e
kçtà¤jalipuño bhåtvà  BrP_110.157c
kçtà¤jalipuño bhåtvà  BrP_115.6e
kçtà¤jalipuño bhåtvà  BrP_117.6c
kçtà¤jalipuño bhåtvà  BrP_122.28c
kçtà¤jalipuño bhåtvà  BrP_122.54e
kçtà¤jalipuño bhåtvà  BrP_123.194c
kçtà¤jalipuño ràjà  BrP_146.15c
kçtà¤jalipuño ràmaþ  BrP_123.180a
kçtà¤jalir abhàùata  BrP_80.84d
kçtà¤jalir abhàùata  BrP_176.29d
kçtà¤jalir udàradhãþ  BrP_95.24b
kçtà¤jalis tadà hçùño  BrP_55.10a
kçtà¤jaliþ savinayam  BrP_74.47a
kçtàtithyo dvijaiþ sàrdhaü  BrP_118.5a
kçtàdiùu yathàkramam  BrP_60.16d
kçtà devena viùõunà  BrP_219.39d
kçtàdau parikãrtitam  BrP_60.18d
kçtàni madhusådana  BrP_190.41b
kçtàntaü ca bhayànakam  BrP_215.51b
kçtànto vartate 'dhunà  BrP_86.21b
kçtàny annarasàs tathà  BrP_214.34b
kçtàny annarasàs tathà  BrP_214*.34b
kçtàparàdhe 'pi jane  BrP_72.22c
kçtàparàdhe 'pi jane  BrP_90.26c
kçtàparàdhe 'pi hare  BrP_49.58c
kçtà pradakùiõà tasyàþ  BrP_87.27a
kçtàbhipåjo vigata÷ramas tàü  BrP_124.7c
kçtàbhyuddhàra ke÷ava  BrP_193.80d
kçtàrtha iva durjanaþ  BrP_36.92d
kçtàrthàsmãty acintayat  BrP_167.19b
kçtàrthàhaü tathàpi tvàü  BrP_124.118a
kçtàrthàhaü na saü÷ayaþ  BrP_80.39d
kçtàvataüsaþ sa tadà  BrP_198.17a
kçtà sà vai bhaved iti  BrP_8.11d
kçtàs tena mahàtmanà  BrP_8.49d
kçtàstrà balinaþ ÷årà  BrP_13.200a
kçtàü devair akalmaùàm  BrP_152.35b
kçtàü dvàravatãü nàma  BrP_7.32a
kçtàü påjàü sa vidhvasya  BrP_169.20c
kçtinas tapase vanam  BrP_111.22d
kçtinà bhuvanatrayam  BrP_123.183b
kçte kiü duùkçtaü kçtam  BrP_215.61d
kçte kùemaü bhaviùyati  BrP_231.63d
kçte caivàtha saükalpe  BrP_161.26a
kçte de÷aü ca kàlaü ca  BrP_175.22c
kçte na pratikartà ca  BrP_231.41c
kçtenehàpy anantakam  BrP_242.38b
kçte pàpe 'nutàpo vai  BrP_22.38a
kçte prahàre huükàre  BrP_74.58c
kçte vai putrajanmani  BrP_13.60b
kçte ÷ayyàlaye dvijàþ  BrP_233.12b
kçte sakçd api dvijaiþ  BrP_220.202d
kçte sapiõóãkaraõe  BrP_220.66a
kçtaikani÷cayàþ sarve  BrP_208.19c
kçtaiþ kaitavavartibhiþ  BrP_171.31b
kçtodvàhaü dvijottamàþ  BrP_201.28b
kçtodvàho yadàtmajaþ  BrP_111.22b
kçtopavàsaþ pràpnoti  BrP_51.64c
kçtopavàso yatretya  BrP_28.19c
kçto 'pi dharmo 'niùñàya  BrP_122.59c
kçto mattapaso vyayaþ  BrP_178.97b
kçto yaj¤o mayà pårvaü  BrP_74.25a
kçtordhvadaihikaü cainaü  BrP_194.11a
kçtau tena mahàtmanà  BrP_213.139b
kçttikàtãrtham ucyate  BrP_82.15b
kçttikàdiùu çkùeùu  BrP_24.16a
kçttikàsu ca tad retaþ  BrP_128.23c
kçttikàsu pitén arcya  BrP_220.33c
kçttikàþ svayam evaitad  BrP_82.11c
kçttivàsasam uttamam  BrP_41.73b
kçttivàsà vçùadhvajaþ  BrP_34.6b
kçttivàsà vçùadhvajaþ  BrP_41.50d
kçttivàsà hy avàsà÷ ca  BrP_38.36c
kçtyaü tasya ca bhåpateþ  BrP_46.2d
kçtyaü na me dvàrakayà  BrP_17.22c
kçtyaü suravare÷vara  BrP_38.39b
kçtyà netravinirgatà  BrP_110.124b
kçtyàpi vaóavàkçtiþ  BrP_110.124d
kçtyàm anujagàmà÷u  BrP_207.37a
kçtyà màhe÷varã tadà  BrP_207.37d
kçtyà vàràõasãm eva  BrP_207.38c
kçtyà sà çùinirmità  BrP_110.131d
kçtyà sànalagarbhiõã  BrP_110.126b
kçtyàü ca vaóavàü tatra  BrP_116.22c
kçtyàü pràha tadà ÷ivaþ  BrP_110.129d
kçtyàü ÷amaya bhadraü te  BrP_110.192a
kçtye kçtyaü tataþ kuru  BrP_110.130d
kçtvà kanyàü tathà dattvà  BrP_147.7c
kçtvà karma divaü yànti  BrP_5.40c
kçtvà kila naraþ samyak  BrP_26.24a
kçtvà kiücit tu pauruùam  BrP_104.15d
kçtvà kùemaü jagat sarvaü  BrP_59.20a
kçtvàkùemàm a÷eùàü tàü  BrP_207.41a
kçtvà gatà kvàpi caivaü suvarõà  BrP_128.32a
kçtvà girimahaü goùñhaü  BrP_187.61e
kçtvàgnihotraü sva÷arãrasaüsthaü  BrP_222.55a
kçtvàïgair hçdayàdibhiþ  BrP_28.26b
kçtvà cakruþ stutiü paràm  BrP_108.102b
kçtvà ca devàüs trida÷e÷varàüs tu  BrP_179.28c
kçtvà ca dharmàn bubhuje ca bhogàn  BrP_75.21c
kçtvà ca samayaü hariþ  BrP_51.46b
kçtvà càtithipåjanam  BrP_221.48b
kçtvà càvàhanaü cakre  BrP_219.56c
kçtvà caiùàü pradakùiõàm  BrP_219.77d
kçtvà jànuni sattamàþ  BrP_211.4d
kçtvà jàyeta vai vçkaþ  BrP_217.66b
kçtvà jyeùñhe narottamaþ  BrP_51.66b
kçtvà tatpravaõaü manaþ  BrP_203.5d
kçtvà tatra mahãpatiþ  BrP_43.12b
kçtvà tathàstràõi ca devatànàü  BrP_110.56a
kçtvà tasmin pa¤catãrthaü  BrP_51.68c
kçtvà taü triþ pradakùiõam  BrP_41.61b
kçtvà taü triþ pradakùiõam  BrP_43.67d
kçtvà taü triþ pradakùiõam  BrP_57.6d
kçtvà taü triþ pradakùiõam  BrP_57.12b
kçtvà taü triþ pradakùiõam  BrP_57.21b
kçtvà tàü tapasa÷ cyutim  BrP_122.22d
kçtvàtithyaü tayoþ samyag  BrP_104.3e
kçtvà tiùñha ÷ubhàü buddhiü  BrP_80.53c
kçtvà tu triþ pradakùiõam  BrP_28.46d
kçtvà tu pàpàni naro mahànti  BrP_229.64a
kçtvà tu bràhmaõàn natvà  BrP_92.15c
kçtvà tu vaidikair mantrair  BrP_60.47a
